director_name,duration,actor_2_name
David Dobkin,114,Anna-Louise Plowman
,45,Gemma Jones
Matthew O'Callaghan,78,Frank Welker
Angela Robinson,101,Thomas Lennon
Gary Fleder,113,Jennifer Esposito
Tommy Wirkola,98,Derek Mears
Adrian Lyne,124,Erik Per Sullivan
D.J. Caruso,109,Emily Wickersham
Stephen Gaghan,128,Amr Waked
Michael Bay,144,James Badge Dale
Jorge R. Gutiérrez,95,Hector Elizondo
Richard Loncraine,105,Harrison Ford
Clint Eastwood,121,Mark Margolis
Ridley Scott,125,Demi Moore
David Fincher,129,Armin Mueller-Stahl
Christophe Gans,132,Deborah Kara Unger
Howard Deutch,118,Jon Favreau
Jon Hurwitz,113,Dania Ramirez
F. Gary Gray,140,Michael Cudlitz
Steven Quale,89,Alycia Debnam-Carey
John Landis,104,Jon Tenney
Joe Dante,106,Robert Picardo
David Dobkin,141,Robert Duvall
Mimi Leder,124,Holt McCallany
Alexander Witt,98,Thomas Kretschmann
Beeban Kidron,108,Jim Broadbent
Carl Franklin,114,Sanaa Lathan
Steven Seagal,101,Joan Chen
Robert Rodriguez,93,Kristin Davis
Danny Boyle,119,Virginie Ledoyen
Garry Marshall,119,Felicity Huffman
James McTeigue,99,Ben Miles
Sam Raimi,137,Kelly Preston
,105,Bruce Alexander
Andrew Bergman,117,Rumer Willis
Tom Dey,87,Judy Greer
Clint Eastwood,129,Jay Mohr
Barbet Schroeder,115,Chris Penn
Richard Donner,132,Sylvester Stallone
Peter Webber,131,Stephen Walters
Rob Reiner,95,Tim Matheson
Andrew Niccol,125,Chandler Canterbury
John McTiernan,98,Harry Connick Jr.
Clint Eastwood,110,Anjelica Huston
Tom Tykwer,118,Brían F. O'Byrne
John Carpenter,101,Valeria Golino
,60,Brittany Curran
Brad Bird,90,Harry Connick Jr.
Wes Anderson,119,Anjelica Huston
Gary Ross,139,Donald Watkins
Alan Parker,130,Kate Winslet
Stephen Herek,100,Vanessa Ferlito
Jaume Collet-Serra,114,Common
David Cronenberg,96,Naomi Watts
John Stockwell,110,James Frain
Luc Besson,158,David Bailie
David Gordon Green,102,Zooey Deschanel
Jim Sheridan,84,Gregory Smith
Costa-Gavras,115,Blythe Danner
Patrick Read Johnson,99,Lara Flynn Boyle
Roland Joffé,135,Robert Duvall
Doug Liman,108,Ty Burrell
,43,Tony Curran
Tony Scott,127,Mo'Nique
William Friedkin,107,Chazz Palminteri
Mark Neveldine,95,Logan Lerman
Richard LaGravenese,124,Zoey Deutch
Danny DeVito,109,Vincent Schiavelli
Ben Stiller,102,Will Ferrell
George Armitage,88,Andrew Wilson
Mike Nichols,87,Linda Fiorentino
Patrick Lussier,104,Billy Burke
Andrzej Bartkowiak,96,Robin Shou
James Wong,85,Jet Li
,64,Graham McTavish
Renny Harlin,104,Gilbert Gottfried
Richard Curtis,135,Charlie Rowe
Steven Soderbergh,190,Jacob Vargas
Steven Spielberg,127,Julian Glover
Joe Wright,129,Guro Nagelhus Schia
Neill Blomkamp,120,Sharlto Copley
Phillip Noyce,118,Angelina Jolie Pitt
David Fincher,112,Dwight Yoakam
Chuck Bowman,89,Lochlyn Munro
David O. Russell,114,Jamie Kennedy
Daniel Espinosa,137,Fares Fares
Jerry Zucker,112,Douglas Haase
Iain Softley,120,Jeff Bridges
James Mangold,123,Natasha Lyonne
Harold Ramis,93,Frances O'Connor
Francis Ford Coppola,123,Bob Hoskins
James Mangold,122,Logan Lerman
Olivier Megaton,115,Dougray Scott
Steven Soderbergh,123,Albert Brooks
Ben Stiller,96,Janeane Garofalo
Deepa Mehta,110,Gulshan Grover
Warren Beatty,105,Warren Beatty
John McTiernan,113,Faye Dunaway
Penny Marshall,132,Adam Garcia
Ted Kotcheff,93,Brian Dennehy
Andrei Tarkovsky,115,Anatoliy Solonitsyn
Paul Bolger,75,George Carlin
Stephen Frears,108,Bronagh Gallagher
P.J. Hogan,105,Christopher Masterson
Joe Roth,102,Rainn Wilson
Christopher Nolan,118,Maura Tierney
Jonathan Frakes,111,Alfre Woodard
Jimmy Hayward,81,Billy Blair
Edward Zwick,116,Matt Damon
Tom Shadyac,86,Swoosie Kurtz
Brad Furman,127,Amy Ryan
Terence Young,140,Ben Gazzara
Brian Levant,91,Elizabeth Perkins
Olivier Megaton,98,Luke Grimes
David Zucker,84,Pamela Anderson
Donald Petrie,109,Wendy Raquel Robinson
Eric Brevig,93,Brendan Fraser
Garry Marshall,113,Raven-Symoné
Alan J. Pakula,141,Julia Roberts
Joel Schumacher,119,Anthony LaPaglia
Rob Reiner,97,Noel Gugliemi
Phillip Noyce,117,Polly Walker
Robert Luketic,101,Jane Fonda
Denis Villeneuve,153,Jake Gyllenhaal
Antoine Fuqua,122,Snoop Dogg
Dean Parisot,102,Enrico Colantoni
Keenen Ivory Wayans,83,Veronica Cartwright
James Bobin,103,Eric Jacobson
Stephen Norrington,110,Traci Lords
Thomas Carter,136,Rick Gonzalez
Roger Michell,91,Matt Malloy
Luis Llosa,89,Eric Stoltz
David McNally,107,Tyra Banks
Richard Curtis,129,Liam Neeson
John Lasseter,95,Madeline Kahn
Albert Hughes,122,Jason Flemyng
Luis Llosa,110,Rod Steiger
Ron Shelton,135,Cheech Marin
Melville Shavelson,111,Tom Bosley
Jesse Dylan,95,Will Ferrell
Garth Jennings,109,Kelly Macdonald
Joel Zwick,93,Nick Zano
Russell Mulcahy,94,Mike Epps
Frank Coraci,117,Adam Sandler
Wayne Wang,112,Alicia Witt
Curtis Hanson,111,Glenn Morshower
Frank Oz,96,Vincent Kartheiser
Oliver Stone,141,Shea Whigham
David R. Ellis,94,Valerie Cruz
Peter Howitt,87,Natalie Imbruglia
John A. Davis,88,Meryl Streep
David Lynch,177,Jürgen Prochnow
Julie Taymor,133,T.V. Carpio
Sam Mendes,119,Kate Winslet
Richard Donner,102,David Zayas
Mathieu Kassovitz,101,Charlotte Rampling
John Gray,91,Bob Gunton
Harold Ramis,117,Brian Doyle-Murray
John Schultz,86,Carter Jenkins
Sean Penn,124,Adrien Dorval
Susan Stroman,134,Will Ferrell
Pete Travis,95,Jason Cope
Simon Wincer,100,Treat Williams
Billy Bob Thornton,220,Henry Thomas
Oliver Stone,212,Bob Hoskins
Roman Polanski,128,Olivia Williams
Stephen Sommers,106,Jason Flemyng
Spike Lee,160,Omari Hardwick
Yimou Zhang,114,Ye Liu
Danny Pang,99,Charlie Yeung
Barry Sonnenfeld,74,Janeane Garofalo
Mike Newell,139,Giovanna Mezzogiorno
,52,Clotilde Hesme
George P. Cosmatos,103,Ben Gazzara
Oliver Parker,101,Tim McInnerny
Lawrence Kasanoff,91,Larry Miller
Ben Affleck,130,Scoot McNairy
Andrew Davis,130,Daniel Roebuck
Andy Tennant,110,Dorian Missick
Barry Levinson,147,Brad Pitt
George P. Cosmatos,96,Julia Nickson
Brian Gibson,118,Demi Moore
Norman Ferguson,88,Dickie Jones
Michael Cimino,325,Sam Waterston
Len Wiseman,102,Tony Curran
Paul McGuigan,110,Spencer Wilding
Gus Van Sant,136,Rob Brown
Betty Thomas,103,Viggo Mortensen
Louis Leterrier,103,Jet Li
Roger Kumble,90,Lillian Adams
Sydney Pollack,154,Holly Hunter
Burr Steers,99,Charlie Tahan
Simon West,93,Tony Goldwyn
Phil Lord,109,Dax Flame
Roger Michell,124,Clarke Peters
Peter Lord,84,Miranda Richardson
John Hamburg,90,Masi Oka
Reginald Hudlin,117,Eartha Kitt
Paul Feig,123,William Xifaras
Joseph L. Mankiewicz,251,Richard Burton
Frank Coraci,105,Reggie Lee
Carl Franklin,115,Adam Scott
Barbra Streisand,122,Austin Pendleton
Mark Pellington,119,Will Patton
Larry Charles,81,Elton John
John Glen,133,Talisa Soto
Catherine Hardwicke,100,Billy Burke
John Herzfeld,120,Charlize Theron
Annabel Jankel,104,Fisher Stevens
Andrew Niccol,122,Jeremy Crutchley
Yimou Zhang,80,Tony Chiu Wai Leung
Julie Anne Robinson,91,Debbie Reynolds
Evan Goldberg,112,Randall Park
Sngmoo Lee,100,Dong-gun Jang
,30,Gavin MacLeod
Jean-Pierre Jeunet,105,Dany Boon
Curtis Hanson,110,Omar Benson Miller
Jamel Debbouze,101,Youssef Hajdi
Brian Helgeland,144,Rufus Sewell
Gordon Chan,108,Lee Evans
M. Night Shyamalan,107,Haley Joel Osment
Asger Leth,102,Mandy Gonzalez
David Frankel,100,Kevin Pollak
John G. Avildsen,126,William Zabka
David O. Russell,138,Christian Bale
Anne Fletcher,108,Denis O'Hare
Bruce Beresford,105,Annabeth Gish
Robert Zemeckis,108,Jeffrey Weissman
Luc Besson,89,Morgan Freeman
Sam Taylor-Johnson,129,Luke Grimes
Robert Rodriguez,84,Salma Hayek
Joel Schumacher,149,Matthew McConaughey
Shawn Levy,94,Alyson Stoner
Peter Berg,121,Scott Elrod
Penny Marshall,128,Lori Petty
James Wan,134,Frances O'Connor
David Fincher,120,Dustin Fitzsimons
Ken Kwapis,129,Sabrina Revelle
David Zucker,89,Carmen Electra
Wes Craven,116,Roger Jackson
Robert Zemeckis,118,Jeffrey Weissman
Etan Cohen,107,Alison Brie
Francis Ford Coppola,155,Anthony Hopkins
Nora Ephron,123,Mary Lynn Rajskub
Brian Helgeland,128,Christopher Meloni
Anthony Minghella,139,Matt Damon
Bobby Farrelly,109,Kathleen Turner
Frank Marshall,120,Bruce Greenwood
Nancy Meyers,121,Anne Hathaway
Tim Story,102,Nadine Velazquez
Michael Mann,117,Terry Kinney
Taylor Hackford,178,Curtis Armstrong
Frank Miller,147,Powers Boothe
Pete Travis,90,Edgar Ramírez
John Hamburg,105,Jon Favreau
Bobby Farrelly,114,Bruce McGill
Oliver Stone,206,Jay O. Sanders
John Whitesell,99,Nia Long
Gore Verbinski,123,Brad Pitt
Angelina Jolie Pitt,137,Jack O'Connell
Burr Steers,102,Hunter Parrish
Nick Cassavetes,109,Kate Upton
David R. Ellis,82,Andrew Fiscella
Steven Spielberg,142,Mark Rylance
John Moore,106,David Keith
Nicholas Stoller,114,Mario Lopez
Peter Chelsom,106,Nick Cannon
Joe Dante,108,Denis Leary
Mark A.Z. Dippé,98,Frank Welker
Kevin Reynolds,131,James Frain
Brad Furman,118,Margarita Levieva
Jaume Collet-Serra,113,Frank Langella
Christopher Nolan,130,Hugh Jackman
Sean Anders,116,Christoph Waltz
Cal Brunker,89,Paul Scheer
Mel Gibson,139,Dalia Hernández
John Glen,130,Desmond Llewelyn
Nimród Antal,107,Alice Braga
Ivan Reitman,116,Debra Winger
David Koepp,96,Charles S. Dutton
Alejandro Agresti,99,Dylan Walsh
Iain Softley,104,Deneen Tyler
Peter Hedges,105,Odeya Rush
Paul Weiland,101,Beau Garrett
Clint Eastwood,134,Steve Schirripa
Francis Ford Coppola,135,Dean Stockwell
Mathieu Kassovitz,98,Charles S. Dutton
Steven Spielberg,155,Morgan Freeman
John McTiernan,106,José Wilker
Colin Strause,102,Johnny Lewis
Donald Petrie,95,John Larroquette
Joan Chen,103,Sam Trammell
