duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,actor_3_name,movie_imdb_link,language,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
145,13,10000,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,Eduardo Noriega,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,Spanish,2006,1000,1.85,0
100,11,23000,Action|Crime|Drama|Thriller,Paul Walker,RZA,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,English,2014,727,2.35,0
131,46,594,Action|Adventure|Thriller,Louis Jourdan,Steven Berkoff,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,English,1983,303,2.35,0
133,0,11000,Comedy|Romance,Harold Ramis,Charlyne Yi,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,English,2007,985,1.85,0
109,415,673,Drama,Jason Patric,Jeffrey Markle,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,English,2009,489,2.35,15000
114,92,940,Comedy|Drama|Romance,Mo'Nique,Cedric the Entertainer,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,English,2008,706,1.85,464
164,767,358,Adventure|Drama|History,Richard Wilson,Art Malik,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,English,1984,223,1.85,845
92,14,386,Crime|Drama|Romance|Thriller,Phil Davis,Shaun Parkes,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,English,2006,99,1.85,0
122,151,24000,Drama|Thriller,J.K. Simmons,Meryl Streep,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,English,2007,15000,2.35,0
42,,766,Crime|Drama|Sci-Fi|Thriller,Colin Salmon,Jake McDorman,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,English,,638,16.0,11000
110,120,12000,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,Nichelle Nichols,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,English,1991,1000,2.35,0
116,144,1000,Drama,Ellen Burstyn,Matthew Settle,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,English,2002,482,2.35,0
106,4000,19000,Adventure|Drama|Family|Fantasy,Scarlett Johansson,Garry Shandling,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,English,2016,13000,1.85,65000
115,39,11000,Crime|Drama|Mystery|Thriller,Morgan Freeman,Tatyana Ali,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,English,1997,956,2.35,0
148,644,1000,Action|Comedy|Crime|Music,John Belushi,Ray Charles,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,English,1980,809,1.85,14000
119,43,953,Comedy|Drama|Family|Romance,America Ferrera,Michael Rady,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,English,2008,713,1.85,894
118,650,1000,Comedy|Music,Dolly Parton,Jesse L. Martin,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,English,2012,773,2.35,0
101,129,66,Comedy|Drama|Romance,Sharon Small,Peter McNicholl,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,English,2002,5,2.35,0
82,49,1000,Action|Comedy|Horror,Oliver Platt,Ty Olsson,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,English,1999,888,2.35,2000
110,118,13000,Crime|Drama|Mystery|Thriller,Bruce Willis,Dorian Missick,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,English,2006,11000,2.35,10000
193,133,2000,Adventure|Drama|History,Dennis Quaid,Sam Shepard,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,English,1983,826,1.85,0
130,776,898,Drama|History|Thriller,Vanessa Redgrave,Rafe Spall,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,English,2011,584,2.35,15000
94,249,523,Adventure|Drama|Family|Fantasy,Gerald McRaney,Alan Oppenheimer,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,English,1984,312,2.35,21000
111,295,3000,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Rufus Sewell,Bruce Spence,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,English,1998,882,2.35,14000
110,10,3000,Biography|Drama|History|Romance,Dominic Cooper,Charlotte Rampling,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,English,2008,2000,2.35,0
30,,491,Comedy|Family,Jackie Gleason,Joyce Randolph,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,English,,154,1.33,459
109,181,303,Adventure|Family|Fantasy|Horror|Mystery,Piper Laurie,Tim Rose,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,English,1985,146,1.85,0
123,0,11000,Action|Crime|Drama|History|Western,Matthew McConaughey,Dwight Yoakam,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,English,1998,597,2.35,315
109,22,14000,Horror|Mystery|Thriller,Bradley Cooper,Vanesa Tomasino,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,English,2009,716,2.35,0
99,54,748,Crime|Drama|Mystery|Thriller,Harry Lennix,William Mapother,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,English,2004,489,1.33,817
106,43,1000,Comedy|Drama|Family,Oliver Platt,Sophie Okonedo,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,English,2007,506,1.85,0
89,0,2000,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,Daryl Sabara,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,English,2011,734,1.85,0
98,0,8000,Crime|Drama|Thriller,Julia Roberts,Chris Bauer,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,English,2016,698,2.35,0
93,31,783,Action|Comedy|Crime|Thriller,Meat Loaf,Paul Barber,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,English,2001,132,2.35,0
112,541,22000,Comedy|Crime|Drama,Robert De Niro,Chris Bauer,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,English,1999,22000,1.85,0
101,212,1000,Crime|Horror|Mystery|Thriller,LL Cool J,Eion Bailey,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,English,2004,968,2.35,2000
104,272,22000,Comedy|Drama,Robert De Niro,Kristen Stewart,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,English,2008,18000,2.35,845
120,278,844,Drama|Thriller,Charlotte Rampling,John Neville,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,English,2003,766,1.85,188
135,0,5,Drama|Musical|Romance,Kim-Marie Woodhouse,Joseph Kaiser,http://www.imdb.com/title/tt0475331/?ref_=fn_tt_tt_1,English,2006,4,2.35,359
91,41,567,Action|Comedy|Crime,Erick Avari,Allen Covert,http://www.imdb.com/title/tt1114740/?ref_=fn_tt_tt_1,English,2009,402,1.85,0
97,70,2000,Comedy|Family|Fantasy|Music|Romance,Jamie Lee Curtis,Willie Garson,http://www.imdb.com/title/tt0322330/?ref_=fn_tt_tt_1,English,2003,528,1.85,0
133,0,7000,Comedy|Romance,Steve Carell,Gerry Bednob,http://www.imdb.com/title/tt0405422/?ref_=fn_tt_tt_1,English,2005,966,1.85,0
123,108,1000,Comedy|Drama|Romance,Tom Wilkinson,Simon Callow,http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,English,1998,264,2.35,0
114,71,14000,Crime|Drama|Mystery|Thriller,Liam Neeson,David Harbour,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,English,2014,439,2.35,15000
111,425,743,Action|Comedy|Crime,Richard Tyson,Penelope Ann Miller,http://www.imdb.com/title/tt0099938/?ref_=fn_tt_tt_1,English,1990,394,1.85,0
117,234,11000,Action|Comedy|Crime,James Franco,Rosie Perez,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,English,2008,989,2.35,0
121,72,1000,Comedy|Drama|Romance,Anjelica Huston,Jeanne Moreau,http://www.imdb.com/title/tt0120631/?ref_=fn_tt_tt_1,English,1998,794,2.35,0
139,0,3000,Drama|Romance|Western,Robert Duvall,Julian Richings,http://www.imdb.com/title/tt0316356/?ref_=fn_tt_tt_1,English,2003,693,2.35,0
115,541,8000,Drama|Horror|Sci-Fi|Thriller,Julia Roberts,Hope Davis,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,English,1990,1000,2.35,0
22,,813,Comedy,Rob McElhenney,Glenn Howerton,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,English,,547,1.33,0
175,0,385,Drama|History|War,Ryan O'Neal,Wolfgang Preiss,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,English,1977,232,2.35,0
85,0,332,Mystery|Thriller,Robert Pine,Suzie Plakson,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,English,2005,285,2.35,0
90,160,748,Horror|Thriller,Sarah Carter,Keegan Connor Tracy,http://www.imdb.com/title/tt0309593/?ref_=fn_tt_tt_1,English,2003,439,1.85,0
107,0,1000,Adventure|Comedy|Crime|Music,Holly Hunter,Daniel von Bargen,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,English,2000,596,2.35,16000
100,124,2000,Action|Fantasy|Horror,Dennis Quaid,Charles S. Dutton,http://www.imdb.com/title/tt1038686/?ref_=fn_tt_tt_1,English,2010,850,2.35,0
129,0,12000,Comedy|Crime|Drama,Dwayne Johnson,Michael Rispoli,http://www.imdb.com/title/tt1980209/?ref_=fn_tt_tt_1,English,2013,412,2.35,43000
109,80,19000,Comedy|Drama|Romance,Scarlett Johansson,Dennis Quaid,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,English,2004,3000,1.85,736
94,906,2000,Action|Adventure|Comedy|Sci-Fi|Thriller,Michael Biehn,Jason George,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,English,2002,587,1.85,874
133,759,826,Action|Crime|Drama|Western,Scott Glenn,Brad Leland,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,English,1985,130,2.35,0
105,260,20000,Drama|Thriller,Natalie Portman,Bailee Madison,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,English,2009,15000,2.35,10000
100,8,1000,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Daniel Roebuck,David Kelly,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,English,2004,934,2.35,167
113,0,22000,Comedy|Romance,Robert De Niro,Seth Meyers,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,English,2011,988,1.85,20000
118,49,11000,Drama|Mystery|Romance|Thriller,Angelina Jolie Pitt,Jack Thompson,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,English,2001,216,2.35,3000
110,160,771,Crime|Mystery|Thriller,Pam Ferris,Kevin McNally,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,English,2012,570,2.35,35000
110,80,826,Comedy|Romance,Rip Torn,Maura Tierney,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,English,2004,590,1.85,260
99,5,1000,Action|Fantasy|Romance|Sci-Fi,Christopher Lambert,Mario Van Peebles,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,English,1994,691,2.35,319
101,30,1000,Crime|Drama|Thriller,Harold Perrineau,Judy Davis,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,English,1996,854,1.85,145
100,2,642,Fantasy|Horror,David Conrad,Monica Keena,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,English,1997,638,1.85,0
103,11000,11000,Comedy|Crime|Mystery|Romance,Woody Allen,Peter Gerety,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,English,2001,893,1.37,826
100,737,15000,Comedy|Romance,Jake Gyllenhaal,Beverly D'Angelo,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,English,2015,980,1.85,0
95,0,442,Adventure|Family,Paul Hogan,Jessica Wesson,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,English,1996,95,2.35,504
117,763,16000,Action|Mystery|Sci-Fi|Thriller,Ryan Reynolds,Sandra Ellis Lafferty,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,English,2015,543,2.35,11000
129,353,883,Drama|Mystery|Romance|Thriller,Archie Panjabi,Donald Sumpter,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,English,2005,430,1.85,0
120,0,260,Drama,Christo Jivkov,Hristo Shopov,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,Aramaic,2004,252,2.35,13000
125,0,49000,Comedy|Drama|Family|Romance,Robin Williams,Matthew Lawrence,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,English,1993,1000,2.35,0
133,272,10000,Drama,Tom Cruise,Beth Grant,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,English,1988,898,1.85,12000
116,16000,16000,Drama,Clint Eastwood,Ahney Her,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,English,2008,601,2.35,28000
129,0,2000,Biography|Drama|History,Toby Jones,Bruce McGill,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,English,2008,826,2.35,0
93,180,14000,Action|Thriller,Liam Neeson,Xander Berkeley,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,English,2008,816,2.35,29000
118,97,775,Drama|Romance,Luke Bracey,Clarke Peters,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,English,2014,523,2.35,19000
129,81,970,Action|Drama|Music|Romance,Bill Cobbs,DeVaughn Nixon,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,English,1992,854,1.85,0
185,14000,14000,Biography|Drama|History,Liam Neeson,Caroline Goodall,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,English,1993,795,1.85,41000
146,150,15000,Drama,Emma Stone,Mike Vogel,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,English,2011,3000,1.85,75000
128,386,19000,Biography|Drama|Thriller,Benedict Cumberbatch,Jamie Blackley,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,English,2013,17000,2.35,11000
93,67,4000,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Sarah Michelle Gellar,Tim Blake Nelson,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,English,2004,2000,1.85,567
107,0,1000,Adventure|Fantasy|Mystery|Thriller,Jason Flemyng,Agnia Ditkovskite,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,Russian,2014,65,1.85,0
97,31,918,Action|Horror|Thriller,Katharine Isabelle,Zack Ward,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,English,2003,782,2.35,3000
101,187,554,Drama,Cara Delevingne,Sara Stewart,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,English,2014,213,2.35,488
82,8,770,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Martin Short,Andrea Martin,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,English,2001,677,1.85,425
85,198,2000,Action|Adventure|Horror|Sci-Fi,Mike Vogel,Liza Lapira,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,English,2008,1000,1.85,0
88,34,642,Action|Adventure|Comedy|Family|Sci-Fi,Kevin Nash,Ernie Reyes Jr.,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,English,1991,533,1.85,0
119,0,22000,Crime|Drama|Thriller,Robert De Niro,Charles Martin Smith,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,English,1987,371,2.35,0
122,1000,2000,Crime|Drama|Thriller,Kelly Macdonald,Barry Corbin,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,English,2007,939,2.35,21000
99,167,655,Action|Comedy|Crime|Romance,Bruce McGill,Bryan Callen,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,English,2014,521,2.35,0
97,11,14000,Comedy|Drama|Romance,Colin Firth,Shirley Henderson,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,English,2001,1000,2.35,0
121,529,541,Drama|Romance,Lena Olin,Hugh O'Conor,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,English,2000,399,1.85,18000
95,0,934,Comedy,Mary Lynn Rajskub,Bob Newhart,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,English,2003,655,1.85,660
105,99,3000,Comedy|Family,Bailee Madison,Tom Everett Scott,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,English,2012,448,1.85,0
108,425,20000,Comedy|Romance,Natalie Portman,Mindy Kaling,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,English,2011,962,2.35,24000
134,170,2000,Action|Biography|Drama|History|Romance|Western,Michael Biehn,Powers Boothe,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,English,1993,722,2.35,11000
115,43,5000,Action|Crime|Thriller,Jet Li,Aaliyah,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,English,2000,848,2.35,0
107,503,264,Fantasy|Horror|Mystery,Lee Remick,Billie Whitelaw,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,English,1976,139,2.35,7000
86,70,440,Horror,Chelan Simmons,Crystal Lowe,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,English,2006,346,2.35,0
101,96,713,Drama|Romance,Blythe Danner,Jay R. Ferguson,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,English,2012,220,2.35,29000
96,47,14000,Adventure|Drama|Family|Fantasy,Josh Hutcherson,Bailee Madison,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,English,2007,11000,1.85,6000
101,395,40000,Biography|Drama|Family,Johnny Depp,Kelly Macdonald,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,English,2004,14000,2.35,0
100,0,975,Comedy|Drama,Alicia Witt,Larry the Cable Guy,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,English,2013,521,1.85,0
117,248,14000,Action|Adventure|Drama|Thriller,Liam Neeson,James Badge Dale,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,English,2011,798,2.35,32000
101,21,22000,Drama|Horror|Mystery|Thriller,Robert De Niro,Robert John Burke,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,English,2005,812,2.35,0
98,285,640000,Comedy,Darcy Donavan,Steve Carell,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,English,2004,8000,1.85,0
146,17000,22000,Biography|Crime|Drama,Robert De Niro,Paul Sorvino,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,English,1990,854,1.85,25000
102,91,1000,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Daniel Roebuck,Chris Gauthier,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,English,2003,934,2.35,542
97,52,14000,Comedy|Family|Fantasy,Colin Firth,Imelda Staunton,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,English,2005,2000,2.35,0
142,0,14000,Crime|Drama,Al Pacino,Mary Elizabeth Mastrantonio,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,English,1983,670,2.35,19000
98,176,742,Action|Adventure|Comedy|Crime,Kelly Preston,Rebecca Gayheart,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,English,1997,658,1.85,0
219,973,1000,Biography|Drama|History,Cary-Hiroyuki Tagawa,Victor Wong,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,English,1987,643,2.35,0
109,175,24000,Action|Crime|Drama|Thriller,J.K. Simmons,Lukas Haas,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,English,2012,736,2.35,0
97,420,695,Action|Comedy|Crime|Thriller,Heather Locklear,Faizon Love,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,English,1997,635,2.35,666
158,0,272,Drama,Jim Meskimen,Kevin Breznahan,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,English,2007,111,2.35,16000
85,0,1000,Adventure|Animation|Comedy|Family|Fantasy,Alfre Woodard,Cree Summer,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,English,2002,535,2.35,187
80,0,971,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,Nancy Cartwright,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,English,2003,503,2.35,329
86,92,744,Action|Comedy,Dave Chappelle,Chi McBride,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,English,2002,489,1.85,0
119,42,2000,Comedy|Drama|Family|Romance,Mike Vogel,Kyle Schmid,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,English,2005,953,2.35,0
