num_voted_users,language,content_rating,actor_2_facebook_likes,imdb_score
5786,English,Not Rated,370,6.9
1470,Dutch,,3,7.0
1553,English,Passed,675,7.0
95294,English,R,1000,7.8
29488,English,R,84,5.9
34643,Polish,PG-13,64,7.4
10755,English,R,249,7.8
6930,English,R,549,6.0
45500,English,R,9000,5.3
3849,English,PG-13,52,7.9
40878,Spanish,R,76,7.2
1418,Mandarin,,4,7.4
5012,English,R,272,5.3
150020,English,Approved,786,8.3
6429,English,,2,7.6
34620,English,R,584,5.1
9010,English,PG,118,5.1
36372,English,R,764,4.9
50311,English,PG,9000,6.9
28589,English,R,128,4.6
23546,English,G,521,6.3
15277,English,Approved,189,7.9
6062,English,R,309,6.7
36996,English,R,595,7.1
187595,English,R,379,7.6
183288,English,R,12,8.1
1003,French,,16,6.6
6221,English,R,631,7.0
7776,English,R,265,7.6
2560,English,PG-13,41,6.7
52509,English,PG-13,291,7.1
21202,English,R,648,7.6
105591,English,R,1000,7.1
97,English,,577,7.1
52286,English,R,4,7.7
578,English,Not Rated,130,7.6
91,English,,157,6.6
185345,English,PG-13,939,6.7
806,English,PG-13,261,5.7
1138,English,R,12,7.1
4820,English,PG-13,397,6.2
10220,German,R,10,6.1
5699,Spanish,PG-13,399,5.9
61787,English,R,973,6.8
858,English,TV-PG,607,5.8
3119,English,Not Rated,625,5.0
63,English,,677,6.3
4100,English,R,748,6.8
4057,English,PG-13,872,5.1
108052,English,R,497,6.6
1510,English,R,159,5.0
99177,English,Unrated,788,7.7
2753,English,R,722,3.1
1079,English,Passed,659,6.5
1015,English,PG-13,618,3.9
2189,English,PG,599,6.8
3538,English,Approved,715,7.0
440,English,PG-13,646,5.9
6025,English,R,1000,5.8
19650,English,Not Rated,516,7.3
71321,English,G,0,7.8
82476,English,R,165,7.8
44,English,PG-13,0,6.9
31952,English,R,31,5.7
22521,English,R,27,4.7
1573,English,PG-13,425,5.9
4977,English,PG-13,848,5.9
1118,English,R,399,4.3
1314,English,Passed,284,7.5
1351,English,R,800,4.8
480,English,,79,5.8
485,English,,938,5.3
5187,English,R,52,6.0
40359,English,Not Rated,208,8.1
29424,English,R,648,7.0
12244,Norwegian,R,21,7.6
22,English,R,22,7.2
131462,Spanish,R,9,7.5
544,English,TV-PG,718,6.3
6,English,,354,6.7
1355,English,,366,4.8
1274,English,,308,5.5
89403,English,Approved,201,7.5
4663,English,R,30,5.1
2258,English,,360,7.4
33335,English,PG,66,7.3
112899,English,R,189,6.9
31077,English,R,300,6.8
215086,English,Not Rated,226,8.4
133966,English,R,531,7.6
34520,Cantonese,R,147,7.6
67825,English,Not Rated,367,7.7
77551,English,R,148,7.6
18566,English,R,44,5.3
259379,German,R,284,8.5
15401,English,PG-13,589,7.0
62860,English,Unrated,491,8.0
2269,English,Passed,760,7.1
42462,French,PG-13,6,7.8
8224,English,PG-13,752,7.2
41999,English,R,119,7.5
168398,English,R,8,8.0
173551,Spanish,R,79,8.1
68222,English,R,482,6.8
10791,English,Approved,297,7.4
111658,English,R,248,7.2
26926,English,R,5,8.1
1381,English,Approved,392,7.0
31130,English,R,363,7.4
55382,English,PG-13,125,8.3
20885,English,R,625,6.1
70084,English,R,147,7.5
54657,English,R,23000,7.0
3911,English,PG-13,426,5.3
8662,English,R,724,4.7
4288,English,R,194,5.7
4181,English,TV-14,396,8.1
30618,English,PG-13,591,7.8
27346,English,Unrated,51,6.5
46107,Hebrew,R,0,8.0
397,English,PG-13,69,3.3
7314,English,,21,8.3
16645,English,R,1000,6.9
415,English,,289,7.3
5475,English,PG,142,8.1
8204,English,PG,962,6.5
5615,English,NC-17,334,6.8
4359,English,R,159,7.3
4049,English,PG-13,559,6.4
3467,English,R,131,4.6
11031,French,R,572,6.5
7479,English,PG-13,1000,7.0
34556,English,R,357,5.4
5613,English,PG-13,3,6.7
275,Hindi,,89,2.8
16828,English,R,246,7.4
2522,English,R,12000,5.8
2081,English,R,497,7.1
1758,English,R,463,4.5
39559,English,TV-14,747,7.9
922,Hindi,PG,85,5.3
508,English,Not Rated,356,5.4
1278,English,PG,488,4.8
6223,English,PG-13,773,5.9
1268,English,,423,6.2
10182,English,R,196,5.9
19336,English,R,11000,6.6
10282,English,R,223,6.6
11211,English,PG-13,637,5.1
13279,English,Not Rated,152,6.0
57811,English,R,698,6.8
2895,English,R,449,5.4
17296,English,R,480,5.2
9689,English,R,18,7.8
2588,English,R,312,6.4
40380,English,Not Rated,113,6.1
6585,English,R,94,5.7
9280,English,R,167,5.5
7,English,,27,7.4
27646,English,GP,430,7.1
289,English,Not Rated,303,3.9
355,English,R,453,4.6
7646,English,,511,7.3
19236,English,Not Rated,29,7.7
2701,English,R,597,4.9
5182,English,R,284,6.3
5732,English,R,811,6.1
4204,English,,463,6.6
344,English,Not Rated,403,5.7
4478,English,R,591,5.6
952,German,M,57,6.0
3605,English,R,472,5.7
6804,English,Approved,164,7.0
2242,English,,562,5.3
583,English,PG-13,1000,4.4
2348,English,R,418,3.4
1040,English,,860,4.5
838,English,Not Rated,1000,3.4
11763,English,R,1000,7.1
4894,English,PG-13,495,6.4
2032,English,R,217,5.2
118684,English,R,517,7.0
65877,English,R,680,7.3
6678,Arabic,Not Rated,10,8.1
1010,French,Unrated,323,5.8
108248,English,R,2000,5.9
5018,Hindi,Not Rated,168,6.4
149293,English,X,852,7.5
40481,English,PG-13,27,7.8
333,English,,40,6.3
744,English,R,606,7.2
41509,English,PG-13,400,5.6
29019,English,R,548,7.2
78454,English,PG,416,8.0
342585,English,PG,575,8.5
11088,Spanish,R,163,6.8
70336,English,PG-13,458,7.3
22764,English,G,356,5.5
2794,English,PG-13,380,7.3
2603,English,R,471,6.3
563,Tamil,,77,5.1
13223,English,PG-13,14000,6.6
1435,English,PG-13,580,6.1
1747,Dzongkha,,0,7.5
25472,English,M,844,7.0
1756,English,,399,7.2
6267,English,R,642,5.3
13,English,,258,8.7
761,English,PG-13,108,3.4
686,English,Not Rated,713,5.4
161471,German,R,37,7.8
26773,English,R,461,6.7
840,English,PG,450,4.7
28,English,PG-13,42,6.3
5526,Spanish,PG-13,399,7.4
23268,English,PG,70,6.1
32415,English,R,874,7.5
56402,English,R,445,6.3
8697,English,PG-13,347,6.3
16349,English,R,46,6.8
