director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score
Corey Yuen,23,748,826,Action|Adventure,DOA: Dead or Alive ,180,English,USA,PG-13,21000000,816,4.8
Andrew Dominik,181,820,11000,Biography|Crime|Drama|History|Western,The Assassination of Jesse James by the Coward Robert Ford ,415,English,USA,R,30000000,10000,7.5
Li Zhang,0,187,974,Action|Adventure|Drama|History|War,1911 ,27,Mandarin,China,R,18000000,643,6.0
Laurent Tirard,2,55,295,Comedy|Family,Little Nicholas ,17,French,France,,,71,7.2
Simon West,165,700,26000,Action|Crime|Drama|Thriller,Wild Card ,114,English,USA,R,30000000,947,5.6
Marc Forster,395,313,18000,Action|Biography|Crime|Drama,Machine Gun Preacher ,124,English,USA,R,30000000,1000,6.8
Reinhard Klooss,7,480,1000,Animation|Comedy|Family,Animals United ,44,German,Germany,PG,,898,4.9
Bille August,55,11,113,Biography|Drama|History,The Color of Freedom ,23,English,Germany,R,30000000,11,7.1
Frédéric Auburtin,18,432,922,Drama|History|Sport,United Passions ,22,English,France,Not Rated,24000000,919,2.0
Olivier Dahan,61,520,963,Biography|Drama|Romance,Grace of Monaco ,62,English,Switzerland,,30000000,903,5.7
Maksim Fadeev,0,21,114,Adventure|Animation|Fantasy,A Warrior's Tail ,7,Russian,Russia,,30000000,35,4.1
Liliana Cavani,59,24,1000,Crime|Drama|Mystery|Thriller,Ripley's Game ,108,English,Italy,R,30000000,794,6.7
Greg Tiernan,5,365,11000,Adventure|Animation|Comedy|Fantasy,Sausage Party ,14,English,USA,R,19000000,4000,7.5
Elizabeth Banks,0,751,10000,Comedy|Music,Pitch Perfect 2 ,185,English,USA,PG-13,29000000,1000,6.5
James Mangold,446,154,523,Biography|Drama|Music|Romance,Walk the Line ,815,English,USA,PG-13,28000000,405,7.9
,,442,757,Adventure|Drama|Mystery|Sci-Fi|Thriller,12 Monkeys             ,56,English,USA,TV-14,,641,7.6
Edward Norton,0,754,955,Comedy|Drama|Romance,Keeping the Faith ,259,English,USA,PG-13,30000000,869,6.4
Peter Hewitt,12,373,1000,Adventure|Comedy|Family|Fantasy,The Borrowers ,39,English,UK,PG,29000000,409,5.8
Ron Howard,2000,1000,2000,Drama,Frost/Nixon ,241,English,USA,R,35000000,1000,7.7
George Clooney,0,89,504,Biography|Comedy|Crime|Drama|Romance|Thriller,Confessions of a Dangerous Mind ,276,English,USA,R,29000000,147,7.1
Reginald Hudlin,71,584,2000,Comedy|Romance,Serving Sara ,101,English,Germany,PG-13,29000000,719,5.3
Ben Falcone,265,265,22000,Comedy,The Boss ,96,English,USA,R,29000000,779,5.3
Richard Attenborough,0,400,18000,Biography|Drama|History,Cry Freedom ,51,English,UK,PG,29000000,427,7.5
Lawrence Kasdan,759,933,11000,Comedy|Drama,Mumford ,123,English,USA,R,28000000,1000,6.9
Don Mancini,64,363,1000,Comedy|Fantasy|Horror|Thriller,Seed of Chucky ,214,English,Romania,R,12000000,857,4.9
John Maybury,11,566,1000,Drama|Mystery|Sci-Fi|Thriller,The Jacket ,263,English,USA,R,29000000,948,7.1
Ron Clements,63,631,49000,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,244,English,USA,G,28000000,2000,8.0
F. Gary Gray,473,303,559,Biography|Crime|Drama|History|Music,Straight Outta Compton ,331,English,USA,R,28000000,427,7.9
Steven Spielberg,14000,237,11000,Action|Adventure,Indiana Jones and the Temple of Doom ,524,English,USA,PG,28000000,429,7.6
Igor Kovalyov,5,368,971,Adventure|Animation|Comedy|Drama|Family|Musical,The Rugrats Movie ,67,English,USA,G,24000000,503,5.9
Lee Tamahori,93,878,11000,Crime|Drama|Thriller,Along Came a Spider ,317,English,USA,R,60000000,2000,6.3
Stephen Frears,350,83,11000,Biography|Comedy|Drama|Music|Romance,Florence Foster Jenkins ,32,English,UK,PG-13,29000000,183,7.1
Robert Rodriguez,0,876,40000,Action|Crime|Thriller,Once Upon a Time in Mexico ,471,English,USA,R,29000000,4000,6.4
John McTiernan,323,541,25000,Action|Thriller,Die Hard ,722,English,USA,R,28000000,13000,8.2
David Wain,136,526,833,Comedy,Role Models ,170,English,Germany,R,28000000,543,6.9
Adam McKay,285,767,33000,Biography|Comedy|Drama|History,The Big Short ,374,English,USA,R,28000000,23000,7.8
Ang Lee,0,210,579,Comedy|Drama|Music,Taking Woodstock ,71,English,USA,R,30000000,489,6.7
Gavin O'Connor,149,250,639,Biography|Drama|History|Sport,Miracle ,289,English,USA,PG,28000000,617,7.5
Zack Snyder,0,1000,3000,Action|Horror|Thriller,Dawn of the Dead ,1057,English,USA,R,26000000,2000,7.4
Adam Shankman,163,968,11000,Comedy|Romance,The Wedding Planner ,229,English,Germany,PG-13,35000000,2000,5.2
Shinji Aramaki,21,47,173,Adventure|Animation|Sci-Fi,Harlock: Space Pirate ,28,Japanese,Japan,Not Rated,30000000,59,6.5
Wes Anderson,0,327,13000,Comedy|Drama,The Royal Tenenbaums ,962,English,USA,R,21000000,1000,7.6
James Mangold,446,660,1000,Mystery|Thriller,Identity ,714,English,USA,R,30000000,872,7.3
Jon Turteltaub,226,966,22000,Comedy|Romance,Last Vegas ,173,English,USA,PG-13,28000000,11000,6.6
John Glen,46,244,844,Action|Adventure|Thriller,For Your Eyes Only ,263,English,UK,PG,28000000,402,6.8
Peter Chelsom,23,6,11,Comedy|Romance,Serendipity ,374,English,USA,PG-13,28000000,9,6.9
Peter Hyams,0,186,664,Action|Crime|Sci-Fi|Thriller,Timecop ,115,English,Canada,R,27000000,655,5.8
Ben Stiller,0,8000,14000,Comedy,Zoolander ,523,English,Germany,PG-13,28000000,10000,6.6
Lasse Hallström,529,325,576,Drama|Romance|Thriller,Safe Haven ,160,English,USA,PG-13,28000000,447,6.7
Kenny Ortega,197,115,580,Comedy|Family|Fantasy,Hocus Pocus ,132,English,USA,PG,28000000,336,6.7
Scott Hicks,96,559,943,Comedy|Drama|Romance,No Reservations ,128,English,USA,PG,28000000,763,6.3
Matthew Vaughn,905,385,553,Action|Comedy,Kick-Ass ,801,English,UK,R,30000000,488,7.7
Ruben Fleischer,181,459,731,Action|Comedy|Crime,30 Minutes or Less ,122,English,Germany,R,28000000,579,6.1
Patrick Lussier,71,1000,18000,Action|Fantasy|Horror|Thriller,Dracula 2000 ,365,English,USA,R,28000000,1000,4.9
Miguel Arteta,44,3000,35000,Comedy|Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",85,English,USA,PG,28000000,7000,6.2
Joe Wright,456,241,422,Drama|Romance,Pride & Prejudice ,1058,English,France,PG,28000000,286,7.8
Ridley Scott,0,521,11000,Sci-Fi|Thriller,Blade Runner ,1168,English,USA,R,28000000,759,8.2
Michael Caton-Jones,105,902,14000,Adventure|Biography,Rob Roy ,126,English,USA,R,28000000,1000,6.9
McG,368,114,933,Action|Drama|Thriller,3 Days to Kill ,211,English,USA,PG-13,28000000,194,6.2
James Gray,115,97,3000,Crime|Drama|Thriller,We Own the Night ,199,English,USA,R,21000000,327,6.9
Janusz Kaminski,710,258,497,Drama|Horror|Thriller,Lost Souls ,167,English,USA,R,28000000,347,4.8
Jacques Perrin,63,,63,Documentary,Winged Migration ,153,English,France,G,160000000,3,8.0
Donald Petrie,80,585,806,Comedy|Fantasy|Romance,Just My Luck ,149,English,USA,PG-13,28000000,591,5.3
Jay Roach,116,385,738,Comedy|Drama|Sport,"Mystery, Alaska ",123,English,Canada,R,28000000,428,6.7
Brian Levant,32,453,1000,Action|Comedy|Family,The Spy Next Door ,71,English,USA,PG,28000000,626,5.4
Michael Ritchie,23,899,1000,Comedy|Family|Fantasy,A Simple Wish ,21,English,USA,PG,28000000,937,5.4
John Carpenter,0,900,26000,Action|Horror|Sci-Fi,Ghosts of Mars ,460,English,USA,R,28000000,1000,4.9
David Gordon Green,234,660,1000,Comedy|Drama,Our Brand Is Crisis ,50,English,USA,R,28000000,962,6.1
Burr Steers,23,845,2000,Action|Horror|Romance,Pride and Prejudice and Zombies ,134,English,USA,PG-13,28000000,860,5.8
Martin Scorsese,17000,0,2,Biography|Drama|History|War,Kundun ,117,English,USA,PG-13,28000000,2,7.0
Robert B. Weide,53,87,480,Comedy|Drama|Romance,How to Lose Friends & Alienate People ,98,English,UK,R,27000000,261,6.5
Jeff Wadlow,65,405,17000,Action|Comedy|Crime,Kick-Ass 2 ,378,English,USA,R,28000000,927,6.6
Agustín Díaz Yanes,13,278,10000,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,84,Spanish,Spain,,24000000,1000,6.1
Camille Delamarre,11,561,23000,Action|Crime|Drama|Thriller,Brick Mansions ,112,English,France,PG-13,28000000,727,5.7
John Glen,46,293,594,Action|Adventure|Thriller,Octopussy ,225,English,UK,PG,27500000,303,6.6
Judd Apatow,0,529,11000,Comedy|Romance,Knocked Up ,559,English,USA,R,30000000,985,7.0
Nick Cassavetes,415,228,673,Drama,My Sister's Keeper ,184,English,USA,PG-13,30000000,489,7.4
Malcolm D. Lee,92,436,940,Comedy|Drama|Romance,"Welcome Home, Roscoe Jenkins ",39,English,USA,PG-13,35000000,706,5.3
David Lean,767,162,358,Adventure|Drama|History,A Passage to India ,89,English,UK,PG,16000000,223,7.4
Richard Eyre,14,78,386,Crime|Drama|Romance|Thriller,Notes on a Scandal ,281,English,UK,R,15000000,99,7.4
Gavin Hood,151,11000,24000,Drama|Thriller,Rendition ,197,English,USA,R,27500000,15000,6.8
,,535,766,Crime|Drama|Sci-Fi|Thriller,Limitless             ,131,English,USA,TV-14,,638,7.9
Nicholas Meyer,120,664,12000,Action|Adventure|Sci-Fi|Thriller,Star Trek VI: The Undiscovered Country ,188,English,USA,PG,30000000,1000,7.2
Callie Khouri,144,477,1000,Drama,Divine Secrets of the Ya-Ya Sisterhood ,199,English,USA,PG-13,27000000,482,6.0
Jon Favreau,4000,591,19000,Adventure|Drama|Family|Fantasy,The Jungle Book ,398,English,UK,PG,175000000,13000,7.8
Gary Fleder,39,685,11000,Crime|Drama|Mystery|Thriller,Kiss the Girls ,143,English,USA,R,27000000,956,6.6
John Landis,644,326,1000,Action|Comedy|Crime|Music,The Blues Brothers ,319,English,USA,R,27000000,809,7.9
Sanaa Hamri,43,523,953,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants 2 ,33,English,USA,PG-13,,713,6.2
Todd Graff,650,715,1000,Comedy|Music,Joyful Noise ,71,English,USA,PG-13,25000000,773,5.7
Chris Weitz,129,3,66,Comedy|Drama|Romance,About a Boy ,391,English,UK,PG-13,30000000,5,7.1
Steve Miner,49,429,1000,Action|Comedy|Horror,Lake Placid ,366,English,USA,R,27000000,888,5.6
Paul McGuigan,118,1000,13000,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,507,English,Germany,R,27000000,11000,7.8
Philip Kaufman,133,820,2000,Adventure|Drama|History,The Right Stuff ,170,English,USA,PG,27000000,826,7.9
Roland Emmerich,776,358,898,Drama|History|Thriller,Anonymous ,136,English,UK,PG-13,30000000,584,6.9
Wolfgang Petersen,249,271,523,Adventure|Drama|Family|Fantasy,The NeverEnding Story ,284,English,West Germany,PG,27000000,312,7.4
Alex Proyas,295,531,3000,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Dark City ,624,English,Australia,R,27000000,882,7.7
Saul Dibb,10,844,3000,Biography|Drama|History|Romance,The Duchess ,140,English,UK,PG-13,13500000,2000,6.9
,,94,491,Comedy|Family,The Honeymooners             ,31,English,USA,,,154,8.7
Walter Murch,181,137,303,Adventure|Family|Fantasy|Horror|Mystery,Return to Oz ,208,English,UK,PG,25000000,146,6.7
Richard Linklater,0,324,11000,Action|Crime|Drama|History|Western,The Newton Boys ,39,English,USA,PG-13,27000000,597,6.0
Christian Alvart,22,355,14000,Horror|Mystery|Thriller,Case 39 ,174,English,USA,R,27000000,716,6.2
E. Elias Merhige,54,398,748,Crime|Drama|Mystery|Thriller,Suspect Zero ,139,English,USA,R,27000000,489,5.9
Menno Meyjes,43,460,1000,Comedy|Drama|Family,Martian Child ,71,English,USA,PG,27000000,506,6.8
Robert Rodriguez,0,640,2000,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids: All the Time in the World in 4D ,83,English,USA,PG,27000000,734,3.6
Jodie Foster,0,638,8000,Crime|Drama|Thriller,Money Monster ,103,English,USA,R,27000000,698,6.7
Ronny Yu,31,57,783,Action|Comedy|Crime|Thriller,Formula 51 ,167,English,UK,R,28000000,132,6.3
Joel Schumacher,541,638,22000,Comedy|Crime|Drama,Flawless ,105,English,USA,R,15000000,22000,6.4
Renny Harlin,212,749,1000,Crime|Horror|Mystery|Thriller,Mindhunters ,226,English,USA,R,27000000,968,6.4
Barry Levinson,272,17000,22000,Comedy|Drama,What Just Happened ,111,English,USA,R,25000000,18000,5.7
Norman Jewison,278,387,844,Drama|Thriller,The Statement ,52,English,Canada,R,23000000,766,6.2
Kenneth Branagh,0,3,5,Drama|Musical|Romance,The Magic Flute ,19,English,France,,27000000,4,6.6
Steve Carr,41,328,567,Action|Comedy|Crime,Paul Blart: Mall Cop ,201,English,USA,PG,26000000,402,5.2
Mark Waters,70,512,2000,Comedy|Family|Fantasy|Music|Romance,Freaky Friday ,271,English,USA,PG,26000000,528,6.1
Judd Apatow,0,218,7000,Comedy|Romance,The 40-Year-Old Virgin ,546,English,USA,R,26000000,966,7.1
John Madden,108,239,1000,Comedy|Drama|Romance,Shakespeare in Love ,752,English,USA,R,25000000,264,7.2
Scott Frank,71,313,14000,Crime|Drama|Mystery|Thriller,A Walk Among the Tombstones ,207,English,USA,R,28000000,439,6.5
Ivan Reitman,425,344,743,Action|Comedy|Crime,Kindergarten Cop ,109,English,USA,PG-13,26000000,394,6.0
David Gordon Green,234,919,11000,Action|Comedy|Crime,Pineapple Express ,374,English,USA,R,27000000,989,7.0
Andy Tennant,72,343,1000,Comedy|Drama|Romance,Ever After: A Cinderella Story ,345,English,USA,PG-13,26000000,794,7.0
Kevin Costner,0,648,3000,Drama|Romance|Western,Open Range ,494,English,USA,R,22000000,693,7.5
Joel Schumacher,541,442,8000,Drama|Horror|Sci-Fi|Thriller,Flatliners ,148,English,USA,R,26000000,1000,6.6
,,424,813,Comedy,It's Always Sunny in Philadelphia             ,151,English,USA,TV-MA,,547,8.8
Richard Attenborough,0,14,385,Drama|History|War,A Bridge Too Far ,210,English,USA,PG,26000000,232,7.4
Wes Craven,0,178,332,Mystery|Thriller,Red Eye ,673,English,USA,PG-13,26000000,285,6.5
David R. Ellis,160,392,748,Horror|Thriller,Final Destination 2 ,472,English,USA,R,26000000,439,6.2
Joel Coen,0,577,1000,Adventure|Comedy|Crime|Music,"O Brother, Where Art Thou? ",862,English,UK,PG-13,26000000,596,7.8
Scott Stewart,124,534,2000,Action|Fantasy|Horror,Legion ,315,English,USA,R,26000000,850,5.2
Michael Bay,0,385,12000,Comedy|Crime|Drama,Pain & Gain ,287,English,USA,R,26000000,412,6.5
Paul Weitz,80,2000,19000,Comedy|Drama|Romance,In Good Company ,214,English,USA,PG-13,26000000,3000,6.5
Jonathan Frakes,906,528,2000,Action|Adventure|Comedy|Sci-Fi|Thriller,Clockstoppers ,94,English,USA,PG,26000000,587,5.2
Lawrence Kasdan,759,67,826,Action|Crime|Drama|Western,Silverado ,149,English,USA,PG-13,26000000,130,7.2
Jim Sheridan,260,3000,20000,Drama|Thriller,Brothers ,201,English,USA,R,26000000,15000,7.1
Kevin Allen,8,588,1000,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Agent Cody Banks 2: Destination London ,44,English,USA,PG,26000000,934,4.5
Garry Marshall,0,307,22000,Comedy|Romance,New Year's Eve ,134,English,USA,PG-13,56000000,988,5.7
Michael Cristofer,49,155,11000,Drama|Mystery|Romance|Thriller,Original Sin ,181,English,France,R,42000000,216,6.0
James McTeigue,160,427,771,Crime|Mystery|Thriller,The Raven ,190,English,USA,R,26000000,570,6.4
Donald Petrie,80,509,826,Comedy|Romance,Welcome to Mooseport ,95,English,USA,PG-13,26000000,590,5.2
Andrew Morahan,5,535,1000,Action|Fantasy|Romance|Sci-Fi,Highlander: The Final Dimension ,79,English,Canada,PG-13,26000000,691,4.3
Bob Rafelson,30,223,1000,Crime|Drama|Thriller,Blood and Wine ,55,English,USA,R,22000000,854,6.1
Michael Cohn,2,512,642,Fantasy|Horror,Snow White: A Tale of Terror ,69,English,USA,R,26000000,638,6.3
Woody Allen,11000,277,11000,Comedy|Crime|Mystery|Romance,The Curse of the Jade Scorpion ,178,English,USA,PG-13,26000000,893,6.8
David O. Russell,737,816,15000,Comedy|Romance,Accidental Love ,28,English,USA,PG-13,26000000,980,4.0
Alan Shapiro,0,26,442,Adventure|Family,Flipper ,26,English,USA,PG,25530000,95,5.2
Tarsem Singh,763,523,16000,Action|Mystery|Sci-Fi|Thriller,Self/less ,126,English,USA,PG-13,26000000,543,6.5
Fernando Meirelles,353,151,883,Drama|Mystery|Romance|Thriller,The Constant Gardener ,568,English,UK,R,15000000,430,7.5
Mel Gibson,0,113,260,Drama,The Passion of the Christ ,2814,Aramaic,USA,R,30000000,252,7.1
Chris Columbus,0,711,49000,Comedy|Drama|Family|Romance,Mrs. Doubtfire ,223,English,USA,PG-13,25000000,1000,6.9
Barry Levinson,272,628,10000,Drama,Rain Man ,331,English,USA,R,25000000,898,8.0
Clint Eastwood,16000,198,16000,Drama,Gran Torino ,871,English,USA,R,33000000,601,8.2
Oliver Stone,0,655,2000,Biography|Drama|History,W. ,320,English,USA,PG-13,25100000,826,6.4
Pierre Morel,180,485,14000,Action|Thriller,Taken ,974,English,France,PG-13,25000000,816,7.9
Michael Hoffman,97,437,775,Drama|Romance,The Best of Me ,99,English,USA,PG-13,26000000,523,6.7
Mick Jackson,81,164,970,Action|Drama|Music|Romance,The Bodyguard ,126,English,USA,R,25000000,854,6.1
Steven Spielberg,14000,212,14000,Biography|Drama|History,Schindler's List ,1273,English,USA,R,22000000,795,8.9
Tate Taylor,150,2000,15000,Drama,The Help ,460,English,USA,PG-13,25000000,3000,8.1
Bill Condon,386,203,19000,Biography|Drama|Thriller,The Fifth Estate ,105,English,USA,R,28000000,17000,6.2
Raja Gosnell,67,596,4000,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Scooby-Doo 2: Monsters Unleashed ,149,English,USA,PG,80000000,2000,4.9
Oleg Stepchenko,0,48,1000,Adventure|Fantasy|Mystery|Thriller,Viy ,18,Russian,Russia,,26000000,65,5.4
Ronny Yu,31,662,918,Action|Horror|Thriller,Freddy vs. Jason ,885,English,USA,R,30000000,782,5.8
Michael Winterbottom,187,127,554,Drama,The Face of an Angel ,25,English,UK,Not Rated,,213,4.7
John A. Davis,8,179,770,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Jimmy Neutron: Boy Genius ,118,English,USA,G,30000000,677,6.0
Matt Reeves,198,387,2000,Action|Adventure|Horror|Sci-Fi,Cloverfield ,2192,English,USA,PG-13,25000000,1000,7.0
Michael Pressman,34,445,642,Action|Adventure|Comedy|Family|Sci-Fi,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,93,English,USA,PG,25000000,533,6.0
Brian De Palma,0,188,22000,Crime|Drama|Thriller,The Untouchables ,418,English,USA,R,25000000,371,7.9
Ethan Coen,1000,883,2000,Crime|Drama|Thriller,No Country for Old Men ,1518,English,USA,R,25000000,939,8.1
Tim Story,167,460,655,Action|Comedy|Crime|Romance,Ride Along ,109,English,USA,PG-13,25000000,521,6.2
Sharon Maguire,11,887,14000,Comedy|Drama|Romance,Bridget Jones's Diary ,571,English,UK,R,26000000,1000,6.7
Lasse Hallström,529,163,541,Drama|Romance,Chocolat ,498,English,UK,PG-13,25000000,399,7.3
Charles Herman-Wurmfeld,0,643,934,Comedy,"Legally Blonde 2: Red, White & Blonde ",297,English,USA,PG-13,45000000,655,4.6
Andy Fickman,99,433,3000,Comedy|Family,Parental Guidance ,107,English,USA,PG,25000000,448,6.1
Ivan Reitman,425,766,20000,Comedy|Romance,No Strings Attached ,178,English,USA,R,25000000,962,6.2
George P. Cosmatos,170,472,2000,Action|Biography|Drama|History|Romance|Western,Tombstone ,439,English,USA,R,25000000,722,7.8
Andrzej Bartkowiak,43,775,5000,Action|Crime|Thriller,Romeo Must Die ,365,English,USA,R,25000000,848,6.1
Richard Donner,503,108,264,Fantasy|Horror|Mystery,The Omen ,310,English,UK,R,2800000,139,7.6
