director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_3_name,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Bruce Beresford,105,78,298,Annabeth Gish,116735231,Crime|Mystery|Thriller,Bruce Campbell,336,USA,R,70000000,489,6.4,2.35,0
Robert Zemeckis,108,0,690,Jeffrey Weissman,118500000,Adventure|Comedy|Sci-Fi,Thomas F. Wilson,327,USA,PG,40000000,869,7.8,1.85,12000
Luc Besson,89,0,903,Morgan Freeman,126546825,Action|Sci-Fi|Thriller,Amr Waked,918,France,R,40000000,11000,6.4,2.35,83000
Sam Taylor-Johnson,129,456,716,Luke Grimes,166147885,Drama|Romance,Callum Rennie,1360,USA,R,40000000,935,4.1,2.35,101000
Robert Rodriguez,84,0,2000,Salma Hayek,111760631,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,188,USA,PG,38000000,4000,4.1,1.85,681
Joel Schumacher,149,541,1000,Matthew McConaughey,108706165,Crime|Drama|Thriller,Oliver Platt,236,USA,R,40000000,11000,7.4,2.35,0
Shawn Levy,94,189,597,Alyson Stoner,138614544,Comedy|Family,Bonnie Hunt,288,USA,PG,40000000,2000,5.8,1.85,0
Peter Berg,121,532,127,Scott Elrod,125069696,Action|Biography|Drama|Thriller|War,Dan Bilzerian,420,USA,R,40000000,449,7.6,2.35,58000
Penny Marshall,128,545,251,Lori Petty,107458785,Comedy|Drama|Sport,Rosie O'Donnell,166,USA,PG,40000000,923,7.2,2.35,0
James Wan,134,0,336,Frances O'Connor,102310175,Horror|Mystery|Thriller,Robin Atkin Downes,279,USA,R,40000000,575,7.8,2.35,40000
David Fincher,120,21000,81,Dustin Fitzsimons,96917897,Biography|Drama,Marcella Lentz-Pope,696,USA,PG-13,40000000,349,7.7,2.35,74000
Ken Kwapis,129,42,49,Sabrina Revelle,93952276,Comedy|Drama|Romance,Sachiko Ishida,203,USA,PG-13,40000000,50,6.4,2.35,12000
David Zucker,89,119,807,Carmen Electra,90703745,Comedy,Regina Hall,410,USA,PG-13,45000000,869,5.1,1.85,1000
Wes Craven,116,0,71,Roger Jackson,89138076,Horror|Mystery,Nancy O'Dell,734,USA,R,40000000,157,5.5,2.35,0
Robert Zemeckis,118,0,690,Jeffrey Weissman,87666629,Adventure|Comedy|Sci-Fi|Western,Thomas F. Wilson,263,USA,PG,40000000,869,7.4,1.37,0
Etan Cohen,107,164,723,Alison Brie,90353764,Comedy|Crime,Craig T. Nelson,144,USA,R,40000000,2000,6.0,1.85,14000
Francis Ford Coppola,155,0,10000,Anthony Hopkins,82522790,Fantasy|Horror|Romance,Gary Oldman,654,USA,R,40000000,12000,7.5,1.85,14000
Nora Ephron,123,0,923,Mary Lynn Rajskub,94125426,Biography|Drama|Romance,Vanessa Ferlito,277,USA,PG-13,40000000,935,7.0,1.85,13000
Brian Helgeland,128,241,898,Christopher Meloni,95001343,Biography|Drama|Sport,Nicole Beharie,200,USA,PG-13,40000000,3000,7.5,2.35,28000
Anthony Minghella,139,333,1000,Matt Damon,81292135,Crime|Drama|Thriller,Jack Davenport,696,USA,R,40000000,13000,7.3,1.85,0
Bobby Farrelly,109,101,839,Kathleen Turner,86208010,Comedy,Rob Riggle,285,USA,PG-13,35000000,899,5.7,1.85,55000
Frank Marshall,120,155,249,Bruce Greenwood,81593527,Adventure|Drama|Family,Wendy Crewson,263,USA,PG,40000000,984,7.3,2.35,11000
Nancy Meyers,121,278,808,Anne Hathaway,75274748,Comedy|Drama,Rene Russo,304,USA,PG-13,35000000,11000,7.2,1.85,54000
Tim Story,102,167,655,Nadine Velazquez,90835030,Action|Comedy,Bruce McGill,58,USA,PG-13,40000000,874,5.9,2.35,0
Michael Mann,117,0,322,Terry Kinney,72455275,Action|Adventure|Drama|Romance|War,Eric Schweig,382,USA,R,40000000,363,7.8,2.35,0
Taylor Hackford,178,138,748,Curtis Armstrong,75305995,Biography|Drama|Music,Harry Lennix,433,USA,PG-13,40000000,876,7.7,1.85,0
Frank Miller,147,436,175,Powers Boothe,74098862,Crime|Thriller,Jason Douglas,1732,USA,R,40000000,472,8.1,1.85,13000
Pete Travis,90,38,882,Edgar Ramírez,72266306,Crime|Drama|Mystery|Thriller,William Hurt,422,USA,PG-13,40000000,897,6.6,2.35,0
John Hamburg,105,29,257,Jon Favreau,71347010,Comedy|Romance,Jane Curtin,215,USA,R,40000000,4000,7.1,1.85,0
Bobby Farrelly,114,101,398,Bruce McGill,70836296,Comedy|Drama|Fantasy|Romance,Susan Ward,426,USA,PG-13,40000000,655,5.9,1.85,0
Oliver Stone,206,0,4,Jay O. Sanders,70405498,Drama|History|Thriller,Cheryl Penland,442,France,R,40000000,256,8.0,2.35,0
John Whitesell,99,14,633,Nia Long,70163652,Comedy|Crime,Marisol Nichols,82,USA,PG-13,40000000,826,4.6,1.85,663
Gore Verbinski,123,563,8000,Brad Pitt,66808615,Adventure|Comedy|Crime|Romance,Julia Roberts,344,USA,R,34000000,11000,6.1,2.35,2000
Angelina Jolie Pitt,137,11000,465,Jack O'Connell,115603980,Biography|Drama|Sport|War,Alex Russell,351,USA,PG-13,65000000,698,7.2,2.35,35000
Burr Steers,102,23,651,Hunter Parrish,64149837,Comedy|Drama|Family|Fantasy|Romance,Thomas Lennon,185,USA,PG-13,20000000,2000,6.4,2.35,0
Nick Cassavetes,109,415,119,Kate Upton,83906114,Comedy|Romance,David Thornton,189,USA,PG-13,40000000,971,6.0,2.35,16000
David R. Ellis,82,160,748,Andrew Fiscella,66466372,Horror,Shantel VanSanten,290,USA,R,40000000,137000,5.2,2.35,0
Steven Spielberg,142,14000,423,Mark Rylance,72306065,Drama|History|Thriller,Amy Ryan,355,USA,PG-13,40000000,535,7.6,2.35,55000
John Moore,106,212,389,David Keith,59068786,Action|Drama|Thriller|War,Sam Jaeger,411,USA,PG-13,40000000,563,6.4,2.35,0
Nicholas Stoller,114,89,177,Mario Lopez,60923325,Comedy|Music,Lino Facioli,197,USA,R,,719,6.4,1.85,12000
Peter Chelsom,106,23,418,Nick Cannon,57887882,Comedy|Drama|Romance,Omar Benson Miller,211,USA,PG-13,50000000,593,6.1,1.85,0
Joe Dante,108,287,823,Denis Leary,53955614,Action|Adventure|Comedy|Family|Sci-Fi,Robert Picardo,139,USA,PG-13,40000000,835,6.1,2.35,0
Mark A.Z. Dippé,98,20,968,Frank Welker,54967359,Action|Horror,Miko Hughes,209,USA,R,40000000,2000,5.2,1.85,0
Kevin Reynolds,131,58,720,James Frain,54228104,Action|Adventure|Drama|Romance|Thriller,Michael Wincott,544,UK,PG-13,35000000,1000,7.7,1.85,0
Brad Furman,118,65,638,Margarita Levieva,57981889,Crime|Drama|Thriller,Frances Fisher,203,USA,R,40000000,980,7.3,2.35,25000
Jaume Collet-Serra,113,174,767,Frank Langella,61094903,Action|Mystery|Thriller,Aidan Quinn,332,UK,PG-13,30000000,903,6.9,2.35,29000
Christopher Nolan,130,22000,19000,Hugh Jackman,53082743,Drama|Mystery|Sci-Fi|Thriller,Scarlett Johansson,1100,USA,PG-13,40000000,20000,8.5,2.35,49000
Sean Anders,116,51,465,Christoph Waltz,54414716,Comedy|Crime,Lindsay Sloane,187,USA,R,42000000,11000,6.3,2.35,12000
Cal Brunker,89,7,91,Paul Scheer,57011847,Adventure|Animation|Comedy|Family|Sci-Fi,Jonathan Morgan Heit,44,USA,PG,40000000,190,5.9,2.35,0
Mel Gibson,139,0,19,Dalia Hernández,50859889,Action|Adventure|Drama|Thriller,Jonathan Brewer,1043,USA,R,40000000,78,7.8,1.85,14000
John Glen,130,46,162,Desmond Llewelyn,51185897,Action|Adventure|Thriller,Art Malik,271,UK,PG,30000000,244,6.7,2.35,0
Nimród Antal,107,190,520,Alice Braga,52000688,Action|Adventure|Sci-Fi|Thriller,Derek Mears,619,USA,R,40000000,1000,6.4,2.35,17000
Ivan Reitman,116,425,204,Debra Winger,49851591,Comedy|Crime|Romance,Roscoe Lee Browne,34,USA,PG,40000000,568,5.9,2.35,263
David Koepp,96,192,501,Charles S. Dutton,47781388,Mystery|Thriller,Timothy Hutton,531,USA,PG-13,40000000,534,6.6,2.35,0
Alejandro Agresti,99,18,211,Dylan Walsh,52320979,Drama|Fantasy|Romance,Ebon Moss-Bachrach,548,USA,PG,40000000,426,6.8,2.35,0
Iain Softley,104,34,280,Deneen Tyler,47806295,Horror|Mystery|Thriller,Joy Bryant,371,USA,PG-13,43000000,351,6.5,2.35,0
Peter Hedges,105,54,988,Odeya Rush,51853450,Comedy|Drama|Family|Fantasy,Common,110,USA,PG,25000000,2000,6.6,1.85,11000
Paul Weiland,101,10,681,Beau Garrett,46012734,Comedy|Romance,Kevin Sussman,101,USA,PG-13,40000000,689,5.8,2.35,3000
Clint Eastwood,134,16000,235,Steve Schirripa,47034272,Biography|Drama|Music|Musical,Scott Vance,190,USA,R,40000000,413,6.9,2.35,16000
Francis Ford Coppola,135,0,913,Dean Stockwell,45856732,Crime|Drama|Thriller,Virginia Madsen,141,USA,PG-13,40000000,936,7.1,2.35,0
Mathieu Kassovitz,98,326,416,Charles S. Dutton,59588068,Horror|Mystery|Thriller,Bernard Hill,376,USA,R,40000000,534,5.8,1.85,0
Steven Spielberg,155,14000,11000,Morgan Freeman,44175394,Drama|History,Matthew McConaughey,227,USA,R,36000000,11000,7.2,1.85,0
John McTiernan,106,323,0,José Wilker,45500797,Adventure|Drama|Romance,Sean Connery,56,USA,PG-13,40000000,47,6.0,2.35,694
Colin Strause,102,25,473,Johnny Lewis,41797066,Action|Horror|Sci-Fi|Thriller,Ian Whyte,998,USA,R,40000000,741,4.7,2.35,0
Donald Petrie,95,80,287,John Larroquette,38087756,Comedy|Family,Jonathan Hyde,39,USA,PG,40000000,450,5.2,1.85,0
Joan Chen,103,643,586,Sam Trammell,37752931,Drama|Romance,Elaine Stritch,180,USA,PG-13,40000000,1000,5.5,1.85,0
Marc Lawrence,95,30,664,Scott Porter,50562555,Comedy|Music|Romance,Haley Bennett,291,USA,PG-13,,690,6.5,1.85,0
Greg Mottola,109,99,57,Nelson Ascencio,37371385,Adventure|Comedy|Sci-Fi,Jeremy Owen,334,USA,R,40000000,61,7.0,2.35,42000
Anne Fletcher,95,98,78,Tom Virtue,37101011,Comedy|Drama,Julene Renee,103,USA,PG-13,40000000,358,5.8,2.35,0
Wes Craven,111,0,687,Aimee Teegarden,38176892,Horror|Mystery,Shenae Grimes-Beech,518,USA,R,40000000,741,6.2,2.35,26000
Joel Schumacher,123,541,173,Chris Bauer,36283504,Mystery|Thriller,Anthony Heald,587,Germany,R,40000000,638,6.5,2.35,0
Oliver Stone,140,0,552,Kevin Dillon,35183792,Biography|Drama|Music|Musical,Kathleen Quinlan,209,USA,R,38000000,576,7.2,2.35,0
Jake Kasdan,94,52,214,Randall Park,38543473,Comedy,Nat Faxon,158,USA,R,40000000,392,5.1,1.85,0
Diane Keaton,94,0,235,Celia Weston,36037909,Comedy|Drama,Jesse James,130,Germany,PG-13,60000000,258,4.7,1.85,390
Steven Quale,92,77,495,Jacqueline MacInnes Wood,42575718,Horror,Courtney B. Vance,227,USA,R,40000000,682,5.9,2.35,20000
Kelly Makin,102,6,584,Burt Young,33864342,Comedy|Crime|Romance,Vincent Pastore,117,UK,PG-13,40000000,683,5.8,1.85,445
Mimi Leder,123,75,754,Haley Joel Osment,33508922,Drama,Angie Dickinson,660,USA,PG-13,40000000,3000,7.2,1.85,16000
Bobby Farrelly,104,101,223,KaDee Strickland,42071069,Comedy|Drama|Romance|Sport,Ione Skye,208,USA,PG-13,30000000,299,6.2,2.35,0
,30,,12,Melissa Altro,,Animation|Comedy|Family,Daniel Brochu,43,Canada,TV-Y,,21,7.4,1.33,301
Steven Brill,102,65,490,Shaun Weiss,32853640,Comedy|Drama,Matt Walsh,101,USA,PG-13,40000000,613,5.7,2.35,702
Seth MacFarlane,136,3000,3000,Charlize Theron,42615685,Comedy|Western,Seth MacFarlane,416,USA,R,40000000,9000,6.1,2.35,24000
Russell Mulcahy,93,85,510,Peter Boyle,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,John Kapelos,146,USA,PG-13,25000000,595,6.0,1.85,0
Stephen Daldry,129,335,64,Thomas Horn,31836745,Adventure|Drama|Mystery,Stephen Henderson,341,USA,PG-13,40000000,467,6.9,2.35,39000
Roger Michell,107,50,58,Patti D'Arbanville,30993544,Comedy|Drama|Romance,Vanessa Aspillaga,156,USA,PG-13,40000000,117,6.5,2.35,0
Jim Sheridan,117,260,441,Bill Duke,30981850,Biography|Crime|Drama|Music,Marc John Jefferies,284,USA,R,40000000,1000,5.0,2.35,0
Christian Duguay,116,18,249,Cary-Hiroyuki Tagawa,30199105,Action|Adventure|Crime|Thriller,Anne Archer,167,USA,R,40000000,1000,5.7,2.35,470
Chris Columbus,135,0,715,David Fine,29077547,Drama|Musical|Romance,Jesse L. Martin,754,USA,PG-13,40000000,1000,7.0,2.35,3000
Chuck Russell,107,55,294,Jimmy Smits,29374178,Crime|Drama|Horror|Thriller,Angela Bettis,188,USA,R,40000000,941,5.1,2.35,394
Sam Weisman,90,39,210,Valerie Perri,28535768,Comedy,Carlease Burke,105,USA,PG-13,40000000,322,5.3,1.85,279
John Frankenheimer,99,287,44,Temuera Morrison,27663982,Horror|Sci-Fi|Thriller,Marco Hofschneider,164,USA,PG-13,40000000,368,4.4,2.35,0
Peter Hyams,104,0,327,Justin Chambers,27053815,Action|Adventure|Romance,Stephen Rea,291,Germany,PG-13,40000000,931,4.7,2.35,299
Justin Chadwick,115,56,19000,Scarlett Johansson,26814957,Biography|Drama|History|Romance,Benedict Cumberbatch,252,UK,PG-13,35000000,19000,6.7,1.85,0
Pat O'Connor,119,7,903,Charlize Theron,25178165,Drama|Romance,Frank Langella,274,USA,PG-13,40000000,9000,6.7,1.85,8000
Stephen Hopkins,99,81,135,Andrea Frankle,25117498,Horror|Thriller,William Ragsdale,178,USA,R,40000000,253,5.7,2.35,0
Martin Scorsese,112,17000,354,David Carradine,32645,Crime|Drama|Romance|Thriller,David Proval,223,USA,R,500000,926,7.4,1.85,0
Penny Marshall,128,545,353,Cliff Robertson,24332324,Comedy|Drama,Lillo Brancato,61,USA,PG-13,40000000,754,6.1,1.85,680
Olivier Megaton,112,118,674,Callum Blue,36665854,Action|Crime|Drama|Thriller,Jesse Borrego,203,France,PG-13,40000000,738,6.4,2.35,15000
Frederik Du Chau,86,7,795,Jaleel White,22717758,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,Eric Idle,67,USA,G,40000000,908,6.2,1.85,0
Michael Caton-Jones,108,105,616,James Franco,22433915,Crime|Drama|Mystery|Thriller,John Doman,166,USA,R,60000000,11000,6.2,2.35,416
Irwin Winkler,128,34,685,Nathan Lane,22326247,Drama|Romance,Steven Weber,106,USA,PG-13,60000000,886,5.9,1.85,0
Joseph Kahn,84,33,1000,Jay Hernandez,21176322,Action|Comedy|Crime,Christina Milian,207,USA,PG-13,40000000,1000,4.0,2.35,0
Harold Becker,111,17,889,Martin Landau,20300000,Drama|Thriller,Bridget Fonda,60,USA,R,40000000,940,6.2,1.85,309
Paul Verhoeven,131,719,683,Elizabeth Berkley,20302961,Drama,Robert Davi,450,France,NC-17,45000000,893,4.6,2.35,0
Sofia Coppola,123,0,826,Shirley Henderson,15962471,Biography|Drama|History|Romance,Rip Torn,619,USA,PG-13,40000000,887,6.4,1.85,0
Barbet Schroeder,101,58,497,Michael Rapaport,14942422,Action|Crime|Thriller,Philip Baker Hall,60,USA,R,40000000,975,5.9,1.85,555
Stephen Kay,102,19,351,Miranda Richardson,14967182,Action|Crime|Drama|Thriller,Lauren Lee Smith,284,USA,R,40000000,530,5.1,2.35,604
J.A. Bayona,114,171,284,Geraldine Chaplin,18996755,Drama|Thriller,Oaklee Pendergast,322,Spain,PG-13,45000000,382,7.6,2.35,54000
Elaine May,107,124,572,Warren Beatty,14375181,Action|Adventure|Comedy|Music|Thriller,Isabelle Adjani,126,USA,PG-13,51000000,631,4.2,1.85,754
Wes Anderson,87,0,563,Meryl Streep,20999103,Adventure|Animation|Comedy|Crime|Family,Helen McCrory,245,USA,PG,40000000,11000,7.8,1.85,15000
Stephen Herek,103,65,311,Stockard Channing,14448589,Comedy|Romance,James Gammon,128,USA,PG-13,40000000,944,5.8,2.35,835
John Carpenter,99,0,402,Michael McKean,14358033,Comedy|Romance|Sci-Fi|Thriller,Patricia Heaton,66,USA,PG-13,40000000,658,5.9,2.35,630
Jean-Pierre Jeunet,122,0,54,Jamel Debbouze,33201661,Comedy|Romance,Isabelle Nanty,1314,France,R,77000000,326,8.4,2.35,39000
Dennie Gordon,91,29,762,Bob Saget,14018364,Comedy|Crime|Family|Romance,Riley Smith,111,USA,PG,30000000,799,4.8,1.85,849
Charles Shyer,103,14,624,Nia Long,13395939,Comedy|Drama|Romance,Jane Krakowski,146,UK,R,60000000,826,6.2,1.85,0
Ken Kwapis,107,42,171,Tim Blake Nelson,20113965,Biography|Drama|Romance,Andrew Daly,66,USA,PG,40000000,596,6.5,2.35,0
Ulu Grosbard,106,22,613,Treat Williams,13376506,Drama,Jonathan Jackson,111,USA,PG-13,40000000,642,6.3,1.85,579
William Malone,101,37,595,Jeffrey Combs,13208023,Crime|Horror|Thriller,Udo Kier,388,UK,R,42000000,886,3.3,2.35,612
Paul Weitz,109,80,835,Salma Hayek,13838130,Action|Adventure|Fantasy|Thriller,Patrick Fugit,157,USA,PG-13,40000000,4000,5.9,2.35,0
Paul McGuigan,110,118,287,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Mays,91,USA,PG-13,40000000,1000,6.0,2.35,11000
Danny DeVito,89,0,500,Amber Valletta,9652000,Comedy,Harvey Fierstein,147,USA,PG-13,40000000,627,5.8,1.85,0
Malcolm D. Lee,100,92,706,Sean Hayes,12081447,Comedy|Drama|Music,Mike Epps,25,USA,R,,760,6.5,2.35,866
Jerry Jameson,119,5,249,Jason Robards,7000000,Action|Adventure|Drama|Thriller,Anne Archer,70,UK,PG,36000000,372,4.7,2.35,328
Mic Rodgers,83,7,485,Daniel von Bargen,10431220,Action|Sci-Fi,Xander Berkeley,162,USA,R,24000000,577,4.1,1.85,401
Christian Alvart,108,22,61,Dennis Quaid,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,Eddie Rouse,310,Germany,R,33000000,2000,6.8,2.35,10000
Gary Fleder,102,39,259,Mekhi Phifer,6114237,Drama|Mystery|Sci-Fi|Thriller,Tim Guinee,207,USA,R,40000000,1000,6.2,1.85,892
Christian Duguay,93,18,443,Bridgette Wilson-Sampras,4835968,Action|Adventure|Thriller,Rupert Graves,82,UK,PG-13,40000000,545,4.5,2.35,158
Jean-Marie Poiré,84,8,219,Matt Ross,4777007,Comedy|Fantasy|Sci-Fi,John Aylward,98,France,PG-13,40000000,248,5.8,2.35,565
Danny Boyle,107,0,167,Benedict Wong,3675072,Adventure|Sci-Fi|Thriller,Troy Garity,801,UK,R,26000000,372,7.3,2.35,15000
Brian Robbins,91,48,39,Lou Saliba,18438149,Comedy|Drama,Greg Collins,93,USA,PG-13,40000000,46,5.9,2.35,0
Marc F. Adler,94,0,379,Anne Bancroft,511920,Adventure|Animation|Comedy|Fantasy|Romance,Kelly Ripa,26,USA,PG,40000000,754,4.4,1.85,211
Pierre Morel,115,180,87,Mark Rylance,10640645,Action|Crime|Drama|Mystery|Thriller,Jasmine Trinca,110,USA,R,40000000,535,5.8,2.35,0
Geoffrey Sax,93,13,173,Sophie Okonedo,652526,Action|Adventure|Family|Thriller,Ashley Walters,187,Germany,PG,40000000,460,5.1,2.35,823
D.J. Caruso,105,154,502,Aaron Yoo,80050171,Drama|Mystery|Thriller,Jose Pablo Cantillo,491,USA,PG-13,20000000,617,6.9,1.85,0
Iain Softley,107,34,472,Fisher Stevens,7564000,Comedy|Crime|Drama|Thriller,Lorraine Bracco,223,USA,PG-13,20000000,922,6.2,2.35,12000
Richard Shepard,101,47,2,Zan Marolt,876671,Adventure|Comedy|Drama|Romance|Thriller|War,Ljubomir Kerekes,90,USA,R,25000000,3,6.9,2.35,0
Joel Coen,111,0,385,Bill Cobbs,2869369,Comedy|Fantasy,John Mahoney,211,UK,PG,30000000,970,7.3,1.85,0
Peter Ho-Sun Chan,113,31,483,Takeshi Kaneshiro,128978,Action|Drama|History|Romance|War,Andy Lau,61,Hong Kong,R,40000000,755,7.1,2.35,0
Sergey Bodrov,112,44,533,Kuno Becker,77231,Drama|History|War,Jason Scott Lee,32,France,R,25000000,580,6.0,2.35,265
Joon-ho Bong,126,584,398,Ewen Bremner,4563029,Action|Drama|Sci-Fi|Thriller,Kang-ho Song,514,South Korea,R,39200000,557,7.0,1.85,58000
