num_critic_for_reviews,duration,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,budget,title_year,actor_2_facebook_likes,imdb_score
84,96,8000,15427192,11078,Tracey Walter,0,English,16000000,2000,2000,5.6
64,88,854,14792779,1653,Julie Kavner,0,English,16000000,1987,410,7.6
169,110,12000,13998282,15044,Quinton Aaron,1,English,16000000,2014,1000,3.1
158,113,21000,19057024,22088,Ruby Jerins,0,English,16000000,2010,541,7.2
46,101,812,14108518,1882,Trent Ford,1,English,16000000,2003,326,5.7
15,105,11000,13854000,14677,Tony Jay,0,English,20000000,1988,3000,5.2
68,125,18000,77324422,33865,Jason Robards,2,English,26000000,1993,15000,7.7
111,100,599,15500000,2389,Brad William Henke,0,English,16000000,1999,380,7.0
21,97,1000,11540112,3835,Jenifer Lewis,1,English,,2004,584,3.6
42,108,940,,1945,Brian Keith,7,English,16000000,1979,416,4.9
65,112,555,4734235,1227,Huey Lewis,0,English,15000000,2000,403,6.0
109,112,11000,4839383,12766,Treat Williams,0,English,16000000,2002,650,6.6
42,95,1000,4193025,2518,Shannon Tweed,0,English,15000000,1999,852,6.8
112,110,1000,5900000,1852,Celia Imrie,1,English,16000000,1986,309,7.2
146,118,1000,2849142,1889,Robin Weigert,1,English,16000000,2007,418,7.2
36,97,503,1686429,3100,Hill Harper,1,English,16000000,1997,489,2.8
230,120,10000,1984743,11019,Angela Sarafyan,3,English,16000000,2013,316,6.6
64,135,898,1666262,2096,Lynn Redgrave,0,English,16000000,2005,708,6.7
393,101,3000,2319187,5056,Tuppence Middleton,0,English,20000000,2013,1000,7.0
75,92,939,13922211,3935,Tom Arnold,9,English,16000000,2004,881,4.4
78,106,172,,329,Michel Galabru,2,French,11000000,2008,55,7.1
67,92,10000,23091,11091,Steven Mackintosh,1,English,15000000,2008,304,6.2
216,161,488,336467,943,Olly Alexander,0,English,13000000,2009,289,7.3
54,92,1000,2964,3086,Ivan Sergei,2,English,16000000,2012,945,5.1
84,93,1000,,4453,Joan Allen,0,English,16000000,2009,884,8.1
69,110,5000,,5273,Conrad Kemp,0,English,16000000,2013,170,6.7
208,122,883,2428883,2896,Miranda Otto,1,English,16000000,2014,596,6.6
32,91,890,13571817,3104,Kevin Pollak,3,English,15600000,2002,578,4.5
20,45,422,,537,Tommy Karlsen,0,English,34000000,,57,8.1
78,115,232,1554566,699,Charles Aznavour,1,English,,2002,150,6.6
21,94,844,508867,3583,William Shockley,0,English,,2001,626,6.5
40,93,1000,1181197,4329,Fisher Stevens,0,English,15500000,2005,1000,5.9
40,94,235,81525,303,Michel Muller,1,French,15300000,2001,46,6.6
251,95,499,7774730,1120,Tania Saulnier,0,English,15500000,2006,298,6.5
94,105,901,234760500,3464,James Russo,1,English,14000000,1984,605,7.3
102,103,3000,285761243,7521,Catherine O'Hara,5,English,18000000,1990,1000,7.5
21,102,19000,167780960,21499,Steve Guttenberg,4,English,11000000,1987,875,5.9
94,116,13000,177200000,14701,Teri Garr,1,English,22000000,1982,521,7.4
173,110,10000,176781728,13069,Adrian Pasdar,2,English,15000000,1986,1000,6.9
287,120,103,128067808,129,Sihung Lung,3,Mandarin,15000000,2000,21,7.9
176,122,18000,130058047,19078,Ara Celi,0,English,15000000,1999,828,8.4
479,118,14000,138795342,15732,Derek Jacobi,0,English,15000000,2010,1000,8.0
27,107,742,111936400,2151,Hugh O'Brian,1,English,15000000,1988,384,6.0
20,45,460,,2380,Jason Wiles,0,English,,,292,7.3
60,102,17000,317040,30978,William Hurt,1,English,15500000,2008,13000,6.8
70,154,852,94175854,2592,Dana Ivey,0,English,15000000,1985,581,7.8
43,103,94,,213,Kyung-gu Sol,2,Korean,,2009,80,5.7
1,141,11000,,13390,Moises Arias,2,English,100000000,2016,744,6.1
454,114,19000,91121452,20295,Allen Leech,1,English,14000000,2014,393,8.1
25,109,1000,69800000,2419,Alan Oppenheimer,1,English,10000000,1980,745,6.1
46,124,874,79900000,2667,Levon Helm,0,English,,1980,816,7.5
111,94,17000,64001297,20154,Rachael Harris,1,English,15000000,2010,975,6.2
393,100,1000,71588220,1949,Isabelle Nélisse,1,English,20000000,2013,340,6.2
318,101,2000,47000000,4400,P.J. Soles,0,English,300000,1978,742,7.9
55,98,816,61400000,3617,Jane Krakowski,1,English,15000000,1983,695,7.4
157,102,925,101978840,1018,Grasie Mercedes,0,English,15000000,2013,38,6.6
280,94,326,56437947,486,Alex Jennings,0,English,9800000,2006,48,7.3
109,92,925,73326666,1953,Glenn Shadix,3,English,15000000,1988,692,7.5
41,113,2000,55184721,6510,Lamman Rucker,8,English,15000000,2007,721,5.6
27,115,23000,50003300,29370,Eric Stoltz,4,English,15000000,1994,4000,7.3
462,95,11000,54322273,11946,Jessica Raine,0,English,17000000,2012,326,6.4
152,87,1000,47860214,2452,Brian Geraghty,0,English,15000000,2006,431,5.0
69,88,934,47811275,3707,Lee Majors,1,English,15000000,2002,927,5.4
140,183,22000,,34025,John Savage,2,English,15000000,1978,11000,8.2
130,97,22000,43022524,29252,John Michael Higgins,0,English,15000000,1997,4000,7.1
66,94,925,42672630,3423,Alex Borstein,1,English,17000000,2003,738,5.3
238,112,12000,42919096,15800,Nadine Velazquez,1,English,15000000,2013,1000,6.5
198,98,3000,42592530,4567,Allison Tolman,0,English,15000000,2015,658,6.2
154,104,4000,40064955,12170,Clea DuVall,1,English,15000000,1998,4000,6.4
19,118,90,39100956,114,Dororthy Thorton,0,English,,1993,22,7.2
131,120,22000,44886089,40117,Janeane Garofalo,3,English,10000000,1997,13000,6.9
97,99,11000,37882551,15369,Mia Kirshner,0,English,16000000,2001,983,5.7
355,109,15000,40983001,27788,America Ferrera,2,English,7000000,2012,10000,7.7
138,105,15000,20991497,44037,Bill Murray,1,English,37000000,2015,14000,5.4
102,106,23000,35007180,26652,William Petersen,0,English,15000000,2000,1000,5.6
419,123,13000,35887263,14100,Simon McBurney,0,English,15000000,2014,876,7.7
37,86,833,34308901,4435,Blair Underwood,3,English,16000000,2003,807,5.1
78,120,20000,33771174,22383,Stockard Channing,2,English,15000000,2000,1000,6.8
181,227,607,6000000,1076,Jack Hawkins,8,English,15000000,1962,202,8.4
220,119,908,33386128,3226,Margot Kidder,0,English,15000000,2009,764,4.9
349,115,2000,37877959,4896,Gaby Hoffmann,1,English,15000000,2014,820,7.1
241,114,956,32721635,3861,Martha MacIsaac,0,English,15000000,2009,878,6.6
103,90,1000,31585300,2666,Holland Taylor,0,English,15000000,2005,650,6.1
151,94,2000,30259652,5440,Bianca Kajlich,5,English,15000000,2002,864,4.1
344,106,14000,163192114,18003,Alexa Davalos,0,English,125000000,2010,1000,5.8
185,98,18000,30857814,20060,André the Giant,0,English,16000000,1987,636,8.1
112,126,18000,30226144,22745,John Heard,1,English,15000000,2007,2000,7.6
676,100,33000,35054909,34337,Russ Tamblyn,0,English,15000000,2011,745,7.8
74,89,811,29302097,2167,Glenne Headly,8,English,15000000,2004,636,4.6
65,111,818,29106737,1450,Kali Rocha,0,English,15000000,1998,511,6.0
274,100,10000,28637507,11471,Catherine McCormack,1,English,15000000,2007,1000,7.0
50,115,116,30127963,525,Ser'Darius Blain,0,English,15000000,2014,110,6.7
96,106,907,32645546,3462,Eva Marie Saint,5,English,14000000,2005,807,6.4
68,124,1000,27441122,5135,Omar Epps,0,English,15000000,2000,886,7.2
111,107,893,28014536,2044,Mitchell Ryan,1,English,15000000,1997,822,7.4
128,99,14000,33860010,16461,Beth Grant,3,English,15000000,2009,982,4.8
160,90,193,26421314,608,Kurt Loder,0,English,15000000,2000,184,4.0
93,101,838,24881000,1812,Brenda Strong,0,English,15000000,1996,328,6.2
278,119,19000,23089926,20391,Penelope Wilton,3,English,15000000,2005,567,7.7
81,103,512,26161406,1002,Jason Spevack,2,English,15000000,2010,316,6.7
58,134,12000,22954968,12749,Ben Chaplin,1,English,11500000,1993,310,7.9
153,155,3000,26384919,3677,Nina Hartley,15,English,15000000,1997,360,7.9
25,94,1000,22189039,2210,Joss Ackland,0,English,15000000,1993,605,5.5
46,95,1000,20998709,3845,Tim McGraw,0,English,15000000,2006,786,6.2
161,89,919,20801344,2559,Jacob Vargas,0,English,15000000,2007,557,5.1
108,97,912,21468807,2682,Jacinda Barrett,2,English,14000000,2000,786,4.1
69,90,882,19158074,2661,Jonathan Jackson,2,English,15000000,2002,874,6.7
78,92,472,18843314,1045,Drew Powell,1,English,20000000,2006,239,4.7
129,100,826,20566327,2958,Keegan-Michael Key,2,English,15000000,2016,622,6.4
135,117,3000,20218921,4204,Tim McGraw,4,English,15000000,2010,646,6.3
96,84,989,17411331,4660,Katharine Isabelle,3,English,15000000,1998,982,5.5
417,140,33000,21383298,34413,Angelo Anthony Pizza,3,English,15000000,2012,748,7.3
172,108,775,24984868,3033,Will Patton,2,English,15000000,2014,614,6.3
88,109,471,16459004,1069,Geneviève Bujold,1,English,15000000,1999,308,4.9
388,131,10000,15700000,11114,Brian Geraghty,0,English,15000000,2008,602,7.6
45,114,695,15100000,3444,David Keith,1,English,15000000,1984,654,6.0
414,97,11000,14938570,14025,Ben Mendelsohn,1,English,15000000,2012,820,6.2
291,122,22000,17237244,22574,Homayoun Ershadi,3,English,15000000,2014,164,6.8
97,87,826,14249005,2689,Eddie Kaye Thomas,1,English,15000000,2001,503,4.5
37,85,354,12701880,568,Phil Vischer,0,English,15000000,2008,173,5.7
68,85,468,10353690,646,Larry Mullen Jr.,0,English,,2007,67,8.4
90,101,1000,12801190,2764,Adam Copeland,1,English,15000000,2000,786,4.6
81,121,907,12549485,3633,Bobb'e J. Thompson,4,English,15000000,2006,585,6.2
221,107,11000,13766014,17627,Rafe Spall,0,English,15000000,2011,5000,7.0
230,111,796,13034417,2633,Alia Shawkat,1,English,15000000,2009,787,6.9
57,92,14000,11632420,15644,Kevin Gage,1,English,,2001,442,6.1
119,97,436,12212417,1172,Leland Orser,3,English,15000000,2003,324,6.7
97,97,12000,11614236,15209,Albert Brooks,2,English,15000000,1999,821,5.6
119,125,427,13337299,729,Sandra Nelson,7,English,20000000,2004,66,6.6
42,124,11000,10763469,12685,Mia Farrow,0,English,15000000,1989,860,6.4
24,76,595,11144518,1139,Shirley Douglas,0,English,15000000,1998,417,2.8
208,107,746,15608545,2377,Daniel Wu,3,English,15000000,2012,561,5.4
42,91,925,10443316,2913,Shelley Duvall,2,English,15000000,1998,660,5.0
44,96,989,10494147,3142,Elaine Hendrix,1,English,15000000,2000,841,5.1
230,142,22000,9929000,29475,Jim Broadbent,0,English,15000000,1985,5000,8.0
46,103,1000,10411980,4676,Jason Ritter,0,English,15000000,2004,872,5.9
18,60,443,,981,Chris Bruno,1,English,,,319,7.5
249,117,22000,17439163,47728,Steve Buscemi,1,English,15000000,1998,12000,8.2
197,116,3000,9396487,5012,S. Epatha Merkerson,0,English,15000000,2006,788,7.0
71,118,556,9059588,1873,Michael Michele,1,English,15000000,2002,463,6.6
190,108,11000,9172810,12178,Dan Futterman,0,English,16000000,2007,883,6.7
50,94,11000,8735529,13524,Marla Sokoloff,4,English,15000000,2000,897,5.5
63,97,890,8586376,3161,Bob Gunton,4,English,20000000,2002,852,4.9
104,97,14000,8378141,16502,Rupert Everett,5,English,15000000,2002,1000,6.9
,99,1000,,2166,Estelle Parsons,1,English,,1998,393,7.4
49,91,8000,8080116,10732,Tim Blake Nelson,0,English,15000000,2006,625,5.6
300,107,65,7757130,173,Eric Godon,1,English,15000000,2008,49,8.0
43,95,931,9123834,3322,Diahann Carroll,6,English,15000000,2013,539,5.3
132,102,15000,6409206,33153,Josh Gad,4,English,15000000,2008,14000,6.2
97,88,24000,6373693,25637,Bobby Coleman,1,English,15000000,2009,971,5.3
242,106,13000,7556708,14544,Terry Kinney,1,English,15000000,2012,826,6.6
218,92,860,5306447,2717,Conleth Hill,1,English,15000000,2009,658,7.2
49,105,477,5217498,2312,A.J. Buckley,4,English,15000000,2000,397,4.6
172,107,572,5023275,1627,Guillermo Arriaga,2,English,15000000,2005,324,7.5
68,120,49000,4956401,51657,Michael Jeter,2,English,15000000,1999,1000,6.5
223,103,21000,4235837,23932,Larry Miller,2,English,15000000,2005,1000,7.6
59,92,890,4002955,3654,Elden Henson,0,English,20000000,1999,729,6.2
252,147,6000,7219578,8484,Laura Harring,1,English,15000000,2001,889,8.0
106,98,837,3525161,1675,Chris Geere,0,English,,2007,400,5.5
223,98,12000,3247816,19310,Ewen Bremner,0,English,22000000,2010,6000,6.3
328,103,10000,2412045,12867,Charlotte Rampling,0,English,15000000,2010,882,7.2
9,286,857,,3809,Alessandro Nivola,3,English,,,555,7.9
150,111,918,2203641,1252,Mac McDonald,0,English,15000000,2008,278,6.7
21,98,876,1953732,1351,Mike Muscat,0,English,15000000,1986,324,5.3
28,111,783,1954202,4834,Noah Emmerich,0,English,15000000,1999,664,6.3
250,111,6000,1294640,6748,Brady Corbet,0,English,15000000,2007,294,6.5
17,100,192,,527,Amber Marie Bollinger,0,English,,2014,134,5.6
95,116,5000,819852,5426,Gerard McSorley,0,English,,1999,203,7.0
260,145,136,26435,203,Rudolf Klein-Rogge,1,German,6000000,1927,23,8.3
141,84,510,1197786,962,Dany Verissimo-Petit,2,French,12000000,2004,297,7.2
52,115,12000,529766,14889,Treat Williams,2,English,7000000,1995,970,6.8
205,105,1000,613556,1172,Satoshi Tsumabuki,1,Mandarin,15000000,2015,103,6.4
109,98,936,353743,3578,Leon,1,English,15000000,2001,826,6.9
103,99,20,502028,48,Nataliya Vdovina,0,Russian,,2003,13,8.0
110,110,64,102055,134,Sarunyu Wongkrachang,0,Thai,300000000,2008,45,6.2
195,97,13000,122288,15293,Dave Legeno,0,English,,2010,794,6.4
14,88,825,,1432,Conrad Dunn,0,English,9000000,1996,476,5.6
177,103,14000,73548,18639,Leslie Bibb,0,English,15000000,2008,1000,6.1
17,104,549,,801,Aubrey Poo,2,English,15000000,2011,248,6.0
62,90,17000,28870,32814,Tracy Morgan,5,English,15000000,2011,14000,5.1
19,105,776,22723,1732,Edward Fox,1,English,25000000,2001,595,4.5
50,93,1000,20380,1245,Keith Allen,1,English,15000000,2007,165,5.9
25,141,735,,2528,Franco Nero,1,English,,2008,627,6.0
39,85,14000,,29488,Loretta Devine,0,English,20000000,2013,12000,5.8
136,109,1000,,2829,Melanie Griffith,0,English,7000000,2014,889,6.1
26,105,179,,363,Steven Elder,0,English,15000000,2005,55,4.9
4,98,61,,192,Ferdinando Vetere,0,Spanish,15000000,2015,57,5.7
53,119,556,,996,Yasuaki Kurata,4,Mandarin,15000000,2009,353,7.1
22,124,631,,1585,Linus Roache,1,English,15000000,2000,452,6.6
147,101,13000,70906973,15500,Willie Garson,1,English,14600000,1993,571,8.1
222,115,20000,66009973,38963,Kevin Nash,3,English,14800000,2015,17000,5.7
106,120,29000,46338728,33791,Brian Dennehy,2,English,14500000,1996,1000,6.8
136,111,1000,7691700,2140,Arben Bajraktaraj,2,French,10000000,2010,767,7.5
5,94,467,,994,Bart Shatto,2,English,14500000,2014,220,6.2
131,131,16000,101157447,28544,Frances Fisher,1,English,14400000,1992,11000,8.3
140,139,3000,74205,4211,Jean-Marc Barr,1,English,14200000,2005,769,7.4
418,120,668,141319195,820,Ayush Mahesh Khedekar,0,English,15000000,2008,56,8.0
94,119,886,156645693,1639,Anne Archer,0,English,14000000,1987,276,6.9
82,125,8000,178406268,11135,Jason Alexander,2,English,14000000,1990,995,6.9
,65,770,,1125,Joe Flaherty,2,English,,,179,9.5
32,108,442,109306210,717,John Meillon,1,English,15800000,1988,162,5.5
22,101,892,,2055,Chad Bishop,0,English,15000000,2015,355,5.7
72,145,10000,70001698,12098,Stephen Baldwin,0,English,14000000,1989,854,7.2
39,98,953,68856263,2496,Malik Yoba,1,English,15000000,1993,730,6.9
264,101,10000,51527787,14159,Edi Gathegi,0,English,15000000,2009,960,5.5
264,92,941,49122319,2348,Natasha Calis,0,English,14000000,2012,459,5.9
145,93,13000,,15192,Chris Mulkey,1,English,14000000,1982,954,7.7
86,109,997,61356221,3544,Harry Lennix,0,English,14000000,2007,826,5.2
112,123,456,46800000,1326,Barbara Bach,2,English,14000000,1977,244,7.1
17,60,155,,552,Jason Hawes,0,English,,,130,6.6
101,99,975,38048637,3500,Julian Richings,4,English,14000000,1998,912,5.5
51,119,18000,34700000,35501,Swoosie Kurtz,2,English,14000000,1988,17000,7.7
42,110,849,35010192,2226,Jamie Kennedy,1,English,,2012,597,5.4
10,107,327,34793160,552,Susan Hogan,1,English,14000000,1991,172,6.7
43,81,8000,30628981,10792,Molly Shannon,1,English,14000000,1999,670,5.0
331,105,11000,29959436,12894,Olivia Colman,1,English,13000000,2011,1000,6.4
38,82,23,25571351,49,Shelby Vischer,0,English,14000000,2002,12,6.6
12,109,592,27515786,1620,Maya Angelou,0,English,14000000,1993,556,5.9
40,95,706,25482931,1421,Gino Salvano,2,English,14000000,2002,266,5.7
34,100,723,19900000,2348,Allen Payne,1,English,20000000,1995,422,4.5
82,118,931,,2704,Ned Beatty,7,English,14000000,1977,726,3.7
125,91,874,16298046,1608,Vernon Dobtcheff,0,English,14000000,2005,613,5.0
56,90,869,15549702,3007,Molly Shannon,2,English,14000000,2003,779,4.6
160,108,26000,15483540,41359,Marley Shelton,4,English,14000000,2009,14000,6.5
71,103,953,20246959,3299,Lupe Ontiveros,2,English,14000000,2010,849,4.9
37,96,3000,15062898,6861,Poppy Montgomery,0,English,14000000,1998,2000,6.0
62,117,718,14348123,1148,Paolo Seganti,6,English,12000000,1999,330,6.9
73,93,1000,15171475,2777,Kari Wuhrer,0,English,8500000,1996,855,5.7
59,136,22000,,23378,Mary Kay Place,0,English,14000000,1977,740,6.7
25,115,1000,13640000,3267,Isaiah Washington,0,English,14000000,1994,848,6.9
97,94,12000,12550242,13446,Wendell Pierce,3,English,,2007,490,5.5
205,85,1000,12610731,3050,Lexa Doig,1,English,11000000,2001,935,4.4
69,88,934,47811275,3707,Lee Majors,1,English,15000000,2002,927,5.4
195,112,12000,11204499,13528,Brian Geraghty,0,English,14000000,2006,593,7.0
61,86,878,10397365,2165,China Chow,5,English,14000000,2001,834,5.4
77,86,962,9402410,3715,Osric Chau,1,English,14000000,2012,925,5.4
259,112,413,5990075,1372,Isaach De Bankolé,1,French,,2007,412,8.0
251,137,14000,5459824,15337,Jane Adams,0,English,26000000,2006,617,7.6
63,90,12000,5108820,12776,Noam Jenkins,5,English,24000000,2000,215,5.9
47,107,10000,4741987,10368,Tovah Feldshuh,1,English,14000000,1999,233,6.6
108,98,543,4291965,678,Bonnie Henna,3,English,14000000,2006,113,6.7
64,84,159,3100650,417,Candace Kroslak,4,English,14000000,2001,102,3.9
20,139,423,2474000,446,Nigel Whitmey,1,English,14000000,1995,15,5.7
135,97,14000,2656324,16431,Kris Marshall,4,English,,2008,1000,6.7
2,127,16000,1000000,17250,Behrouz Vossoughi,0,English,14000000,1978,469,6.5
262,150,149,3958500,390,Karl Johnson,0,English,8200000,2014,44,6.8
129,104,412,403649,799,Edouard Baer,0,French,,2009,74,6.3
69,132,380,274299,1429,Ulrich Mühe,2,English,103000000,2002,326,7.3
50,117,149,,243,Kelly Lin,2,Mandarin,12000000,2010,32,6.9
57,115,697,183088,2243,Mark L. Young,0,English,15000000,2008,329,7.0
116,186,13000,46495,14638,John Gallagher Jr.,1,English,14000000,2011,1000,6.5
45,90,826,,2207,Diora Baird,7,English,,2009,521,3.6
87,90,1000,1752214,4377,Aidan Quinn,0,English,14000000,2010,872,7.7
357,134,15000,83025853,39789,Anne Hathaway,0,English,14000000,2005,13000,7.7
348,101,833,190871240,2690,Jeremy Howard,0,English,125000000,2014,809,5.9
88,97,927,56631572,1724,Elisa Donovan,1,English,12000000,1995,281,6.8
181,107,2000,15854988,2447,Michael Gaston,2,English,13500000,2002,258,7.4
107,99,3000,12282677,4702,Collette Wolfe,4,English,14000000,2015,837,5.1
53,55,20,447093,25,Olgierd Lukaszewicz,0,Polish,,,3,9.1
132,124,14000,7060876,14726,Amelia Warner,1,English,13500000,2000,230,7.4
401,110,2000,14989761,4757,Michael Stuhlbarg,7,English,15000000,2012,906,7.2
58,105,539,687081,1767,Aunjanue Ellis,0,English,,2001,508,6.0
1,41,70,,74,Jaroslaw Boberek,4,Polish,,,2,7.4
192,178,918,5501940,2334,Alexandra Maria Lara,0,German,13500000,2004,653,8.3
157,125,273,2086345,529,Tamar Novas,1,Spanish,10000000,2004,114,8.1
454,108,19000,2605039,19086,Alison Chand,0,English,,2013,50,6.3
62,121,49000,123922370,50141,Bruno Kirby,1,English,13000000,1987,263,7.3
4,100,898,163591,2895,Michael Rispoli,5,English,13400000,2010,391,3.6
84,115,569,73000942,714,Boys II Men,1,English,13000000,2011,69,1.6
669,108,20000,106952327,38072,Mark Margolis,1,English,13000000,2010,15000,8.0
492,117,10000,58607007,14160,Jennifer Ehle,0,English,100000000,2014,2000,6.2
149,220,22000,57300000,39960,Robert Duvall,1,English,13000000,1974,14000,9.0
101,112,656,91038276,1307,Fredro Starr,0,English,13000000,2001,363,6.1
102,99,130,49369900,450,Brooke Bundy,0,English,7000000,1988,125,5.7
63,109,3000,61693523,7833,Martin Henderson,0,English,13000000,2016,3000,6.8
106,83,3000,46729374,6454,Marla Sokoloff,2,English,13000000,2000,934,5.5
50,107,549,44726644,1747,Brian Keith,5,English,13000000,1988,439,6.8
275,102,13000,44134898,20330,Reg E. Cathey,3,English,13000000,2014,6000,7.3
90,100,833,48637684,2800,Bryan Callen,4,English,12500000,2014,807,6.1
133,97,23000,38176108,37907,Andrew Keegan,6,English,16000000,1999,13000,7.2
49,92,11000,28972187,12687,Gene Simmons,1,English,13000000,2002,489,5.9
19,84,11000,27979400,12322,Bill Nunn,2,English,8200000,1993,852,6.1
186,86,619,54257433,971,Sedona Legge,0,English,17000000,2016,350,6.8
185,120,8000,23947,12755,Cameron Bright,0,English,13000000,2004,902,7.7
42,89,571,60008303,2241,Jean Smart,1,English,13000000,2000,442,4.9
37,117,1000,49121934,6554,Loretta Devine,9,English,13000000,2007,997,6.1
45,97,899,27141959,2936,Ruby Dee,2,English,18000000,1999,842,2.5
57,91,904,27052167,3353,Antonio Sabato Jr.,5,English,13000000,1998,471,6.1
25,100,694,26539321,2486,Charlotte Sullivan,1,English,13000000,1996,558,5.9
59,72,659,28501605,2646,Greg Germann,0,English,13000000,1990,628,5.7
58,84,1000,52543632,2297,Henry Simmons,2,English,13200000,2014,345,5.6
330,126,2000,25592632,5371,Jeffrey DeMunn,0,English,18000000,2007,850,7.2
489,108,149,25440971,430,Corey Johnson,0,English,15000000,2015,145,7.7
242,112,512,22858926,1171,Mary Kay Place,2,English,13000000,1999,216,7.8
40,90,939,22235901,2815,Tamala Jones,2,English,6000000,2001,890,6.1
112,91,803,38916903,1921,Jason Gray-Stanford,0,English,13000000,2014,587,5.8
84,135,4000,16929123,6214,Rolando Molina,2,English,14000000,2001,1000,6.5
251,141,378,13753931,751,Shidô Nakamura,0,Japanese,19000000,2006,85,7.9
113,104,24000,10996440,27806,Bruce Dern,0,English,13000000,2006,912,6.3
23,84,1000,8026971,3352,Dave Chappelle,0,English,13000000,1998,851,3.8
421,118,805,14677654,2499,Cas Anvar,0,English,13000000,2015,681,8.3
32,82,721,9975684,1805,Traylor Howard,0,English,13000000,1998,359,6.4
52,95,899,7881335,3092,Traci Lords,4,English,13000000,1994,849,6.7
81,94,16000,6241697,31005,Kirsten Dunst,2,English,13000000,1999,8000,6.1
,88,690,,998,Lena Endre,0,Swedish,,,94,8.1
39,99,3000,5871603,6485,Robert Ri'chard,3,English,13000000,1999,1000,6.0
