director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Bo Zenga,45,378,Kenan Thompson,826,Steve Howey,9928,2207,English,Canada,R,,521,3.6,934
Rob Reiner,87,767,Rebecca De Mornay,1000,Madeline Carroll,60460,4377,English,USA,PG,14000000,872,7.7,14000
Ang Lee,357,11000,Heath Ledger,15000,Jake Gyllenhaal,259837,39789,English,USA,R,14000000,13000,7.7,13000
Jonathan Liebesman,348,429,Danny Woodburn,833,Noel Fisher,167089,2690,English,USA,PG-13,125000000,809,5.9,62000
Amy Heckerling,88,201,Dan Hedaya,927,Donald Faison,123390,1724,English,USA,PG-13,12000000,281,6.8,0
Todd Haynes,181,135,Celia Weston,2000,Dennis Quaid,36542,2447,English,USA,PG-13,13500000,258,7.4,0
Steve Pink,107,390,Gillian Jacobs,3000,Adam Scott,28159,4702,English,USA,R,14000000,837,5.1,0
,53,2,Olaf Lubaszenko,20,Krystyna Janda,12590,25,Polish,Poland,TV-MA,,3,9.1,0
Philip Kaufman,132,170,Stephen Marcus,14000,Kate Winslet,44795,14726,English,UK,R,13500000,230,7.4,0
Martin McDonagh,401,816,Gabourey Sidibe,2000,Abbie Cornish,185845,4757,English,UK,R,15000000,906,7.2,52000
Kasi Lemmons,58,400,Tamara Tunie,539,Colm Feore,5602,1767,English,USA,R,,508,6.0,329
,1,2,Marian Dziedziel,70,Jacek Koman,271,74,Polish,Poland,,,2,7.4,64
Oliver Hirschbiegel,192,471,Bruno Ganz,918,Thomas Kretschmann,248354,2334,German,Germany,R,13500000,653,8.3,14000
Alejandro Amenábar,157,93,Lola Dueñas,273,Belén Rueda,64556,529,Spanish,Spain,PG-13,10000000,114,8.1,0
Jonathan Glazer,454,21,Paul Brannigan,19000,Scarlett Johansson,85022,19086,English,UK,R,,50,6.3,29000
Barry Levinson,62,227,J.T. Walsh,49000,Robin Williams,98348,50141,English,USA,R,13000000,263,7.3,0
Hyung-rae Shim,4,385,Stephanie Danielson,898,Jason Mewes,912,2895,English,South Korea,PG-13,13400000,391,3.6,502
Jon M. Chu,84,41,Sean Kingston,569,Usher Raymond,74351,714,English,USA,G,13000000,69,1.6,62000
Darren Aronofsky,669,1000,Mila Kunis,20000,Natalie Portman,551363,38072,English,USA,R,13000000,15000,8.0,106000
José Padilha,492,1000,Abbie Cornish,10000,Gary Oldman,182910,14160,English,USA,PG-13,100000000,2000,6.2,60000
Francis Ford Coppola,149,3000,Al Pacino,22000,Robert De Niro,790926,39960,English,USA,R,13000000,14000,9.0,14000
Thomas Carter,101,237,Terry Kinney,656,Sean Patrick Thomas,47876,1307,English,USA,PG-13,13000000,363,6.1,0
Renny Harlin,102,54,Rodney Eastman,130,Tuesday Knight,36108,450,English,USA,R,7000000,125,5.7,0
Patricia Riggen,63,579,Brighton Sharbino,3000,Jennifer Garner,6276,7833,English,USA,PG,13000000,3000,6.8,16000
Danny Leiner,106,612,Mary Lynn Rajskub,3000,Jennifer Garner,116625,6454,English,USA,PG-13,13000000,934,5.5,0
Christopher Cain,50,316,Patrick Wayne,549,Jack Palance,42614,1747,English,USA,R,13000000,439,6.8,0
Theodore Melfi,275,360,Naomi Watts,13000,Bill Murray,72803,20330,English,USA,PG-13,13000000,6000,7.3,33000
Steve Pink,90,460,Regina Hall,833,Joe Lo Truglio,16979,2800,English,USA,R,12500000,807,6.1,0
Gil Junger,133,835,Heath Ledger,23000,Joseph Gordon-Levitt,222099,37907,English,USA,PG-13,16000000,13000,7.2,10000
Ed Decter,49,301,Eddie Griffin,11000,Zooey Deschanel,28805,12687,English,USA,PG-13,13000000,489,5.9,1000
Gene Quintano,19,182,Lin Shaye,11000,Jon Lovitz,37611,12322,English,USA,PG-13,8200000,852,6.1,0
Jaume Collet-Serra,186,2,Brett Cullen,619,Óscar Jaenada,12983,971,English,USA,PG-13,17000000,350,6.8,0
Eric Bress,185,829,Eric Stoltz,8000,Logan Lerman,357579,12755,English,USA,R,13000000,902,7.7,15000
Chris Koch,42,329,Mark Webber,571,Chris Elliott,9285,2241,English,USA,PG,13000000,442,4.9,0
Preston A. Whitmore II,37,912,Chris Brown,1000,Mekhi Phifer,6528,6554,English,USA,PG-13,13000000,997,6.1,0
Bob Clark,45,782,Dom DeLuise,899,Kathleen Turner,19547,2936,English,USA,PG,18000000,842,2.5,0
Kirk Wong,57,459,Elliott Gould,904,Bokeem Woodbine,24834,3353,English,USA,R,13000000,471,6.1,934
Bronwen Hughes,25,388,Eartha Kitt,694,Gregory Smith,7984,2486,English,USA,PG,13000000,558,5.9,833
John Lafia,59,435,Beth Grant,659,Jenny Agutter,31371,2646,English,USA,R,13000000,628,5.7,0
Sam Miller,58,334,Kate del Castillo,1000,Leslie Bibb,12676,2297,English,USA,PG-13,13200000,345,5.6,0
Frank Darabont,330,745,Alexa Davalos,2000,Toby Jones,220475,5371,English,USA,R,18000000,850,7.2,20000
Alex Garland,489,123,Sonoya Mizuno,149,Elina Alminas,289508,430,English,UK,R,15000000,145,7.7,109000
Spike Jonze,242,213,Orson Bean,512,Willie Garson,254404,1171,English,USA,R,13000000,216,7.8,0
Mark Brown,40,405,Vivica A. Fox,939,Mo'Nique,4339,2815,English,USA,R,6000000,890,6.1,593
Dave Green,112,140,Ella Wahlestedt,803,Teo Halm,15664,1921,English,USA,PG,13000000,587,5.8,0
John Stockwell,84,525,Jay Hernandez,4000,Kirsten Dunst,21406,6214,English,USA,PG-13,14000000,1000,6.5,0
Clint Eastwood,251,78,Kazunari Ninomiya,378,Yuki Matsuzaki,132149,751,Japanese,USA,R,19000000,85,7.9,5000
Michael Polish,113,844,Virginia Madsen,24000,J.K. Simmons,19707,27806,English,USA,PG,13000000,912,6.3,862
Daisy von Scherler Mayer,23,744,Jada Pinkett Smith,1000,LL Cool J,1520,3352,English,USA,R,13000000,851,3.8,204
Lenny Abrahamson,421,491,Jacob Tremblay,805,Joan Allen,161288,2499,English,Ireland,R,13000000,681,8.3,72000
Bob Saget,32,294,Jack Warden,721,Don Rickles,20033,1805,English,Canada,PG-13,13000000,359,6.4,679
John Waters,52,650,Sam Waterston,899,Kathleen Turner,21212,3092,English,USA,R,13000000,849,6.7,3000
Andrew Fleming,81,4000,Will Ferrell,16000,Ryan Reynolds,16059,31005,English,France,PG-13,13000000,8000,6.1,0
Niels Arden Oplev,,75,David Dencik,690,Michael Nyqvist,335,998,Swedish,Sweden,,,94,8.1,22
Craig Bolotin,39,730,Vanessa Williams,3000,Rosario Dawson,3116,6485,English,USA,R,13000000,1000,6.0,251
Mark Christopher,63,812,Ellen Albertini Dow,4000,Salma Hayek,27675,6910,English,USA,R,13000000,957,5.8,0
Blair Hayes,47,690,Geoffrey Arend,15000,Jake Gyllenhaal,25541,18864,English,USA,PG-13,13000000,816,5.6,0
Jez Butterworth,111,258,Mathieu Kassovitz,567,Mark Gatiss,21530,1775,English,UK,R,13000000,326,6.1,618
Jon Lucas,168,499,Josie Loren,552,Justin Chon,60407,2730,English,USA,R,13000000,528,5.9,11000
Olivier Assayas,165,280,Miranda Richardson,12000,Steve Buscemi,63084,13208,French,France,R,13000000,530,7.3,0
Rod Lurie,104,548,Kathryn Morris,748,Harry Lennix,18442,2417,English,USA,PG-13,13000000,573,6.8,689
Paul Weitz,150,252,Sarita Choudhury,2000,Tina Fey,28573,3004,English,USA,PG-13,13000000,257,5.7,5000
Patrice Leconte,61,8,Daniel Auteuil,2000,Emir Kusturica,4767,2389,French,France,R,100000000,370,7.3,186
Atom Egoyan,226,73,Meghan Heffern,14000,Liam Neeson,56264,14372,English,USA,R,11000000,153,6.3,0
Paul Mazursky,21,150,Ryan O'Neal,979,Chazz Palminteri,1595,1679,English,USA,R,13000000,385,5.9,69
Jim Sheridan,217,1000,Jake Gyllenhaal,20000,Natalie Portman,88037,39473,English,USA,R,26000000,15000,7.1,10000
Sidney Lumet,94,968,Vin Diesel,22000,Peter Dinklage,28068,37606,English,Germany,R,13000000,14000,7.1,0
Stephen Chbosky,364,850,Ezra Miller,8000,Logan Lerman,351274,13631,English,USA,PG-13,13000000,3000,8.0,131000
Jon Hess,19,147,Ian Gomez,683,Burt Young,922,1139,English,USA,R,3000000,155,5.1,107
Douglas McGrath,129,442,Isabella Rossellini,2000,Toby Jones,14143,3474,English,USA,R,13000000,812,7.1,0
Michael Winterbottom,71,887,Sarah Polley,14000,Milla Jovovich,5254,17104,English,UK,R,20000000,900,6.5,141
Mark Neveldine,93,794,Alison Lohman,3000,Djimon Hounsou,7199,7875,English,USA,PG-13,8495000,1000,4.5,0
Joe Cornish,399,304,Luke Treadaway,1000,John Boyega,82331,2011,English,UK,R,13000000,305,6.6,18000
Angelina Jolie Pitt,110,116,Nikola Djuricko,306,Jelena Jovanova,31414,796,Bosnian,USA,R,13000000,164,4.3,0
Brad Anderson,285,383,Tara Platt,873,Michael Imperioli,88241,2812,English,USA,R,13000000,461,6.7,23000
John H. Lee,2,29,Dean Dawson,14000,Liam Neeson,90,14133,English,South Korea,,12620000,81,6.8,139
John Stainton,61,234,Aden Young,477,Steve Irwin,5663,1483,English,Australia,PG,13000000,238,5.4,332
Glenn Ficarra,242,113,Louis Herthum,170,Dameon Clarke,77305,931,English,France,R,13000000,157,6.6,11000
Jean-Jacques Annaud,62,91,Everett McGill,581,Rae Dawn Chong,16281,931,None,Canada,R,12500000,201,7.4,0
Denzel Washington,121,543,Kevin Connolly,18000,Denzel Washington,26493,20456,English,USA,PG-13,12500000,638,7.3,0
Michael Hoffman,83,355,Embeth Davidtz,13000,Gabriel Millman,14354,14347,English,USA,PG-13,12500000,795,6.9,0
Tony Scott,122,975,Gary Oldman,11000,Brad Pitt,163492,23602,English,USA,R,13000000,10000,8.0,15000
Benedek Fliegauf,88,1000,Matt Smith,6000,Eva Green,9957,9244,English,Germany,Unrated,3660000,2000,6.4,0
James Foley,120,99,Al Pacino,18000,Kevin Spacey,75675,32288,English,USA,R,12500000,14000,7.8,0
Michael Winterbottom,225,204,Ned Beatty,818,Liam Aiken,28483,1813,English,USA,R,13000000,467,6.1,0
Paul Schrader,130,697,Ruby Dee,783,Ed Begley Jr.,14193,3700,English,USA,R,18000000,782,6.1,0
Stewart Hendler,167,472,Margo Harshman,1000,Julian Morris,24012,3142,English,USA,R,16000000,668,5.1,0
John Cromwell,7,135,Mary Astor,490,David Niven,3256,1166,English,USA,Approved,,185,7.8,337
Craig Gillespie,226,552,Kelli Garner,33000,Ryan Gosling,114762,34351,English,USA,PG-13,12000000,730,7.4,19000
Mark Herman,185,18,Sheila Hancock,77,Richard Johnson,132386,156,English,UK,PG-13,12500000,32,7.8,38000
Lars von Trier,177,322,Udo Kier,963,Catherine Deneuve,79330,2894,English,Denmark,R,12800000,595,8.0,0
Gillian Armstrong,28,241,Richard Roxburgh,1000,Tom Wilkinson,5648,2004,English,USA,R,16000000,653,6.7,329
Abel Ferrara,48,599,Vincent Gallo,812,Isabella Rossellini,6921,3337,English,USA,R,12500000,787,6.6,344
Brian Koppelman,116,506,David Costabile,966,Jenna Fischer,13371,2661,English,USA,R,15000000,681,6.4,0
Ethan Maniquis,391,844,Don Johnson,22000,Robert De Niro,165792,26233,English,USA,R,10500000,982,6.7,44000
George Hickenlooper,117,168,Eric Schweig,18000,Kevin Spacey,14757,18739,English,Canada,R,15000000,322,6.2,0
Don Bluth,24,191,Gabriel Damon,912,Judith Barsi,61753,1833,English,USA,G,12500000,320,7.3,5000
Je-kyu Kang,86,489,Bin Won,717,Min-sik Choi,31943,1730,Korean,South Korea,R,12800000,517,8.1,0
William Dear,41,655,Cheech Marin,968,Clifton Collins Jr.,2676,4270,English,Canada,PG,12500000,844,7.0,0
William Friedkin,304,259,Linda Blair,1000,Ellen Burstyn,284252,2466,English,USA,R,8000000,931,8.0,18000
Steven Spielberg,385,366,Robert Shaw,813,Roy Scheider,412454,2047,English,USA,PG,8000000,559,8.0,21000
Paul Weitz,145,1000,Shannon Elizabeth,3000,Alyson Hannigan,315549,8134,English,USA,R,11000000,1000,7.0,0
Stéphane Aubier,99,186,Megan Mullally,6000,Mackenzie Foy,12029,6829,French,France,PG,9600000,637,7.9,0
Michael Ritchie,29,148,Randall 'Tex' Cobb,400,Victor Wong,39798,1044,English,USA,PG-13,25000000,255,5.9,0
Tim Story,77,807,Romany Malco,997,Chris Brown,34579,5165,English,USA,PG-13,12000000,966,6.6,0
Tim Story,91,436,Jason George,656,Sean Patrick Thomas,22147,2754,English,USA,PG-13,12000000,528,6.3,770
Nicholas Meyer,148,664,Kirstie Alley,12000,Leonard Nimoy,91414,16539,English,USA,PG,11000000,980,7.7,0
Tom Shadyac,61,567,Udo Kier,759,Sean Young,216486,2462,English,USA,PG-13,12000000,595,6.9,0
John Badham,84,793,Barry Corbin,2000,Matthew Broderick,71842,4537,English,USA,PG,12000000,883,7.1,0
Peter Weir,83,733,Viggo Mortensen,11000,Harrison Ford,66966,22479,English,USA,R,12000000,10000,7.4,0
Mike McCoy,216,11,Jason Cottle,93,Alex Veadov,57996,146,English,USA,R,12000000,17,6.5,15000
Anne Fletcher,107,920,Alyson Stoner,17000,Channing Tatum,90938,21380,English,USA,PG-13,12000000,2000,6.5,0
Mike Judge,63,616,Demi Moore,13000,Bruce Willis,42892,17035,English,USA,PG-13,12000000,2000,6.8,0
Quentin Tarantino,140,889,Sid Haig,22000,Robert De Niro,239540,25522,English,USA,R,12000000,1000,7.5,0
Jon Hurwitz,153,816,Eric Winter,1000,Danneel Ackles,113918,4065,English,USA,R,12000000,954,6.6,0
Josh Trank,414,371,Alex Russell,963,Michael Kelly,204327,2054,English,USA,PG-13,12000000,465,7.1,32000
Barbra Streisand,16,122,Amy Irving,405,Miriam Margolyes,9503,914,English,UK,PG,12000000,194,6.6,0
Terry Gilliam,139,504,Michael Palin,629,Shelley Duvall,45890,2730,English,UK,PG,5000000,561,7.0,0
Tamra Davis,111,135,Katherine Boecher,1000,Britney Spears,34219,1531,English,USA,PG-13,12000000,188,3.3,0
Nima Nourizadeh,229,281,Kirby Bliss Blanton,971,Dax Flame,157051,2043,English,USA,R,12000000,329,6.7,29000
Franklin J. Schaffner,112,78,Karl Malden,654,George C. Scott,76398,1306,English,USA,GP,12000000,416,8.0,0
Mark Romanek,207,933,Gary Cole,49000,Robin Williams,97938,52138,English,USA,R,12000000,989,6.8,0
John Erick Dowdle,198,1000,Jay Hernandez,137000,Andrew Fiscella,57446,140268,English,USA,R,12000000,1000,6.0,0
David Moreau,172,451,Alessandro Nivola,17000,Chloë Grace Moretz,44130,18765,English,USA,PG-13,12000000,527,5.4,0
Christopher Erskin,45,826,Shannon Elizabeth,1000,Vanessa Williams,5928,5006,English,USA,PG-13,12000000,1000,4.3,243
Jesse Dylan,34,722,Fred Willard,995,Hector Elizondo,42644,6105,English,USA,R,12000000,729,6.2,0
Brian Henson,75,84,Jerry Nelson,227,Steven Mackintosh,33850,534,English,USA,G,12000000,94,7.7,0
Martin Campbell,400,834,Tobias Menzies,6000,Eva Green,470501,9125,English,UK,PG-13,150000000,1000,8.0,0
Julie Taymor,128,898,Roger Rees,4000,Salma Hayek,61651,7072,English,USA,R,12000000,1000,7.4,0
Dan Cutforth,68,8,Ashley Ashida Dixon,28,Lexie Contursi,12383,52,English,USA,PG,12000000,9,5.9,0
Josh Boone,326,733,Sam Trammell,8000,Shailene Woodley,249688,10565,English,USA,PG-13,12000000,1000,7.8,93000
John Dahl,128,599,Martin Landau,13000,Matt Damon,121676,14890,English,USA,R,12000000,940,7.4,0
Chris Rock,161,555,Romany Malco,3000,Rosario Dawson,21672,5592,English,USA,R,12000000,966,6.5,0
John Frankenheimer,70,79,Richard Dysart,452,Talia Shire,3000,729,English,USA,PG,12000000,122,5.4,902
David Koepp,164,282,Kathryn Erbe,347,Illeana Douglas,62468,1254,English,USA,R,12000000,301,7.0,0
,68,898,Kelvin Taylor,1000,Peter Mensah,173172,6091,English,USA,TV-MA,,939,8.6,31000
Stephen Frears,354,322,Mare Winningham,1000,Steve Coogan,76094,2376,English,UK,PG-13,12000000,482,7.6,37000
Mike Binder,125,805,Erika Christensen,975,Alicia Witt,19007,2944,English,USA,R,9000000,931,6.9,549
Franklin J. Schaffner,55,801,Anne Meara,1000,Laurence Olivier,20660,4659,English,UK,R,12000000,837,7.0,0
Elizabeth Allen Rosenbaum,66,717,Joanna 'JoJo' Levesque,836,Tammin Sursok,30462,3963,English,USA,PG,12000000,826,5.3,0
Jake Schreier,191,376,Cara Delevingne,733,Nat Wolff,63390,2753,English,USA,PG-13,12000000,558,6.4,0
Cheryl Dunye,33,581,Marsha Thomason,873,Michael Imperioli,3119,3646,English,USA,PG-13,,691,4.5,151
Alexander Payne,433,622,Bruce Dern,1000,Devin Ratray,91082,3798,English,USA,R,12000000,844,7.8,28000
Ernest R. Dickerson,66,580,Jada Pinkett Smith,1000,CCH Pounder,16646,3931,English,USA,R,13000000,851,6.7,0
Tim Hill,37,611,Amber Valletta,833,Noel Fisher,5794,4551,English,USA,PG,12000000,626,5.3,371
Jason Reitman,325,390,Patton Oswalt,9000,Charlize Theron,64682,10575,English,USA,R,12000000,786,6.3,0
Mark Neveldine,170,501,Edi Gathegi,26000,Jason Statham,196422,28767,English,USA,R,12000000,725,7.0,0
Lionel C. Martin,11,324,Gilbert Gottfried,1000,Bernie Mac,2301,2939,English,USA,R,,560,5.3,439
Richard LaGravenese,24,604,Eddie Cibrian,1000,Holly Hunter,4052,3250,English,USA,R,12000000,849,6.6,242
Sanaa Hamri,70,696,Laz Alonso,988,Common,10103,3906,English,USA,PG,,826,5.8,0
Jonathan Demme,232,471,Rosemarie DeWitt,11000,Anne Hathaway,41226,12274,English,USA,R,,536,6.7,0
Bob Rafelson,34,85,Michael Lerner,1000,Anjelica Huston,16764,1456,English,USA,R,12000000,230,6.6,1000
Peter Webber,160,1000,Colin Firth,19000,Scarlett Johansson,60171,34700,English,UK,PG-13,,14000,7.0,0
Wolfgang Petersen,96,18,Martin Semmelrogge,362,Jürgen Prochnow,168203,469,German,West Germany,R,14000000,21,8.4,11000
John Lee Hancock,106,877,Marc Blucas,2000,Dennis Quaid,16832,5780,English,USA,PG-13,107000000,973,6.0,701
Wallace Wolodarsky,53,503,Barry Watson,529,Heather Matarazzo,12007,2393,English,USA,R,12000000,526,5.4,507
Richard Curtis,274,171,Tom Hollander,565,Tom Hughes,202341,1595,English,UK,R,12000000,555,7.8,105000
Yimou Zhang,248,4,Andy Lau,755,Takeshi Kaneshiro,92295,1244,Mandarin,China,PG-13,100000000,483,7.6,0
Nicholas Jarecki,288,360,Curtiss Cook,664,Nate Parker,41574,2440,English,USA,R,12000000,591,6.6,0
Dean Israelite,177,265,Jonny Weston,452,Gary Weeks,57349,1819,English,USA,PG-13,12000000,328,6.4,0
Darnell Martin,81,192,Veronika Dash,436,Cedric the Entertainer,15412,1141,English,USA,R,12000000,223,7.0,0
Scott Alexander,29,654,Dave Chappelle,931,Sarah Silverman,6965,3848,English,USA,PG-13,10000000,744,5.7,262
Stuart Gordon,58,968,Kurtwood Smith,1000,Christopher Lambert,23383,4755,English,Australia,R,8000000,1000,5.9,1000
Christopher Guest,144,783,Catherine O'Hara,957,John Michael Higgins,12197,3535,English,USA,PG-13,12000000,925,6.3,650
Woody Allen,114,99,Aleksa Palladino,537,Melanie Griffith,20576,943,English,USA,R,12000000,255,6.3,652
Ryan Murphy,132,316,Joseph Cross,433,Jill Clayburgh,20000,1291,English,USA,R,12000000,398,6.2,0
Robert Iscove,60,251,Kelly Clarkson,525,Anika Noni Rose,23606,1445,English,USA,PG,12000000,281,2.1,0
Spike Lee,30,599,Debi Mazar,873,Michael Imperioli,4961,4497,English,USA,R,12000000,680,5.0,251
Jane Campion,138,48,Nick Damici,1000,Jennifer Jason Leigh,18632,1171,English,Australia,R,12000000,65,5.3,656
James Gray,190,103,Vinessa Shaw,812,Isabella Rossellini,29613,1540,English,USA,R,12000000,580,7.1,0
Fred Schepisi,61,794,Ray Winstone,5000,Bob Hoskins,5016,7166,English,UK,R,12000000,1000,7.0,305
Joon-ho Bong,363,74,Kang-ho Song,629,Doona Bae,68883,1173,Korean,South Korea,R,12215500000,398,7.0,7000
Roger Spottiswoode,2,212,Treat Williams,3000,Robert Duvall,763,4277,English,USA,PG,12000000,642,5.7,135
Antonia Bird,131,611,Jeffrey Jones,769,Jeremy Davies,29990,2543,English,Czech Republic,R,12000000,692,7.1,0
Jon Poll,146,442,Megan Park,21000,Robert Downey Jr.,56654,22577,English,USA,R,12000000,569,7.0,0
Paolo Sorrentino,280,70,Sabrina Ferilli,211,Toni Servillo,55516,456,Italian,Italy,Not Rated,9200000,98,7.7,29000
Peter Care,78,77,Michael Harding,1000,Kieran Culkin,12047,1292,English,USA,R,12000000,165,7.1,677
Chan-wook Park,469,520,Alden Ehrenreich,3000,Mia Wasikowska,84620,5074,English,UK,R,12000000,1000,6.8,27000
Kar-Wai Wong,194,576,Tony Chiu Wai Leung,878,Li Gong,41496,2378,Cantonese,Hong Kong,R,12000000,643,7.5,0
Ira Sachs,121,18,Erin Boyes,60,David Richmond-Peck,8014,141,English,USA,PG-13,12000000,46,6.3,314
Carroll Ballard,38,393,Hope Davis,706,Eamonn Walker,6454,1579,English,USA,PG,12000000,442,7.3,0
Neil Jordan,123,289,Stephen Rea,845,Tony Curran,16863,1554,English,Ireland,PG-13,12000000,327,6.8,0
Takeshi Kitano,81,403,Tatyana Ali,865,Omar Epps,18520,2126,English,USA,R,10000000,685,7.2,0
Anthony Russo,72,146,Isaiah Washington,693,Michael Jeter,12559,1373,English,USA,R,12000000,534,6.4,423
Sidney Lumet,25,745,Anne Bancroft,941,Kyra Sedgwick,1427,3099,English,Australia,R,12000000,754,6.0,88
Vadim Perelman,78,350,Lynn Cohen,797,Eva Amurri Martino,12125,2073,English,USA,R,8000000,474,6.4,1000
Lawrence Kasdan,57,820,Mark Duplass,967,Dianne Wiest,2551,3878,English,USA,PG-13,,830,5.1,0
