duration,actor_3_facebook_likes,actor_2_name,num_voted_users,movie_imdb_link,num_user_for_reviews,content_rating,actor_2_facebook_likes,imdb_score
83,29,Jacob Zachar,110,http://www.imdb.com/title/tt0469690/?ref_=fn_tt_tt_1,1,,185,6.5
108,142,Brock Baker,330,http://www.imdb.com/title/tt2290113/?ref_=fn_tt_tt_1,2,,297,7.1
92,146,James Lance,84817,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,145,R,161,7.1
105,494,Vivian Lamolli,146,http://www.imdb.com/title/tt3210710/?ref_=fn_tt_tt_1,4,,755,4.0
86,0,Donald Austin,575,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,6,Not Rated,0,7.5
106,131,Josh Hamilton,2742,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,73,R,147,7.0
93,0,Nancy Ison,161,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,5,X,12,4.0
80,21,Cecil Kellaway,4812,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,88,Approved,40,6.7
127,51,Robert J. Wilke,22124,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,Approved,53,7.2
93,28,Steve Bisley,152232,http://www.imdb.com/title/tt0079501/?ref_=fn_tt_tt_1,303,R,76,7.0
96,31,Alex Désert,63951,http://www.imdb.com/title/tt0117802/?ref_=fn_tt_tt_1,252,R,135,7.4
99,93,Gian Maria Volontè,147566,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,R,360,8.0
66,28,Gilbert Roland,4152,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,59,Approved,85,6.5
85,0,Jasper Johal,131,http://www.imdb.com/title/tt0420723/?ref_=fn_tt_tt_1,13,Unrated,0,7.2
101,16,Chris Thomas,2099,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,26,PG-13,21,6.4
97,305,David Oyelowo,1034,http://www.imdb.com/title/tt1211890/?ref_=fn_tt_tt_1,10,R,1000,6.5
119,9,Sebastian Schipper,4212,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,18,Unrated,20,6.8
103,61,Leo Rossi,460,http://www.imdb.com/title/tt0303313/?ref_=fn_tt_tt_1,14,,90,6.9
86,15,Natasha Bedingfield,48,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,2,PG-13,58,7.5
106,273,David Costabile,148334,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,R,681,7.1
90,10,Stevan Mena,2413,http://www.imdb.com/title/tt0388230/?ref_=fn_tt_tt_1,112,R,25,5.1
95,45,Adam Rifkin,81,http://www.imdb.com/title/tt2690560/?ref_=fn_tt_tt_1,1,,89,6.2
94,156,Ryan Kennedy,1328,http://www.imdb.com/title/tt1152827/?ref_=fn_tt_tt_1,22,PG-13,165,3.9
84,98,Jennifer Lafleur,3507,http://www.imdb.com/title/tt0923600/?ref_=fn_tt_tt_1,40,R,873,6.0
89,15,Victoria Lachelle,78,http://www.imdb.com/title/tt3565836/?ref_=fn_tt_tt_1,1,,18,6.8
59,0,Bertrand Cantat,352,http://www.imdb.com/title/tt0437123/?ref_=fn_tt_tt_1,4,,0,7.4
126,0,Sylvia Eckhausen,9903,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,49,Not Rated,0,8.1
86,782,Martin Starr,6689,http://www.imdb.com/title/tt0944101/?ref_=fn_tt_tt_1,51,R,985,6.5
87,131,John Billingsley,129799,http://www.imdb.com/title/tt0756683/?ref_=fn_tt_tt_1,638,Not Rated,323,8.0
106,0,Evelyn Jefferson,771,http://www.imdb.com/title/tt0446055/?ref_=fn_tt_tt_1,10,PG-13,0,7.7
86,32,Jordan Bridges,1338,http://www.imdb.com/title/tt0412366/?ref_=fn_tt_tt_1,32,,194,7.2
89,31,Chase Masterson,374,http://www.imdb.com/title/tt0448182/?ref_=fn_tt_tt_1,10,PG,189,5.4
105,27,Robert Turano,37,http://www.imdb.com/title/tt1989646/?ref_=fn_tt_tt_1,1,,32,6.7
93,75,Robin Bartlett,191,http://www.imdb.com/title/tt3666210/?ref_=fn_tt_tt_1,1,,79,6.3
94,178,Alex Emanuel,15,http://www.imdb.com/title/tt1702455/?ref_=fn_tt_tt_1,3,,375,8.1
89,27,Amir Farrokh Hashemian,27882,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,130,PG,35,8.5
97,67,Chris New,19846,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,68,Not Rated,75,7.7
88,46,Joie Lee,4769,http://www.imdb.com/title/tt0091939/?ref_=fn_tt_tt_1,26,R,53,6.5
78,0,Stacie Evans,27,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,1,,0,8.7
104,0,Ana Maria Guran,354,http://www.imdb.com/title/tt4707756/?ref_=fn_tt_tt_1,1,,0,6.5
92,259,William Mapother,71387,http://www.imdb.com/title/tt1549572/?ref_=fn_tt_tt_1,228,PG-13,399,7.0
108,826,Ellen Burstyn,6025,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,R,1000,5.8
97,101,Mario Van Peebles,3340,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,R,535,5.5
109,26,Joe Lev,8,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,,54,7.0
78,184,Aaron Stanford,5178,http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1,101,PG-13,346,6.3
85,18,Markéta Irglová,90827,http://www.imdb.com/title/tt0907657/?ref_=fn_tt_tt_1,329,R,96,7.9
88,3,Eugene Roche,524,http://www.imdb.com/title/tt0217894/?ref_=fn_tt_tt_1,22,,23,7.3
93,2,Rowan Isaacson,586,http://www.imdb.com/title/tt1333668/?ref_=fn_tt_tt_1,9,Unrated,2,7.4
86,115,Martin Compston,3813,http://www.imdb.com/title/tt1743993/?ref_=fn_tt_tt_1,27,,204,5.4
98,21,Bill Allen,53,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1,1,PG-13,36,7.1
88,177,Edwin Neal,96411,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,R,371,7.5
25,27,Bill Melendez,21826,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,TV-G,36,8.4
72,0,Hugh Ducklow,123,http://www.imdb.com/title/tt2780714/?ref_=fn_tt_tt_1,2,,0,7.0
66,232,Jesse Jane,502,http://www.imdb.com/title/tt2403815/?ref_=fn_tt_tt_1,9,,366,5.3
80,0,Xinhua Jiang,260,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,,0,7.1
91,42,Pat Boone,22800,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,133,R,91,7.5
93,697,Ruby Dee,14193,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,R,782,6.1
89,163,Hassan Johnson,100,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,R,180,7.2
85,100,James Urbaniak,15775,http://www.imdb.com/title/tt1748207/?ref_=fn_tt_tt_1,69,R,119,6.7
62,,,18,http://www.imdb.com/title/tt2638024/?ref_=fn_tt_tt_1,,,,8.2
90,,,102,http://www.imdb.com/title/tt0488873/?ref_=fn_tt_tt_1,7,,,6.6
90,9,Mike Birbiglia,21618,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,62,R,128,6.7
,,Valentine,172,http://www.imdb.com/title/tt4607906/?ref_=fn_tt_tt_1,,PG-13,0,5.1
88,405,David Hewlett,3262,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,,686,7.0
88,405,David Hewlett,3262,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,,686,7.0
96,56,Duane Jones,87978,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,Unrated,108,8.0
94,5,Macha Méril,1962,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,10,,7,7.4
120,400,Nate Parker,1197,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,8,R,664,5.4
77,69,Frank Gerrish,98,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,5,,81,5.7
111,51,Erin Bethea,12399,http://www.imdb.com/title/tt0805526/?ref_=fn_tt_tt_1,382,PG,150,6.7
81,7,Cassidy Gifford,13521,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,150,R,40,4.2
89,121,Jack Nance,69831,http://www.imdb.com/title/tt0074486/?ref_=fn_tt_tt_1,535,Unrated,158,7.4
110,0,Johnnie Walker,5,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,1,,2,4.8
81,287,Keenen Ivory Wayans,2770,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,32,R,322,7.0
100,545,Elden Henson,10499,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,113,PG-13,577,7.3
99,10,Chuck Mitchell,509,http://www.imdb.com/title/tt0079709/?ref_=fn_tt_tt_1,10,R,24,5.8
90,56,Brian Howe,4117,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,118,PG,76,7.0
82,50,Gabriela Castillo,73,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,4,PG,134,3.2
88,307,Ethan Embry,12796,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,52,Not Rated,982,6.8
103,0,Edmund McMillen,16701,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,Not Rated,0,7.7
80,140,Adam Rayner,5747,http://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,44,R,279,5.6
68,75,John Ireland,67,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,9,Approved,86,7.1
81,10,Hugh Mun,101,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,1,,18,3.6
106,13,Trevor Howard,544,http://www.imdb.com/title/tt0066141/?ref_=fn_tt_tt_1,19,GP,98,6.8
77,0,Dottie Alexander,80,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,1,Unrated,0,7.6
114,616,Monica Potter,67824,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,279,R,878,6.6
80,0,Seth Ackerman,496,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,13,,0,8.3
84,194,Clint Mansell,142619,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,R,512,7.5
86,117,Meredith Scott Lynn,405,http://www.imdb.com/title/tt0130019/?ref_=fn_tt_tt_1,15,R,166,5.4
87,153,Tom Ardavany,1622,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,R,184,5.3
80,3,Steve Diasparra,48,http://www.imdb.com/title/tt2319456/?ref_=fn_tt_tt_1,18,,15,4.5
100,0,Amanda Kearsan,85028,http://www.imdb.com/title/tt0390521/?ref_=fn_tt_tt_1,404,PG,0,7.3
82,128,Sean Whalen,1389,http://www.imdb.com/title/tt1296373/?ref_=fn_tt_tt_1,22,R,407,5.6
82,442,Lena Dunham,5507,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,23,R,969,5.6
70,6,Jason Evers,4752,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,152,Approved,16,4.1
75,46,Vincent Duvall,683,http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1,8,Unrated,87,6.8
87,272,Kevin Corrigan,760,http://www.imdb.com/title/tt1874789/?ref_=fn_tt_tt_1,4,Not Rated,778,6.3
87,9,Courtney Bell,13065,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,136,R,28,5.8
98,73,Michael McGlone,6375,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,36,R,111,6.6
83,8,Shailene Garnett,3885,http://www.imdb.com/title/tt2334896/?ref_=fn_tt_tt_1,40,Not Rated,19,6.7
99,3,Sonia Braga,712,http://www.imdb.com/title/tt0085575/?ref_=fn_tt_tt_1,9,R,308,6.4
98,433,Merritt Wever,11816,http://www.imdb.com/title/tt1570989/?ref_=fn_tt_tt_1,35,Not Rated,529,6.3
93,133,Jeremy Sande,485,http://www.imdb.com/title/tt1861343/?ref_=fn_tt_tt_1,5,Not Rated,413,3.4
,15,Chelse Swain,128,http://www.imdb.com/title/tt0381053/?ref_=fn_tt_tt_1,3,,36,4.7
111,,,61,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,1,,,6.0
47,5,David Mersault,6261,http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1,99,,9,7.3
92,,,53,http://www.imdb.com/title/tt2181837/?ref_=fn_tt_tt_1,10,,,7.9
97,236,Olivia Cooke,48236,http://www.imdb.com/title/tt2910814/?ref_=fn_tt_tt_1,180,PG-13,680,6.1
81,18,Greg Aronowitz,66,http://www.imdb.com/title/tt2294916/?ref_=fn_tt_tt_1,2,,20,7.4
83,69,Paul Eenhoorn,733,http://www.imdb.com/title/tt1798291/?ref_=fn_tt_tt_1,7,R,571,6.6
96,281,Jon Gries,181,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4,,482,5.5
90,15,Eddie Rouse,6246,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,76,Unrated,61,7.5
90,113,Christa Miller,2631,http://www.imdb.com/title/tt0162348/?ref_=fn_tt_tt_1,26,R,467,7.6
95,279,Johnny Walter,34,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2,,507,5.0
83,76,Patricia Raven,192,http://www.imdb.com/title/tt1716760/?ref_=fn_tt_tt_1,6,Unrated,114,3.2
117,476,Levon Helm,12611,http://www.imdb.com/title/tt0077838/?ref_=fn_tt_tt_1,113,PG,572,8.2
75,130,Thomas Brophy,106,http://www.imdb.com/title/tt2442662/?ref_=fn_tt_tt_1,5,,132,3.7
79,20,Mark Rendall,1516,http://www.imdb.com/title/tt1294161/?ref_=fn_tt_tt_1,10,Unrated,72,6.3
78,17,Kirpatrick Thomas,143,http://www.imdb.com/title/tt1073221/?ref_=fn_tt_tt_1,9,R,17,4.1
109,3,Kate Dollenmayer,1578,http://www.imdb.com/title/tt0446747/?ref_=fn_tt_tt_1,23,R,6,6.9
