director_name,duration,director_facebook_likes,actor_1_facebook_likes,movie_title,actor_2_facebook_likes
Aleksandr Veledinskiy,120,0,114,The Geographer Drank His Globe Away ,45
Peter H. Hunt,168,0,713,1776 ,649
Ruba Nadda,93,55,223,Inescapable ,11
Howard Hughes,96,177,431,Hell's Angels ,12
Edward Burns,103,0,650,Purple Violets ,536
Phil Joanou,93,21,763,The Veil ,637
Sean Byrne,84,18,399,The Loved Ones ,129
Chris Stokes,81,548,166,No Vacancy ,134
Mark Griffiths,84,4,637,How to Fall in Love ,346
Bruce Macdonald,94,103,544,The Perfect Wave ,476
Timur Bekmambetov,141,335,11000,Ben-Hur ,744
Fred Zinnemann,120,160,559,A Man for All Seasons ,269
Sidney Lumet,121,0,3000,Network ,977
Victor Fleming,226,149,503,Gone with the Wind ,384
Richard Raymond,104,10,507,Desert Dancer ,236
Sam Peckinpah,152,541,773,Major Dundee ,575
Alan Jacobs,92,2,881,Down for Life ,826
George Sidney,107,24,277,Annie Get Your Gun ,244
Christopher Morris,97,69,414,Four Lions ,365
Andrucha Waddington,115,6,119,House of Sand ,69
Peter Stebbings,95,89,963,Defendor ,654
Vincente Minnelli,102,136,89,The Pirate ,78
Dagur Kári,99,29,117,The Good Heart ,64
Nicholas Hytner,109,13,3000,The History Boys ,796
Jaume Collet-Serra,113,174,14000,Unknown ,902
,25,,443,M*A*S*H             ,421
John Schlesinger,113,154,183,Midnight Cowboy ,89
Peter Cattaneo,91,11,1000,The Full Monty ,891
Jim Abrahams,88,104,628,Airplane! ,575
Kevin Carraway,88,2,2000,Chain of Command ,872
F. Gary Gray,97,473,826,Friday ,723
Albert Hughes,97,117,851,Menace II Society ,582
,42,,912,Empire             ,906
Michael Gornick,85,10,3000,Creepshow 2 ,273
Sam Peckinpah,121,541,575,The Ballad of Cable Hogue ,372
Richard Brooks,134,174,255,In Cold Blood ,220
Fred Zinnemann,149,160,157,The Nun's Story ,139
Jack Smight,121,22,606,Harper ,481
Alfred Hitchcock,116,13000,195,Frenzy ,146
Robert Eggers,92,22,648,The Witch ,191
Michael Martin,93,0,625,I Got the Hook Up ,118
Edward Burns,96,0,385,She's the One ,356
Bill Condon,105,386,3000,Gods and Monsters ,258
Juan José Campanella,129,195,827,The Secret in Their Eyes ,88
George A. Romero,87,0,1000,Day of the Dead ,177
Gideon Raff,94,47,430,Train ,209
Sam Raimi,37,0,634,Evil Dead II ,328
Louis C.K.,81,0,560,Pootie Tang ,555
Anthony C. Ferrante,97,48,984,Sharknado ,697
Salvador Carrasco,106,22,174,La otra conquista ,16
André Øvredal,103,12,29,Trollhunter ,4
Robert Cary,101,0,827,Ira & Abby ,729
Akiva Schaffer,102,82,622,The Watch ,591
Adam Rapp,98,9,11000,Winter Passing ,8000
Angela Robinson,91,23,4000,D.E.B.S. ,756
Warren P. Sonoda,105,28,426,The Masked Saint ,294
Amanda Gusack,98,0,368,The Betrayed ,168
Avi Nesher,104,6,922,Taxman ,893
,45,,773,The Secret             ,133
Charles Adelman,96,0,708,2:13 ,574
Jay Oliva,148,41,2000,Batman: The Dark Knight Returns, Part 2 ,774
Charles Ferguson,100,117,21,Time to Choose ,3
Uwe Boll,86,892,603,In the Name of the King: The Last Job ,145
Mark Young,92,14,2000,Wicked Blood ,660
Daniel Petrie Jr.,88,19,795,Dawn Patrol ,535
Antonio Simoncini,90,0,1000,Lords of London ,53
Mel Brooks,94,0,1000,High Anxiety ,628
Luc Jacquet,80,10,11000,March of the Penguins ,108
J.C. Chandor,107,78,18000,Margin Call ,2000
Eldar Rapaport,99,0,141,August ,69
Clark Gregg,92,0,1000,Choke ,585
Damien Chazelle,107,141,24000,Whiplash ,970
Fernando Meirelles,135,353,1000,City of God ,69
Justin Kerrigan,99,8,798,Human Traffic ,472
Nathan Frankowski,102,19,632,Day One ,144
Karen Moncrieff,93,22,11000,The Dead Girl ,505
Thomas Vinterberg,115,346,74,The Hunt ,69
Bob Clark,94,84,662,A Christmas Story ,577
Alejandro Monteverde,91,38,625,Bella ,464
Mark L. Lester,98,73,595,Class of 1984 ,251
Jennifer Finnigan,97,246,756,The Opposite Sex ,521
Eric Styles,92,4,631,Dreaming of Joseph Lees ,443
Laurent Cantet,128,39,15,The Class ,2
Roman Polanski,136,2000,917,Rosemary's Baby ,563
John Ford,113,673,756,The Man Who Shot Liberty Valance ,423
Max Mayer,99,6,828,Adam ,390
Joshua Marston,101,13,280,Maria Full of Grace ,11
Mike Mills,105,101,1000,Beginners ,394
John Gulager,95,38,164000,Feast ,2000
John Landis,109,644,1000,Animal House ,783
Guy Hamilton,110,82,387,Goldfinger ,202
Brandon Cronenberg,108,43,691,Antiviral ,480
Frank Capra,118,964,488,It's a Wonderful Life ,275
Danny Boyle,94,0,2000,Trainspotting ,887
Spike Lee,115,0,1000,The Original Kings of Comedy ,436
Tod Williams,98,21,438,Paranormal Activity 2 ,332
Kirk Jones,91,52,773,Waking Ned Devine ,588
Michael Moore,120,909,909,Bowling for Columbine ,504
Yimou Zhang,109,611,878,Coming Home ,10
Jack Sholder,87,28,426,A Nightmare on Elm Street 2: Freddy's Revenge ,359
James Ivory,117,133,687,A Room with a View ,443
James DeMonaco,85,65,942,The Purge ,810
Scott Derrickson,110,301,1000,Sinister ,419
David Raynr,113,9,71,Martin Lawrence Live: Runteldat ,65
Richard Brooks,108,174,253,Cat on a Hot Tin Roof ,197
Ted Post,95,57,220,Beneath the Planet of the Apes ,162
Charles Martin Smith,98,188,2000,Air Bud ,970
Kunihiko Yuyama,93,8,88,Pokémon 3: The Movie ,82
Tom McLoughlin,86,41,956,Jason Lives: Friday the 13th Part VI ,316
David Lean,161,767,682,The Bridge on the River Kwai ,119
Patrick Read Johnson,100,32,610,Spaced Invaders ,232
Alfred Hitchcock,120,13000,897,Family Plot ,844
Billy Wilder,125,0,516,The Apartment ,417
Adam Marcus,91,18,935,Jason Goes to Hell: The Final Friday ,805
Alfred Hitchcock,128,13000,18,Torn Curtain ,16
Michel Gondry,100,1000,989,Dave Chappelle's Block Party ,744
John Maclean,84,85,13000,Slow West ,884
Michael Schultz,97,78,685,Krush Groove ,178
Benny Boom,84,23,1000,Next Day Air ,927
Richard Brooks,146,174,556,Elmer Gantry ,422
Stanley Kramer,186,176,877,Judgment at Nuremberg ,862
David Raynr,94,9,927,Trippin' ,209
,11,,11,Robot Chicken             ,0
Howard Hawks,126,393,862,Red River ,376
Nnegest Likké,99,18,939,Phat Girlz ,407
Richard Linklater,109,0,140,Before Midnight ,63
Christopher Leitch,95,4,641,Teen Wolf Too ,168
Don Coscarelli,97,152,674,Phantasm II ,174
Michael Schultz,94,78,912,Woman Thou Art Loosed ,637
Patricia Cardoso,90,15,953,Real Women Have Curves ,625
,197,,578,Deadline Gallipoli             ,476
Deepa Mehta,117,375,1000,Water ,329
Damien O'Donnell,96,70,883,East Is East ,183
Peter M. Cohen,82,0,472,Whipped ,324
Mira Nair,109,300,729,Kama Sutra: A Tale of Love ,257
Nicole Holofcener,90,132,1000,Please Give ,864
Mel Stuart,89,21,240,Willy Wonka & the Chocolate Factory ,177
Anthony Hickox,98,16,687,Warlock: The Armageddon ,233
Tom Schulman,95,45,578,8 Heads in a Duffel Bag ,341
Terrence Malick,94,0,820,Days of Heaven ,350
Jill Sprecher,104,11,11000,Thirteen Conversations About One Thing ,813
Darren Stein,87,18,3000,Jawbreaker ,2000
Julian Schnabel,108,232,10000,Basquiat ,721
Noah Baumbach,86,387,962,Frances Ha ,481
Gavin Hood,94,151,113,Tsotsi ,64
Todd Solondz,134,377,22000,Happiness ,11000
George Gallo,89,269,489,DysFunktional Family ,26
Kevin Smith,102,0,40000,Tusk ,3000
Chan-wook Park,120,0,717,Oldboy ,78
David Nixon,110,13,439,Letters to God ,399
Jason Eisener,86,59,694,Hobo with a Shotgun ,324
Enrique Begne,101,0,574,Compadres ,327
Matthew Bright,102,9,904,Freeway ,281
Michael Landon Jr.,87,84,702,Love's Abiding Joy ,366
Andrea Arnold,123,121,13000,Fish Tank ,260
Whit Stillman,99,89,962,Damsels in Distress ,476
,173,,723,Creature             ,539
Leslye Headland,87,21,4000,Bachelorette ,3000
,44,,786,BrainDead             ,341
Bobby Roth,120,40,912,Brave New Girl ,750
Tim Heidecker,93,78,536,Tim and Eric's Billion Dollar Movie ,317
Rupert Wyatt,111,81,3000,The Gambler ,571
,60,,40,The Grand             ,37
Marco Kreuzpaintner,98,7,289,Summer Storm ,38
Kate Connor,100,27,1000,Fort McCoy ,902
Deon Taylor,88,26,487,Chain Letter ,298
Jason Alexander,97,700,599,Just Looking ,325
Xavier Gens,122,87,2000,The Divide ,683
Conor McPherson,86,0,767,The Eclipse ,122
Will Canon,83,8,798,Demonic ,634
Philip Zlotorynski,80,0,231,My Big Fat Independent Movie ,27
Tim Burton,108,13000,40000,Alice in Wonderland ,25000
Lance Kawas,90,66,1000,The Deported ,975
Francesca Gregorini,96,15,433,Tanner Hall ,396
Marcio Garcia,85,74,652,Open Road ,124
David Wain,83,136,3000,They Came Together ,1000
Craig Moss,80,19,319,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,302
Michael Jai White,90,2000,2000,Never Back Down 2: The Beatdown ,606
John Boorman,92,128,756,Point Blank ,754
Paolo Monico,100,3,1000,Four Single Fathers ,810
Youssef Delara,88,8,2000,Enter the Dangerous Mind ,715
Darin Scott,95,39,1000,Something Wicked ,747
Christian Sesma,82,9,904,AWOL-72 ,779
Monte Hellman,97,96,201,Iguana ,39
Kenneth Branagh,105,0,2000,Cinderella ,520
Brian Caunter,94,0,854,Chicago Overcoat ,602
Chris D'Arienzo,95,7,2000,Barry Munday ,536
Walter Salles,113,179,119,Central Station ,14
Frank Capra,136,964,931,Pocketful of Miracles ,416
Isaac Florentine,80,81,640,Close Range ,277
Susan Seidelman,105,39,267,Boynton Beach Club ,225
Michael Polish,90,35,216,Amnesiac ,158
Heidi Ewing,93,4,875,Freakonomics ,412
Richard Donner,107,503,264,The Omen ,139
Alexandre Aja,89,192,447,High Tension ,236
Leon Ford,90,18,130,Griff the Invisible ,96
Hank Braxtan,89,6,679,Unnatural ,234
Craig Brewer,116,153,275,Hustle & Flow ,247
Billy Wilder,120,0,105,Some Like It Hot ,103
John Carl Buechler,88,152,935,Friday the 13th Part VII: The New Blood ,448
Victor Fleming,102,149,695,The Wizard of Oz ,421
Mel Brooks,106,0,1000,Young Frankenstein ,595
George A. Romero,95,0,569,Diary of the Dead ,529
Rajkumar Hirani,144,124,464,Lage Raho Munna Bhai ,426
Victor Nunez,113,9,402,Ulee's Gold ,222
Carroll Ballard,118,19,481,The Black Stallion ,81
Rohit Jugraj,141,2,258,Sardaar Ji ,85
Thorbjørn Christoffersen,90,0,122,Journey to Saturn ,33
