director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
John Wells,53,Meryl Streep,19000,37738400,Drama,August: Osage County ,67797,39690,3,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,285,English,R,25000000,7.3,30000
Tim Fywell,3,Trevor Blumas,90,24381334,Comedy|Drama|Family|Sport,Ice Princess ,19737,235,2,http://www.imdb.com/title/tt0396652/?ref_=fn_tt_tt_1,81,English,G,,6.0,901
Nigel Cole,13,Tyrone Giordano,618,21835784,Comedy|Drama|Romance,A Lot Like Love ,58297,1095,3,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,161,English,PG-13,30000000,6.6,0
Dexter Fletcher,452,Taron Egerton,20000,15785632,Biography|Comedy|Drama|Sport,Eddie the Eagle ,32507,21195,3,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English,PG-13,23000000,7.5,15000
Spike Lee,0,Milla Jovovich,18000,21554585,Drama|Sport,He Got Game ,36108,37315,0,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1,109,English,R,25000000,6.9,0
Jeremy Leven,19,Marlon Brando,40000,22200000,Comedy|Drama|Romance,Don Juan DeMarco ,41310,52122,3,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,117,English,PG-13,25000000,6.8,0
,,John Sparkes,45,,Animation|Comedy|Family,Shaun the Sheep             ,7968,55,0,http://www.imdb.com/title/tt0983983/?ref_=fn_tt_tt_1,12,English,TV-G,,8.3,834
Lasse Hallström,529,Henry Thomas,17000,80014842,Drama|Romance|War,Dear John ,104356,19945,,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,186,English,PG-13,25000000,6.3,14000
Sylvain White,41,Jason Patric,11000,23527955,Action|Crime|Drama|Mystery|Thriller,The Losers ,74691,12841,1,http://www.imdb.com/title/tt0480255/?ref_=fn_tt_tt_1,165,English,PG-13,25000000,6.4,0
Troy Nixey,24,Alan Dale,3000,24042490,Fantasy|Horror|Thriller,Don't Be Afraid of the Dark ,40776,3744,1,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,250,English,R,25000000,5.6,10000
Philip G. Atwell,5,Jet Li,26000,22466994,Action|Crime|Thriller,War ,72673,33565,0,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,166,English,R,25000000,6.3,0
Paul Thomas Anderson,0,Emily Watson,11000,17791031,Comedy|Drama|Romance|Thriller,Punch-Drunk Love ,109855,11994,0,http://www.imdb.com/title/tt0272338/?ref_=fn_tt_tt_1,888,English,R,25000000,7.3,0
Jeff Schaffer,17,Scott Mechlowicz,13000,17718223,Comedy,EuroTrip ,162067,14180,5,http://www.imdb.com/title/tt0356150/?ref_=fn_tt_tt_1,316,English,R,25000000,6.6,0
Don Michael Paul,70,Nia Peeples,462,15361537,Action|Crime|Thriller,Half Past Dead ,12263,1855,0,http://www.imdb.com/title/tt0297162/?ref_=fn_tt_tt_1,132,English,PG-13,13000000,4.6,564
Paul Feig,176,Rob Riggle,931,16647384,Adventure|Comedy|Family|Romance,Unaccompanied Minors ,8398,4431,1,http://www.imdb.com/title/tt0488658/?ref_=fn_tt_tt_1,56,English,PG,26000000,5.1,498
James Bridges,21,Phoebe Cates,967,16118077,Drama,"Bright Lights, Big City ",5817,3067,0,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,37,English,R,25000000,5.6,377
Steve Barron,48,Udo Kier,940,15091542,Adventure|Family|Fantasy|Musical,The Adventures of Pinocchio ,4086,2465,2,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,22,Italian,G,25000000,5.3,246
Bill Paxton,0,Matthew Knight,577,15331289,Drama|History|Sport,The Greatest Game Ever Played ,22289,1217,1,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,106,English,PG,,7.5,0
Richard Kelly,219,Gillian Jacobs,902,15045676,Drama|Fantasy|Mystery|Thriller,The Box ,76303,2466,1,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,376,English,PG-13,16000000,5.6,0
Carter Smith,27,Jonathan Tucker,960,17427926,Horror,The Ruins ,60062,1749,0,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,351,English,R,8000000,5.9,0
John Schlesinger,154,Rupert Everett,774,14983572,Comedy|Drama|Romance,The Next Best Thing ,9361,2498,1,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,162,English,PG-13,25000000,4.7,378
Wes Craven,0,Emily Meade,798,14637490,Horror|Mystery|Thriller,My Soul to Take ,16411,2537,2,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136,English,R,25000000,4.8,0
Luke Greenfield,42,Timothy Bottoms,355,14589444,Comedy|Drama|Romance,The Girl Next Door ,171151,911,2,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,513,English,R,25000000,6.8,0
Ringo Lam,17,Zach Grenier,900,14095303,Action|Crime|Mystery|Romance|Thriller,Maximum Risk ,15814,1634,1,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,68,English,R,25000000,5.4,503
Bruce McCulloch,54,Megan Mullally,985,13973532,Comedy|Crime,Stealing Harvard ,11211,3065,1,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English,PG-13,25000000,5.1,215
Brian Helgeland,241,Paul Anderson,27000,1865774,Biography|Crime|Drama|History|Thriller,Legend ,87682,27659,2,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,174,English,R,30000000,7.0,43000
Akiva Schaffer,82,Jorma Taccone,874,13920741,Comedy,Hot Rod ,59900,2062,5,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,149,English,PG-13,,6.7,0
David R. Ellis,160,Joel David Moore,963,18860403,Horror|Thriller,Shark Night 3D ,20823,4952,0,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,130,English,PG-13,25000000,4.0,0
Alan Parker,317,Devon Murray,876,13038660,Drama,Angela's Ashes ,16995,1282,1,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,163,English,R,25000000,7.3,0
Ivan Reitman,425,Chi McBride,3000,28831145,Drama|Sport,Draft Day ,39357,3757,1,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,113,English,R,25000000,6.8,14000
Tobe Hooper,365,Steve Railsback,338,,Action|Horror|Sci-Fi|Thriller,Lifeforce ,15531,1008,0,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,189,English,R,25000000,6.1,0
,,Jennifer Hale,971,,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,The Powerpuff Girls             ,23664,2346,0,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,60,English,TV-Y7,,7.2,581
Robert Redford,0,Tom Wilkinson,18000,11538204,Crime|Drama|History,The Conspirator ,23696,21163,0,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,135,English,PG-13,25000000,7.0,0
Catherine Hardwicke,308,Michael Angarano,13000,11008432,Biography|Drama|Sport,Lords of Dogtown ,43903,16651,0,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,194,English,PG-13,25000000,7.1,5000
Patricia Riggen,36,James Brolin,562,12188642,Biography|Drama|History,The 33 ,21098,2230,7,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,56,English,PG-13,26000000,6.9,0
John Carpenter,0,Kate Burton,400,11100000,Action|Adventure|Comedy|Fantasy,Big Trouble in Little China ,92464,896,1,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,331,English,PG-13,25000000,7.3,19000
Pascal Chaumeil,8,Malonn Lévana,172,,Comedy|Romance,A Perfect Plan ,5525,210,2,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11,French,,17000000,6.3,853
Gavin O'Connor,149,Frank Grillo,27000,13651662,Drama|Sport,Warrior ,332276,29692,1,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,514,English,PG-13,25000000,8.2,77000
Neil Jordan,277,Liam Neeson,25000,11030963,Biography|Drama|Thriller|War,Michael Collins ,24145,48482,2,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,93,English,R,28000000,7.1,0
Ron Maxwell,33,William Morgan Sheppard,854,10769960,Drama|History|War,Gettysburg ,21940,2107,0,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,256,English,PG,25000000,7.7,0
Kimberly Peirce,108,Channing Tatum,23000,10911750,Drama|War,Stop-Loss ,17757,43560,2,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,99,English,R,25000000,6.5,982
Stephen Gaghan,79,Zooey Deschanel,16000,10719367,Drama|Music|Mystery|Romance|Thriller,Abandon ,7909,28987,3,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,157,English,PG-13,25000000,4.9,261
Jonathan Kaplan,57,Tom Amandes,181,10114315,Drama|Mystery|Thriller,Brokedown Palace ,18693,582,0,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187,English,PG-13,25000000,6.4,0
Ole Bornedal,30,Madison Davenport,941,49122319,Horror|Thriller,The Possession ,47169,2348,0,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,162,English,PG-13,14000000,5.9,17000
Richard Benjamin,121,Jane Krakowski,3000,10070000,Comedy|Drama|Romance,Mrs. Winterbourne ,5668,5023,3,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,50,English,PG-13,25000000,6.2,491
Rod Lurie,37,Laz Alonso,10000,10324441,Action|Drama|Thriller,Straw Dogs ,27117,11431,1,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,140,English,R,25000000,5.8,7000
Lasse Hallström,529,Christopher Evan Welch,442,7156933,Comedy|Drama,The Hoax ,14581,1134,0,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,74,English,R,25000000,6.7,348
Craig R. Baxley,22,Sam McMurray,174,9286314,Action|Crime|Drama|Thriller,Stone Cold ,4972,583,1,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,62,English,R,17000000,5.9,0
John Hillcoat,214,Charlize Theron,10000,56692,Adventure|Drama,The Road ,177401,23566,2,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,504,English,R,25000000,7.3,32000
John Guillermin,71,Donovan Scott,433,,Adventure|Fantasy,Sheena ,3334,611,1,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,52,English,PG,25000000,4.8,739
Marcos Siega,32,Nick Cannon,843,5654777,Action|Comedy|Crime|Drama|Thriller,Underclassman ,4875,2165,3,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,26,English,PG-13,25000000,4.1,206
J.B. Rogers,6,Chris Klein,849,5516708,Comedy|Romance,Say It Isn't So ,11375,2413,2,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,91,English,R,25000000,4.9,295
Roger Donaldson,79,Antony Starr,12000,5128124,Biography|Drama|Sport,The World's Fastest Indian ,44198,12574,1,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,251,English,PG-13,25000000,7.9,11000
David R. Ellis,160,Kenan Thompson,852,34014398,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,115650,2603,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,English,R,33000000,5.6,4000
Rachel Talalay,54,Lori Petty,6000,4064333,Action|Comedy|Sci-Fi,Tank Girl ,24790,9662,0,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,173,English,R,25000000,5.2,0
Jeffrey W. Byrd,2,Loretta Devine,927,4006906,Comedy|Crime,King's Ransom ,3229,4990,7,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,20,English,PG-13,15000000,4.1,83
Fernando Meirelles,353,Joe Pingue,45,3073392,Drama|Mystery|Sci-Fi|Thriller,Blindness ,59462,142,0,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,300,English,R,25000000,6.6,0
Uwe Boll,892,Udo Kier,783,1550000,Action|Adventure|Fantasy|Horror,BloodRayne ,30628,2930,2,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,471,English,R,25000000,2.9,937
Roman Polanski,2000,Christoph Waltz,14000,,Comedy|Drama,Carnage ,96480,25143,3,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,181,English,R,25000000,7.2,21000
Atom Egoyan,460,Alison Lohman,14000,871527,Crime|Drama|Mystery|Thriller,Where the Truth Lies ,14982,16090,2,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,128,English,R,25000000,6.5,507
Andrew Adamson,80,Erica Linz,473,12495865,Fantasy,Cirque du Soleil: Worlds Away ,7100,539,0,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,35,English,PG,,6.8,0
Robert Towne,162,Monica Potter,2000,777423,Biography|Drama|Sport,Without Limits ,5841,4351,0,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,57,English,PG-13,25000000,7.2,942
Richard Linklater,0,Aidan McArdle,962,1186957,Drama,Me and Orson Welles ,9264,1591,3,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1,69,English,PG-13,25000000,6.8,0
Giuseppe Tornatore,911,Sean Buchanan,5000,85433,Crime|Drama|Mystery|Romance,The Best Offer ,69676,5954,2,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,131,English,R,13500000,7.8,31000
Werner Herzog,0,Shea Whigham,12000,1697956,Crime|Drama,Bad Lieutenant: Port of Call New Orleans ,64944,13809,2,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1,212,English,R,20000000,6.7,6000
Ben Stassen,4,Jenny McCarthy,783,,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures ,5385,3874,2,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22,English,PG,,6.1,0
Guillaume Canet,0,Benoît Magimel,541,183662,Comedy|Drama,Little White Lies ,18395,890,6,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,48,French,Not Rated,25000000,7.1,0
Taylor Hackford,138,Bai Ling,908,134904,Comedy|Drama|Romance|Sport,Love Ranch ,2395,3204,9,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,17,English,R,25000000,5.7,636
Jérôme Deschamps,0,André Wilms,44,,Adventure|Animation|Comedy,The True Story of Puss'N Boots ,753,53,0,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1,24,English,G,25000000,2.9,90
Inna Evlannikova,0,Evgeniy Mironov,21,,Adventure|Animation|Comedy|Family,Space Dogs ,891,48,0,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1,8,Russian,G,25000000,5.2,200
Ridley Scott,0,Brad Pitt,13000,16969390,Crime|Drama|Thriller,The Counselor ,80861,27797,4,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1,431,English,R,25000000,5.3,24000
Jonathan English,9,Mackenzie Crook,1000,,Action|Adventure|History|Romance,Ironclad ,34338,3287,2,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,103,English,R,25000000,6.2,0
Sergey Bondarchuk,27,Dan O'Herlihy,279,,Action|Drama|History|War,Waterloo ,5911,705,2,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1,76,English,G,25000000,7.3,690
Teddy Chan,3,Charlie Yeung,79,129115,Action|Drama,Kung Fu Killer ,5900,285,2,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1,26,Cantonese,,25000000,6.5,0
Mario Van Peebles,535,Mario Van Peebles,668,,Action|Thriller,Red Sky ,1084,2204,0,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,11,English,PG-13,25000000,4.1,437
Stephen Frears,350,Peter Capaldi,18000,34700000,Drama|Romance,Dangerous Liaisons ,52846,35501,2,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English,R,14000000,7.7,0
Walter Salles,179,Viggo Mortensen,17000,717753,Adventure|Drama,On the Road ,33107,33747,4,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1,128,English,R,25000000,6.1,27000
Leonard Nimoy,12000,Nichelle Nichols,12000,109713132,Adventure|Comedy|Sci-Fi,Star Trek IV: The Voyage Home ,61621,15449,5,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,219,English,PG,25000000,7.3,0
Sylvester Stallone,13000,Burt Young,13000,70269171,Drama|Sport,Rocky Balboa ,162130,15111,0,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1,962,English,PG,24000000,7.2,0
Ericson Core,19,Edgar Ramírez,1000,28772222,Action|Crime|Sport|Thriller,Point Break ,33958,3962,1,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,163,English,PG-13,105000000,5.3,37000
