director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,plot_keywords,title_year,aspect_ratio,movie_facebook_likes
Chris Kentis,218,86,9,32,Julia Taylor Ross,120,12555230,Adam Trese,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,2011,1.85,0
Florian Henckel von Donnersmarck,215,137,207,155,Ulrich Mühe,380,11284657,Martina Gedeck,3,east germany|police|secret police|stasi|writer,2006,2.35,39000
Alex Kendrick,34,129,589,341,Alex Kendrick,690,34522221,T.C. Stallings,7,faith|fatherhood|integrity|police|responsibility,2011,2.35,10000
Robert Rossen,100,134,31,366,Jackie Gleason,654,,Murray Hamilton,1,drink|manager|money|partner|pool hall,1961,2.35,0
Jack Conway,12,119,6,380,Spencer Tracy,1000,,Claudette Colbert,8,oil|oil field|oil tycoon|partnership|wildcatter,1940,1.37,236
Sylvain Chomet,167,80,162,0,Charles Linton,23,7002255,Béatrice Bonifassi,0,belleville|dog|mafia|tour de france|very little dialogue,2003,1.66,0
Chris Eyre,56,89,149,580,Irene Bedard,912,6719300,Gary Farmer,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,1998,1.85,0
Shari Springer Berman,180,101,30,92,James Urbaniak,14000,6003587,Daniel Tay,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,2003,1.85,0
Richard Linklater,211,80,0,3,Albert Delpy,50,5792822,Marie Pillet,0,book|bookstore|love|simultaneity|train,2004,1.85,13000
Alejandro G. Iñárritu,157,115,0,35,Jorge Salinas,85,5383834,Goya Toledo,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,2000,1.85,11000
Catherine Hardwicke,126,100,308,374,Sarah Clarke,1000,4599680,Kip Pardue,2,13 year olds|adolescence|friend|peer pressure|teacher,2003,1.85,0
Elia Kazan,61,118,603,167,Celeste Holm,936,,John Garfield,3,bigotry|jewish|prejudice|racism|writer,1947,1.37,0
Debra Granik,365,100,81,179,Shelley Waggener,34000,6531491,Lauren Sweetser,2,bail|crystal meth|family relationships|female protagonist|search for father,2010,1.85,20000
Kevin Macdonald,121,106,162,3,Brendan Mackey,21,4581222,Joe Simpson,0,bone|climbing|crevasse|partner|rope,2003,1.85,0
Henry King,10,106,85,300,Don Ameche,480,,John Carradine,2,band|dance|ragtime|singer|violinist,1938,1.37,60
Miranda July,151,91,244,244,Brad William Henke,538,3885134,Miranda July,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,2005,1.85,0
Charles Ferguson,171,105,117,18,George W. Bush,13000,4311834,Barney Frank,0,florida|iceland|interview|new york city new york|recession,2010,2.35,63000
Max Joseph,158,96,31,328,Emily Ratajkowski,804,3590010,Jonny Weston,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,2015,1.85,0
Jim Jarmusch,167,116,0,116,Gano Grills,251,3300230,Richard Portnow,1,african american|code|dog|pigeon|samurai,1999,1.85,0
David Ayer,118,116,453,2000,Christian Bale,24000,3335839,Noel Gugliemi,2,blood splatter|friend|lapd|mexican|violence,2005,1.85,0
Jerry Jameson,39,97,5,349,Leonor Varela,1000,2557668,Sydelle Noel,1,auto theft|based on true story|drug addict|kidnapping|violence,2015,1.85,0
Steven Soderbergh,108,101,0,685,Enrico Colantoni,8000,2506446,Blair Underwood,0,birthday|friend|hollywood|party|sex,2002,1.85,134
Kevin Tenney,65,98,85,186,Tawny Kitaen,265,7369373,Rose Marie,1,evil spirit|hatchet|ouija|ouija board|psychopathic killer,1986,1.85,0
,8,22,,344,Amy Sedaris,459,,Maria Thayer,3,alternative comedy|female protagonist|high school|social satire|three word title,,4.0,558
Kenneth Branagh,85,150,0,401,Brian Blessed,597,4414535,Richard Briers,0,classic literature|denmark|funeral|madness|prince,1996,2.2,0
John Cameron Mitchell,160,101,263,37,Peter Stickles,71,1984378,Raphael Barker,3,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,2006,1.78,0
Ari Folman,231,90,56,0,Ronny Dayag,56,2283276,Zahava Solomon,0,bar|dog|interview|lebanon|nightmare,2008,1.85,0
Gary Rogers,7,120,0,40,Kirby Heyborne,178,1098224,Bruce Newbold,1,jerusalem|journey|promised land|ship|wilderness,2003,1.85,32
Charles Ferguson,79,102,117,17,Dick Cheney,393,1430185,Donald Rumsfeld,0,american politics|iraq|iraq war|occupation|white house,2007,1.85,0
Marielle Heller,168,102,22,80,David Fine,10000,1477002,Austin Lyon,3,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,2015,2.35,0
,1,60,,143,Jon Tenney,11000,,Debrah Farentino,5,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,,1.33,43
David Sington,107,100,90,65,Buzz Aldrin,168,1134049,Neil Armstrong,0,1960s|astronaut|moon|nasa|spacecraft accident,2007,1.85,0
Kelly Reichardt,200,104,129,887,Zoe Kazan,991,977600,Shirley Henderson,1,desert|oregon|survival|trust|water,2010,1.33,0
Fenton Bailey,123,89,13,218,Bill Maher,373,653621,Linda Lovelace,0,clitoris|deep throat|fellatio|oral sex|porn industry,2005,1.85,592
Bob Giraldi,39,99,34,120,Manny Perez,388,110000,Ajay Naidu,1,detective|food|gangster|police|restaurant,2000,1.85,495
Jill Sprecher,41,96,11,490,Bob Balaban,584,444354,Jamie Kennedy,4,office|office politics|photo booth|snobbery|title directed by female,1997,,166
Huck Botko,46,86,10,126,Krysta Rodriguez,189,535249,Zack Pearlman,0,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,2010,1.85,974
Luc Besson,30,98,0,164,Isabelle Adjani,1000,,Jean-Hugues Anglade,1,band|blackmail|safe|subway|train,1985,2.35,739
David Duchovny,46,96,0,902,Mark Margolis,49000,371081,Frank Langella,2,artist|butchery|catholic|catholic school|friend,2004,1.85,857
Mitchell Lichtenstein,221,94,53,268,Nathan Parsons,386,347578,John Hensley,1,high school|purity|stepbrother|temptation|vagina dentata,2007,1.85,17000
Lance Mungia,51,91,4,0,Stephane Gauger,33,124494,Kim De Angelo,1,boy|guitar|orphan|rock 'n' roll|sword,1998,1.85,0
Kundan Shah,1,,4,72,Bobby Deol,353,,Shakti Kapoor,2,elevator|news reporter|police|restaurant|waiter,2000,,10
Michael Dowse,58,90,31,137,Neil Maskell,326,120620,Kate Magowan,1,deafness|disappearance|ears|ibiza|musician,2004,2.35,0
Hue Rhodes,45,85,0,966,Steve Buscemi,22000,100669,Romany Malco,1,city name in title|male frontal nudity|place name in title,2009,2.35,407
Shane Meadows,44,96,222,20,Annette Badland,5000,,Karl Collins,2,fight|gang|hiking|wales|working class,1997,1.85,224
Roland Emmerich,74,129,776,256,Caleb Landry Jones,25000,186354,Matt Craven,0,box office flop|critically bashed|gay rights|new york city|stonewall riots,2015,2.35,0
,20,60,,543,Colin Ferguson,780,,Salli Richardson-Whitfield,2,alternate reality|pacific northwest|small town|small town life|small town sheriff,,1.78,3000
Jugal Hansraj,6,93,32,24,Sanjay Mishra,532,55202,Javed Jaffrey,0,india|love|love at first sight|mumbai india|reference to edward scissorhands,2008,2.35,39
Danny Provenzano,5,100,84,267,Frank Vincent,584,,Chuck Zito,4,gangster|heist|internet|mafia|miami florida,2003,1.85,61
Bill Muir,10,97,19,395,Jansen Panettiere,589,549632,Tiya Sircar,,cave|cobra|island|medallion|waterfall,2013,2.35,715
Richard LaGravenese,81,94,98,89,Jeremy Jordan,10000,137945,Charly Bivona,7,based on play|number in title,2014,2.35,0
Noah Buschel,66,95,8,399,Amy Ryan,529,17580,Paul Adelstein,3,cellphone|detective|missing person|private detective|train,2009,1.85,195
Brian Yuzna,46,97,97,163,Kent McCord,787,,Sarah Douglas,1,female nudity|living dead|self mutilation|sequel|zombie,1993,1.85,810
Hunter Richards,34,92,11,1000,Chris Evans,26000,12667,Dane Cook,2,bar|coke|drugs|party|snorting,2005,2.35,0
Laurie Collyer,78,96,38,85,Kate Burton,363,198407,Michelle Hurst,1,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,2006,1.85,474
Bruce McCulloch,52,85,54,455,Megan Mullally,985,13973532,Chris Penn,1,black humor|crying during sex|harvard|humor|man with glasses,2002,1.85,215
Aaron Hann,29,87,0,94,Michael McLafferty,160,,Kaiwi Lyman-Mersereau,0,alien abduction|debate|lesbian|pregnant|spaceship,2015,,0
James Watkins,161,91,43,418,Jack O'Connell,13000,5824,Lorraine Stanley,1,camping|forest|lake|stabbed with glass|vomiting,2008,2.35,0
Catherine Hardwicke,18,99,308,395,James Kyson,638,2843,Marlene Forte,2,gay interest|guitarist|obsessed fan|seduction|sex scene,2013,1.78,604
Phil Claydon,107,88,6,161,James Corden,513,,Silvia Colloca,3,blood|breasts|female nudity|lesbian|vampire,2009,2.35,0
Ralph Ziman,30,119,5,12,Kenneth Nkosi,29,4958,Robert Hobbs,2,carjacking|drug lord|johannesburg south africa|police|post apartheid,2008,2.35,1000
John Simpson,24,99,0,268,Lee Evans,766,,Ian McNeice,1,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,2004,2.35,205
Colin Minihan,116,92,6,103,Sean Rogerson,253,,Ashleigh Gryzko,0,ghost|ghost hunting|labyrinth|paranormal|reality show,2011,1.78,0
Conor McMahon,98,86,5,47,Tommy Knight,121,,Jemma Curran,0,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,2012,1.85,0
Chris Shadley,25,83,0,107,William Lee Scott,413,,Marc Macaulay,0,betrayal|car|connection|death|gun,2010,2.35,0
Simon Napier-Bell,,81,0,8,Tim Rice,674,,Louis Walsh,0,,2015,,0
Woody Allen,40,82,11000,167,Charlotte Rae,11000,,Louise Lasser,3,fictitious country|latin america|president|rebellion|reference to fidel castro,1971,1.37,0
Simon Yin,20,102,0,46,Linus Roache,473,13220,Kathy Uyen,0,,2012,,115
Jeff Crook,8,90,5,372,Mario Cimarro,601,,Ricardo Chavira,1,one word title,2007,2.35,44
,19,30,,424,Tim Daly,685,,Amy Yasbeck,5,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,,1.33,1000
Orson Welles,90,92,0,18,Everett Sloane,1000,7927,Ted de Corsia,1,law partner|murder|partner|seaman|yacht,1947,1.37,0
Dave Payne,21,88,0,332,Lew Temple,633,,Robert Pine,0,death|desert|robber|sheriff|waitress,2008,1.78,153
James Cox,12,97,10,171,M.C. Gainey,15000,,Mark Rolston,3,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,2002,2.35,912
Jonas Åkerlund,33,96,68,722,Saffron Burrows,2000,,Matt Lucas,6,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,2012,1.85,0
Brad Copeland,9,87,8,424,Ben Schwartz,34000,,Glenn Howerton,3,barista|coffee|coffee shop|fight|insult,2013,2.35,0
Paul Bunnell,94,106,5,356,Kevin McCarthy,416,2436,Paul Williams,2,1950s|independent film|outlaw|trial,2012,2.35,655
Phil Morrison,41,107,17,322,Curtiss Cook,594,4556,Peter Hermann,1,christmas tree|french canadian|new york|salesman,2013,,825
Harald Reinl,38,80,2,51,Lex Barker,16000,,Karin Dor,0,count|drawn and quartered|tied up|torture chamber|torture device,1967,1.66,200
James Cox,12,91,10,293,Powers Boothe,924,,Josh Meyers,3,addict|paternity|rascal|swimming pool|texas,2013,,0
Richard Lester,25,99,44,137,Zero Mostel,907,,Phil Silvers,0,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,1966,1.85,805
Michael Moore,27,102,909,119,Eddie Vedder,909,,Steve Earle,0,character name in title|election campaign|presidential election,2007,,69
Tanner Beard,2,108,531,894,Kevin Alejandro,10000,,Glenn Morshower,1,1800s|doc holliday|robbers|sheriff|texas,2011,,651
Scott Dow,23,88,6,233,Wray Crawford,680,,Dave Sheridan,0,zombie|zombie spoof,2015,,0
Derick Martini,32,89,20000,618,Bella Heathcote,2000,,Tom Arnold,1,,2015,,0
Jerry Dugan,18,92,3,412,Michael Aaron Milligan,11000,,James Chalke,0,blood|daughter|jail|police|shark,2015,,728
Tim Hunter,45,99,28,223,Daniel Roebuck,18000,4600000,Ione Skye,2,death|friend|high school|murder|police,1986,1.85,0
Michael Polish,60,103,35,482,Anthony Edwards,548,1420578,Jon Gries,0,boy|caretaker|dam|evacuation|orphanage,2003,2.35,298
William Kaufman,23,90,58,164,Mike 'The Miz' Mizanin,405,,David Lewis,2,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,2015,1.78,620
Rodrigo Cortés,363,95,89,263,Samantha Mathis,16000,1028658,Erik Palladino,0,buried alive|coffin|iraq|one person|single set production,2010,2.35,24000
Richard Ayoade,249,97,0,594,Paddy Considine,920,466702,Sally Hawkins,1,15 year old|school|teen comedy|teen movie|virginity,2010,1.85,17000
Jehane Noujaim,68,108,63,5,Ahmed Hassan,161,,Aida Elkashef,0,,2013,1.85,0
Pascal Arnold,14,95,0,164,Lizzie Brocheré,533,18435,Pierre Perrier,5,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,2006,1.85,104
Kimberly Peirce,359,100,108,534,Judy Greer,17000,35266619,Portia Doubleday,1,outcast|prom|self injury|telekinesis|tragic event,2013,2.35,39000
Remo,15,160,168,71,Remo,733,95236,Prabhudheva,3,,2013,,1000
Wes Craven,256,101,0,574,Lin Shaye,40000,26505000,Amanda Wyss,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,1984,1.85,10000
James Marsh,194,90,120,0,Philippe Petit,41,2957978,Jean-Louis Blondeau,0,new york city|passion|reenactment|rooftop|tower,2008,1.85,0
John Laing,,86,0,3,Peter Feeney,42,,Rachel Nash,5,boat|one word title|sea|storm|survivor,2015,,213
Jamal Hill,10,89,47,585,Adam Ratcliffe,628,444044,Faizon Love,6,basketball|burglary|police|robbery|teenage girl,2015,1.85,1000
Daniel Stamm,311,87,13,308,Ashley Bell,463,40990055,Patrick Fabian,0,cult film|documentary crew|exorcism|found footage|satanic ritual,2010,1.85,0
Sam Taylor-Johnson,205,98,456,231,Ophelia Lovibond,1000,1445366,Anne-Marie Duff,1,1960s|childhood|friendship|love|the beatles,2009,2.35,10000
Elia Kazan,94,125,603,114,Karl Malden,10000,,Kim Hunter,0,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,1951,1.37,5000
Stanley Kubrick,192,95,0,277,Slim Pickens,654,,Keenan Wynn,0,bomber|doomsday|general|u.s. president|war room,1964,1.66,18000
Carlos Carrera,85,118,12,67,Ana Claudia Talancón,201,5709616,Pedro Armendáriz Jr.,0,church|love|mexico|politics|priest,2002,1.85,544
Benh Zeitlin,663,93,188,168,Gina Montana,2000,12784397,Dwight Henry,0,auroch|community|hospital|illness|six year old,2012,1.85,31000
J. Lee Thompson,62,96,88,196,Paul Williams,595,,Claude Akins,4,ape|general|gorilla|outer space|planet of the apes,1973,2.35,511
Maggie Greenwald,39,109,9,280,David Patrick Kelly,767,3050934,Jane Adams,1,doctor|mountain|musician|song|university,2000,1.85,0
Vera Farmiga,68,109,0,186,Bill Irwin,553,841206,Michael Chernus,0,1960s|belief in the afterlife|domestic violence|faith|minister,2011,1.85,952
Vijay Chandar,3,155,0,61,T.R. Silambarasan,141,,Brahmanandam,2,,2015,,82
Morgan Spurlock,130,90,293,808,J.J. Abrams,16000,638476,Donald Trump,1,advertising|movie in title|product placement,2011,,0
Jonathan Wacks,13,93,0,482,Gary Farmer,12000,,Jon Gries,0,based on ed gein|dog|hyperactive|macabre|zombie,1993,1.78,266
Khyentse Norbu,44,108,28,0,Lhakpa Dorji,0,505295,Sonam Kinga,0,bhutan|buddhist|monk|storytelling|weaver,2003,1.85,353
Ted Post,26,114,57,426,Bruce Dern,16000,,Alan Hale Jr.,3,imperative in title|judge|marshal|murder|vigilante,1968,1.85,0
Richard Brooks,27,87,174,114,Jim Backus,2000,,Kim Hunter,0,editor|gangster|newspaper|organized crime|press,1952,1.37,169
Tony Krantz,53,113,15,491,Tom Cavanagh,647,,Cas Anvar,0,birthday|birthday party|colonoscopy|hospital|surgery,2007,2.35,368
Mitchell Altieri,,87,9,165,Luke Edwards,467,,Bree Williamson,0,,2016,,8
W.D. Hogan,10,90,4,91,Keenan Tracey,433,,Nicholas Carella,0,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,2013,,566
Corey Grant,4,111,21,685,Essence Atkins,761,,Tatyana Ali,13,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,2012,1.85,569
Tom Tykwer,181,81,670,34,Ludger Pistor,486,7267324,Armin Rohde,1,bechdel test failed|money|multiple outcomes|repeated event|subway,1998,1.85,0
Lucky McKee,114,93,75,446,Will Estes,701,145540,Nora Zehetner,1,case|doll|dry humor|friend|love,2002,1.85,0
Richard Boddington,11,90,15,120,CJ Adams,900,,Erin Pitt,3,cave|salmon,2013,,326
David Hunt,1,112,0,11,Chris Cleveland,86,,Circus-Szalewski,0,brother|cave|caver|dark|funeral,2013,1.85,73
Patricia Riggen,75,106,36,345,Eugenio Derbez,953,12589108,Kate del Castillo,1,12 year old|boy|mexican|mexican immigrant|mexico,2007,1.85,0
J. Lee Thompson,80,88,88,67,Gordon Jump,595,,John Randolph,0,ape|future|intelligence|revolution|slave revolt,1972,2.35,794
Todd Field,179,138,143,783,Sissy Spacek,1000,35918429,Karen Allen,1,doctor|maine|only son|school choir|summer,2001,2.35,951
Steven R. Monroe,225,105,68,374,Chad Lindberg,635,92401,Daniel Franzese,0,horror movie remake|rape|rape and revenge|rape victim|revenge,2010,2.35,17000
Mark Illsley,77,98,3,327,Illeana Douglas,349,1943649,Jeremy Northam,3,banker|beauty pageant|escaped convict|gay|pageant,1999,1.85,374
Pawel Pawlikowski,124,86,84,34,Natalie Press,680,992238,Dean Andrews,0,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,2004,1.85,869
Ritesh Batra,195,104,25,73,Nimrat Kaur,638,4231500,Lillete Dubey,2,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,2013,2.35,16000
Sally Potter,76,100,87,420,Joan Allen,887,396035,Stephanie Leonidas,0,beach|lebanese|loss|muslim|restaurant,2004,1.85,305
Frank Capra,51,126,964,275,Ann Miller,319,,Lionel Barrymore,10,eccentric|friend|house|monopoly|stenographer,1938,1.37,0
Fred Zinnemann,101,118,160,426,Donna Reed,862,,Deborah Kerr,5,boxing|captain|hawaii|love|sergeant,1953,1.37,0
John Ford,55,103,673,89,Ben Johnson,281,,Victor McLaglen,1,captain|cavalry|fort|retirement|yellow ribbon,1949,1.37,721
Brad J. Silverman,15,102,11,575,Michael Welch,651,2507106,Anthony Reynolds,0,christianity|love|reference to justin bieber|reference to taylor swift|worship,2013,,0
Dave Meyers,16,84,11,249,Clifton Powell,489,6026908,Marla Gibbs,0,accidental killing|drug humor|profanity|sexual humor|stand up comedy,1999,,43
David M. Matthews,5,,8,394,Lamman Rucker,713,2592808,Tempestt Bledsoe,5,betrayal|family relationships|insecurity|murder|passive aggression,2010,2.35,588
Nadine Labaki,109,95,0,0,Adel Karam,227,1060591,Nadine Labaki,0,caramel|friendship|police|secret|suitor,2007,1.85,0
Lluís Quílez,40,92,0,2,Pixie Davies,327,,Alejandro Furth,3,haunted house,2014,2.35,844
Eytan Fox,51,90,21,27,Lior Ashkenazi,53,155972,Yousef 'Joe' Sweid,0,gay|hairy chest|homosexual|israel|male nudity,2006,,0
Francis Ford Coppola,149,113,0,324,Teri Garr,11000,,Cindy Williams,2,corruption|neo noir|recording|saxophone|surveillance,1974,1.37,6000
Romesh Sharma,4,,0,45,Revathy,421,129319,Bhoomika Chawla,4,,2005,,9
François Truffaut,35,123,0,21,Jean-Paul Belmondo,963,26893,Michel Bouquet,0,antibes|hotel|island|reunion|reunion island,1969,2.35,278
Adam Goldberg,22,111,1000,127,Marisa Coughlan,2000,2580,Nicky Katt,2,film student|marriage|mental breakdown|movie star|obsession,2003,2.35,63
Travis Zariwny,68,99,4,114,Gage Golightly,427,,Samuel Davis,0,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,2016,,2000
Zack Snyder,287,110,0,1000,Kevin Zegers,3000,58885635,Mekhi Phifer,0,mall|mayhem|nurse|rear entry sex|survival horror,2004,2.35,7000
Adrienne Shelly,173,108,191,336,Cheryl Hines,597,19067631,Eddie Jemison,1,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,2007,1.85,0
Newt Arnold,61,92,15,49,Donald Gibb,633,11806119,Ken Siu,1,hand to hand combat|hong kong|kumite|martial arts|tournament,1988,1.85,0
Frank Capra,96,120,964,248,Jean Arthur,607,,Thomas Mitchell,7,camp|corruption|governor|senate|u.s. senate,1939,1.37,0
Larry Clark,71,91,184,82,Leo Fitzpatrick,3000,7417210,Justin Pierce,1,coming of age|marijuana|rape|virgin|weed,1995,1.85,0
Noah Baumbach,110,88,387,18,Elizabeth Meriwether,436,7362100,Owen Kline,0,boy|divorce|tennis|tennis coach|writer,2005,1.85,0
Charles Herman-Wurmfeld,110,97,0,117,Jennifer Westfeldt,378,7022940,Brian Stepanek,1,friend|friendship|journalist|new york city|personal ad,2001,1.85,682
Yimou Zhang,101,95,611,3,Ni Yan,9,190666,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,2009,2.35,784
John Stockwell,2,90,134,354,T.J. Storm,260000,,Sam Medina,5,,2016,,0
Alfred Hitchcock,97,95,13000,82,Rhonda Fleming,472,,Leo G. Carroll,1,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,1945,1.37,0
Atom Egoyan,53,103,460,900,Mia Kirshner,991,5132222,Sarah Polley,1,bird|cult film|egg|nightclub|toronto,1994,1.85,619
Vincent Gallo,106,110,787,642,Vincent Gallo,1000,2365931,Jan-Michael Vincent,2,shower|stripper|tap dancing|underwear|undressing,1998,1.85,0
James Wan,445,103,0,588,Barbara Hershey,852,53991137,Philip Friedman,1,baby|boy|coma|demon|house,2010,2.35,60000
Alex Cox,131,92,92,166,Tracey Walter,752,,Miguel Sandoval,3,punk|punk rocker|repossession|televangelist|ufo,1984,1.85,0
Fabián Bielinsky,94,114,44,7,Gastón Pauls,827,1221261,Leticia Brédice,0,con artist|hotel|partner|scam|stamp,2000,1.85,0
Dror Moreh,105,101,4,0,Yuval Diskin,0,2408553,Yaakov Peri,3,interview|jerusalem|jewish|terrorism|terrorist bombing,2012,1.85,0
Rebecca Miller,75,112,58,42,Susanna Thompson,552,712294,Ryan McDonald,1,commune|defecation|environmentalism|fellatio|island,2005,1.66,608
Maggie Carey,97,104,38,690,Alia Shawkat,801,3447339,Scott Porter,7,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,2013,1.78,0
Roger Avary,37,99,675,164,Salvator Xuereb,902,418953,Jean-Hugues Anglade,0,bank|bastille day|call girl|childhood friend|drugs,1993,1.85,853
Henry Bean,84,98,21,76,Theresa Russell,33000,406035,Summer Phoenix,0,jew|jewish nazi|nazism|racism|skinhead,2001,1.66,0
David Gordon Green,88,107,234,442,Connor Paolo,947,402820,Tom Noonan,0,flashback|football game|school|small town|snow,2007,2.35,415
Simeon Rice,6,93,6,56,Lisa Brave,393,,Malone Thomas,1,,2014,2.35,307
Brad Anderson,127,100,122,83,Brendan Sexton III,210,373967,Larry Fessenden,0,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,2001,2.35,0
Jeff Garlin,32,80,522,423,Jeff Garlin,813,194568,Joey Slotnick,0,cheese|city|ice cream|school|second city,2006,1.85,0
Qasim Basir,8,94,13,616,Nia Long,1000,,Evan Ross,1,one word title,2010,,0
Adam Green,229,93,134,488,Kane Hodder,936,,Joel Murray,0,bayou|boat|louisiana|swamp|tour,2006,1.85,0
Charles Chaplin,120,87,0,8,Stanley Blystone,309,163245,Fred Malatesta,1,actor director writer|invention|machine|music score composed by director|tramp,1936,1.37,0
Pete Jones,31,91,18,597,Aidan Quinn,954,119841,Bonnie Hunt,1,catholic|catholicism|rabbi|school|summer,2002,1.85,304
Bruce Campbell,100,84,0,158,Dan Hicks,634,173066,Timothy Patrick Quill,1,b movie|birthday|chinese|demon|small town,2007,1.85,0
Mark Brown,14,90,7,424,Monica Calhoun,890,92362,Garrett Morris,7,,2005,1.85,68
