actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Julia Garner,321,Christopher Abbott,40425,1263,186,,300,6.9,2.35,0
Jenny Slate,612,Gaby Hoffmann,16594,1587,73,,457,6.8,2.35,0
Michael O'Keefe,496,Charlie McDermott,21746,994,93,1000000,238,7.2,1.85,0
Lou Adler,130,Sheryl Crow,9540,198,80,1000000,19,7.4,1.78,14000
Natasha Gregson Wagner,21000,Robert Downey Jr.,5933,21124,102,1000000,104,5.6,1.85,387
Anne Heche,778,Kevin Corrigan,2629,2400,32,1000000,695,6.8,1.85,227
Mark Addy,1000,Tom Wilkinson,82232,2323,174,3500000,891,7.2,1.85,0
Phyllis Diller,783,Ed Begley Jr.,11283,1447,155,1000000,659,7.7,1.75,0
Nia Long,1000,Justin Theroux,6084,3085,120,1000000,826,7.0,2.35,671
Ossie Davis,1000,Daniel Roebuck,38893,1587,366,1000000,282,7.2,1.85,0
Dylan Minnette,2000,Odeya Rush,47988,5497,154,58000000,1000,6.4,2.35,35000
Saul Williams,245,Sonja Sohn,1976,295,51,1000000,38,7.2,1.85,603
Frank Gerrish,957,Wilford Brimley,983,1107,63,1000000,81,7.2,1.85,100
Manoj Bajpayee,353,Karisma Kapoor,2715,773,19,1000000,186,6.2,2.35,92
Sid Caesar,1000,Madeline Kahn,36559,3931,131,11000000,898,6.9,2.35,0
Dian Bachar,406,Trey Parker,30396,904,168,1000000,203,6.2,1.85,0
Paul Schneider,11000,Zooey Deschanel,9233,12385,126,2500000,552,6.9,2.35,571
Cathy Moriarty,611,David Arquette,1524,1692,29,1000000,394,7.0,1.85,166
Agnes Bruckner,638,Frances Fisher,3142,1641,68,1000000,400,6.7,1.85,115
Lupe Ontiveros,844,Cheech Marin,505,2289,32,1000000,625,3.6,,24
Nat Wolff,11000,James Franco,19752,12234,61,,733,6.3,1.85,0
Scandar Copti,20,Shahir Kabaha,4999,42,32,,13,7.4,1.85,0
Patrick Fugit,1000,Leslie Bibb,46076,4720,88,1000000,835,7.4,1.78,11000
Cara Seymour,7000,Steven Yeun,75633,7098,160,,71,7.3,2.39,32000
Elden Henson,855,Shiri Appleby,3806,2489,49,1000000,577,6.1,1.85,150
AJ Michalka,873,Michael Imperioli,125114,2369,593,65000000,559,6.7,2.35,16000
Herman Koto,3,Anwar Congo,23836,6,107,1000000,3,8.2,1.85,20000
George W. Bush,141,Alex Gibney,10564,313,40,1000000,125,7.7,1.85,0
Marv Albert,102,Pelé,1290,118,13,1000000,7,7.3,1.85,587
Rufus Graham,12,Kumar Gaurav,56,15,2,,3,7.4,,32
Fisher Stevens,978,Mira Sorvino,455,3258,16,,922,5.7,,25
Tom Hamann,53,Josh Swanson,2482,86,16,1000000,24,7.6,1.85,0
Brian Whitaker,20,G.W. Krauss,1220,28,11,1000000,8,6.8,,0
Randy Wayne,260000,Matthew Ziff,606,263584,5,1000000,984,5.6,1.85,706
Anil Kapoor,724,Emraan Hashmi,1524,2024,30,1500000,668,4.8,,31
Greta Gerwig,969,Lena Dunham,30160,3833,193,900000,962,6.4,1.85,0
Clayne Crawford,443,David Hyde Pierce,20176,1452,73,500000,298,6.8,1.85,0
Michael Lerner,499,Harvey Fierstein,2735,1141,52,1000000,230,6.1,1.85,157
Patsy Kensit,590,Patrick Renna,1434,1042,43,1000000,231,5.2,,27
Louis Mustillo,96,Yul Vazquez,334,196,17,,71,6.9,1.85,43
James Gunn,2000,Judy Greer,1938,3905,54,1000000,571,6.0,1.85,210
Emily Baldoni,386,Will Rothhaar,397,1647,6,1000000,261,6.3,1.78,143
Ana Claudia Talancón,262,Jordana Spiro,3228,509,31,1000000,163,6.1,1.85,244
Alexia Rasmussen,446,Nora Zehetner,1048,928,7,1000000,171,5.5,2.39,793
Paul Blackthorne,975,Michael Rapaport,4862,2694,37,1000000,645,6.9,1.85,0
Jamie Kennedy,491,Frances Bay,377,2633,13,,490,5.6,,17
Vanilla Ice,639,Scott Levy,534,1188,9,1000000,361,1.9,1.78,128
Mariel Hemingway,563,David Keith,783,1284,12,1000000,288,4.1,1.85,42
Frank Whaley,474,Lynn Cohen,480,920,21,1500000,436,5.4,1.85,47
Andrea Vergara,327,Kenny Johnston,3499,351,15,1000000,9,6.8,1.85,0
Ayesha Omar,7,Rasheed Naz,876,19,15,1000000,5,7.0,,259
Kevin McCarthy,442,Ilene Graff,9190,1635,75,1000000,403,6.7,1.85,501
Matt Walsh,782,Jason Ritter,1359,2607,8,1000000,490,5.8,1.78,903
A.J. Buckley,363,Nicole Randall Johnson,1420,997,26,1000000,275,6.2,,138
Lauren C. Mayhew,984,Randy Wayne,1612,1752,28,1000000,157,2.8,16.0,297
Eddie Albert,694,Oliver Reed,340,964,7,,196,7.3,1.37,32
Ossie Davis,767,Aidan Quinn,275,1593,22,1000000,282,5.8,,141
Chloë Grace Moretz,34000,Jennifer Lawrence,3943,52113,24,,17000,6.5,1.85,599
Barbara Hershey,1000,Joe Mantegna,33,1996,,1000000,618,6.1,,3
Janette Armand,199,Russell Hodgkinson,3650,292,39,500000,37,5.1,1.85,0
Shanley Caswell,458,Maureen McCormick,634,1549,14,1000000,383,2.2,1.78,150
Germán Alcarazu,90,Álex Angulo,955,90,7,,0,7.2,2.35,68
Marlene Forte,898,Nicole Beharie,982,2116,12,1000000,395,5.7,1.66,370
Sticky Fingaz,592,Wesley Jonathan,293,1350,1,1000000,207,3.4,,41
Tom Berenger,10000,William McNamara,93,11466,6,1000000,854,3.8,1.78,54
Anslem Richardson,224,Katie Aselton,6531,344,47,,59,4.7,1.85,0
Alexander Vlahos,335,David Oakes,6513,1226,41,1000000,334,5.6,2.35,968
Pierre Dulat,92,Magi Avila,425,109,24,1000000,17,3.9,,91
Chloe Rose,57,Boyd Banks,137,231,16,1000000,40,5.4,,48
Kevin Gage,677,Angelina Armani,6256,1825,19,1000000,366,5.2,2.35,936
Shona Kay,214,Jason K. Wixom,2057,656,30,1000000,211,3.5,2.35,0
Luke Perry,657,Justin Baldoni,207,2677,1,1000000,608,5.3,,212
Spencer Wilding,3000,Rosario Dawson,92640,5056,212,20000000,1000,7.0,2.35,23000
Dick Van Patten,754,Cliff Robertson,4998,1567,55,,605,7.1,2.35,785
Katia Winter,696,Monique Candelaria,6265,1618,56,950000,371,5.5,,2000
David DeLuise,775,Eric Lloyd,954,1713,14,,275,5.9,,57
Gia Mantegna,529,Kimberly Williams-Paisley,7870,2468,64,950000,413,6.0,,884
Mike Colter,1000,Vanessa Williams,443,2504,4,989000,569,4.8,,42
Robert Kennedy Jr.,56,Alma Martinez,265,104,3,913000,28,7.1,,489
Karl Malden,10000,Marlon Brando,100890,11094,281,910000,416,8.2,1.85,0
Geoff Stults,945,Justin Kirk,6025,2924,15,930000,756,5.7,2.35,995
Vlad Ivanov,131,Anamaria Marinca,44763,264,172,590000,60,7.9,1.85,14000
Brian Dorton,1000,Javier Botet,139,1343,3,3000000,171,7.3,,52
G.J. Echternkamp,109,Odessa Rae,131969,117,651,950000,8,7.1,2.35,12000
David Gallagher,982,Katy Mixon,13485,3299,90,900000,796,6.4,2.35,698
Reza Sixo Safai,144,Sarah Kazemy,6277,509,43,,127,5.9,2.35,0
Melonie Diaz,282,Ahna O'Reilly,53919,687,168,900000,270,7.5,1.85,17000
Michael Angarano,975,Jack McBrayer,11965,4184,39,900000,947,6.4,2.35,0
Donnie Dunagan,16,Sam Edwards,94225,63,136,,12,7.4,1.33,0
Rian Bishop,465,John Enos III,5489,897,23,850000,140,7.3,,337
Harold Perrineau,12000,Dwayne Johnson,64748,15800,122,15000000,1000,6.5,2.35,12000
Rob McElhenney,23000,Joseph Gordon-Levitt,14580,26017,252,850000,813,7.2,1.85,0
Christophe Cherki,0,Stana Roumillac,19,0,2,900000,0,6.7,16.0,24
Ruby Dee,904,Bokeem Woodbine,122,5435,3,1000000,782,7.1,,181
Ari Graynor,938,James Wolk,13421,3770,34,850000,904,6.0,2.35,0
Janel Parrish,904,Ari Graynor,24391,1751,61,,517,6.7,2.35,0
D. David Morin,284,Gavin MacLeod,1742,1185,158,825000,234,5.6,1.85,409
Johnny Harris,418,Lorraine Stanley,7308,926,72,500000,146,7.0,2.35,933
Christopher Berry,489,Eddie Griffin,2706,1278,23,990000,207,4.9,,549
Samaire Armstrong,1000,Tommy O'Reilly,169,3336,6,100000,806,3.2,,312
Leila Hatami,786,Shahab Hosseini,151812,2501,264,500000,712,8.4,1.85,48000
Stephen McCole,49,Jo Hartley,190,81,6,,11,6.9,,33
Ken Leung,529,Heather Matarazzo,26513,1502,174,800000,502,7.5,1.85,0
Todd Field,159,Allison Dean,2039,423,28,800000,143,7.2,1.85,81
Melonie Diaz,302,Victor Rasuk,4743,663,135,800000,270,7.2,1.85,219
Francis Lederer,426,Louise Brooks,7431,455,84,,20,8.0,1.33,926
Melora Walters,940,Martin Landau,59,1484,1,850000,188,7.4,1.78,18
Hilda Bernard,24,Norma Aleandro,772,29,11,800000,5,7.2,,83
Kathryn Morris,574,Kevin Pollak,2256,1983,79,800000,573,6.5,1.85,130
Tom Guiry,262,Zachary Knighton,3480,991,30,800000,262,7.2,,396
Eion Bailey,1000,Leslie Bibb,122,2359,3,,749,4.2,,4
Kurt Angle,247,Shane Dawson,4167,954,72,600000,217,5.1,,0
Stig Frode Henriksen,35,Bjørn Sundquist,54601,116,200,800000,16,6.4,1.85,23000
Larry Bagby,214,Corbin Allred,17725,587,157,780000,115,6.8,,1000
Alan Pietruszewski,134,Taylor Pigeon,292,315,3,,93,6.2,,14
Ron Howard,11000,Harrison Ford,63839,14954,238,777000,2000,7.5,2.35,0
Katy Helvenston-Wettengal,25,Scott Helvenston,1477,25,24,750000,0,7.7,1.78,274
Fred Armisen,2000,Tina Fey,12160,3071,73,750000,424,6.9,1.85,307
Mark Duplass,934,Mary Lynn Rajskub,101287,2714,260,750000,830,7.0,2.35,31000
Larry King,312,Isaac C. Singleton Jr.,3543,548,8,,135,7.5,1.85,614
Ben Crompton,513,MyAnna Buring,25750,1269,209,500000,257,6.3,2.35,0
Jake Ryan,969,Lena Dunham,27260,1252,247,750000,128,5.5,2.35,0
Atticus Shaffer,10000,Gary Oldman,42183,12183,230,16000000,787,4.8,2.35,0
Stefania Sandrelli,319,Jean-Louis Trintignant,17813,500,101,750000,90,8.1,1.66,0
Christel Khalil,108,Raymond J. Barry,1661,243,31,750000,72,6.6,1.78,163
Nichola Burley,1000,Julian Morris,9376,1558,74,900000,233,5.2,1.85,0
Michael Welch,935,Luke Grimes,25951,2170,129,750000,611,5.6,2.35,2000
Jennifer Lee Wiggins,717,Dichen Lachman,851,1117,30,750000,134,3.1,1.85,128
Lloyd Bridges,998,Gary Cooper,80193,2496,333,750000,575,8.1,1.37,3000
Arthur Agee,7,William Gates,18980,15,74,700000,6,8.3,1.33,0
Christopher Toler,262,Kevin Scott Richardson,2877,321,46,,23,7.1,1.33,903
Lauren Cohan,22000,Peter Dinklage,3089,26578,11,,4000,8.1,,1000
Bruce Altman,80,Adam LeFevre,8509,209,109,700000,67,7.2,1.85,420
Kara Hayward,601,Laura Fraser,1354,1581,17,1000000,524,6.3,2.35,523
Wesley Jonathan,618,Aimee Garcia,551,2476,10,,592,4.0,,303
Thomas Kretschmann,6000,Naomi Watts,316027,7122,2618,207000000,918,7.2,2.35,0
Paris Hilton,730,Robert Ri'chard,94463,2160,576,30000000,716,5.3,1.85,0
Tristan Mack Wilds,33000,Ryan Gosling,70885,33734,189,700000,519,7.2,1.85,0
Akima,752,Irene Bedard,103,1763,6,700000,282,6.5,,102
Robinne Lee,465,Hill Harper,819,714,36,650000,170,6.5,,161
Steffinnie Phrommany,696,Mehcad Brooks,514,1210,1,750000,320,4.9,2.35,158
Lee Armstrong,977,Trey Loney,7384,2483,79,,511,5.2,1.85,0
Harvey Weinstein,628,Richard Curtis,474,1683,8,400000,474,7.4,,203
Dave Fennoy,1000,Alfre Woodard,5,1359,1,650000,338,7.4,,5
Madison Lintz,523,Sandra Ellis Lafferty,3699,1553,27,650000,385,5.4,2.35,1000
Lorraine Ziff,260000,Matthew Ziff,344,283939,5,625000,21000,3.9,,0
Justin Kirk,956,Leven Rambin,1432,4767,19,700000,945,5.3,,0
Edward Everett Horton,610,Ginger Rogers,13269,824,98,609000,172,7.8,1.37,1000
Joshua Leonard,170,Heather Donahue,186786,399,3400,60000,170,6.4,1.33,0
Jimi Hendrix,262,Joe Cocker,12631,778,63,600000,227,8.1,2.2,0
Barry Dennen,119,David Zucker,13915,190,109,650000,29,6.5,1.85,0
David A.R. White,602,Stacy Keach,448,1281,16,600000,266,5.6,1.85,12
Matthew Feeney,23,Kendyl Joi,94,85,4,600000,20,5.6,1.78,11
Jason London,919,William Smith,531,2288,19,600000,711,6.6,1.85,51
Angela Nordeng,601,Nicholas Gonzalez,85,2241,,,371,6.3,,358
Garba Touré,0,Aliou Touré,74,0,2,400000,0,7.7,,34
Colin Andrews,0,Karen Alexander,204,0,13,750000,0,7.0,,32
Steven Michael Quezada,595,Russell Wong,6,1754,1,600000,412,8.0,,9
Félix Moati,541,François Cluzet,389,553,1,,8,7.2,,36
Annabella Sciorra,587,Paula Garcés,719,1707,9,600000,448,4.5,,128
Ringo Starr,785,Paul McCartney,31429,2538,219,560000,725,7.7,1.75,0
,,,57,0,2,560000,,7.2,,88
Sally Kirkland,2000,Jamie Lee Curtis,487,2996,9,550000,433,6.1,,7
Spela Colja,0,Dario Nozic Serini,86,0,2,500000,0,6.4,2.35,18
Ken Bevel,848,Kirk Cameron,17068,1164,215,500000,153,6.5,1.85,0
Pant Shirt Baba,0,Bhole Baba,113,0,3,550000,0,7.0,1.85,126
Peter Breck,407,Frances Bavier,3411,1090,36,500000,189,6.1,1.85,816
Saul Stein,48,Blanchard Ryan,42256,67,916,500000,10,5.7,1.85,0
Matt Jones,833,Joe Lo Truglio,1305,2295,3,,523,5.4,,244
Hoke Howell,423,Woody Strode,3274,516,84,500000,23,5.9,1.85,0
Eva Carrozza,0,Heather Berman,3156,0,65,,0,7.5,1.85,588
Joe Lo Truglio,22000,Peter Dinklage,58260,24419,286,500000,833,7.7,1.85,0
Sean Michael Afable,984,Randy Wayne,4583,2563,55,1000000,801,7.1,2.35,0
Bill Clinton,196,Ken Burns,3394,382,43,,184,7.4,1.66,694
Vince McMahon,54,Terry Funk,6790,194,80,500000,44,7.6,1.85,491
Lincoln Hoppe,69,Kirby Heyborne,1099,161,53,500000,24,6.4,,43
Zubaida Sahar,30,Marina Golbahari,7559,30,77,46000,0,7.4,1.85,0
Peter Riegert,399,Rachel Dratch,154,660,5,500000,169,6.8,16.0,287
Ari Gold,328,Rachel True,3562,407,74,500000,27,6.5,1.85,0
Big Budah,69,Kirby Heyborne,651,155,34,500000,34,6.0,,44
William Katt,980,Sasha Alexander,3479,3166,87,500000,505,7.3,1.85,180
Scott Mechlowicz,710,Rory Culkin,26407,2655,154,500000,634,7.3,1.85,1000
Heather Matarazzo,659,Edie Falco,1038,2322,21,500000,529,6.5,1.85,51
Bill Duke,22000,Peter Dinklage,709,24382,34,500000,1000,6.0,1.85,139
LisaRaye McCoy,597,Monica Calhoun,553,2555,24,500000,485,5.3,1.85,86
Seymour Cassel,778,Kevin Corrigan,6884,1440,53,500000,327,6.6,1.85,238
Anna Kendrick,10000,Olivia Wilde,45928,20480,106,,10000,6.1,2.35,0
Ricky Jay,342,David Mamet,774,483,7,500000,79,7.1,,590
Minoru Chiaki,304,Takashi Shimura,229012,338,596,2000000,8,8.7,1.37,11000
Greg Speirs,14,Tommy Sheppard,3086,44,9,500000,9,8.4,,0
Tina Louise,11000,Brad Pitt,3013,11839,24,500000,422,5.8,1.85,344
Jake Sandvig,239,Monique Gabriela Curnen,1656,734,12,500000,172,6.2,1.85,155
Jack Plotnick,353,Haley Ramm,26185,1498,170,500000,248,5.8,1.85,46000
Matt Jones,17000,Jim Parsons,70136,17883,214,135000000,523,6.7,1.85,26000
Amber Benson,396,Tori Spelling,1358,2310,10,500000,326,5.7,1.85,60
Clea DuVall,33000,Ryan Gosling,2004,35294,32,500000,1000,6.1,2.35,183
Whitney Able,660,Scoot McNairy,75669,1118,451,500000,280,6.4,2.35,19000
Joanne Whalley,584,Keith Carradine,299,1924,11,,507,5.0,1.85,29
Ann Dowd,472,Jim Gaffigan,739,1047,10,500000,185,6.5,,339
Christa B. Allen,552,Justin Chon,2038,2251,20,500000,533,4.6,2.35,898
Zheng Xu,4,Bo Huang,2097,8,9,3000000,4,7.7,2.35,23
Jacques Brel,30,Brian Eno,1006,119,11,500000,27,7.3,1.85,808
Alan Ruck,991,Radha Mitchell,601,3309,10,100000,946,6.6,1.85,22
Zoë Kravitz,991,Bruce Greenwood,15756,2099,68,,943,6.4,2.35,0
Rai Alexandra,2,Daston Kalili,16,2,3,500000,0,5.8,1.33,0
Bruce Vilanch,387,Carol Channing,38,1235,3,500000,244,7.2,1.33,16
Olivia Williams,25000,Jeremy Irvine,26863,26999,54,,766,7.2,2.35,0
John McGlothlin,685,Vincent Chimato,2012,2102,28,500000,492,3.5,2.35,0
Dylan Baker,970,Emma Caulfield,22,3359,,,812,7.5,,337
Tim Abell,358,Mike Beckingham,292,1038,16,,317,2.2,,353
Katherine Boecher,1000,Britney Spears,34219,1531,578,12000000,188,3.3,1.85,0
Katherine Waterston,322,Shaun Sipos,5025,630,45,500000,178,6.6,,701
Christian Alvarez,159,Manny Perez,197,206,1,500000,15,6.9,16.0,126
Randy Jay Burrell,918,Jennifer Hale,60,2091,2,150000,402,4.0,,381
Barry Bostwick,636,Paul Sorvino,259,2438,20,500000,456,7.4,1.78,707
Jennifer Landa,84,Mary Kate Wiles,30,254,1,,41,8.3,,70
Joel Paul Reisig,466,Carrie Bradstreet,62,1628,4,500000,431,5.7,,0
Sarah Callan,0,Elizabeth Streb,40,0,10,500000,0,6.8,,44
Jeff Delaney,385,Mike Stanley,15,683,1,500000,169,5.2,16.0,9
Mila Kunis,44000,Tim Holmes,175413,73441,511,215000000,15000,6.4,2.35,60000
Mark Torgl,488,Patrick Kilpatrick,19253,553,147,475000,11,6.2,1.85,0
George T. Odom,353,Lawrence Gilliard Jr.,475,380,11,450000,12,5.9,1.85,123
Nicholas Farrell,773,James Nesbitt,19732,976,120,2000000,89,7.7,1.85,0
Dennis L.A. White,472,Luis Sanchez,53,1752,5,500000,251,4.3,,62
Thomas Lennon,10000,Olivia Wilde,10143,12496,54,450000,651,7.1,2.39,0
Lloyd Kaufman,907,John Karyus,5931,1411,58,500000,365,6.2,1.85,0
Cheyenne Jackson,873,Jennifer Lafleur,64,2830,3,450000,469,6.8,,31
Dick Powell,610,Ginger Rogers,7921,995,97,439000,105,7.7,1.37,439
Jack Canfield,8,Bob Proctor,78,10,10,450000,2,8.2,,460
Taylor Nichols,88,Chris Eigeman,7143,173,52,225000,74,7.5,1.66,865
Frida Hallgren,690,Michael Nyqvist,13543,774,94,25000000,24,7.6,1.85,0
Ace Marrero,847,Jack E. Curenton,268,1151,6,,94,4.1,16.0,61
Diedrich Bader,970,Jon Heder,161448,3950,1473,400000,759,6.9,1.85,0
Eve Plumb,1000,Devin Ratray,42678,1528,135,1066167,235,7.1,2.35,0
Ashley Palmer,189,Micah Sloat,184824,330,1189,15000,109,6.3,1.85,12000
Jay Adams,22,Tony Alva,10366,54,88,,20,7.7,1.37,0
Michael Palin,795,Eric Idle,382240,2158,660,229575,561,8.3,1.66,14000
Jesse Garcia,231,Emily Rios,3675,771,48,400000,200,7.1,2.35,426
Sue Corcoran,361,Tony Doupe,179,387,18,100000,14,4.7,1.78,39
Masi Oka,1000,Sendhil Ramamurthy,202115,4908,379,,923,7.7,16.0,0
Jonathan Caouette,58,Greg Ayres,5709,78,114,218,20,7.2,1.37,754
Chris Cox,93,Bill Farmer,1123,168,31,400000,31,5.1,1.78,638
Paul Elia,935,Kane Hodder,143,2350,5,500000,709,5.4,,194
David Warbeck,48,Catriona MacColl,14985,123,253,400000,22,6.9,2.35,2000
Ron Lynch,59,Brendon Small,7458,81,82,,11,8.2,1.33,526
Andrew Daly,642,Treat Williams,140740,1026,151,35000000,171,6.1,2.35,0
Jeff Seymour,108,Dov Tiefenbach,4788,272,52,500000,64,6.1,1.85,166
Roshan Seth,114,Saeed Jaffrey,10577,260,64,650000,61,6.9,1.66,0
Adam LeFevre,169,R. Brandon Johnson,191,312,10,,80,5.8,1.78,7
Michelle Nolden,918,Katharine Isabelle,369,1163,5,900000,100,6.0,1.78,12
Ingrid Thulin,440,Liv Ullmann,19964,809,197,400000,132,8.2,1.66,0
Mae Marsh,436,Lillian Gish,10718,481,88,385907,22,8.0,1.33,691
DeForest Kelley,643,Walter Koenig,4407,2864,75,375000,606,7.0,,672
Bessie Love,77,Anita Page,4546,109,71,379000,28,6.3,1.37,167
Betsy Baker,634,Ted Raimi,141219,813,740,375000,66,7.6,1.37,12000
Nora Arnezeder,470,America Olivo,27297,1233,131,6000000,378,6.1,2.35,0
,3,Amos Oz,186,3,3,450000,,7.2,1.78,111
Joe Bishop,15,Mark Zupan,9037,15,70,1750211,0,7.8,1.85,0
Steve James,615,Michael Dudikoff,6046,872,46,350000,96,4.7,1.85,583
Ellen Block,0,Carol Block,695,0,16,,0,7.5,,70
Tracy Spiridakos,2000,Billy Burke,72017,5052,323,,821,6.7,16.0,17000
Natalie Welch,196,Tom E. Nicholson,209,199,8,350000,3,3.4,2.35,240
Donald Pleasence,2000,Jamie Lee Curtis,157863,4400,1191,300000,742,7.9,2.35,12000
Lee J. Cobb,359,Jack Warden,447785,1433,888,350000,259,8.9,1.66,40000
Peter Gerety,812,Isabella Rossellini,1272,1370,15,,277,6.9,1.85,675
Alan Hale,380,Claudette Colbert,64888,540,235,325000,114,8.2,1.37,0
Mary Tsoni,47,Angeliki Papoulia,44864,126,170,,37,7.3,2.35,13000
Gary Coleman,786,James Cagney,7687,2638,32,,633,8.0,1.85,0
Janet McTeer,409,Kimberly J. Brown,2932,1986,73,312000,277,6.7,1.85,121
Adam Goldberg,10000,Viggo Mortensen,24438,13433,194,8000000,1000,6.6,2.35,0
Zinedine Soualem,75,Simon Abkarian,2843,102,25,300000,9,6.9,1.66,166
Adrian Martinez,1000,Oliver Platt,18035,3010,177,300000,806,7.1,1.85,0
Mark Caven,19,Kevin Howarth,270,37,7,,16,5.6,1.33,29
Lucy,52,Daniel London,4423,132,57,300000,44,6.7,1.66,594
Lucy,375,John Robinson,12241,460,112,200000,44,7.1,1.85,0
Edie Falco,795,Embeth Davidtz,554,1884,23,300000,659,5.2,,92
Anna Karina,710,Jean-Paul Belmondo,19386,967,74,300000,257,7.7,2.35,2000
Beatrice Ntuba,2,Vera Ngassa,291,2,8,,0,7.5,,50
,,,341,0,12,300000,,7.6,1.85,379
Gloria Foster,581,Yaphet Kotto,891,835,26,160000,99,8.1,,363
Eli Marienthal,318,Robert John Burke,294,751,16,300000,157,5.5,,26
Eddie Jones,54,Don Wallace,720,185,23,200000,53,6.6,2.35,30
Alexander Wraith,502,Lalaine,476,689,18,350000,119,3.2,,53
T.V. Carpio,5000,Jim Sturgess,91863,5405,524,45000000,117,7.4,2.35,14000
Elizabeth Stenholt,644,Trish Basinger,82,1440,1,,503,6.6,,175
David Carradine,13000,Sylvester Stallone,19875,14950,147,300000,926,6.2,1.85,0
Ricky Schroder,685,Tatyana Ali,241,2048,5,300000,665,4.8,1.85,261
Wilhelm von Homburg,156,Michael Des Barres,47,544,4,,102,4.5,,4
Joanna Cassidy,500,Taran Killam,95,1545,7,300000,317,7.2,,7
Pierre Prieur,19,Rumi Missabu,569,19,1,500000,0,4.3,1.78,114
Carmen Argenziano,431,Linnea Quigley,1905,1228,58,250000,338,4.5,1.85,249
Barry Bostwick,778,Kevin Corrigan,4550,2515,58,300000,456,6.4,1.85,0
Matt Servitto,601,Dreama Walker,24668,1734,175,270000,260,6.4,2.35,0
Ethan Suplee,13000,Matt Damon,114070,15765,500,250000,1000,7.3,1.85,0
Brenda Blethyn,400,Aunjanue Ellis,6041,1330,85,250000,286,6.9,1.85,169
Robert Miano,466,Hector Echavarria,30,842,,290000,216,4.3,1.85,16
Jason Tobin,94,Parry Shen,8000,139,138,250000,26,7.2,1.85,661
Laurel Holloman,360,Nicole Ari Parker,3513,656,36,250000,273,6.5,1.85,423
Mike White,625,Lupe Ontiveros,4662,1378,136,250000,487,6.6,1.85,170
Rizwan Manji,250,Purva Bedi,1489,454,40,250000,89,6.7,1.85,133
Nicholas Simmons,569,Keri Maletto,28,1461,,300000,553,4.3,,17
Julian Richings,686,David Hewlett,160511,1743,696,365000,648,7.3,1.85,11000
Frances O'Connor,991,Radha Mitchell,1727,1661,21,250000,575,6.4,,46
Bill Martone,5,Charis Michelsen,1428,7,21,250000,2,7.0,1.85,178
Anne Archer,308,Amir Talai,2787,1008,64,150000,249,5.5,1.85,98
Charlie Bewley,34000,Jennifer Lawrence,46813,34983,150,250000,487,6.7,1.78,12000
Steffinnie Phrommany,471,Marshal Hilton,24,1399,2,300000,320,4.3,16.0,85
Rosanna Arquette,793,Ally Sheedy,708,1987,22,250000,605,6.1,,93
Clint Jordan,100,Samantha Futerman,1227,127,11,,8,6.8,1.85,62
Gus Van Sant,924,Nolan Gerard Funk,8511,2862,87,250000,835,3.9,2.35,0
James Norton,887,Shirley Henderson,12848,2572,59,,340,8.5,16.0,10000
Flaco Navaja,68,Judy Marte,603,216,15,,64,6.9,,122
Natalie Canerday,35,Michael Abbott Jr.,7148,114,32,,32,7.3,2.35,773
Luke Mably,766,Colin Salmon,70076,2123,120,,438,6.9,2.35,14000
Samantha Buck,119,James Urbaniak,336,154,7,250000,24,6.3,1.85,67
