duration,actor_3_facebook_likes,actor_2_name,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,imdb_score,movie_facebook_likes
132,807,Adam Garcia,Biography|Comedy|Drama,22447,Alissa Dean,1,boy|college|heroin|working class|writer,210,English,USA,48000000,6.4,0
93,535,Brian Dennehy,Action|Adventure|Drama,172489,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,376,English,USA,14000000,7.7,0
115,12,Anatoliy Solonitsyn,Drama|Mystery|Sci-Fi,54057,Natalya Bondarchuk,0,hallucination|ocean|psychologist|scientist|space station,236,Russian,Soviet Union,1000000,8.1,0
75,677,George Carlin,Adventure|Animation|Comedy|Family|Fantasy,8693,Rob Paulsen,3,apostrophe in title|cinderella|first of series|punctuation in title|three word title,71,English,USA,47000000,4.5,261
108,77,Bronagh Gallagher,Drama|Horror|Romance|Thriller,11913,George Cole,1,19th century|butler|housemaid|laboratory|servant,97,English,USA,47000000,5.8,616
105,692,Christopher Masterson,Comedy|Romance,98199,Rupert Everett,1,best friend|chick flick|male female friendship|promise|wedding,169,English,USA,46000000,6.3,0
102,135,Rainn Wilson,Comedy|Romance,47573,Larry King,4,actor|love|movie star|press|publicist,343,English,USA,48000000,5.7,881
118,319,Maura Tierney,Drama|Mystery|Thriller,218771,Crystal Lowe,0,detective|insomnia|murder|partner|police,651,English,USA,46000000,7.2,0
111,906,Alfre Woodard,Action|Adventure|Drama|Sci-Fi|Thriller,97838,Jonathan Frakes,2,21st century|borg|borg sphere|captain|sphere,286,English,USA,45000000,7.6,3000
81,364,Billy Blair,Action|Drama|Fantasy|Thriller|Western,45729,Julia Jones,1,confederate|death|independence day|military|terrorist,176,English,USA,47000000,4.7,0
116,826,Matt Damon,Action|Drama|Mystery|Thriller|War,40126,Scott Glenn,1,bravery|honor|medal of honor|military life|unreliable flashback,107,English,USA,46000000,6.6,975
86,255,Swoosie Kurtz,Comedy|Fantasy|Romance,220392,Randall 'Tex' Cobb,1,birthday|birthday wish|father disappoints child|lie|workaholic,243,English,USA,45000000,6.8,0
127,345,Amy Ryan,Biography|Crime|Drama|Thriller,2581,Olympia Dukakis,1,,29,English,UK,25000000,7.3,0
140,522,Ben Gazzara,Drama|History|War,491,Jacqueline Bisset,1,1950s|douglas macarthur|general|inchon|invasion,16,English,South Korea,48000000,2.7,115
91,628,Elizabeth Perkins,Comedy|Family|Fantasy,60884,Harvey Korman,2,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,85,English,USA,45000000,4.8,0
98,558,Luke Grimes,Action|Crime|Thriller,238671,D.B. Sweeney,0,albanian|revenge|revenge motive|teenage daughter|vacation,461,English,France,45000000,6.3,63000
84,750,Pamela Anderson,Comedy,111526,Jenny McCarthy,7,crop circle|farm|orchestral music score|reference to michael jackson|videotape,347,English,USA,48000000,5.5,0
109,213,Wendy Raquel Robinson,Action|Comedy|Crime|Romance,137377,Heather Burns,1,beauty pageant|fbi|female agent|pageant|undercover,370,English,USA,45000000,6.2,0
93,311,Brendan Fraser,Action|Adventure|Family|Fantasy|Sci-Fi,85323,Anita Briem,0,cave|lost world|missing brother|mountain|venus flytrap,212,English,USA,45000000,5.8,0
113,995,Raven-Symoné,Comedy|Family|Romance,53687,Hector Elizondo,2,coronation|horse|princess|queen|side saddle,152,English,USA,40000000,5.7,1000
141,956,Julia Roberts,Crime|Drama|Mystery|Thriller,59569,Tony Goldwyn,0,college professor|fbi|president|professor|supreme court,89,English,USA,45000000,6.5,0
119,551,Anthony LaPaglia,Crime|Drama|Mystery|Thriller,45798,Brad Renfro,3,boy|brother|lawyer|mafia|senator,94,English,USA,45000000,6.7,1000
97,760,Noel Gugliemi,Adventure|Comedy|Drama,184795,Sean Hayes,1,billionaire|friend|hospital|list|mechanic,310,English,USA,45000000,7.4,22000
117,308,Polly Walker,Action|Thriller,81442,Patrick Bergin,1,analyst|cia|ira|terrorist|terrorist attack,137,English,USA,45000000,6.9,0
101,586,Jane Fonda,Comedy|Romance,43358,Elaine Stritch,0,breakdown|fight|mother in law|scheme|wedding,228,English,Germany,60000000,5.5,0
153,1000,Jake Gyllenhaal,Crime|Drama|Mystery|Thriller,383591,Dylan Minnette,2,child abduction|detective|investigation|police|sex offender,620,English,USA,46000000,8.1,86000
122,854,Snoop Dogg,Crime|Drama|Thriller,305929,Tom Berenger,2,lapd|narc|narcotics|title spoken by character|training,633,English,USA,45000000,7.7,0
102,436,Enrico Colantoni,Adventure|Comedy|Sci-Fi,123558,Robin Sachs,3,alien|alien race|convention|fan|general,609,English,USA,45000000,7.3,19000
83,179,Veronica Cartwright,Comedy,119590,Andy Richter,7,blow job|demon|exorcism|priest|professor,548,English,USA,45000000,5.2,0
103,84,Eric Jacobson,Adventure|Comedy|Family|Musical,75176,Steve Whitmire,3,bel air california|book|friends who live together|the muppets|tribute band,252,English,USA,45000000,7.1,26000
110,595,Traci Lords,Action|Horror,191437,Udo Kier,1,1990s|blade|blood|vampire|vampire hunter,582,English,USA,45000000,7.1,0
136,730,Rick Gonzalez,Drama|Sport,92702,Robert Ri'chard,0,basketball|basketball coach|coach|contract|high school,209,English,USA,30000000,7.2,0
91,67,Matt Malloy,Drama|Thriller,57281,Bruce Altman,0,car accident|feud|lawyer|revenge|road rage,350,English,USA,45000000,6.5,0
89,514,Eric Stoltz,Action|Adventure|Horror|Thriller,73539,Kari Wuhrer,0,amazon|anaconda|boat|jungle|snake,271,English,USA,45000000,4.6,0
107,560,Tyra Banks,Comedy|Drama|Music|Romance,90539,Izabella Miko,5,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,379,English,USA,45000000,5.6,0
129,548,Liam Neeson,Comedy|Drama|Romance,318634,Kris Marshall,9,aging rocker|christmas|love at first sight|minister|prime minister,1004,English,UK,45000000,7.7,52000
95,1000,Madeline Kahn,Adventure|Animation|Comedy|Family|Fantasy,211226,John Ratzenberger,0,ant|circus|grasshopper|misunderstanding|overhearing,317,English,USA,120000000,7.2,0
122,140,Jason Flemyng,Horror|Mystery|Thriller,124765,Ian Richardson,1,freemason|jack the ripper|opium|prostitute|victorian era,541,English,USA,35000000,6.8,0
110,20,Rod Steiger,Action|Crime|Drama|Romance|Thriller,50148,Emilio Estefan Jr.,2,bomb|cia|explosive|explosives expert|miami florida,116,English,Peru,45000000,5.4,0
135,808,Cheech Marin,Comedy|Drama|Romance|Sport,37911,Rene Russo,0,driving range|golf|golfer|tournament|winnebago,73,English,USA,45000000,6.3,1000
111,559,Tom Bosley,Comedy|Family,5888,Tim Matheson,0,nurse|parent|sibling|widow|widower,61,English,USA,2500000,7.2,0
95,3000,Will Ferrell,Comedy|Family|Romance|Sport,30255,Robert Duvall,1,book|child|slapstick comedy|soccer|suburb,118,English,USA,45000000,5.6,743
109,651,Kelly Macdonald,Adventure|Comedy|Sci-Fi,155745,Thomas Lennon,0,alien|friend|galaxy|hyperspace|spaceship,1053,English,USA,50000000,6.8,10000
93,631,Nick Zano,Comedy|Family|Fantasy|Romance,9380,Alice Greczyn,1,animated sequence|junkyard|love|party|television,91,English,USA,26000000,4.3,531
94,443,Mike Epps,Action|Horror|Sci-Fi|Thriller,149549,James Tumminia,1,clone|convoy|crow|desert|satellite,348,English,France,45000000,6.3,0
117,734,Adam Sandler,Comedy|Romance,87165,Joel McHale,0,blind date|children|date|daughter|son,184,English,USA,40000000,6.5,12000
112,501,Alicia Witt,Adventure|Comedy|Drama,21215,Timothy Hutton,1,chef|congressman|cook|hotel|senator,116,English,USA,45000000,6.4,0
111,132,Glenn Morshower,Action|Adventure|Crime|Thriller,32544,William Lucking,1,criminal|rafting|river|robber|white water rafting,69,English,USA,45000000,6.3,0
96,563,Vincent Kartheiser,Drama|Family|Fantasy,20688,David Keith,1,best friend|birthday|boy|friend|magic,47,English,USA,45000000,5.9,0
141,404,Shea Whigham,Crime|Drama|Thriller,104301,Gary Stretch,4,arms tied overhead|damsel in distress|dea|marijuana|southern california,269,English,USA,45000000,6.5,28000
94,167,Valerie Cruz,Action|Crime|Thriller,79141,Will Beinbrink,1,cell phone|distress signal|family in danger|police|stealing a car,355,English,USA,25000000,6.5,2000
87,252,Natalie Imbruglia,Action|Adventure|Comedy,114692,Ben Miller,1,british|crown jewels|explosion|funeral|spy,285,English,UK,35000000,6.1,2000
88,8000,Meryl Streep,Adventure|Animation|Comedy|Family|Fantasy,30055,Julia Roberts,1,ant|miniaturization|punishment|shrinking|sudden change in size,70,English,USA,50000000,5.9,593
177,202,Jürgen Prochnow,Action|Adventure|Sci-Fi,97087,José Ferrer,3,desert planet|dune|giant worm|space travel|spice,569,English,USA,40000000,6.6,11000
133,107,T.V. Carpio,Drama|Fantasy|Musical|Romance,91860,Robert Clohessy,0,anti war|liverpool|love|protest|song,524,English,USA,45000000,7.4,14000
119,10000,Kate Winslet,Drama|Romance,152591,Joe Komara,0,based on novel|children|connecticut|suburb|work,414,English,USA,35000000,7.3,0
