num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
43,93,12,18000,Adventure|Comedy|Fantasy|Music|Sci-Fi,Keanu Reeves,49680,20188,Alex Winter,battle of the bands|bill and ted|heaven|hell|robot,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117,English,PG,20000000,769,6.2,1.85,0
111,115,272,49000,Comedy|Drama|Romance|Thriller,Robin Williams,28005,52571,Amy Poehler,campaign|election|president|presidential election|satire,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236,English,PG-13,20000000,2000,6.2,2.35,0
90,98,20,889,Action|Sci-Fi,Robert Forster,18481,2110,Yvette Mimieux,black hole|escape|palomino|robot|scientist,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,230,English,PG,20000000,877,5.9,2.35,4000
333,105,210,978,Crime|Drama|Thriller,Violante Placido,79461,1454,Filippo Timi,ambush|assassin|priest|prostitute|sweden,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,463,English,R,20000000,191,6.3,2.35,10000
37,127,16,565,Biography|Drama|Music,Jon Seda,19126,1735,Jacob Vargas,latin music|marriage|on tour|singer|tejano,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,155,English,PG,20000000,441,6.7,2.35,0
122,82,82,759,Comedy,Diedrich Bader,39095,2898,Anneliese van der Pol,cat|friend|love|sheriff|teenager,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,187,English,PG-13,20000000,401,3.5,1.85,16000
285,143,0,11000,Drama,Brad Pitt,243799,11248,Dermot Crowley,american|destiny|mexican border|multiple perspectives|muslim,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,English,R,25000000,119,7.5,1.85,0
156,103,189,2000,Comedy|Drama,Tina Fey,54242,4662,Jane Fonda,brother sister relationship|childhood home|man child|sibling|vomiting,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,145,English,R,19800000,1000,6.6,2.35,14000
293,104,53,22000,Drama|Mystery,Philip Seymour Hoffman,99236,33903,Carrie Preston,boy|catholic|nun|priest|student,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,321,English,PG-13,20000000,11000,7.5,1.85,0
233,98,406,860,Action|Comedy,Jeremy Shada,136048,2609,Trey Parker,actor|arab stereotype|broadway|terrorist|vomiting,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,700,English,R,30000000,523,7.2,2.35,0
282,92,34,383,Horror|Thriller,Gunnar Hansen,35131,1945,Shaun Sipos,chainsaw|halloween|mansion|massacre|texas,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,255,English,R,11000000,333,4.8,2.35,16000
57,123,36,10000,Crime|Drama|Mystery|Thriller,William McNamara,42315,12338,Harry Connick Jr.,agoraphobia|copycat murder|detective|psychologist|serial killer,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140,English,R,20000000,1000,6.6,2.35,0
153,88,92,31000,Comedy,Marisa Saks,50337,34319,Molly Shannon,2010s|ape|ballet|psychic|supernatural,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,177,English,PG-13,20000000,881,3.5,1.85,13000
20,158,32,16000,Comedy|Drama|Musical|Romance|Western,Clint Eastwood,9352,17775,Ray Walston,california|farmer|gold|mining|prospector,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,English,PG-13,20000000,756,6.7,2.35,0
324,128,835,11000,Biography|Drama|History,James Franco,136673,13189,Lucas Grabeel,california|gay|gay activist|gay pickup|gay rights,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,281,English,R,20000000,896,7.6,1.85,10000
122,107,58,141,Action|Adventure|Drama|Mystery,Peter Firth,12276,389,María Botto,biblical|crucifixion|judea|resurrection|roman soldier,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,117,English,PG-13,20000000,76,6.3,2.35,21000
156,91,17,534,Horror,Isaiah Washington,75920,1083,Francesca Rettondini,decapitation|ghost ship|passenger|severed head|torso cut in half,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,474,English,R,35000000,385,5.5,1.85,0
161,90,12,786,Adventure|Comedy,Patton Oswalt,55008,2462,Paula Garcés,christmas|christmas tree|fire|new york city|stoner,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,English,R,19000000,651,6.3,2.35,21000
69,115,39,13000,Crime|Drama|Mystery|Thriller,Bill Murray,90677,14275,Jeff Perry,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,389,English,R,20000000,481,6.5,2.35,0
121,101,29,812,Crime|Thriller,Sela Ward,23424,3292,Skyler Samuels,head dunked in water|military school|plastic bag|playing a video game|suffocating,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,119,English,PG-13,,533,5.6,2.35,0
258,113,108,1000,Drama|Thriller,Tom Wilkinson,55441,1136,Romi Aboulafia,east berlin|kiev ukraine|mossad|nazi|nazi war criminal,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,165,English,R,20000000,100,6.9,2.35,0
174,113,350,1000,Comedy|Drama|Music|Romance,Drake Bell,143137,3141,Lisa Bonet,employer employee relationship|record store|store|thirty something|vinyl,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,602,English,R,20000000,960,7.6,1.85,10000
141,87,2,741,Horror|Mystery,Johnny Lewis,26624,1834,Margaret Cho,death|lifting someone into the air|telephone|telephone call|voice mail,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189,English,PG-13,27000000,297,3.9,1.85,0
31,101,154,1000,Crime|Drama|Thriller,Joe Mantegna,9845,3174,Philip Baker Hall,justice|rape|self defense|support group|vigilante,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77,English,R,20000000,816,6.1,1.85,613
222,111,79,26000,Crime|Drama|Romance|Thriller,Jason Statham,152247,27755,Daniel Mays,chase|heist|london england|mobster|safe deposit,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,189,English,R,20000000,811,7.3,2.35,0
273,108,1000,14000,Drama|Fantasy|Romance|Sci-Fi,Kate Winslet,666937,19364,Tom Wilkinson,borderline personality disorder|loneliness|memory|playing against type|retrograde narrative,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,1514,English,R,20000000,4000,8.3,1.85,52000
91,105,99,2000,Comedy|Family|Romance,Jamie Lee Curtis,41273,4813,Christine Lakin,dancing|dog|flight|hostility|travel,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,136,English,PG,20000000,938,5.8,2.35,0
190,109,453,18000,Action|Crime|Drama|Thriller,Keanu Reeves,94892,33878,Noel Gugliemi,captain|lapd|murder|undercover cop|violence,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,189,English,R,20000000,11000,6.8,2.35,0
427,109,1000,177,Action|Comedy|Sci-Fi,Michael Smiley,185587,278,Jasper Levine,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,401,English,R,20000000,55,7.0,2.35,49000
93,99,26,720,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,15877,3327,Tate Donovan,chase|clue|detective|movie star|murder,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,102,English,PG,20000000,669,5.9,2.35,590
292,98,35,125,Action|Horror|Sci-Fi|Thriller,Jay Laga'aia,105797,189,Tiffany Lamb,blood|rationing|vampire|vampire society|year 2019,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,281,English,R,20000000,37,6.5,2.35,0
180,104,14,2000,Comedy|Romance,Mike Vogel,101730,5707,Geoff Stults,airport|airport security|confidence|iphone|love,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,131,English,R,20000000,934,6.4,2.35,0
94,109,15,3000,Adventure|Comedy|Family|Romance,Leighton Meester,32951,4257,Brett Cullen,cell phone|hotel|misunderstanding|monte carlo|young woman,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,44,English,PG,20000000,775,5.8,1.85,6000
112,75,19,1000,Horror|Thriller,Adam Goldberg,25870,3590,Samaire Armstrong,countess|game reality crossover|ghost|group of friends|tower,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,281,English,PG-13,9000000,934,5.1,2.35,0
20,119,23,25000,Action|Adventure|Drama|Romance|Western,Alan Rickman,15230,45841,Ben Mendelsohn,aborigine|australian|australian aborigine|australian outback|rancher,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,97,English,PG-13,20000000,19000,6.8,2.35,0
84,90,0,681,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,10986,2486,Christine Lakin,arranged marriage|geese|idaho|national park|park,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84,English,PG,20000000,611,5.3,1.85,0
120,97,212,960,Action|Fantasy|Horror|Thriller,Laura Ramsey,39541,3261,Toby Hemingway,family secret|friendship between men|magic|supernatural power|teenager,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,334,English,PG-13,20000000,917,5.3,2.35,3000
