num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_name,movie_title,actor_3_name,plot_keywords,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score
214,108,218,405,Naomi Watts,Fair Game ,Brooke Smith,bush administration|cia|interview|iraq|new york times,127,22000000,3000,6.8
28,43,,600,Julie Benz,Defiance             ,Grant Bowler,alien|alien invasion|planet invasion|post apocalypse|year 2046,149,,845,7.0
186,127,12000,897,Ian Ziering,Domino ,Edgar Ramírez,bounty hunter|fbi|female bounty hunter|female nudity|reality show,374,50000000,940,6.0
50,107,607,602,Michael Biehn,Jade ,Linda Fiorentino,blackmail|investigation|murder|panties pulled down|prostitution,70,50000000,979,5.1
180,95,83,1000,Gerard Butler,Gamer ,Alison Lohman,battle|convict|death|mind control|role playing,245,50000000,8000,5.8
231,124,98,592,Alden Ehrenreich,Beautiful Creatures ,Pruitt Taylor Vince,dream|escape|magic|magic spell|small town,258,60000000,852,6.2
105,109,0,809,Robin Williams,Death to Smoochy ,Danny Woodburn,children|children's tv show|money|revenge|scandal,341,55000000,811,6.4
226,102,0,1000,Milla Jovovich,Zoolander 2 ,Justin Theroux,chosen one|fashion|fashion model|model|retired,150,50000000,8000,4.8
75,88,5,338,Morgan Freeman,The Big Bounce ,Willie Nelson,breasts|consensual sex|female nudity|judge|surfer,93,50000000,387,4.9
82,87,0,591,Judy Greer,What Planet Are You From? ,Garry Shandling,alien|baby|banker|pregnancy|question in title,91,50000000,602,5.6
296,104,71,982,Nicolas Cage,Drive Angry ,Katy Mixon,baby|cult|oklahoma|sex scene|waitress,211,50000000,2000,5.5
103,96,43,77,Chris Klein,Street Fighter: The Legend of Chun-Li ,Josie Ho,chun li|crime fighter|gangster|mobster|rescue,179,18000000,342,3.7
98,85,70,848,Jason Statham,The One ,Delroy Lindo,fight|multiverse|police|police officer|prison,294,49000000,5000,5.9
30,64,,184,Tobias Menzies,Outlander             ,Stephen Walters,based on novel|clan|scotland|scottish highlands|year 1743,148,,531,8.5
48,104,212,380,Lauren Holly,The Adventures of Ford Fairlane ,David Patrick Kelly,detective|groupie|murder|music industry|rock n roll,113,40000000,560,6.3
195,135,628,830,Philip Seymour Hoffman,Pirate Radio ,Tom Sturridge,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,209,,882,7.4
223,190,0,215,Michael O'Neill,Traffic ,James Lew,cocaine|drug smuggling|interlinked stories|judge|mexico,867,48000000,399,7.6
149,127,14000,440,Harrison Ford,Indiana Jones and the Last Crusade ,Alison Doody,castle|diary|holy grail|map|nazi,477,48000000,844,8.3
324,129,456,0,Kelly Macdonald,Anna Karenina ,Matthew Macfadyen,dance|infidelity|marriage|russia|russian,226,,35,6.6
371,120,662,502,Hugh Jackman,Chappie ,Jose Pablo Cantillo,artificial intelligence|consciousness|future|mind uploading|robot,627,49000000,2000,6.9
75,118,176,308,Denzel Washington,The Bone Collector ,Leland Orser,new york city|police|quadriplegic|serial killer|suicide,397,48000000,11000,6.7
233,112,21000,237,Kristen Stewart,Panic Room ,Mel Rodriguez,brownstone|burglar|money|panic|panic room,850,48000000,324,6.8
32,89,42,235,P.J. Soles,The Tooth Fairy ,Steve Bacic,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,32,1500000,555,4.6
150,114,737,393,Judy Greer,Three Kings ,Mykelti Williamson,gold|gulf war|iraq|kuwait|map,560,48000000,490,7.1
172,137,79,194,Tom Hardy,Child 44 ,Michael Nardone,child murderer|murder|sex|soviet union|woman slaps a man,185,50000000,254,6.4
103,112,109,261,Corinna Harney,Rat Race ,Vince Vieluf,casino|locker|money|museum|race,497,48000000,629,6.4
140,120,34,1000,Kevin Spacey,K-PAX ,Alfre Woodard,extraterrestrial|hospital|patient|planet|science,537,48000000,12000,7.4
125,123,446,821,Hugh Jackman,Kate & Leopold ,Bradley Whitford,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,316,48000000,1000,6.4
125,93,11000,484,Brendan Fraser,Bedazzled ,Brian Doyle-Murray,contract|devil|dream|soul|wish,254,48000000,575,6.0
36,123,0,886,Nicolas Cage,The Cotton Club ,Fred Gwynne,brothers hugging|jazz|jealousy|nudity|parole violation,84,58000000,5000,6.5
295,122,446,600,Christian Bale,3:10 to Yuma ,Gretchen Mol,outlaw|rancher|small western town|stagecoach|train,560,55000000,8000,7.8
222,115,118,482,Liam Neeson,Taken 3 ,Jon Gries,betrayal|death|final showdown|murder|on the run,323,48000000,794,6.0
158,123,0,23,Don Cheadle,Out of Sight ,Keith Hudson,heist|neo noir|one last job|opposites attract|u.s. marshal,307,48000000,745,7.0
72,96,0,302,Matthew Broderick,The Cable Guy ,Andy Dick,cable guy|foreplay|friend|kissing|television,345,47000000,1000,6.0
34,110,375,59,Nandita Das,Earth ,Eric Peterson,friend|hindu|india|muslim|sikh,55,,102,7.8
72,105,631,327,Charlie Korsmo,Dick Tracy ,Seymour Cassel,crime boss|detective|dick tracy|gangster|orphan,164,100000000,631,6.1
152,113,323,835,Mark Margolis,The Thomas Crown Affair ,Denis Leary,art|insurance investigator|martinique|painting|trust,419,48000000,977,6.8
89,132,545,807,Rosie Perez,Riding in Cars with Boys ,Alissa Dean,boy|college|heroin|working class|writer,210,48000000,811,6.4
145,93,270,535,Sylvester Stallone,First Blood ,Chris Mulkey,1980s|colonel|deputy|rambo|sheriff,376,14000000,954,7.7
144,115,0,12,Donatas Banionis,Solaris ,Natalya Bondarchuk,hallucination|ocean|psychologist|scientist|space station,236,1000000,29,8.1
93,75,0,677,Sarah Michelle Gellar,Happily N'Ever After ,Rob Paulsen,apostrophe in title|cinderella|first of series|punctuation in title|three word title,71,47000000,769,4.5
46,108,350,77,Julia Roberts,Mary Reilly ,George Cole,19th century|butler|housemaid|laboratory|servant,97,47000000,115,5.8
84,105,29,692,Julia Roberts,My Best Friend's Wedding ,Rupert Everett,best friend|chick flick|male female friendship|promise|wedding,169,46000000,1000,6.3
142,102,148,135,Julia Roberts,America's Sweethearts ,Larry King,actor|love|movie star|press|publicist,343,48000000,973,5.7
185,118,22000,319,Al Pacino,Insomnia ,Crystal Lowe,detective|insomnia|murder|partner|police,651,46000000,509,7.2
143,111,906,906,LeVar Burton,Star Trek: First Contact ,Jonathan Frakes,21st century|borg|borg sphere|captain|sphere,286,45000000,1000,7.6
178,81,39,364,Michael Fassbender,Jonah Hex ,Julia Jones,confederate|death|independence day|military|terrorist,176,47000000,541,4.7
65,116,380,826,Denzel Washington,Courage Under Fire ,Scott Glenn,bravery|honor|medal of honor|military life|unreliable flashback,107,46000000,13000,6.6
73,86,293,255,Maura Tierney,Liar Liar ,Randall 'Tex' Cobb,birthday|birthday wish|father disappoints child|lie|workaholic,243,45000000,418,6.8
72,127,65,345,Joseph Gilgun,The Infiltrator ,Olympia Dukakis,,29,25000000,423,7.3
10,140,92,522,Laurence Olivier,Inchon ,Jacqueline Bisset,1950s|douglas macarthur|general|inchon|invasion,16,48000000,623,2.7
35,91,32,628,Jonathan Winters,The Flintstones ,Harvey Korman,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,85,45000000,664,4.8
358,98,118,558,Liam Neeson,Taken 2 ,D.B. Sweeney,albanian|revenge|revenge motive|teenage daughter|vacation,461,45000000,935,6.3
151,84,119,750,Regina Hall,Scary Movie 3 ,Jenny McCarthy,crop circle|farm|orchestral music score|reference to michael jackson|videotape,347,48000000,780,5.5
140,109,80,213,Candice Bergen,Miss Congeniality ,Heather Burns,beauty pageant|fbi|female agent|pageant|undercover,370,45000000,337,6.2
201,93,40,311,Josh Hutcherson,Journey to the Center of the Earth ,Anita Briem,cave|lost world|missing brother|mountain|venus flytrap,212,45000000,3000,5.8
77,113,0,995,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,Hector Elizondo,coronation|horse|princess|queen|side saddle,152,40000000,1000,5.7
43,141,79,956,Denzel Washington,The Pelican Brief ,Tony Goldwyn,college professor|fbi|president|professor|supreme court,89,45000000,8000,6.5
39,119,541,551,Bradley Whitford,The Client ,Brad Renfro,boy|brother|lawyer|mafia|senator,94,45000000,577,6.7
207,97,0,760,Morgan Freeman,The Bucket List ,Sean Hayes,billionaire|friend|hospital|list|mechanic,310,45000000,2000,7.4
47,117,176,308,Harrison Ford,Patriot Games ,Patrick Bergin,analyst|cia|ira|terrorist|terrorist attack,137,45000000,530,6.9
132,101,126,586,Adam Scott,Monster-in-Law ,Elaine Stritch,breakdown|fight|mother in law|scheme|wedding,228,60000000,949,5.5
454,153,777,1000,Hugh Jackman,Prisoners ,Dylan Minnette,child abduction|detective|investigation|police|sex offender,620,46000000,15000,8.1
109,122,845,854,Denzel Washington,Training Day ,Tom Berenger,lapd|narc|narcotics|title spoken by character|training,633,45000000,881,7.7
213,102,23,436,Alan Rickman,Galaxy Quest ,Robin Sachs,alien|alien race|convention|fan|general,609,45000000,724,7.3
127,83,322,179,Natasha Lyonne,Scary Movie 2 ,Andy Richter,blow job|demon|exorcism|priest|professor,548,45000000,422,5.2
398,103,33,84,Bill Cobbs,The Muppets ,Steve Whitmire,bel air california|book|friends who live together|the muppets|tribute band,252,45000000,91,7.1
184,110,45,595,Sanaa Lathan,Blade ,Udo Kier,1990s|blade|blood|vampire|vampire hunter,582,45000000,650,7.1
127,136,49,730,Channing Tatum,Coach Carter ,Robert Ri'chard,basketball|basketball coach|coach|contract|high school,209,30000000,807,7.2
167,91,50,67,Sydney Pollack,Changing Lanes ,Bruce Altman,car accident|feud|lawyer|revenge|road rage,350,45000000,108,6.5
119,89,49,514,Frank Welker,Anaconda ,Kari Wuhrer,amazon|anaconda|boat|jungle|snake,271,45000000,902,4.6
155,107,18,560,Adam Garcia,Coyote Ugly ,Izabella Miko,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,379,45000000,625,5.6
218,129,628,548,Colin Firth,Love Actually ,Kris Marshall,aging rocker|christmas|love at first sight|minister|prime minister,1004,45000000,14000,7.7
117,95,487,1000,Kevin Spacey,A Bug's Life ,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing,317,120000000,1000,7.2
208,122,117,140,Johnny Depp,From Hell ,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,541,35000000,1000,6.8
38,110,49,20,Sylvester Stallone,The Specialist ,Emilio Estefan Jr.,bomb|cia|explosive|explosives expert|miami florida,116,45000000,279,5.4
48,135,41,808,Don Johnson,Tin Cup ,Rene Russo,driving range|golf|golfer|tournament|winnebago,73,45000000,843,6.3
8,111,5,559,Lucille Ball,"Yours, Mine and Ours ",Tim Matheson,nurse|parent|sibling|widow|widower,61,2500000,584,7.2
94,95,58,3000,Josh Hutcherson,Kicking & Screaming ,Robert Duvall,book|child|slapstick comedy|soccer|suburb,118,45000000,8000,5.6
276,109,37,651,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,Thomas Lennon,alien|friend|galaxy|hyperspace|spaceship,1053,50000000,2000,6.8
59,93,38,631,Dania Ramirez,Fat Albert ,Alice Greczyn,animated sequence|junkyard|love|party|television,91,26000000,641,4.3
216,94,85,443,Milla Jovovich,Resident Evil: Extinction ,James Tumminia,clone|convoy|crow|desert|satellite,348,45000000,706,6.3
173,117,153,734,Bella Thorne,Blended ,Joel McHale,blind date|children|date|daughter|son,184,40000000,11000,6.5
99,112,61,501,LL Cool J,Last Holiday ,Timothy Hutton,chef|congressman|cook|hotel|senator,116,45000000,976,6.4
42,111,161,132,Meryl Streep,The River Wild ,William Lucking,criminal|rafting|river|robber|white water rafting,69,45000000,894,6.3
25,96,0,563,Steve Coogan,The Indian in the Cupboard ,David Keith,best friend|birthday|boy|friend|magic,47,45000000,845,5.9
339,141,0,404,Demián Bichir,Savages ,Gary Stretch,arms tied overhead|damsel in distress|dea|marijuana|southern california,269,45000000,463,6.5
127,94,160,167,Richard Burgi,Cellular ,Will Beinbrink,cell phone|distress signal|family in danger|police|stealing a car,355,25000000,216,6.5
122,87,29,252,Kevin McNally,Johnny English ,Ben Miller,british|crown jewels|explosion|funeral|spy,285,35000000,304,6.1
105,88,8,8000,Nicolas Cage,The Ant Bully ,Julia Roberts,ant|miniaturization|punishment|shrinking|sudden change in size,70,50000000,11000,5.9
144,177,0,202,Virginia Madsen,Dune ,José Ferrer,desert planet|dune|giant worm|space travel|spice,569,40000000,362,6.6
156,133,278,107,Jim Sturgess,Across the Universe ,Robert Clohessy,anti war|liverpool|love|protest|song,524,45000000,117,7.4
323,119,0,10000,Leonardo DiCaprio,Revolutionary Road ,Joe Komara,based on novel|children|connecticut|suburb|work,414,35000000,14000,7.3
199,102,503,795,Bruce Willis,16 Blocks ,Sasha Roiz,alcoholic|courthouse|detective|jail|witness,305,52000000,929,6.6
164,101,326,510,Vin Diesel,Babylon A.D. ,David Belle,box office flop|convent|mercenary|new york|pregnant,214,70000000,844,5.6
39,91,29,322,Alexa PenaVega,The Glimmer Man ,Keenen Ivory Wayans,detective|heavy rain|murder|partner|serial killer,80,45000000,461,5.3
43,117,11000,451,John de Lancie,Multiplicity ,Obba Babatundé,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,81,45000000,484,6.0
82,86,13,553,Malese Jow,Aliens in the Attic ,Tim Meadows,alien|attic|boyfriend|mind control|nintendo ds,55,45000000,701,5.4
150,124,0,19,Costas Mandylor,The Pledge ,Nels Lennarson,nevada|pledge|police|porcupine|search,531,45000000,44,6.8
168,134,38,2000,Jon Lovitz,The Producers ,Matthew Broderick,accountant|money|opening night|scheme|swedish,409,45000000,8000,6.4
432,95,38,20,Wood Harris,Dredd ,Rakie Ayola,brutality|dark humor|female antagonist|female warrior|post apocalypse,588,35000000,107,7.1
60,100,23,579,Cary-Hiroyuki Tagawa,The Phantom ,Kristy Swanson,ghost|new york city|phantom|skull|superhero,148,45000000,642,4.9
85,220,0,820,Matt Damon,All the Pretty Horses ,Sam Shepard,1940s|cowboy|mexico|railway station|texas,183,57000000,861,5.8
83,212,0,805,Anthony Hopkins,Nixon ,Joan Allen,courtship|election|paranoia|president|quaker,161,50000000,5000,7.1
343,128,2000,501,Jim Belushi,The Ghost Writer ,Timothy Hutton,british prime minister|death|island|memoir|writer,349,45000000,766,7.2
106,106,208,855,Djimon Hounsou,Deep Rising ,Wes Studi,creature feature|hijacker|ocean|ship|shot in the leg,273,45000000,1000,6.0
158,160,0,826,Joseph Gordon-Levitt,Miracle at St. Anna ,Laz Alonso,boy|german soldier|partisan|trapped|village,182,45000000,1000,6.0
189,114,611,10,Li Gong,Curse of the Golden Flower ,Man Li,china|chrysanthemum|emperor|empress|prince,229,45000000,52,7.0
125,99,15,61,Nicolas Cage,Bangkok Dangerous ,James With,deaf|hitman|nightclub|pickpocket|rules of profession,154,40000000,68,5.4
87,74,188,865,Zooey Deschanel,Big Trouble ,Omar Epps,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,186,40000000,1000,6.5
115,139,179,50,Marcela Mar,Love in the Time of Cholera ,Unax Ugalde,19th century|colombia|love|marriage|widow,115,45000000,202,6.4
23,52,,114,Pierre Perrier,The Returned             ,Céline Sallette,france|living dead|serial killer|small town|supernatural,47,,116,8.3
24,103,170,269,Sam Waterston,Shadow Conspiracy ,Nicholas Turturro,american president|assassin|conspiracy|president|white house,41,45000000,623,4.9
152,101,32,104,Daniel Kaluuya,Johnny English Reborn ,Togo Igawa,assassin|chinese|conspiracy|gadget|premier,142,45000000,141,6.3
12,91,11,500,Jerry Stiller,Foodfight! ,Harvey Fierstein,femme fatale|food|pun|supermarket|troubled production,66,65000000,611,1.7
656,130,0,650,Clea DuVall,Argo ,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979,695,44500000,660,7.7
119,130,99,812,Harrison Ford,The Fugitive ,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal,270,44000000,1000,7.8
161,110,72,789,Gerard Butler,The Bounty Hunter ,Peter Greene,bounty hunter|death|murder|police officer|reporter,135,40000000,1000,5.5
73,147,272,893,Robert De Niro,Sleepers ,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse,259,44000000,11000,7.5
96,96,170,668,Sylvester Stallone,Rambo: First Blood Part II ,Martin Kove,1980s|mission|prison|rambo|vietnam,217,44000000,738,6.4
28,118,13,643,Joseph Gordon-Levitt,The Juror ,Anne Heche,breasts|mafia|sex scene|temple|woods,62,44000000,2000,5.6
105,88,3,40,Mel Blanc,Pinocchio ,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio,147,2600000,48,7.5
102,325,517,678,Jeff Bridges,Heaven's Gate ,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff,189,44000000,849,6.8
206,102,235,520,Sophia Myles,Underworld: Evolution ,Derek Jacobi,death|feud|forbidden love|vampire|werewolf,502,50000000,845,6.8
159,110,118,287,Daniel Radcliffe,Victor Frankenstein ,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,91,40000000,1000,6.0
137,136,835,225,F. Murray Abraham,Finding Forrester ,Michael Nouri,basketball|mentor|new york|school|writing,297,43000000,370,7.3
116,103,84,664,Steve Buscemi,28 Days ,Elizabeth Perkins,12 step program|box office hit|car accident|vomiting|wedding,194,43000000,10000,6.0
177,103,255,5000,Morgan Freeman,Unleashed ,Bob Hoskins,collar|dog|fight|fighting|piano,303,45000000,5000,7.0
99,90,16,16,Judith Chapman,The Sweetest Thing ,Chelsea Bond,female removes her clothes|roommate|voyeur|voyeurism|wedding,403,43000000,28,5.1
56,154,521,957,Tom Cruise,The Firm ,Wilford Brimley,bar|fbi|law|law firm|lawyer,142,42000000,1000,6.8
117,99,23,135,Augustus Prew,Charlie St. Cloud ,Valerie Tian,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,75,44000000,268,6.5
252,93,165,350,Jason Statham,The Mechanic ,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub,181,40000000,956,6.6
375,109,97,839,Channing Tatum,21 Jump Street ,Rob Riggle,narcotics|parody|police|remake|undercover cop,345,42000000,971,7.2
150,124,50,427,Julia Roberts,Notting Hill ,Dylan Moran,actress|bookstore|friend|kiss|love,602,42000000,437,7.0
187,84,91,206,Imelda Staunton,Chicken Run ,Julia Sawalha,chicken|escape|farm|freedom|rooster,358,45000000,530,7.0
108,90,29,650,Philip Seymour Hoffman,Along Came Polly ,Debra Messing,bride|friend|honeymoon|insurance|insurance company,268,42000000,923,5.9
21,117,71,547,John Witherspoon,Boomerang ,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer,41,40000000,558,5.4
270,123,176,749,Michael Rapaport,The Heat ,Demián Bichir,drug lord|fbi|fbi agent|hospital|shot in the crotch,380,43000000,815,6.6
72,251,311,595,Martin Landau,Cleopatra ,Roddy McDowall,cleopatra|egypt|epic|queen|roman empire,192,31115000,726,7.0
154,105,153,491,Salma Hayek,Here Comes the Boom ,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,112,42000000,828,6.5
114,115,73,505,Morgan Freeman,High Crimes ,Bruce Davison,defense lawyer|lawyer|marine|murder|villager,175,42000000,3000,6.3
27,122,0,292,Jeff Bridges,The Mirror Has Two Faces ,Mimi Rogers,columbia university|lecture|marriage|professor|sex,71,42000000,592,6.5
166,119,89,395,Debra Messing,The Mothman Prophecies ,David Eigenberg,car accident|death of wife|mothman|point pleasant west virginia|urban legend,460,32000000,537,6.5
288,81,119,412,Bono,Brüno ,Slash,austrian|fame|fashion|gay lead character|mockumentary,396,42000000,442,5.8
117,133,46,275,Robert Davi,Licence to Kill ,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,317,32000000,349,6.6
291,100,308,913,Gary Oldman,Red Riding Hood ,Virginia Madsen,death|forest|love|werewolf|werewolf bite,283,42000000,2000,5.4
151,120,17,808,Robert De Niro,15 Minutes ,Kelsey Grammer,criminal|detective|fire|homicide|media,265,42000000,9000,6.1
36,104,5,687,Bob Hoskins,Super Mario Bros. ,Fiona Shaw,based on video game|dinosaur|king|mario|plumber,290,42000000,922,4.0
168,122,487,16,Nicolas Cage,Lord of War ,Jared Burke,1980s|arms dealer|immorality|ukrainian|warlord,437,50000000,43,7.6
283,80,611,576,Jet Li,Hero ,Maggie Cheung,china|flying|king|palace|sword,841,31000000,643,7.9
127,91,30,497,Fisher Stevens,One for the Money ,Patrick Fischler,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,169,40000000,786,5.3
293,112,133,365,James Franco,The Interview ,Anders Holm,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,835,44000000,392,6.6
95,100,19,433,Tony Cox,The Warrior's Way ,Jed Brophy,bullet time|explosion|knife throwing|throwing a knife|violence,102,45000000,489,6.3
4,30,,253,Tim Conway,McHale's Navy             ,Bob Hastings,american soldier|naval uniform|navy|patrol boat|uniform,18,,284,7.5
213,105,0,52,Omar Sy,Micmacs ,André Dussollier,bullet|contortionist|gag humor|human cannonball|revenge,71,27000000,172,7.2
119,110,161,196,Mekhi Phifer,8 Mile ,Evan Jones,competition|contest|friend|self expression|white rapper,564,41000000,418,7.0
9,101,326,6,Jamel Debbouze,Animal Kingdom: Let's go Ape ,Mélissa Theuriau,ape|computer animation|evolution|first person title|reference to louis de funes,5,,152,4.9
167,144,241,996,Heath Ledger,A Knight's Tale ,Bérénice Bejo,chaucer|jousting|knight|medieval times|tournament,658,65000000,3000,6.9
98,108,4,96,Julian Sands,The Medallion ,Anthony Chau-Sang Wong,hong kong|interpol|medallion|ship|tough cop,132,41000000,312,5.2
234,107,0,766,Bruce Willis,The Sixth Sense ,Olivia Williams,able to see the dead|ghost|plot twist|psychic|surprise ending,2073,40000000,3000,8.1
258,102,20,54,Robert Clohessy,Man on a Ledge ,J. Smith-Cameron,detective|diamond|hotel|police|rooftop,153,42000000,81,6.6
108,100,64,296,Joel McHale,The Big Year ,JoBeth Williams,alaska|birding|competition|migration|storm,125,41000000,574,6.2
81,126,80,225,Martin Kove,The Karate Kid ,William Bassett,apartment|bully|fight|karate|master,235,8000000,641,7.2
