num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,country,title_year,imdb_score,aspect_ratio,movie_facebook_likes
114,168,Tamara Tunie,43848100,Crime|Drama,119150,1980s|argument|critique of capitalism|f word|fired from the job,USA,1987,7.4,1.85,0
69,1000,Kate Winslet,42700000,Drama|Romance,78392,1810s|female protagonist|horseback riding|inheritance|three word title,USA,1995,7.7,1.85,0
150,281,Julie Walters,18663911,Biography|Drama|Romance,46204,country estate|jane austen|lady|love|writing,UK,2007,7.1,2.35,0
72,433,Matt Long,11702090,Comedy|Romance,37700,college|college girl|female protagonist|sorority|sorority house,USA,2007,6.3,2.35,0
158,385,Kim Dickens,13005485,Drama,56665,auction|home|house|iranian|marriage,USA,2003,7.6,1.85,0
96,1000,Josh Charles,95860116,Comedy|Drama,277451,education|english teacher|poet|professor|student,USA,1989,8.0,1.85,23000
84,481,Mike Starr,127175354,Comedy,288451,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,USA,1994,7.3,1.85,0
114,62,Gretchen Palmer,92823600,Comedy|Drama|Romance,149108,friendship|love|male female friendship|new york|sex,USA,1989,7.6,1.85,0
79,359,James Mason,54000000,Drama,26310,archdiocese|court|hospital|lawyer|malpractice,USA,1982,7.8,1.85,0
103,486,Rachel Blanchard,68525609,Comedy,132963,blonde|college|friend|highway travel|road trip,USA,2000,6.5,1.85,0
67,35,Ron Lester,52885587,Comedy|Drama|Romance|Sport,35312,coach|coyote|popularity|quarterback|texas,USA,1999,6.4,1.85,0
576,628,Ed Lauter,44667095,Comedy|Drama|Romance,190030,1920s|jack russell terrier|modern silent movie|movie star|movie studio,France,2011,8.0,1.33,30000
178,389,Atticus Shaffer,42638165,Drama|Fantasy|Horror|Mystery|Thriller,42182,babysitting|experiment|nightmare|possession|twin,USA,2009,4.8,2.35,0
487,559,Bill Murray,45507053,Adventure|Comedy|Drama|Romance,237848,1960s|boy scouts|boy scouts camp|coming of age|young love,USA,2012,7.8,1.85,71000
196,597,Jordana Brewster,39511038,Horror,56269,cannibal|car accident|leatherface|psychopath|slaughterhouse,USA,2006,5.9,1.85,0
24,107,Vincent Walsh,6462576,Drama,1449,based on novel,USA,2016,5.4,2.35,0
56,499,Kenan Thompson,40363530,Comedy|Family,18254,disguise|mask|master of disguise|restaurant|waiter,USA,2002,3.3,1.85,1000
406,250,Maribel Verdú,37623143,Drama|Fantasy|War,467234,fairy|fairy tale|faun|princess|spain,Spain,2006,8.2,1.85,27000
3,762,Jessika Van,,Drama|Fantasy|Mystery|Thriller,7210,,USA,,6.6,16.0,0
51,635,Angus T. Jones,33357476,Action|Comedy|Crime|Family,7392,boy|fbi|mailman|van|witness protection,USA,2001,5.4,1.85,393
41,522,Snoop Dogg,28734552,Crime|Drama|Romance|Thriller,9566,cartoon on tv|family relationships|physical abuse|single parent|two word title,USA,2001,6.4,1.85,1000
138,638,Danneel Ackles,37300107,Drama|Horror|Thriller,29147,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,USA,2011,4.8,2.35,0
78,459,Erik Per Sullivan,27087695,Adventure|Comedy|Drama,41664,first part|grand canyon|highway travel|indian|janitor,USA,2001,5.9,1.85,0
40,51,Alonna Shaw,30102717,Action|Crime,28736,boat|hong kong|murder|tunnel|twins,USA,1991,5.5,1.85,0
285,108,Joe Cornish,23618786,Action|Comedy|Mystery,352695,accident|conspiracy|police|police officer|village,UK,2007,7.9,2.35,17000
124,650,Debi Mazar,26896744,Comedy|Drama,16582,beauty salon|divorce|fashion|new york|perfume,USA,2008,4.9,1.85,0
275,252,Kevin Dunn,23213577,Drama|Romance,198111,art|artist|painter|sex|summer,Spain,2008,7.2,1.85,14000
34,292,Michael Nyqvist,,Action|Adventure|Drama|Romance|War,18041,first part|holy land|knight templar|monastery|sword and shield,Sweden,2007,6.6,2.35,0
81,851,Jay Hernandez,55461307,Comedy,4654,lesbian kiss|mom|pta|reference to mad max|scene during end credits,USA,2016,6.7,,18000
67,95,Amanda Detmer,20627372,Comedy|Drama|Romance,13661,best friend|break up|friendship|graduation|male in underwear,USA,2000,5.3,1.85,487
103,450,Cole Hauser,16346122,Drama,25549,california|foster home|love|oleander|prison,USA,2002,7.2,1.85,0
300,271,Amy Sedaris,16204793,Comedy|Fantasy|Horror,92712,cannibalism|cheerleader|condom|hook for hand|satanic ritual,USA,2009,5.1,1.85,6000
84,324,Jamie Lee Curtis,15427192,Comedy|Crime|Mystery,11768,crying woman|plot|suspect|waitress|younger man older woman relationship,USA,2000,5.6,1.85,492
64,233,Don Pardo,14792779,Comedy,24256,beach|cigarette girl|radio|woman holding a baby|working class,USA,1987,7.6,1.85,0
169,734,Lea Thompson,13998282,Action|Drama|Fantasy|Mystery|Thriller,24854,bible quote|chaos|faith|riot|shrine,USA,2014,3.1,2.35,31000
158,238,Lena Olin,19057024,Drama|Romance,113963,binge drinking|new york|new york city|september 11 2001|suicide,USA,2010,7.2,1.85,24000
46,258,Alexandra Holden,14108518,Comedy|Drama|Romance,8215,best friend|high school|mother|sister|wedding,USA,2003,5.7,1.85,371
15,384,Alyson Hannigan,13854000,Comedy|Romance|Sci-Fi,21079,alien|earth|female alien|mission|secret,USA,1988,5.2,1.85,818
68,372,Tom Hanks,77324422,Drama,178731,aids|city name in title|gay|homophobia|lawyer,USA,1993,7.7,1.85,0
111,363,Craig Bierko,15500000,Mystery|Sci-Fi|Thriller,51996,amnesia|barricade|letter|time|virtual reality,Germany,1999,7.0,2.35,0
21,578,Vincent Pastore,11540112,Comedy,2385,flatulence|interracial marriage|marriage,USA,2004,3.6,1.85,177
42,316,Karl Malden,,Action|Drama|Sci-Fi|Thriller,5237,asteroid|meteor|nasa|nuclear weapon|satellite,USA,1979,4.9,2.35,392
65,215,Marian Seldes,4734235,Comedy|Drama|Music,8217,convict|karaoke|middle america|salesman|singer,USA,2000,6.0,1.85,573
109,642,Debra Messing,4839383,Comedy|Romance,21613,blind|director|psychosomatic blindness|self deprecating|studio,USA,2002,6.6,1.85,762
42,322,Lin Shaye,4193025,Comedy|Music,30682,band|concert|high school|kiss|teenager,USA,1999,6.8,2.35,0
112,186,Jon Polito,5900000,Action|Adventure|Fantasy,98629,combat|head cut off|immortal|scotland|swordsman,UK,1986,7.2,1.85,0
146,295,Omar Benson Miller,2849142,Drama,24104,best friend|dinner|garage|narcotics anonymous|recovery,USA,2007,7.2,2.35,0
36,465,Annabeth Gish,1686429,Action|Crime|Sci-Fi,8687,fight|gang|junkyard|military|soldier,USA,1997,2.8,1.85,0
230,310,Dagmara Dominczyk,1984743,Drama|Romance,20616,immigrant|immigration|magician|money|prostitution,USA,2013,6.6,2.35,0
64,258,Natasha Richardson,1666262,Drama|History|Romance|War,5321,countess|diplomat|japanese|russian|shanghai,UK,2005,6.7,1.66,356
393,888,Spencer Wilding,2319187,Crime|Drama|Mystery|Thriller,92640,amnesia|criminal|heist|hypnotherapy|lost painting,UK,2013,7.0,2.35,23000
75,618,Snoop Dogg,13922211,Comedy,18271,airline|airplane|bathroom|sex|toilet,USA,2004,4.4,1.85,0
78,27,Kad Merad,,Comedy|Romance,30587,alcohol|alcoholic drink|drunken man|france|provence,France,2008,7.1,2.35,3000
67,227,Jodie Whittaker,23091,Drama|Romance|War,5664,censorship|children|corpse|heil hitler|suffering,UK,2008,6.2,2.35,921
216,116,Emily Alyn Lind,336467,Drama|Fantasy,45449,drug deal|drugs|explicit sex|love|stripper,France,2009,7.3,2.35,23000
54,613,Justin Kirk,2964,Comedy|Horror|Romance,7444,murder|new york city|one word title|vampire|vampire slayer,USA,2012,5.1,1.78,0
84,805,Sarah Roemer,,Drama|Family,155249,dog|human animal relationship|japanese|loyalty|waiting,USA,2009,8.1,1.85,115000
69,44,Tanya van Graan,,Crime|Drama|Thriller,12817,apartheid|corpse|male nudity|murder|police officer,France,2013,6.7,2.35,0
208,567,Tim Blake Nelson,2428883,Drama|Western,21370,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,USA,2014,6.6,2.35,0
32,574,Jenifer Lewis,13571817,Comedy|Drama|Romance|Sport,5312,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,USA,2002,4.5,1.85,939
20,15,Trond Fausa,,Comedy|Crime|Drama,19164,mafia|mob|norway|steve|van,Norway,,8.1,16.0,16000
78,125,Marie-Josée Croze,1554566,Drama|War,8624,armenian|armenian genocide|customs agent|genocide|prayer,Canada,2002,6.6,1.66,824
21,518,Jake Lloyd,508867,Drama|Sport,1033,boat racing|hydroplane|loyalty|one word title|scolding,USA,2001,6.5,2.35,282
40,922,LL Cool J,1181197,Drama|Mystery|Thriller,3299,district attorney|interview|murder|prosecutor|reporter,USA,2005,5.9,1.85,191
40,17,Ryôko Hirosue,81525,Action|Comedy|Crime|Drama|Thriller,29392,french|inheritance|japan|letter|police detective hero,France,2001,6.6,2.35,0
251,102,Gregg Henry,7774730,Comedy|Horror|Sci-Fi,61912,alien|b movie|sex|slug|small town,Canada,2006,6.5,1.85,0
94,383,Ronny Cox,234760500,Action|Comedy|Crime,126464,drug dealer|drugs|murder|police brutality|police shootout,USA,1984,7.3,1.85,0
102,925,Devin Ratray,285761243,Comedy|Family,311075,airport|child protagonist|child swearing|christmas|home alone,USA,1990,7.5,1.85,20000
21,801,Ted Danson,167780960,Comedy|Drama|Family,36918,1980s|baby|heroin|package|questioned by police,USA,1987,5.9,1.85,3000
94,481,Sydney Pollack,177200000,Comedy|Drama|Romance,77366,actor|actress|friend|love|reputation,USA,1982,7.4,2.35,0
173,555,Tom Skerritt,176781728,Action|Drama|Romance,219171,flying|gay subtext|machismo|male objectification|pilot,USA,1986,6.9,1.33,19000
287,5,Pei-Pei Cheng,128067808,Action|Drama|Romance,217740,bare midriff|china|magical realism|martial arts|sword,Taiwan,2000,7.9,2.35,0
176,158,Peter Gallagher,130058047,Drama,822500,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,USA,1999,8.4,2.35,22000
479,520,Jennifer Ehle,138795342,Biography|Drama|History|Romance,503631,king|king george vi|speech|speech therapist|throne,UK,2010,8.0,1.85,64000
27,247,Tony Jay,111936400,Comedy|Crime,87538,bare chested male|brother|catholic orphanage|long lost siblings|twins,USA,1988,6.0,1.85,0
20,260,Bobby Campo,,Crime|Drama|Horror|Mystery|Thriller,18058,generation y|millennial generation|murder|teenage girl|throat slitting,USA,,7.3,16.0,0
60,882,Eddie Redmayne,317040,Drama|Romance,6723,louisiana|overalls|road trip|southern u.s.|teenage boy,USA,2008,6.8,2.35,1000
70,271,Rae Dawn Chong,94175854,Drama,60988,book strap|girl|racial discrimination|racial tension|stereotype,USA,1985,7.8,1.85,6000
43,13,Ji-won Ha,,Action|Comedy|Drama|Thriller,2659,korea|lifeguard|single father|tears|tsunami,South Korea,2009,5.7,2.35,558
1,635,Ayelet Zurer,,Adventure|Drama|History,62,chariot race|epic|false accusation|jerusalem|slave,USA,2016,6.1,2.35,0
454,305,Rory Kinnear,91121452,Biography|Drama|Thriller|War,467613,crossword puzzle|cryptography|enigma code|gay lead character|world war two,UK,2014,8.1,2.35,165000
25,271,Albert Brooks,69800000,Comedy|War,18140,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,USA,1980,6.1,1.85,855
46,572,Beverly D'Angelo,79900000,Biography|Drama|Music|Musical,12974,country music|kissing while having sex|poverty|singer|title based on song,USA,1980,7.5,1.85,0
111,569,Zachary Gordon,64001297,Comedy|Family,32002,cheese|diary|friend|middle school|school,USA,2010,6.2,1.85,0
393,250,Megan Charpentier,71588220,Fantasy|Horror,134869,aunt|children|death of sister|forest|hiding in a closet,Canada,2013,6.2,1.85,57000
318,598,Donald Pleasence,47000000,Horror|Thriller,157857,halloween|masked killer|michael myers|slasher|trick or treat,USA,1978,7.9,2.35,12000
55,624,Randy Quaid,61400000,Adventure|Comedy,71183,amusement park|dog|family vacation|national lampoon series|vacation,USA,1983,7.4,1.85,0
157,27,Georgina Cates,101978840,Comedy,77724,child beauty pageant|grandson|hidden camera|jackass|road trip,USA,2013,6.6,1.85,26000
280,39,Sylvia Syms,56437947,Biography|Drama,85333,monarchy|prime minister|princess diana|queen|speech,UK,2006,7.3,1.85,0
109,217,Jeffrey Jones,73326666,Comedy|Fantasy,189413,attic|ghost|surrealism|teenage girl|yuppie,USA,1988,7.5,1.85,15000
41,607,Tasha Smith,55184721,Comedy|Drama,9811,marriage|overweight|psychologist|secret|work,USA,2007,5.6,1.85,1000
27,902,Kirsten Dunst,50003300,Drama|Family|Romance,36624,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,USA,1994,7.3,1.85,0
462,259,Roger Allam,54322273,Drama|Fantasy|Horror|Thriller,139749,afterlife|baby boy|bird in a cage|ghost|reunited family,UK,2012,6.4,2.35,29000
152,383,Tessa Thompson,47860214,Horror|Thriller,34711,babysitting|cell phone|high school|nightmare|teenager,USA,2006,5.0,2.35,0
69,799,Donald Faison,47811275,Adventure|Comedy|Family,29008,brunette|film producer|liar|prank|stunt,USA,2002,5.4,1.85,896
140,652,Meryl Streep,,Drama|War,232577,escape|friend|party|pittsburgh steelers|vietnam,UK,1978,8.2,2.35,11000
130,957,Kirsten Dunst,43022524,Comedy|Drama,67604,death|election|hollywood|president|scandal,USA,1997,7.1,1.85,12000
66,566,Adam Lamberg,42672630,Adventure|Comedy|Family|Music|Romance,27580,best friend|roma|singer|spaghetti|teenager,USA,2003,5.3,2.35,0
238,874,Harold Perrineau,42919096,Action|Drama|Thriller,64747,cigarette smoking|dea|drugs|inspired by true events|undercover,USA,2013,6.5,2.35,12000
198,562,Conchata Ferrell,42592530,Comedy|Fantasy|Horror,29867,christmas|german|holiday|krampus|santa claus,USA,2015,6.2,2.35,27000
154,1000,Salma Hayek,40064955,Horror|Mystery|Sci-Fi,92074,alien|high school|ohio|photographer|water,USA,1998,6.4,1.85,0
19,2,Virginia Capers,39100956,Biography|Drama|Music,13442,abusive husband|love|singer|tina turner|violence,USA,1993,7.2,1.85,0
131,1000,Sylvester Stallone,44886089,Crime|Drama|Thriller,69576,corruption|faked death|falling off a roof|internal affairs|nypd,USA,1997,6.9,1.85,2000
97,971,JoAnna Garcia Swisher,37882551,Comedy,80305,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,USA,2001,5.7,1.85,0
355,953,Anna Kendrick,40983001,Crime|Drama|Thriller,181025,lapd|police|police officer|south central los angeles|street gang,USA,2012,7.7,1.85,38000
138,13000,Bradley Cooper,20991497,Comedy|Drama|Romance,39782,box office flop|critically bashed|hawaii|one word title|written by director,USA,2015,5.4,1.85,11000
102,883,Leslie Bibb,35007180,Action|Crime|Drama|Thriller,26846,college|friend|ivy league|secret society|suicide,USA,2000,5.6,1.85,0
419,149,Emily Watson,35887263,Biography|Drama|Romance,265507,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,UK,2014,7.7,2.35,90000
37,685,Regina Hall,34308901,Comedy|Crime,15939,los angeles california|person in car trunk|racial impersonation|south asian|street gang,USA,2003,5.1,2.35,0
78,944,James Frain,33771174,Comedy|Drama|Romance,27044,birth|oklahoma|photographer|tennessee|wal mart,USA,2000,6.8,1.85,0
181,87,José Ferrer,6000000,Adventure|Biography|Drama|History|War,192775,arab|british military|desert|ottoman empire|t.e. lawrence,UK,1962,8.4,2.2,11000
220,593,Tyler Mane,33386128,Horror,36372,halloween|hospital|michael myers|rampage|vomiting,USA,2009,4.9,1.85,3000
349,612,Kevin Rankin,37877959,Adventure|Biography|Drama,86664,female protagonist|grief|hiking|loss of mother|mother daughter relationship,USA,2014,7.1,2.35,38000
241,616,Monica Potter,32721635,Crime|Horror|Thriller,67822,kidnapping|lake|microwave oven|psychopath|woods,USA,2009,6.6,1.85,0
103,458,Debra Messing,31585300,Comedy|Romance,38248,chick flick|escort|male escort|wedding|wedding date,USA,2005,6.1,1.85,0
151,731,Thomas Ian Nicholas,30259652,Comedy|Horror|Thriller,26905,cult film|halloween|killer|michael myers|serial killer,USA,2002,4.1,2.35,0
344,850,Jason Flemyng,163192114,Action|Adventure|Fantasy,229687,famous line|hand to hand combat|kraken|rape|zeus,USA,2010,5.8,2.35,15000
185,594,Carol Kane,30857814,Adventure|Family|Fantasy|Romance,294163,fairy tale|giant|pirate|princess|true love,USA,1987,8.1,1.85,33000
112,697,Jurnee Smollett-Bell,30226144,Biography|Drama,47626,college|debate|student|texas|wiley college,USA,2007,7.6,2.35,0
676,228,Albert Brooks,35054909,Crime|Drama,431578,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,USA,2011,7.8,2.35,81000
74,231,Carol Kane,29302097,Comedy|Family|Music|Romance,23408,band|friend|new york city|suburb|teenager,Germany,2004,4.6,1.85,810
65,106,Tim Daly,29106737,Comedy|Drama|Romance,15582,baby|dancing|gay|name calling|penis slur,USA,1998,6.0,1.85,849
274,306,Harold Perrineau,28637507,Drama|Horror|Sci-Fi,212167,paris france|rage|sniper|u.s. army|zombie apocalypse,UK,2007,7.0,1.85,0
50,100,Matthew Daddario,30127963,Drama|Family|Sport,12596,coach|high school football,USA,2014,6.7,1.85,0
96,649,Luke Benward,32645546,Comedy|Drama|Family,8427,10 year old|dog|florida|girl|supermarket,USA,2005,6.4,1.85,1000
68,865,Sanaa Lathan,27441122,Drama|Romance|Sport,14322,basketball movie|female basketball player|high school|nba|title directed by female,USA,2000,7.2,1.85,0
111,141,Michael Cudlitz,28014536,Action|Comedy|Crime|Romance|Thriller,73347,assassin|high school|high school reunion|reunion|suburb,USA,1997,7.4,1.85,0
128,628,Katy Mixon,33860010,Comedy|Romance,33088,blind date|crossword puzzle|eccentric|fall|mine shaft,USA,2009,4.8,1.85,0
160,162,Erica Leerhsen,26421314,Adventure|Fantasy|Horror|Mystery|Thriller,28964,convenience store|digit in title|punctuation in title|violence|witch,USA,2000,4.0,1.85,949
93,266,Rachel True,24881000,Drama|Fantasy|Horror|Thriller,57140,coven|occult|outcast|spell|witch,USA,1996,6.2,1.85,6000
278,400,Mark Gatiss,23089926,Drama|Romance|Thriller,166269,extramarital affair|infidelity|irony of fate|surprise ending|tennis,UK,2005,7.7,1.85,0
81,125,Hutch Dano,26161406,Adventure|Comedy|Family|Fantasy,13874,aunt|cat|death of pet|girl|no opening credits,USA,2010,6.7,2.35,0
58,258,Peter Vaughan,22954968,Drama|Romance,45703,butler|housekeeper|manor|servant|service,UK,1993,7.9,2.35,0
153,170,Nicole Ari Parker,26384919,Drama,189032,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,USA,1997,7.9,2.35,0
25,232,Rosanna Arquette,22189039,Action|Crime|Drama|Romance|Thriller,17074,business|escaped convict|farm|motorcycle|widow,USA,1993,5.5,1.85,466
46,461,Danny Pino,20998709,Adventure|Drama|Family,6095,father son relationship|horse|horse ranch|ranch|wild mustang,USA,2006,6.2,2.35,1000
161,399,Daniella Alonso,20801344,Horror,49721,desert|fight|hill|murder|mutant,USA,2007,5.1,2.35,0
108,579,Joey Lawrence,21468807,Horror|Mystery|Thriller,13048,film set|movie set|sequel|slow motion|urban legend,USA,2000,4.1,2.35,243
69,613,Sissy Spacek,19158074,Drama|Family|Fantasy|Romance,17983,fountain of youth|immortality|secret|woods|young man,USA,2002,6.7,2.35,0
78,129,Firass Dirani,18843314,Action|Drama|Thriller,27486,beating|marine|muscleman|tied up|tough guy,USA,2006,4.7,1.85,0
129,415,Will Forte,20566327,Action|Comedy,15385,car chase|gangsta|gun fight|hitman|kitten,USA,2016,6.4,2.35,0
135,461,Cinda McCain,20218921,Drama|Music,14814,country music|panties|pink panties|relapse|songwriter,Official site,2010,6.3,2.35,0
96,918,Ethan Embry,17411331,Horror|Mystery|Sci-Fi|Thriller,17328,blue ribbon|high school|jacket|jock|yogurt,Australia,1998,5.5,1.85,673
417,619,Ben Mendelsohn,21383298,Crime|Drama|Thriller,187170,bank|carnival|motorcycle|police|rookie cop,USA,2012,7.3,2.35,47000
172,537,Akie Kotabe,24984868,Action|Crime|Thriller,50056,critically bashed|premarital sex|sex scene|sex standing up|stripper,USA,2014,6.3,2.35,0
88,159,Patrick Bergin,16459004,Drama|Mystery|Thriller,13320,chicago illinois|false identity|femme fatale|new york city|spying,Canada,1999,4.9,2.35,327
388,383,Christian Camargo,15700000,Drama|History|Thriller|War,332065,army|bomb|dangerous job|death|iraq,USA,2008,7.6,1.85,16000
45,563,George C. Scott,15100000,Action|Horror|Sci-Fi|Thriller,22797,captain|experiment|fire|psychic|secret government agency,USA,1984,6.0,2.35,0
414,748,Sam Shepard,14938570,Crime|Thriller,111625,exploding car|hit by a car|poker game|punched in the face|shot to death,USA,2012,6.2,2.35,20000
291,123,Nina Hoss,17237244,Crime|Drama|Thriller,57210,intelligence|intelligence agency|secret service|surveillance camera|war on terror,UK,2014,6.8,2.35,13000
97,484,Harland Williams,14249005,Comedy,39788,animator|bamboo cane|cartoonist|sausage|slacker,USA,2001,4.5,1.85,0
37,23,Cam Clarke,12701880,Adventure|Animation|Comedy|Family,2037,17th century|king|pirate|vegetable|waiter,USA,2008,5.7,1.85,175
68,44,The Edge,10353690,Documentary|Music,2673,3d in title|digit in title|rock band|rocker|u2,USA,2007,8.4,1.78,116
90,377,Adrian Paul,12801190,Action|Adventure|Fantasy|Sci-Fi,16340,battle|explosion|immortal|revenge|sequel to cult film,USA,2000,4.6,2.35,356
81,526,Faizon Love,12549485,Crime|Drama|Musical|Romance,4603,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,USA,2006,6.2,2.35,489
221,358,Jim Sturgess,13766014,Drama|Romance,106111,23 year time span|accidental death|best friend|loss of loved one|male female friendship,USA,2011,7.0,2.35,49000
230,727,Jimmy Fallon,13034417,Drama|Sport,55665,beauty pageant|friend|pageant|roller derby|texas,USA,2009,6.9,2.35,10000
57,366,Tom Noonan,11632420,Crime|Drama|Thriller,19768,mob|mobster|money|montana|sheriff,USA,2001,6.1,2.35,566
119,308,Brian Van Holt,12212417,Crime|Thriller,30643,con|grifter|lap dance|organized crime|shot in the forehead,USA,2003,6.7,2.35,622
97,745,Bradley Whitford,11614236,Comedy,9294,directed by star|muse|satire|screenwriter|tiffany's,USA,1999,5.6,1.37,251
119,65,Keith Allen,13337299,Biography|Drama|Music|Musical,9649,cole porter|composer|love|party|tears,USA,2004,6.6,2.35,1000
42,563,Larry David,10763469,Comedy|Drama|Romance,13692,12 year old|artist|hotel|three word title|written and directed by cast member,USA,1989,6.4,1.85,877
24,47,Kyla Pratt,11144518,Adventure|Family,2724,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,Canada,1998,2.8,1.85,436
208,353,RZA,15608545,Action,53471,blacksmith|box office flop|chop socky|critically bashed|village,USA,2012,5.4,2.35,29000
42,629,Jake Busey,10443316,Comedy|Drama|Romance,7159,baby|infidelity|pilot|pregnant|waitress,USA,1998,5.0,1.85,247
44,670,Chris Klein,10494147,Drama|Romance,7403,diner|love|private school|school|small town,USA,2000,5.1,1.85,648
230,1000,Bob Hoskins,9929000,Drama|Sci-Fi,152306,black comedy|bureaucracy|dream|terrorist|wrongful arrest,UK,1985,8.0,1.85,16000
46,782,Rebecca De Mornay,10411980,Family|Music|Romance,22649,music school|scholarship|small town|stage fright|three word title,USA,2004,5.9,2.35,1000
18,186,Nicole de Boer,,Drama|Fantasy|Mystery|Sci-Fi,7122,psychic|psychic power|psychometry|spin off|supernatural power,Canada,,7.5,,576
249,12000,Jeff Bridges,17439163,Comedy|Crime,537419,death|drug|nihilism|rug|white russian,USA,1998,8.2,1.85,35000
197,539,Michael Raymond-James,9396487,Drama|Music,52421,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,USA,2006,7.0,2.35,0
71,274,Dash Mihok,9059588,Crime|Drama|Romance|Thriller,17261,corrupt|criminal|investigation|lapd|police,USA,2002,6.6,2.35,455
190,254,Archie Panjabi,9172810,Biography|Drama|History|Thriller|War,24150,fbi|journalist|missing|pakistan|reporter,USA,2007,6.7,2.35,923
50,612,Jodi Lyn O'Keefe,8735529,Comedy|Drama|Romance,8055,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,USA,2000,5.5,1.85,816
63,461,Lin Shaye,8586376,Comedy,26598,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,USA,2002,4.9,1.85,1000
104,692,Tom Wilkinson,8378141,Comedy|Drama|Romance,18966,comedy of manners|false identity|farce|love|period drama,UK,2002,6.9,2.35,0
,224,Campbell Scott,,Fantasy|Romance,1465,antique|desk|letter|love|time travel,USA,1998,7.4,1.33,515
49,596,Neil Flynn,8080116,Adventure|Comedy|Family,6562,fight|florida|montana|owl|school,USA,2006,5.6,1.85,647
300,39,Anna Madeley,7757130,Comedy|Crime|Drama,307639,bruges|bullet|hope|irish|tourist,UK,2008,8.0,2.35,32000
43,426,S. Epatha Merkerson,9123834,Comedy|Romance,4065,african american,USA,2013,5.3,2.35,0
132,1000,Bradley Cooper,6409206,Comedy|Music,32311,20 years later|drummer|hdtv|rock band|rock star,USA,2008,6.2,1.85,0
97,360,Zach Gilford,6373693,Comedy|Romance,11498,graduation|graduation speech|title directed by female|tv studio|unemployment,USA,2009,5.3,1.85,0
242,363,Hal Holbrook,7556708,Drama,30284,corporate greed|corporation|natural gas|salesman|small town,USA,2012,6.6,1.85,10000
218,386,Michael McKean,5306447,Comedy|Romance,58967,atheist|limp|quantum mechanics|religion|runaway,USA,2009,7.2,1.85,10000
49,275,Susan Ward,5217498,Drama|Mystery|Thriller,3668,clique|country club|female protagonist|lip gloss|title directed by female,USA,2000,4.6,1.85,157
