director_name,gross,movie_title,num_voted_users,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio,movie_facebook_likes
Steven R. Monroe,92401,I Spit on Your Grave ,56402,Daniel Franzese,209,English,R,6.3,2.35,17000
Mark Illsley,1943649,"Happy, Texas ",8697,Jeremy Northam,122,English,PG-13,6.3,1.85,374
Pawel Pawlikowski,992238,My Summer of Love ,16349,Dean Andrews,103,English,R,6.8,1.85,869
Ritesh Batra,4231500,The Lunchbox ,30479,Lillete Dubey,162,Hindi,PG,7.8,2.35,16000
Sally Potter,396035,Yes ,2725,Stephanie Leonidas,48,English,R,6.9,1.85,305
Frank Capra,,You Can't Take It with You ,17799,Lionel Barrymore,133,English,Approved,8.0,1.37,0
Fred Zinnemann,,From Here to Eternity ,33987,Deborah Kerr,150,English,Not Rated,7.8,1.37,0
John Ford,,She Wore a Yellow Ribbon ,11920,Victor McLaglen,90,English,Unrated,7.4,1.37,721
Brad J. Silverman,2507106,Grace Unplugged ,2561,Anthony Reynolds,21,English,PG,6.1,,0
Dave Meyers,6026908,Foolish ,536,Marla Gibbs,13,English,R,4.3,,43
David M. Matthews,2592808,N-Secure ,548,Tempestt Bledsoe,15,English,R,3.5,2.35,588
Nadine Labaki,1060591,Caramel ,9750,Nadine Labaki,66,Arabic,PG,7.2,1.85,0
Lluís Quílez,,Out of the Dark ,2621,Alejandro Furth,18,English,R,4.7,2.35,844
Eytan Fox,155972,The Bubble ,4702,Yousef 'Joe' Sweid,23,Hebrew,Unrated,7.3,,0
Francis Ford Coppola,,The Conversation ,74651,Cindy Williams,313,English,PG,7.9,1.37,6000
Romesh Sharma,129319,Dil Jo Bhi Kahey... ,257,Bhoomika Chawla,4,English,,5.1,,9
François Truffaut,26893,Mississippi Mermaid ,4391,Michel Bouquet,26,French,R,7.2,2.35,278
Adam Goldberg,2580,I Love Your Work ,1618,Nicky Katt,40,English,R,5.4,2.35,63
Travis Zariwny,,Cabin Fever ,3313,Samuel Davis,40,English,Not Rated,3.7,,2000
Zack Snyder,58885635,Dawn of the Dead ,194426,Mekhi Phifer,1057,English,R,7.4,2.35,7000
Adrienne Shelly,19067631,Waitress ,37714,Eddie Jemison,204,English,PG-13,7.1,1.85,0
Newt Arnold,11806119,Bloodsport ,57578,Ken Siu,210,English,R,6.8,1.85,0
Frank Capra,,Mr. Smith Goes to Washington ,77392,Thomas Mitchell,245,English,Not Rated,8.2,1.37,0
Larry Clark,7417210,Kids ,59041,Justin Pierce,408,English,,7.0,1.85,0
Noah Baumbach,7362100,The Squid and the Whale ,60295,Owen Kline,232,English,R,7.4,1.85,0
Charles Herman-Wurmfeld,7022940,Kissing Jessica Stein ,14018,Brian Stepanek,190,English,R,6.7,1.85,682
Yimou Zhang,190666,"A Woman, a Gun and a Noodle Shop ",2410,Dahong Ni,20,Mandarin,R,5.7,2.35,784
John Stockwell,,Kickboxer: Vengeance ,246,Sam Medina,1,,,9.1,,0
Alfred Hitchcock,,Spellbound ,32927,Leo G. Carroll,161,English,Unrated,7.6,1.37,0
Atom Egoyan,5132222,Exotica ,14112,Sarah Polley,83,English,R,7.2,1.85,619
Vincent Gallo,2365931,Buffalo '66 ,36657,Jan-Michael Vincent,318,English,R,7.5,1.85,0
James Wan,53991137,Insidious ,202800,Philip Friedman,752,English,PG-13,6.8,2.35,60000
Alex Cox,,Repo Man ,25332,Miguel Sandoval,148,English,R,6.9,1.85,0
Fabián Bielinsky,1221261,Nine Queens ,38215,Leticia Brédice,125,Spanish,R,7.9,1.85,0
Dror Moreh,2408553,The Gatekeepers ,4547,Yaakov Peri,33,Hebrew,PG-13,7.6,1.85,0
Rebecca Miller,712294,The Ballad of Jack and Rose ,9408,Ryan McDonald,68,English,R,6.7,1.66,608
Maggie Carey,3447339,The To Do List ,29517,Scott Porter,79,English,R,5.8,1.78,0
Roger Avary,418953,Killing Zoe ,17322,Jean-Hugues Anglade,93,English,R,6.5,1.85,853
Henry Bean,406035,The Believer ,30314,Summer Phoenix,159,English,R,7.2,1.66,0
David Gordon Green,402820,Snow Angels ,10896,Tom Noonan,57,English,R,6.9,2.35,415
Simeon Rice,,Unsullied ,95,Malone Thomas,3,English,R,5.5,2.35,307
Brad Anderson,373967,Session 9 ,43839,Larry Fessenden,481,English,R,6.5,2.35,0
Jeff Garlin,194568,I Want Someone to Eat Cheese With ,2963,Joey Slotnick,28,English,R,6.2,1.85,0
Qasim Basir,,Mooz-Lum ,919,Evan Ross,14,English,PG-13,6.7,,0
Adam Green,,Hatchet ,23349,Joel Murray,235,English,R,5.7,1.85,0
Charles Chaplin,163245,Modern Times ,143086,Fred Malatesta,211,English,G,8.6,1.37,0
Pete Jones,119841,Stolen Summer ,2419,Bonnie Hunt,55,English,PG,6.5,1.85,304
Bruce Campbell,173066,My Name Is Bruce ,21379,Timothy Patrick Quill,88,English,R,6.3,1.85,0
Mark Brown,92362,The Salon ,444,Garrett Morris,5,English,PG-13,4.3,1.85,68
Adam Carolla,105943,Road Hard ,1351,David Alan Grier,11,English,,6.1,,212
Ira Sachs,,Forty Shades of Blue ,1134,Darren E. Burrows,26,English,R,6.0,1.85,216
John Sayles,183490,Amigo ,463,Ronnie Lazaro,8,English,R,5.8,,594
Bruce McDonald,3478,Pontypool ,22212,Boyd Banks,142,English,Not Rated,6.7,2.35,0
James Mottern,52166,Trucker ,2792,Matthew Lawrence,22,English,R,6.7,2.35,371
Jaime Zevallos,,Me You and Five Bucks ,7,Michael Elian,,English,,7.6,,132
Rob Zombie,1163508,The Lords of Salem ,20376,Michael Berryman,166,English,R,5.1,2.35,15000
Gerard Johnstone,,Housebound ,23323,Cameron Rhodes,83,English,Not Rated,6.8,2.35,10000
Robert Greenwald,,Wal-Mart: The High Cost of Low Price ,4120,Matt Hunter,70,English,Not Rated,6.8,1.85,0
David Ray,,Fetching Cody ,1232,Kyla Wise,10,English,,6.8,,193
Dave Rodriguez,,Once Upon a Time in Queens ,291,Paul Sorvino,7,English,R,6.3,1.89,283
Nae Caranfil,,Closer to the Moon ,2841,Martin Hancock,13,English,Not Rated,7.1,2.35,0
David Winning,,Mutant World ,459,John DeSantis,10,English,,2.8,,236
Frank Lotito,,Growing Up Smith ,108,Tim Guinee,1,English,PG-13,8.2,1.85,232
Timothy Woodward Jr.,,Checkmate ,735,Michael Paré,18,English,,3.1,2.35,402
Christopher McQuarrie,80033643,Jack Reacher ,226583,David Oyelowo,448,English,PG-13,7.0,2.35,38000
Tara Subkoff,,#Horror ,1547,Lydia Hearst,42,English,Not Rated,3.3,,750
Russell Friedenberg,,Wind Walkers ,133,Kiowa Gordon,2,English,R,3.6,,135
William Cottrell,184925485,Snow White and the Seven Dwarfs ,133348,Lucille La Verne,204,English,Approved,7.7,1.37,0
Lucrecia Martel,304124,The Holy Girl ,2720,María Alche,37,Spanish,R,6.7,1.85,57
Edward Dmytryk,,Shalako ,1978,Honor Blackman,41,English,PG,5.5,2.35,209
Zak Penn,36830,Incident at Loch Ness ,3291,John Bailey,63,English,PG-13,6.6,1.85,400
Alex Ranarivelo,,The Dog Lover ,162,Cullen Douglas,8,English,PG,4.8,2.35,724
Jon Knautz,,Girl House ,4948,Chasty Ballesteros,33,English,,5.5,2.35,969
Mathieu Amalric,231186,The Blue Room ,2082,Laurent Poitrenaux,16,French,R,6.3,1.33,389
David Worth,,House at the End of the Drive ,330,Angela Jones,6,English,R,6.9,,223
Leslie H. Martinson,,Batman: The Movie ,22975,Burt Ward,155,English,Approved,6.5,1.85,0
Guy Ritchie,3650677,"Lock, Stock and Two Smoking Barrels ",414976,Dexter Fletcher,523,English,R,8.2,1.85,21000
Robert M. Young,,The Ballad of Gregorio Cortez ,39,Ned Beatty,2,English,,7.1,,32
,,The Streets of San Francisco             ,3405,,13,English,,7.3,4.0,533
Thomas Vinterberg,1647780,The Celebration ,65951,Trine Dyrholm,258,Danish,R,8.1,1.33,5000
Steve Buscemi,695229,Trees Lounge ,11369,Carol Kane,65,English,R,7.2,1.85,872
Ham Tran,638951,Journey from the Fall ,775,Cat Ly,19,Vietnamese,R,7.4,1.85,100
Rich Cowan,609042,The Basket ,449,Peter Coyote,38,English,PG,6.5,1.85,117
Boris Rodriguez,1521,Eddie: The Sleepwalking Cannibal ,1231,Georgina Reilly,10,English,Not Rated,5.7,,932
Harold Becker,32940507,Mercury Rising ,54316,Carrie Preston,127,English,R,6.1,2.35,0
,,Space: Above and Beyond             ,6381,Kristen Cloke,79,English,,7.7,1.33,963
Sadyk Sher-Niyaz,,Queen of the Mountains ,3144,Mirlan Abdulayev,24,English,PG-13,8.7,2.35,0
Paul Donovan,,Def-Con 4 ,1339,Tim Choate,46,English,R,4.3,1.85,220
Jonathan Kesselman,19539,The Hebrew Hammer ,4182,Tony Cox,53,English,R,6.2,1.85,3000
Arjun Sablok,100358,Neal 'N' Nikki ,1167,Samantha McLeod,24,English,,3.3,2.35,66
Craig Moss,,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,Matt Crabtree,42,English,R,2.7,1.85,0
Tyler Oliver,,Forget Me Not ,4866,Christopher Atkins,38,English,R,5.2,2.35,969
Alfred Hitchcock,,Rebecca ,87424,George Sanders,276,English,Not Rated,8.2,1.37,0
Steve Miner,19100000,Friday the 13th Part 2 ,39690,Amy Steel,394,English,R,6.1,1.85,0
Billy Wilder,,The Lost Weekend ,24959,Frank Faylen,136,English,Not Rated,8.0,1.37,0
Douglas Cheek,,C.H.U.D. ,7528,Sam McMurray,88,English,R,5.5,1.85,0
Youssef Delara,2833383,Filly Brown ,910,Jorge Diaz,11,English,R,5.7,2.35,0
Deryck Broom,,The Lion of Judah ,458,Anupam Kher,3,English,PG,3.7,1.78,381
Henry Hathaway,,Niagara ,11047,Will Wright,116,English,Approved,7.1,1.37,1000
John Ford,,How Green Was My Valley ,15840,Barry Fitzgerald,124,English,Approved,7.8,1.37,0
,,The Girlfriend Experience             ,3282,Paul Sparks,17,English,TV-MA,7.3,,632
Spike Lee,,Da Sweet Blood of Jesus ,794,Felicia Pearson,9,English,,4.1,2.35,447
Steven Soderbergh,24741700,"Sex, Lies, and Videotape ",37785,Steven Brill,95,English,R,7.2,1.85,2000
James Wan,55153403,Saw ,299127,Shawnee Smith,1509,English,R,7.7,1.85,0
Jay Chandrasekhar,18488314,Super Troopers ,76151,Jay Chandrasekhar,333,English,R,7.1,1.85,0
Giovanni Zelko,,The Algerian ,101,Ben Youcef,1,English,,7.6,1.85,221
Claudia Sainte-Luce,11278,The Amazing Catfish ,1229,José Manuel Orozco Angulo,2,Spanish,,7.0,,407
Scott Derrickson,79363785,The Day the Earth Stood Still ,139426,Juan Riedinger,698,English,PG-13,5.5,2.35,0
Mira Nair,13876974,Monsoon Wedding ,19397,Lillete Dubey,214,Hindi,R,7.4,1.85,0
Kenneth Lonergan,9180275,You Can Count on Me ,22145,Gaby Hoffmann,231,English,R,7.7,1.85,756
Alfred Hitchcock,,The Trouble with Harry ,24891,Royal Dano,150,English,Approved,7.2,1.5,0
Paul McGuigan,22494487,Lucky Number Slevin ,262160,Dorian Missick,507,English,R,7.8,2.35,10000
Jamie Babbit,2199853,But I'm a Cheerleader ,19986,Eddie Cibrian,186,English,R,6.6,1.85,0
David Boyd,2859955,Home Run ,2417,Scott Elrod,32,English,PG-13,6.0,2.35,0
Quentin Tarantino,2812029,Reservoir Dogs ,664719,Chris Penn,931,English,R,8.4,2.35,19000
Walter Lang,,The Blue Bird ,1047,Gale Sondergaard,25,English,Approved,6.5,1.37,548
Sergio Leone,6100000,"The Good, the Bad and the Ugly ",503509,Enzo Petito,780,Italian,Approved,8.9,2.35,20000
Anna Muylaert,375723,The Second Mother ,7025,Luis Miranda,26,Portuguese,R,7.9,2.35,0
Steve Taylor,594904,Blue Like Jazz ,2582,Eric Lange,89,English,PG-13,6.0,1.85,0
Kurt Voss,58936,Down and Out with the Dolls ,91,Zoë Poledouris,4,English,R,6.1,1.78,27
Léa Pool,24784,"Pink Ribbons, Inc. ",591,,10,English,Not Rated,7.4,,5000
James David Pasternak,7826,Certifiably Jonathan ,132,Jonathan Winters,2,English,,6.2,,87
Laurent Bouhnik,,Q ,4068,Yassine Azzouz,16,French,,5.6,1.78,754
Tom Sanchez,3830,The Knife of Don Juan ,27,Juan Carlos Montoya,1,Spanish,,7.2,,75
David Caffrey,,Grand Theft Parsons ,2953,Jim Cody Williams,38,English,PG-13,6.1,1.85,480
Adam Jay Epstein,,Extreme Movie ,9560,Vanessa Lee Chester,35,English,R,3.8,1.85,636
Michael Curtiz,,The Charge of the Light Brigade ,3418,Spring Byington,52,English,Approved,7.1,1.37,204
Justin Thomas Ostensen,,Below Zero ,652,Michael Eisner,11,English,R,4.5,,161
Brenton Spencer,,Crowsnest ,1321,Chelsey Reist,51,English,R,3.8,,238
Rob Bowman,2850263,Airborne ,5061,Brittney Powell,70,English,PG,6.2,1.85,0
Ossie Davis,,Cotton Comes to Harlem ,1172,Calvin Lockhart,27,English,R,6.6,1.85,477
Jay Alaimo,,The Wicked Within ,742,Patrick Muldoon,7,English,R,4.6,,479
Dylan Bank,,Bleeding Hearts ,71,Dustin Diamond,2,English,,4.2,,242
Rob McKittrick,16101109,Waiting... ,76467,Vanessa Lengies,236,English,R,6.8,1.85,0
Shane Meadows,6013,Dead Man's Shoes ,39929,George Newton,207,English,,7.7,1.85,0
,,Wolf Creek             ,726,Lucy Fry,6,English,,7.1,2.0,954
Jeff Burr,1400000,From a Whisper to a Scream ,1324,Susan Tyrrell,37,English,R,5.9,1.85,241
Harry Gantz,247740,Sex with Strangers ,285,,8,English,,4.7,1.33,51
Guy Maddin,39659,Dracula: Pages from a Virgin's Diary ,1555,Brent Neale,32,English,,7.0,1.85,131
Regardt van den Bergh,,Faith Like Potatoes ,2050,Jeanne Neilson,36,Zulu,PG,6.9,1.85,0
Panos Cosmatos,56129,Beyond the Black Rainbow ,6555,Eva Bourne,82,English,R,6.1,2.35,0
Gareth Evans,4105123,The Raid: Redemption ,148221,Donny Alamsyah,316,Indonesian,R,7.6,1.85,51000
Matthew R. Anderson,,The Dead Undead ,737,Matthew R. Anderson,15,English,R,3.0,1.85,444
Joe Marino,,The Vatican Exorcisms ,332,Joe Marino,10,English,R,2.6,2.35,200
Michael Curtiz,,Casablanca ,387508,Conrad Veidt,1123,English,PG,8.6,1.37,23000
Joel Anderson,,Lake Mungo ,9465,Martin Sharpe,85,English,R,6.1,1.85,0
Shimit Amin,,Rocket Singh: Salesman of the Year ,11010,Gauhar Khan,35,Hindi,,7.5,,773
Douglas Trumbull,,Silent Running ,20678,Jesse Vint,199,English,GP,6.7,1.85,0
John G. Avildsen,117235247,Rocky ,375240,Carl Weathers,542,English,PG,8.1,1.33,0
Mona Fastvold,,The Sleepwalker ,512,Gitte Witt,2,English,Not Rated,4.9,2.35,234
John Carpenter,21378000,The Fog ,46493,Janet Leigh,335,English,R,6.8,2.35,7000
Tony Richardson,,Tom Jones ,8508,Hugh Griffith,56,English,Unrated,6.8,1.37,328
Levan Gabriadze,31537320,Unfriended ,44329,Heather Sossaman,309,English,R,5.7,1.85,13000
Martin Scorsese,,Taxi Driver ,507063,Peter Boyle,881,English,R,8.3,1.85,35000
Joe Dante,17986000,The Howling ,22773,Dee Wallace,195,English,R,6.6,1.85,0
Terence Young,16067035,Dr. No ,116642,Lois Maxwell,389,English,Approved,7.3,1.37,5000
Bradley Parker,18112929,Chernobyl Diaries ,52642,Jonathan Sadowski,271,English,R,5.0,1.85,24000
Clive Barker,14564027,Hellraiser ,76407,Clare Higgins,335,English,R,7.0,1.85,0
Harold Cronk,20773070,God's Not Dead 2 ,4501,Maria Canals-Barrera,102,English,PG,3.4,2.35,0
Jeff Wadlow,10042266,Cry_Wolf ,23021,Lindy Booth,220,English,PG-13,5.9,2.35,816
Takao Okawara,10037390,Godzilla 2000 ,5442,Sakae Kimura,140,Japanese,PG,6.0,2.35,339
Derek Cianfrance,9701559,Blue Valentine ,141425,John Doman,283,English,R,7.4,1.66,25000
Duncan Tucker,9013113,Transamerica ,36321,Paul Borghese,230,English,R,7.4,1.85,0
William Brent Bell,53245055,The Devil Inside ,30570,Brian Johnson,290,English,R,4.2,1.85,12000
Russ Meyer,9000000,Beyond the Valley of the Dolls ,7584,Harrison Page,137,English,X,6.2,2.35,0
Robert D. Webb,,Love Me Tender ,2636,Debra Paget,36,English,,6.2,2.35,365
Davis Guggenheim,23808111,An Inconvenient Truth ,67654,,504,English,PG,7.5,1.85,0
Allan Dwan,,Sands of Iwo Jima ,7346,Forrest Tucker,69,English,Approved,7.2,1.37,624
Martin Scorsese,5355376,Shine a Light ,9638,Albert Maysles,67,English,PG-13,7.2,1.85,0
Eli Roth,7186670,The Green Inferno ,21468,Magda Apanowicz,164,English,R,5.4,2.35,12000
Andrew Steggall,,Departure ,162,Niamh Cusack,5,English,,7.0,1.85,75
Ben Lewin,5997134,The Sessions ,36381,Rhea Perlman,126,English,R,7.2,1.85,11000
Robert Kenner,4417124,"Food, Inc. ",42389,Barbara Kowalcyk,183,English,PG,7.9,1.78,37000
Andrew Erwin,5355847,October Baby ,6110,Jason Burkey,82,English,PG-13,6.8,,0
Brad Anderson,3386698,Next Stop Wonderland ,4195,Holland Taylor,86,English,R,6.7,1.85,392
Jason Reitman,143492840,Juno ,414345,Rainn Wilson,881,English,PG-13,7.5,1.85,10000
Craig Johnson,5283379,The Skeleton Twins ,31254,Kathleen Rose Perkins,79,English,R,6.8,2.35,0
Sean Durkin,2981638,Martha Marcy May Marlene ,40425,Brady Corbet,186,English,R,6.9,2.35,0
Gillian Robespierre,3122616,Obvious Child ,16594,Jake Lacy,73,English,R,6.8,2.35,0
Courtney Hunt,2508841,Frozen River ,21746,Misty Upham,93,English,R,7.2,1.85,0
Morgan Neville,4946250,20 Feet from Stardom ,9540,Merry Clayton,80,English,PG-13,7.4,1.78,14000
James Toback,1950218,Two Girls and a Guy ,5933,Angel David,102,English,R,5.6,1.85,387
Nicole Holofcener,1277257,Walking and Talking ,2629,Vincent Pastore,32,English,R,6.8,1.85,227
Peter Cattaneo,45857453,The Full Monty ,82232,Lesley Sharp,174,English,R,7.2,1.85,0
Chris Paine,1677838,Who Killed the Electric Car? ,11283,Colette Divine,155,English,PG,7.7,1.75,0
Greg Berlanti,1744858,The Broken Hearts Club: A Romantic Comedy ,6084,Mary McCormack,120,English,R,7.0,2.35,671
Don Coscarelli,,Bubba Ho-Tep ,38893,Ella Joyce,366,English,R,7.2,1.85,0
Rob Letterman,80021740,Goosebumps ,47988,Ken Marino,154,English,PG,6.4,2.35,35000
Marc Levin,982214,Slam ,1976,Bonz Malone,51,English,R,7.2,1.85,603
Richard Dutcher,798341,Brigham City ,983,Rick Macy,63,English,PG-13,7.2,1.85,100
Khalid Mohamed,610991,Fiza ,2715,Jaya Bhaduri,19,Hindi,,6.2,2.35,92
Mel Brooks,,History of the World: Part I ,36559,Dom DeLuise,131,English,R,6.9,2.35,0
Trey Parker,582024,Orgazmo ,30396,Matt Stone,168,English,NC-17,6.2,1.85,0
David Gordon Green,548712,All the Real Girls ,9233,Shea Whigham,126,English,R,6.9,2.35,571
Finn Taylor,464655,Dream with the Fishes ,1524,Kathryn Erbe,29,English,R,7.0,1.85,166
Karen Moncrieff,464126,Blue Car ,3142,A.J. Buckley,68,English,R,6.7,1.85,115
José Luis Valenzuela,428535,Luminarias ,505,Robert Beltran,32,English,R,3.6,,24
Gia Coppola,750100,Palo Alto ,19752,Olivia Crocicchia,61,English,R,6.3,1.85,0
Scandar Copti,621240,Ajami ,4999,Ranin Karim,32,Arabic,,7.4,1.85,0
Goran Dukic,104077,Wristcutters: A Love Story ,46076,Chase Ellison,88,English,R,7.4,1.78,11000
Mike Cahill,334658,I Origins ,75633,Venida Evans,160,English,R,7.3,2.39,32000
Efram Potelle,279282,The Battle of Shaker Heights ,3806,Kathleen Quinlan,49,English,PG-13,6.1,1.85,150
Peter Jackson,43982842,The Lovely Bones ,125114,Tom McCarthy,593,English,PG-13,6.7,2.35,16000
Joshua Oppenheimer,484221,The Act of Killing ,23836,Syamsul Arifin,107,Indonesian,Not Rated,8.2,1.85,20000
Alex Gibney,274661,Taxi to the Dark Side ,10564,Greg D'Agostino,40,English,R,7.7,1.85,0
Paul Crowder,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,Ahmet Ertegun,13,English,PG-13,7.3,1.85,587
Rohit Jagessar,227241,Guiana 1838 ,56,Aasheekaa Bathija,2,English,Unrated,7.4,,32
Griffin Dunne,112521,Lisa Picard Is Famous ,455,Melissa Gilbert,16,English,PG-13,5.7,,25
Anthony Powell,287761,Antarctica: A Year on Ice ,2482,Anthony Powell,16,English,PG,7.6,1.85,0
Kief Davidson,100240,A Lego Brickumentary ,1220,Jason Bateman,11,English,G,6.8,,0
Johnny Remo,96734,Hardflip ,606,Raquel Elizabeth Ames,5,English,PG-13,5.6,1.85,706
Vivek Agnihotri,49000,Chocolate: Deep Dark Secrets ,1524,Sunil Shetty,30,Hindi,,4.8,,31
Ti West,100659,The House of the Devil ,30160,Dee Wallace,193,English,R,6.4,1.85,0
Nick Tomnay,48430,The Perfect Host ,20176,Nathaniel Parker,73,English,R,6.8,1.85,0
John Hamburg,21210,Safe Men ,2735,Josh Pais,52,English,R,6.1,1.85,157
Nickolas Perry,,Speedway Junky ,1434,Adrienne Frantz,43,English,R,5.2,,27
Dan Zukovic,22434,The Last Big Thing ,334,James Lorinz,17,English,R,6.9,1.85,43
Craig Mazin,12996,The Specials ,1938,Jamie Kennedy,54,English,R,6.0,1.85,210
Becky Smith,,16 to Life ,397,Hallee Hirsh,6,English,,6.3,1.78,143
Eric Nicholas,10018,Alone with Her ,3228,Jonathon Trent,31,English,Not Rated,6.1,1.85,244
Benjamin Dickinson,62480,Creative Control ,1048,Meredith Hagner,7,English,R,5.5,2.39,793
Hal Haberman,6387,Special ,4862,Ian Bohen,37,English,R,6.9,1.85,0
Darren Stein,5494,Sparkler ,377,Veronica Cartwright,13,English,R,5.6,,17
A. Raven Cruz,,The Helix... Loaded ,534,Jennifer Sky,9,English,R,1.9,1.78,128
Brian Trenchard-Smith,721,In Her Line of Fire ,783,Jesse Hutch,12,English,R,4.1,1.85,42
Frank Whaley,703,The Jimmy Show ,480,Heather Bucha,21,English,R,5.4,1.85,47
Amat Escalante,,Heli ,3499,Gabriel Reyes,15,Spanish,Not Rated,6.8,1.85,0
Wajahat Rauf,,Karachi se Lahore ,876,Javed Sheikh,15,Urdu,,7.0,,259
Katherine Brooks,,Loving Annabelle ,9190,Laura Breckenridge,75,English,Not Rated,6.7,1.85,501
David Cross,,Hits ,1359,Amy Sedaris,8,English,,5.8,1.78,903
Randall Rubin,,Jimmy and Judy ,1420,James Eckhouse,26,English,R,6.2,,138
Robert Bennett,,Frat Party ,1612,Alicia Ziegler,28,English,R,2.8,16.0,297
Guy Hamilton,,The Party's Over ,340,Louise Sorel,7,English,,7.3,1.37,32
Mary Pat Kelly,,Proud ,275,Janet Hubert,22,English,PG,5.8,,141
Lori Petty,,The Poker House ,3943,Bokeem Woodbine,24,English,R,6.5,1.85,599
Charlie Levi,,Childless ,33,Diane Venora,,English,R,6.1,,3
Kevin Hamedani,,ZMD: Zombies of Mass Destruction ,3650,Kevin Hamedani,39,English,R,5.1,1.85,0
David DeCoteau,,Snow White: A Deadly Summer ,634,Tim Abell,14,English,PG-13,2.2,1.78,150
Mikel Rueda,,Hidden Away ,955,Joseba Ugalde,7,Spanish,Unrated,7.2,2.35,68
Stefan C. Schaefer,,My Last Day Without You ,982,Reg E. Cathey,12,English,,5.7,1.66,370
Michael Taliferro,,Steppin: The Movie ,293,Chrystee Pharris,1,English,PG-13,3.4,,41
David DeCoteau,,Doc Holliday's Revenge ,93,Randy Jay Burrell,6,English,PG-13,3.8,1.78,54
Katie Aselton,,Black Rock ,6531,Jay Paulson,47,English,R,4.7,1.85,0
Robert Heath,,Truth or Die ,6513,Jennie Jacques,41,English,Not Rated,5.6,2.35,968
D. Stevens,,The Pet ,425,Summer Napoles,24,English,,3.9,,91
Jeffrey St. Jules,,Bang Bang Baby ,137,Kristian Bruun,16,English,,5.4,,48
Robert Hall,,Fear Clinic ,6256,Fiona Dourif,19,English,R,5.2,2.35,936
K. King,,Zombie Hunter ,2057,Jarrod Phillips,30,English,Not Rated,3.5,2.35,0
Jonathan Meyers,,A Fine Step ,207,Leonor Varela,1,,PG,5.3,,212
Danny Boyle,2319187,Trance ,92640,Tuppence Middleton,212,English,R,7.0,2.35,23000
Ralph Nelson,,Charly ,4998,Claire Bloom,55,English,PG,7.1,2.35,785
Blair Erickson,,Banshee Chapter ,6265,Michael McMillian,56,English,R,5.5,,2000
,,Jesse             ,954,Bruno Campos,14,English,,5.9,,57
Allison Burnett,,Ask Me Anything ,7870,Cathryn de Prume,64,English,Not Rated,6.0,,884
Richard Schenkman,,And Then Came Love ,443,Eartha Kitt,4,English,,4.8,,42
Sanjay Rawal,,Food Chains ,265,Eve Ensler,3,English,,7.1,,489
Elia Kazan,9600000,On the Waterfront ,100890,Rod Steiger,281,English,Not Rated,8.2,1.85,0
Kat Coiro,20186,L!fe Happens ,6025,Kristen Johnston,15,English,R,5.7,2.35,995
