duration,actor_2_name,actor_1_facebook_likes,actor_1_name,actor_3_name,actor_2_facebook_likes,aspect_ratio
87,Cecilia Pillado,968,Clifton Collins Jr.,David Masterson,625,2.35
94,Emmanuel Kabongo,1000,Natasha Lyonne,Mark Webber,677,
120,Harry Lennix,1000,Bernie Mac,Andre Braugher,748,1.85
101,Max Ryan,973,Marc Blucas,Justine Waddell,872,2.35
84,Patrick Fischler,586,Anthony 'Citric' Campos,David Herman,497,1.85
110,Kevin Leslie,490,Simon Merrells,Kris Sommerville,159,
101,Joseph Gilgun,1000,Stephen Graham,Jack O'Connell,788,1.85
101,Sean Pertwee,844,Julian Glover,Bianca Brigitte VanDamme,722,2.35
101,Basil Rathbone,675,Esther Williams,Red Skelton,659,1.37
105,Aimee Garcia,847,Jossara Jinaro,Rene Rosado,618,1.85
97,Michael O'Neill,982,Ethan Embry,Alexandra Holden,599,1.85
108,Ava Gardner,960,Agnes Moorehead,Howard Keel,715,1.33
95,Cinda McCain,1000,Tom Skerritt,Luke Perry,646,2.35
108,Ellen Burstyn,2000,Topher Grace,Christopher Heyerdahl,1000,
90,Phil Hartman,11000,Jon Lovitz,Mindy Sterling,516,
120,Deems Taylor,16,Leopold Stokowski,,0,1.37
104,Fernando Rey,813,Roy Scheider,Tony Lo Bianco,165,1.85
90,Sebastian Aguilar,210,Nicole Smolen,Ivette Alvarez,0,
91,Dana Kimmell,72,Richard Brooker,Catherine Parks,31,2.35
92,Melanie Kinnaman,42,Tiffany Helm,Dominick Brascia,27,1.85
117,Louise Fletcher,861,Henry Thomas,A.J. Buckley,425,1.85
120,Delroy Lindo,2000,Alexa PenaVega,Madison Pettis,848,
90,Kayla Ewell,676,Brian Austin Green,Linden Ashby,399,
119,Greer Garson,509,Jessica Tandy,Lionel Barrymore,284,1.37
90,Ethan Peck,1000,Jessica Lowndes,Brad Schmidt,800,
90,Zohra Segal,114,Saeed Jaffrey,Shobu Kapoor,79,1.85
97,James Wolk,3000,Ryan Guzman,Jason Ritter,938,
90,Daniel Kash,371,Rachel Skarsten,Stefanie Drummond,52,1.85
172,Teresa Wright,749,Myrna Loy,Dana Andrews,208,1.37
115,Nick Stahl,730,Kelli Garner,Brad Renfro,648,1.85
89,Per Christian Ellefsen,117,Jørgen Langhelle,Sven Nordin,21,1.85
125,Arturo Castro,128,Michael Derek,Brad Lee Wind,22,2.35
78,Pablo Rosso,120,Manuela Velasco,Carlos Lasarte,9,1.85
89,Martha Higareda,919,Rosie Perez,Cheyenne Haynes,718,1.78
100,David Proval,749,Travis Myers,Carmen Argenziano,354,2.39
77,Michael Chapman,846,Walter Hendrix III,Louise Brealey,366,
81,Maria Doyle Kennedy,412,James Ransone,Shaun O'Hagan,308,2.35
115,Daniela Bianchi,559,Robert Shaw,Lois Maxwell,201,1.37
96,Jessica Dublin,40,Phoebe Legere,Lisa Gaye,30,1.33
60,Alan Autry,480,Carroll O'Connor,Crystal R. Fox,360,1.33
89,John Beck,11000,Woody Allen,Mews Small,66,1.85
100,Ruby Harris,314,Maika Monroe,Jake Weary,189,2.35
88,John Carradine,11000,Woody Allen,Lynn Redgrave,300,1.85
129,Brock Peters,3000,Robert Duvall,William Windom,226,1.85
87,Bruce Spence,745,Vernon Wells,Kjell Nilsson,531,2.35
102,Anita Mui,483,Andy Lau,Ho-Sung Pak,147,2.35
152,Shelley Winters,618,James Mason,Lois Maxwell,367,1.66
118,Brendan Sexton III,173,Alicia Goranson,Jeannetta Arnette,148,1.85
86,Julia Taylor Ross,120,Eric Sheffer Stevens,Adam Trese,44,1.85
137,Ulrich Mühe,380,Sebastian Koch,Martina Gedeck,284,2.35
129,Alex Kendrick,690,Ben Davies,T.C. Stallings,589,2.35
134,Jackie Gleason,654,George C. Scott,Murray Hamilton,491,2.35
119,Spencer Tracy,1000,Hedy Lamarr,Claudette Colbert,760,1.37
80,Charles Linton,23,Michel Robin,Béatrice Bonifassi,6,1.66
89,Irene Bedard,912,Michael Greyeyes,Gary Farmer,752,1.85
101,James Urbaniak,14000,Josh Hutcherson,Daniel Tay,119,1.85
80,Albert Delpy,50,Vernon Dobtcheff,Marie Pillet,8,1.85
115,Jorge Salinas,85,Adriana Barraza,Goya Toledo,79,1.85
100,Sarah Clarke,1000,Holly Hunter,Kip Pardue,482,1.85
118,Celeste Holm,936,Dean Stockwell,John Garfield,297,1.37
100,Shelley Waggener,34000,Jennifer Lawrence,Lauren Sweetser,248,1.85
106,Brendan Mackey,21,Nicholas Aaron,Joe Simpson,5,1.85
106,Don Ameche,480,Tyrone Power,John Carradine,392,1.37
91,Brad William Henke,538,Najarra Townsend,Miranda July,363,1.85
105,George W. Bush,13000,Matt Damon,Barney Frank,125,2.35
96,Emily Ratajkowski,804,Vanessa Lengies,Jonny Weston,625,1.85
116,Gano Grills,251,Henry Silva,Richard Portnow,147,1.85
116,Christian Bale,24000,J.K. Simmons,Noel Gugliemi,23000,1.85
97,Leonor Varela,1000,David Oyelowo,Sydelle Noel,426,1.85
101,Enrico Colantoni,8000,Julia Roberts,Blair Underwood,724,1.85
98,Tawny Kitaen,265,Kathleen Wilhoite,Rose Marie,194,1.85
22,Amy Sedaris,459,Stephen Colbert,Maria Thayer,396,4.0
150,Brian Blessed,597,Julie Christie,Richard Briers,591,2.2
101,Peter Stickles,71,Sook-Yin Lee,Raphael Barker,51,1.78
90,Ronny Dayag,56,Ari Folman,Zahava Solomon,0,1.85
120,Kirby Heyborne,178,Noah Danby,Bruce Newbold,69,1.85
102,Dick Cheney,393,Campbell Scott,Donald Rumsfeld,21,1.85
102,David Fine,10000,Alexander Skarsgård,Austin Lyon,1000,2.35
60,Jon Tenney,11000,Anne Hathaway,Debrah Farentino,289,1.33
100,Buzz Aldrin,168,John F. Kennedy,Neil Armstrong,142,1.85
104,Zoe Kazan,991,Bruce Greenwood,Shirley Henderson,962,1.33
89,Bill Maher,373,Hugh M. Hefner,Linda Lovelace,334,1.85
99,Manny Perez,388,Danny Aiello,Ajay Naidu,159,1.85
96,Bob Balaban,584,Alanna Ubach,Jamie Kennedy,559,
86,Krysta Rodriguez,189,Matt Bennett,Zack Pearlman,131,1.85
98,Isabelle Adjani,1000,Christopher Lambert,Jean-Hugues Anglade,572,2.35
96,Mark Margolis,49000,Robin Williams,Frank Langella,1000,1.85
94,Nathan Parsons,386,Jess Weixler,John Hensley,357,1.85
91,Stephane Gauger,33,Jeffrey Falcon,Kim De Angelo,3,1.85
,Bobby Deol,353,Karisma Kapoor,Shakti Kapoor,89,
90,Neil Maskell,326,Paul Kaye,Kate Magowan,246,2.35
85,Steve Buscemi,22000,Peter Dinklage,Romany Malco,12000,2.35
96,Annette Badland,5000,Bob Hoskins,Karl Collins,497,1.85
129,Caleb Landry Jones,25000,Jeremy Irvine,Matt Craven,463,2.35
60,Colin Ferguson,780,Joe Morton,Salli Richardson-Whitfield,747,1.78
93,Sanjay Mishra,532,Saif Ali Khan,Javed Jaffrey,85,2.35
100,Frank Vincent,584,Vincent Pastore,Chuck Zito,356,1.85
97,Jansen Panettiere,589,Alex Kendrick,Tiya Sircar,488,2.35
94,Jeremy Jordan,10000,Anna Kendrick,Charly Bivona,773,2.35
95,Amy Ryan,529,Merritt Wever,Paul Adelstein,423,1.85
97,Kent McCord,787,Melinda Clarke,Sarah Douglas,196,1.85
92,Chris Evans,26000,Jason Statham,Dane Cook,11000,2.35
96,Kate Burton,363,Brad William Henke,Michelle Hurst,223,1.85
85,Megan Mullally,985,Martin Starr,Chris Penn,637,1.85
87,Michael McLafferty,160,Jordi Vilasuso,Kaiwi Lyman-Mersereau,152,
91,Jack O'Connell,13000,Michael Fassbender,Lorraine Stanley,698,2.35
99,James Kyson,638,Frances Fisher,Marlene Forte,449,1.78
88,James Corden,513,MyAnna Buring,Silvia Colloca,480,2.35
119,Kenneth Nkosi,29,Rapulana Seiphemo,Robert Hobbs,18,2.35
99,Lee Evans,766,Colin Salmon,Ian McNeice,312,2.35
92,Sean Rogerson,253,Mackenzie Gray,Ashleigh Gryzko,113,1.78
86,Tommy Knight,121,Peter McQuinn,Jemma Curran,94,1.85
83,William Lee Scott,413,Daniel Baldwin,Marc Macaulay,167,2.35
81,Tim Rice,674,Alice Cooper,Louis Walsh,27,
82,Charlotte Rae,11000,Woody Allen,Louise Lasser,430,1.37
102,Linus Roache,473,Paul Sheehan,Kathy Uyen,303,
90,Mario Cimarro,601,Nicholas Gonzalez,Ricardo Chavira,453,2.35
30,Tim Daly,685,Steven Weber,Amy Yasbeck,511,1.33
92,Everett Sloane,1000,Rita Hayworth,Ted de Corsia,29,1.37
88,Lew Temple,633,Mircea Monroe,Robert Pine,597,1.78
97,M.C. Gainey,15000,Jake Gyllenhaal,Mark Rolston,284,2.35
96,Saffron Burrows,2000,Noel Gugliemi,Matt Lucas,811,1.85
87,Ben Schwartz,34000,Sunil Narkar,Glenn Howerton,463,2.35
106,Kevin McCarthy,416,Kate Maberly,Paul Williams,403,2.35
107,Curtiss Cook,594,Sally Hawkins,Peter Hermann,591,
80,Lex Barker,16000,Christopher Lee,Karin Dor,57,1.66
91,Powers Boothe,924,Jon Mack,Josh Meyers,472,
99,Zero Mostel,907,Buster Keaton,Phil Silvers,164,1.85
102,Eddie Vedder,909,Michael Moore,Steve Earle,562,
108,Kevin Alejandro,10000,William McNamara,Glenn Morshower,1000,
88,Wray Crawford,680,Trenton Rostedt,Dave Sheridan,418,
89,Bella Heathcote,2000,Kevin Zegers,Tom Arnold,860,
92,Michael Aaron Milligan,11000,Melissa Bolona,James Chalke,1000,
99,Daniel Roebuck,18000,Keanu Reeves,Ione Skye,1000,1.85
103,Anthony Edwards,548,Peter Coyote,Jon Gries,495,2.35
90,Mike 'The Miz' Mizanin,405,Paul McGillion,David Lewis,217,1.78
