num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,budget
103,835,,Casey Affleck,13000,Matt Damon,Gerry ,15104,13000,,0,desert|friend|friendship|minimal dialogue|water,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,3500000
39,5,52,Luke Newberry,766,Olivia Williams,The Heart of Me ,1966,1251,Eleanor Bron,3,1930s|car accident|hospital|marital rape|painter,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,7000000
133,6,935,Josh Charles,7000,Steve Carell,Freeheld ,5863,9660,Luke Grimes,0,cancer|gay bar|lesbian kiss|partner|public hearing,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,7000000
104,30,281,Marian Seldes,474,Lynn Cohen,The Extra Man ,4124,2029,Dan Hedaya,4,co worker|escort|magazine|teacher|writer,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,7000000
121,23,0,Yuriy Tsurilo,4,Leonid Yarmolnik,Hard to Be a God ,2518,8,Valentin Golubenko,0,fictional war|hanging|male full frontal nudity|medieval times|nudity,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,7000000
27,0,410,Mike Starr,26000,Chris Hemsworth,Ca$h ,7663,27756,Paul Sanchez,2,cash|financial problem|heist|land rover|mortgage,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,7000000
49,554,530,Julie Walters,876,Emily Watson,Wah-Wah ,2670,2544,Miranda Richardson,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,7000000
100,78,184,David Della Rocco,12000,Norman Reedus,The Boondock Saints ,197845,12680,Bob Marley,2,fbi|fbi agent|friend|irish|mafia,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,7000000
12,4,4,Louis Koo,91,Michael Wong,Z Storm ,383,198,Stephen Au,1,,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,7000000
112,0,507,Bruce Dern,1000,Alden Ehrenreich,Twixt ,8589,3150,Joanne Whalley,0,ghost|hotel|murder|stake|what happened to epilogue,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,7000000
10,0,26,Wendee Lee,99,Erin Fitzgerald,Snow Queen ,1159,218,Ivan Okhlobystin,1,3d,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,7000000
2,24,29,Kate Higgins,122,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,236,Cindy Robinson,0,blindness|cave|spirit|wolf|wolf cub,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,7000000
38,16000,240,Chris Penn,16000,Clint Eastwood,Pale Rider ,39451,17209,Sydney Penny,0,gold|miner|preacher|prospector|sheriff,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,6900000
18,49,687,Christopher Judge,878,Ben Browder,Stargate: The Ark of Truth ,15862,4334,Julian Sands,5,2000s|evil god|space opera|stargate|wormhole,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,
152,0,787,Adam Goldberg,14000,Milla Jovovich,Dazed and Confused ,120036,18643,Cole Hauser,1,football|hazing|high school|last day of school|pledge,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,6900000
44,197,578,Corbin Bleu,755,Lucas Grabeel,High School Musical 2 ,39786,3009,Olesya Rulin,5,2000s|basketball|country club|lifeguard|talent show,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,7000000
6,16,63,Justin Edward Seale,149,Gordon Pinsent,Two Lovers and a Bear ,33,414,John Ralston,0,,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,8700000
46,0,493,Edi Gathegi,15000,Rex Baker,Criminal Activities ,5255,17377,Travis Aaron Wade,3,african american gangster|falling to death|in over one's head|murder|surveillance,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,7000000
63,4,36,Johanna Wokalek,177,Heike Makatsch,Aimee & Jaguar ,5153,333,Maria Schrader,1,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,15000000
74,3,436,John Heard,710,Rory Culkin,The Chumscrubber ,16299,2119,Tim DeKay,1,chumscrubber|death|friend|pills|school,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,6800000
25,0,83,Jason Cerbone,240,Glenn Plummer,Shade ,10771,490,Mark De Alessandro,8,bar|strip club|stripper|texas hold 'em|thong,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,6800000
224,13,261,Nolan Gerard Funk,34000,Jennifer Lawrence,House at the End of the Street ,58366,35717,Gil Bellows,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,6900000
226,777,58,Mélissa Désormeaux-Poulin,131,Lubna Azabal,Incendies ,80429,343,Ahmad Massad,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,6800000
36,125,11,Silvio Muccino,60,Laura Morante,Remember Me, My Love ,3548,132,Giulia Michelini,1,box office hit|dancer|sex scene|television|underage sex,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,5000000
54,11,415,Brendan Coyle,1000,Jim Broadbent,Perrier's Bounty ,5133,2728,Michael McElhatton,8,burglary|estranged father|money|neighbor|thug,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,
142,294,15,Fernanda Machado,585,Wagner Moura,Elite Squad ,81644,666,André Ramiro,1,brazil|military police|police|rio de janeiro brazil|slum,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,4000000
271,40,300,Annabelle Wallis,1000,Alfre Woodard,Annabelle ,81699,2323,Gabriel Bateman,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,6500000
33,3,38,Magda Szubanski,46,Deborah Mailman,Bran Nue Dae ,1388,225,Jessica Mauboy,7,australia|journey|love|priest|traveling,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,6500000
64,309,15,Lloyd Avery II,27,John Cothran,Boyz n the Hood ,94139,106,Na'Blonka Durden,2,drugs|escape|football|friend|violence,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,6000000
18,7,51,Rosanna DeSoto,699,Esai Morales,La Bamba ,21409,936,Danielle von Zerneck,1,crash|hispanic|interracial relationship|interracial romance|racism,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,6500000
6,0,146,Len Cariou,804,Rita Moreno,The Four Seasons ,3157,1285,Sandy Dennis,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,
121,0,517,David Margulies,754,Angie Dickinson,Dressed to Kill ,23986,2442,Nancy Allen,0,apartment|elevator|murder|psychiatrist|sunglasses,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,6500000
14,208,689,Frances Conroy,876,Curtis Armstrong,The Adventures of Huck Finn ,6384,4840,Anne Heche,0,boy|lesson|mississippi river|river|slave,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,6500000
137,218,376,Jay Mohr,900,Sarah Polley,Go ,59474,2475,Scott Wolf,3,drug deal|drugs|sex|sex on stairs|strip club,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,6500000
111,132,180,Marin Hinkle,435,Greg Germann,Friends with Money ,19715,1140,Jake Cherry,2,friend|friendship|marital problem|money problems|nervous breakdown,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,6500000
57,338,45,Paula Kelly,116,David Wayne,The Andromeda Strain ,25857,394,Eric Christmas,0,alien|baby|new mexico|satellite|scientist,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,6500000
97,38,91,Bob Gunton,730,Leon,Bats ,8294,1405,Ned Bellamy,0,animal attack|bat|creature feature|experiment|mad scientist,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,6500000
73,11,8,Juliane Köhler,56,Merab Ninidze,Nowhere in Africa ,10672,105,Matthias Habich,0,breasts|farm|jew|kenya|tween girl,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,7000000
486,0,726,Nicole Beharie,13000,Michael Fassbender,Shame ,145395,15230,James Badge Dale,0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,6500000
149,905,466,Sally Hawkins,27000,Tom Hardy,Layer Cake ,134070,29277,Jamie Foreman,1,cake|cocaine|drugs|pills|serbian,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,4000000
4,0,266,Eric Johnson,1000,Emily Podleski,The Work and the Glory II: American Zion ,564,1942,Brenda Strong,2,estrangement|missouri|mormon|mormon church|mormon temple,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,6500000
200,129,782,Julia Ormond,10000,Alexander Skarsgård,The East ,41856,13180,Jason Ritter,4,anarchist|corporation|greedy institution|vomiting|watching television,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,6500000
84,15,874,Matt Frewer,18000,Robin Wright,A Home at the End of the World ,12049,21107,Sissy Spacek,2,hand job|hugging|long hair|new york city|two men one woman,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,6500000
28,19,0,Sara-Marie Maltha,844,Charlotte Rampling,Aberdeen ,2601,846,Stellan Skarsgård,0,death|ferry|lawyer|norway|vomiting,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,6500000
217,38,706,Yaya DaCosta,12000,Steve Buscemi,The Messenger ,29608,14462,Eamonn Walker,0,captain|casualty notification|casualty notification team|sergeant|staff sergeant,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,6500000
12,9,368,Jed Brophy,1000,Ray Winstone,Tracker ,2892,1904,Temuera Morrison,0,one word title,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,6500000
183,210,471,Samantha Morton,845,Sam Riley,Control ,51353,2614,Alexandra Maria Lara,1,band|employment agency|singer|stage fright|suicide,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,4500000
204,0,255,Brian Thompson,2000,Michael Biehn,The Terminator ,600266,3582,Paul Winfield,1,cyborg|future war|robot|shootout in a police station|urban setting,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,6500000
153,31,43,Chulpan Khamatova,65,Florian Lukas,Good Bye Lenin! ,114407,200,Burghart Klaußner,2,coma|east germany|german democratic republic|germany|heart attack,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,4800000
145,0,27,Mark Bazeley,1000,Stephen Graham,The Damned United ,32307,1163,Maurice Roëves,2,cup|derby county|flashback|football|leeds united,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,10000000
203,228,358,Clu Gulager,431,Linnea Quigley,The Return of the Living Dead ,39856,2020,Beverly Randolph,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,4000000
10,,5,Fortunato Cerlino,18,Maria Pia Calzone,Gomorrah             ,9638,39,Marco D'Amore,5,,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,
93,0,781,Jason Mewes,1000,Ethan Suplee,Mallrats ,99033,3254,Joey Lauren Adams,6,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,6000000
124,116,898,Stockard Channing,1000,Olivia Newton-John,Grease ,170027,5127,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,6000000
120,0,576,Tom Berenger,40000,Johnny Depp,Platoon ,291603,42028,Kevin Dillon,0,1960s|famous score|hero|vietnam|vietnam war,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,6000000
288,909,282,Stevie Wonder,503,Osama bin Laden,Fahrenheit 9/11 ,113152,1448,Ricky Martin,0,anti war|interview|iraq|paranoia|war on terrorism,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,6000000
130,131,399,Ted Cassidy,640,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1,bolivia|gang|outlaw|posse|train,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,6000000
145,55,266,Glynis Johns,382,Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,6000000
62,0,535,Elizabeth McGovern,2000,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,6000000
188,153,447,Steve Coogan,1000,Jim Broadbent,Around the World in 80 Days ,68722,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,110000000
120,34,249,George Chakiris,804,Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,6000000
71,11000,484,Rodney Dangerfield,13000,Bill Murray,Caddyshack ,81599,14921,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,6000000
52,10,578,Tatyana Ali,3000,Julie Benz,The Brothers ,3198,6419,Jenifer Lewis,4,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,6000000
18,44,328,Tamala Jones,865,Omar Epps,The Wood ,6585,2724,Richard T. Jones,0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,6000000
162,0,574,Chazz Palminteri,18000,Kevin Spacey,The Usual Suspects ,740918,20821,Kevin Pollak,4,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,6000000
88,81,92,Kelly Jo Minter,321,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,29659,584,Matthew Borlenghi,0,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,8000000
96,12,583,Curtis Armstrong,16000,Ryan Reynolds,Van Wilder: Party Liaison ,89128,19341,Erik Estrada,0,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,6000000
391,0,120,John D'Leo,1000,Mark Margolis,The Wrestler ,251349,1582,Ajay Naidu,0,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,6000000
32,54,332,Lillian Gish,469,Joseph Cotten,Duel in the Sun ,6304,2037,Jennifer Jones,0,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,8000000
119,378,658,Catherine O'Hara,957,John Michael Higgins,Best in Show ,45859,4611,Michael McKean,9,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,6000000
201,0,381,Adrienne Barbeau,742,Donald Pleasence,Escape from New York ,91017,2270,Tom Atkins,1,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,6000000
