num_critic_for_reviews,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,actor_2_facebook_likes,imdb_score,aspect_ratio
122,Steve Buscemi,6200756,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,T.J. Thyne,0,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,English,USA,12000,7.4,1.85
100,Jim Broadbent,1292119,Biography|Drama|Romance,Kate Winslet,Iris ,16768,Kris Marshall,1,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,English,UK,1000,7.1,1.85
24,Avery Schreiber,,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,Angelo Rossitto,0,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,USA,110,3.4,2.35
112,François Berléand,3629758,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,Gérard Jugnot,0,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,France,86,7.9,2.35
67,Luke Kirby,6239558,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,Claudia Ferri,0,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,Canada,210,6.7,1.85
91,Louis Lombardi,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,Franky G,0,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,USA,436,6.6,1.85
103,John Savage,27545445,Drama,Ruby Dee,Do the Right Thing ,2892,Danny Aiello,2,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,USA,652,7.9,1.85
27,Eric Stoltz,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,Joey Lauren Adams,3,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,USA,902,4.9,2.35
205,Kati Outinen,611709,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,Jean-Pierre Darroussin,1,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,Finland,67,7.2,1.85
192,Albert Dupontel,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,Jo Prestia,0,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,France,46,7.4,2.35
72,Hitoshi Matsumoto,22770,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,Shinobu Terajima,0,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,Japan,17,6.1,1.85
33,Steven Mackintosh,2197331,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,Madhavan,0,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,India,227,8.4,2.35
22,John Heard,,Drama,Kim Shaw,Animals ,2030,David Dastmalchian,0,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,USA,697,6.2,2.35
48,Cree Kelly,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,Mike Eshaq,5,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,USA,39,5.3,1.85
65,Ken Marino,766487,Comedy|Romance,Jon Hamm,The Ten ,4883,Ron Silver,4,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,USA,543,5.0,1.85
29,Paddy Considine,18434,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,Shane Meadows,2,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,UK,680,7.7,1.85
284,Synnøve Macody Lund,1196752,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,Julie R. Ølgaard,3,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,Norway,52,7.6,2.39
187,Richard Coyle,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,Bronagh Gallagher,0,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,UK,567,6.3,2.35
47,Adam Butcher,795126,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,Gordon Pinsent,1,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,Canada,259,7.6,1.85
88,Jessica Chastain,,Drama|Romance,Samantha Morton,Miss Julie ,631,Colin Farrell,2,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,Norway,0,5.6,
41,Bill Erwin,,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,George Voskovec,2,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,USA,191,7.3,1.85
24,Bipasha Basu,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,Prateik,0,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,India,282,6.2,
318,Barbara Hershey,83574831,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,Leigh Whannell,0,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,USA,618,6.6,2.35
250,Tony Nappo,87025093,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,Shawnee Smith,0,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,USA,654,6.6,1.85
411,John Gallagher Jr.,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,Sumalee Montano,0,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,USA,338,7.3,2.35
106,Steve-O,64267897,Comedy|Documentary,Bam Margera,Jackass: The Movie ,1770,Chris Pontius,0,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,English,USA,362,6.6,1.85
159,Amiah Miller,56536016,Horror,Billy Burke,Lights Out ,3344,Gabriel Bateman,0,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,English,USA,509,6.9,2.35
251,Sprague Grayden,104007828,Horror,Johanna Braddy,Paranormal Activity 3 ,2371,Christopher Nicholas Smith,0,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,English,USA,438,5.8,1.85
183,Shelley Hennig,50820940,Fantasy|Horror,Lin Shaye,Ouija ,5056,Daren Kagasoff,0,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,English,USA,707,4.4,2.35
131,Heather Langenkamp,44793200,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,1584,Jennifer Rubin,0,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,USA,449,6.6,1.85
297,Allison Tolman,43771291,Mystery|Thriller,Busy Philipps,The Gift ,3215,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,USA,562,7.1,2.35
41,Jessica Lindsey,44456509,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,688,Hugo Stiglitz,1,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Spanish,Mexico,89,7.6,1.85
248,Brendon Eggertsen,53884821,Horror,Matt Shively,Paranormal Activity 4 ,799,Alisha Boe,0,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,English,USA,119,4.6,1.85
42,Jean Simmons,36000000,Drama|History,Richard Burton,The Robe ,1920,Victor Mature,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,USA,422,6.8,2.2
33,Herbert Lom,,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,971,Catherine Schell,0,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,English,UK,278,7.1,2.35
91,Tom Arnold,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,42002,Yaphet Kotto,0,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,English,USA,618,4.9,1.85
185,Bruce Dern,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,11736,Pruitt Taylor Vince,2,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,English,USA,844,7.3,1.85
69,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,20,000 Leagues Under the Sea ,799,Paul Lukas,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,USA,53,7.2,1.37
220,Gloria Sandoval,32453345,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,2161,Molly Ephraim,0,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,USA,358,5.0,1.78
117,Anne Bancroft,,Biography|Drama,Anthony Hopkins,The Elephant Man ,13864,Dexter Fletcher,1,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,USA,754,8.2,2.35
471,Jennifer Garner,27296514,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,17738,Denis O'Hare,0,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,English,USA,3000,8.0,2.35
152,Mark Duplass,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,11771,Donald Glover,0,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,English,USA,830,5.2,2.35
274,Thomas Lennon,25530884,Mystery|Thriller,Callum Rennie,Memento ,1997,Jorja Fox,0,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,USA,651,8.5,2.35
336,Rory Cochrane,27689474,Horror|Mystery,James Lafferty,Oculus ,2071,Garrett Ryan,0,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,English,USA,407,6.5,2.35
174,Jason Mewes,24138847,Comedy,Ethan Suplee,Clerks II ,2990,Brian O'Halloran,3,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,English,USA,898,7.4,1.85
151,Gary Lewis,21994911,Drama|Music,Julie Walters,Billy Elliot ,1122,Jamie Draven,0,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,English,UK,203,7.7,1.85
276,Liam James,21501098,Comedy|Drama,Steve Carell,The Way Way Back ,8375,Jim Rash,1,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,English,USA,468,7.4,1.85
12,Tisha Campbell-Martin,19281235,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,2523,Helen Martin,0,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,English,USA,413,5.1,1.85
18,Jack Thompson,,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,854,Tom Burlinson,0,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,English,Australia,155,7.3,2.35
28,Constance Shulman,19421271,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,2908,Alice Playten,1,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,English,USA,804,5.0,1.33
95,Todd Allen,20733485,Drama,John Beasley,The Apostle ,428,June Carter Cash,1,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,English,USA,130,7.2,1.85
74,Xander Berkeley,,Biography|Drama,Faye Dunaway,Mommie Dearest ,2014,Diana Scarwid,1,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,English,USA,485,6.7,1.85
179,Adam Scott,24809547,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,15710,Steve Coogan,1,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,English,USA,3000,6.4,1.85
125,Tony Curran,19097994,Biography|Drama|Sport,William Hurt,Race ,2410,David Kross,0,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,English,Canada,845,7.1,2.35
22,Monica Calhoun,23031390,Comedy|Drama,Bernie Mac,The Players Club ,2868,Chrystale Wilson,9,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,English,USA,597,5.6,1.85
92,Andrew Keegan,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,3300,John Heard,2,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,English,USA,835,6.2,1.85
196,Edwin Hodge,21197315,Horror|Mystery|Thriller,Ben Feldman,As Above, So Below ,1410,Perdita Weeks,0,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,English,USA,200,6.1,1.85
9,Cameron Mills,17382982,Drama|Thriller,Boris Kodjoe,Addicted ,2840,Sharon Leal,0,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,Spanish,USA,694,5.2,1.85
31,Lynn Whitfield,14821531,Drama,Jurnee Smollett-Bell,Eve's Bayou ,3843,Diahann Carroll,2,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,English,USA,434,7.3,1.85
309,Hunter Parrish,18656400,Drama,Kristen Stewart,Still Alice ,19673,Seth Gilliam,1,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,English,USA,2000,7.5,1.85
15,Peter Ustinov,,Drama|History,Gene Tierney,The Egyptian ,2112,Jean Simmons,0,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,English,USA,440,6.6,2.55
36,Lindsay Wagner,,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,14306,Persis Khambatta,2,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,English,USA,970,6.4,1.85
129,Peter Mark Richman,14343976,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,Scott Reeves,0,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,English,USA,120,4.5,1.85
168,Louis Mandylor,241437427,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,1495,Lainie Kazan,3,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,USA,312,6.6,1.85
444,Heather Morris,14123773,Crime|Drama,James Franco,Spring Breakers ,12306,Rachel Korine,4,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,English,USA,892,5.3,2.35
123,Kim Darby,15126948,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,1227,Mitchell Ryan,0,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,English,USA,152,4.9,1.85
173,Daniel Giménez Cacho,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,361,María Aura,1,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Spanish,Mexico,43,7.7,1.85
246,Dylan Moran,13464388,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,1686,Rafe Spall,6,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,English,UK,427,8.0,2.35
74,Randy Wayne,13350177,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,4856,Haley Bennett,5,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,English,USA,984,3.8,1.85
68,Clifton James,13269963,Drama|Mystery,Matthew McConaughey,Lone Star ,11400,Miriam Colon,2,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,English,USA,189,7.6,2.35
144,Kathleen Kinmont,17768000,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,1136,Ellie Cornell,0,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,English,USA,120,5.9,1.85
96,Deborah Foreman,12947763,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,1160,Clayton Rohner,0,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,English,USA,190,6.2,2.35
42,Daniel Stern,14100000,Comedy|Drama,Steve Guttenberg,Diner ,2943,Ellen Barkin,6,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,English,USA,796,7.2,1.85
29,William Sanderson,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,2383,Robert Beltran,0,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,English,USA,400,6.3,1.85
228,Ryan Robbins,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,1520,Andrew Airlie,0,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,USA,270,5.2,1.33
195,Mary Lynn Rajskub,12055108,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,2528,Paul Dooley,0,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,English,USA,934,6.9,2.35
203,Claire Geare,27285953,Action|Thriller,Sterling Jerins,No Escape ,259,Sahajak Boonthanakit,0,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,English,USA,78,6.8,1.85
44,John Amos,,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,23714,Rip Torn,0,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,English,USA,982,6.2,1.85
14,George Sanders,,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,1332,Finlay Currie,2,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,English,USA,333,6.2,2.2
59,Mike Epps,11675178,Comedy,Fred Willard,Fifty Shades of Black ,2848,Russell Peters,4,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,English,USA,706,3.5,
45,Jenifer Lewis,10572742,Drama|Romance,Eddie Cibrian,Not Easily Broken ,2269,Wood Harris,1,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,English,USA,578,6.1,1.85
42,Helen Hayes,,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,1284,Adolphe Menjou,1,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,English,USA,164,6.6,1.37
12,Brandy Norwood,9658370,Comedy|Romance,Donald Faison,The Perfect Match ,3552,Lauren London,6,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,English,USA,509,4.5,
29,Colleen O'Shaughnessey,9628751,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,315,Mona Marshall,0,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,English,USA,45,5.9,1.85
121,Patrick Fugit,8786715,Comedy|Drama,Macaulay Culkin,Saved! ,5668,Eva Amurri Martino,5,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,English,USA,835,6.9,1.85
135,Stéphane Rousseau,3432342,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,The Barbarian Invasions ,253,Marina Hands,2,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,French,Canada,28,7.7,2.35
27,Denholm Elliott,,Adventure|Drama|Romance,Robert Shaw,Robin and Marian ,1199,Nicol Williamson,10,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,English,USA,249,6.6,1.85
56,Kerr Smith,6755271,Horror|Thriller,Brendan Fehr,The Forsaken ,3004,Izabella Miko,4,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,English,USA,591,5.3,1.85
22,Carl Weathers,,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,13591,Franco Nero,2,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,English,UK,794,6.3,2.35
59,Gedde Watanabe,6157157,Comedy|Drama,Fran Drescher,UHF ,3942,Michael Richards,1,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,English,USA,448,7.0,1.85
61,Joel David Moore,6088249,Comedy,Linda Cardellini,Grandma's Boy ,5202,Shirley Jones,0,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,English,USA,936,7.0,2.35
60,Kevin Corrigan,5480318,Comedy|Drama,Natasha Lyonne,Slums of Beverly Hills ,2691,Jessica Walter,0,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,English,USA,778,6.6,1.85
164,Woody Strode,,Western,Claudia Cardinale,Once Upon a Time in the West ,2589,Jack Elam,1,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,English,Italy,423,8.6,2.35
81,Faizon Love,5308707,Comedy|Crime|Drama|Thriller,Jon Favreau,Made ,5245,Jonathan Silverman,2,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,English,USA,585,6.4,1.85
415,Matt Berry,5009677,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,19404,Benedict Wong,0,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,English,UK,572,7.9,2.35
43,Jami Gertz,4328294,Comedy,Miranda Cosgrove,Keeping Up with the Steins ,5900,Carter Jenkins,0,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,English,USA,847,5.4,1.85
7,Guillaume Denaiffe,4074023,Documentary,Norbert Ferrer,Sea Rex 3D: Journey to a Prehistoric World ,55,Chloe Hollings,0,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,English,UK,0,6.9,1.78
120,Sarah Polley,4306697,Drama,Bruce Greenwood,The Sweet Hereafter ,2820,Simon Baker,0,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,English,Canada,900,7.7,2.35
195,Michael Lonsdale,3950029,Drama,Lambert Wilson,Of Gods and Men ,416,Olivier Rabourdin,0,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,French,France,135,7.2,2.35
109,Freddy Rodríguez,4040588,Comedy|Drama,Alan Rickman,Bottle Shock ,25676,Greg Collins,0,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,English,USA,579,6.8,2.35
21,Tim Thomerson,,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again ,1324,Bess Armstrong,0,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,English,USA,162,6.2,
93,Jed Brophy,3049135,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,Heavenly Creatures ,14574,Liz Mullane,2,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,English,New Zealand,433,7.4,2.35
12,Bobby Batson,4700361,Drama,Hayden Christensen,90 Minutes in Heaven ,6617,Cynthia Barrett,0,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,English,USA,849,4.6,2.35
155,Scott Takeda,2711210,Comedy|Drama,Will Ferrell,Everything Must Go ,10517,Stephen Root,1,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,English,USA,981,6.4,2.35
81,Ryan O'Neal,1980338,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,1209,Angela Featherstone,2,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,English,USA,385,7.0,1.85
204,Jennifer Jason Leigh,1082044,Drama|Thriller,Christian Bale,The Machinist ,24994,Reg E. Cathey,0,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,English,Spain,1000,7.7,2.35
19,Jane Adams,1100000,Crime|Drama,Dana Delany,Light Sleeper ,1201,David Clennon,0,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,English,USA,280,6.8,1.85
163,Paz Vega,2445646,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,Kill the Messenger ,12897,Robert Pralgo,1,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,English,USA,963,7.0,2.35
248,Jon Tenney,2221809,Drama,Dianne Wiest,Rabbit Hole ,1582,Tammy Blanchard,0,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,English,USA,289,7.0,1.85
39,Mia Kirshner,296665,Biography|Crime|Drama|Thriller,Macaulay Culkin,Party Monster ,5185,Marilyn Manson,1,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,English,USA,971,6.3,1.85
322,Mark Webber,3219029,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,1836,Joe Cole,0,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,English,USA,442,7.1,2.35
50,Tim Russ,,Comedy|Drama|Romance,Liza Minnelli,The Oh in Ohio ,1665,Winter Ave Zoli,0,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,English,USA,625,5.6,2.35
12,Greg Germann,830210,Drama|Mystery|Sci-Fi,Joaquim de Almeida,Atlas Shrugged: Who Is John Galt? ,3382,Kristoffer Polaha,0,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,English,USA,435,4.4,
83,Darryl Cox,1040879,Comedy|Crime|Drama,Andrew Wilson,Bottle Rocket ,648,Lumi Cavazos,0,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,English,USA,96,7.1,1.85
37,Joe Mantegna,326308,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,13718,Faye Dunaway,3,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,English,USA,1000,6.1,2.35
16,Bhoomika Chawla,240425,Biography|Drama|History,Akshaye Khanna,Gandhi, My Father ,172,Darshan Jariwala,0,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,Hindi,India,45,7.4,2.35
