num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
81,115,383,James Coburn,Action|Drama|Mystery|Thriller,Eraser ,84424,773,6.1,2.35,0
765,165,265,Christoph Waltz,Drama|Western,Django Unchained ,955174,11000,8.5,2.35,199000
80,91,542,Jason Alexander,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,102933,700,6.9,1.78,0
141,78,253,Wendie Malick,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove ,128285,452,7.3,1.66,0
383,103,13000,Sylvester Stallone,Action|Adventure|Thriller,The Expendables 2 ,246803,13000,6.7,2.35,108000
193,131,341,Armando Riesco,Action|Adventure|Comedy|Family|Mystery,National Treasure ,255447,625,6.9,2.35,0
170,104,203,Ed Speleers,Action|Adventure|Family|Fantasy,Eragon ,108076,762,5.1,2.35,0
333,101,279,Ryan Corr,Adventure|Drama|Family|Fantasy,Where the Wild Things Are ,87677,468,6.8,2.35,11000
256,111,394,Cara Delevingne,Adventure|Family|Fantasy,Pan ,39956,548,5.8,2.35,24000
203,102,120,Emma Kenney,Adventure|Animation|Family|Fantasy,Epic ,85833,151,6.7,2.35,17000
321,103,3000,Angelina Jolie Pitt,Action|Romance|Thriller,The Tourist ,176598,11000,6.0,2.35,25000
174,121,595,Mark Margolis,Action|Fantasy|Horror|Mystery,End of Days ,89509,1000,5.7,2.35,2000
166,143,452,Djimon Hounsou,Adventure|Drama|Thriller,Blood Diamond ,400292,3000,8.0,2.35,14000
606,240,4000,Matthew McConaughey,Biography|Comedy|Crime|Drama,The Wolf of Wall Street ,780588,11000,8.2,2.35,138000
144,121,680,Rene Auberjonois,Action|Adventure|Fantasy,Batman Forever ,190786,710,5.4,1.85,0
192,129,423,Patrick Muldoon,Action|Sci-Fi|War,Starship Troopers ,221521,475,7.2,1.85,0
511,172,1000,Jim Sturgess,Drama|Sci-Fi,Cloud Atlas ,284825,5000,7.5,2.35,124000
188,101,577,Richard Roxburgh,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,65785,653,7.0,2.35,16000
212,87,566,Christopher Heyerdahl,Action|Crime|Fantasy|Romance|Thriller,Catwoman ,87451,825,3.3,2.35,0
245,101,467,Rufus Sewell,Action|Adventure,Hercules ,115687,3000,6.0,2.35,21000
127,95,720,Martin Short,Adventure|Animation|Family|Sci-Fi,Treasure Planet ,71527,770,7.1,1.5,0
167,102,526,Anna Friel,Adventure|Comedy|Sci-Fi,Land of the Lost ,52029,735,5.4,1.85,0
320,131,11000,Sylvester Stallone,Action|Adventure|Thriller,The Expendables 3 ,127258,13000,6.1,2.35,56000
163,114,848,Edgar Ramírez,Action|Crime|Sport|Thriller,Point Break ,33953,897,5.3,2.35,37000
78,94,227,Traylor Howard,Comedy|Family|Fantasy,Son of the Mask ,40751,294,2.2,1.85,881
289,122,571,Benjamin Walker,Action|Adventure|Biography|Drama|History|Thriller,In the Heart of the Sea ,71782,911,7.0,1.85,27000
66,95,683,Randy Quaid,Action|Comedy|Sci-Fi,The Adventures of Pluto Nash ,20295,695,3.8,1.85,416
266,115,95,Sean Huze,Action|Drama|Thriller|War,Green Zone ,110364,537,6.9,2.35,0
208,88,36,Venus Schultheis,Adventure|Animation|Comedy|Family,The Peanuts Movie ,27918,42,7.2,1.85,33000
97,110,393,Felicity Huffman,Drama|Mystery|Thriller,The Spanish Prisoner ,18697,508,7.3,1.85,578
202,130,591,Brendan Fraser,Action|Adventure|Fantasy|Thriller,The Mummy Returns ,248045,3000,6.3,2.35,0
233,216,1000,Liam Neeson,Crime|Drama,Gangs of New York ,314033,14000,7.5,2.35,0
136,146,28,Ni Ni,Drama|History|Romance|War,The Flowers of War ,38690,196,7.6,2.35,13000
154,85,970,Zooey Deschanel,Animation|Comedy|Family|Sport,Surf's Up ,54077,11000,6.8,1.85,0
169,93,465,Matthew Broderick,Comedy|Sci-Fi|Thriller,The Stepford Wives ,49739,2000,5.2,1.85,0
200,152,557,Sam Shepard,Drama|History|War,Black Hawk Down ,292022,820,7.7,2.35,10000
255,85,329,Thomas Middleditch,Comedy,The Campaign ,106790,331,6.2,1.85,18000
173,126,10000,Bruce Willis,Action|Adventure|Sci-Fi,The Fifth Element ,343274,13000,7.7,2.35,18000
221,146,722,Liza Minnelli,Comedy|Drama|Romance,Sex and the City 2 ,59581,740,4.3,1.85,0
82,89,442,Rosie Perez,Adventure|Animation|Comedy|Family|Romance,The Road to El Dorado ,58300,919,6.9,1.85,0
233,88,916,Josh Gad,Adventure|Animation|Comedy|Family,Ice Age: Continental Drift ,145321,1000,6.6,2.35,14000
343,105,502,Derek Jacobi,Drama|Family|Fantasy|Romance,Cinderella ,103737,520,7.0,2.35,56000
308,135,310,AJ Michalka,Drama|Fantasy|Thriller,The Lovely Bones ,125109,560,6.7,2.35,16000
301,100,799,Stephen Root,Adventure|Animation|Comedy|Family,Finding Nemo ,692482,939,8.2,1.85,11000
328,192,416,Billy Boyd,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Return of the King ,1215718,857,8.9,2.35,16000
294,172,857,Orlando Bloom,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Two Towers ,1100446,5000,8.7,2.35,10000
175,102,766,Djimon Hounsou,Action|Adventure|Fantasy,Seventh Son ,54501,3000,5.5,2.35,16000
199,100,240,Noah Taylor,Action|Adventure|Fantasy|Thriller,Lara Croft: Tomb Raider ,157016,509,5.7,2.35,0
355,119,968,Morgan Freeman,Drama|Mystery|Romance|Sci-Fi|Thriller,Transcendence ,172707,11000,6.3,2.35,37000
198,92,527,Trevor Morgan,Action|Adventure|Sci-Fi|Thriller,Jurassic Park III ,219501,595,5.9,1.85,0
529,105,779,David Oyelowo,Action|Drama|Sci-Fi|Thriller,Rise of the Planet of the Apes ,403836,1000,7.6,2.35,47000
198,107,330,Tod Fennell,Adventure|Family|Fantasy,The Spiderwick Chronicles ,68935,419,6.6,2.35,0
412,101,476,Cole Hauser,Action|Thriller,A Good Day to Die Hard ,165618,787,5.3,1.85,66000
106,137,877,Marc Blucas,Drama|History|War|Western,The Alamo ,16832,973,6.0,2.35,701
283,115,55,Craig T. Nelson,Action|Adventure|Animation|Family,The Incredibles ,479166,723,8.0,2.35,0
61,124,810,Frank Langella,Action|Adventure|Comedy,Cutthroat Island ,21102,903,5.6,2.35,1000
217,118,1000,Rosario Dawson,Adventure|Family|Fantasy,Percy Jackson & the Olympians: The Lightning Thief ,141179,3000,5.9,2.35,9000
175,98,602,Rip Torn,Adventure|Comedy|Family|Mystery|Sci-Fi,Men in Black ,403014,826,7.3,1.85,0
191,82,967,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 2 ,385871,1000,7.9,1.85,0
316,98,1000,Rosario Dawson,Action|Thriller,Unstoppable ,149947,3000,6.8,2.35,18000
127,90,141,John Lone,Action|Comedy|Crime|Thriller,Rush Hour 2 ,160440,165,6.6,2.35,0
185,130,568,Amber Valletta,Drama|Fantasy|Horror|Mystery|Thriller,What Lies Beneath ,98403,627,6.6,2.35,0
191,90,56,Bobb'e J. Thompson,Animation|Comedy|Family|Sci-Fi,Cloudy with a Chance of Meatballs ,152601,526,7.0,2.35,0
188,94,117,Maile Flanagan,Action|Adventure|Animation|Comedy|Family,Ice Age: Dawn of the Dinosaurs ,166791,256,7.0,1.85,0
362,114,423,Adrian Martinez,Adventure|Comedy|Drama|Fantasy|Romance,The Secret Life of Walter Mitty ,236421,806,7.3,2.35,70000
181,94,466,LL Cool J,Action|Adventure|Comedy|Crime|Thriller,Charlie's Angels ,145350,1000,5.5,2.35,0
352,151,1000,Matt Damon,Crime|Drama|Thriller,The Departed ,873649,13000,8.5,2.35,29000
143,88,484,Harvey Fierstein,Adventure|Animation|Family|Fantasy|Musical|War,Mulan ,171792,500,7.5,1.66,12000
308,121,918,Steve Coogan,Action|Comedy,Tropic Thunder ,307539,1000,7.0,2.35,0
517,158,585,Goran Visnjic,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo ,330152,1000,7.8,2.35,54000
148,128,489,Aldis Hodge,Action|Adventure|Thriller,Die Hard with a Vengeance ,299258,559,7.6,2.35,0
415,128,727,Eddie Marsan,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes ,477300,979,7.6,1.85,20000
1,141,635,Ayelet Zurer,Adventure|Drama|History,Ben-Hur ,57,745,6.1,2.35,0
146,95,503,Jim Varney,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Atlantis: The Lost Empire ,72591,802,6.8,2.35,0
70,92,1000,Joshua Mikel,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip ,9418,1000,5.0,1.85,0
269,121,919,Tom Wilkinson,Drama|History|Thriller|War,Valkyrie ,183247,1000,7.1,1.85,0
198,113,503,Sayed Badreya,Action|Comedy,You Don't Mess with the Zohan ,156348,600,5.5,1.85,0
253,106,1000,Adam Sandler,Action|Animation|Comedy|Sci-Fi,Pixels ,89770,11000,5.6,2.35,39000
281,146,681,William Hurt,Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence ,238747,882,7.1,1.85,11000
122,88,441,Rachael Harris,Comedy|Family|Fantasy|Horror|Mystery,The Haunted Mansion ,32049,569,4.9,2.35,988
159,150,135,Tom Skerritt,Drama|Mystery|Sci-Fi|Thriller,Contact ,200556,1000,7.4,2.35,15000
180,119,423,Kim Dickens,Action|Horror|Sci-Fi|Thriller,Hollow Man ,101834,624,5.7,1.85,0
227,128,249,George Harris,Crime|Mystery|Thriller,The Interpreter ,86152,249,6.4,2.35,0
183,106,918,Leven Rambin,Adventure|Family|Fantasy,Percy Jackson: Sea of Monsters ,86627,956,5.9,2.35,28000
157,117,3000,Angelina Jolie Pitt,Action|Adventure|Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,102747,11000,5.5,2.35,0
196,129,886,Morgan Freeman,Action|Adventure|Comedy|Crime|Mystery|Thriller,Now You See Me 2 ,40862,11000,6.9,2.35,15000
64,116,84,Michael Byrne,Action|Adventure|Romance|Sci-Fi|Thriller,The Saint ,52136,117,6.2,2.35,0
142,114,307,Stephen Dillane,Action|Crime|Thriller,Spy Game ,121259,577,7.0,2.35,0
181,114,281,Connie Nielsen,Adventure|Sci-Fi|Thriller,Mission to Mars ,60467,933,5.6,2.35,0
240,96,350,Wanda Sykes,Adventure|Animation|Comedy|Family|Musical,Rio ,165333,560,7.0,2.35,19000
93,132,957,Oliver Platt,Comedy|Drama|Sci-Fi,Bicentennial Man ,87785,1000,6.8,1.85,0
84,104,612,Anne Heche,Action|Drama|Sci-Fi|Thriller,Volcano ,58227,643,5.4,1.85,2000
66,111,2000,Brad Pitt,Action|Crime|Drama|Thriller,The Devil's Own ,45602,11000,6.1,2.35,979
136,138,123,Christian Camargo,Drama|History|Thriller|War,K-19: The Widowmaker ,49311,602,6.7,2.35,0
369,100,78,Reg E. Cathey,Action|Adventure|Sci-Fi,Fantastic Four ,110486,360,4.3,2.35,41000
166,129,183,Mako,Adventure|Fantasy,Conan the Barbarian ,113065,691,6.9,2.35,0
201,144,537,Bruce McGill,Biography|Drama|Sport,Cinderella Man ,148238,655,8.0,2.35,0
47,110,554,Nathan Lane,Action|Family|Fantasy|Musical,The Nutcracker in 3D ,2508,886,4.4,2.35,788
175,140,599,Michael Angarano,Drama|History|Sport,Seabiscuit ,57661,947,7.3,2.35,0
114,113,848,Alan Ruck,Action|Adventure|Drama|Thriller,Twister ,144053,946,6.3,2.35,0
187,106,4000,Vin Diesel,Action|Crime|Thriller,The Fast and the Furious ,272223,14000,6.7,2.35,14000
221,143,272,Paul Sanchez,Adventure|Drama|Romance,Cast Away ,394317,410,7.7,1.85,23000
206,108,971,Hugh Jackman,Animation|Comedy|Family|Music|Romance,Happy Feet ,132501,20000,6.5,2.35,0
239,108,129,Joan Allen,Action|Mystery|Thriller,The Bourne Supremacy ,348232,805,7.8,2.35,0
142,124,936,Gary Oldman,Action|Adventure|Drama|Thriller,Air Force One ,146134,10000,6.4,2.35,0
186,116,471,Bernie Mac,Crime|Thriller,Ocean's Eleven ,402645,1000,7.8,2.35,0
228,110,5000,Logan Lerman,Action|Adventure|Romance,The Three Musketeers ,88542,8000,5.8,2.35,19000
256,91,11000,Adam Sandler,Animation|Comedy|Family|Fantasy,Hotel Transylvania ,164148,11000,7.1,1.85,28000
222,107,118,Teala Dunn,Animation|Comedy|Family|Fantasy|Musical|Romance,Enchanted ,142496,142,7.1,2.35,0
103,44,148,Scott Thompson,Crime|Drama|Horror|Mystery|Thriller,Hannibal             ,159910,183,8.6,1.78,59000
298,115,820,Ryan Reynolds,Action|Crime|Mystery|Thriller,Safe House ,166693,16000,6.8,2.35,19000
84,100,439,Eric Idle,Adventure|Comedy|Family,102 Dalmatians ,26413,795,4.8,1.85,372
236,104,535,Gabourey Sidibe,Action|Comedy|Crime,Tower Heist ,110073,906,6.2,2.35,0
157,138,213,Rufus Sewell,Comedy|Romance,The Holiday ,182757,3000,6.9,1.85,19000
81,140,619,Jake Busey,Action|Crime|Drama|Mystery|Thriller,Enemy of the State ,188116,660,7.3,2.35,0
187,120,963,Hunter Parrish,Comedy|Drama|Romance,It's Complicated ,69860,2000,6.6,1.85,0
238,122,11000,Matt Damon,Crime|Thriller,Ocean's Thirteen ,256928,13000,6.9,2.35,0
107,83,624,Debra Messing,Adventure|Animation|Comedy|Family,Open Season ,65270,650,6.2,1.85,863
459,139,1000,Theo James,Adventure|Mystery|Sci-Fi,Divergent ,341058,5000,6.7,2.35,49000
187,131,29,Gabriel Thomson,Drama|History|War,Enemy at the Gates ,188887,35,7.6,2.35,0
151,104,557,Rosario Dawson,Action|Adventure|Comedy|Thriller,The Rundown ,82731,3000,6.7,2.35,0
80,130,330,Tom Noonan,Action|Adventure|Comedy|Fantasy,Last Action Hero ,106528,442,6.2,2.35,0
229,145,210,Mako,Drama|Romance,Memoirs of a Geisha ,119286,691,7.3,2.35,0
158,104,159,Zachery Ty Bryan,Action|Crime|Thriller,The Fast and the Furious: Tokyo Drift ,179500,227,6.0,2.35,0
190,97,561,Imelda Staunton,Adventure|Animation|Comedy|Family|Fantasy,Arthur Christmas ,35446,579,7.1,1.85,0
98,178,551,Brad Pitt,Drama|Fantasy|Romance,Meet Joe Black ,169023,11000,7.1,1.85,10000
135,108,172,Rick Worthy,Action|Drama|Thriller,Collateral Damage ,61417,174,5.5,1.85,941
84,123,87,Ben Vereen,Comedy|Drama|Music|Musical,All That Jazz ,19228,388,7.8,1.85,0
382,106,809,Nathan Lane,Adventure|Comedy|Drama|Family|Fantasy,Mirror Mirror ,70838,886,5.6,1.85,18000
393,112,719,Kieran Culkin,Action|Comedy|Fantasy|Romance,Scott Pilgrim vs. the World ,273921,1000,7.5,1.85,36000
149,135,106,Tchéky Karyo,Action|Adventure|Sci-Fi|Thriller,The Core ,77029,345,5.4,2.35,0
94,109,571,Janet Jackson,Comedy|Romance|Sci-Fi,Nutty Professor II: The Klumps ,39391,592,4.3,1.85,374
138,86,271,Linda Cardellini,Adventure|Comedy|Mystery,Scooby-Doo ,71424,2000,4.9,1.85,0
432,95,20,Jason Cope,Action|Sci-Fi,Dredd ,203458,107,7.1,2.35,46000
173,107,233,Cameron Monaghan,Comedy|Drama|Fantasy|Romance,Click ,246492,1000,6.4,1.85,7000
127,130,602,Hal Holbrook,Comedy|Fantasy|Horror,Creepshow ,29932,826,6.9,1.85,0
91,82,615,Sean Hayes,Action|Comedy|Family|Fantasy,Cats & Dogs: The Revenge of Kitty Galore ,10233,760,4.3,1.85,0
238,88,521,Hayden Christensen,Action|Adventure|Sci-Fi|Thriller,Jumper ,243053,4000,6.1,2.35,0
345,120,160,Iván Kamarás,Action|Adventure|Fantasy|Horror|Sci-Fi,Hellboy II: The Golden Army ,208422,169,7.0,1.85,3000
377,162,495,Jake Gyllenhaal,Crime|Drama|History|Mystery|Thriller,Zodiac ,301279,15000,7.7,2.35,12000
170,123,956,Michael Rapaport,Action|Mystery|Sci-Fi|Thriller,The 6th Day ,100001,975,5.9,2.35,0
191,101,1000,Steve Carell,Comedy|Drama,Bruce Almighty ,296904,7000,6.7,1.85,0
424,113,5000,Sylvester Stallone,Action|Adventure|Thriller,The Expendables ,270226,13000,6.5,2.35,57000
154,110,898,Kristin Scott Thomas,Action|Adventure|Thriller,Mission: Impossible ,300542,1000,7.1,2.35,0
673,142,575,Josh Hutcherson,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games ,701607,14000,7.3,2.35,140000
383,102,461,Mason Lee,Comedy,The Hangover Part II ,375879,670,6.5,2.35,56000
153,126,390,Vincent Schiavelli,Action,Batman Returns ,215255,811,7.0,1.85,0
166,83,925,Steve Carell,Adventure|Animation|Comedy|Family,Over the Hedge ,127345,7000,6.8,1.85,0
180,85,443,Jason Scott Lee,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Lilo & Stitch ,117212,533,7.2,1.66,0
120,97,852,Julia Roberts,Comedy|Family|Fantasy,Charlotte's Web ,27838,8000,6.4,1.85,0
125,120,3000,Jon Favreau,Action|Drama|Romance|Sci-Fi|Thriller,Deep Impact ,135601,4000,6.1,2.35,0
234,116,110,Anthony Hopkins,Action|Comedy|Crime|Thriller,RED 2 ,125036,12000,6.7,2.35,22000
134,113,421,Steve Reevis,Comedy|Crime|Sport,The Longest Yard ,130070,437,6.4,2.35,0
91,87,733,Jesse McCartney,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: Chipwrecked ,22838,1000,4.4,1.85,0
139,101,11000,Adam Sandler,Comedy,Grown Ups 2 ,107817,11000,5.4,1.85,14000
265,110,11000,Dwayne Johnson,Action|Adventure|Comedy,Get Smart ,168172,12000,6.5,1.85,0
145,128,343,Jon Favreau,Comedy|Drama|Romance,Something's Gotta Give ,91092,4000,6.7,1.85,0
490,138,163,Joseph Sikora,Mystery|Thriller,Shutter Island ,786092,223,8.1,2.35,53000
141,88,982,Robert Duvall,Comedy|Drama|Romance,Four Christmases ,48500,3000,5.6,1.85,0
163,91,208,Drew Carey,Adventure|Animation|Comedy|Family|Sci-Fi,Robots ,103022,311,6.3,1.85,0
155,138,805,CCH Pounder,Action|Crime|Sci-Fi|Thriller,Face/Off ,283967,1000,7.3,2.35,11000
144,99,495,Carmen Electra,Comedy|Family|Fantasy|Romance,Bedtime Stories ,72326,869,6.1,2.35,0
226,117,818,Jennifer Jason Leigh,Crime|Drama|Thriller,Road to Perdition ,200359,1000,7.7,2.35,0
204,117,503,Bailee Madison,Comedy|Romance,Just Go with It ,172878,3000,6.4,1.85,19000
95,54,0,Royce Johnson,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Daredevil             ,213483,4,8.8,16.0,55000
139,123,744,Monica Potter,Action|Crime|Thriller,Con Air ,225282,878,6.8,2.35,0
215,118,915,Ethan Embry,Action|Mystery|Thriller,Eagle Eye ,150764,982,6.6,2.35,0
198,154,16000,Natalie Portman,Adventure|Drama|History|Romance|War,Cold Mountain ,118483,20000,7.2,2.35,0
325,118,10000,Mila Kunis,Action|Adventure|Drama|Thriller,The Book of Eli ,227072,15000,6.9,2.35,20000
53,90,159,Jodi Benson,Comedy|Family|Sci-Fi,Flubber ,63625,570,5.2,1.85,0
167,113,913,Lili Taylor,Fantasy|Horror|Mystery|Thriller,The Haunting ,58184,960,4.9,2.35,0
46,88,366,Wayne Knight,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Space Jam ,112167,967,6.3,1.77,0
147,93,38,Henry Czerny,Adventure|Comedy|Crime|Family|Mystery,The Pink Panther ,65499,177,5.6,1.85,0
276,104,71,Jon Hamm,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,139423,4000,5.5,2.35,0
80,135,67,Alex McArthur,Action|Crime|Mystery|Romance|Thriller,Conspiracy Theory ,76099,137,6.7,2.35,0
406,134,697,Logan Lerman,Action|Drama|War,Fury ,303185,8000,7.6,2.35,82000
97,98,397,Anne Heche,Action|Adventure|Comedy|Romance,Six Days Seven Nights ,60910,643,5.7,2.35,0
143,80,375,Tom Cavanagh,Adventure|Animation|Comedy|Family,Yogi Bear ,16385,642,4.6,1.85,0
106,83,495,Charles Napier,Adventure|Animation|Family|Western,Spirit: Stallion of the Cimarron ,44143,503,7.0,2.35,4000
178,102,269,Leslie Bibb,Comedy|Family|Romance,Zookeeper ,44662,1000,5.2,2.35,0
102,130,427,William Hurt,Action|Adventure|Family|Sci-Fi|Thriller,Lost in Space ,58402,882,5.1,2.35,0
209,129,502,Dorian Missick,Drama|Mystery|Sci-Fi|Thriller,The Manchurian Candidate ,86422,1000,6.6,1.85,0
19,117,87,Stephen Dillane,Drama|Romance,Déjà Vu ,666,577,7.0,1.85,91
152,89,859,Adam Sandler,Animation|Comedy|Family|Fantasy,Hotel Transylvania 2 ,56501,11000,6.7,1.85,16000
31,25,474,Agnes Moorehead,Comedy|Family|Fantasy,Bewitched             ,11427,960,7.6,4.0,0
