num_critic_for_reviews,duration,actor_1_facebook_likes,gross,genres,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
46,96,49000,371081,Comedy|Drama,Frank Langella,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,86,USA,PG-13,2004,1000,1.85,857
221,94,386,347578,Comedy|Fantasy|Horror|Thriller,John Hensley,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,USA,R,2007,357,1.85,17000
51,91,33,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Kim De Angelo,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,USA,PG-13,1998,3,1.85,0
1,,353,,Action|Comedy|Romance|Thriller,Shakti Kapoor,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,India,,2000,89,,10
58,90,326,120620,Biography|Comedy|Drama|Music,Kate Magowan,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,UK,R,2004,246,2.35,0
45,85,22000,100669,Comedy|Drama,Romany Malco,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,USA,R,2009,12000,2.35,407
44,96,5000,,Comedy|Drama|Romance|Sport,Karl Collins,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,UK,R,1997,497,1.85,224
74,129,25000,186354,Drama,Matt Craven,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,USA,R,2015,463,2.35,0
20,60,780,,Comedy|Drama|Sci-Fi,Salli Richardson-Whitfield,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,USA,TV-14,,747,1.78,3000
6,93,532,55202,Animation|Comedy|Family|Romance,Javed Jaffrey,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,India,PG,2008,85,2.35,39
5,100,584,,Crime|Drama,Chuck Zito,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,USA,Not Rated,2003,356,1.85,61
10,97,589,549632,Adventure|Family|Fantasy,Tiya Sircar,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,Thailand,PG,2013,488,2.35,715
81,94,10000,137945,Comedy|Drama|Musical|Romance,Charly Bivona,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,USA,PG-13,2014,773,2.35,0
66,95,529,17580,Drama,Paul Adelstein,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,USA,,2009,423,1.85,195
46,97,787,,Horror|Romance|Sci-Fi,Sarah Douglas,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,USA,R,1993,196,1.85,810
34,92,26000,12667,Drama|Romance,Dane Cook,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,UK,R,2005,11000,2.35,0
78,96,363,198407,Drama,Michelle Hurst,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,USA,R,2006,223,1.85,474
52,85,985,13973532,Comedy|Crime,Chris Penn,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,USA,PG-13,2002,637,1.85,215
29,87,160,,Drama|Horror|Mystery|Sci-Fi|Thriller,Kaiwi Lyman-Mersereau,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,USA,Not Rated,2015,152,,0
161,91,13000,5824,Horror|Thriller,Lorraine Stanley,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,UK,R,2008,698,2.35,0
18,99,638,2843,Thriller,Marlene Forte,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,USA,R,2013,449,1.78,604
107,88,513,,Action|Comedy|Fantasy|Horror,Silvia Colloca,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,UK,R,2009,480,2.35,0
30,119,29,4958,Action|Crime|Drama,Robert Hobbs,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,South Africa,R,2008,18,2.35,1000
24,99,766,,Crime|Drama|Thriller,Ian McNeice,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,UK,R,2004,312,2.35,205
116,92,253,,Horror,Ashleigh Gryzko,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,Canada,Not Rated,2011,113,1.78,0
98,86,121,,Comedy|Horror,Jemma Curran,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,Ireland,R,2012,94,1.85,0
25,83,413,,Crime|Drama|Horror|Mystery|Thriller,Marc Macaulay,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,USA,R,2010,167,2.35,0
,81,674,,Documentary,Louis Walsh,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,UK,,2015,27,,0
40,82,11000,,Comedy,Louise Lasser,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,USA,GP,1971,430,1.37,0
20,102,473,13220,Thriller,Kathy Uyen,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,USA,Not Rated,2012,303,,115
8,90,601,,Action|Crime|Drama|Thriller,Ricardo Chavira,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,USA,R,2007,453,2.35,44
19,30,685,,Comedy|Drama,Amy Yasbeck,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,USA,,,511,1.33,1000
90,92,1000,7927,Crime|Drama|Film-Noir|Mystery|Thriller,Ted de Corsia,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,USA,Not Rated,1947,29,1.37,0
21,88,633,,Horror|Thriller,Robert Pine,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,USA,R,2008,597,1.78,153
12,97,15000,,Crime|Drama,Mark Rolston,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,USA,R,2002,284,2.35,912
33,96,2000,,Comedy|Crime|Drama,Matt Lucas,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,USA,R,2012,811,1.85,0
9,87,34000,,Comedy,Glenn Howerton,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,USA,,2013,463,2.35,0
94,106,416,2436,Comedy|Fantasy|Musical|Sci-Fi,Paul Williams,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,USA,Not Rated,2012,403,2.35,655
41,107,594,4556,Comedy|Drama,Peter Hermann,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,USA,R,2013,591,,825
38,80,16000,,Horror|Mystery,Karin Dor,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,West Germany,M,1967,57,1.66,200
12,91,924,,Comedy|Drama,Josh Meyers,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,USA,R,2013,472,,0
25,99,907,,Comedy|Musical,Phil Silvers,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,USA,Approved,1966,164,1.85,805
27,102,909,,Documentary,Steve Earle,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,USA,,2007,562,,69
2,108,10000,,Action|Adventure|History|Western,Glenn Morshower,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,USA,PG-13,2011,1000,,651
23,88,680,,Comedy|Horror,Dave Sheridan,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,USA,R,2015,418,,0
32,89,2000,,Drama|Horror|Mystery|Thriller,Tom Arnold,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,USA,,2015,860,,0
18,92,11000,,Thriller,James Chalke,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,USA,Not Rated,2015,1000,,728
45,99,18000,4600000,Crime|Drama,Ione Skye,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,USA,R,1986,1000,1.85,0
60,103,548,1420578,Drama|Fantasy,Jon Gries,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,USA,PG-13,2003,495,2.35,298
23,90,405,,Action|Thriller,David Lewis,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,15,USA,R,2015,217,1.78,620
363,95,16000,1028658,Drama|Mystery|Thriller,Erik Palladino,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,447,Spain,R,2010,517,2.35,24000
249,97,920,466702,Comedy|Drama|Romance,Sally Hawkins,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,100,UK,R,2010,680,1.85,17000
68,108,161,,Documentary|Drama|History|News,Aida Elkashef,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,42,Egypt,Not Rated,2013,10,1.85,0
14,95,533,18435,Drama,Pierre Perrier,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,France,Unrated,2006,323,1.85,104
359,100,17000,35266619,Drama|Fantasy|Horror,Portia Doubleday,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,USA,R,2013,2000,2.35,39000
15,160,733,95236,Drama|Musical,Prabhudheva,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,India,Not Rated,2013,168,,1000
256,101,40000,26505000,Horror,Amanda Wyss,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,USA,X,1984,852,1.85,10000
194,90,41,2957978,Biography|Crime|Documentary|History|Thriller,Jean-Louis Blondeau,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134,UK,PG-13,2008,27,1.85,0
,86,42,,Drama,Rachel Nash,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,New Zealand,,2015,40,,213
10,89,628,444044,Drama,Faizon Love,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,USA,R,2015,606,1.85,1000
311,87,463,40990055,Drama|Horror|Thriller,Patrick Fabian,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,France,PG-13,2010,400,1.85,0
205,98,1000,1445366,Biography|Drama|Music,Anne-Marie Duff,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,75,UK,R,2009,548,2.35,10000
94,125,10000,,Drama,Kim Hunter,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,USA,PG,1951,416,1.37,5000
192,95,654,,Comedy,Keenan Wynn,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,USA,PG,1964,575,1.66,18000
85,118,201,5709616,Drama|Romance,Pedro Armendáriz Jr.,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,110,Mexico,R,2002,163,1.85,544
663,93,2000,12784397,Drama|Fantasy,Dwight Henry,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,269,USA,PG-13,2012,458,1.85,31000
62,96,595,,Action|Sci-Fi,Claude Akins,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,91,USA,G,1973,356,2.35,511
39,109,767,3050934,Drama|Music,Jane Adams,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,USA,PG-13,2000,380,1.85,0
68,109,553,841206,Drama,Michael Chernus,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,34,USA,R,2011,471,1.85,952
3,155,141,,Comedy|Romance,Brahmanandam,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,6,India,,2015,77,,82
130,90,16000,638476,Comedy|Documentary,Donald Trump,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,45,USA,PG-13,2011,14000,,0
13,93,12000,,Comedy|Horror,Jon Gries,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,USA,PG-13,1993,580,1.78,266
44,108,0,505295,Adventure|Drama,Sonam Kinga,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,Australia,,2003,0,1.85,353
26,114,16000,,Western,Alan Hale Jr.,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,USA,M,1968,844,1.85,0
27,87,2000,,Crime|Drama|Film-Noir,Kim Hunter,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,USA,,1952,399,1.37,169
53,113,647,,Horror|Thriller,Cas Anvar,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,USA,R,2007,642,2.35,368
