director_name,num_critic_for_reviews,duration,actor_2_name,gross,actor_1_name,num_voted_users,plot_keywords,movie_imdb_link,language,country,content_rating
Malcolm D. Lee,88,100,Sean Hayes,12081447,Bernie Mac,7794,band|masturbation|reunion|singer|tribute,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,English,USA,R
Jerry Jameson,32,119,Jason Robards,7000000,M. Emmet Walsh,2933,military|mineral|ocean|ship|titanic,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,English,UK,PG
Mic Rodgers,75,83,Daniel von Bargen,10431220,Michael Jai White,24216,combat|computer|general|military|reporter,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,English,USA,R
Christian Alvart,219,108,Dennis Quaid,10326062,Norman Reedus,121432,future|mission|space|spaceship|survival,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,English,Germany,R
Gary Fleder,83,102,Mekhi Phifer,6114237,Gary Dourdan,19986,alien|android|bomb|future|weapon,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,English,USA,R
Christian Duguay,53,93,Bridgette Wilson-Sampras,4835968,Rufus Sewell,4821,commercial|extreme sports|mountain|serbian|terrorist,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,English,UK,PG-13
Jean-Marie Poiré,61,84,Matt Ross,4777007,Bridgette Wilson-Sampras,15130,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,English,France,PG-13
Danny Boyle,308,107,Benedict Wong,3675072,Chris Evans,190132,astronaut|earth|future|icarus|sun,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,English,UK,R
Brian Robbins,70,91,Lou Saliba,18438149,John Gatins,30842,box office flop|buddhist|liar|literary agent|magical tree,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,English,USA,PG-13
Marc F. Adler,41,94,Anne Bancroft,511920,Eric Idle,2458,box office flop|computer animation|one word title|surrealism|villainess,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,English,USA,PG
Pierre Morel,224,115,Mark Rylance,10640645,Ray Winstone,28429,assassination|blood vomiting|death|hit squad|mercenary,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,English,USA,R
Geoffrey Sax,66,93,Sophie Okonedo,652526,Alex Pettyfer,20201,14 year old|british|gadget|spy|training,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,English,Germany,PG
D.J. Caruso,253,105,Aaron Yoo,80050171,Sarah Roemer,186982,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,English,USA,PG-13
Iain Softley,79,107,Fisher Stevens,7564000,Angelina Jolie Pitt,54650,computer|computer virus|cyberpunk|fight the system|sexual fantasy,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,English,USA,PG-13
Richard Shepard,94,101,Zan Marolt,876671,James Brolin,22010,bosnia|cia|fox|hunt|war criminal,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,English,USA,R
Joel Coen,77,111,Bill Cobbs,2869369,Jennifer Jason Leigh,65474,art deco|board of directors|industry|mail|stock,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,English,UK,PG
Peter Ho-Sun Chan,106,113,Takeshi Kaneshiro,128978,Jet Li,22897,assassination|blood brother|dynasty|general|stabbing a woman,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,Mandarin,Hong Kong,R
Sergey Bodrov,30,112,Kuno Becker,77231,Jay Hernandez,3322,1800s|kazakhstan|nomad,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,Kazakh,France,R
Joon-ho Bong,488,126,Ewen Bremner,4563029,Chris Evans,181472,closed ecological system|perpetual winter|population control|revolt|train,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,English,South Korea,R
Bibo Bergeron,63,90,Bob Balaban,,Adam Goldberg,15790,belle epoque|city name in title|monster|paris france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,French,France,PG
Jeff Nathanson,42,93,Glenn Morshower,463730,Matthew Broderick,3789,fbi|movie producer|sting operation|undercover|urination,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,English,USA,R
Alex Proyas,118,98,Bai Ling,50693162,Michael Wincott,136580,back from the dead|crime boss|crow|gothic|vigilante,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,English,USA,R
S.S. Rajamouli,44,159,Anushka Shetty,6498000,Tamannaah Bhatia,62756,ancient india|dual role|good versus evil|hindu|kingdom,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,Telugu,India,
Robert Schwentke,214,107,Brooklynn Proulx,63411478,Arliss Howard,114925,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,English,USA,PG-13
Michael Lehmann,110,102,Stephen Collins,42640890,Colin Ferguson,32412,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,English,USA,PG-13
Rob Cohen,187,106,Vin Diesel,144512310,Paul Walker,272227,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,English,USA,PG-13
Tim Burton,370,87,Catherine O'Hara,35287788,Martin Landau,73886,dog|life|remake by original director|science|stop motion animation,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,English,USA,PG
Joss Whedon,276,119,Sean Maher,25335935,Adam Baldwin,242599,alliance|cannibalism|future|operative|planet,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,English,USA,PG-13
Charles S. Dutton,76,110,Charles S. Dutton,5881504,Omar Epps,5917,boxer|boxing|boxing arena|boxing manager|directed by co star,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,English,USA,PG-13
Richard Lester,95,125,Robert Vaughn,60000000,Margot Kidder,49934,computer|high school|kryptonite|smallville|villain,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,English,UK,PG
Peter Segal,211,113,Sylvester Stallone,29802761,Robert De Niro,46480,broke|promoter|retirement|trainer|training,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,English,USA,PG-13
John Woo,160,150,Tony Chiu Wai Leung,626809,Takeshi Kaneshiro,36894,alliance|battle|china|chinese|strategy,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,Mandarin,China,R
Andy Tennant,97,108,Mary Lynn Rajskub,127214072,Ethan Embry,83786,alabama|divorce|divorce papers|husband wife relationship|new york city,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,English,USA,PG-13
Robert Luketic,174,96,John Michael Higgins,88915214,Gerard Butler,163665,call in|chick flick|date|hot air balloon|show producer,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,English,USA,R
Jonathan Lynn,23,93,Phil Hartman,30400000,Austin Pendleton,17810,greenland|military|revenge|soldier|u.s. soldier,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,English,USA,PG
Robert Rodriguez,103,100,Alexa PenaVega,85570368,Steve Buscemi,44885,island|mad scientist|scientist|sequel|spy,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,English,USA,PG
David Carson,98,118,Alan Ruck,75668868,LeVar Burton,60504,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,English,USA,PG
Kar-Wai Wong,273,122,Hye-kyo Song,6594136,Tony Chiu Wai Leung,24557,challenge|china|hong kong|martial arts|martial arts master,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,Mandarin,Hong Kong,PG-13
Francis Lawrence,279,120,Christoph Waltz,58700247,Robert Pattinson,95367,circus|circus vargas|elephant|fear|train,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,English,USA,PG-13
,22,60,Wayne Knight,,Joseph Gordon-Levitt,38383,alien|digit in title|human form|number 3 in title|talking on a rooftop,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,English,USA,TV-PG
Yuefeng Song,4,88,Bianca Collins,,Blythe Auffarth,2169,,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,English,China,
Norman Jewison,65,146,Vincent Pastore,50668906,Denzel Washington,76016,african american|book|boxer|boxing|murder,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,English,USA,R
Michael Apted,98,115,Jeff Kober,39177215,Bill Cobbs,30667,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,English,USA,PG-13
David Mirkin,116,123,Anne Bancroft,40334024,Sarah Silverman,44168,bank|infidelity|millionaire|money|scam,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,English,USA,PG-13
Andy Fickman,76,94,Daniella Alonso,71038190,D.B. Woodside,23473,character name in title|no opening credits|sequel|wilhelm scream,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,English,USA,PG
Luis Mandoki,106,102,Shirley Knight,24044532,Sonia Braga,19686,apartment|fate|gun|love|mysterious man,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,English,USA,R
John Pasquin,55,98,Ken Marino,22770864,Jim Belushi,8433,bully|co worker|divorce|fight|karate,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,English,USA,PG
Roman Polanski,172,133,Frank Langella,18653746,Johnny Depp,137722,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,English,Spain,R
Michael Apted,47,118,Paul Guilfoyle,17305211,J.K. Simmons,14066,cartoon on tv|doctor|emergency room|hospital|nudity,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,English,USA,R
Stephen Herek,107,105,Dagmara Dominczyk,16991902,Beth Grant,34592,cover band|fired from a job|heavy metal|rock star|tribute band,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,English,USA,R
Lee Daniels,323,109,Gabourey Sidibe,47536959,Mo'Nique,86955,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,English,USA,R
Ridley Scott,37,129,Jason Marsden,10300000,Jeff Bridges,17859,acrophobia|jamaica|male bonding|prostitute|tragedy,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,English,USA,PG-13
John Carpenter,297,109,Richard Masur,13782838,Wilford Brimley,258078,alien creature|alien life form|antarctica|isolation|paranoia,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,English,USA,R
David Twohy,302,127,Nolan Gerard Funk,41997790,Vin Diesel,125305,alien|left for dead|mercenary|survival|vomiting,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,English,USA,R
Jeb Stuart,38,118,Claudia Stedelin,6482195,Gregory Scott Cummins,9740,deputy|fbi agent|knife held to throat|serial killer|sheriff,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,English,USA,R
Steve Miner,31,110,Usher Raymond,623374,Tom Skerritt,4757,army|mexican|orphan|texas|texas ranger,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,English,USA,PG-13
Gil Kenan,118,90,Toby Jones,7871693,Bill Murray,52908,box|food|mayor|pipeworks|scientist,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,English,USA,PG
Paul Thomas Anderson,546,144,Jeffrey W. Jenkins,16377274,Mike Howard,105144,drifter|past life regression|psychological testing|right hand man|scientology,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,English,USA,R
David Leland,21,97,Ryan Cartwright,,Hayden Christensen,6691,breasts|nude nun|plague|russian nobleman|two word title,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,English,Italy,R
Gary Fleder,86,130,Nicole Beharie,9589875,Dennis Quaid,16673,african american|coach|football movie|nonlinear timeline|syracuse university,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,English,USA,PG
J Blakeson,194,112,Maggie Siff,34912982,Chloë Grace Moretz,55617,alien|attack|based on novel|based on young adult novel|fear,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,English,USA,PG-13
Ryan Coogler,437,133,Phylicia Rashad,109712885,Sylvester Stallone,146708,boxing|boxing match|fight|montage|philadelphia,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,English,USA,PG-13
Ben Affleck,378,150,Jon Hamm,92173235,Jeremy Renner,280228,bank manager|bank robbery|criminal gang|heist|prison,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,English,USA,R
Kirk Jones,170,110,Dennis Quaid,41102171,Anna Kendrick,57266,baby|expecting twins|hawaiian shirt|photographer|pregnancy,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,English,USA,PG-13
Ethan Coen,341,96,Brad Pitt,60338891,J.K. Simmons,248468,cia|divorce|embassy|gym|memoir,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,English,USA,R
Jennifer Flackett,139,96,Anthony Simcoe,48006503,Gerard Butler,28109,author|girl|island|reading|scientist,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,English,USA,PG
Ron Howard,393,123,Olivia Wilde,26903709,Chris Hemsworth,312629,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,English,UK,R
Paul Thomas Anderson,224,188,Neil Flynn,22450975,Patton Oswalt,241030,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,English,USA,R
Kevin Smith,203,107,Tracy Morgan,44867349,Bruce Willis,75347,baseball card|detective|partner|thief|wedding,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,English,USA,R
Christian Ditter,148,110,Damon Wayans Jr.,46813366,Alison Brie,39440,motor scooter|new york city|newborn baby|scooter|single,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,English,USA,R
Charles Martin Smith,131,113,Michael Roark,72279690,Morgan Freeman,17948,boy|dolphin|prosthetics|tail|trap,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,English,USA,PG
Catherine Hardwicke,350,122,Taylor Lautner,191449475,Kristen Stewart,348007,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,USA,PG-13
Nick Cassavetes,129,116,Laura Harring,71026631,Denzel Washington,98899,health care|heart transplant|hospital|hostage|insurance,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,English,USA,PG-13
Les Mayfield,40,93,Dave Chappelle,68208190,Peter Greene,60572,detective|diamond|jewel|police|thief,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,English,USA,PG-13
Rawson Marshall Thurber,289,118,Molly C. Quinn,150368971,Laura-Leigh,316671,fake family|male frontal nudity|marijuana|mexico|stripper,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,English,USA,R
Fedor Bondarchuk,14,115,Fedor Bondarchuk,,Yuliya Snigir,4387,22nd century|first part|friend|guard|space opera,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,Russian,Russia,
Jonathan Mostow,72,93,M.C. Gainey,50129186,Kathleen Quinlan,38399,car breakdown|diner|jeep|paranoia|violence,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,English,USA,R
Irvin Kershner,89,121,Klaus Maria Brandauer,55500000,Bernie Casey,48636,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,English,UK,PG
Steve Pink,265,101,Collette Wolfe,50213619,Charlie McDermott,139184,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,English,USA,R
Charles Martin Smith,54,107,Taylor Blackwell,42019483,Morgan Freeman,6069,dolphin|latex gloves|medical scrubs|purple gloves|turtle,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,English,USA,PG
John Frankenheimer,126,124,James Frain,23360779,Charlize Theron,31113,casino|christmas|christmas season|girlfriend|release from prison,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,English,USA,R
F. Gary Gray,110,109,Jeff Kober,26183197,Vin Diesel,38348,bust|dea|drug cartel|justice|tragic hero,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,English,USA,R
Cameron Crowe,138,105,Bradley Cooper,20991497,Emma Stone,39778,box office flop|critically bashed|hawaii|one word title|written by director,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,English,USA,PG-13
Rob Reiner,31,130,Virginia Madsen,13052741,Alexa PenaVega,8531,activist|assassin|civil rights|trial|widow,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,English,USA,PG-13
Scott Hicks,95,127,Reeve Carney,14378353,Rick Yune,12375,fisherman|japanese|love|trial|washington state,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,English,USA,PG-13
Mikael Håfström,267,114,Colin O'Donoghue,33037754,Anthony Hopkins,75864,demon|exorcism|exorcist|faith|seminary,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,English,USA,PG-13
Andrew Niccol,175,106,Xander Berkeley,12339633,Blair Underwood,220591,accident|future|genetics|mission|police,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,English,USA,PG-13
Andrew Bergman,63,95,Nathan Lane,2954405,Stockard Channing,1977,autistic son|cancer|female protagonist|new york city|son,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,English,USA,R
Kirk De Micco,85,81,Kenan Thompson,30105968,Cheryl Hines,8860,astronaut|attacked by a plant|planet|senator|space travel,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,English,USA,G
Chris Rock,44,95,Dylan Baker,37788228,Bernie Mac,15046,alderman|party|president|presidential candidate|washington d.c.,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,English,USA,PG-13
