actor_2_name,genres,actor_1_name,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio
Cole Hauser,Drama|War,Bruce Willis,43651,colonel|honor|lieutenant|pilot|racism,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,196,USA,R,787,6.3,2.35
Robert De Niro,Action|Crime|Thriller,Jason Statham,105556,australia|death|mentor|revenge|secret society,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,157,UK,R,22000,6.5,2.35
Chris Klein,Action|Sci-Fi|Sport,LL Cool J,22264,ball|blood|skating|song|year 2005,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,289,USA,R,841,3.0,2.35
Sandrine Holt,Action|Crime|Sci-Fi|Thriller,Talisa Soto,16761,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277,USA,R,324,3.6,2.35
Minnie Driver,Action|Crime|Drama|Thriller,Morgan Freeman,26893,dam|flood|money|police|sheriff,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,126,USA,R,893,5.8,2.35
Brandy Norwood,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,25572,blood|body|egg|virus|white blood cell,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,123,USA,PG,509,6.2,2.35
Oliver Platt,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,5116,jester|kansas|oz|princess|tornado,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,54,USA,PG,1000,5.6,
Archie Kao,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,38983,chinese|computer|cybercrime|hacker|one word title,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,207,USA,R,326,5.4,2.35
Laurence Olivier,Action|Adventure|Mystery|Sci-Fi|Thriller,Angelina Jolie Pitt,72868,captain|pilot|reporter|robot|scientist,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,618,USA,PG,1000,6.1,1.85
Indira Varma,Crime|Mystery|Thriller,Charlotte Rampling,31124,drugs|murder|psychiatrist|scotland yard|sex,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,313,UK,R,729,4.2,2.35
50 Cent,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,177653,cia agent|escape|muslim|prison|ship,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,279,USA,R,1000,6.7,2.35
Luke Newberry,Action|Adventure|Fantasy,Roxanne McKee,44891,ancient greece|forbidden love|hercules|king|slavery,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,202,USA,PG-13,358,4.2,2.35
Bruce McGill,Action|Drama|Thriller,Morgan Freeman,86504,analyst|cia|nuclear bomb|nuclear weapons|russia,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,568,USA,PG-13,655,6.4,2.35
Kristen Stewart,Adventure|Drama|Fantasy|Romance,Robert Pattinson,184637,friendship|graduation|revenge|vampire|werewolf,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,498,USA,PG-13,17000,4.9,2.35
Marlon Brando,Crime|Drama|Thriller,Robert De Niro,101899,partner|running|scepter|surveillance|thief,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,445,USA,R,10000,6.8,2.35
Miranda Cosgrove,Animation|Comedy|Family,Steve Carell,385943,girl|minion|moon|pyramid|white picket fence,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,296,USA,PG,2000,7.7,1.85
Robert Blake,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,32224,bare breasts|breast|loan shark|subway|train,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,62,USA,R,220,5.6,2.35
Morgan Freeman,Comedy,Liam Neeson,117739,baby|f word|fight|lawyer|marriage,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,229,USA,R,11000,6.4,2.35
Ashraf Barhom,Adventure|Drama|History|Romance,Max Minghella,52496,christian|love|philosophy|prefect|slave,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,172,Spain,R,451,7.2,2.35
Wes Studi,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,53970,bowling|rajah|sphinx|spleen|superhero,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,USA,PG-13,855,6.0,1.85
Larry Joe Campbell,Comedy|Romance,Jenna Fischer,103230,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,143,USA,R,919,5.9,2.35
Rip Torn,Biography|Drama|Thriller,Al Pacino,133526,cbs|cbs news|research|tobacco|whistleblower,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,USA,R,826,7.9,2.35
Abraham Benrubi,Action|Drama|History|Thriller,Michael Raymond-James,27481,1950s|coast guard|oil tanker|sinking ship|survival,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,113,USA,PG-13,562,6.8,2.35
Simon McBurney,Action|Drama|Thriller,Leonardo DiCaprio,174248,cia|jordan|middle east|spy|terrorist,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,263,USA,R,149,7.1,2.35
Stephanie Szostak,Comedy,Steve Carell,80338,dinner|diorama|idiot|irs|mouse,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,264,USA,PG-13,1000,5.9,1.85
Dominic Cooper,Action|Fantasy|Horror,Rufus Sewell,128629,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,USA,R,3000,5.9,2.35
Kevin McNally,Action|Crime|Romance|Thriller,Will Patton,88132,art thief|insurance|mask|master thief|reference to iron maiden,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,USA,PG-13,427,6.2,2.35
Kaitlyn Dever,Comedy,Hector Elizondo,15114,family relationships|husband wife relationship|live studio audience|sitcom|three word title,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,USA,TV-PG,363,7.4,16.0
Mitch Pileggi,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,85720,agent|alien|bomb|fbi|government,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,USA,PG-13,826,7.0,2.35
Nonso Anozie,Action|Adventure|Fantasy|War,Colin Firth,29285,5th century|boy|capri|roman legion|soldier,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174,UK,PG-13,394,5.4,2.35
Vin Diesel,Action|Drama|War,Tom Hanks,881236,army|invasion|killed in action|normandy|soldier,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,USA,R,14000,8.6,1.85
Dominic Cooper,Action|Crime|Drama|Thriller,Rami Malek,136954,cross country|custom car|illegal street racing|police officer crushed|street racing,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,346,USA,PG-13,3000,6.5,2.35
Lisa Edelstein,Comedy|Fantasy|Romance,Judy Greer,158864,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,395,USA,PG-13,955,6.4,1.37
Stephen Root,Adventure|Animation|Comedy|Family,Goran Visnjic,328159,baby|ice|ice age|sleeping|sloth,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,467,USA,PG,939,7.6,1.85
Michael O'Neill,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,75573,alien|friend|maine|military|woods,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,USA,R,599,5.5,2.35
Hal Holbrook,Biography|Drama|History|War,Joseph Gordon-Levitt,197412,cultural conflict|politics|president|slavery|u.s. president,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720,USA,PG-13,826,7.4,2.35
Marcus Chong,Action|Sci-Fi,Keanu Reeves,1217752,artificial reality|computer|matrix|questioning reality|simulated reality,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,USA,R,145,8.7,2.35
Miko Hughes,Adventure|Drama|History,Tom Hanks,208817,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296,USA,PG,968,7.6,2.35
Rachel Ticotin,Action|Sci-Fi,Ronny Cox,240241,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,USA,R,308,7.5,1.85
Aisha Tyler,Comedy|Family|Fantasy,Judge Reinhold,34561,christmas|magic|santa claus|son|toy,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,116,USA,G,857,5.5,1.85
Eddie Redmayne,Drama|Musical|Romance,Hugh Jackman,243834,barricade|innkeeper|parole|rebellion|student,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,845,USA,PG-13,13000,7.6,1.85
Jean Stapleton,Comedy|Drama|Romance,Tom Hanks,151812,bookstore|competing businesses|instant messaging|new york city|shop owner,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,USA,PG,793,6.5,1.85
Adam Scott,Comedy,Will Ferrell,212499,dream|friendship|karaoke|love|slacker,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277,USA,R,3000,6.9,2.35
Tony Amendola,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,135404,19th century|california|revenge|training|zorro,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,318,USA,PG-13,174,6.7,2.35
RZA,Comedy|Drama,Robert Downey Jr.,272789,actor|aspiring actor|birth|misadventure|suitcase,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,285,USA,R,561,6.6,2.35
Jack O'Connell,Biography|Drama|Sport|War,Finn Wittrock,103589,emaciation|male nudity|plane crash|prisoner of war|torture,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,USA,PG-13,698,7.2,2.35
Courtney B. Vance,Action|Adventure|Thriller,Clint Eastwood,60165,nasa|old age|satellite|space|space shuttle,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326,USA,PG-13,495,6.4,2.35
Leon,Action|Adventure|Thriller,Sylvester Stallone,96096,money|mountain|rocky mountains|snow|suitcase,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,172,USA,R,730,6.4,2.35
Samantha Mathis,Action|Crime|Thriller,Delroy Lindo,77390,captain|desert|major|park ranger|utah,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189,USA,R,517,6.0,2.35
Lily Tomlin,Comedy|Family|Fantasy,Bruce Willis,34473,altering history|cartoon on tv|childhood|image consultant|one two combo,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,139,USA,PG,718,6.1,1.85
Jay Hernandez,Drama|History|Thriller,Nicolas Cage,67395,based on true story|police|rescue|rubble|trapped,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564,USA,PG-13,1000,6.0,1.85
Kirsten Dunst,Drama,Julia Roberts,61490,art|college|school|student|wellesley college,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,264,USA,PG-13,4000,6.4,1.85
Aasif Mandvi,Comedy|Romance,Sayed Badreya,213863,dictator|hotel|oil|overalls|sunglasses,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,310,USA,R,346,6.4,2.35
Vinessa Shaw,Drama|Mystery|Thriller,Tom Cruise,227071,doctor|orgy|party|pianist|sexual fantasy,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,UK,R,580,7.3,1.66
Dorian Missick,Comedy|Drama|Family|Musical,Quvenzhané Wallis,24735,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,USA,PG,1000,5.2,2.39
Adrian Martinez,Comedy|Crime|Drama|Romance,Will Smith,149337,con artist|con man|deception|rivalry|seduction,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,221,USA,R,806,6.6,1.85
Abigail Spencer,Action|Comedy|Romance,Tom Hardy,147641,best friend|cia|cia agent|dating|undercover,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,238,USA,PG-13,1000,6.3,2.35
Natasha Lyonne,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,132954,blade|blood|dracula|vampire hunter|vampire slayer,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,514,USA,R,1000,5.9,2.35
Jennifer Grey,Action|Drama|War,Lea Thompson,41776,guerrilla|high school|invasion|soviet|wolverine,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,USA,PG-13,1000,6.4,1.85
Adrian Lester,Comedy|Drama,Maura Tierney,23940,campaigning|candidate|election|governor|president,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,157,France,R,317,6.7,2.35
Boris Kodjoe,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,104831,corporation|fight|rescue|umbrella|zombie,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,423,Germany,R,1000,5.4,2.35
Max Ryan,Action|Sci-Fi|Thriller,Jason Statham,166610,armored car|car|murder|prison|warden,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,USA,R,872,6.4,2.35
Craig Bierko,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,60508,amnesia|chase|foot chase|strong female character|vomiting,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,285,USA,R,380,6.7,2.35
Alun Armstrong,Action|Drama|Thriller,Pamela Reed,49300,jungle|pipeline|prisoner|ransom|south america,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,265,USA,R,192,6.2,2.35
Josh Hutcherson,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Kristen Stewart,67707,2000s|coke|meeting future self|reference to spongebob squarepants|sony,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,202,USA,PG,14000,6.1,1.85
Meat Loaf,Drama,Brad Pitt,1347461,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,USA,R,783,8.8,2.35
Kimberly Williams-Paisley,Drama|Sport,Matthew McConaughey,46951,coach|football|football team|marshall university|university,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175,USA,PG,529,7.1,2.35
James Nesbitt,Crime|Drama|Mystery,Jason Flemyng,8739,france|journalist|limp|police detective|reporter,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,UK,,773,8.1,
James Coburn,Action|Adventure|Comedy,Bruce Willis,43376,blackmail|burglar|critically bashed|leonardo da vinci|prison,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,USA,R,773,5.7,1.85
Michael Moore,Comedy|Crime,Michael Rapaport,8560,celebrity|lottery|murder|snowmobile|weatherman,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,69,France,R,909,5.0,1.85
Kevin Grevioux,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,65709,army|creature|demon|frankenstein|gargoyle,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,194,Australia,PG-13,593,5.1,2.35
Barney Clark,Crime|Drama,Ian McNeice,25474,boy|character name in title|orphan|pickpocket|workhouse,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,138,UK,PG-13,85,6.9,2.35
Cary-Hiroyuki Tagawa,Action|Crime|Fantasy|Thriller,Jennifer Garner,71202,assassin|battle|heroine|martial arts|spin off,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380,Canada,PG-13,1000,4.8,2.35
Bruce Willis,Action|Crime|Thriller,Joseph Gordon-Levitt,111102,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,239,USA,R,13000,6.5,1.85
Kristin Scott Thomas,Drama|Mystery|Romance,Harrison Ford,17025,death|plane crash|police|police sergeant|politician,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,USA,R,1000,5.1,1.85
Martin Henderson,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,134625,blizzard|mount everest|mountain|mountain climbing|snow,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,265,UK,PG-13,580,7.1,2.35
David Calder,Crime|Drama|Fantasy,Michael Smiley,190490,18th century|perfume|scent|sense of smell|smell,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482,Germany,R,27,7.5,2.35
Josh Zuckerman,Action|Comedy|Crime,Verne Troyer,162909,fem bot|prison|seductive fembot|spy|time travel,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,795,USA,PG-13,522,6.2,2.35
Charlize Theron,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,25681,betrayal|futuristic|gladiator|robot|scientist,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,77,Hong Kong,PG,9000,6.3,2.35
Ariana Richards,Adventure|Sci-Fi|Thriller,Wayne Knight,613473,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,USA,PG-13,610,8.1,1.85
Catherine O'Hara,Adventure|Biography|Crime|Drama|Western,Dennis Quaid,35314,historically inaccurate|name calling|penis slur|vomiting|wyatt earp,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,145,USA,PG-13,925,6.6,2.35
Dean Jones,Action|Crime|Drama|Thriller,Harrison Ford,69663,cia|colombia|colombian drug cartel|drugs|president,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,133,USA,PG-13,913,6.9,2.35
Peng Lin,Action|Adventure|Drama|History,Si Won Choi,11584,child fugitive|final battle|martial art|silk road|sword,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,86,China,R,18,6.1,2.35
Brittany Daniel,Comedy|Crime,Chazz Palminteri,39471,diamond|infant|parody|spoof|sports violence,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187,USA,PG-13,862,4.3,1.85
Thomas Kretschmann,Action|War,Matthew McConaughey,65297,battle|historically inaccurate|submarine movie|u boat|world war two,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,602,France,PG-13,919,6.6,2.35
Samantha Mathis,Comedy|Drama|Romance,Shawna Waldron,43027,lobbyist|president|senator|state dinner|widower,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,214,USA,PG-13,517,6.8,2.35
Romany Malco,Comedy|Romance|Sport,Justin Timberlake,43300,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,250,USA,PG-13,966,3.8,2.35
Bokeem Woodbine,Action|Comedy|Crime|Thriller,Jon Lovitz,38076,casino|elvis impersonator|gun|heist|rascal,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,USA,R,904,5.9,2.35
Jennifer Jason Leigh,Crime|Drama|Mystery|Thriller|Western,Craig Stark,272839,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,1018,USA,R,1000,7.9,2.76
Amy Poehler,Comedy|Sport,Will Ferrell,129995,competition|fight|ice|jock strap|nintendo game boy advance,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246,USA,PG-13,1000,6.3,1.85
Elizabeth Perkins,Adventure|Animation|Comedy|Family|Fantasy,Gary Cole,24089,drummer|easter|easter bunny|piaggio vespa gtv 250|slacker,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,82,USA,PG,664,5.5,1.85
Michael Fassbender,Action|Drama|Fantasy|War,Gerard Butler,607235,battle|epic|greece|spartan|warrior,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,USA,R,13000,7.7,2.35
Blythe Danner,Comedy|Romance,Robert De Niro,211296,bare butt|defecation|father in law son in law relationship|nurse|sexual innuendo in title,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,428,USA,PG-13,713,6.3,1.85
Kathleen Turner,Comedy|Drama|Family,Eric Dane,116681,box office hit|dog|dog movie|florida|pet name in title,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,320,USA,PG,899,7.1,2.35
Jeffrey DeMunn,Crime|Drama|Fantasy|Mystery,Tom Hanks,782610,1930s|death row inmate|healing|prison guard|southern u.s.,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,USA,R,745,8.5,1.85
Tichina Arnold,Action|Adventure|Comedy,Jill Hennessy,99989,biker gang|friend|motorcycle|new mexico|road trip,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,USA,PG-13,330,5.9,2.35
Fred Willard,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,63912,alien invasion|chicken|fish|friend|panic,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251,USA,G,729,5.8,1.85
Sela Ward,Crime|Drama|Mystery|Thriller,Patrick Fugit,569841,based on novel|disappearance|missing person|missing wife|murder suspect,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,USA,R,812,8.1,2.35
Josh Hamilton,Action|Mystery|Thriller,Matt Damon,407601,amnesia|assassin|money|political thriller|three word title,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,849,USA,PG-13,147,7.9,2.35
Joe Don Baker,Action|Adventure|Thriller,Izabella Scorupco,199025,agent|cossack|official james bond series|russia|russian,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416,UK,PG-13,387,7.2,2.35
Timothy Hutton,Drama|Mystery|Thriller,Daniel von Bargen,42705,army cid|cover up|military|murder|woman in military,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,USA,R,501,6.3,2.35
Noah Emmerich,Comedy|Drama|Sci-Fi,Natascha McElhone,667983,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,USA,PG,617,8.1,1.85
Aria Noelle Curzon,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,91093,ancient egypt|hebrew|nudity|pharaoh|title directed by female,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,353,USA,PG,263,7.0,1.85
Lisa Edelstein,Comedy|Family,Anjelica Huston,49486,bloopers during credits|breakfast cereal|department store ride|face painting|sponge bob square pants slippers,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,116,USA,PG,955,5.5,1.85
Patrick Fischler,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,156898,close up of breasts|female nudity|fugitive|money|undercover,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172,USA,R,497,6.7,2.35
Elizabeth Perkins,Action|Comedy|Family|Fantasy,Carol Ann Susi,46031,cartoon on tv|cat|dog|scientist|secret agent,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,235,USA,PG,664,5.2,1.85
Charlize Theron,Action|Crime|Thriller,Jason Statham,285623,gold|heist|revenge|traffic jam|venice italy,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497,USA,PG-13,9000,7.0,2.35
Alicia Witt,Comedy|Romance,Dorian Missick,85673,developer|divorce|lawyer|love|new york city,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,269,USA,PG-13,976,6.1,1.85
Woody Allen,Adventure|Animation|Comedy|Family,Sylvester Stallone,124641,ant|friend|princess|soldier|worker,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,289,USA,PG,11000,6.6,1.85
Kristin Davis,Comedy,Jon Favreau,83506,couple|island|marriage|tropical|voyeurism,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,144,USA,PG-13,722,5.5,1.85
Robert Duvall,Action|Drama|Sport,Tom Cruise,60476,driver|hot shot|racing|stock car driver|team,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,97,USA,PG-13,3000,5.9,2.35
Tom Welling,Adventure|Comedy|Family,Taylor Lautner,42737,children|competition|rival|second part|vacation,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,128,USA,PG,3000,5.4,2.35
Lili Taylor,Action|Sci-Fi|Thriller,Ki Hong Lee,138246,desert|disease|escape|resistance|virus,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,360,USA,PG-13,960,6.4,2.35
Julia Roberts,Drama|Romance,James Franco,63493,divorce|emotional balance|female protagonist|indonesia|inner peace,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,302,USA,PG-13,8000,5.7,1.85
Don Cheadle,Comedy|Drama|Fantasy|Romance,Nicolas Cage,85844,bowling|christmas|parallel universe|salesman|unfaithfulness,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,322,USA,PG-13,3000,6.7,2.35
Morgan Freeman,Action|Comedy|Crime|Thriller,Bruce Willis,238916,cia|female assassin|interrogation|office cubicle|spy,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,328,USA,PG-13,11000,7.1,2.35
