director_name,director_facebook_likes,gross,actor_1_name,facenumber_in_poster,content_rating
Renny Harlin,212,23292105,Laura Ramsey,0,PG-13
Jessica Bendinger,31,26870825,Jeff Bridges,3,PG-13
Robert Rodriguez,0,20916309,Jimmy Bennett,4,PG
Gus Van Sant,835,21200000,Kurtwood Smith,0,R
Henry Joost,24,28876924,Samira Wiley,0,PG-13
Ed Harris,0,20207003,Viggo Mortensen,0,R
John Carpenter,0,20241395,Sheryl Lee,0,R
,,,Pablo Sevilla,0,
Alfred Hitchcock,13000,32000000,Janet Leigh,2,R
Howard Deutch,41,19151864,Dane Cook,3,R
Shana Feste,19,23393765,Alex Pettyfer,0,PG-13
Garry Marshall,0,18882880,Hector Elizondo,3,R
Steve Rash,15,8500000,Mako,0,PG
Richard Donner,503,,Matthew Broderick,2,PG-13
Mark Steven Johnson,160,18252684,Oliver Platt,2,PG
Mike Binder,57,19661987,Adam Sandler,2,R
Sean Penn,0,18352454,Kristen Stewart,0,R
Todd Phillips,480,17803796,Jon Heder,1,PG-13
Michael J. Bassett,83,17529157,Radha Mitchell,0,R
Robert Rodriguez,0,25753840,Quentin Tarantino,2,R
Frank Nissen,0,18081626,Kath Soucie,0,G
Jodie Foster,0,17518220,Robert Downey Jr.,1,PG-13
Stephen Chow,0,17104669,Shengyi Huang,1,R
,,,Leah Remini,2,
Peter Hastings,0,16988996,Haley Joel Osment,1,G
Marc Forster,395,15797907,Mustafa Haidari,0,PG-13
Alejandro G. Iñárritu,0,16248701,Naomi Watts,0,R
Paul Abascal,2,15712072,Cole Hauser,0,PG-13
Catherine Hardwicke,308,191449475,Kristen Stewart,1,PG-13
Chris Koch,13,15408822,Thomas Lennon,3,PG-13
Amy Heckerling,143,15464026,Andy Dick,2,PG-13
Michael Moore,909,14359793,Ronald Reagan,0,R
George Stevens,126,8000000,Martin Landau,6,G
Billy Ray,53,,Julia Roberts,0,PG-13
Jason Friedberg,82,14174654,Carmen Electra,0,PG-13
Nimród Antal,190,15988876,Andrew Fiscella,6,PG-13
Jon Amiel,36,13801755,Bill Murray,1,PG
Mark Mylod,20,13987482,Chris Evans,1,R
James Mather,4,14291570,Joseph Gilgun,2,PG-13
Barry Levinson,272,12181484,Amy Poehler,1,PG-13
Mark Neveldine,83,13630226,Jason Statham,0,R
Woody Allen,11000,13383737,Jim Broadbent,4,R
Michael O. Sajbel,6,13391174,James Callis,0,PG
Phillip Noyce,176,12987647,Brendan Fraser,2,R
Gore Verbinski,563,12469811,Nicolas Cage,1,R
Walter Hill,394,12398628,Fisher Stevens,2,R
David Koepp,192,13214030,Aasif Mandvi,3,PG-13
Renny Harlin,212,12232937,Taylor Cole,1,PG-13
Matt Reeves,198,12134420,Chloë Grace Moretz,0,R
Charles T. Kanganis,18,11784000,Victor Wong,0,PG
Michel Gondry,1000,11169531,Quinton Aaron,2,PG-13
Stephen Frears,350,11034436,Bob Hoskins,1,R
John Hillcoat,214,12626905,Kate Winslet,3,R
Woody Allen,11000,10569071,Woody Allen,2,R
Damon Santostefano,4,10544143,Matthew Perry,2,PG-13
John Wells,53,13650738,Bradley Cooper,1,R
Neil Jordan,277,10555348,Robert De Niro,0,PG-13
Woody Allen,11000,9714482,Natasha Lyonne,0,R
Frank Oz,0,8579684,Peter Dinklage,0,R
James Wan,0,9525276,Aisha Tyler,0,R
Kirk Jones,52,8855646,Robert De Niro,1,PG-13
Bob Clark,84,9109322,Scott Baio,3,PG
Les Mayfield,10,8326035,Miguel Ferrer,2,PG-13
Les Mayfield,10,8104069,Callum Rennie,3,PG-13
Michael Lembeck,54,8054280,Debbie Reynolds,3,PG-13
Bob Fosse,189,,Sammy Davis Jr.,0,G
Paul Thomas Anderson,0,8093318,Martin Dew,0,R
Dave Borthwick,3,7382993,Jimmy Fallon,0,G
Benson Lee,9,8888355,Chris Brown,19,PG-13
,,,LeVar Burton,1,TV-14
David Zucker,119,7001720,Chriss Anglin,2,PG-13
Robert Rodriguez,0,7268659,Alexa PenaVega,7,R
Glen Morgan,17,6852144,Laura Harring,0,PG-13
Fred Wolf,29,6563357,Kevin Alejandro,4,R
Mike Leigh,608,6201757,Jim Broadbent,1,R
Alejandro Monteverde,38,6420319,Tom Wilkinson,0,PG-13
David Cronenberg,0,5702083,Michael Fassbender,3,R
Richard Linklater,0,5480996,Robert Downey Jr.,0,R
Michael Apted,150,6002756,Gerard Butler,2,PG
Uwe Boll,892,5132655,Catherine Lough Haggquist,0,R
Todd Graff,650,5205343,Scott Porter,3,PG
Jonathan Glazer,143,5005883,Cameron Bright,1,R
J.C. Chandor,78,5749134,David Oyelowo,0,R
Paul Gross,329,,Landon Liboiron,0,R
Marc Abraham,18,4234040,Dylan Authors,0,PG-13
Todd Haynes,162,4001121,Christian Bale,0,R
Mabrouk El Mechri,19,3749061,Henry Cavill,3,PG-13
Rian Johnson,0,3519627,Zachary Gordon,4,PG-13
Charlie Kaufman,0,3081925,Philip Seymour Hoffman,0,R
Hayao Miyazaki,6000,2298191,Minnie Driver,0,PG-13
Jean-Paul Rappeneau,22,2353728,Isabelle Adjani,5,PG-13
Nancy Walker,42,2000000,Steve Guttenberg,0,PG
John Hillcoat,214,1900725,Ray Winstone,1,R
Angelo Pizzo,14,2246000,Donny Boaz,4,PG
Richard Benjamin,121,1646664,Damon Wayans,2,R
Kurt Wimmer,110,1190018,Christian Bale,2,R
Roger Spottiswoode,55,1027749,Radha Mitchell,4,R
James Gray,115,882710,Charlize Theron,2,R
Matthew Diamond,12,1064277,Chazz Palminteri,0,G
Angelina Jolie Pitt,11000,531009,Brad Pitt,0,R
Katsuhiro Ôtomo,78,410388,William Hootkins,1,PG-13
David Anspaugh,25,375474,Gerard Butler,0,PG
Andrew Jarecki,46,578382,Ryan Gosling,2,R
Kevin Reynolds,58,305070,Esai Morales,1,R
Stephen Chow,0,206678,Jiao Xu,1,PG
Jean-Marie Poiré,8,146072,Christian Clavier,0,
Kevin Munroe,14,1183354,Marco St. John,1,PG-13
Daniel Algrant,3,121972,Al Pacino,3,R
,,,Peter Vaughan,4,
Julie Taymor,278,263365,Djimon Hounsou,2,PG-13
Alejandro Amenábar,448,54734,Emma Watson,1,R
Jane Clark,23,,Necar Zadegan,0,
Daniel Lee,10,,Andy Lau,3,R
Mike Barker,5,,Gerard Butler,1,R
Wayne Thornley,0,,Leonard Nimoy,0,G
Gnana Rajasekaran,0,,Mani Bharathi,0,
Tom Walsh,2,,Joey D. Vieira,4,PG
Jonathan Jakubowicz,23,,Robert De Niro,0,R
James McTeigue,160,,Milla Jovovich,2,PG-13
Scott Walker,17,,Nicolas Cage,3,R
John Curran,43,8047690,Toby Jones,0,PG-13
Uli Edel,34,476270,Moritz Bleibtreu,2,R
Kevin Costner,0,184208848,Mary McDonnell,1,PG-13
Jake Kasdan,52,100292856,Justin Timberlake,0,R
Harold Becker,17,58571513,Al Pacino,1,R
Mark Rosman,15,51431160,Dan Byrd,2,PG
Wes Craven,0,103001286,David Arquette,0,R
Steve Beck,17,41867960,Shannon Elizabeth,0,R
Stanley Kubrick,0,,Scatman Crothers,0,R
Robert Zemeckis,0,210609762,Lea Thompson,0,PG
William Malone,37,40846082,Jeffrey Combs,0,R
Tyler Perry,0,51697449,Eric Mendenhall,6,PG-13
Rob Hawk,97,,Kari J. Kramer,4,
Josh Gordon,8,27758465,Caroline Dhavernas,2,PG-13
Shawn Levy,189,56127162,Taran Killam,2,PG-13
Lee Tamahori,93,1357042,Mem Ferda,1,R
,,,Nicole 'Snooki' Polizzi,1,TV-14
Britt Allcroft,2,15911333,Mara Wilson,1,G
Breck Eisner,42,39103378,Radha Mitchell,0,R
Hayao Miyazaki,6000,10049886,Bunta Sugawara,0,PG
Alan Yuen,0,,Andy Lau,1,
Roger Donaldson,79,8600000,Liam Neeson,2,PG
Brian Percival,33,21483154,Emily Watson,1,PG-13
Sean Anders,51,8396942,Katrina Bowden,1,R
Anand Tucker,14,12561,Adam Scott,2,PG
Anthony Mann,75,,James Mason,0,Approved
Michael Dowse,31,6923891,Topher Grace,4,R
Daniel Barnz,33,5308553,Holly Hunter,2,PG
Emile Ardolino,22,2119994,Darci Kistler,0,G
Robert Altman,500,1292527,Steve Buscemi,2,R
James Schamus,44,560512,Logan Lerman,0,R
Andrew Douglas,15,64255243,Jimmy Bennett,0,R
Spike Jonze,0,22245861,Nicolas Cage,0,R
George A. Romero,0,20433940,Tony Nappo,8,R
Danny Pang,15,,Louis Koo,2,PG-13
Terry Gilliam,0,10562387,Johnny Depp,0,R
Ricky Gervais,0,18439082,Jennifer Garner,3,PG-13
Nicholas Stoller,89,150056505,Craig Roberts,3,R
Chuck Russell,55,119938730,Peter Greene,0,PG-13
Penny Marshall,545,114968774,Tom Hanks,1,PG
Larry Charles,119,128505958,Luenell,1,R
Robert Luketic,126,95001351,Linda Cardellini,1,PG-13
Leonard Nimoy,12000,76400000,Leonard Nimoy,1,PG
Scott Derrickson,301,75072454,Tom Wilkinson,0,PG-13
Mike Mitchell,31,65535067,Amy Poehler,1,R
Vic Armstrong,179,13998282,Nicolas Cage,1,PG-13
Thomas Bezucha,15,6061759,Craig T. Nelson,0,PG-13
Kevin Rodney Sullivan,8,64955956,Harry Lennix,4,PG-13
Terry Zwigoff,72,60057639,Bernie Mac,2,R
Jay Roach,116,53868030,Will Ferrell,2,PG-13
Kirk Jones,52,59573085,Nia Vardalos,10,PG-13
David Bowers,42,52691009,Zachary Gordon,2,PG
John McTiernan,323,59735548,Shane Black,1,R
Milos Forman,869,51600000,Jeffrey Jones,0,R
Nelson McCormick,29,43818159,Ming-Na Wen,0,PG-13
Mark Waters,70,86049418,Tina Fey,4,PG-13
Audrey Wells,22,43601508,Raoul Bova,1,PG-13
Robert Altman,500,41300105,Kristin Scott Thomas,0,R
,,,Peter Gallagher,8,TV-PG
Francis Ford Coppola,0,41382841,Nicolas Cage,0,PG-13
Alejandro G. Iñárritu,0,42335698,Emma Stone,8,R
Woody Allen,11000,33404871,Sally Hawkins,1,PG-13
Paul Greengrass,521,31471430,Christian Clemenson,0,R
Bille Woodruff,23,30222640,Christian Monzon,2,PG-13
Edward Zwick,380,26830000,Denzel Washington,3,R
Rick Friedberg,8,26906039,Hulk Hogan,2,PG-13
John Carpenter,0,21378000,Jamie Lee Curtis,0,R
Sean McNamara,80,43853424,Dennis Quaid,1,PG
Mike Nichols,0,,Bob Newhart,0,R
Jody Hill,62,23993605,Collette Wolfe,1,R
Richard Fleischer,130,26400000,Mako,1,PG
Martin Scorsese,17000,45250,Robert De Niro,1,R
Brandon Camp,7,22927390,Judy Greer,0,PG-13
Barry Levinson,272,4250320,Nicholas Rowe,1,PG-13
Kevin Tancharoen,64,22452209,Kelsey Grammer,0,PG
Danny Boyle,0,18329466,James Franco,0,R
Woody Allen,11000,17071230,Woody Allen,0,PG
Nicholas Hytner,13,17174870,Amanda Schull,2,PG-13
Jessie Nelson,24,26284475,Olivia Wilde,13,PG-13
Bart Freundlich,38,16702864,Kristen Stewart,0,PG
Irwin Winkler,34,15561627,Ian Somerhalder,0,R
Danny Boyle,0,17750583,Kate Winslet,0,R
Chris Columbus,0,14793904,Alan Ruck,1,PG-13
Miguel Arteta,44,15281286,Steve Buscemi,2,R
William A. Fraker,28,8000000,Jason Robards,0,PG
John Boorman,128,13491653,Daniel Radcliffe,0,R
Brian De Palma,0,,Nancy Allen,0,R
Courtney Solomon,31,10494494,Rebecca Budig,1,PG-13
Ang Lee,0,7837632,Joan Allen,0,R
Rob Reiner,0,15155772,Yaya DaCosta,2,PG-13
Jeff Kanew,6,8508843,Craig T. Nelson,1,PG
István Szabó,109,7739049,Miriam Margolyes,2,R
Adrian Lyne,213,6734844,David Margulies,0,R
Matthew Robbins,25,6000000,Ian McDiarmid,0,PG
Michael Hoffman,97,6615578,David Masterson,2,R
Tim Burton,13000,5887457,Johnny Depp,1,R
Jason Reitman,655,13362308,J.K. Simmons,1,PG-13
Sergey Bodrov,44,5701643,Tadanobu Asano,0,R
Guy Ritchie,0,5694401,Tom Hardy,4,R
Hal Needham,379,5333658,Barry Bostwick,2,PG
Kenneth Branagh,0,4414535,Julie Christie,0,PG-13
Bruce Beresford,78,4806750,Bruce Greenwood,0,PG
Jeff Nichols,337,3707794,Kirsten Dunst,0,PG-13
Woody Allen,11000,3203044,Woody Allen,2,R
Jonathan Teplitzky,6,4435083,Jeremy Irvine,2,R
,,,Poppy Montgomery,1,
Michael Haneke,0,2222647,Ulrich Tukur,0,R
Zack Ward,662,,Zack Ward,0,
Mike Marvin,28,3500000,Clint Howard,2,R
D.J. Caruso,154,676698,Adam Goldberg,0,R
Nimród Antal,190,3419967,James Hetfield,0,R
Gregor Jordan,34,,Austin Nichols,1,R
,,145118,Edgar Ramírez,0,Not Rated
Tran Anh Hung,157,,Takuya Kimura,0,Not Rated
Lance Hool,0,229311,Tom Berenger,2,R
George A. Romero,0,,Greg Nicotero,1,Unrated
Chuck Russell,55,,Sam Trammell,1,R
Christian Volckman,2,63260,Romola Garai,0,R
Jon Cassar,78,,Demi Moore,1,R
Richard Fleischer,130,,Ernie Reyes Jr.,1,PG-13
Rodrigo Cortés,89,,Robert De Niro,2,R
Greg Mottola,99,121463226,Emma Stone,2,R
Tyler Perry,0,90485233,Vanessa Ferlito,0,PG-13
David Hayter,512,,Jason Momoa,2,R
Jon M. Chu,209,58006147,Cassie Ventura,2,PG-13
Cory Edwards,19,51053787,Anne Hathaway,1,PG
Terry George,83,23472900,Don Cheadle,1,PG-13
Xavier Gens,87,39687528,Henry Ian Cusick,1,R
Kasi Lemmons,148,7017178,Jennifer Hudson,5,PG
Brian A Miller,32,,Bruce Willis,4,R
Matt Dillon,0,325491,Kirk Fox,0,R
Alejandro Amenábar,448,96471845,Fionnula Flanagan,0,PG-13
James Cameron,0,85200000,Michael Biehn,1,R
George Cukor,165,72000000,Jeremy Brett,1,Approved
Jim Gillespie,13,72219395,Muse Watson,1,R
Luke Greenfield,42,82389560,Rob Riggle,1,R
Alexander Payne,729,71502303,Virginia Madsen,0,R
Jay Chandrasekhar,422,19179969,Chris Moss,2,R
John Carpenter,0,47000000,Jamie Lee Curtis,0,R
Yimou Zhang,611,84961,Jet Li,4,PG-13
John Hoffman,9,37566230,Liam Aiken,1,PG
Malcolm D. Lee,92,70492685,Harold Perrineau,5,R
Joe Carnahan,248,35635046,Ryan Reynolds,0,R
Kevin Greutert,52,45670855,Costas Mandylor,0,R
Michael Lehmann,36,37939782,Emmanuelle Vaugier,0,R
Joseph Kosinski,364,172051787,Jeff Bridges,0,PG
John Fortenberry,12,30324946,Will Ferrell,2,PG-13
Daniel Barnz,33,27854896,Alex Pettyfer,1,PG-13
Alexandre Aja,192,41777564,Dan Byrd,0,R
Sam Weisman,39,22734486,Kevin Grevioux,1,PG-13
Niki Caro,51,44469602,Morgan Saylor,0,PG
Erik White,17,24708699,Brandon T. Jackson,7,PG-13
Chris Robinson,49,21160089,T.I.,0,PG-13
Jason Moore,36,64998368,Anna Kendrick,4,PG-13
Michael Tollin,19,19693891,Marc Blucas,2,PG-13
Sam Raimi,0,16311763,Gary Cole,1,R
Robert Harmon,11,12693621,Alexander Gould,0,PG-13
Trent Cooper,0,15655665,Thomas F. Wilson,2,PG-13
Gary Halvorson,11,11634458,Vanessa Williams,0,G
Antoine Fuqua,847,27154426,Don Cheadle,1,R
Nicholas Ray,117,,Ava Gardner,3,Unrated
Fede Alvarez,201,54239856,Lou Taylor Pucci,0,R
Donald Petrie,80,8662318,Nia Vardalos,1,PG-13
Paul Weitz,80,7156725,Judy Greer,6,PG-13
Sidney J. Furie,22,15681020,Jim Broadbent,6,PG
Ian Iqbal Rashid,8,7070459,DeRay Davis,0,PG-13
Wayne Kramer,47,6855137,Paul Walker,2,R
