director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,content_rating
353,151,Danny Huston,Drama|Mystery|Romance|Thriller,1565,Donald Sumpter,0,R
0,113,Maia Morgenstern,Drama,705,Hristo Shopov,0,R
0,711,Mara Wilson,Comedy|Drama|Family|Romance,52201,Matthew Lawrence,5,PG-13
272,628,Valeria Golino,Drama,12285,Beth Grant,3,R
16000,198,Dreama Walker,Drama,17347,Ahney Her,0,R
0,655,Scott Glenn,Biography|Drama|History,4264,Bruce McGill,1,PG-13
180,485,Holly Valance,Action|Thriller,16461,Xander Berkeley,0,PG-13
97,437,Gerald McRaney,Drama|Romance,3197,Clarke Peters,0,PG-13
81,164,Mike Starr,Action|Drama|Music|Romance,2551,DeVaughn Nixon,0,R
14000,212,Embeth Davidtz,Biography|Drama|History,15233,Caroline Goodall,0,R
150,2000,Bryce Dallas Howard,Drama,23227,Mike Vogel,2,PG-13
386,203,Peter Capaldi,Biography|Drama|Thriller,36337,Jamie Blackley,1,R
67,596,Linda Cardellini,Adventure|Comedy|Family|Fantasy|Horror|Mystery,7800,Tim Blake Nelson,0,PG
0,48,Igor Jijikine,Adventure|Fantasy|Mystery|Thriller,1166,Agnia Ditkovskite,1,
31,662,Jason Ritter,Action|Horror|Thriller,4692,Zack Ward,0,R
187,127,Ava Acres,Drama,1041,Sara Stewart,2,Not Rated
8,179,Rob Paulsen,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2251,Andrea Martin,0,G
198,387,Ben Feldman,Action|Adventure|Horror|Sci-Fi,3958,Liza Lapira,0,PG-13
34,445,Paige Turco,Action|Adventure|Comedy|Family|Sci-Fi,2501,Ernie Reyes Jr.,0,PG
0,188,Billy Drago,Crime|Drama|Thriller,22767,Charles Martin Smith,1,R
1000,883,Stephen Root,Crime|Drama|Thriller,4738,Barry Corbin,0,R
167,460,Tika Sumpter,Action|Comedy|Crime|Romance,2394,Bryan Callen,1,PG-13
11,887,Jim Broadbent,Comedy|Drama|Romance,16999,Shirley Henderson,3,R
529,163,Leslie Caron,Drama|Romance,1323,Hugh O'Conor,1,PG-13
0,643,Bruce McGill,Comedy,3500,Bob Newhart,2,PG-13
99,433,Gedde Watanabe,Comedy|Family,5740,Tom Everett Scott,5,PG
425,766,Greta Gerwig,Comedy|Romance,22739,Mindy Kaling,1,R
170,472,Dana Delany,Action|Biography|Drama|History|Romance|Western,4453,Powers Boothe,0,R
43,775,Delroy Lindo,Action|Crime|Thriller,9082,Aaliyah,1,R
503,108,Patrick Troughton,Fantasy|Horror|Mystery,673,Billie Whitelaw,2,R
70,318,Gina Holden,Horror,2420,Crystal Lowe,0,R
96,204,Riley Thomas Stewart,Drama|Romance,1852,Jay R. Ferguson,0,PG-13
47,3000,Zooey Deschanel,Adventure|Drama|Family|Fantasy,28071,Bailee Madison,3,PG
395,2000,Kate Winslet,Biography|Drama|Family,58823,Kelly Macdonald,1,PG
0,400,Tika Sumpter,Comedy|Drama,3202,Larry the Cable Guy,0,PG-13
248,726,Frank Grillo,Action|Adventure|Drama|Thriller,16606,James Badge Dale,1,R
21,317,Dylan Baker,Drama|Horror|Mystery|Thriller,23328,Robert John Burke,0,R
285,7000,Will Ferrell,Comedy,656730,Steve Carell,5,PG-13
17000,635,Mike Starr,Biography|Crime|Drama,24783,Paul Sorvino,3,R
91,434,Frankie Muniz,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,3037,Chris Gauthier,3,PG
52,579,Kelly Macdonald,Comedy|Family|Fantasy,17278,Imelda Staunton,0,PG
0,638,F. Murray Abraham,Crime|Drama,16464,Mary Elizabeth Mastrantonio,0,R
176,468,Michael McKean,Action|Adventure|Comedy|Crime,2457,Rebecca Gayheart,2,R
973,400,Joan Chen,Biography|Drama|History,2451,Victor Wong,0,PG-13
175,733,David O'Hara,Action|Crime|Drama|Thriller,26625,Lukas Haas,3,R
420,585,Paul Sorvino,Action|Comedy|Crime|Thriller,2530,Faizon Love,2,R
0,104,Paul F. Tompkins,Drama,533,Kevin Breznahan,0,R
0,503,Flea,Adventure|Animation|Comedy|Family|Fantasy,2908,Cree Summer,0,PG
0,362,Cree Summer,Adventure|Animation|Comedy|Family|Fantasy|Musical,3017,Nancy Cartwright,0,PG
92,466,Eddie Griffin,Action|Comedy,3001,Chi McBride,3,PG-13
42,917,America Ferrera,Comedy|Drama|Family|Romance,6862,Kyle Schmid,0,PG
20,872,Bridget Fonda,Action|Crime|Drama|Thriller,7945,Max Ryan,1,R
29,816,Katharine McPhee,Comedy|Romance,18789,Beverly D'Angelo,1,PG-13
23,485,Keshia Knight Pulliam,Comedy,3535,LisaRaye McCoy,1,PG-13
44,367,Suraj Sharma,Biography|Drama|Sport,6393,Gregory Alan Williams,0,PG
176,10000,Meryl Streep,Drama|Romance|Sci-Fi,36064,Alexander Skarsgård,3,PG-13
29,742,Oliver James,Comedy|Drama|Family|Romance,16400,Kelly Preston,1,PG
108,177,Jonathan Breck,Horror,1340,Billy Aaron Brown,0,R
7,440,Dan Fogler,Comedy|Romance,2822,Chelan Simmons,1,R
43,432,Tom Arnold,Action|Crime|Drama|Thriller,6867,DMX,2,R
335,530,Stephen Dillane,Drama|Romance,12624,Miranda Richardson,3,PG-13
99,960,Alexandra Breckenridge,Comedy|Romance,20109,Laura Ramsey,0,PG-13
68,100,Emma de Caunes,Comedy|Family,794,Steve Pemberton,0,PG
27,522,Salli Richardson-Whitfield,Action|Adventure|Horror|Thriller,2730,Johnny Messner,0,PG-13
0,745,Lili Taylor,Crime|Drama|Thriller,18442,Billy Crudup,6,R
59,403,Aaron Staton,Drama|Music,50927,Marian Seldes,0,PG
159,240,John Gielgud,Biography|Drama|History,1006,Eric Cantona,1,R
31,71,Park Bench,Comedy|Fantasy|Horror|Romance,667,Vince Corazza,0,R
130,288,Richard Anderson,Action|Drama|History|War,1548,James Whitmore,0,G
14,199,Richard Briers,Comedy|Family|Music,2176,Victoria Beckham,1,PG
234,370,J.B. Smoove,Comedy,3850,Kylie Bunbury,3,R
82,571,Essence Atkins,Action|Comedy|Music,4378,Chris Elliott,0,PG-13
0,461,Jeffrey DeMunn,Crime|Drama,13495,Bob Gunton,0,R
23,162,Paul Hogan,Adventure|Comedy|Crime,1315,Linda Kozlowski,0,PG
101,743,Lin Shaye,Comedy|Sport,16937,Richard Tyson,2,PG-13
81,81,Cjon Saulsberry,Crime|Drama|Thriller,3784,Griffin Cleveland,1,R
53,8000,Meryl Streep,Drama,39690,Julia Roberts,3,R
3,28,Trevor Blumas,Comedy|Drama|Family|Sport,235,Amy Stewart,2,G
13,165,Tyrone Giordano,Comedy|Drama|Romance,1095,James Read,3,PG-13
452,141,Taron Egerton,Biography|Comedy|Drama|Sport,21195,Tim McInnerny,3,PG-13
0,3000,Milla Jovovich,Drama|Sport,37315,Rosario Dawson,0,R
19,977,Marlon Brando,Comedy|Drama|Romance,52122,Faye Dunaway,3,PG-13
,3,John Sparkes,Animation|Comedy|Family,55,Kate Harbour,0,TV-G
529,690,Henry Thomas,Drama|Romance|War,19945,Scott Porter,,PG-13
41,619,Jason Patric,Action|Crime|Drama|Mystery|Thriller,12841,Óscar Jaenada,1,PG-13
24,155,Alan Dale,Fantasy|Horror|Thriller,3744,Jack Thompson,1,R
5,874,Jet Li,Action|Crime|Thriller,33565,Nadine Velazquez,0,R
0,98,Emily Watson,Comedy|Drama|Romance|Thriller,11994,Don McManus,0,R
17,360,Scott Mechlowicz,Comedy,14180,Jacob Pitts,5,R
70,223,Nia Peeples,Action|Crime|Thriller,1855,Tony Plana,0,PG-13
176,825,Rob Riggle,Adventure|Comedy|Family|Romance,4431,B.J. Novak,1,PG
21,418,Phoebe Cates,Drama,3067,Swoosie Kurtz,0,R
48,376,Udo Kier,Adventure|Family|Fantasy|Musical,2465,Bebe Neuwirth,2,G
0,58,Matthew Knight,Drama|History|Sport,1217,Amanda Tilson,1,PG
219,258,Gillian Jacobs,Drama|Fantasy|Mystery|Thriller,2466,Celia Weston,1,PG-13
27,49,Jonathan Tucker,Horror,1749,Sergio Calderón,0,R
154,347,Rupert Everett,Comedy|Drama|Romance,2498,Illeana Douglas,1,PG-13
0,255,Emily Meade,Horror|Mystery|Thriller,2537,Zena Grey,2,R
42,111,Timothy Bottoms,Comedy|Drama|Romance,911,Jacob Young,2,R
17,218,Zach Grenier,Action|Crime|Mystery|Romance|Thriller,1634,Paul Ben-Victor,1,R
54,455,Megan Mullally,Comedy|Crime,3065,Chris Penn,1,PG-13
241,151,Paul Anderson,Biography|Crime|Drama|History|Thriller,27659,Tara Fitzgerald,2,R
82,432,Jorma Taccone,Comedy,2062,Chris Parnell,5,PG-13
160,852,Joel David Moore,Horror|Thriller,4952,Katharine McPhee,0,PG-13
317,70,Devon Murray,Drama,1282,Pauline McLynn,1,R
425,148,Chi McBride,Drama|Sport,3757,Patrick St. Esprit,1,R
365,141,Steve Railsback,Action|Horror|Sci-Fi|Thriller,1008,Peter Firth,0,R
,265,Jennifer Hale,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,2346,Tom Kane,0,TV-Y7
0,939,Tom Wilkinson,Crime|Drama|History,21163,Stephen Root,0,PG-13
308,872,Michael Angarano,Biography|Drama|Sport,16651,Rebecca De Mornay,0,PG-13
36,399,James Brolin,Biography|Drama|History,2230,Jacob Vargas,7,PG-13
0,52,Kate Burton,Action|Adventure|Comedy|Fantasy,896,Peter Kwong,1,PG-13
8,8,Malonn Lévana,Comedy|Romance,210,Alice Pol,2,
149,581,Frank Grillo,Drama|Sport,29692,Kevin Dunn,1,PG-13
277,8000,Liam Neeson,Biography|Drama|Thriller|War,48482,Julia Roberts,2,R
33,251,William Morgan Sheppard,Drama|History|War,2107,James Patrick Stuart,0,PG
108,2000,Channing Tatum,Drama|War,43560,Abbie Cornish,2,R
79,956,Zooey Deschanel,Drama|Music|Mystery|Romance|Thriller,28987,Tony Goldwyn,3,PG-13
57,92,Tom Amandes,Drama|Mystery|Thriller,582,Daniel Lapaine,0,PG-13
30,309,Madison Davenport,Horror|Thriller,2348,Natasha Calis,0,PG-13
121,354,Jane Krakowski,Comedy|Drama|Romance,5023,Cathryn de Prume,3,PG-13
37,268,Laz Alonso,Action|Drama|Thriller,11431,Rhys Coiro,1,R
529,174,Christopher Evan Welch,Comedy|Drama,1134,James Biberi,0,R
22,120,Sam McMurray,Action|Crime|Drama|Thriller,583,Richard Gant,1,R
214,3000,Charlize Theron,Adventure|Drama,23566,Robert Duvall,2,R
71,42,Donovan Scott,Adventure|Fantasy,611,Ted Wass,1,PG
32,324,Nick Cannon,Action|Comedy|Crime|Drama|Thriller,2165,Kaylee DeFer,3,PG-13
6,248,Chris Klein,Comedy|Romance,2413,Jack Plotnick,2,R
79,50,Antony Starr,Biography|Drama|Sport,12574,Craig Hall,1,PG-13
160,490,Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,2603,Rachel Blanchard,0,R
54,919,Lori Petty,Action|Comedy|Sci-Fi,9662,Jeff Kober,0,R
2,807,Loretta Devine,Comedy|Crime,4990,Regina Hall,7,PG-13
353,18,Joe Pingue,Drama|Mystery|Sci-Fi|Thriller,142,Yûsuke Iseya,0,R
892,492,Udo Kier,Action|Adventure|Fantasy|Horror,2930,Michael Paré,2,R
2000,132,Christoph Waltz,Comedy|Drama,25143,Julie Adams,3,R
460,490,Alison Lohman,Crime|Drama|Mystery|Thriller,16090,Rachel Blanchard,2,R
80,31,Erica Linz,Fantasy,539,Igor Zaripov,0,PG
162,745,Monica Potter,Biography|Drama|Sport,4351,Billy Crudup,0,PG-13
0,240,Aidan McArdle,Drama,1591,James Tupper,3,PG-13
911,232,Sean Buchanan,Crime|Drama|Mystery|Romance,5954,Liya Kebede,2,R
0,407,Shea Whigham,Crime|Drama,13809,Shawn Hatosy,2,R
4,602,Jenny McCarthy,Adventure|Animation|Family,3874,Stacy Keach,2,PG
0,92,Benoît Magimel,Comedy|Drama,890,Gilles Lellouche,6,Not Rated
138,416,Bai Ling,Comedy|Drama|Romance|Sport,3204,Gil Birmingham,9,R
0,0,André Wilms,Adventure|Animation|Comedy,53,Jérôme Deschamps,0,G
0,7,Evgeniy Mironov,Adventure|Animation|Comedy|Family,48,Aleksandr Bashirov,0,G
0,1000,Brad Pitt,Crime|Drama|Thriller,27797,Goran Visnjic,4,R
9,520,Mackenzie Crook,Action|Adventure|History|Romance,3287,Derek Jacobi,2,R
27,87,Dan O'Herlihy,Action|Drama|History|War,705,Jack Hawkins,2,G
3,55,Charlie Yeung,Action|Drama,285,Wai-Keung Lau,2,
535,399,Mario Van Peebles,Action|Thriller,2204,Jacob Vargas,0,PG-13
350,418,Peter Capaldi,Drama|Romance,35501,Swoosie Kurtz,2,R
179,4000,Viggo Mortensen,Adventure|Drama,33747,Kirsten Dunst,4,R
12000,643,Nichelle Nichols,Adventure|Comedy|Sci-Fi,15449,Walter Koenig,5,PG
13000,461,Burt Young,Drama|Sport,15111,Mike Tyson,0,PG
19,848,Edgar Ramírez,Action|Crime|Sport|Thriller,3962,Delroy Lindo,1,PG-13
0,221,Jada Pinkett Smith,Horror|Mystery,2321,Kevin Williamson,5,R
149,439,Noah Emmerich,Action|Drama|Western,21414,Boyd Holbrook,0,R
167,676,Regina Hall,Comedy|Romance,4830,David Walton,8,PG-13
36,900,Matthew Perry,Comedy|Crime,17582,Natasha Henstridge,4,R
71,304,Chris Penn,Drama|Music|Romance,1962,Lori Singer,0,PG
480,497,Leah Remini,Comedy,10325,Patrick Fischler,4,R
0,161,David Hyde Pierce,Comedy|Drama|Fantasy,12947,Harry Shearer,1,R
41,970,Mekhi Phifer,Horror|Mystery,49847,Bill Cobbs,2,R
597,597,Jim Belushi,Comedy|Drama|Romance,3946,Bonnie Hunt,1,PG
0,92,Jeff Anderson,Comedy|Romance,638,Jennifer Schwalbach Smith,7,R
119,265,Pruitt Taylor Vince,Comedy|Crime|Drama,12254,Kathleen Wilhoite,4,R
293,939,Jeff Bridges,Comedy|War,32474,Stephen Root,0,R
269,384,Eddie Griffin,Action|Comedy|Crime|Thriller,2557,Garcelle Beauvais,2,PG-13
446,898,Clea DuVall,Biography|Drama,13433,Vanessa Redgrave,0,R
126,886,Gary Cole,Comedy|Romance,4681,Nathan Lane,1,PG-13
25,611,F. Murray Abraham,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,3243,David Arquette,0,G
0,227,Diana Ross,Adventure|Family|Fantasy|Music|Musical,1458,Theresa Merritt,0,G
48,940,Ellen Albertini Dow,Comedy|Sport,4971,Martin Landau,1,PG-13
41,197,Robert Wagner,Comedy|Drama|Sport,1523,Lolita Davidovich,0,R
41,847,Busy Philipps,Comedy|Romance,5470,Jessica Szohr,0,PG-13
192,847,Kelly Brook,Comedy|Horror,5737,Jessica Szohr,0,R
18000,286,Bob Hoskins,Biography|Drama|Music|Musical,23689,Brenda Blethyn,1,PG-13
9,254,M.C. Gainey,Comedy|Family,24436,A.J. Langer,2,PG
18,73,Kenneth Williams,Action|Adventure|Animation|Comedy|Fantasy,1088,Clive Revill,0,G
6,382,F. Murray Abraham,Drama|Romance,23769,Geraldine Chaplin,3,PG
88,706,Tom Berenger,Action|Crime|Drama|Thriller,14699,Mike Epps,1,R
6000,422,Blythe Danner,Adventure|Animation|Family|Fantasy,24263,Jean Simmons,0,PG
181,11,Bill Murray,Adventure|Comedy|Horror|Sci-Fi,28011,Derek Graf,4,R
0,84,Thomas Kretschmann,Action|Adventure|Drama|Romance,7122,Evan Parke,0,PG-13
153,427,Clint Howard,Comedy|Sport,13823,Peter Dante,0,PG-13
883,441,Kenny Baker,Action|Adventure|Fantasy|Sci-Fi,12643,Anthony Daniels,0,PG
0,244,Tchéky Karyo,Action|Comedy|Crime|Drama|Thriller,11013,Theresa Randle,0,R
119,144,Priscilla Presley,Comedy|Crime,3847,O.J. Simpson,6,PG-13
70,591,Brendan Fehr,Horror|Thriller,3345,Kerr Smith,1,R
0,1000,Philip Seymour Hoffman,Drama,57077,Jennifer Ehle,1,R
123,787,Radha Mitchell,Horror|Sci-Fi,16196,Cole Hauser,0,R
956,99,Ellen Barkin,Comedy|Romance,20798,Catherine Dent,3,PG-13
0,105,Brian Johnson,Drama|Romance|Sci-Fi,19359,Matt Letscher,1,R
452,141,Taron Egerton,Biography|Comedy|Drama|Sport,21195,Tim McInnerny,3,PG-13
131,62,Jessica Bowman,Mystery|Thriller,23242,Dell Yount,2,R
3,88,Keeley Hawes,Adventure|Family|Fantasy,2450,Oliver Stark,4,PG
61,407,Eva Amurri Martino,Comedy|Drama,22040,Shawn Hatosy,2,PG-13
3,120,Stark Sands,Comedy|Romance,829,Terence Maynard,0,PG-13
