duration,actor_3_facebook_likes,actor_3_name,country,budget
117,55,Paolo Seganti,Italy,12000000
93,514,Kari Wuhrer,USA,8500000
136,213,Mary Kay Place,USA,14000000
115,534,Isaiah Washington,USA,14000000
94,458,Wendell Pierce,USA,
85,489,Lexa Doig,USA,11000000
88,799,Lee Majors,USA,15000000
112,383,Brian Geraghty,USA,14000000
86,169,China Chow,USA,14000000
86,635,Osric Chau,USA,14000000
112,177,Isaach De Bankolé,France,
137,280,Jane Adams,USA,26000000
90,191,Noam Jenkins,USA,24000000
107,113,Tovah Feldshuh,USA,14000000
98,15,Bonnie Henna,France,14000000
84,102,Candace Kroslak,USA,14000000
139,5,Nigel Whitmey,France,14000000
97,548,Kris Marshall,UK,
127,324,Behrouz Vossoughi,Iran,14000000
150,43,Karl Johnson,UK,8200000
104,59,Edouard Baer,France,
132,284,Ulrich Mühe,France,103000000
117,21,Kelly Lin,China,12000000
115,322,Mark L. Young,USA,15000000
186,338,John Gallagher Jr.,USA,14000000
90,378,Diora Baird,Canada,
90,767,Aidan Quinn,USA,14000000
134,11000,Anne Hathaway,USA,14000000
101,429,Jeremy Howard,USA,125000000
97,201,Elisa Donovan,USA,12000000
107,135,Michael Gaston,USA,13500000
99,390,Collette Wolfe,USA,14000000
55,2,Olgierd Lukaszewicz,Poland,
124,170,Amelia Warner,UK,13500000
110,816,Michael Stuhlbarg,UK,15000000
105,400,Aunjanue Ellis,USA,
41,2,Jaroslaw Boberek,Poland,
178,471,Alexandra Maria Lara,Germany,13500000
125,93,Tamar Novas,Spain,10000000
108,21,Alison Chand,UK,
121,227,Bruno Kirby,USA,13000000
100,385,Michael Rispoli,South Korea,13400000
115,41,Boys II Men,USA,13000000
108,1000,Mark Margolis,USA,13000000
117,1000,Jennifer Ehle,USA,100000000
220,3000,Robert Duvall,USA,13000000
112,237,Fredro Starr,USA,13000000
99,54,Brooke Bundy,USA,7000000
109,579,Martin Henderson,USA,13000000
83,612,Marla Sokoloff,USA,13000000
107,316,Brian Keith,USA,13000000
102,360,Reg E. Cathey,USA,13000000
100,460,Bryan Callen,USA,12500000
97,835,Andrew Keegan,USA,16000000
92,301,Gene Simmons,USA,13000000
84,182,Bill Nunn,USA,8200000
86,2,Sedona Legge,USA,17000000
120,829,Cameron Bright,USA,13000000
89,329,Jean Smart,USA,13000000
117,912,Loretta Devine,USA,13000000
97,782,Ruby Dee,USA,18000000
91,459,Antonio Sabato Jr.,USA,13000000
100,388,Charlotte Sullivan,USA,13000000
72,435,Greg Germann,USA,13000000
84,334,Henry Simmons,USA,13200000
126,745,Jeffrey DeMunn,USA,18000000
108,123,Corey Johnson,UK,15000000
112,213,Mary Kay Place,USA,13000000
90,405,Tamala Jones,USA,6000000
91,140,Jason Gray-Stanford,USA,13000000
135,525,Rolando Molina,USA,14000000
141,78,Shidô Nakamura,USA,19000000
104,844,Bruce Dern,USA,13000000
84,744,Dave Chappelle,USA,13000000
118,491,Cas Anvar,Ireland,13000000
82,294,Traylor Howard,Canada,13000000
95,650,Traci Lords,USA,13000000
94,4000,Kirsten Dunst,France,13000000
88,75,Lena Endre,Sweden,
99,730,Robert Ri'chard,USA,13000000
121,812,Sela Ward,USA,13000000
84,690,Marley Shelton,USA,13000000
93,258,Ben Chaplin,UK,13000000
93,499,Sarah Wright,USA,13000000
120,280,Catalina Sandino Moreno,France,13000000
112,548,Peter Coyote,USA,13000000
107,252,Christopher Evan Welch,USA,13000000
112,8,Yves Jacques,France,100000000
96,73,Natalie Lisinska,USA,11000000
91,150,Paul Mazursky,USA,13000000
105,1000,Ethan Suplee,USA,26000000
125,968,Alex Rocco,Germany,13000000
102,850,Kate Walsh,USA,13000000
87,147,Thomas Ian Griffith,USA,3000000
118,442,Hope Davis,USA,13000000
115,887,Shirley Henderson,UK,20000000
91,794,Dougray Scott,USA,8495000
88,304,Jodie Whittaker,UK,13000000
127,116,Branko Djuric,USA,13000000
94,383,Roma Maffia,USA,13000000
115,29,Jung-jae Lee,South Korea,12620000
90,234,Steve Bastoni,Australia,13000000
102,113,Annie Golden,France,13000000
100,91,Gary Schwartz,Canada,12500000
117,543,Derek Luke,USA,12500000
109,355,Rob Morrow,USA,12500000
121,975,Michael Rapaport,USA,13000000
111,1000,Hannah Murray,Germany,3660000
100,99,Jude Ciccolella,USA,12500000
109,204,Jay R. Ferguson,USA,13000000
93,697,John Heard,USA,18000000
101,472,Rumer Willis,USA,16000000
101,135,Ronald Colman,USA,
106,552,Paul Schneider,USA,12000000
94,18,Cara Horgan,UK,12500000
140,322,Björk,Denmark,12800000
132,241,Clive Russell,USA,16000000
99,599,Gretchen Mol,USA,12500000
90,506,Richard Schiff,USA,15000000
105,844,Cheech Marin,USA,10500000
108,168,Christian Campbell,Canada,15000000
69,191,Bill Erwin,USA,12500000
