duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,title_year,aspect_ratio
104,81,612,3000,47474112,Action|Drama|Sci-Fi|Thriller,Don Cheadle,58227,5062,Gaby Hoffmann,0,1997,1.85
111,79,2000,11000,42877165,Action|Crime|Drama|Thriller,Harrison Ford,45602,26088,Natascha McElhone,0,1997,2.35
138,0,123,14000,35168677,Drama|History|Thriller|War,Liam Neeson,49311,15149,Lex Shrapnel,1,2002,2.35
100,128,78,596,56114221,Action|Adventure|Sci-Fi,Tim Blake Nelson,110486,1261,Tim Heidecker,3,2015,2.35
129,468,183,919,37567440,Adventure|Fantasy,William Smith,113065,2024,Sandahl Bergman,0,1982,2.35
144,2000,537,680,61644321,Biography|Drama|Sport,Paddy Considine,148238,2523,Rosemarie DeWitt,0,2005,2.35
110,96,554,887,190562,Action|Family|Fantasy|Musical,Shirley Henderson,2508,2728,Richard E. Grant,0,2010,2.35
140,378,599,12000,120147445,Drama|History|Sport,Jeff Bridges,57661,13808,Michael O'Neill,0,2003,2.35
113,101,848,22000,241688385,Action|Adventure|Drama|Thriller,Philip Seymour Hoffman,144053,26239,Jami Gertz,0,1996,2.35
106,357,4000,23000,144512310,Action|Crime|Thriller,Paul Walker,272223,45327,Jordana Brewster,2,2001,2.35
143,0,272,15000,233630478,Adventure|Drama|Romance,Tom Hanks,394317,15838,Nick Searcy,1,2000,1.85
108,750,971,49000,197992827,Animation|Comedy|Family|Music|Romance,Robin Williams,132501,70996,Elizabeth Daily,0,2006,2.35
108,521,129,13000,176049130,Action|Mystery|Thriller,Matt Damon,348232,14161,Oksana Akinshina,1,2004,2.35
124,249,936,11000,172620724,Action|Adventure|Drama|Thriller,Harrison Ford,146134,23603,Dean Stockwell,1,1997,2.35
116,0,471,11000,183405771,Crime|Thriller,Brad Pitt,402645,13028,Elliott Gould,4,2001,2.35
110,545,5000,14000,20315324,Action|Adventure|Romance,Milla Jovovich,88542,27694,Orlando Bloom,8,2011,2.35
91,266,11000,12000,148313048,Animation|Comedy|Family|Fantasy,Steve Buscemi,164148,37142,Jon Lovitz,2,2012,1.85
107,36,118,283,127706877,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,142496,662,Fred Tatasciore,2,2007,2.35
44,,148,544,,Crime|Drama|Horror|Mystery|Thriller,Caroline Dhavernas,159910,996,Hettienne Park,1,,1.78
115,79,820,18000,126149655,Action|Crime|Mystery|Thriller,Denzel Washington,166693,36237,Sam Shepard,1,2012,2.35
100,36,439,2000,66941559,Adventure|Comedy|Family,Ioan Gruffudd,26413,4182,Jim Carter,1,2000,1.85
104,420,535,2000,78009155,Action|Comedy|Crime,Matthew Broderick,110073,3768,Judd Hirsch,5,2011,2.35
138,278,213,14000,63224849,Comedy|Romance,Kate Winslet,182757,17423,Sarah Parish,3,2006,1.85
140,12000,619,10000,111544445,Action|Crime|Drama|Mystery|Thriller,Will Smith,188116,11951,Lisa Bonet,4,1998,2.35
120,278,963,11000,112703470,Comedy|Drama|Romance,Meryl Streep,69860,15226,Zoe Kazan,2,2009,1.85
122,0,11000,14000,117144465,Crime|Thriller,Al Pacino,256928,43499,Brad Pitt,3,2007,2.35
83,28,624,4000,84303558,Adventure|Animation|Comedy|Family,Jon Favreau,65270,6081,Jane Krakowski,1,2006,1.85
139,168,1000,14000,150832203,Adventure|Mystery|Sci-Fi,Kate Winslet,341058,22226,Mekhi Phifer,2,2014,2.35
131,218,29,5000,51396781,Drama|History|War,Bob Hoskins,188887,5103,Clemens Schick,1,2001,2.35
104,532,557,12000,47592825,Action|Adventure|Comedy|Thriller,Dwayne Johnson,82731,16930,Ewen Bremner,1,2003,2.35
130,323,330,670,50016394,Action|Adventure|Comedy|Fantasy,F. Murray Abraham,106528,2407,Joan Plowright,1,1993,2.35
145,252,210,879,57010853,Drama|Romance,Li Gong,119286,2380,Karl Yune,1,2005,2.35
104,681,159,584,62494975,Action|Crime|Thriller,Amber Stevens West,179500,1235,Nikki Griffin,5,2006,2.35
97,6,561,1000,46440491,Adventure|Animation|Comedy|Family|Fantasy,Jim Broadbent,35446,2707,Michael Palin,1,2011,1.85
178,102,551,12000,44606335,Drama|Fantasy|Romance,Anthony Hopkins,169023,23950,Jake Weber,0,1998,1.85
108,99,172,672,40048332,Action|Drama|Thriller,Raymond Cruz,61417,1460,Jsu Garcia,1,2002,1.85
123,189,87,813,,Comedy|Drama|Music|Musical,Roy Scheider,19228,1476,Max Wright,0,1979,1.85
106,763,809,8000,64933670,Adventure|Comedy|Drama|Family|Fantasy,Julia Roberts,70838,11454,Danny Woodburn,1,2012,1.85
112,1000,719,10000,31494270,Action|Comedy|Fantasy|Romance,Anna Kendrick,273921,12687,Ellen Wong,0,2010,1.85
135,36,106,894,31111260,Action|Adventure|Sci-Fi|Thriller,Glenn Morshower,77029,1439,Rekha Sharma,0,2003,2.35
109,88,571,611,123307945,Comedy|Romance|Sci-Fi,Larry Miller,39391,2818,Chris Elliott,1,2000,1.85
86,67,271,4000,153288182,Adventure|Comedy|Mystery,Sarah Michelle Gellar,71424,6355,Miguel A. Núñez Jr.,3,2002,1.85
95,38,20,409,13401683,Action|Sci-Fi,Wood Harris,203458,578,Rakie Ayola,0,2012,2.35
107,153,233,11000,137340146,Comedy|Drama|Fantasy|Romance,Adam Sandler,246492,12700,Julie Kavner,1,2006,1.85
130,0,602,875,,Comedy|Fantasy|Horror,Ted Danson,29932,2662,Adrienne Barbeau,0,1982,1.85
82,62,615,975,43575716,Action|Comedy|Family|Fantasy,Jack McBrayer,10233,3326,Katt Williams,0,2010,1.85
88,218,521,17000,80170146,Action|Adventure|Sci-Fi|Thriller,Kristen Stewart,243053,21863,Tom Hulce,0,2008,2.35
120,0,160,3000,75754670,Action|Adventure|Fantasy|Horror|Sci-Fi,Seth MacFarlane,208422,3632,Brian Steele,0,2008,1.85
162,21000,495,21000,33048353,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,301279,36928,Anthony Edwards,0,2007,2.35
123,55,956,3000,34543701,Action|Mystery|Sci-Fi|Thriller,Robert Duvall,100001,5839,Tony Goldwyn,1,2000,2.35
101,293,1000,11000,242589580,Comedy|Drama,Morgan Freeman,296904,21276,Lisa Ann Walter,1,2003,1.85
113,13000,5000,26000,102981571,Action|Adventure|Thriller,Jason Statham,270226,46355,Jet Li,9,2010,2.35
110,0,898,10000,180965237,Action|Adventure|Thriller,Tom Cruise,300542,12760,Vanessa Redgrave,0,1996,2.35
142,378,575,34000,407999255,Adventure|Drama|Sci-Fi|Thriller,Jennifer Lawrence,701607,49942,Anthony Reynolds,0,2012,2.35
102,480,461,14000,254455986,Comedy,Bradley Cooper,375879,16143,Mike Tyson,0,2011,2.35
126,13000,390,920,162831698,Action,Michael Gough,215255,2899,Andrew Bryniarski,0,1992,1.85
83,12,925,13000,155019340,Adventure|Animation|Comedy|Family,Bruce Willis,127345,22813,Catherine O'Hara,1,2006,1.85
85,255,443,1000,145771527,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,117212,3112,David Ogden Stiers,0,2002,1.66
97,56,852,12000,82506325,Comedy|Family|Fantasy,Steve Buscemi,27838,23907,Oprah Winfrey,0,2006,1.85
120,75,3000,11000,140459099,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,135601,22750,Robert Duvall,0,1998,2.35
116,23,110,13000,53215979,Action|Comedy|Crime|Thriller,Bruce Willis,125036,25220,Garrick Hagon,7,2013,2.35
113,88,421,11000,158115031,Comedy|Crime|Sport,Adam Sandler,130070,13693,Dalip Singh,11,2005,2.35
87,31,733,1000,133103929,Adventure|Animation|Comedy|Family|Fantasy|Music,Amy Poehler,22838,4073,Lauren Gottlieb,0,2011,1.85
101,221,11000,12000,133668525,Comedy,Steve Buscemi,107817,39269,Jon Lovitz,4,2013,1.85
110,88,11000,13000,130313314,Action|Adventure|Comedy,Bill Murray,168172,44798,Anne Hathaway,1,2008,1.85
128,278,343,18000,124590960,Comedy|Drama|Romance,Keanu Reeves,91092,22679,Paul Michael Glaser,1,2003,1.85
138,17000,163,29000,127968405,Mystery|Thriller,Leonardo DiCaprio,786092,29585,Nellie Sciutto,0,2010,2.35
88,91,982,4000,120136047,Comedy|Drama|Romance,Jon Favreau,48500,9913,Katy Mixon,2,2008,1.85
91,77,208,1000,128200012,Adventure|Animation|Comedy|Family|Sci-Fi,Jim Broadbent,103022,1804,Paula Abdul,1,2005,1.85
138,610,805,12000,112225777,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,283967,17087,Joan Allen,0,1997,2.35
99,163,495,11000,109993847,Comedy|Family|Fantasy|Romance,Adam Sandler,72326,12831,Kathryn Joosten,0,2008,2.35
117,0,818,15000,104054514,Crime|Drama|Thriller,Tom Hanks,200359,16828,Liam Aiken,0,2002,2.35
117,221,503,11000,103028109,Comedy|Romance,Adam Sandler,172878,16325,Kevin Nealon,1,2011,1.85
54,,0,577,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,213483,581,Charlie Cox,0,,16.0
123,165,744,12000,101087161,Action|Crime|Thriller,Steve Buscemi,225282,15362,Dave Chappelle,6,1997,2.35
118,154,915,3000,101111837,Action|Mystery|Thriller,Rosario Dawson,150764,5637,Cameron Boyce,3,2008,2.35
154,333,16000,22000,95632614,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,118483,61110,Charlie Hunnam,3,2003,2.35
118,117,10000,18000,94822707,Action|Adventure|Drama|Thriller,Denzel Washington,227072,44797,Gary Oldman,0,2010,2.35
90,10,159,49000,92969824,Comedy|Family|Sci-Fi,Robin Williams,63625,50005,Sam Lloyd,1,1997,1.85
113,101,913,14000,91188905,Fantasy|Horror|Mystery|Thriller,Liam Neeson,58184,17786,Virginia Madsen,0,1999,2.35
88,30,366,13000,90443603,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,112167,15001,Michael Jordan,1,1996,1.77
93,189,38,1000,82226474,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,65499,1267,William Abadie,0,2006,1.85
104,301,71,18000,79363785,Drama|Sci-Fi|Thriller,Keanu Reeves,139423,22194,Juan Riedinger,0,2008,2.35
135,503,67,8000,76081498,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,76099,8355,Michael Potts,1,1997,2.35
134,452,697,11000,85707116,Action|Drama|War,Brad Pitt,303185,20411,Jim Parrack,4,2014,2.35
98,425,397,11000,74329966,Action|Adventure|Comedy|Romance,Harrison Ford,60910,12729,Amy Sedaris,2,1998,2.35
80,40,375,3000,100169068,Adventure|Animation|Comedy|Family,Justin Timberlake,16385,4394,Josh Robert Thompson,0,2010,1.85
83,21,495,13000,73215310,Adventure|Animation|Family|Western,Matt Damon,44143,14261,Zahn McClarnon,0,2002,2.35
102,153,269,3000,80360866,Comedy|Family|Romance,Rosario Dawson,44662,5392,Nicholas Turturro,1,2011,2.35
130,81,427,10000,69102910,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,58402,12186,June Lockhart,0,1998,2.35
129,438,502,18000,65948711,Drama|Mystery|Sci-Fi|Thriller,Denzel Washington,86422,20056,Jose Pablo Cantillo,1,2004,1.85
117,69,87,898,821997,Drama|Romance,Vanessa Redgrave,666,1753,Michael Brandon,0,1997,1.85
89,266,859,12000,169692572,Animation|Comedy|Family|Fantasy,Steve Buscemi,56501,26839,Fran Drescher,0,2015,1.85
25,,474,1000,,Comedy|Family|Fantasy,Elizabeth Montgomery,11427,2614,Dick York,1,,4.0
74,11,62,340,60507228,Animation|Family|Fantasy|Music,Quincy Jones,27543,814,Russi Taylor,0,1999,1.78
96,25,102,891,56684819,Action|Adventure|Sci-Fi,Mark Addy,103787,1919,Josh Stamberg,0,2002,2.35
114,31,372,9000,50628009,Action|Adventure|Family|Fantasy|Thriller,Charlize Theron,22955,10731,David Paymer,0,1998,1.85
99,57,820,20000,69772969,Action|Crime|Thriller,Hugh Jackman,155532,25942,Sam Shepard,4,2001,2.35
129,258,163,2000,45356386,Action|Adventure|Western,Michael Emerson,71574,2864,Adrian Alonso,1,2005,2.35
113,25,129,49000,55350897,Drama|Fantasy|Romance,Robin Williams,83560,49631,Rosalind Chao,1,1998,2.35
90,65,658,11000,39442871,Comedy|Fantasy,Adam Sandler,80639,25190,Michael McKean,0,2000,1.85
118,0,871,13000,37899638,Action|Adventure|Comedy|Fantasy|Thriller,Matt Damon,98472,27114,Mackenzie Crook,2,2005,1.85
106,13000,733,20000,37754208,Action|Comedy|Sci-Fi,Natalie Portman,172217,22590,Lukas Haas,3,1996,2.35
81,92,8,23,,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,979,54,Julie-Marie Parmentier,0,2015,2.35
117,93,904,12000,27779888,Action|Adventure|Drama|Thriller,Anthony Hopkins,55913,14831,Bart the Bear,2,1997,2.35
89,84,1000,13000,38542418,Action|Sci-Fi|Thriller,Bruce Willis,151424,18132,Boris Kodjoe,5,2009,2.35
145,79,183,981,34566746,Drama|History|Thriller,Bruce Greenwood,45231,1825,Bruce Thomas,1,2000,1.85
114,357,366,13000,32885565,Action|Adventure|Drama|Thriller,Sylvester Stallone,53132,25126,Amy Brenneman,0,1996,1.85
87,43,210,882,36073232,Adventure|Animation|Family,Charlie Rowe,8913,1971,Madison Rothschild,0,2013,2.35
119,64,41,743,21471685,Action|Adventure|Sci-Fi,Richard Tyson,65464,971,John Topor,0,2000,2.35
91,287,695,3000,20950820,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Brendan Fraser,24183,5593,Heather Locklear,4,2003,2.35
118,252,30,529,19673424,Drama|Musical|Romance,Fergie,37446,619,Andrea Di Stefano,4,2009,2.35
116,503,982,23000,19480739,Action|Adventure|Sci-Fi,Paul Walker,53057,43887,Ethan Embry,0,2003,2.35
177,0,582,766,17593391,Action|Adventure|Drama|Sci-Fi,Olivia Williams,56403,4346,Larenz Tate,1,1997,2.35
97,750,231,1000,18318000,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,24868,2521,Glenne Headly,0,1998,1.85
106,42,612,14000,27356090,Action|Adventure|Fantasy,Vin Diesel,58752,16922,Lotte Verbeek,0,2015,2.35
106,14,0,2,17473245,Action|Sci-Fi|Thriller,Bob Neill,47612,2,Tom Sizemore,1,2000,2.35
94,0,14,563,15131330,Adventure|Animation|Family|Fantasy,Mia Farrow,25843,683,Penny Balfour,0,2006,2.35
104,63,7,67,19406406,Documentary|Drama,Pedro Armendáriz Jr.,7630,152,Rie Miyazawa,0,2009,2.35
102,0,212,1000,1891821,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,16474,1890,Jemima Rooper,0,2005,2.35
105,545,74,795,23219748,Action|Adventure|Drama|History|Romance,Sasha Roiz,84508,1099,Dylan Schombing,0,2014,2.35
89,0,20,163,,Animation|Family,Sariann Monaco,230,370,Ben Diskin,0,2015,
135,2000,535,1000,170708996,Biography|Drama,Adam Goldberg,610568,2827,Judd Hirsch,0,2001,1.85
73,28,847,2000,422783777,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,644348,6458,Niketa Calame,0,1994,1.66
94,62,722,14000,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,67296,27842,Kristin Davis,3,2012,1.85
95,18,18,622,119793567,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,64387,848,Melissa Sturm,0,2013,2.35
124,420,876,22000,92930005,Crime|Drama|Thriller,Philip Seymour Hoffman,204063,35867,Emily Watson,0,2002,2.35
136,394,1000,24000,67286731,Action|Adventure|Western,J.K. Simmons,67856,36925,Peter Mensah,1,2004,2.35
91,221,553,14000,74158157,Comedy,Al Pacino,60370,27405,Tim Meadows,2,2011,1.85
107,309,771,23000,127083765,Action|Crime|Thriller,Paul Walker,191912,25296,Mo Gallini,5,2003,2.35
108,54,6000,12000,1339152,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,28276,30230,Mackenzie Foy,1,2015,2.35
99,101,327,1000,15071514,Sci-Fi|Thriller,Roger Rees,65037,2323,Jeremy Northam,2,2007,1.85
92,5,924,22000,26000610,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,16611,28050,Jonathan Winters,0,2000,1.85
87,11,745,1000,323505540,Animation|Comedy|Family,Steve Coogan,24407,4782,Albert Brooks,0,2016,1.85
110,45,845,1000,66462600,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,141533,4714,Tony Curran,3,2003,2.35
98,275,1000,7000,368049635,Animation|Comedy|Family|Sci-Fi,Steve Carell,286877,11905,Steve Coogan,0,2013,1.85
154,776,933,10000,306124059,Action|Adventure|Sci-Fi,Will Smith,430055,16785,Mary McDonnell,0,1996,2.35
129,14000,227,610,229074524,Action|Adventure|Sci-Fi,Ariana Richards,278362,1635,Vanessa Lee Chester,0,1997,1.85
86,35,179,851,193136719,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,266636,1777,Andy Richter,0,2005,1.85
109,0,18,16000,35286428,Drama|Sci-Fi|Thriller,Charlie Hunnam,361767,16479,Rita Davies,0,2006,1.85
104,0,505,20000,157299717,Action|Adventure|Sci-Fi,Hugh Jackman,452928,21397,Bruce Davison,0,2000,2.35
110,335,988,11000,134568845,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,299852,25763,Common,0,2008,2.35
136,0,904,12000,134006721,Action|Adventure|Thriller,Nicolas Cage,259492,15999,Bokeem Woodbine,1,1996,2.35
115,107,241,835,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,194249,1815,Jay Leno,0,2006,1.85
99,88,328,11000,120776832,Comedy|Romance,Adam Sandler,266103,12952,Allen Covert,2,2004,2.35
117,163,260,719,118823091,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,98693,1673,Paul Dooley,9,2007,2.35
125,212,394,613,41814863,Horror|Mystery|Thriller,James D'Arcy,28635,1970,Izabella Scorupco,0,2004,2.0
110,16,692,2000,97360069,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,36491,5320,Rupert Everett,0,1999,1.85
125,255,963,11000,117698894,Crime|Mystery|Thriller,Morgan Freeman,447979,13312,Michael Kelly,6,2013,2.35
102,221,4000,12000,162001186,Comedy,Steve Buscemi,181443,28497,Salma Hayek,4,2010,1.85
128,14000,232,15000,77032279,Comedy|Drama,Tom Hanks,303864,16199,Barry Shabaka Henley,0,2004,1.85
43,,218,1000,,Drama|Fantasy|Horror|Thriller,Harold Perrineau,36919,1990,Charles Halford,1,,16.0
100,87,446,3000,73023275,Comedy|Family,Don Cheadle,16271,5174,Yvette Nicole Brown,4,2009,1.85
124,258,748,867,68473360,Action|Adventure|Drama|Thriller,Nicholas Lea,49536,3424,Ben Mendelsohn,0,2000,1.85
102,0,15000,22000,66636385,Biography|Comedy|Drama|History,Philip Seymour Hoffman,88451,60646,Jud Tylor,1,2007,1.85
90,10,11000,22000,160762022,Adventure|Animation|Comedy|Family,Robert De Niro,132415,63165,Angelina Jolie Pitt,0,2004,1.85
130,386,525,912,103338338,Drama|Music|Musical,Loretta Devine,55901,2856,Anika Noni Rose,0,2006,2.35
45,,0,374,,Crime|Drama|Mystery,Adam Arkin,29450,504,Damian Lewis,1,,
118,473,680,12000,55808744,Comedy|Crime|Music,Dwayne Johnson,59435,15889,Debi Mazar,4,2005,2.4
163,14000,412,745,47379090,Drama|History|Thriller,Ayelet Zurer,176936,2529,Mathieu Amalric,0,2005,2.35
142,845,787,13000,43426961,Action|Drama|Thriller|War,Bruce Willis,93494,16580,Cole Hauser,1,2003,2.35
100,126,925,19000,47000485,Action|Comedy|Romance|Thriller,Tom Selleck,72867,25206,Catherine O'Hara,2,2010,2.35
116,0,104,15000,45434443,Action|Adventure|Comedy,Henry Cavill,175960,15735,Christian Berkel,2,2015,2.35
131,274,138,11000,42044321,Comedy|Drama|Romance,Adam Sandler,65668,12522,Sarah Steele,2,2004,1.85
91,27,925,12000,73661010,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,71137,17299,Catherine O'Hara,0,2006,2.35
123,272,193,13000,41523271,Comedy|Crime|Drama|Romance,Bruce Willis,57038,13934,Azura Skye,2,2001,2.35
134,109,249,919,37600435,Action|Adventure|Romance|Thriller,Julia Ormond,55350,1695,John Gielgud,3,1995,1.85
148,72,99,582,39251128,Drama|History|Romance,Bai Ling,31080,804,Randall Duk Kim,2,1999,2.35
110,763,222,15000,83503161,Action|Drama|Fantasy|Romance,Henry Cavill,138190,16691,Steve Byers,1,2011,1.85
