director_name,director_facebook_likes,num_voted_users
Vic Sarin,24,1696
William Kaufman,58,10196
,,10388
David Cronenberg,0,60522
Cédric Klapisch,82,34383
Kate Barker-Froyland,4,6797
Barbet Schroeder,58,43575
Martin Koolhoven,12,9230
Charles Matthau,139,6741
John Frankenheimer,287,10119
Christopher M. Bessette,0,748
Prachya Pinkaew,64,30210
Gary Sinyor,0,867
,,55987
Gurinder Chadha,98,89806
John Sayles,407,3433
Preston A. Whitmore II,17,8707
Ashish R. Mohan,2,4633
Jaume Balagueró,57,55597
Stewart Raffill,12,548
George Roy Hill,131,175607
Hugh Hudson,46,40511
Darren Grant,0,10472
Scott Hicks,96,43013
Joseph Gordon-Levitt,23000,190494
Clint Eastwood,16000,36381
Terry Zwigoff,72,96129
Richard Eyre,14,14786
William Sachs,14,1955
Christophe Barratier,25,44151
Émile Gaudreault,9,5548
James Cox,10,18792
Spike Lee,0,59524
James Toback,56,3754
Aki Kaurismäki,592,15267
Gaspar Noé,929,87244
Hitoshi Matsumoto,17,1658
Rakeysh Omprakash Mehra,85,70233
Collin Schiffli,4,605
George Ratliff,3,3788
David Wain,136,15315
Shane Meadows,222,4471
Morten Tyldum,77,79353
Jon Wright,4,13227
Michael McGowan,12,4976
Liv Ullmann,440,2894
Jeannot Szwarc,82,21049
Rohan Sippy,4,3266
James Wan,0,109214
Darren Lynn Bousman,163,188679
Dan Trachtenberg,16,126893
Jeff Tremaine,79,67992
David F. Sandberg,26,13523
Henry Joost,24,76828
Stiles White,10,31915
Chuck Russell,55,49820
Joel Edgerton,0,79916
Eugenio Derbez,399,22105
Henry Joost,24,51204
Henry Koster,28,6359
Blake Edwards,688,19596
Rachel Talalay,54,30765
Patty Jenkins,260,105568
Richard Fleischer,130,22123
Christopher Landon,52,31791
David Lynch,0,161972
Jean-Marc Vallée,212,326494
David Gelb,26,28513
Christopher Nolan,22000,845580
Mike Flanagan,59,85688
Kevin Smith,0,114797
Stephen Daldry,335,98354
Nat Faxon,214,115813
George Jackson,0,3571
George Miller,18,5894
Maurice Joyce,0,2448
Robert Duvall,3000,11622
Frank Perry,24,10564
Jesse Peretz,37,74875
Stephen Hopkins,81,11744
Ice Cube,0,4345
Tim Blake Nelson,596,17333
John Erick Dowdle,66,49948
Bille Woodruff,23,5975
Kasi Lemmons,148,6915
Richard Glatzer,25,86077
Michael Curtiz,345,2498
Bruce Malmuth,6,12519
Rob Hedden,6,22961
Joel Zwick,38,102071
Harmony Korine,520,108683
Joe Chappelle,13,20815
Alfonso Cuarón,0,91377
Edgar Wright,1000,395921
Mickey Liddell,7,7904
John Sayles,407,23202
Dwight H. Little,27,29629
Fred Walton,17,10624
Barry Levinson,272,14995
Steve Carver,8,7973
Gonzalo López-Gallego,17,47227
Christine Jeffs,19,61151
John Erick Dowdle,66,48675
Don Coscarelli,152,15345
King Vidor,54,2017
Michael Tiddes,89,9509
Bill Duke,1000,2326
Frank Borzage,57,3519
Bille Woodruff,23,1180
Mamoru Hosoda,99,5164
Brian Dannelly,12,40274
Denys Arcand,66,24921
Richard Lester,44,8930
J.S. Cardone,23,7319
Guy Hamilton,82,13587
Jay Levey,3,21416
Nicholaus Goossen,4,67853
Tamara Jenkins,84,9427
Sergio Leone,0,216005
Jon Favreau,4000,15053
Duncan Jones,0,260607
Scott Marshall,7,2719
Ronan Chapalain,0,296
Atom Egoyan,460,26720
Xavier Beauvois,22,12411
Randall Miller,19,12233
Jerry Belson,3,881
Peter Jackson,0,50197
Michael Polish,35,2047
Dan Rush,7,40305
Jake Kasdan,52,12366
Brad Anderson,122,281649
Paul Schrader,261,3665
Michael Cuesta,52,32382
John Cameron Mitchell,263,40618
Fenton Bailey,13,12675
Jeremy Saulnier,57,28845
Billy Kent,0,5494
James Manera,0,1900
Wes Anderson,0,54478
Kevin Spacey,18000,6632
Feroz Abbas Khan,0,1311
Errol Morris,239,3329
Dennis Hopper,0,1599
Eli Craig,27,127842
Nicholas Fackler,6,1560
Richard Wallace,5,989
Morgan J. Freeman,204,1884
Matthew Hastings,3,4041
M. Night Shyamalan,0,65299
Brian De Palma,0,8824
Klaus Menzel,34,1207
,,3852
Oren Peli,110,7888
Jaume Balagueró,57,23756
Paul Andrew Williams,46,10056
Stephen Herek,65,10734
Bob Saget,799,4322
Jim Amatulli,0,215
,,67315
William H. Macy,0,12672
Barrett Esposito,0,83
Mitch Davis,7,1091
Eric Bross,49,216
Paul Schrader,261,6964
Vicky Jewson,3,237
Peter Hyams,0,15988
Marc Bennett,3,38
Mike Mayhall,14,8
Kevin Smith,0,849
Stanton Barrett,20,928
Jirí Menzel,44,6183
Fatih Akin,766,29203
Billy Bob Thornton,0,72443
Nick Murphy,58,46347
Eli Roth,0,138814
Michael Winterbottom,187,11202
Jeff Nichols,337,68211
Frank LaLoggia,7,4695
Jeremy Brock,16,9611
Scott Foley,0,4247
Tobe Hooper,365,19234
Sam Peckinpah,541,13467
Nicolas Winding Refn,0,83234
Christophe Ali,0,262
Gabriela Tagliavini,20,1427
Shekar,0,57
Shona Auerbach,11,18940
Leonard Farlinger,0,436
Michel Leclerc,3,6304
Analeine Cal y Mayor,4,421
Tom Kalin,4,8867
Robert Sarkies,0,2776
Hugh Wilson,37,87739
Randal Kleiser,116,50125
Mike Newell,179,107923
Amy Heckerling,143,71217
John Huston,1000,13474
Spike Lee,0,149528
,,6762
Lana Wachowski,0,41138
Darren Aronofsky,0,573541
Walter Lang,9,2756
