duration,director_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score
101,0,3000,5056,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,English,UK,R,20000000,1000,7.0
103,17,754,1567,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,English,USA,PG,,605,7.1
87,0,696,1618,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,English,Germany,R,950000,371,5.5
30,,775,1713,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,English,USA,,,275,5.9
100,12,529,2468,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,English,USA,Not Rated,950000,413,6.0
90,29,1000,2504,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,English,USA,,989000,569,4.8
83,0,56,104,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,English,USA,,913000,28,7.1
108,603,10000,11094,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,English,USA,Not Rated,910000,416,8.2
100,28,945,2924,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,English,USA,R,930000,756,5.7
113,163,131,264,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,Romanian,Romania,Not Rated,590000,60,7.9
97,171,1000,1343,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,English,USA,,3000000,171,7.3
104,171,109,117,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,English,USA,R,950000,8,7.1
91,91,982,3299,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,English,USA,R,900000,796,6.4
107,32,144,509,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,Persian,France,R,,127,5.9
85,0,282,687,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,English,USA,R,900000,270,7.5
101,6,975,4184,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,English,USA,R,900000,947,6.4
70,11,16,63,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,English,USA,Approved,,12,7.4
88,0,465,897,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,English,USA,R,850000,140,7.3
112,29,12000,15800,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,English,USA,PG-13,15000000,1000,6.5
107,6,23000,26017,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,English,USA,R,850000,813,7.2
78,0,0,0,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,French,France,,900000,0,6.7
90,66,904,5435,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,English,USA,R,1000000,782,7.1
88,15,938,3770,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,English,USA,R,850000,904,6.0
92,43,904,1751,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,English,USA,R,,517,6.7
95,14,284,1185,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,English,USA,PG,825000,234,5.6
85,46,418,926,bathroom|chase|girl|pimp|toilet,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,English,UK,R,500000,146,7.0
86,63,489,1278,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,English,USA,,990000,207,4.9
90,8,1000,3336,,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,English,USA,,100000,806,3.2
123,0,786,2501,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,Persian,Iran,PG-13,500000,712,8.4
93,5,49,81,cocaine|edinburgh scotland|stand up comedian,http://www.imdb.com/title/tt1349478/?ref_=fn_tt_tt_1,English,UK,,,11,6.9
88,377,529,1502,bully|first crush|school|social outcast|taunting,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,English,USA,R,800000,502,7.5
114,9,159,423,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,English,USA,R,800000,143,7.2
88,6,302,663,based on short film|manhattan new york city|urination|vomiting|watching television,http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1,English,France,R,800000,270,7.2
110,21,426,455,escape|femme fatale|german expressionism|lust|violence,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,German,Germany,Not Rated,,20,8.0
95,0,940,1484,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,English,USA,,850000,188,7.4
83,0,24,29,buenos aires argentina|economics|housekeeper|maid|servant,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,Spanish,Argentina,Unrated,800000,5,7.2
104,37,574,1983,colorado|diner|iraq|nuclear missile|president,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,English,France,R,800000,573,6.5
94,3,262,991,death|farm|fur coat|grief|misfit,http://www.imdb.com/title/tt0339419/?ref_=fn_tt_tt_1,English,USA,R,800000,262,7.2
87,0,1000,2359,based on play|independent film,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,English,USA,R,,749,4.2
93,247,247,954,,http://www.imdb.com/title/tt3569356/?ref_=fn_tt_tt_1,English,USA,Not Rated,600000,217,5.1
91,75,35,116,medical student|nazi|snow|snowmobile|zombie,http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1,Norwegian,Norway,Not Rated,800000,16,6.4
90,38,214,587,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,http://www.imdb.com/title/tt0373283/?ref_=fn_tt_tt_1,English,USA,PG-13,780000,115,6.8
14,0,134,315,alien|flight attendant|monster|pilot|tentacle,http://www.imdb.com/title/tt2164708/?ref_=fn_tt_tt_1,English,USA,,,93,6.2
112,0,11000,14954,california|car|drag racing|high school|rock 'n' roll,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,English,USA,PG,777000,2000,7.5
75,21,25,25,american politics|armed forces|political corruption|shady|war profiteer,http://www.imdb.com/title/tt0815181/?ref_=fn_tt_tt_1,English,USA,,750000,0,7.7
86,8,2000,3071,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,English,USA,R,750000,424,6.9
86,365,934,2714,classified ad|intern|magazine|time machine|time travel,http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1,English,USA,R,750000,830,7.0
89,15,312,548,stand up comedy,http://www.imdb.com/title/tt1999192/?ref_=fn_tt_tt_1,English,USA,R,,135,7.5
95,214,513,1269,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,English,UK,Not Rated,500000,257,6.3
101,243,969,1252,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,English,USA,R,750000,128,5.5
89,687,10000,12183,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,787,4.8
106,973,319,500,fascist|gun|italy|nudity|sexuality,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,Italian,Italy,R,750000,90,8.1
88,168,108,243,conspiracy theory|kennedy assassination|mock documentary|paranoia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,English,USA,R,750000,72,6.6
99,4,1000,1558,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,English,UK,R,900000,233,5.2
90,129,935,2170,drugs|female nudity|party|voyeur|voyeurism,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,English,USA,R,750000,611,5.6
95,3,717,1117,artist|blood|drug|tree sap|vampire,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,English,USA,R,750000,134,3.1
85,160,998,2496,appeasement|frontier justice|justice|one against many|street shootout,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,English,USA,PG,750000,575,8.1
170,23,7,15,athlete|basketball|high school|high school student|school,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,English,USA,PG-13,700000,6,8.3
86,30,262,321,clown|clowning|dance|gang|south central los angeles,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,English,USA,PG-13,,23,7.1
,364,22000,26578,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,English,USA,,,4000,8.1
97,52,80,209,ephebophile|pederasty|pedophilia|playing hooky|shaving,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,English,USA,NC-17,700000,67,7.2
104,0,601,1581,accused of witchcraft|based on short story,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,524,6.3
88,0,618,2476,brooklyn new york city|los angeles california|teacher|trauma|violence,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,English,USA,PG-13,,592,4.0
201,0,6000,7122,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,207000000,918,7.2
108,174,730,2160,brother sister relationship|group of friends|male nudity|twin|wax,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,Australia,R,30000000,716,5.3
106,31,33000,33734,bathroom|classroom|dialectics|drugs|student,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,English,USA,R,700000,519,7.2
