director_name,actor_3_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,budget
David Lynch,121,,Eraserhead ,69831,http://www.imdb.com/title/tt0074486/?ref_=fn_tt_tt_1,English,20000
Harry F. Millarde,0,3000000,Over the Hill to the Poorhouse ,5,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,,100000
Robert Townsend,287,5228617,Hollywood Shuffle ,2770,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,English,100000
Peter Chelsom,545,2643689,The Mighty ,10499,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,English,
Jamaa Fanaka,10,,Penitentiary ,509,http://www.imdb.com/title/tt0079709/?ref_=fn_tt_tt_1,English,100000
Larry Blamire,56,110536,The Lost Skeleton of Cadavra ,4117,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,English,40000
Stephen Langford,50,,Dude, Where's My Dog?! ,73,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,English,20000
E.L. Katz,307,59379,Cheap Thrills ,12796,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,English,200000
Lisanne Pajot,0,,Indie Game: The Movie ,16701,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,English,100000
Dan Reed,140,,Closure ,5747,http://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,English,1800000
John Reinhardt,75,,Open Secret ,67,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,English,
Patrick Ryan Sims,10,,Echo Dr. ,101,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,English,100000
Laslo Benedek,13,,The Night Visitor ,544,http://www.imdb.com/title/tt0066141/?ref_=fn_tt_tt_1,English,
Jason Miller,0,,The Past is a Grotesque Animal ,80,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,English,100000
Dennis Iliadis,616,32721635,The Last House on the Left ,67824,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,English,15000000
Sut Jhally,0,,Peace, Propaganda & the Promised Land ,496,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,English,70000
Darren Aronofsky,194,3216970,Pi ,142619,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,English,60000
Julie Davis,117,33598,I Love You, Don't Touch Me! ,405,http://www.imdb.com/title/tt0130019/?ref_=fn_tt_tt_1,English,
Myles Berkowitz,153,536767,20 Dates ,1622,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,English,60000
Brett Piper,3,,Queen Crab ,48,http://www.imdb.com/title/tt2319456/?ref_=fn_tt_tt_1,English,75000
Morgan Spurlock,0,11529368,Super Size Me ,85028,http://www.imdb.com/title/tt0390521/?ref_=fn_tt_tt_1,English,65000
Brandon Trost,128,40557,The FP ,1389,http://www.imdb.com/title/tt1296373/?ref_=fn_tt_tt_1,English,60000
Joe Swanberg,442,30084,Happy Christmas ,5507,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,English,70000
Joseph Green,6,,The Brain That Wouldn't Die ,4752,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,English,62000
Wade Gasque,46,,Tiger Orange ,683,http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1,English,100000
Daniel Schechter,272,,Supporting Characters ,760,http://www.imdb.com/title/tt1874789/?ref_=fn_tt_tt_1,English,
Mike Flanagan,9,,Absentia ,13065,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,English,70000
Edward Burns,73,10246600,The Brothers McMullen ,6375,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,English,25000
Matt Johnson,8,,The Dirties ,3885,http://www.imdb.com/title/tt2334896/?ref_=fn_tt_tt_1,English,
Bruno Barreto,3,,Gabriela ,712,http://www.imdb.com/title/tt0085575/?ref_=fn_tt_tt_1,Portuguese,
Lena Dunham,433,389804,Tiny Furniture ,11816,http://www.imdb.com/title/tt1570989/?ref_=fn_tt_tt_1,English,65000
Terron R. Parsons,133,,Hayride ,485,http://www.imdb.com/title/tt1861343/?ref_=fn_tt_tt_1,English,60000
Daniel Mellitz,15,,The Naked Ape ,128,http://www.imdb.com/title/tt0381053/?ref_=fn_tt_tt_1,English,
Jem Cohen,,,Counting ,61,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,English,50000
Andrew Leman,5,,The Call of Cthulhu ,6261,http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1,English,50000
Dave Carroll,,,Bending Steel ,53,http://www.imdb.com/title/tt2181837/?ref_=fn_tt_tt_1,English,50000
William Eubank,236,,The Signal ,48236,http://www.imdb.com/title/tt2910814/?ref_=fn_tt_tt_1,English,4000000
Patrick Meaney,18,,The Image Revolution ,66,http://www.imdb.com/title/tt2294916/?ref_=fn_tt_tt_1,English,50000
Chad Hartigan,69,,This Is Martin Bonner ,733,http://www.imdb.com/title/tt1798291/?ref_=fn_tt_tt_1,English,42000
Malcolm Goodwin,281,,A True Story ,181,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,English,45000
David Gordon Green,15,241816,George Washington ,6246,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,English,42000
Kevin Jordan,113,277233,Smiling Fish & Goat on Fire ,2631,http://www.imdb.com/title/tt0162348/?ref_=fn_tt_tt_1,English,40000
Kirk Loudon,279,,Dawn of the Crescent Moon ,34,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,English,75000
Travis Legge,76,,Raymond Did It ,192,http://www.imdb.com/title/tt1716760/?ref_=fn_tt_tt_1,English,40000
Martin Scorsese,476,321952,The Last Waltz ,12611,http://www.imdb.com/title/tt0077838/?ref_=fn_tt_tt_1,English,
Collin Joseph Neal,130,,Run, Hide, Die ,106,http://www.imdb.com/title/tt2442662/?ref_=fn_tt_tt_1,English,50000
Bradley Rust Gray,20,24705,The Exploding Girl ,1516,http://www.imdb.com/title/tt1294161/?ref_=fn_tt_tt_1,English,
Mike Bruce,17,243768,The Legend of God's Gun ,143,http://www.imdb.com/title/tt1073221/?ref_=fn_tt_tt_1,English,30000
Andrew Bujalski,3,,Mutual Appreciation ,1578,http://www.imdb.com/title/tt0446747/?ref_=fn_tt_tt_1,English,
Damir Catic,0,,Her Cry: La Llorona Investigation ,23,http://www.imdb.com/title/tt2469216/?ref_=fn_tt_tt_1,English,60000
Ben Wheatley,59,9609,Down Terrace ,2646,http://www.imdb.com/title/tt1489167/?ref_=fn_tt_tt_1,English,
Kevin Smith,216,3151130,Clerks ,181749,http://www.imdb.com/title/tt0109445/?ref_=fn_tt_tt_1,English,230000
James Bidgood,,8231,Pink Narcissus ,803,http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,English,27000
Andrew Bujalski,3,,Funny Ha Ha ,1894,http://www.imdb.com/title/tt0327753/?ref_=fn_tt_tt_1,English,
Neil LaBute,7,2856622,In the Company of Men ,11550,http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1,English,25000
David Ayer,120,10499968,Sabotage ,47502,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,English,35000000
Eric Eason,42,,Manito ,493,http://www.imdb.com/title/tt0298050/?ref_=fn_tt_tt_1,English,24000
Uwe Boll,492,,Rampage ,15091,http://www.imdb.com/title/tt1337057/?ref_=fn_tt_tt_1,English,
Richard Linklater,0,1227508,Slacker ,15103,http://www.imdb.com/title/tt0102943/?ref_=fn_tt_tt_1,English,23000
Joseph Mazzella,9,,Dutch Kills ,57,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,English,25000
Travis Legge,138,,Dry Spell ,114,http://www.imdb.com/title/tt2375036/?ref_=fn_tt_tt_1,English,22000
Alex Kendrick,4,,Flywheel ,2986,http://www.imdb.com/title/tt0425027/?ref_=fn_tt_tt_1,English,20000
Marcus Nispel,265,,Exeter ,3836,http://www.imdb.com/title/tt1945044/?ref_=fn_tt_tt_1,English,
Brandon Landers,8,,The Ridges ,125,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,English,17350
Jay Duplass,10,192467,The Puffy Chair ,4067,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,English,15000
