director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,movie_facebook_likes
Quentin Tarantino,486,153,16000,11000,Brad Pitt,13000,Adventure|Drama|War,Inglourious Basterds ,885175,Christoph Waltz,1,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,1527,English,USA,42000
Steven Spielberg,75,142,14000,5000,Julia Roberts,49000,Adventure|Comedy|Family|Fantasy,Hook ,182802,Bob Hoskins,1,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,363,English,USA,13000
Brett Ratner,245,101,420,467,Rufus Sewell,12000,Action|Adventure,Hercules ,115687,Ingrid Bolsø Berdal,0,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,269,English,USA,21000
Renny Harlin,142,124,212,576,John Amos,13000,Action|Thriller,Die Hard 2 ,269858,Franco Nero,0,http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1,316,English,USA,0
Clark Johnson,144,117,69,1000,Josh Charles,10000,Action|Adventure|Crime|Thriller,S.W.A.T. ,119807,LL Cool J,1,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,340,English,USA,0
,39,45,,160,Katia Winter,898,Adventure|Drama|Fantasy|Mystery|Thriller,Sleepy Hollow             ,49049,Lyndie Greenwood,0,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,110,English,USA,14000
Cameron Crowe,153,141,488,509,Ivana Milicevic,10000,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Vanilla Sky ,206776,Noah Taylor,1,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,1248,English,USA,0
M. Night Shyamalan,284,110,0,559,Freddy Rodríguez,3000,Drama|Fantasy|Mystery|Thriller,Lady in the Water ,78635,Bob Balaban,1,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,1040,English,USA,0
Paul W.S. Anderson,247,109,545,727,Colin Salmon,886,Action|Horror|Sci-Fi|Thriller,AVP: Alien vs. Predator ,143628,Raoul Bova,0,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,1283,English,USA,0
Betty Thomas,107,88,84,1000,Bridgit Mendler,1000,Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Squeakquel ,31649,Jesse McCartney,0,http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,98,English,USA,2000
Randall Wallace,141,124,130,841,Marc Blucas,4000,Action|Drama|History|War,We Were Soldiers ,103241,Chris Klein,0,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,742,English,USA,5000
Antoine Fuqua,358,119,845,992,Morgan Freeman,18000,Action|Thriller,Olympus Has Fallen ,203154,Radha Mitchell,3,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1,698,English,USA,45000
Jonathan Frakes,160,103,906,748,Jonathan Frakes,1000,Action|Adventure|Sci-Fi|Thriller,Star Trek: Insurrection ,56741,Michael Dorn,0,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,515,English,USA,1000
Jonathan Liebesman,355,116,473,464,Jim Parrack,833,Action|Sci-Fi,Battle Los Angeles ,154955,Ramon Rodriguez,0,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,800,English,USA,25000
Tim Burton,235,125,13000,883,Alison Lohman,12000,Adventure|Drama|Fantasy,Big Fish ,350698,Albert Finney,0,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,816,English,USA,26000
Mike Nichols,59,125,0,184,Peter Gerety,443,Drama|Horror|Romance|Thriller,Wolf ,43559,Ron Rifkin,1,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,137,English,USA,0
Steven Spielberg,388,146,14000,979,Benedict Cumberbatch,25000,Drama|War,War Horse ,116159,Eddie Marsan,1,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,488,English,USA,28000
George Clooney,371,118,0,559,Matt Damon,13000,Drama|War,The Monuments Men ,102248,Bob Balaban,7,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,403,English,USA,34000
James Cameron,82,171,0,638,Todd Graff,2000,Adventure|Drama|Sci-Fi|Thriller,The Abyss ,131217,Mary Elizabeth Mastrantonio,0,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,380,English,USA,0
Oliver Stone,297,136,0,17,Austin Pendleton,903,Drama,Wall Street: Money Never Sleeps ,84118,John Buffalo Mailer,2,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,245,English,USA,13000
Gary Shore,261,92,28,423,Sarah Gadon,3000,Action|Drama|Fantasy|Horror|War,Dracula Untold ,138582,Zach McGowan,1,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,423,English,USA,37000
Edward Zwick,120,116,380,774,Bruce Willis,18000,Action|Thriller,The Siege ,58023,Mark Valley,0,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,281,English,USA,0
Matthew Vaughn,228,127,905,271,David Kelly,15000,Adventure|Family|Fantasy|Romance,Stardust ,212085,Nathaniel Parker,8,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,492,English,UK,15000
Jean-Jacques Annaud,76,136,218,400,Mako,11000,Adventure|Biography|Drama|History|War,Seven Years in Tibet ,96385,Victor Wong,1,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,119,English,USA,0
Ron Howard,185,111,2000,244,Clint Howard,17000,Comedy|Drama,The Dilemma ,43709,Chelcie Ross,2,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,141,English,USA,0
Joel Schumacher,128,116,541,384,Brooke Smith,12000,Action|Adventure|Comedy|Thriller,Bad Company ,39659,Garcelle Beauvais,2,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,189,English,USA,792
Andrzej Bartkowiak,237,113,43,452,Ben Daniels,12000,Action|Adventure|Horror|Sci-Fi,Doom ,88146,Dexter Fletcher,0,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,814,English,UK,0
Betty Thomas,105,97,84,150,Phill Lewis,989,Action|Adventure|Comedy|Thriller,I Spy ,41663,Tate Taylor,1,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,141,English,USA,531
Måns Mårlind,242,88,24,324,Stephen Rea,5000,Action|Fantasy|Horror,Underworld: Awakening ,117096,Sandrine Holt,1,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,271,English,USA,24000
Adam Shankman,360,136,163,66,Shane Hartline,394,Comedy|Drama|Musical|Romance,Rock of Ages ,61995,Celina Beach,7,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,356,English,USA,33000
Gregory Hoblit,112,125,40,407,Cole Hauser,13000,Drama|War,Hart's War ,43651,Rory Cochrane,0,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,196,English,USA,997
Gary McKendry,189,116,5,748,Robert De Niro,26000,Action|Crime|Thriller,Killer Elite ,105556,Ben Mendelsohn,2,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,157,English,UK,17000
John McTiernan,151,98,323,390,Chris Klein,1000,Action|Sci-Fi|Sport,Rollerball ,22264,Andrew Bryniarski,3,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,289,English,USA,584
Wych Kaosayananda,92,91,8,298,Sandrine Holt,349,Action|Crime|Sci-Fi|Thriller,Ballistic: Ecks vs. Sever ,16761,Gregg Henry,1,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277,English,USA,391
Mikael Salomon,79,97,13,695,Minnie Driver,11000,Action|Crime|Drama|Thriller,Hard Rain ,26893,Randy Quaid,0,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,126,English,USA,815
Bobby Farrelly,81,95,101,443,Brandy Norwood,2000,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Osmosis Jones ,25572,David Hyde Pierce,0,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,123,English,USA,2000
Will Finn,51,88,6,854,Oliver Platt,2000,Adventure|Animation|Family|Fantasy|Musical,Legends of Oz: Dorothy's Return ,5116,Jim Belushi,1,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,54,English,USA,5000
Michael Mann,261,133,0,301,Archie Kao,26000,Action|Crime|Drama|Mystery|Thriller,Blackhat ,38983,Brandon Molale,1,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,207,English,USA,11000
Kerry Conran,197,106,14,582,Laurence Olivier,11000,Action|Adventure|Mystery|Sci-Fi|Thriller,Sky Captain and the World of Tomorrow ,72868,Bai Ling,2,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,618,English,USA,0
Michael Caton-Jones,159,116,105,246,Indira Varma,844,Crime|Mystery|Thriller,Basic Instinct 2 ,31124,Neil Maskell,1,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,313,English,UK,764
Mikael Håfström,286,115,101,585,50 Cent,13000,Action|Crime|Mystery|Sci-Fi|Thriller,Escape Plan ,177653,Matt Gerald,1,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,279,English,USA,34000
Renny Harlin,156,99,212,182,Luke Newberry,576,Action|Adventure|Fantasy,The Legend of Hercules ,44891,Gaia Weiss,0,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,202,English,USA,12000
Phil Alden Robinson,176,124,31,497,Bruce McGill,11000,Action|Drama|Thriller,The Sum of All Fears ,86504,Philip Baker Hall,0,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,568,English,USA,0
David Slade,293,124,171,10000,Kristen Stewart,21000,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Eclipse ,184637,Anna Kendrick,3,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,498,English,USA,29000
Frank Oz,141,124,0,580,Marlon Brando,22000,Crime|Drama|Thriller,The Score ,101899,Gary Farmer,0,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,445,English,USA,0
Pierre Coffin,304,87,275,975,Miranda Cosgrove,7000,Animation|Comedy|Family,Despicable Me ,385943,Jack McBrayer,0,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,296,English,USA,31000
Joseph Ruben,40,105,29,97,Robert Blake,584,Action|Comedy|Crime|Drama|Thriller,Money Train ,32224,Aida Turturro,1,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,62,English,USA,617
Seth MacFarlane,280,125,3000,3000,Morgan Freeman,14000,Comedy,Ted 2 ,117739,Seth MacFarlane,0,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,229,English,USA,30000
Alejandro Amenábar,180,141,448,334,Ashraf Barhom,614,Adventure|Drama|History|Romance,Agora ,52496,Rupert Evans,2,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,172,English,Spain,29000
Kinka Usher,125,121,18,776,Wes Studi,1000,Action|Comedy|Fantasy|Sci-Fi,Mystery Men ,53970,Eddie Izzard,4,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,English,USA,0
Bobby Farrelly,237,111,101,681,Larry Joe Campbell,966,Comedy|Romance,Hall Pass ,103230,Stephen Merchant,3,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,143,English,USA,10000
Michael Mann,209,157,0,680,Rip Torn,14000,Biography|Drama|Thriller,The Insider ,133526,Debi Mazar,1,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,English,USA,0
Craig Gillespie,178,117,44,531,Abraham Benrubi,788,Action|Drama|History|Thriller,The Finest Hours ,27481,Graham McTavish,0,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,113,English,USA,12000
Ridley Scott,238,128,0,135,Simon McBurney,29000,Action|Drama|Thriller,Body of Lies ,174248,Michael Gaston,1,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,263,English,USA,0
Jay Roach,190,114,116,982,Stephanie Szostak,7000,Comedy,Dinner for Schmucks ,80338,Bruce Greenwood,2,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,264,English,USA,0
Timur Bekmambetov,393,105,335,911,Dominic Cooper,3000,Action|Fantasy|Horror,Abraham Lincoln: Vampire Hunter ,128629,Benjamin Walker,0,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,English,USA,98000
Jon Amiel,138,113,36,232,Kevin McNally,537,Action|Crime|Romance|Thriller,Entrapment ,88132,Maury Chaykin,1,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,English,USA,0
,4,30,,359,Kaitlyn Dever,995,Comedy,Last Man Standing             ,15114,Nancy Travis,1,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,English,USA,0
Rob Bowman,142,121,38,745,Mitch Pileggi,940,Drama|Mystery|Sci-Fi|Thriller,The X Files ,85720,Jeffrey DeMunn,0,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,English,USA,0
Doug Lefler,90,102,4,112,Nonso Anozie,14000,Action|Adventure|Fantasy|War,The Last Legion ,29285,Owen Teale,0,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174,English,UK,0
Steven Spielberg,219,169,14000,13000,Vin Diesel,15000,Action|Drama|War,Saving Private Ryan ,881236,Matt Damon,2,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,English,USA,22000
Scott Waugh,327,132,76,464,Dominic Cooper,3000,Action|Crime|Drama|Thriller,Need for Speed ,136954,Ramon Rodriguez,1,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,346,English,USA,32000
Nancy Meyers,149,127,278,912,Lisa Edelstein,2000,Comedy|Fantasy|Romance,What Women Want ,158864,Loretta Devine,1,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,395,English,USA,0
Chris Wedge,193,103,77,835,Stephen Root,1000,Adventure|Animation|Comedy|Family,Ice Age ,328159,Denis Leary,0,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,467,English,USA,3000
Lawrence Kasdan,175,136,759,354,Michael O'Neill,11000,Drama|Horror|Sci-Fi|Thriller,Dreamcatcher ,75573,Reece Thompson,1,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,English,USA,4000
Steven Spielberg,538,150,14000,655,Hal Holbrook,23000,Biography|Drama|History|War,Lincoln ,197412,Bruce McGill,0,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720,English,USA,71000
Lana Wachowski,313,136,0,99,Marcus Chong,18000,Action|Sci-Fi,The Matrix ,1217752,Gloria Foster,3,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,English,USA,25000
Ron Howard,159,140,2000,552,Miko Hughes,15000,Adventure|Drama|History,Apollo 13 ,208817,Kathleen Quinlan,0,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296,English,USA,5000
