director_name,duration,actor_2_name,actor_1_name,cast_total_facebook_likes,actor_3_name,language,country,budget,title_year,aspect_ratio
P.J. Hogan,105,Christopher Masterson,Julia Roberts,12344,Rupert Everett,English,USA,46000000,1997,2.35
Joe Roth,102,Rainn Wilson,Julia Roberts,9176,Larry King,English,USA,48000000,2001,2.35
Christopher Nolan,118,Maura Tierney,Al Pacino,15658,Crystal Lowe,English,USA,46000000,2002,2.35
Jonathan Frakes,111,Alfre Woodard,LeVar Burton,6315,Jonathan Frakes,English,USA,45000000,1996,2.35
Jimmy Hayward,81,Billy Blair,Michael Fassbender,14619,Julia Jones,English,USA,47000000,2010,2.35
Edward Zwick,116,Matt Damon,Denzel Washington,33233,Scott Glenn,English,USA,46000000,1996,1.85
Tom Shadyac,86,Swoosie Kurtz,Maura Tierney,2070,Randall 'Tex' Cobb,English,USA,45000000,1997,1.85
Brad Furman,127,Amy Ryan,Joseph Gilgun,2104,Olympia Dukakis,English,UK,25000000,2016,2.35
Terence Young,140,Ben Gazzara,Laurence Olivier,2704,Jacqueline Bisset,English,South Korea,48000000,1981,2.35
Brian Levant,91,Elizabeth Perkins,Jonathan Winters,3244,Harvey Korman,English,USA,45000000,1994,1.33
Olivier Megaton,98,Luke Grimes,Liam Neeson,16410,D.B. Sweeney,English,France,45000000,2012,2.35
David Zucker,84,Pamela Anderson,Regina Hall,3629,Jenny McCarthy,English,USA,48000000,2003,1.85
Donald Petrie,109,Wendy Raquel Robinson,Candice Bergen,1574,Heather Burns,English,USA,45000000,2000,1.85
Eric Brevig,93,Brendan Fraser,Josh Hutcherson,17925,Anita Briem,English,USA,45000000,2008,1.85
Garry Marshall,113,Raven-Symoné,Anne Hathaway,15362,Hector Elizondo,English,USA,40000000,2004,1.85
Alan J. Pakula,141,Julia Roberts,Denzel Washington,30063,Tony Goldwyn,English,USA,45000000,1993,2.35
Joel Schumacher,119,Anthony LaPaglia,Bradley Whitford,4043,Brad Renfro,English,USA,45000000,1994,2.35
Rob Reiner,97,Noel Gugliemi,Morgan Freeman,14868,Sean Hayes,English,USA,45000000,2007,1.85
Phillip Noyce,117,Polly Walker,Harrison Ford,12757,Patrick Bergin,English,USA,45000000,1992,2.35
Robert Luketic,101,Jane Fonda,Adam Scott,6292,Elaine Stritch,English,Germany,60000000,2005,2.35
Denis Villeneuve,153,Jake Gyllenhaal,Hugh Jackman,37321,Dylan Minnette,English,USA,46000000,2013,1.85
Antoine Fuqua,122,Snoop Dogg,Denzel Washington,22370,Tom Berenger,English,USA,45000000,2001,2.35
Dean Parisot,102,Enrico Colantoni,Alan Rickman,26998,Robin Sachs,English,USA,45000000,1999,2.35
Keenen Ivory Wayans,83,Veronica Cartwright,Natasha Lyonne,1645,Andy Richter,English,USA,45000000,2001,1.85
James Bobin,103,Eric Jacobson,Bill Cobbs,1336,Steve Whitmire,English,USA,45000000,2011,1.85
Stephen Norrington,110,Traci Lords,Sanaa Lathan,3174,Udo Kier,English,USA,45000000,1998,2.35
Thomas Carter,136,Rick Gonzalez,Channing Tatum,20299,Robert Ri'chard,English,USA,30000000,2005,2.35
Roger Michell,91,Matt Malloy,Sydney Pollack,758,Bruce Altman,English,USA,45000000,2002,2.35
Luis Llosa,89,Eric Stoltz,Frank Welker,3717,Kari Wuhrer,English,USA,45000000,1997,2.35
David McNally,107,Tyra Banks,Adam Garcia,3106,Izabella Miko,English,USA,45000000,2000,2.35
Richard Curtis,129,Liam Neeson,Colin Firth,28886,Kris Marshall,English,UK,45000000,2003,2.35
John Lasseter,95,Madeline Kahn,Kevin Spacey,24205,John Ratzenberger,English,USA,120000000,1998,2.35
Albert Hughes,122,Jason Flemyng,Johnny Depp,41636,Ian Richardson,English,USA,35000000,2001,2.35
Luis Llosa,110,Rod Steiger,Sylvester Stallone,13331,Emilio Estefan Jr.,English,Peru,45000000,1994,1.85
Ron Shelton,135,Cheech Marin,Don Johnson,3648,Rene Russo,English,USA,45000000,1996,2.35
Melville Shavelson,111,Tom Bosley,Lucille Ball,7493,Tim Matheson,English,USA,2500000,1968,1.85
Jesse Dylan,95,Will Ferrell,Josh Hutcherson,27351,Robert Duvall,English,USA,45000000,2005,2.35
Garth Jennings,109,Kelly Macdonald,Zooey Deschanel,14073,Thomas Lennon,English,USA,50000000,2005,2.35
Joel Zwick,93,Nick Zano,Dania Ramirez,4604,Alice Greczyn,English,USA,26000000,2004,2.35
Russell Mulcahy,94,Mike Epps,Milla Jovovich,16225,James Tumminia,English,France,45000000,2007,2.35
Frank Coraci,117,Adam Sandler,Bella Thorne,49743,Joel McHale,English,USA,40000000,2014,1.85
Wayne Wang,112,Alicia Witt,LL Cool J,3757,Timothy Hutton,English,USA,45000000,2006,2.35
Curtis Hanson,111,Glenn Morshower,Meryl Streep,12161,William Lucking,English,USA,45000000,1994,2.35
Frank Oz,96,Vincent Kartheiser,Steve Coogan,2965,David Keith,English,USA,45000000,1995,1.85
Oliver Stone,141,Shea Whigham,Demián Bichir,1948,Gary Stretch,English,USA,45000000,2012,2.35
David R. Ellis,94,Valerie Cruz,Richard Burgi,1102,Will Beinbrink,English,USA,25000000,2004,2.35
Peter Howitt,87,Natalie Imbruglia,Kevin McNally,1461,Ben Miller,English,UK,35000000,2003,1.85
John A. Davis,88,Meryl Streep,Nicolas Cage,33822,Julia Roberts,English,USA,50000000,2006,1.85
David Lynch,177,Jürgen Prochnow,Virginia Madsen,2449,José Ferrer,English,USA,40000000,1984,2.35
Julie Taymor,133,T.V. Carpio,Jim Sturgess,5405,Robert Clohessy,English,USA,45000000,2007,2.35
Sam Mendes,119,Kate Winslet,Leonardo DiCaprio,53895,Joe Komara,English,USA,35000000,2008,2.35
Richard Donner,102,David Zayas,Bruce Willis,15053,Sasha Roiz,English,Germany,52000000,2006,2.35
Mathieu Kassovitz,101,Charlotte Rampling,Vin Diesel,15990,David Belle,English,France,70000000,2008,2.35
John Gray,91,Bob Gunton,Alexa PenaVega,3855,Keenen Ivory Wayans,English,USA,45000000,1996,1.85
Harold Ramis,117,Brian Doyle-Murray,John de Lancie,2348,Obba Babatundé,English,USA,45000000,1996,2.35
John Schultz,86,Carter Jenkins,Malese Jow,3423,Tim Meadows,English,USA,45000000,2009,1.85
Sean Penn,124,Adrien Dorval,Costas Mandylor,793,Nels Lennarson,English,USA,45000000,2001,2.35
Susan Stroman,134,Will Ferrell,Jon Lovitz,24351,Matthew Broderick,English,USA,45000000,2005,2.35
Pete Travis,95,Jason Cope,Wood Harris,578,Rakie Ayola,English,UK,35000000,2012,2.35
Simon Wincer,100,Treat Williams,Cary-Hiroyuki Tagawa,3855,Kristy Swanson,English,Australia,45000000,1996,2.35
Billy Bob Thornton,220,Henry Thomas,Matt Damon,15006,Sam Shepard,English,USA,57000000,2000,2.35
Oliver Stone,212,Bob Hoskins,Anthony Hopkins,21130,Joan Allen,English,USA,50000000,1995,2.35
Roman Polanski,128,Olivia Williams,Jim Belushi,2507,Timothy Hutton,English,France,45000000,2010,2.35
Stephen Sommers,106,Jason Flemyng,Djimon Hounsou,6558,Wes Studi,English,USA,45000000,1998,2.35
Spike Lee,160,Omari Hardwick,Joseph Gordon-Levitt,26982,Laz Alonso,English,USA,45000000,2008,2.35
Yimou Zhang,114,Ye Liu,Li Gong,949,Man Li,Mandarin,China,45000000,2006,2.35
Danny Pang,99,Charlie Yeung,Nicolas Cage,12166,James With,English,USA,40000000,2008,1.85
Barry Sonnenfeld,74,Janeane Garofalo,Zooey Deschanel,13917,Omar Epps,English,USA,40000000,2002,1.85
Mike Newell,139,Giovanna Mezzogiorno,Marcela Mar,538,Unax Ugalde,English,USA,45000000,2007,2.35
,52,Clotilde Hesme,Pierre Perrier,654,Céline Sallette,French,France,,,16.0
George P. Cosmatos,103,Ben Gazzara,Sam Waterston,2457,Nicholas Turturro,English,USA,45000000,1997,2.35
Oliver Parker,101,Tim McInnerny,Daniel Kaluuya,661,Togo Igawa,English,USA,45000000,2011,2.35
Lawrence Kasanoff,91,Larry Miller,Jerry Stiller,3090,Harvey Fierstein,English,USA,65000000,2012,
Ben Affleck,130,Scoot McNairy,Clea DuVall,3133,Tate Donovan,English,USA,44500000,2012,2.35
Andrew Davis,130,Daniel Roebuck,Harrison Ford,13357,Sela Ward,English,USA,44000000,1993,1.85
Andy Tennant,110,Dorian Missick,Gerard Butler,21554,Peter Greene,English,USA,40000000,2010,2.35
Barry Levinson,147,Brad Pitt,Robert De Niro,37076,Minnie Driver,English,USA,44000000,1996,2.35
George P. Cosmatos,96,Julia Nickson,Sylvester Stallone,15662,Martin Kove,English,USA,44000000,1985,2.35
Brian Gibson,118,Demi Moore,Joseph Gordon-Levitt,26907,Anne Heche,English,USA,44000000,1996,2.35
Norman Ferguson,88,Dickie Jones,Mel Blanc,1178,Cliff Edwards,English,USA,2600000,1940,1.37
Michael Cimino,325,Sam Waterston,Jeff Bridges,14255,Isabelle Huppert,English,USA,44000000,1980,2.35
Len Wiseman,102,Tony Curran,Sophia Myles,2998,Derek Jacobi,English,USA,50000000,2006,2.35
Paul McGuigan,110,Spencer Wilding,Daniel Radcliffe,12876,Daniel Mays,English,USA,40000000,2015,2.35
Gus Van Sant,136,Rob Brown,F. Murray Abraham,1801,Michael Nouri,English,USA,43000000,2000,2.35
Betty Thomas,103,Viggo Mortensen,Steve Buscemi,23864,Elizabeth Perkins,English,USA,43000000,2000,1.37
Louis Leterrier,103,Jet Li,Morgan Freeman,22383,Bob Hoskins,English,France,45000000,2005,2.35
Roger Kumble,90,Lillian Adams,Judith Chapman,132,Chelsea Bond,English,USA,43000000,2002,1.85
Sydney Pollack,154,Holly Hunter,Tom Cruise,14244,Wilford Brimley,English,USA,42000000,1993,1.85
Burr Steers,99,Charlie Tahan,Augustus Prew,1066,Valerie Tian,English,USA,44000000,2010,2.35
Simon West,93,Tony Goldwyn,Jason Statham,27834,Mini Anden,English,USA,40000000,2011,2.35
Phil Lord,109,Dax Flame,Channing Tatum,19968,Rob Riggle,English,USA,42000000,2012,2.35
Roger Michell,124,Clarke Peters,Julia Roberts,9255,Dylan Moran,English,UK,42000000,1999,2.35
Peter Lord,84,Miranda Richardson,Imelda Staunton,1817,Julia Sawalha,English,UK,45000000,2000,1.85
John Hamburg,90,Masi Oka,Philip Seymour Hoffman,24534,Debra Messing,English,USA,42000000,2004,1.85
Reginald Hudlin,117,Eartha Kitt,John Witherspoon,3841,Geoffrey Holder,English,USA,40000000,1992,1.85
Paul Feig,123,William Xifaras,Michael Rapaport,4825,Demián Bichir,English,USA,43000000,2013,2.35
Joseph L. Mankiewicz,251,Richard Burton,Martin Landau,2957,Roddy McDowall,English,UK,31115000,1963,2.2
Frank Coraci,105,Reggie Lee,Salma Hayek,6727,Charice,English,USA,42000000,2012,1.85
Carl Franklin,115,Adam Scott,Morgan Freeman,15571,Bruce Davison,English,USA,42000000,2002,2.35
Barbra Streisand,122,Austin Pendleton,Jeff Bridges,13716,Mimi Rogers,English,USA,42000000,1996,1.85
Mark Pellington,119,Will Patton,Debra Messing,1651,David Eigenberg,English,USA,32000000,2002,2.35
Larry Charles,81,Elton John,Bono,2134,Slash,English,USA,42000000,2009,1.85
John Glen,133,Talisa Soto,Robert Davi,2371,Anthony Zerbe,English,UK,32000000,1989,2.35
Catherine Hardwicke,100,Billy Burke,Gary Oldman,15369,Virginia Madsen,English,USA,42000000,2011,2.35
John Herzfeld,120,Charlize Theron,Robert De Niro,33585,Kelsey Grammer,English,USA,42000000,2001,2.35
Annabel Jankel,104,Fisher Stevens,Bob Hoskins,7723,Fiona Shaw,English,UK,42000000,1993,1.85
Andrew Niccol,122,Jeremy Crutchley,Nicolas Cage,12076,Jared Burke,English,USA,50000000,2005,2.35
Yimou Zhang,80,Tony Chiu Wai Leung,Jet Li,6229,Maggie Cheung,Mandarin,China,31000000,2002,2.35
Julie Anne Robinson,91,Debbie Reynolds,Fisher Stevens,3301,Patrick Fischler,English,USA,40000000,2012,2.35
Evan Goldberg,112,Randall Park,James Franco,12239,Anders Holm,English,USA,44000000,2014,2.35
Sngmoo Lee,100,Dong-gun Jang,Tony Cox,2056,Jed Brophy,English,New Zealand,45000000,2010,2.35
,30,Gavin MacLeod,Tim Conway,1610,Bob Hastings,English,USA,,,4.0
Jean-Pierre Jeunet,105,Dany Boon,Omar Sy,1342,André Dussollier,French,France,27000000,2009,2.35
Curtis Hanson,110,Omar Benson Miller,Mekhi Phifer,1954,Evan Jones,English,USA,41000000,2002,2.35
Jamel Debbouze,101,Youssef Hajdi,Jamel Debbouze,488,Mélissa Theuriau,French,France,,2015,
Brian Helgeland,144,Rufus Sewell,Heath Ledger,18761,Bérénice Bejo,English,USA,65000000,2001,2.35
Gordon Chan,108,Lee Evans,Julian Sands,1134,Anthony Chau-Sang Wong,English,Hong Kong,41000000,2003,2.35
M. Night Shyamalan,107,Haley Joel Osment,Bruce Willis,17540,Olivia Williams,English,USA,40000000,1999,1.85
Asger Leth,102,Mandy Gonzalez,Robert Clohessy,362,J. Smith-Cameron,English,USA,42000000,2012,2.35
David Frankel,100,Kevin Pollak,Joel McHale,2085,JoBeth Williams,English,USA,41000000,2011,2.35
John G. Avildsen,126,William Zabka,Martin Kove,2004,William Bassett,English,USA,8000000,1984,1.85
David O. Russell,138,Christian Bale,Jennifer Lawrence,83012,Bradley Cooper,English,USA,40000000,2013,2.35
Anne Fletcher,108,Denis O'Hare,Ryan Reynolds,18656,Craig T. Nelson,English,USA,40000000,2009,2.35
Bruce Beresford,105,Annabeth Gish,Bruce Greenwood,2129,Bruce Campbell,English,USA,70000000,1999,2.35
Robert Zemeckis,108,Jeffrey Weissman,Lea Thompson,3660,Thomas F. Wilson,English,USA,40000000,1989,1.85
Luc Besson,89,Morgan Freeman,Scarlett Johansson,32325,Amr Waked,English,France,40000000,2014,2.35
Sam Taylor-Johnson,129,Luke Grimes,Jennifer Ehle,4585,Callum Rennie,English,USA,40000000,2015,2.35
Robert Rodriguez,84,Salma Hayek,Sylvester Stallone,22935,Alexa PenaVega,English,USA,38000000,2003,1.85
Joel Schumacher,149,Matthew McConaughey,Kevin Spacey,31349,Oliver Platt,English,USA,40000000,1996,2.35
Shawn Levy,94,Alyson Stoner,Tom Welling,7014,Bonnie Hunt,English,USA,40000000,2003,1.85
Peter Berg,121,Scott Elrod,Jerry Ferrara,1261,Dan Bilzerian,English,USA,40000000,2013,2.35
Penny Marshall,128,Lori Petty,Tom Hanks,16751,Rosie O'Donnell,English,USA,40000000,1992,2.35
James Wan,134,Frances O'Connor,Javier Botet,2676,Robin Atkin Downes,English,USA,40000000,2016,2.35
David Fincher,120,Dustin Fitzsimons,Andrew Garfield,10555,Marcella Lentz-Pope,English,USA,40000000,2010,2.35
Ken Kwapis,129,Sabrina Revelle,Carmen Perez,318,Sachiko Ishida,English,USA,40000000,2009,2.35
David Zucker,89,Carmen Electra,Beau Mirchoff,5855,Regina Hall,English,USA,45000000,2006,1.85
Wes Craven,116,Roger Jackson,Kelly Rutherford,600,Nancy O'Dell,English,USA,40000000,2000,2.35
Robert Zemeckis,118,Jeffrey Weissman,Lea Thompson,3986,Thomas F. Wilson,English,USA,40000000,1990,1.37
Etan Cohen,107,Alison Brie,Will Ferrell,12556,Craig T. Nelson,English,USA,40000000,2015,1.85
Francis Ford Coppola,155,Anthony Hopkins,Keanu Reeves,42220,Gary Oldman,English,USA,40000000,1992,1.85
Nora Ephron,123,Mary Lynn Rajskub,Meryl Streep,13321,Vanessa Ferlito,English,USA,40000000,2009,1.85
Brian Helgeland,128,Christopher Meloni,Harrison Ford,16911,Nicole Beharie,English,USA,40000000,2013,2.35
Anthony Minghella,139,Matt Damon,Philip Seymour Hoffman,36810,Jack Davenport,English,USA,40000000,1999,1.85
Bobby Farrelly,109,Kathleen Turner,Bill Murray,16179,Rob Riggle,English,USA,35000000,2014,1.85
Frank Marshall,120,Bruce Greenwood,Paul Walker,24300,Wendy Crewson,English,USA,40000000,2006,2.35
Nancy Meyers,121,Anne Hathaway,Robert De Niro,36010,Rene Russo,English,USA,35000000,2015,1.85
Tim Story,102,Nadine Velazquez,Olivia Munn,5178,Bruce McGill,English,USA,40000000,2016,2.35
Michael Mann,117,Terry Kinney,Wes Studi,2144,Eric Schweig,English,USA,40000000,1992,2.35
Taylor Hackford,178,Curtis Armstrong,Bokeem Woodbine,5074,Harry Lennix,English,USA,40000000,2004,1.85
Frank Miller,147,Powers Boothe,Rosario Dawson,3924,Jason Douglas,English,USA,40000000,2005,1.85
Pete Travis,90,Edgar Ramírez,Dennis Quaid,6775,William Hurt,English,USA,40000000,2008,2.35
John Hamburg,105,Jon Favreau,J.K. Simmons,28928,Jane Curtin,English,USA,40000000,2009,1.85
Bobby Farrelly,114,Bruce McGill,Jason Alexander,2842,Susan Ward,English,USA,40000000,2001,1.85
Oliver Stone,206,Jay O. Sanders,Sally Kirkland,698,Cheryl Penland,English,France,40000000,1991,2.35
John Whitesell,99,Nia Long,Chloë Grace Moretz,19334,Marisol Nichols,English,USA,40000000,2006,1.85
Gore Verbinski,123,Brad Pitt,J.K. Simmons,43917,Julia Roberts,English,USA,34000000,2001,2.35
Angelina Jolie Pitt,137,Jack O'Connell,Finn Wittrock,2938,Alex Russell,English,USA,65000000,2014,2.35
Burr Steers,102,Hunter Parrish,Matthew Perry,7009,Thomas Lennon,English,USA,20000000,2009,2.35
Nick Cassavetes,109,Kate Upton,Don Johnson,2357,David Thornton,English,USA,40000000,2014,2.35
David R. Ellis,82,Andrew Fiscella,Krista Allen,303717,Shantel VanSanten,English,USA,40000000,2009,2.35
Steven Spielberg,142,Mark Rylance,Tom Hanks,16944,Amy Ryan,English,USA,40000000,2015,2.35
John Moore,106,David Keith,Joaquim de Almeida,2544,Sam Jaeger,English,USA,40000000,2001,2.35
Nicholas Stoller,114,Mario Lopez,Pink,2091,Lino Facioli,English,USA,,2010,1.85
Peter Chelsom,106,Nick Cannon,Lisa Ann Walter,2325,Omar Benson Miller,English,USA,50000000,2004,1.85
Joe Dante,108,Denis Leary,Kirsten Dunst,8610,Robert Picardo,English,USA,40000000,1998,2.35
Mark A.Z. Dippé,98,Frank Welker,Michael Jai White,7039,Miko Hughes,English,USA,40000000,1997,1.85
Kevin Reynolds,131,James Frain,Henry Cavill,17152,Michael Wincott,English,UK,35000000,2002,1.85
Brad Furman,118,Margarita Levieva,Matthew McConaughey,13943,Frances Fisher,English,USA,40000000,2011,2.35
Jaume Collet-Serra,113,Frank Langella,Liam Neeson,17152,Aidan Quinn,English,UK,30000000,2011,2.35
Christopher Nolan,130,Hugh Jackman,Christian Bale,63986,Scarlett Johansson,English,USA,40000000,2006,2.35
Sean Anders,116,Christoph Waltz,Kevin Spacey,30571,Lindsay Sloane,English,USA,42000000,2014,2.35
Cal Brunker,89,Paul Scheer,Brendan Fraser,3361,Jonathan Morgan Heit,English,USA,40000000,2013,2.35
Mel Gibson,139,Dalia Hernández,Rudy Youngblood,848,Jonathan Brewer,Maya,USA,40000000,2006,1.85
John Glen,130,Desmond Llewelyn,Joe Don Baker,1233,Art Malik,English,UK,30000000,1987,2.35
Nimród Antal,107,Alice Braga,Topher Grace,4243,Derek Mears,English,USA,40000000,2010,2.35
Ivan Reitman,116,Debra Winger,Brian Dennehy,2179,Roscoe Lee Browne,English,USA,40000000,1986,2.35
David Koepp,96,Charles S. Dutton,Johnny Depp,41293,Timothy Hutton,English,USA,40000000,2004,2.35
Alejandro Agresti,99,Dylan Walsh,Keanu Reeves,18693,Ebon Moss-Bachrach,English,USA,40000000,2006,2.35
Iain Softley,104,Deneen Tyler,Gena Rowlands,1274,Joy Bryant,English,USA,43000000,2005,2.35
Peter Hedges,105,Odeya Rush,Jennifer Garner,9069,Common,English,USA,25000000,2012,1.85
Paul Weiland,101,Beau Garrett,Busy Philipps,4298,Kevin Sussman,English,USA,40000000,2008,2.35
Clint Eastwood,134,Steve Schirripa,Johnny Cannizzaro,2281,Scott Vance,English,USA,40000000,2014,2.35
Francis Ford Coppola,135,Dean Stockwell,Matt Damon,16762,Virginia Madsen,English,USA,40000000,1997,2.35
Mathieu Kassovitz,98,Charles S. Dutton,Robert Downey Jr.,22318,Bernard Hill,English,USA,40000000,2003,1.85
Steven Spielberg,155,Morgan Freeman,Anthony Hopkins,37570,Matthew McConaughey,English,USA,36000000,1997,1.85
John McTiernan,106,José Wilker,Lorraine Bracco,519,Sean Connery,English,USA,40000000,1992,2.35
Colin Strause,102,Johnny Lewis,Sam Trammell,4324,Ian Whyte,English,USA,40000000,2007,2.35
Donald Petrie,95,John Larroquette,Macaulay Culkin,4634,Jonathan Hyde,English,USA,40000000,1994,1.85
Joan Chen,103,Sam Trammell,J.K. Simmons,26938,Elaine Stritch,English,USA,40000000,2000,1.85
Marc Lawrence,95,Scott Porter,Brad Garrett,2787,Haley Bennett,English,USA,,2007,1.85
Greg Mottola,109,Nelson Ascencio,Bobby Lee,390,Jeremy Owen,English,USA,40000000,2011,2.35
Anne Fletcher,95,Tom Virtue,Miriam Margolyes,1070,Julene Renee,English,USA,40000000,2012,2.35
Wes Craven,111,Aimee Teegarden,Alison Brie,4486,Shenae Grimes-Beech,English,USA,40000000,2011,2.35
Joel Schumacher,123,Chris Bauer,Nicolas Cage,12970,Anthony Heald,English,Germany,40000000,1999,2.35
Oliver Stone,140,Kevin Dillon,Michael Wincott,3044,Kathleen Quinlan,English,USA,38000000,1991,2.35
Jake Kasdan,94,Randall Park,James Wilcox,1488,Nat Faxon,English,USA,40000000,2014,1.85
Diane Keaton,94,Celia Weston,Adam Arkin,1238,Jesse James,English,Germany,60000000,2000,1.85
Steven Quale,92,Jacqueline MacInnes Wood,Emma Bell,3074,Courtney B. Vance,English,USA,40000000,2011,2.35
Kelly Makin,102,Burt Young,Jeanne Tripplehorn,2913,Vincent Pastore,English,UK,40000000,1999,1.85
Mimi Leder,123,Haley Joel Osment,Kevin Spacey,23920,Angie Dickinson,English,USA,40000000,2000,1.85
Bobby Farrelly,104,KaDee Strickland,Jimmy Fallon,1827,Ione Skye,English,USA,30000000,2005,2.35
,30,Melissa Altro,Bruce Dinsmore,108,Daniel Brochu,English,Canada,,,1.33
Steven Brill,102,Shaun Weiss,Lisa Ann Walter,3239,Matt Walsh,English,USA,40000000,2008,2.35
Seth MacFarlane,136,Charlize Theron,Liam Neeson,28927,Seth MacFarlane,English,USA,40000000,2014,2.35
Russell Mulcahy,93,Peter Boyle,Jonathan Winters,2711,John Kapelos,English,USA,25000000,1994,1.85
Stephen Daldry,129,Thomas Horn,Tom Hanks,15595,Stephen Henderson,English,USA,40000000,2011,2.35
Roger Michell,107,Patti D'Arbanville,Noah Bean,621,Vanessa Aspillaga,English,USA,40000000,2010,2.35
Jim Sheridan,117,Bill Duke,50 Cent,3969,Marc John Jefferies,English,USA,40000000,2005,2.35
Christian Duguay,116,Cary-Hiroyuki Tagawa,Michael Biehn,3753,Anne Archer,English,USA,40000000,2000,2.35
Chris Columbus,135,David Fine,Rosario Dawson,5917,Jesse L. Martin,English,USA,40000000,2005,2.35
Chuck Russell,107,Jimmy Smits,Rufus Sewell,4565,Angela Bettis,English,USA,40000000,2000,2.35
Sam Weisman,90,Valerie Perri,Oliver Hudson,1335,Carlease Burke,English,USA,40000000,1999,1.85
John Frankenheimer,99,Temuera Morrison,Marlon Brando,10469,Marco Hofschneider,English,USA,40000000,1996,2.35
Peter Hyams,104,Justin Chambers,Catherine Deneuve,2888,Stephen Rea,English,Germany,40000000,2001,2.35
Justin Chadwick,115,Scarlett Johansson,Natalie Portman,77823,Benedict Cumberbatch,English,UK,35000000,2008,1.85
Pat O'Connor,119,Charlize Theron,Keanu Reeves,29484,Frank Langella,English,USA,40000000,2001,1.85
Stephen Hopkins,99,Andrea Frankle,Stephen Rea,960,William Ragsdale,English,USA,40000000,2007,2.35
Martin Scorsese,112,David Carradine,Robert De Niro,23737,David Proval,English,USA,500000,1973,1.85
Penny Marshall,128,Cliff Robertson,Ed Begley Jr.,3126,Lillo Brancato,English,USA,40000000,1994,1.85
Olivier Megaton,112,Callum Blue,Jordi Mollà,3432,Jesse Borrego,English,France,40000000,2011,2.35
Frederik Du Chau,86,Jaleel White,Gary Oldman,14275,Eric Idle,English,USA,40000000,1998,1.85
Michael Caton-Jones,108,James Franco,Robert De Niro,34377,John Doman,English,USA,60000000,2002,2.35
