director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,movie_imdb_link,num_user_for_reviews,language
0,529,Martin Starr,298590,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,559,English
415,228,Sofia Vassilieva,74476,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,184,English
92,436,Mike Epps,10791,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,39,English
767,162,Judy Davis,12980,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,English
14,78,Andrew Simpson,64625,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,281,English
151,11000,Jake Gyllenhaal,47203,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,197,English
,535,Mary Elizabeth Mastrantonio,38177,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,131,English
120,664,Kurtwood Smith,55513,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,188,English
144,477,Fionnula Flanagan,15352,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,199,English
4000,591,Bill Murray,106221,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English
39,685,Tony Goldwyn,50653,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,143,English
644,326,Aretha Franklin,142448,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,English
43,523,Blythe Danner,22304,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,33,English
650,715,Jeremy Jordan,6476,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,71,English
129,3,Christopher Webster,144021,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,391,English
49,429,Bridget Fonda,42761,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,366,English
118,1000,Morgan Freeman,262153,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,English
133,820,Scott Glenn,45271,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,English
776,358,Joely Richardson,34488,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,136,English
249,271,Barret Oliver,99557,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,284,English
295,531,William Hurt,156929,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,624,English
10,844,Hayley Atwell,61777,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,140,English
,94,Art Carney,3446,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,31,English
181,137,Jean Marsh,19568,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,208,English
0,324,Lew Temple,8309,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,39,English
22,355,Callum Rennie,60555,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174,English
54,398,Kevin Chamberlin,16555,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,139,English
43,460,Richard Schiff,17436,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,71,English
0,640,Joel McHale,15866,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,83,English
0,638,Jack O'Connell,19611,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,103,English
31,57,Junix Inocian,42876,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,167,English
541,638,Philip Seymour Hoffman,14612,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,105,English
212,749,Clifton Collins Jr.,49405,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,226,English
272,17000,Robin Wright,23767,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,111,English
278,387,Colin Salmon,4257,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,52,English
0,3,Amy Carson,926,http://www.imdb.com/title/tt0475331/?ref_=fn_tt_tt_1,19,English
41,328,Adhir Kalyan,84209,http://www.imdb.com/title/tt1114740/?ref_=fn_tt_tt_1,201,English
70,512,Julie Gonzalo,96693,http://www.imdb.com/title/tt0322330/?ref_=fn_tt_tt_1,271,English
0,218,Romany Malco,313797,http://www.imdb.com/title/tt0405422/?ref_=fn_tt_tt_1,546,English
108,239,Martin Clunes,175524,http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,752,English
71,313,Boyd Holbrook,87950,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,207,English
425,344,Cathy Moriarty,107801,http://www.imdb.com/title/tt0099938/?ref_=fn_tt_tt_1,109,English
234,919,Gary Cole,255257,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,374,English
72,343,Dougray Scott,57958,http://www.imdb.com/title/tt0120631/?ref_=fn_tt_tt_1,345,English
0,648,Michael Jeter,54096,http://www.imdb.com/title/tt0316356/?ref_=fn_tt_tt_1,494,English
541,442,Oliver Platt,62037,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,148,English
,424,Kaitlin Olson,133415,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,151,English
0,14,Dirk Bogarde,40277,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,English
0,178,Carl Gilliard,94108,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,673,English
160,392,Michael Landes,120786,http://www.imdb.com/title/tt0309593/?ref_=fn_tt_tt_1,472,English
0,577,Tim Blake Nelson,225102,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,862,English
124,534,Kate Walsh,80870,http://www.imdb.com/title/tt1038686/?ref_=fn_tt_tt_1,315,English
0,385,Larry Hankin,161168,http://www.imdb.com/title/tt1980209/?ref_=fn_tt_tt_1,287,English
80,2000,Ty Burrell,48973,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,214,English
906,528,Paula Garcés,11212,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,94,English
759,67,Todd Allen,28247,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,149,English
260,3000,Jake Gyllenhaal,88035,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,English
8,588,Frankie Muniz,11092,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,44,English
0,307,Common,66579,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,134,English
49,155,Gregory Itzin,44913,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,181,English
160,427,Dave Legeno,72886,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,190,English
80,509,Ray Romano,10667,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,95,English
5,535,Mako,16194,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,79,English
30,223,Mike Starr,7772,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,55,English
2,512,Chris Bauer,8118,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,69,English
11000,277,Elizabeth Berkley,31798,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,178,English
737,816,Kirstie Alley,5006,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28,English
0,26,Chelsea Field,8008,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,26,English
763,523,Derek Luke,57674,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,126,English
353,151,Danny Huston,111351,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,568,English
0,113,Maia Morgenstern,179235,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,2814,Aramaic
0,711,Mara Wilson,181380,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,223,English
272,628,Valeria Golino,383784,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331,English
16000,198,Dreama Walker,561773,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,871,English
0,655,Scott Glenn,40941,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,320,English
180,485,Holly Valance,483756,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,974,English
97,437,Gerald McRaney,43084,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,99,English
81,164,Mike Starr,89972,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,126,English
14000,212,Embeth Davidtz,865020,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,1273,English
150,2000,Bryce Dallas Howard,318955,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,460,English
386,203,Peter Capaldi,29282,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,105,English
67,596,Linda Cardellini,33180,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,149,English
0,48,Igor Jijikine,3170,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,18,Russian
31,662,Jason Ritter,89101,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,885,English
187,127,Ava Acres,2863,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,25,English
8,179,Rob Paulsen,23943,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,English
198,387,Ben Feldman,296787,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,2192,English
34,445,Paige Turco,42765,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,93,English
0,188,Billy Drago,219008,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,418,English
1000,883,Stephen Root,612060,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,1518,English
167,460,Tika Sumpter,75903,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,109,English
11,887,Jim Broadbent,171568,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,571,English
529,163,Leslie Caron,150308,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,498,English
0,643,Bruce McGill,46417,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,297,English
99,433,Gedde Watanabe,21176,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,107,English
425,766,Greta Gerwig,168717,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,178,English
170,472,Dana Delany,95241,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,439,English
43,775,Delroy Lindo,57040,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365,English
503,108,Patrick Troughton,80958,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English
70,318,Gina Holden,102861,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,571,English
96,204,Riley Thomas Stewart,76882,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,106,English
47,3000,Zooey Deschanel,110390,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522,English
395,2000,Kate Winslet,174591,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,632,English
0,400,Tika Sumpter,4265,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,English
248,726,Frank Grillo,203111,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,755,English
21,317,Dylan Baker,70205,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,450,English
285,7000,Will Ferrell,267921,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,577,English
17000,635,Mike Starr,728685,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,989,English
91,434,Frankie Muniz,26755,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104,English
52,579,Kelly Macdonald,49676,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,181,English
0,638,F. Murray Abraham,537442,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,English
176,468,Michael McKean,36253,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,92,English
973,400,Joan Chen,70274,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,133,English
175,733,David O'Hara,101977,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,161,English
420,585,Paul Sorvino,22748,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,41,English
0,104,Paul F. Tompkins,372990,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,1107,English
0,503,Flea,12218,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,33,English
0,362,Cree Summer,5674,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,35,English
92,466,Eddie Griffin,29661,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,179,English
42,917,America Ferrera,44838,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,223,English
20,872,Bridget Fonda,53126,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,254,English
29,816,Katharine McPhee,63969,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126,English
23,485,Keshia Knight Pulliam,13194,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,59,English
44,367,Suraj Sharma,35833,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,96,English
176,10000,Meryl Streep,86251,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,260,English
29,742,Oliver James,48095,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,194,English
108,177,Jonathan Breck,45102,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,316,English
7,440,Dan Fogler,74622,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,150,English
43,432,Tom Arnold,34942,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185,English
335,530,Stephen Dillane,102123,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,660,English
99,960,Alexandra Breckenridge,116762,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,261,English
68,100,Emma de Caunes,88714,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,235,English
27,522,Salli Richardson-Whitfield,22243,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,144,English
0,745,Lili Taylor,14612,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,41,English
59,403,Aaron Staton,87331,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,364,English
159,240,John Gielgud,75973,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,409,English
31,71,Park Bench,39768,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,292,English
130,288,Richard Anderson,25019,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,English
14,199,Richard Briers,28377,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,261,English
234,370,J.B. Smoove,60202,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,114,English
82,571,Essence Atkins,10161,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,50,English
0,461,Jeffrey DeMunn,1689764,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,English
23,162,Paul Hogan,19699,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,119,English
101,743,Lin Shaye,63459,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,185,English
81,81,Cjon Saulsberry,48559,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,English
53,8000,Meryl Streep,67797,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,285,English
3,28,Trevor Blumas,19737,http://www.imdb.com/title/tt0396652/?ref_=fn_tt_tt_1,81,English
13,165,Tyrone Giordano,58297,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,161,English
452,141,Taron Egerton,32507,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English
0,3000,Milla Jovovich,36108,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1,109,English
19,977,Marlon Brando,41310,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,117,English
,3,John Sparkes,7968,http://www.imdb.com/title/tt0983983/?ref_=fn_tt_tt_1,12,English
529,690,Henry Thomas,104356,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,186,English
41,619,Jason Patric,74691,http://www.imdb.com/title/tt0480255/?ref_=fn_tt_tt_1,165,English
24,155,Alan Dale,40776,http://www.imdb.com/title/tt1270761/?ref_=fn_tt_tt_1,250,English
5,874,Jet Li,72673,http://www.imdb.com/title/tt0499556/?ref_=fn_tt_tt_1,166,English
0,98,Emily Watson,109855,http://www.imdb.com/title/tt0272338/?ref_=fn_tt_tt_1,888,English
17,360,Scott Mechlowicz,162067,http://www.imdb.com/title/tt0356150/?ref_=fn_tt_tt_1,316,English
70,223,Nia Peeples,12263,http://www.imdb.com/title/tt0297162/?ref_=fn_tt_tt_1,132,English
176,825,Rob Riggle,8398,http://www.imdb.com/title/tt0488658/?ref_=fn_tt_tt_1,56,English
21,418,Phoebe Cates,5817,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,37,English
48,376,Udo Kier,4086,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,22,Italian
0,58,Matthew Knight,22289,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,106,English
219,258,Gillian Jacobs,76303,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,376,English
27,49,Jonathan Tucker,60062,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,351,English
154,347,Rupert Everett,9361,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,162,English
0,255,Emily Meade,16411,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136,English
42,111,Timothy Bottoms,171151,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,513,English
17,218,Zach Grenier,15814,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,68,English
54,455,Megan Mullally,11211,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English
241,151,Paul Anderson,87682,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,174,English
82,432,Jorma Taccone,59900,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,149,English
160,852,Joel David Moore,20823,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,130,English
317,70,Devon Murray,16995,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,163,English
425,148,Chi McBride,39357,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,113,English
365,141,Steve Railsback,15531,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,189,English
,265,Jennifer Hale,23664,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,60,English
0,939,Tom Wilkinson,23696,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,135,English
308,872,Michael Angarano,43903,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,194,English
36,399,James Brolin,21098,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,56,English
0,52,Kate Burton,92464,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,331,English
8,8,Malonn Lévana,5525,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11,French
149,581,Frank Grillo,332276,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,514,English
277,8000,Liam Neeson,24145,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,93,English
33,251,William Morgan Sheppard,21940,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,256,English
108,2000,Channing Tatum,17757,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,99,English
79,956,Zooey Deschanel,7909,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,157,English
57,92,Tom Amandes,18693,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,187,English
30,309,Madison Davenport,47169,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,162,English
121,354,Jane Krakowski,5668,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,50,English
37,268,Laz Alonso,27117,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,140,English
529,174,Christopher Evan Welch,14581,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,74,English
22,120,Sam McMurray,4972,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,62,English
214,3000,Charlize Theron,177401,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,504,English
71,42,Donovan Scott,3334,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,52,English
32,324,Nick Cannon,4875,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,26,English
6,248,Chris Klein,11375,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,91,English
79,50,Antony Starr,44198,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,251,English
160,490,Kenan Thompson,115650,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,English
54,919,Lori Petty,24790,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,173,English
2,807,Loretta Devine,3229,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,20,English
353,18,Joe Pingue,59462,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,300,English
892,492,Udo Kier,30628,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,471,English
2000,132,Christoph Waltz,96480,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,181,English
