director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,facenumber_in_poster,plot_keywords,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Jonathan Lynn,54,120,36,633,Bruce McGill,1,alabama|jail|judicial system|lawyer|trial,R,11000000,1992,655,1.85
R.J. Cutler,141,107,15,602,Mireille Enos,3,car accident|coma|out of body experience|reference to the exploited|teenage girl,PG-13,11000000,2014,1000,2.35
Brian Trenchard-Smith,30,92,53,32,Damien Garvey,2,,Not Rated,12000000,2014,37,
David S. Ward,57,107,42,808,Tom Berenger,3,cleveland indians|league|manager|owner|team,R,11000000,1989,854,1.85
Oliver Parker,56,100,32,621,Rupert Everett,5,2000s|female protagonist|reward|school|st trinian's,PG-13,13500000,2007,692,1.85
Joel Schumacher,216,81,541,328,John Enos III,0,phone booth|publicist|single set production|sniper|sniper rifle,R,13000000,2002,465,2.35
Adam Shankman,80,101,163,488,Peter Coyote,1,community service|love|punishment|school|student,PG,11000000,2002,548,2.35
Tim Robbins,77,122,0,191,Celia Weston,0,death|execution|nun|solitary confinement|visit,R,11000000,1995,258,1.85
Roger Kumble,101,97,16,637,Sean Patrick Thomas,3,bet|revenge|seduction|virgin|wager,R,10500000,1999,656,1.85
Kevin Greutert,156,92,52,647,Shawnee Smith,0,deception|flash photography|game of death|jigsaw|pig mask,R,11000000,2009,651,1.85
Mel Brooks,48,92,0,842,Sid Caesar,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,R,11000000,1981,898,2.35
Gina Prince-Bythewood,109,110,107,549,Alicia Keys,5,beekeeping|insect in title|racism|sister|south carolina,PG-13,11000000,2008,551,2.35
Rob Pritts,62,86,5,532,Vinessa Shaw,1,fbi|mafia|mobster|undercover|veterinarian,PG-13,11000000,2001,580,1.85
Brian De Palma,33,91,0,298,Gabrielle Carteris,0,hitchcockian|long tracking shot|psychologist|psychology|wig,R,12000000,1992,330,1.85
Norman Jewison,20,145,278,279,Peter Boyle,2,1930s|driving through a gate|funeral|senator|trade union,PG,11000000,1978,595,1.85
Tobe Hooper,52,100,365,225,Bud Cort,0,alien|boy|nurse|school|school nurse,PG,12000000,1986,394,2.35
John Crowley,351,111,34,54,Fiona Glascott,1,1950s|immigrant|irish|irish accent|torn between two worlds,PG-13,11000000,2015,55,1.85
Stanley Kubrick,124,184,0,111,Steven Berkoff,0,18th century|england|rise and fall|rural setting|wealth,PG,11000000,1975,293,1.66
Brendan Malloy,37,89,2,651,Jason London,0,alaska|mountain|ski resort|snowboard|snowboarding,PG-13,11000000,2001,711,1.85
Reginald Hudlin,58,84,71,553,John Witherspoon,1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,R,11000000,2000,723,1.85
Dustin Hoffman,175,98,0,123,Sheridan Smith,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,PG-13,11000000,2012,156,2.35
Gregory Poirier,75,95,5,443,Jake Busey,0,box office flop|critically bashed|dominatrix|friend|money,R,11000000,2001,660,1.85
Bill Paxton,161,100,0,303,Powers Boothe,0,demon|fbi|fbi agent|murder|religious fanatic,R,11000000,2001,472,1.85
Simon Curtis,203,109,64,553,Frances Fisher,2,art|jewish|justice|nazi|theft,PG-13,11000000,2015,638,2.35
Bill Condon,188,118,386,812,Oliver Platt,0,professor|research|sex|sexuality|student,R,11000000,2004,1000,2.35
Sam Raimi,221,88,0,795,Bridget Fonda,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,R,13000000,1992,888,1.85
Dewey Nicks,66,86,4,424,Gedde Watanabe,4,blackmail|fall|love|nerd|scam,R,11000000,2002,448,1.85
Lasse Hallström,80,118,529,472,Leonardo DiCaprio,1,apostrophe in title|face slap|four word title|grocery store|police,PG-13,11000000,1993,29000,1.85
Philip Saville,25,125,10,109,Alan Van Sprang,1,1st century|based on the bible|miracle|religion|resurrection,PG-13,17000000,2003,147,1.85
Mike Leigh,169,125,608,579,Sally Hawkins,1,1950s|miscarriage|neighbor|pregnancy|tailor,R,11000000,2004,594,1.85
Daisy von Scherler Mayer,70,94,18,183,Dash Mihok,3,bollywood|illegal immigrant|live television|restaurant|waiter,R,11000000,2002,463,1.85
Mira Nair,15,113,300,787,Chazz Palminteri,2,immigration|love|political prisoner|reference to john wayne|title directed by female,R,11000000,1995,979,1.85
Ethan Coen,535,104,1000,272,Max Casella,1,1960s|car hitting an animal|folk singer|friend|singer,R,11000000,2013,275,1.85
Tim Blake Nelson,92,95,596,697,Andrew Keegan,2,basketball|basketball player|boarding school|love|shakespeare's othello,R,5000000,2001,835,1.85
William A. Graham,14,102,8,40,Wayne Pygram,1,baby|desert island|island|sequel|teenage girl,PG-13,11000000,1991,163,1.85
Martin Ritt,13,124,58,104,Anthony Zerbe,0,coal|detective|irish|irish immigrant|pennsylvania,PG,11000000,1970,275,2.35
John Turturro,87,105,0,776,Steve Buscemi,0,anal sex|death|dream|poem|sex,R,,2005,12000,2.35
Agnieszka Holland,78,104,238,22,David Kennedy,0,music copyist|music student|musical composition|student|symphony,PG-13,11000000,2006,35,2.35
Tobe Hooper,223,120,365,723,Zelda Rubinstein,0,ghost|haunted|haunting|house|paranormal investigator,PG,10700000,1982,770,2.35
Rowan Joffe,136,111,17,405,Sean Harris,2,brighton|catholic|gang|prayer|waitress,R,12000000,2010,641,2.35
David Hackl,160,95,43,357,Costas Mandylor,0,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,R,10800000,2008,723,1.85
Giuliano Montaldo,28,96,4,199,Gena Rowlands,0,casino|gang violence|robbery|suicide|violence,GP,,1969,545,2.35
Lisa Azuelos,54,97,15,19,Lina Esco,1,best friend|girl in panties|high school|high school romance|pink panties,PG-13,11000000,2012,79,2.35
Ray Lawrence,75,118,10,48,Deborra-Lee Furness,2,camp|fishing|fishing trip|river|town,R,15000000,2006,71,2.35
Karan Johar,20,193,160,860,John Abraham,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,R,700000000,2006,1000,2.35
Oliver Parker,105,97,32,327,Rupert Everett,3,bachelor|blackmail|character says i love you|flirting|social satire,PG-13,14000000,1999,692,1.85
Ruairi Robinson,120,98,7,507,Olivia Williams,0,alien infection|astronaut|mars|mission|zombie,R,7000000,2013,766,2.35
Jaume Balagueró,108,103,57,132,Giancarlo Giannini,0,9 year old|blood|gramophone|house|missing children,PG-13,10600000,2002,451,2.35
Stanley Kubrick,285,161,0,73,Gary Lockwood,0,ancient astronaut|famous line|message from outer space|monolith|star child,G,12000000,1968,117,2.2
Steven Spielberg,215,120,14000,548,Dee Wallace,0,bicyclist|boy|doll|star wars reference|voice impersonation,PG,10500000,1982,725,1.85
Jon Kasdan,81,97,21,499,Elena Anaya,0,actress|love|michigan|neighbor|writer,PG-13,10000000,2007,1000,2.35
Léa Pool,17,97,4,194,Marc Donato,1,butterfly|entomologist|morpho butterfly|rain|rain forest,PG,12500000,2004,450,1.85
Floyd Mutrux,5,99,11,327,Kelli Williams,2,high school|love|police|showdown|surfer,R,10500000,1994,446,
,3,24,,44,Johnny Flynn,3,blond boy|chlamydia|list|male rear nudity|young couple,,,,102,
Sajid Khan,10,144,0,119,Boman Irani,5,bad luck|casino|lie|mix up|stutter,,,2010,154,
Christopher Cain,43,111,58,258,Taylor Handley,0,massacre|mormon|settler|utah|wagon train,R,11000000,2007,362,1.85
Dean Wright,43,145,0,280,Eduardo Verástegui,1,catholic|hanging|mexico|rebellion|soldier,R,10818775,2012,377,2.35
Eric Lartigau,94,106,7,24,Eric Elmosnino,4,audition|deaf|family relationships|love|singing,,11000000,2014,29,1.85
Gus Van Sant,161,126,835,893,Matt Damon,2,friend|genius|janitor|loss of wife|professor,R,10000000,1997,13000,1.85
Shintaro Shimosawa,38,106,29,571,Anthony Hopkins,3,black panties|lust|sexual attraction|voyeur|voyeurism,R,11000000,2016,12000,2.35
Darren Lynn Bousman,210,121,163,482,Shawnee Smith,0,brutality|female full frontal nudity|female nudity|torture|trap,R,10000000,2006,651,1.85
Ivan Reitman,52,117,425,901,Harold Ramis,1,army|boot camp|breasts|graduation|rescue,R,10000000,1981,11000,1.85
Peyton Reed,139,98,235,229,Lindsay Sloane,1,championship|cheerleading|high school|teen comedy|teenage romance,PG-13,10000000,2000,464,1.85
James DeMonaco,165,109,65,393,Joseph Julian Soria,1,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,R,10000000,2016,465,2.35
Robert Iscove,96,95,7,1000,Clea DuVall,2,bet|friend|high school|prom|prom queen,PG-13,10000000,1999,1000,1.85
Lee Daniels,323,109,304,736,Gabourey Sidibe,0,abuse|african american lesbian|lesbian|lesbian couple|school,R,10000000,2009,906,1.85
Darren Lynn Bousman,190,96,163,448,Shawnee Smith,0,detective|fbi|rape|rapist|serial rapist,R,10000000,2007,651,1.85
Geoffrey Sax,173,101,13,368,Keegan Connor Tracy,0,architect|grave|obsession|river|voice,PG-13,10000000,2005,392,2.35
Tyler Perry,46,107,0,685,Cicely Tyson,4,cross dressing|family reunion|madea series|reflective|sister sister relationship,PG-13,6000000,2006,907,1.85
Martin Scorsese,59,119,17000,638,Bill Cobbs,1,hustler|losing|pool|pool player|tournament,R,13800000,1986,970,1.85
Ken Annakin,53,178,19,196,Richard Beymer,3,allies|d day|invasion|normandy|world war two,G,10000000,1962,249,2.35
Stephen Herek,22,100,65,577,Shaun Weiss,8,coach|hockey team|lawyer|respect|team,PG,10000000,1992,613,1.85
Takashi Shimizu,203,98,70,634,Clea DuVall,0,american|curse|japan|nurse|rage,PG-13,10000000,2004,1000,1.85
Dennis Dugan,77,92,221,491,Kevin Nealon,1,golf|golf ball|golfer|grandmother's house|tournament,PG-13,12000000,1996,503,1.85
Victor Salva,190,90,108,270,Patricia Belcher,0,demon|gore|record player|tattoo|wings,R,10000000,2001,322,1.85
Stephen Herek,81,90,65,730,George Carlin,6,failing student|high school|payphone|teenager|telephone booth,PG,10000000,1989,769,2.35
Carol Reed,56,153,82,139,Ron Moody,1,abuse|child|orphan|orphanage|pickpocket,G,10000000,1968,275,2.35
John Madden,264,124,108,186,Penelope Wilton,3,hotel|india|marigold|retiree|retirement,PG-13,10000000,2011,400,2.35
Chuck Sheetz,44,82,6,345,Andrew Lawrence,0,friend|principal|summer|summer camp|summer vacation,G,23000000,2001,563,1.85
George Miller,117,107,750,60,Bruce Spence,2,arena|desert|fight|mad max|post apocalypse,PG-13,12305523,1985,531,2.35
Mark L. Lester,124,75,73,581,Vernon Wells,0,body count|dictator|jumping from an airplane|knife fight|one man army,R,10000000,1985,745,1.85
William Brent Bell,159,97,19,130,Rupert Evans,0,animate doll|doll|england|nanny|surprise ending,PG-13,10000000,2016,334,2.35
John Erick Dowdle,273,80,66,816,Bokeem Woodbine,0,devil|elevator|hit and run|throat slitting|trapped in an elevator,PG-13,10000000,2010,904,2.35
Marcus Raboy,26,85,7,615,Mike Epps,0,apartment|christmas|christmas present|rent|security guard,R,20000000,2002,706,1.85
Leigh Whannell,242,97,482,482,Hayley Kiyoko,0,demon|possession|psychic|supernatural|teenager,PG-13,10000000,2015,542,2.35
Michael Schultz,55,109,78,619,Vanity,1,cult film|kung fu|kung fu classic|martial arts|title spoken by character,PG-13,10000000,1985,841,1.85
Guy Ritchie,151,104,0,1000,Brad Pitt,6,boxer|boxing|diamond|fight|gypsy,R,6000000,2000,11000,1.85
Brett Leonard,48,140,32,120,Austin O'Brien,0,intelligence|science runs amok|scientist|supernatural power|virtual reality,R,10000000,1992,211,1.85
Peter Sollett,166,90,6,617,Alexis Dziena,2,band|gay|gay friend|love|night,PG-13,9000000,2008,715,1.85
Kevin Smith,206,130,0,769,Janeane Garofalo,8,abortion|abortion clinic|angel|church|clinic,R,10000000,1999,1000,2.35
Bob Dolman,92,98,7,73,Eva Amurri Martino,2,bartender|groupie|lawyer|road trip|writer,R,10000000,2002,797,2.35
Joe Dante,78,101,287,257,Al Leong,0,1940s|1960s|bar|kick the can|remake,PG,10000000,1983,730,1.85
Rowdy Herrington,83,114,9,466,Kevin Tighe,1,bikini|cult film|fired from the job|martial arts|violence,R,17000000,1989,472,2.35
Keenen Ivory Wayans,8,100,322,534,Salli Richardson-Whitfield,2,drugs|ex cop|gun fu|machismo|shootout,R,10000000,1994,543,1.85
John Polson,86,85,21,782,Shiri Appleby,0,high school|hospital|new jersey|stanford university|swimming,PG-13,8500000,2002,855,2.35
Greg Coolidge,85,103,27,534,Danny Woodburn,2,competition|date|employee|laser in eyes|slacker,PG-13,12000000,2006,809,1.85
Harry Elfont,76,100,4,678,Lauren Ambrose,4,graduation|high school|letter|nerd|party,PG-13,10000000,1998,945,1.85
Francis Ford Coppola,60,114,0,699,William Smith,0,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,PG-13,10000000,1983,919,2.35
David Lowery,78,102,38,190,Oona Laurence,0,,PG,65000000,2016,424,2.35
