director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
James Ivory,29,133,Denholm Elliott,443,3130592,1269,Simon Callow,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,69,English,UK,R,2600000,1987,249,1.66
Frank Sebastiano,20,3,Laurie Metcalf,833,475000,2753,Seymour Cassel,baseball|baseball movie|beer|slacker|softball,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,53,English,USA,R,2800000,2006,549,
Rand Ravich,107,7,Charlize Theron,40000,10654581,52621,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,English,USA,R,34000000,1999,9000,1.85
Stacy Peralta,74,147,Gabrielle Reece,52,2276368,179,Laird John Hamilton,beach|surfing|surfing contest|two word title|wave,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,37,English,USA,PG-13,,2004,52,
Nacho Vigalondo,173,76,Nacho Vigalondo,123,38108,239,Bárbara Goenaga,binoculars|hitchcockian|scissors|time machine|woods,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,124,Spanish,Spain,R,2600000,2007,76,1.85
Hao Ning,5,0,Bo Huang,11,,19,Zheng Xu,color in title,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,4,Mandarin,China,,15000000,2009,4,2.35
Tony Giglio,66,6,Nick Searcy,331,,1082,Beth Broderick,hiking|voyeur|voyeurism|west virginia|woods,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,47,English,USA,R,2600000,2007,272,1.85
Stanley Donen,169,134,Debbie Reynolds,804,,2510,Cyd Charisse,actress|chorus girl|fan|friend|love,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,568,English,USA,Approved,2540800,1952,786,1.37
Joe Cross,13,65,Joel Fuhrman,65,,67,Amy Badberg,fat|food|health|juice|obese,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,25,English,Australia,,2500000,2010,2,
Michael Tiddes,129,89,Alanna Ubach,713,40041683,3421,J.B. Smoove,hamburger|parody|priest|psychic|woman in a bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107,English,USA,R,2500000,2013,584,1.85
Dinesh D'Souza,30,67,Zackary Steven Graham,871,33349949,1111,Dinesh D'Souza,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199,English,USA,PG,2500000,2012,118,1.85
Rob Zombie,220,0,Tyler Mane,908,33386128,3226,Margot Kidder,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,491,English,USA,R,15000000,2009,764,1.85
Tom Hanks,75,15000,Charlize Theron,15000,25809813,28713,Ethan Embry,band|drummer|jazz|pennsylvania|song,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,212,English,USA,PG,26000000,1996,9000,1.37
Tommy Lee Wallace,162,24,Dan O'Herlihy,381,14400000,684,Nancy Kyes,doctor|factory|halloween|holiday horror|stonehenge,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,532,English,USA,R,2500000,1982,128,2.35
Don Taylor,74,11,M. Emmet Walsh,595,,2373,Sal Mineo,ape|fear|future|spacecraft|spaceship,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,92,English,USA,G,2500000,1971,521,2.35
Martin Ritt,65,58,Melvyn Douglas,617,,1141,Whit Bissell,alcoholism|forename as title|rancher|rodeo cowboy|texas,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,120,English,USA,Approved,2500000,1963,189,2.35
Leslie Small,26,15,La'Princess Jackson,1000,32230907,1385,Dana Hanna,lying|montreal|reference to twitter|reference to youtube|toronto,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,30,English,USA,R,2500000,2013,309,1.85
Gus Van Sant,63,835,Udo Kier,18000,6401336,19923,Flea,friend|hustler|italy|narcolepsy|traveling,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,153,English,USA,R,2500000,1991,595,1.78
Zach Braff,205,0,Michael Weston,625,26781723,1655,Jill Flint,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,978,English,USA,R,2500000,2004,379,2.35
Richard Linklater,121,0,Hans Weingartner,15,5400000,36,Dominik Castell,american|conversations|kiss|love|train,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,395,English,USA,R,2500000,1995,12,1.85
Éric Tessier,9,0,Michel Côté,50,,79,Jean Pierre Bergeron,canadian gothic|hospital|murder|paranormal|supernatural,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,5,French,Canada,,3200000,2003,16,1.85
Alison Maclean,74,7,Samantha Morton,745,1282084,2125,Mark Webber,hospital|love|mennonite|shower|song,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,87,English,USA,R,2500000,1999,631,2.35
Alice Wu,54,13,Ato Essandoh,643,1186323,1396,Jessica Hecht,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,84,English,USA,R,,2004,265,1.85
Sarah Gavron,80,34,Christopher Simpson,56,1094998,150,Tannishtha Chatterjee,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,29,English,UK,PG-13,,2007,41,2.35
Jake Schreier,252,14,Joshua Ormond,902,3325638,1980,Ana Gasteyer,burglary|dementia|near future|robot|thief,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,84,English,USA,PG-13,2500000,2012,291,2.35
Isabel Coixet,72,148,Julian Richings,900,395592,2972,Amanda Plummer,cancer|death|doctor|drinking|love,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,134,English,Spain,R,2000000,2003,648,1.85
James Ponsoldt,220,53,Jennifer Jason Leigh,8000,6851969,10040,Dayo Okeniyi,crying man|high school|high school senior|men's clothing store|party,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,178,English,USA,R,2500000,2013,1000,2.35
Randall Miller,1,19,Elden Henson,882,333658,1967,Michael Bower,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,2,English,USA,,34000,1990,577,
Larry Charles,197,119,Tal Bachman,334,12995673,338,Steve Burg,catholic|christian|jew|muslim|religion,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,345,English,USA,R,2500000,2008,4,1.78
Joshua Tickell,14,9,Sheryl Crow,860,173783,1252,George W. Bush,alternative energy|energy|fuel|green|oil,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,34,English,USA,Not Rated,2500000,2008,130,1.85
Tim Boxell,3,10,Diana Scarwid,655,118666,1064,Tom Bower,,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,3,English,USA,,2500000,2006,157,1.85
Rawson Marshall Thurber,191,43,Stephen Root,989,114324072,4730,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,English,USA,PG-13,20000000,2004,939,2.35
Michael D. Sellers,18,0,Carly Schroeder,640,71904,1491,George Harris,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,18,English,USA,PG-13,2500000,2006,261,1.85
Reed Cowan,28,0,Emily Pearson,191,99851,210,Gavin Newsom,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,English,USA,R,2500000,2010,12,1.78
James Dodson,22,8,Anupam Kher,611,115504,1739,Shriya Saran,birthday|call center|fiance|hotel|indian,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,26,English,UK,PG-13,14000000,2008,397,2.35
Stefan Ruzowitzky,62,24,Rüdiger Vogler,127,5725,163,Sebastian Blomberg,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,110,German,Germany,R,8400000,2000,10,2.35
Alex Rivera,47,8,Jacob Vargas,426,75727,862,Tenoch Huerta,computer|future|mexican immigrant|network|wilhelm scream,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,40,Spanish,USA,PG-13,2500000,2008,399,1.85
James Gunn,238,571,Rainn Wilson,2000,322157,4590,Paul T. Taylor,drug dealer|superhero|tragedy|tragic hero|tragic love,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,203,English,USA,R,2500000,2010,973,1.85
John Murlowski,2,20,Piper Mackenzie Harris,794,,2579,Lochlyn Munro,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,7,English,USA,TV-PG,2500000,2010,607,
Benni Diez,95,2,Cecilia Pillado,968,,3157,David Masterson,catering|monster|one word title|party|wasp,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,23,English,Germany,Not Rated,2500000,2015,625,2.35
Danny Perez,10,0,Emmanuel Kabongo,1000,,2406,Mark Webber,,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,2,English,USA,,3500000,2016,677,
Spike Lee,28,0,Harry Lennix,1000,5731103,5963,Andre Braugher,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,35,English,USA,R,2400000,1996,748,1.85
Robby Henson,25,9,Max Ryan,973,978908,2306,Justine Waddell,bound with duct tape|flash forward|number|riddle|stalking,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,90,English,Poland,PG-13,2400000,2006,872,2.35
Mike Judge,121,406,Patrick Fischler,586,438653,1490,David Herman,experiment|future|hibernation|stupidity|top secret,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,434,English,USA,R,,2006,497,1.85
Zackary Adler,10,0,Kevin Leslie,490,,881,Kris Sommerville,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,26,English,UK,R,2500000,2015,159,
Shane Meadows,172,222,Joseph Gilgun,1000,327919,3282,Jack O'Connell,england|racism|racist|skinhead|violence,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,192,English,UK,Unrated,1500000,2006,788,1.85
Dominic Burns,20,15,Sean Pertwee,844,,3132,Bianca Brigitte VanDamme,acronym in title|period in title|title ends with period,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,82,English,UK,R,2500000,2012,722,2.35
George Sidney,8,24,Basil Rathbone,675,,1627,Red Skelton,college|teacher|theatrical producer|tutu|wedding,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,28,English,USA,Passed,2361000,1944,659,1.37
Carmen Marron,8,29,Aimee Garcia,847,178739,1668,Rene Rosado,exclamation point in title|imperative in title|punctuation in title|three word title,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,10,English,USA,PG-13,2450000,2011,618,1.85
Tim McCanlies,15,23,Michael O'Neill,982,565592,2580,Alexandra Holden,best friend|friendship|population|state in title|texas,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,63,English,USA,PG,,1998,599,1.85
George Sidney,14,24,Ava Gardner,960,,2329,Howard Keel,gambling|interracial marriage|love|miscegenation|showboat,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,46,English,USA,Approved,2295429,1951,715,1.33
Mario Van Peebles,12,535,Cinda McCain,1000,27012,3586,Luke Perry,death of loved one|loss of father|loss of loved one|musician|singer,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,9,English,USA,PG-13,,2010,646,2.35
Jason Stone,48,14,Ellen Burstyn,2000,,4385,Christopher Heyerdahl,bouquet|house fire|praying|serial killer|tied to a chair,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,English,USA,R,,2014,1000,
Jerry Rees,17,115,Phil Hartman,11000,,12359,Mindy Sterling,journey|obsolescence|radio|toaster|vacuum cleaner,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62,English,USA,Not Rated,2300000,1987,516,
James Algar,99,11,Deems Taylor,16,76400000,16,,apprentice|classical music|disney|mouse|orchestra,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,English,USA,G,2280000,1940,0,1.37
William Friedkin,138,607,Fernando Rey,813,,1196,Tony Lo Bianco,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,English,USA,R,1800000,1971,165,1.85
Jaco Booyens,,37,Sebastian Aguilar,210,,210,Ivette Alvarez,,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,English,USA,PG-13,2500000,2014,0,
Steve Miner,235,49,Dana Kimmell,72,36200000,174,Catherine Parks,defecation|hockey mask|jason voorhees|lake|serial killer,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,English,USA,R,4000000,1982,31,2.35
Danny Steinmann,160,13,Melanie Kinnaman,42,21300000,170,Dominick Brascia,jason voorhees|murder|new jersey|nightmare|teenager,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,342,English,USA,R,2200000,1985,27,1.85
Michael Landon Jr.,18,84,Louise Fletcher,861,379643,2161,A.J. Buckley,1850s|christian film|dark secret|funeral|sin eater,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29,English,USA,PG-13,2200000,2007,425,1.85
Jon Gunn,11,16,Delroy Lindo,2000,12985267,6752,Madison Pettis,belief|faith|pastor|question in title|three word title,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,63,English,USA,PG-13,2300000,2015,848,
Hayley Cloake,11,0,Kayla Ewell,676,,1651,Linden Ashby,championship|hit and run|police|police investigation|volleyball,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,9,English,USA,R,2200000,2008,399,
Tay Garnett,7,10,Greer Garson,509,,1490,Lionel Barrymore,immigrant|maid|steel mill|strike|union,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,29,English,USA,Passed,2160000,1945,284,1.37
Shyam Madiraju,5,0,Ethan Peck,1000,,3799,Brad Schmidt,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,English,Spain,R,,2015,800,
Harmage Singh Kalirai,10,11,Zohra Segal,114,,244,Shobu Kapoor,acceptance|coming out to family|gay|large family|wedding,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,14,English,UK,,1200000,2005,79,1.85
Rita Merson,5,5,James Wolk,3000,,6085,Jason Ritter,claim in title|contraction in title|new york|new york city|woodstock,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,6,English,USA,,2400000,2014,938,
Jon Knautz,95,10,Daniel Kash,371,,558,Stefanie Drummond,cult film|demon|monster slayer|uncle|vomiting,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,46,English,Canada,R,2500000,2007,52,1.85
William Wyler,97,355,Teresa Wright,749,23650000,1941,Dana Andrews,love|pity|readjusting to civilian life|veteran|world war two veteran,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,English,USA,Not Rated,2100000,1946,208,1.37
Larry Clark,76,184,Nick Stahl,730,510092,3293,Brad Renfro,cruelty|friend|male frontal nudity|male nudity|pubic hair,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,336,English,USA,R,,2001,648,1.85
Petter Næss,67,16,Per Christian Ellefsen,117,313436,155,Sven Nordin,friendship|mental illness|poet|sex obsession|virgin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,95,Norwegian,Norway,R,15500000,2001,21,1.85
Robert Fontaine,4,7,Arturo Castro,128,3330,214,Brad Lee Wind,,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,1,English,USA,R,2100000,2015,22,2.35
