director_name,duration,director_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Frank Marshall,103,155,687,Comedy|Fantasy|Horror|Thriller,50389,1440,Brian McNamara,0,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,PG-13,31000000,1990,151,0
Gregory Hoblit,118,40,2000,Crime|Drama|Mystery|Sci-Fi|Thriller,81866,4045,Noah Emmerich,0,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,PG-13,31000000,2000,702,0
Paul Feig,116,176,783,Action|Comedy|Fantasy|Sci-Fi,69790,2097,Zach Woods,4,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,PG-13,144000000,2016,370,62000
John Francis Daley,99,0,26000,Adventure|Comedy,66123,40312,Beverly D'Angelo,4,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,R,31000000,2015,12000,28000
Barry Sonnenfeld,105,188,848,Comedy|Crime|Thriller,62986,3439,Jon Gries,4,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,R,30250000,1995,808,0
Rob Marshall,113,252,539,Comedy|Crime|Musical,172080,813,Jayne Eastwood,0,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,PG-13,45000000,2002,151,0
Dennis Dugan,93,221,12000,Comedy|Drama,161858,26760,Joey Lauren Adams,0,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,PG-13,34200000,1999,11000,0
J.B. Rogers,108,6,3000,Comedy,200260,7872,Natasha Lyonne,0,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,R,30000000,2001,1000,0
John Lasseter,74,487,15000,Adventure|Animation|Comedy|Family|Fantasy,623757,19046,Jim Varney,1,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,G,30000000,1995,1000,0
Jan de Bont,116,101,18000,Action|Adventure|Crime|Thriller,260981,20966,Joe Morton,0,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,R,25000000,1994,946,0
Michael Sucsy,104,23,17000,Drama|Romance,145852,18322,Dillon Casey,0,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,PG-13,30000000,2012,359,32000
Tom Vaughan,106,12,11000,Drama,14281,17560,Alan Ruck,2,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,PG,31000000,2010,3000,0
Boaz Yakin,120,132,33000,Biography|Drama|Sport,160776,54877,Ethan Suplee,1,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,PG,30000000,2000,18000,0
John McTiernan,135,323,826,Action|Adventure|Thriller,143696,2575,Courtney B. Vance,1,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,PG,30000000,1990,692,0
Lee Daniels,132,304,15000,Biography|Drama,87665,20035,Vanessa Redgrave,0,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,PG-13,30000000,2013,1000,41000
Rawson Marshall Thurber,92,43,989,Comedy|Sport,185338,4730,Joel David Moore,0,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,PG-13,20000000,2004,939,0
Barry Sonnenfeld,99,188,1000,Comedy|Fantasy,96607,3696,Carel Struycken,0,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,PG-13,38000000,1991,1000,5000
Steve Oedekerk,90,176,531,Adventure|Comedy,160321,2203,Sophie Okonedo,0,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,PG-13,30000000,1995,461,0
Garry Marshall,111,0,11000,Comedy|Family|Romance,94049,13645,Heather Matarazzo,2,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,G,37000000,2001,995,0
Hugh Wilson,103,37,944,Comedy,31817,3143,Stephen Collins,3,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,PG,26000000,1996,893,0
David Fincher,127,21000,11000,Crime|Drama|Mystery|Thriller,1023511,22678,Reg E. Cathey,0,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,R,33000000,1995,11000,39000
Neill Blomkamp,112,662,2000,Action|Sci-Fi|Thriller,531737,2639,Jason Cope,0,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,R,30000000,2009,433,22000
Stephen Hillenburg,87,47,19000,Adventure|Animation|Comedy|Family|Fantasy,58906,20097,Rodger Bumpass,0,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,PG,30000000,2004,542,0
Clint Eastwood,138,16000,616,Crime|Drama|Mystery|Thriller,338415,1942,Tom Guiry,0,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,R,25000000,2003,541,12000
Clint Eastwood,132,16000,16000,Drama|Sport,482064,28830,Mike Colter,1,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,PG-13,30000000,2004,11000,14000
Harold Ramis,103,11000,22000,Comedy|Crime,123940,24333,Molly Shannon,2,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,R,30000000,1999,979,0
Nick Cassavetes,123,415,33000,Drama|Romance,396396,34495,Gena Rowlands,0,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,PG-13,29000000,2004,638,57000
Anne Fletcher,111,98,2000,Comedy|Romance,124501,2978,Yetta Gottesman,1,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,PG-13,30000000,2008,805,0
Peter Chelsom,102,23,1000,Comedy|Drama|Family|Music|Romance,31760,4516,Moises Arias,2,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,G,30000000,2009,1000,0
Stig Bergqvist,78,0,971,Adventure|Animation|Comedy|Family|Romance,8146,4527,Debbie Reynolds,0,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,G,30000000,2000,844,181
Barbra Streisand,132,0,769,Drama|Romance,12549,1936,Melinda Dillon,1,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,R,30000000,1991,713,883
Edward Zwick,133,380,12000,Drama|Romance|War|Western,112175,26388,Julia Ormond,2,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,R,30000000,1994,11000,11000
Jason Reitman,108,655,24000,Drama|Romance,270238,35209,Chris Lowell,0,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,R,25000000,2009,10000,19000
Alexander Payne,125,729,442,Comedy|Drama,107557,1556,Howard Hesseman,1,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,R,30000000,2002,344,0
Jonathan Levine,98,129,303,Comedy|Horror|Romance,184641,337,Daniel Rindress-Kay,0,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,PG-13,35000000,2013,18,81000
Rian Johnson,119,0,23000,Action|Crime|Drama|Sci-Fi|Thriller,428916,37387,Tracie Thoms,0,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,R,30000000,2012,13000,75000
Chris Weitz,87,129,979,Comedy|Fantasy,19079,2911,Wanda Sykes,1,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,PG-13,30000000,2001,891,602
Chris Noonan,91,108,405,Comedy|Drama|Family,94435,1185,Roscoe Lee Browne,0,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,G,30000000,1995,368,5000
David Frankel,100,64,11000,Comedy|Drama|Romance,34258,19420,Jean Smart,2,http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1,PG-13,30000000,2012,7000,0
Nicholas Stoller,118,89,15000,Comedy|Drama|Romance,217507,16758,Maria Thayer,1,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,R,30000000,2008,975,0
,44,,971,Drama|Sport,42746,3418,Scott Porter,1,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,TV-14,,,741,0
John Singleton,109,309,1000,Action|Crime|Drama|Mystery|Thriller,109894,2740,Fionnula Flanagan,3,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,R,45000000,2005,654,0
Michael McCullers,99,5,2000,Comedy|Romance,34079,6930,Romany Malco,2,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,PG-13,30000000,2008,1000,0
Forest Whitaker,114,0,970,Drama|Romance,18973,2860,Gena Rowlands,1,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,PG-13,30000000,1998,631,0
Gary Winick,89,56,11000,Comedy|Romance,79094,13794,Candice Bergen,2,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,PG,30000000,2009,826,0
Steven Brill,95,65,506,Adventure|Comedy|Mystery,37479,1266,Bonnie Somerville,3,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,PG-13,19000000,2004,316,0
Gary Winick,98,56,3000,Comedy|Fantasy|Romance,122187,6742,Christa B. Allen,1,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,PG-13,37000000,2004,2000,0
Woody Allen,94,11000,617,Comedy|Fantasy|Romance,301149,1289,Nina Arianda,1,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,PG-13,17000000,2011,204,78000
Peter Lepeniotis,85,7,14000,Adventure|Animation|Comedy|Family,19547,18795,Sarah Gadon,0,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,PG,42000000,2014,3000,0
Ted Demme,124,47,40000,Biography|Crime|Drama,198066,43453,Jordi Mollà,1,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,R,30000000,2001,1000,13000
Luis Mandoki,131,43,18000,Drama|Romance,28942,19815,Raphael Sbarge,0,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,PG-13,55000000,1999,652,0
William Shatner,107,0,12000,Action|Adventure|Sci-Fi|Thriller,43743,14710,Walter Koenig,1,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,PG,27800000,1989,664,0
John Schultz,99,13,1000,Comedy|Family|Fantasy|Sport,15074,3679,Anne Meara,7,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,PG,30000000,2002,889,1000
Peter Segal,83,88,3000,Comedy|Crime,76850,4767,Priscilla Presley,5,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,PG-13,30000000,1994,459,1000
John Glen,131,46,1000,Action|Adventure|Thriller,68565,2943,Tanya Roberts,2,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,PG,30000000,1985,439,0
Steve Box,85,9,567,Animation|Comedy|Family|Mystery|Sci-Fi,98160,1145,Peter Sallis,0,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,G,30000000,2005,269,0
Richard LaGravenese,126,98,18000,Drama|Romance,167967,18726,Nellie McKay,1,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,PG-13,30000000,2007,631,20000
Frederik Du Chau,102,7,984,Adventure|Comedy|Drama|Family|Sport,12570,2910,M. Emmet Walsh,0,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,PG,,2005,934,771
Joe Wright,123,456,19000,Drama|Mystery|Romance|War,192930,20499,Brenda Blethyn,1,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,R,30000000,2007,1000,12000
Gary Winick,105,56,898,Comedy|Drama|Romance,74630,1026,Luisa Ranieri,1,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,PG,30000000,2010,60,13000
Ridley Scott,125,0,939,Action|Crime|Thriller,39306,1748,Kate Capshaw,2,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,R,30000000,1989,255,0
Bobby Farrelly,92,101,971,Comedy,25484,6137,Sean Hayes,0,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,PG,,2012,860,13000
Tim Burton,77,13000,40000,Animation|Drama|Family|Fantasy|Musical|Romance,188785,60683,Joanna Lumley,1,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,PG,40000000,2005,16000,0
James Gartner,118,0,696,Biography|Drama|Sport,34910,2577,Derek Luke,1,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,PG,,2006,663,0
Denis Villeneuve,121,777,455,Action|Crime|Drama|Mystery|Thriller,196217,1467,Daniel Kaluuya,2,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,R,30000000,2015,221,59000
Antoine Fuqua,124,845,15000,Drama|Sport,147128,16881,Oona Laurence,0,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,R,30000000,2015,1000,44000
Sam Raimi,99,0,2000,Horror|Thriller,158354,5642,Reggie Lee,0,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,PG-13,30000000,2009,1000,11000
Lee Toland Krieger,112,43,11000,Drama|Fantasy|Romance,93767,15327,Ellen Burstyn,1,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,PG-13,25000000,2015,2000,34000
Tim McCanlies,111,23,3000,Comedy|Drama|Family,43378,9638,Emmanuelle Vaugier,1,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,PG,30000000,2003,3000,0
Jon M. Chu,107,209,2000,Drama|Music|Romance,47297,4059,Facundo Lombard,0,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,PG-13,30000000,2010,594,16000
John Stockwell,104,134,585,Drama|Romance|Sport,26066,1165,Sanoe Lake,3,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,PG-13,30000000,2002,495,0
Marc Forster,113,395,8000,Comedy|Drama|Fantasy|Romance,186977,8362,Danny Rhodes,1,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,PG-13,38000000,2006,189,13000
David Slade,113,171,430,Horror,138435,814,Megan Franich,0,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,R,32000000,2007,72,0
Drew Goddard,95,246,26000,Fantasy|Horror|Mystery|Thriller,277172,29551,Kristen Connolly,0,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,R,30000000,2012,821,66000
Jason Friedberg,86,82,869,Comedy,88518,3854,Method Man,0,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,PG-13,30000000,2008,759,0
Martin Brest,126,102,22000,Action|Comedy|Crime|Thriller,54042,23866,Philip Baker Hall,1,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,R,30000000,1988,581,0
Paul Michael Glaser,101,343,581,Action|Crime|Sci-Fi|Thriller,112669,2373,Richard Dawson,1,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,R,27000000,1987,571,0
Frank Oz,102,0,13000,Comedy|Horror|Musical|Sci-Fi,49349,15308,Tisha Campbell-Martin,2,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,PG-13,25000000,1986,854,0
Joe Wright,111,456,157,Action|Drama|Thriller,159198,257,John Macmillan,0,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,PG-13,30000000,2011,33,38000
,60,,971,Drama|Mystery,3322,3295,Liam James,4,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,TV-PG,,,805,0
John R. Leonetti,95,40,663,Action|Adventure|Fantasy|Sci-Fi|Thriller,36363,2266,Robin Shou,0,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,PG-13,30000000,1997,349,1000
Tom Hanks,98,15000,15000,Comedy|Drama|Romance,49205,16827,Randall Park,0,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,PG-13,30000000,2011,839,0
Kimberly Peirce,100,108,17000,Drama|Fantasy|Horror,108242,20051,Portia Doubleday,1,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,R,30000000,2013,2000,39000
Liz Friedlander,118,3,1000,Drama|Music,21767,3797,Jasika Nicole,0,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,PG-13,30000000,2006,712,0
,28,,680,Comedy|Drama,135643,2867,Kevin Dillon,2,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,TV-MA,,,638,0
Phil Joanou,125,21,12000,Crime|Drama|Sport,33067,15811,Kevin Dunn,1,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,PG-13,30000000,2006,2000,0
Sam Weisman,94,39,1000,Comedy|Crime,12466,3664,Richard Schiff,0,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,PG-13,45000000,2001,611,304
Shane Acker,79,30,940,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,111117,1594,Tom Kane,0,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,PG-13,30000000,2009,271,13000
Steven Soderbergh,106,0,17000,Crime|Drama|Thriller,148327,18469,Katie Lowes,0,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,R,30000000,2013,681,29000
Martha Coolidge,111,57,1000,Comedy|Family|Romance,31984,3239,Luke Mably,1,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,PG,,2004,530,0
Stephen J. Anderson,63,15,759,Adventure|Animation|Comedy|Family|Musical,15600,1002,Huell Howser,0,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,G,30000000,2011,73,0
Troy Miller,85,14,577,Comedy,30651,1653,Cheri Oteri,0,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,PG-13,19000000,2003,291,1000
Warren Beatty,108,631,631,Comedy|Drama|Romance,21998,1023,Graham Beckel,1,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,R,30000000,1998,199,0
Tate Taylor,139,150,521,Biography|Drama|Music,15843,2060,Aunjanue Ellis,0,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,PG-13,30000000,2014,491,11000
Carl Franklin,127,73,11000,Drama,9283,12785,Tom Everett Scott,3,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,R,30000000,1998,882,592
Brett Leonard,106,32,18000,Action|Crime|Sci-Fi|Thriller,23579,20772,Traci Lords,1,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,R,30000000,1995,723,0
Ivan Reitman,95,425,973,Comedy|Romance|Sci-Fi,53884,2737,Wanda Sykes,1,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,PG-13,30000000,2006,776,1000
Scott Derrickson,118,301,2000,Horror|Mystery|Thriller,54447,5697,Edgar Ramírez,0,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,R,30000000,2014,1000,18000
Alister Grierson,108,24,2000,Adventure|Drama|Thriller,47003,3892,Richard Roxburgh,0,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,R,30000000,2011,942,11000
Nick Hurran,105,34,1000,Comedy|Drama|Romance,15052,4369,Dave Annable,1,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,PG-13,35000000,2004,681,484
Nicholas Stoller,131,89,2000,Comedy|Romance,78974,3479,David Paymer,2,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,R,30000000,2012,401,11000
Charles Stone III,104,30,1000,Comedy|Drama|Romance|Sport,12164,4462,Paul Sorvino,1,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,PG-13,30000000,2004,962,491
