director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,aspect_ratio,movie_facebook_likes
Terrence Malick,156,Miranda Otto,648,36385763,Drama|War,Nick Stahl,The Thin Red Line ,138941,1937,Dash Mihok,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,1448,USA,52000000,2.35,0
David Dobkin,215,Olivia Wilde,16000,37035845,Comedy|Fantasy,Ryan Reynolds,The Change-Up ,136680,28045,Mircea Monroe,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,149,USA,52000000,2.35,13000
Milos Forman,140,Gerry Becker,134,34580635,Biography|Comedy|Drama,Matt Price,Man on the Moon ,100743,209,Tom Dreesen,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,549,UK,52000000,2.35,0
Martin Scorsese,133,Don Rickles,22000,42438300,Biography|Crime|Drama,Robert De Niro,Casino ,333542,24183,Kevin Pollak,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,533,USA,52000000,2.35,11000
Pierre Morel,203,Amber Rose Revah,211,23324666,Action|Thriller,Kasia Smutniak,From Paris with Love ,97775,488,Rebecca Dayan,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,211,France,52000000,2.35,0
Paul Hunter,127,Mako,961,23020488,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,42324,2422,Victoria Smurfit,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,180,USA,52000000,2.35,846
Bobby Farrelly,155,Tony Cox,889,90567722,Comedy,Robert Forster,Me, Myself & Irene ,185878,1711,Rob Moran,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,481,USA,51000000,1.85,0
Steve Oedekerk,98,Wanda Sykes,677,72601713,Animation|Comedy|Family,Rob Paulsen,Barnyard ,21396,2055,Maurice LaMarche,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,155,Germany,51000000,1.85,605
John Whitesell,71,Jorge Garcia,2000,35092918,Comedy|Family,Matthew Broderick,Deck the Halls ,15740,5468,Alia Shawkat,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,110,USA,,1.85,1000
Chris Weitz,299,Kristen Stewart,21000,296623634,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: New Moon ,220758,64040,Taylor Lautner,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,919,USA,50000000,2.35,13000
Andrew Adamson,212,Chris Miller,145,267652016,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,467113,275,Bobby Block,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,945,USA,60000000,1.85,0
George Nolfi,413,Michael Kelly,13000,62453315,Romance|Sci-Fi|Thriller,Matt Damon,The Adjustment Bureau ,200035,14607,Jon Stewart,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,407,USA,50200000,1.85,36000
Kevin Reynolds,67,Morgan Freeman,25000,165500000,Action|Adventure|Drama|Romance,Alan Rickman,Robin Hood: Prince of Thieves ,145257,38518,Michael Wincott,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,322,USA,48000000,1.85,0
Cameron Crowe,109,Kelly Preston,10000,153620822,Comedy|Drama|Romance|Sport,Tom Cruise,Jerry Maguire ,189923,12182,Bonnie Hunt,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,318,USA,50000000,1.85,0
Seth MacFarlane,457,Seth MacFarlane,15000,218628680,Comedy|Fantasy,Mila Kunis,Ted ,471644,21773,Tom Skerritt,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,623,USA,50000000,1.85,74000
James L. Brooks,156,Yeardley Smith,625,147637474,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,224671,1474,Shirley Knight,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,470,USA,50000000,1.85,11000
Tom Shadyac,55,Philip Seymour Hoffman,49000,135014968,Biography|Comedy|Drama|Romance,Robin Williams,Patch Adams ,80580,74382,Monica Potter,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,375,USA,50000000,2.35,0
Adam McKay,272,Will Ferrell,11000,2175312,Comedy,Harrison Ford,Anchorman 2: The Legend Continues ,131227,28176,Steve Carell,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,346,USA,50000000,2.35,41000
Steven Brill,117,Adam Sandler,12000,126203320,Comedy|Romance,Steve Buscemi,Mr. Deeds ,110432,26826,Peter Gallagher,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,309,USA,50000000,1.85,0
J.J. Abrams,539,AJ Michalka,1000,126975169,Mystery|Sci-Fi|Thriller,Joel Courtney,Super 8 ,287822,3388,Zach Mills,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,849,USA,50000000,2.35,37000
Steven Soderbergh,169,Albert Finney,8000,125548685,Biography|Drama,Julia Roberts,Erin Brockovich ,135246,10003,Conchata Ferrell,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,498,USA,52000000,1.85,0
Donald Petrie,140,Adam Goldberg,11000,105807520,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,14087,Thomas Lennon,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,357,USA,50000000,1.85,0
Phil Lord,330,Craig Roberts,17000,191616238,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,258186,19428,Amber Stevens West,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322,USA,50000000,2.35,24000
Neil Jordan,120,Tom Cruise,11000,105264608,Drama|Fantasy|Horror,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,239752,25697,Kirsten Dunst,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,406,USA,60000000,1.85,11000
Peyton Reed,190,Zooey Deschanel,14000,97680195,Comedy|Romance,Bradley Cooper,Yes Man ,271691,29505,Danny Masterson,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,243,USA,70000000,2.35,0
Rawson Marshall Thurber,177,Thomas Kretschmann,12000,126088877,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,33354,14569,Megan Park,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,110,USA,50000000,2.35,10000
Chris Columbus,65,Liam Aiken,8000,91030827,Comedy|Drama,Julia Roberts,Stepmom ,46482,9988,Herbert Russell,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,252,USA,50000000,2.35,0
Sean Anders,145,Linda Cardellini,8000,150315155,Comedy|Family,Will Ferrell,Daddy's Home ,54010,10886,Mark L. Young,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,130,USA,50000000,1.85,13000
Rob Marshall,321,Meryl Streep,40000,127997349,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Into the Woods ,101178,62837,Anna Kendrick,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,779,USA,50000000,2.39,90000
Spike Lee,230,James Ransone,18000,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,646,USA,45000000,2.35,0
Brian Helgeland,143,Deborah Kara Unger,1000,81517441,Action|Crime|Drama|Thriller,Bill Duke,Payback ,111368,3148,William Devane,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,394,USA,50000000,2.35,0
Frank Marshall,55,Joe Don Baker,426,81022333,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,34471,1761,Grant Heslov,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,147,USA,50000000,1.85,0
Cameron Crowe,257,Matt Damon,19000,75621915,Comedy|Drama|Family,Scarlett Johansson,We Bought a Zoo ,111003,36873,Stephanie Szostak,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,199,USA,,1.85,22000
Alex Proyas,279,Ben Mendelsohn,12000,79948113,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing ,186879,13421,Chandler Canterbury,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,791,USA,50000000,2.35,0
Tom Dey,143,Matthew McConaughey,14000,88658172,Comedy|Romance,Bradley Cooper,Failure to Launch ,58412,37967,Zooey Deschanel,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,242,USA,50000000,2.35,2000
Hideo Nakata,196,Gary Cole,6000,75888270,Horror|Mystery,Naomi Watts,The Ring Two ,71153,10163,Sissy Spacek,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,560,USA,,1.85,0
Glenn Ficarra,310,Emma Stone,33000,84244877,Comedy|Drama|Romance,Ryan Gosling,Crazy, Stupid, Love. ,375456,57426,Steve Carell,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,292,USA,50000000,2.39,44000
Peter Hewitt,116,Mark Christopher Lawrence,13000,75367693,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield ,58961,13430,Michael Monks,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,232,USA,35000000,1.85,795
Joe Roth,105,Cheech Marin,2000,73701902,Comedy|Family,Jamie Lee Curtis,Christmas with the Kranks ,27548,6729,Jake Busey,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,209,USA,60000000,2.35,0
Bennett Miller,419,Robin Wright,22000,75605492,Biography|Drama|Sport,Philip Seymour Hoffman,Moneyball ,283563,53094,Brad Pitt,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,312,USA,50000000,1.85,27000
Wolfgang Petersen,64,Morgan Freeman,18000,67823573,Action|Drama|Thriller,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,130,USA,50000000,1.85,0
Jaume Collet-Serra,359,Nate Parker,14000,91439400,Action|Mystery|Thriller,Liam Neeson,Non-Stop ,200647,16967,Scoot McNairy,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,384,UK,50000000,2.35,24000
Andy Fickman,166,Billy Brown,12000,67128202,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain ,43328,14007,Tom Everett Scott,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,110,USA,65000000,2.35,0
James McTeigue,525,Eddie Marsan,20000,70496802,Action|Drama|Thriller,Natalie Portman,V for Vendetta ,791783,22417,Rupert Graves,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,2042,USA,54000000,2.35,48000
David Dobkin,165,Anna-Louise Plowman,154,60470220,Action|Adventure|Comedy,Fann Wong,Shanghai Knights ,81444,428,Georgina Chapman,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,192,USA,50000000,2.35,955
,2,Gemma Jones,416,,Crime|Drama,Bernard Hill,Unforgotten             ,1824,1816,Nicola Walker,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,9,UK,,,0
Matthew O'Callaghan,87,Frank Welker,8000,58336565,Adventure|Animation|Comedy|Family,Will Ferrell,Curious George ,12845,11124,Alexander Gould,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,118,USA,50000000,1.85,624
Angela Robinson,117,Thomas Lennon,660,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,36431,2177,Cheryl Hines,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,168,USA,50000000,1.85,1000
Gary Fleder,113,Jennifer Esposito,1000,54997476,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,40362,3341,Conrad Goode,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,248,USA,50000000,2.35,970
Tommy Wirkola,349,Derek Mears,10000,55682070,Action|Fantasy|Horror,Jeremy Renner,Hansel & Gretel: Witch Hunters ,159868,11946,Ingrid Bolsø Berdal,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,304,Germany,50000000,2.35,45000
Adrian Lyne,152,Erik Per Sullivan,838,52752475,Drama|Thriller,Olivier Martinez,Unfaithful ,63067,2583,Chad Lowe,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,533,USA,50000000,1.85,0
D.J. Caruso,288,Emily Wickersham,15000,55092830,Action|Adventure|Sci-Fi|Thriller,Alex Pettyfer,I Am Number Four ,195043,15608,Reuben Langdon,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,329,USA,60000000,1.85,27000
Stephen Gaghan,358,Amr Waked,13000,50815288,Drama|Thriller,Matt Damon,Syriana ,109188,14747,Kayvan Novak,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,USA,50000000,2.35,0
Michael Bay,204,James Badge Dale,769,52822418,Action|Drama|Thriller|War,Toby Stephens,13 Hours ,47764,3580,David Costabile,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219,USA,50000000,2.35,44000
Jorge R. Gutiérrez,156,Hector Elizondo,17000,50150619,Adventure|Animation|Comedy|Family|Fantasy|Romance,Channing Tatum,The Book of Life ,45580,19513,Ana de la Reguera,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,102,USA,50000000,2.35,18000
Richard Loncraine,171,Harrison Ford,87000,48745150,Crime|Thriller,Jimmy Bennett,Firewall ,50170,101383,Mary Lynn Rajskub,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,306,USA,50000000,2.35,773
Clint Eastwood,76,Mark Margolis,16000,50007168,Action|Crime|Drama|Thriller,Clint Eastwood,Absolute Power ,39529,19139,Scott Glenn,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,142,USA,50000000,2.35,1000
Ridley Scott,97,Demi Moore,10000,48154732,Action|Drama|War,Viggo Mortensen,G.I. Jane ,60326,15569,John Michael Higgins,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,142,USA,50000000,2.35,2000
David Fincher,157,Armin Mueller-Stahl,495,48265581,Drama|Mystery|Thriller,Deborah Kara Unger,The Game ,261069,1397,Charles Martinet,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,506,USA,50000000,2.35,25000
Christophe Gans,267,Deborah Kara Unger,992,46982632,Adventure|Horror|Mystery,Radha Mitchell,Silent Hill ,172792,1933,Alice Krige,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,1740,Canada,50000000,2.35,0
Howard Deutch,118,Jon Favreau,18000,44737059,Comedy|Sport,Keanu Reeves,The Replacements ,48322,24024,Faizon Love,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,261,USA,50000000,1.85,0
Jon Hurwitz,291,Dania Ramirez,3000,56724080,Comedy,Alyson Hannigan,American Reunion ,172112,8398,Natasha Lyonne,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,181,USA,50000000,1.85,39000
F. Gary Gray,68,Michael Cudlitz,18000,44484065,Action|Crime|Drama|Mystery|Thriller,Kevin Spacey,The Negotiator ,107227,20152,Siobhan Fallon Hogan,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,279,Germany,50000000,2.35,3000
Steven Quale,228,Alycia Debnam-Carey,490,47553512,Action|Thriller,Matt Walsh,Into the Storm ,54101,1367,Scott Lawrence,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,210,USA,50000000,1.85,15000
John Landis,36,Jon Tenney,437,42610000,Action|Comedy|Crime|Thriller,Louis Lombardi,Beverly Hills Cop III ,60293,1093,Gilbert R. Hill,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,114,USA,55000000,1.85,669
Joe Dante,105,Robert Picardo,16000,41482207,Comedy|Fantasy|Horror,Christopher Lee,Gremlins 2: The New Batch ,68428,19610,Phoebe Cates,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,148,USA,50000000,1.85,0
David Dobkin,276,Robert Duvall,21000,47105085,Crime|Drama,Robert Downey Jr.,The Judge ,136973,30183,Leighton Meester,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,275,USA,50000000,2.35,47000
Mimi Leder,93,Holt McCallany,294,41256277,Action|Thriller,Armin Mueller-Stahl,The Peacemaker ,46451,1289,Marcel Iures,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,156,USA,50000000,2.35,0
Alexander Witt,191,Thomas Kretschmann,14000,50740078,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Apocalypse ,151580,16791,Mike Epps,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,672,Germany,45000000,2.35,0
Beeban Kidron,143,Jim Broadbent,14000,40203020,Comedy|Drama|Romance,Colin Firth,Bridget Jones: The Edge of Reason ,74315,15634,Celia Imrie,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,259,UK,40000000,2.35,0
Carl Franklin,124,Sanaa Lathan,18000,40905277,Crime|Drama|Romance|Thriller,Denzel Washington,Out of Time ,45895,19739,John Billingsley,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,157,USA,50000000,2.35,1000
Steven Seagal,47,Joan Chen,854,38590500,Action|Adventure|Thriller,Mike Starr,On Deadly Ground ,17997,1860,Sven-Ole Thorsen,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,140,USA,50000000,2.35,812
Robert Rodriguez,66,Kristin Davis,12000,39177541,Action|Adventure|Family|Fantasy,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,Taylor Dooley,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,177,USA,50000000,1.85,0
Danny Boyle,118,Virginie Ledoyen,29000,39778599,Adventure|Drama|Thriller,Leonardo DiCaprio,The Beach ,176169,29461,Peter Youngblood Hills,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,548,USA,50000000,2.35,0
Garry Marshall,93,Felicity Huffman,627,37486138,Comedy|Drama|Romance,Amber Valletta,Raising Helen ,30890,2052,Spencer Breslin,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,106,USA,50000000,1.85,718
James McTeigue,235,Ben Miles,330,38105077,Action|Crime|Thriller,Shô Kosugi,Ninja Assassin ,58349,701,Rain,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,194,USA,40000000,2.35,0
Sam Raimi,113,Kelly Preston,24000,35168395,Drama|Romance|Sport,J.K. Simmons,For Love of the Game ,26034,25469,Carmine Giovinazzo,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,226,USA,50000000,2.35,0
,14,Bruce Alexander,325,,Crime|Drama|Mystery,David Jason,A Touch of Frost             ,4438,344,John Lyons,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,33,UK,,1.33,361
Andrew Bergman,51,Rumer Willis,2000,32800000,Comedy|Crime|Drama|Thriller,Demi Moore,Striptease ,34896,3016,Paul Guilfoyle,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,118,USA,40000000,1.85,877
Tom Dey,98,Judy Greer,15000,33643461,Comedy|Family,Emma Stone,Marmaduke ,11257,20061,Steve Coogan,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,65,USA,50000000,2.35,0
Clint Eastwood,315,Jay Mohr,13000,32741596,Drama|Fantasy,Matt Damon,Hereafter ,80140,14344,Cécile De France,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,323,USA,50000000,2.35,16000
Barbet Schroeder,136,Chris Penn,33000,31874869,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,43574,34606,Agnes Bruckner,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,USA,50000000,1.85,0
Richard Donner,61,Sylvester Stallone,45000,30306268,Action|Crime|Thriller,Muse Watson,Assassins ,62981,58528,Kelly Rowan,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,84,France,50000000,1.85,0
Peter Webber,209,Stephen Walters,879,27667947,Crime|Drama|Thriller,Li Gong,Hannibal Rising ,86374,1344,Richard Brake,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,392,UK,50000000,2.35,3000
Rob Reiner,99,Tim Matheson,13000,27067160,Comedy|Drama|Romance,Bruce Willis,The Story of Us ,18404,14706,Rita Wilson,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,150,USA,50000000,1.85,0
Andrew Niccol,298,Chandler Canterbury,430,26616999,Action|Adventure|Romance|Sci-Fi|Thriller,J.D. Evermore,The Host ,92461,1300,Rachel Roberts,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,347,USA,40000000,2.35,43000
