director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,budget,title_year,imdb_score,aspect_ratio
64,729,3000,48546578,Fred Willard,0,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,English,USA,20000000,2006,2.7,1.85
2,434,1000,48423368,Spencer Breslin,1,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,English,USA,20000000,2002,5.8,1.66
151,852,1000,52066000,Oprah Winfrey,0,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,English,UK,20000000,2014,7.5,2.35
0,384,3000,47887943,Tony Jay,0,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,English,USA,20000000,2003,5.4,1.85
19,349,526,46363118,Charles Mesure,0,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,English,USA,20000000,2005,4.1,1.85
9,107,826,47852604,Marc Macaulay,0,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,English,USA,20000000,2007,5.9,2.35
25,16,304,45542421,Ken Sansom,0,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,English,USA,30000000,2000,6.3,1.78
174,602,87000,41573740,Aryana Engineer,1,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,English,USA,,2009,7.0,1.85
132,455,1000,42652003,Edgar Arreola,0,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,English,USA,20000000,2015,6.8,2.35
,295,607,,Denise Boutte,2,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,English,USA,,,3.5,1.85
82,729,926,39737645,Fred Willard,11,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,English,USA,20000000,2007,2.3,1.85
468,183,919,37567440,Sandahl Bergman,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,USA,20000000,1982,6.9,2.35
310,77,745,44988180,Brian d'Arcy James,2,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,English,USA,20000000,2015,8.1,1.85
119,332,1000,39263506,Robert Pine,1,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,English,USA,22000000,2008,6.1,2.35
70,464,4000,39143839,Matthew Knight,0,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,English,USA,20000000,2006,5.0,1.85
8,232,508,37672350,Barry Shabaka Henley,1,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,English,USA,20000000,1998,5.5,1.85
12,636,18000,38037513,Alex Winter,2,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,English,USA,20000000,1991,6.2,1.85
272,1000,49000,37442180,Amy Poehler,1,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,English,USA,20000000,2006,6.2,2.35
20,160,889,,Yvette Mimieux,0,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,English,USA,20000000,1979,5.9,2.35
210,101,978,35596227,Filippo Timi,1,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,English,USA,20000000,2010,6.3,2.35
16,399,565,35422828,Jacob Vargas,1,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,English,USA,20000000,1997,6.7,2.35
82,354,759,36658108,Anneliese van der Pol,7,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,English,USA,20000000,2010,3.5,1.85
0,51,11000,34300771,Dermot Crowley,3,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,English,France,25000000,2006,7.5,1.85
189,949,2000,34290142,Jane Fonda,8,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,English,USA,19800000,2014,6.6,2.35
53,652,22000,33422556,Carrie Preston,0,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,English,USA,20000000,2008,7.5,1.85
406,406,860,32774834,Trey Parker,5,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,English,USA,30000000,2004,7.2,2.35
34,322,383,34334256,Shaun Sipos,0,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,English,USA,11000000,2013,4.8,2.35
36,631,10000,32051917,Harry Connick Jr.,0,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,English,USA,20000000,1995,6.6,2.35
92,636,31000,32014289,Molly Shannon,8,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,English,USA,20000000,2013,3.5,1.85
32,417,16000,,Ray Walston,3,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,English,USA,20000000,1969,6.7,2.35
835,755,11000,31838002,Lucas Grabeel,1,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,English,USA,20000000,2008,7.6,1.85
58,47,141,36874745,María Botto,2,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,English,USA,20000000,2016,6.3,2.35
17,78,534,30079316,Francesca Rettondini,0,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,English,USA,35000000,2002,5.5,1.85
12,587,786,35033759,Paula Garcés,4,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,English,USA,19000000,2011,6.3,2.35
39,254,13000,29753944,Jeff Perry,3,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,English,USA,20000000,1998,6.5,2.35
29,429,812,29062561,Skyler Samuels,0,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,English,USA,,2009,5.6,2.35
108,22,1000,31146570,Romi Aboulafia,3,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,English,USA,20000000,2010,6.9,2.35
350,619,1000,27277055,Lisa Bonet,0,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,English,UK,20000000,2000,7.6,1.85
2,270,741,26876529,Margaret Cho,1,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,English,Japan,27000000,2008,3.9,1.85
154,497,1000,53146000,Philip Baker Hall,1,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,English,USA,20000000,1996,6.1,1.85
79,287,26000,30028592,Daniel Mays,0,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,English,UK,20000000,2008,7.3,2.35
1000,1000,14000,34126138,Tom Wilkinson,1,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,English,USA,20000000,2004,8.3,1.85
99,518,2000,25677801,Christine Lakin,6,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,English,USA,20000000,2010,5.8,2.35
453,2000,18000,26415649,Noel Gugliemi,4,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,English,USA,20000000,2008,6.8,2.35
1000,24,177,26003149,Jasper Levine,6,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,English,UK,20000000,2013,7.0,2.35
26,650,720,25584685,Tate Donovan,5,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,English,USA,20000000,2007,5.9,2.35
35,16,125,29975979,Tiffany Lamb,0,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,English,Australia,20000000,2009,6.5,2.35
14,756,2000,31584722,Geoff Stults,1,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,English,USA,20000000,2010,6.4,2.35
15,350,3000,23179303,Brett Cullen,3,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,English,Hungary,20000000,2011,5.8,1.85
19,806,1000,23078294,Samaire Armstrong,0,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,English,USA,9000000,2006,5.1,2.35
23,748,25000,21413105,Ben Mendelsohn,1,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,English,Australia,20000000,1990,6.8,2.35
0,518,681,25077977,Christine Lakin,0,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,English,USA,20000000,2010,5.3,1.85
212,637,960,23292105,Toby Hemingway,0,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,English,USA,20000000,2006,5.3,2.35
31,733,12000,26870825,John Patrick Amedori,3,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,English,Germany,,2006,6.4,1.85
0,470,87000,20916309,Jake Short,4,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,English,USA,40000000,2009,4.9,1.85
835,458,1000,21200000,Holland Taylor,0,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,English,USA,20000000,1995,6.8,1.85
24,374,646,28876924,Emily Meade,0,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,English,USA,20000000,2016,7.1,
0,107,10000,20207003,Tom Bower,0,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,English,USA,,2008,6.8,2.35
0,877,2000,20241395,Maximilian Schell,0,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,English,USA,20000000,1998,6.1,2.35
,,0,,,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,Japanese,Japan,,,7.0,
13000,285,606,32000000,John Gavin,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,English,USA,806947,1960,8.5,1.85
41,490,1000,19151864,Riki Lindhome,3,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,English,USA,40000000,2008,5.9,1.85
19,942,15000,23393765,Rhys Wakefield,0,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,English,USA,20000000,2014,6.3,2.35
0,949,995,18882880,Jane Fonda,3,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,English,USA,20000000,2007,5.9,2.35
15,281,691,8500000,Billy Barty,0,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,English,USA,20000000,1981,5.4,1.78
503,83,2000,,Leo McKern,2,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,English,USA,20000000,1985,7.0,2.35
160,271,1000,18252684,Dana Ivey,2,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,English,USA,30000000,1998,6.9,1.85
57,905,11000,19661987,John de Lancie,2,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,English,USA,20000000,2007,7.5,2.35
0,826,17000,18352454,Hal Holbrook,0,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,English,USA,15000000,2007,8.2,2.35
480,579,970,17803796,Jacinda Barrett,1,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,English,USA,20000000,2006,5.9,2.35
83,206,991,17529157,Martin Donovan,0,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,English,France,20000000,2012,5.0,2.35
0,844,16000,25753840,Cheech Marin,2,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,English,USA,19000000,1996,7.3,1.85
0,253,304,18081626,John Fiedler,0,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,English,USA,20000000,2005,6.4,1.85
0,801,21000,17518220,Steve Guttenberg,1,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,English,USA,20000000,1995,6.6,1.85
0,59,264,17104669,Qiu Yuen,1,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,Cantonese,Hong Kong,20000000,2004,7.8,2.35
,215,909,,Sharon Lawrence,2,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,English,USA,,,6.7,1.33
0,939,3000,16988996,Stephen Root,1,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,English,USA,35000000,2002,4.0,1.85
395,161,283,15797907,Khalid Abdalla,0,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,Dari,USA,20000000,2007,7.6,2.35
0,430,6000,16248701,Danny Huston,0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,English,USA,20000000,2003,7.7,1.85
2,472,787,15712072,Kelly Carlson,0,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,English,USA,20000000,2004,5.8,2.35
308,10000,17000,191449475,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,USA,37000000,2008,5.2,2.35
13,499,651,15408822,James Brolin,3,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,English,USA,20000000,2003,5.6,1.85
143,153,302,15464026,Zak Orth,2,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,English,USA,20000000,2000,5.3,1.85
909,173,1000,14359793,Bernie Sanders,0,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,English,USA,,2009,7.4,1.85
126,202,940,8000000,José Ferrer,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,English,USA,20000000,1965,6.6,2.76
53,233,8000,,Joe Cole,0,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,English,USA,19500000,2015,6.2,2.35
82,329,869,14174654,Ike Barinholtz,0,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,English,USA,25000000,2008,1.9,1.85
190,163,137000,15988876,Lorna Raver,6,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,English,USA,27000000,2009,5.7,2.35
36,507,13000,13801755,Joanne Whalley,1,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,English,USA,20000000,1997,6.6,1.85
20,783,11000,13987482,Ed Begley Jr.,1,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,English,USA,20000000,2011,6.0,1.85
4,80,788,14291570,Jacky Ido,2,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,English,France,20000000,2012,6.1,2.35
272,62,1000,12181484,Sam Lerner,1,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,English,USA,40000000,2004,4.8,1.85
83,926,26000,13630226,David Carradine,0,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,English,USA,20000000,2009,6.2,1.85
11000,967,1000,13383737,Dianne Wiest,4,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,English,USA,20000000,1994,7.5,1.85
6,85,541,13391174,Nimrat Kaur,0,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,English,USA,20000000,2006,6.3,2.35
176,83,3000,12987647,Holmes Osborne,2,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,English,UK,30000000,2002,7.1,2.35
563,385,12000,12469811,Michael Rispoli,1,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,English,USA,22000000,2005,6.6,1.85
394,565,922,12398628,Jon Seda,2,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,English,USA,20000000,2002,6.1,2.35
192,31,346,13214030,Jordan Carlos,3,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,English,USA,20000000,2008,6.7,1.85
212,347,969,12232937,Nick Gomez,1,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,English,USA,22000000,2009,5.6,2.35
198,884,17000,12134420,Kodi Smit-McPhee,0,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,English,UK,20000000,2010,7.2,2.35
18,181,400,11784000,Don Stark,0,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,English,USA,20000000,1994,4.3,1.85
1000,270,734,11169531,Melonie Diaz,2,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,English,UK,20000000,2008,6.4,2.35
350,99,5000,11034436,Sarah Solemani,1,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,English,UK,20000000,2005,7.1,1.85
214,968,14000,12626905,Clifton Collins Jr.,3,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,English,USA,20000000,2016,6.3,2.35
11000,223,11000,10569071,Judy Davis,2,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,English,USA,20000000,1997,7.4,1.85
4,677,2000,10544143,David Ramsey,2,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,English,Australia,20000000,1999,6.1,1.37
53,580,14000,13650738,Riccardo Scamarcio,1,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,English,USA,20000000,2015,6.6,2.35
277,383,22000,10555348,James Russo,0,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,English,USA,20000000,1989,6.0,2.35
11000,2,1000,9714482,Jeff DeRocker,0,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,English,USA,20000000,1996,6.8,1.85
0,548,22000,8579684,Kris Marshall,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,USA,9000000,2007,7.4,1.85
0,725,856,9525276,Edi Gathegi,0,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,English,USA,20000000,2007,6.8,2.35
52,148,22000,8855646,Brendan Sexton III,1,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,English,USA,21000000,2009,7.2,2.35
84,177,650,9109322,Peter Wingfield,3,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,English,Germany,20000000,2004,1.9,2.35
10,69,688,8326035,Gigi Rice,2,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,English,Germany,33000000,2005,5.5,1.85
10,436,716,8104069,Cedric the Entertainer,3,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,English,USA,20000000,2007,4.5,1.85
54,463,786,8054280,Dash Mihok,3,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,English,USA,20000000,2004,6.3,1.85
189,388,683,,Ben Vereen,0,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,English,USA,20000000,1969,7.0,2.35
0,175,204,8093318,Serena Scott Thomas,0,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,English,USA,20000000,2014,6.7,1.85
3,593,787,7382993,Jon Stewart,0,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,English,USA,20000000,2006,2.8,1.85
9,826,997,8888355,Laz Alonso,19,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,English,USA,20000000,2013,5.0,1.85
