director_name,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,country,content_rating,title_year
John Gray,Action|Comedy|Crime|Drama|Thriller,Alexa PenaVega,The Glimmer Man ,15455,3855,USA,R,1996
Harold Ramis,Comedy|Romance|Sci-Fi,John de Lancie,Multiplicity ,24757,2348,USA,PG-13,1996
John Schultz,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,Aliens in the Attic ,16580,3423,USA,PG,2009
Sean Penn,Crime|Drama|Mystery|Thriller,Costas Mandylor,The Pledge ,42621,793,USA,R,2001
Susan Stroman,Comedy|Musical,Jon Lovitz,The Producers ,35140,24351,USA,PG-13,2005
Pete Travis,Action|Sci-Fi,Wood Harris,Dredd ,203461,578,UK,R,2012
Simon Wincer,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,The Phantom ,27648,3855,Australia,PG,1996
Billy Bob Thornton,Drama|Romance|Western,Matt Damon,All the Pretty Horses ,11388,15006,USA,PG-13,2000
Oliver Stone,Biography|Drama|History,Anthony Hopkins,Nixon ,23996,21130,USA,R,1995
Roman Polanski,Mystery|Thriller,Jim Belushi,The Ghost Writer ,132423,2507,France,PG-13,2010
Stephen Sommers,Action|Adventure|Horror|Sci-Fi,Djimon Hounsou,Deep Rising ,26551,6558,USA,R,1998
Spike Lee,Action|Crime|Drama|Thriller|War,Joseph Gordon-Levitt,Miracle at St. Anna ,15697,26982,USA,R,2008
Yimou Zhang,Drama|Romance,Li Gong,Curse of the Golden Flower ,36455,949,China,R,2006
Danny Pang,Action|Crime|Thriller,Nicolas Cage,Bangkok Dangerous ,48245,12166,USA,R,2008
Barry Sonnenfeld,Comedy|Crime|Thriller,Zooey Deschanel,Big Trouble ,17307,13917,USA,PG-13,2002
Mike Newell,Drama|Romance,Marcela Mar,Love in the Time of Cholera ,19114,538,USA,R,2007
,Drama|Fantasy|Horror|Mystery,Pierre Perrier,The Returned             ,15762,654,France,TV-MA,
George P. Cosmatos,Action|Thriller,Sam Waterston,Shadow Conspiracy ,3803,2457,USA,R,1997
Oliver Parker,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Johnny English Reborn ,89568,661,USA,PG,2011
Lawrence Kasanoff,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,Foodfight! ,4377,3090,USA,PG,2012
Ben Affleck,Biography|Drama|History|Thriller,Clea DuVall,Argo ,452465,3133,USA,R,2012
Andrew Davis,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,The Fugitive ,213668,13357,USA,PG-13,1993
Andy Tennant,Action|Comedy|Romance,Gerard Butler,The Bounty Hunter ,96565,21554,USA,PG-13,2010
Barry Levinson,Crime|Drama|Thriller,Robert De Niro,Sleepers ,154487,37076,USA,R,1996
George P. Cosmatos,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo: First Blood Part II ,117606,15662,USA,R,1985
Brian Gibson,Drama|Thriller,Joseph Gordon-Levitt,The Juror ,13995,26907,USA,R,1996
Norman Ferguson,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,90360,1178,USA,Approved,1940
Michael Cimino,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,9830,14255,USA,R,1980
Len Wiseman,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,156225,2998,USA,R,2006
Paul McGuigan,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,28618,12876,USA,PG-13,2015
Gus Van Sant,Drama,F. Murray Abraham,Finding Forrester ,73006,1801,USA,PG-13,2000
Betty Thomas,Comedy|Drama,Steve Buscemi,28 Days ,34597,23864,USA,PG-13,2000
Louis Leterrier,Action|Crime|Drama|Thriller,Morgan Freeman,Unleashed ,85198,22383,France,R,2005
Roger Kumble,Comedy|Romance,Judith Chapman,The Sweetest Thing ,46158,132,USA,R,2002
Sydney Pollack,Drama|Mystery|Thriller,Tom Cruise,The Firm ,88844,14244,USA,R,1993
Burr Steers,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,47364,1066,USA,PG-13,2010
Simon West,Action|Crime|Thriller,Jason Statham,The Mechanic ,117999,27834,USA,R,2011
Phil Lord,Action|Comedy|Crime,Channing Tatum,21 Jump Street ,408302,19968,USA,R,2012
Roger Michell,Comedy|Drama|Romance,Julia Roberts,Notting Hill ,203269,9255,UK,PG-13,1999
Peter Lord,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run ,140499,1817,UK,G,2000
John Hamburg,Comedy|Romance,Philip Seymour Hoffman,Along Came Polly ,106909,24534,USA,PG-13,2004
Reginald Hudlin,Comedy|Drama|Romance,John Witherspoon,Boomerang ,20183,3841,USA,R,1992
Paul Feig,Action|Comedy|Crime,Michael Rapaport,The Heat ,133177,4825,USA,R,2013
Joseph L. Mankiewicz,Biography|Drama|History|Romance,Martin Landau,Cleopatra ,21554,2957,UK,Approved,1963
Frank Coraci,Action|Comedy|Sport,Salma Hayek,Here Comes the Boom ,74169,6727,USA,PG,2012
Carl Franklin,Crime|Drama|Mystery|Thriller,Morgan Freeman,High Crimes ,30077,15571,USA,PG-13,2002
Barbra Streisand,Comedy|Drama|Romance,Jeff Bridges,The Mirror Has Two Faces ,11453,13716,USA,PG-13,1996
Mark Pellington,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,63677,1651,USA,PG-13,2002
Larry Charles,Comedy,Bono,Brüno ,119622,2134,USA,R,2009
John Glen,Action|Adventure|Thriller,Robert Davi,Licence to Kill ,74009,2371,UK,PG-13,1989
Catherine Hardwicke,Fantasy|Horror|Mystery|Thriller,Gary Oldman,Red Riding Hood ,91151,15369,USA,PG-13,2011
John Herzfeld,Action|Crime|Drama|Thriller,Robert De Niro,15 Minutes ,42547,33585,USA,R,2001
Annabel Jankel,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Super Mario Bros. ,38203,7723,UK,PG,1993
Andrew Niccol,Crime|Drama|Thriller,Nicolas Cage,Lord of War ,248123,12076,USA,R,2005
Yimou Zhang,Action|Adventure|History,Jet Li,Hero ,149414,6229,China,PG-13,2002
Julie Anne Robinson,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,One for the Money ,34203,3301,USA,PG-13,2012
Evan Goldberg,Comedy,James Franco,The Interview ,247020,12239,USA,R,2014
Sngmoo Lee,Action|Fantasy|Western,Tony Cox,The Warrior's Way ,22309,2056,New Zealand,R,2010
,Comedy|War,Tim Conway,McHale's Navy             ,1558,1610,USA,TV-G,
Jean-Pierre Jeunet,Action|Comedy|Crime,Omar Sy,Micmacs ,24657,1342,France,R,2009
Curtis Hanson,Drama|Music,Mekhi Phifer,8 Mile ,187181,1954,USA,R,2002
Jamel Debbouze,Adventure|Animation|Comedy|Family,Jamel Debbouze,Animal Kingdom: Let's go Ape ,590,488,France,,2015
Brian Helgeland,Action|Adventure|Romance,Heath Ledger,A Knight's Tale ,137003,18761,USA,PG-13,2001
Gordon Chan,Action|Comedy|Fantasy,Julian Sands,The Medallion ,29861,1134,Hong Kong,PG-13,2003
M. Night Shyamalan,Drama|Mystery|Thriller,Bruce Willis,The Sixth Sense ,704766,17540,USA,PG-13,1999
Asger Leth,Action|Crime|Thriller,Robert Clohessy,Man on a Ledge ,125198,362,USA,PG-13,2012
David Frankel,Comedy,Joel McHale,The Big Year ,34809,2085,USA,PG,2011
John G. Avildsen,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,126907,2004,USA,PG,1984
David O. Russell,Crime|Drama,Jennifer Lawrence,American Hustle ,358416,83012,USA,R,2013
Anne Fletcher,Comedy|Drama|Romance,Ryan Reynolds,The Proposal ,227824,18656,USA,PG-13,2009
Bruce Beresford,Crime|Mystery|Thriller,Bruce Greenwood,Double Jeopardy ,56646,2129,USA,R,1999
Robert Zemeckis,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,340085,3660,USA,PG,1989
Luc Besson,Action|Sci-Fi|Thriller,Scarlett Johansson,Lucy ,327367,32325,France,R,2014
Sam Taylor-Johnson,Drama|Romance,Jennifer Ehle,Fifty Shades of Grey ,220020,4585,USA,R,2015
Robert Rodriguez,Action|Adventure|Comedy|Family|Sci-Fi,Sylvester Stallone,Spy Kids 3-D: Game Over ,40227,22935,USA,PG,2003
Joel Schumacher,Crime|Drama|Thriller,Kevin Spacey,A Time to Kill ,99558,31349,USA,R,1996
Shawn Levy,Comedy|Family,Tom Welling,Cheaper by the Dozen ,75152,7014,USA,PG,2003
Peter Berg,Action|Biography|Drama|Thriller|War,Jerry Ferrara,Lone Survivor ,203963,1261,USA,R,2013
Penny Marshall,Comedy|Drama|Sport,Tom Hanks,A League of Their Own ,71754,16751,USA,PG,1992
James Wan,Horror|Mystery|Thriller,Javier Botet,The Conjuring 2 ,64989,2676,USA,R,2016
David Fincher,Biography|Drama,Andrew Garfield,The Social Network ,479453,10555,USA,PG-13,2010
Ken Kwapis,Comedy|Drama|Romance,Carmen Perez,He's Just Not That Into You ,132048,318,USA,PG-13,2009
David Zucker,Comedy,Beau Mirchoff,Scary Movie 4 ,93748,5855,USA,PG-13,2006
Wes Craven,Horror|Mystery,Kelly Rutherford,Scream 3 ,98535,600,USA,R,2000
Robert Zemeckis,Adventure|Comedy|Sci-Fi|Western,Lea Thompson,Back to the Future Part III ,283480,3986,USA,PG,1990
Etan Cohen,Comedy|Crime,Will Ferrell,Get Hard ,85629,12556,USA,R,2015
Francis Ford Coppola,Fantasy|Horror|Romance,Keanu Reeves,Bram Stoker's Dracula ,143835,42220,USA,R,1992
Nora Ephron,Biography|Drama|Romance,Meryl Streep,Julie & Julia ,79264,13321,USA,PG-13,2009
Brian Helgeland,Biography|Drama|Sport,Harrison Ford,42 ,66511,16911,USA,PG-13,2013
Anthony Minghella,Crime|Drama|Thriller,Philip Seymour Hoffman,The Talented Mr. Ripley ,137891,36810,USA,R,1999
Bobby Farrelly,Comedy,Bill Murray,Dumb and Dumber To ,97045,16179,USA,PG-13,2014
Frank Marshall,Adventure|Drama|Family,Paul Walker,Eight Below ,48806,24300,USA,PG,2006
Nancy Meyers,Comedy|Drama,Robert De Niro,The Intern ,130661,36010,USA,PG-13,2015
Tim Story,Action|Comedy,Olivia Munn,Ride Along 2 ,28621,5178,USA,PG-13,2016
Michael Mann,Action|Adventure|Drama|Romance|War,Wes Studi,The Last of the Mohicans ,113068,2144,USA,R,1992
Taylor Hackford,Biography|Drama|Music,Bokeem Woodbine,Ray ,110394,5074,USA,PG-13,2004
Frank Miller,Crime|Thriller,Rosario Dawson,Sin City ,656640,3924,USA,R,2005
Pete Travis,Crime|Drama|Mystery|Thriller,Dennis Quaid,Vantage Point ,127528,6775,USA,PG-13,2008
John Hamburg,Comedy|Romance,J.K. Simmons,I Love You, Man ,166194,28928,USA,R,2009
Bobby Farrelly,Comedy|Drama|Fantasy|Romance,Jason Alexander,Shallow Hal ,109445,2842,USA,PG-13,2001
Oliver Stone,Drama|History|Thriller,Sally Kirkland,JFK ,113472,698,France,R,1991
John Whitesell,Comedy|Crime,Chloë Grace Moretz,Big Momma's House 2 ,31968,19334,USA,PG-13,2006
Gore Verbinski,Adventure|Comedy|Crime|Romance,J.K. Simmons,The Mexican ,87351,43917,USA,R,2001
Angelina Jolie Pitt,Biography|Drama|Sport|War,Finn Wittrock,Unbroken ,103589,2938,USA,PG-13,2014
Burr Steers,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,17 Again ,146899,7009,USA,PG-13,2009
Nick Cassavetes,Comedy|Romance,Don Johnson,The Other Woman ,104481,2357,USA,PG-13,2014
David R. Ellis,Horror,Krista Allen,The Final Destination ,75345,303717,USA,R,2009
Steven Spielberg,Drama|History|Thriller,Tom Hanks,Bridge of Spies ,178118,16944,USA,PG-13,2015
John Moore,Action|Drama|Thriller|War,Joaquim de Almeida,Behind Enemy Lines ,86902,2544,USA,PG-13,2001
Nicholas Stoller,Comedy|Music,Pink,Get Him to the Greek ,147317,2091,USA,R,2010
Peter Chelsom,Comedy|Drama|Romance,Lisa Ann Walter,Shall We Dance ,35508,2325,USA,PG-13,2004
Joe Dante,Action|Adventure|Comedy|Family|Sci-Fi,Kirsten Dunst,Small Soldiers ,77415,8610,USA,PG-13,1998
Mark A.Z. Dippé,Action|Horror,Michael Jai White,Spawn ,52805,7039,USA,R,1997
Kevin Reynolds,Action|Adventure|Drama|Romance|Thriller,Henry Cavill,The Count of Monte Cristo ,104991,17152,UK,PG-13,2002
Brad Furman,Crime|Drama|Thriller,Matthew McConaughey,The Lincoln Lawyer ,173848,13943,USA,R,2011
Jaume Collet-Serra,Action|Mystery|Thriller,Liam Neeson,Unknown ,210542,17152,UK,PG-13,2011
Christopher Nolan,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,The Prestige ,844052,63986,USA,PG-13,2006
Sean Anders,Comedy|Crime,Kevin Spacey,Horrible Bosses 2 ,114294,30571,USA,R,2014
Cal Brunker,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,Escape from Planet Earth ,20615,3361,USA,PG,2013
Mel Gibson,Action|Adventure|Drama|Thriller,Rudy Youngblood,Apocalypto ,236000,848,USA,R,2006
John Glen,Action|Adventure|Thriller,Joe Don Baker,The Living Daylights ,69457,1233,UK,PG,1987
Nimród Antal,Action|Adventure|Sci-Fi|Thriller,Topher Grace,Predators ,171418,4243,USA,R,2010
Ivan Reitman,Comedy|Crime|Romance,Brian Dennehy,Legal Eagles ,7900,2179,USA,PG,1986
David Koepp,Mystery|Thriller,Johnny Depp,Secret Window ,147504,41293,USA,PG-13,2004
Alejandro Agresti,Drama|Fantasy|Romance,Keanu Reeves,The Lake House ,114321,18693,USA,PG,2006
Iain Softley,Horror|Mystery|Thriller,Gena Rowlands,The Skeleton Key ,87447,1274,USA,PG-13,2005
Peter Hedges,Comedy|Drama|Family|Fantasy,Jennifer Garner,The Odd Life of Timothy Green ,37398,9069,USA,PG,2012
Paul Weiland,Comedy|Romance,Busy Philipps,Made of Honor ,54421,4298,USA,PG-13,2008
Clint Eastwood,Biography|Drama|Music|Musical,Johnny Cannizzaro,Jersey Boys ,25465,2281,USA,R,2014
Francis Ford Coppola,Crime|Drama|Thriller,Matt Damon,The Rainmaker ,46221,16762,USA,PG-13,1997
Mathieu Kassovitz,Horror|Mystery|Thriller,Robert Downey Jr.,Gothika ,89557,22318,USA,R,2003
Steven Spielberg,Drama|History,Anthony Hopkins,Amistad ,56509,37570,USA,R,1997
John McTiernan,Adventure|Drama|Romance,Lorraine Bracco,Medicine Man ,17443,519,USA,PG-13,1992
Colin Strause,Action|Horror|Sci-Fi|Thriller,Sam Trammell,Aliens vs. Predator: Requiem ,92789,4324,USA,R,2007
Donald Petrie,Comedy|Family,Macaulay Culkin,Ri¢hie Ri¢h ,49612,4634,USA,PG,1994
Joan Chen,Drama|Romance,J.K. Simmons,Autumn in New York ,20201,26938,USA,PG-13,2000
Marc Lawrence,Comedy|Music|Romance,Brad Garrett,Music and Lyrics ,81334,2787,USA,PG-13,2007
Greg Mottola,Adventure|Comedy|Sci-Fi,Bobby Lee,Paul ,192462,390,USA,R,2011
Anne Fletcher,Comedy|Drama,Miriam Margolyes,The Guilt Trip ,30394,1070,USA,PG-13,2012
Wes Craven,Horror|Mystery,Alison Brie,Scream 4 ,104119,4486,USA,R,2011
Joel Schumacher,Mystery|Thriller,Nicolas Cage,8MM ,104564,12970,Germany,R,1999
Oliver Stone,Biography|Drama|Music|Musical,Michael Wincott,The Doors ,68159,3044,USA,R,1991
Jake Kasdan,Comedy,James Wilcox,Sex Tape ,84382,1488,USA,R,2014
Diane Keaton,Comedy|Drama,Adam Arkin,Hanging Up ,10132,1238,Germany,PG-13,2000
Steven Quale,Horror,Emma Bell,Final Destination 5 ,83788,3074,USA,R,2011
Kelly Makin,Comedy|Crime|Romance,Jeanne Tripplehorn,Mickey Blue Eyes ,29968,2913,UK,PG-13,1999
Mimi Leder,Drama,Kevin Spacey,Pay It Forward ,95860,23920,USA,PG-13,2000
Bobby Farrelly,Comedy|Drama|Romance|Sport,Jimmy Fallon,Fever Pitch ,36223,1827,USA,PG-13,2005
,Animation|Comedy|Family,Bruce Dinsmore,Arthur             ,8495,108,Canada,TV-Y,
Steven Brill,Comedy|Drama,Lisa Ann Walter,Drillbit Taylor ,50199,3239,USA,PG-13,2008
Seth MacFarlane,Comedy|Western,Liam Neeson,A Million Ways to Die in the West ,136093,28927,USA,R,2014
Russell Mulcahy,Action|Adventure|Crime|Fantasy|Mystery|Thriller,Jonathan Winters,The Shadow ,18723,2711,USA,PG-13,1994
Stephen Daldry,Adventure|Drama|Mystery,Tom Hanks,Extremely Loud & Incredibly Close ,81298,15595,USA,PG-13,2011
Roger Michell,Comedy|Drama|Romance,Noah Bean,Morning Glory ,58871,621,USA,PG-13,2010
Jim Sheridan,Biography|Crime|Drama|Music,50 Cent,Get Rich or Die Tryin' ,35834,3969,USA,R,2005
Christian Duguay,Action|Adventure|Crime|Thriller,Michael Biehn,The Art of War ,25346,3753,USA,R,2000
Chris Columbus,Drama|Musical|Romance,Rosario Dawson,Rent ,41685,5917,USA,PG-13,2005
Chuck Russell,Crime|Drama|Horror|Thriller,Rufus Sewell,Bless the Child ,12093,4565,USA,R,2000
Sam Weisman,Comedy,Oliver Hudson,The Out-of-Towners ,10446,1335,USA,PG-13,1999
John Frankenheimer,Horror|Sci-Fi|Thriller,Marlon Brando,The Island of Dr. Moreau ,26051,10469,USA,PG-13,1996
Peter Hyams,Action|Adventure|Romance,Catherine Deneuve,The Musketeer ,12856,2888,Germany,PG-13,2001
Justin Chadwick,Biography|Drama|History|Romance,Natalie Portman,The Other Boleyn Girl ,84357,77823,UK,PG-13,2008
Pat O'Connor,Drama|Romance,Keanu Reeves,Sweet November ,70292,29484,USA,PG-13,2001
Stephen Hopkins,Horror|Thriller,Stephen Rea,The Reaping ,37412,960,USA,R,2007
Martin Scorsese,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets ,67797,23737,USA,R,1973
Penny Marshall,Comedy|Drama,Ed Begley Jr.,Renaissance Man ,13830,3126,USA,PG-13,1994
Olivier Megaton,Action|Crime|Drama|Thriller,Jordi Mollà,Colombiana ,76498,3432,France,PG-13,2011
Frederik Du Chau,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,Gary Oldman,The Magic Sword: Quest for Camelot ,11156,14275,USA,G,1998
Michael Caton-Jones,Crime|Drama|Mystery|Thriller,Robert De Niro,City by the Sea ,21319,34377,USA,R,2002
Irwin Winkler,Drama|Romance,Mira Sorvino,At First Sight ,11232,3821,USA,PG-13,1999
Joseph Kahn,Action|Comedy|Crime,Dane Cook,Torque ,23747,5039,USA,PG-13,2004
Harold Becker,Drama|Thriller,Al Pacino,City Hall ,16741,17877,USA,R,1996
Paul Verhoeven,Drama,Bobbie Phillips,Showgirls ,49874,18913,France,NC-17,1995
Sofia Coppola,Biography|Drama|History|Romance,Kirsten Dunst,Marie Antoinette ,79892,7243,USA,PG-13,2006
Barbet Schroeder,Action|Crime|Thriller,Nicolas Cage,Kiss of Death ,14226,14008,USA,R,1995
Stephen Kay,Action|Crime|Drama|Thriller,Sylvester Stallone,Get Carter ,27305,14463,USA,R,2000
J.A. Bayona,Drama|Thriller,Naomi Watts,The Impossible ,145270,7099,Spain,PG-13,2012
Elaine May,Action|Adventure|Comedy|Music|Thriller,Carol Kane,Ishtar ,8692,3374,USA,PG-13,1987
Wes Anderson,Adventure|Animation|Comedy|Crime|Family,Bill Murray,Fantastic Mr. Fox ,139114,24770,USA,PG,2009
Stephen Herek,Comedy|Romance,Angelina Jolie Pitt,Life or Something Like It ,19364,12566,USA,PG-13,2002
John Carpenter,Comedy|Romance|Sci-Fi|Thriller,Richard Epcar,Memoirs of an Invisible Man ,17365,2125,USA,PG-13,1992
Jean-Pierre Jeunet,Comedy|Romance,Mathieu Kassovitz,Amélie ,534262,809,France,R,2001
Dennie Gordon,Comedy|Crime|Family|Romance,Mary-Kate Olsen,New York Minute ,17722,3974,USA,PG,2004
Charles Shyer,Comedy|Drama|Romance,Omar Epps,Alfie ,43442,3639,UK,R,2004
Ken Kwapis,Biography|Drama|Romance,Ted Danson,Big Miracle ,15231,1702,USA,PG,2012
Ulu Grosbard,Drama,Alexa PenaVega,The Deep End of the Ocean ,10413,4327,USA,PG-13,1999
William Malone,Crime|Horror|Thriller,Natascha McElhone,Feardotcom ,17309,4262,UK,R,2002
Paul Weitz,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,35990,20503,USA,PG-13,2009
Paul McGuigan,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,28618,12876,USA,PG-13,2015
Danny DeVito,Comedy,Justin Theroux,Duplex ,46205,3096,USA,PG-13,2003
Malcolm D. Lee,Comedy|Drama|Music,Bernie Mac,Soul Men ,7794,4103,USA,R,2008
Jerry Jameson,Action|Adventure|Drama|Thriller,M. Emmet Walsh,Raise the Titanic ,2933,1883,UK,PG,1980
Mic Rodgers,Action|Sci-Fi,Michael Jai White,Universal Soldier: The Return ,24216,4024,USA,R,1999
Christian Alvart,Action|Horror|Mystery|Sci-Fi|Thriller,Norman Reedus,Pandorum ,121432,14127,Germany,R,2009
Gary Fleder,Drama|Mystery|Sci-Fi|Thriller,Gary Dourdan,Impostor ,19986,2664,USA,R,2001
Christian Duguay,Action|Adventure|Thriller,Rufus Sewell,Extreme Ops ,4821,4123,UK,PG-13,2002
Jean-Marie Poiré,Comedy|Fantasy|Sci-Fi,Bridgette Wilson-Sampras,Just Visiting ,15130,1149,France,PG-13,2001
Danny Boyle,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine ,190132,11623,UK,R,2007
Brian Robbins,Comedy|Drama,John Gatins,A Thousand Words ,30842,222,USA,PG-13,2012
Marc F. Adler,Adventure|Animation|Comedy|Fantasy|Romance,Eric Idle,Delgo ,2458,2449,USA,PG,2008
