director_name,duration,director_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
David Zucker,89,119,Carmen Electra,90703745,Comedy,93748,female nudity|male nudity|parody|reference to myspace|sequel,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,410,45000000,2006,5.1,1.85
Wes Craven,116,0,Roger Jackson,89138076,Horror|Mystery,98535,death|ghostface|murder|scream|survivor,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,734,40000000,2000,5.5,2.35
Robert Zemeckis,118,0,Jeffrey Weissman,87666629,Adventure|Comedy|Sci-Fi|Western,283480,band|dog|letter|time machine|tombstone,http://www.imdb.com/title/tt0099088/?ref_=fn_tt_tt_1,263,40000000,1990,7.4,1.37
Etan Cohen,107,164,Alison Brie,90353764,Comedy|Crime,85629,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,144,40000000,2015,6.0,1.85
Francis Ford Coppola,155,0,Anthony Hopkins,82522790,Fantasy|Horror|Romance,143835,dracula|horror movie remake|maze|monster sex|vampire,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,654,40000000,1992,7.5,1.85
Nora Ephron,123,0,Mary Lynn Rajskub,94125426,Biography|Drama|Romance,79264,american|blog|book|cook|cooking,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,277,40000000,2009,7.0,1.85
Brian Helgeland,128,241,Christopher Meloni,95001343,Biography|Drama|Sport,66511,baseball|baseball player|brooklyn dodgers|major league baseball|racism,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200,40000000,2013,7.5,2.35
Anthony Minghella,139,333,Matt Damon,81292135,Crime|Drama|Thriller,137891,1950s|italy|mistaken identity|nudity|sociopath,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,696,40000000,1999,7.3,1.85
Bobby Farrelly,109,101,Kathleen Turner,86208010,Comedy,97045,adoption|highway travel|road trip|sequel|stupidity,http://www.imdb.com/title/tt2096672/?ref_=fn_tt_tt_1,285,35000000,2014,5.7,1.85
Frank Marshall,120,155,Bruce Greenwood,81593527,Adventure|Drama|Family,48806,antarctica|dog|siberian husky|sled dog|survival,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,263,40000000,2006,7.3,2.35
Nancy Meyers,121,278,Anne Hathaway,75274748,Comedy|Drama,130661,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,304,35000000,2015,7.2,1.85
Tim Story,102,167,Nadine Velazquez,90835030,Action|Comedy,28621,computer hacker|crime boss|detective|drugs|wedding,http://www.imdb.com/title/tt2869728/?ref_=fn_tt_tt_1,58,40000000,2016,5.9,2.35
Michael Mann,117,0,Terry Kinney,72455275,Action|Adventure|Drama|Romance|War,113068,18th century|based on novel|colonel|french and indian war|revenge,http://www.imdb.com/title/tt0104691/?ref_=fn_tt_tt_1,382,40000000,1992,7.8,2.35
Taylor Hackford,178,138,Curtis Armstrong,75305995,Biography|Drama|Music,110394,1950s|1960s|racism|rhythm and blues|singer,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,433,40000000,2004,7.7,1.85
Frank Miller,147,436,Powers Boothe,74098862,Crime|Thriller,656640,anthology|corruption|hearing characters thoughts|neo noir|night,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,1732,40000000,2005,8.1,1.85
Pete Travis,90,38,Edgar Ramírez,72266306,Crime|Drama|Mystery|Thriller,127528,explosion|multiple perspectives|president|secret service|shooting,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,422,40000000,2008,6.6,2.35
John Hamburg,105,29,Jon Favreau,71347010,Comedy|Romance,166194,bromance|friend|gay brother|homosexual subtext|wedding,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,215,40000000,2009,7.1,1.85
Bobby Farrelly,114,101,Bruce McGill,70836296,Comedy|Drama|Fantasy|Romance,109445,dying|friend|inner beauty|love|self help guru,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,426,40000000,2001,5.9,1.85
Oliver Stone,206,0,Jay O. Sanders,70405498,Drama|History|Thriller,113472,death|gay slur|homosexuality|investigation|president,http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1,442,40000000,1991,8.0,2.35
John Whitesell,99,14,Nia Long,70163652,Comedy|Crime,31968,cheerleading|fbi|fbi agent|nanny|undercover,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,82,40000000,2006,4.6,1.85
Gore Verbinski,123,563,Brad Pitt,66808615,Adventure|Comedy|Crime|Romance,87351,curse|hostage|mexico|pistol|vomiting,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,344,34000000,2001,6.1,2.35
Angelina Jolie Pitt,137,11000,Jack O'Connell,115603980,Biography|Drama|Sport|War,103589,emaciation|male nudity|plane crash|prisoner of war|torture,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,65000000,2014,7.2,2.35
Burr Steers,102,23,Hunter Parrish,64149837,Comedy|Drama|Family|Fantasy|Romance,146899,adult as child|father son relationship|high school student|janitor|school,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185,20000000,2009,6.4,2.35
Nick Cassavetes,109,415,Kate Upton,83906114,Comedy|Romance,104481,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,http://www.imdb.com/title/tt2203939/?ref_=fn_tt_tt_1,189,40000000,2014,6.0,2.35
David R. Ellis,82,160,Andrew Fiscella,66466372,Horror,75345,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,290,40000000,2009,5.2,2.35
Steven Spielberg,142,14000,Mark Rylance,72306065,Drama|History|Thriller,178118,cia|cold war|lawyer|negotiation|spy,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,355,40000000,2015,7.6,2.35
John Moore,106,212,David Keith,59068786,Action|Drama|Thriller|War,86902,battle|massacre|navigator|navy|rescue,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,411,40000000,2001,6.4,2.35
Nicholas Stoller,114,89,Mario Lopez,60923325,Comedy|Music,147317,concert|drugs|recession|record company|rock star,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,197,,2010,6.4,1.85
Peter Chelsom,106,23,Nick Cannon,57887882,Comedy|Drama|Romance,35508,dance|dance competition|dance lesson|love|teacher,http://www.imdb.com/title/tt0358135/?ref_=fn_tt_tt_1,211,50000000,2004,6.1,1.85
Joe Dante,108,287,Denis Leary,53955614,Action|Adventure|Comedy|Family|Sci-Fi,77415,action figure|battle|computer|military|toy,http://www.imdb.com/title/tt0122718/?ref_=fn_tt_tt_1,139,40000000,1998,6.1,2.35
Mark A.Z. Dippé,98,20,Frank Welker,54967359,Action|Horror,52805,based on comic|based on comic book|dark hero|image comics|superhero,http://www.imdb.com/title/tt0120177/?ref_=fn_tt_tt_1,209,40000000,1997,5.2,1.85
Kevin Reynolds,131,58,James Frain,54228104,Action|Adventure|Drama|Romance|Thriller,104991,count|escape|island|revenge|sailor,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,544,35000000,2002,7.7,1.85
Brad Furman,118,65,Margarita Levieva,57981889,Crime|Drama|Thriller,173848,defense attorney|defense lawyer|lawyer|plot twist|prostitute,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,203,40000000,2011,7.3,2.35
Jaume Collet-Serra,113,174,Frank Langella,61094903,Action|Mystery|Thriller,210542,agriculture|airport|amnesia|nurse|scientist,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,332,30000000,2011,6.9,2.35
Christopher Nolan,130,22000,Hugh Jackman,53082743,Drama|Mystery|Sci-Fi|Thriller,844052,illusion|magician|obsession|rivalry|secret,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,1100,40000000,2006,8.5,2.35
Sean Anders,116,51,Christoph Waltz,54414716,Comedy|Crime,114294,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,187,42000000,2014,6.3,2.35
Cal Brunker,89,7,Paul Scheer,57011847,Adventure|Animation|Comedy|Family|Sci-Fi,20615,alien|cult film|mission control|product placement|rescue,http://www.imdb.com/title/tt0765446/?ref_=fn_tt_tt_1,44,40000000,2013,5.9,2.35
Mel Gibson,139,0,Dalia Hernández,50859889,Action|Adventure|Drama|Thriller,236000,jaguar|mayan|solar eclipse|tribe|village,http://www.imdb.com/title/tt0472043/?ref_=fn_tt_tt_1,1043,40000000,2006,7.8,1.85
John Glen,130,46,Desmond Llewelyn,51185897,Action|Adventure|Thriller,69457,british agent|defection|escape|kgb|soviet general,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,271,30000000,1987,6.7,2.35
Nimród Antal,107,190,Alice Braga,52000688,Action|Adventure|Sci-Fi|Thriller,171418,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,http://www.imdb.com/title/tt1424381/?ref_=fn_tt_tt_1,619,40000000,2010,6.4,2.35
Ivan Reitman,116,425,Debra Winger,49851591,Comedy|Crime|Romance,7900,judicial|judiciary|lawyer|murder|painting,http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1,34,40000000,1986,5.9,2.35
David Koepp,96,192,Charles S. Dutton,47781388,Mystery|Thriller,147504,adultery|extramarital affair|infidelity|unfaithfulness|writer,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,531,40000000,2004,6.6,2.35
Alejandro Agresti,99,18,Dylan Walsh,52320979,Drama|Fantasy|Romance,114321,house|lake|letter|love across time|parallel time,http://www.imdb.com/title/tt0410297/?ref_=fn_tt_tt_1,548,40000000,2006,6.8,2.35
Iain Softley,104,34,Deneen Tyler,47806295,Horror|Mystery|Thriller,87447,attic|bound and gagged|hoodoo|secret|southern gothic,http://www.imdb.com/title/tt0397101/?ref_=fn_tt_tt_1,371,43000000,2005,6.5,2.35
Peter Hedges,105,54,Odeya Rush,51853450,Comedy|Drama|Family|Fantasy,37398,dodgeball|portrait|soccer|soccer game|young love,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,110,25000000,2012,6.6,1.85
Paul Weiland,101,10,Beau Garrett,46012734,Comedy|Romance,54421,friend|love|maid|maid of honor|marriage,http://www.imdb.com/title/tt0866439/?ref_=fn_tt_tt_1,101,40000000,2008,5.8,2.35
Clint Eastwood,134,16000,Steve Schirripa,47034272,Biography|Drama|Music|Musical,25465,band|music group|musical quartet|singer|song,http://www.imdb.com/title/tt1742044/?ref_=fn_tt_tt_1,190,40000000,2014,6.9,2.35
Francis Ford Coppola,135,0,Dean Stockwell,45856732,Crime|Drama|Thriller,46221,courtroom|domestic violence|insurance company|lawyer|underdog,http://www.imdb.com/title/tt0119978/?ref_=fn_tt_tt_1,141,40000000,1997,7.1,2.35
Mathieu Kassovitz,98,326,Charles S. Dutton,59588068,Horror|Mystery|Thriller,89557,memory|murder|patient|psychiatrist|the devil,http://www.imdb.com/title/tt0348836/?ref_=fn_tt_tt_1,376,40000000,2003,5.8,1.85
Steven Spielberg,155,14000,Morgan Freeman,44175394,Drama|History,56509,courtroom|mutiny|ship|slave ship|slave trade,http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,227,36000000,1997,7.2,1.85
John McTiernan,106,323,José Wilker,45500797,Adventure|Drama|Romance,17443,cancer|environment|gas chromatograph|jungle|nature,http://www.imdb.com/title/tt0104839/?ref_=fn_tt_tt_1,56,40000000,1992,6.0,2.35
Colin Strause,102,25,Johnny Lewis,41797066,Action|Horror|Sci-Fi|Thriller,92789,alien|escape|hunting|hybrid|predator,http://www.imdb.com/title/tt0758730/?ref_=fn_tt_tt_1,998,40000000,2007,4.7,2.35
Donald Petrie,95,80,John Larroquette,38087756,Comedy|Family,49612,attempted murder|based on comic book|escape from prison|lost at sea|wealth,http://www.imdb.com/title/tt0110989/?ref_=fn_tt_tt_1,39,40000000,1994,5.2,1.85
Joan Chen,103,643,Sam Trammell,37752931,Drama|Romance,20201,may december romance|new york|new york city|rockefeller center|title directed by female,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,180,40000000,2000,5.5,1.85
Marc Lawrence,95,30,Scott Porter,50562555,Comedy|Music|Romance,81334,love|lyricist|singer|singing|song,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,291,,2007,6.5,1.85
Greg Mottola,109,99,Nelson Ascencio,37371385,Adventure|Comedy|Sci-Fi,192462,alien|geek|nerd|road trip|ufo,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,334,40000000,2011,7.0,2.35
Anne Fletcher,95,98,Tom Virtue,37101011,Comedy|Drama,30394,cross country|love|mother son relationship|on the road|trip,http://www.imdb.com/title/tt1694020/?ref_=fn_tt_tt_1,103,40000000,2012,5.8,2.35
Wes Craven,111,0,Aimee Teegarden,38176892,Horror|Mystery,104119,author|book|deputy|murder|sheriff,http://www.imdb.com/title/tt1262416/?ref_=fn_tt_tt_1,518,40000000,2011,6.2,2.35
Joel Schumacher,123,541,Chris Bauer,36283504,Mystery|Thriller,104564,investigation|obsession|private eye|private investigator|snuff film,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,587,40000000,1999,6.5,2.35
Oliver Stone,140,0,Kevin Dillon,35183792,Biography|Drama|Music|Musical,68159,death|paris france|rock band|singer|the doors,http://www.imdb.com/title/tt0101761/?ref_=fn_tt_tt_1,209,38000000,1991,7.2,2.35
Jake Kasdan,94,52,Randall Park,38543473,Comedy,84382,sex in a car|sex video|sexual desire|sexuality|undressing,http://www.imdb.com/title/tt1956620/?ref_=fn_tt_tt_1,158,40000000,2014,5.1,1.85
Diane Keaton,94,0,Celia Weston,36037909,Comedy|Drama,10132,actress|clown costume|magazine|party planner|soap opera actress,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,130,60000000,2000,4.7,1.85
Steven Quale,92,77,Jacqueline MacInnes Wood,42575718,Horror,83788,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,227,40000000,2011,5.9,2.35
Kelly Makin,102,6,Burt Young,33864342,Comedy|Crime|Romance,29968,auctioneer|fbi|mafia|mobster|painting,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,117,40000000,1999,5.8,1.85
Mimi Leder,123,75,Haley Joel Osment,33508922,Drama,95860,alcoholism|boy|good deed|protective male|teacher,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,660,40000000,2000,7.2,1.85
Bobby Farrelly,104,101,KaDee Strickland,42071069,Comedy|Drama|Romance|Sport,36223,baltimore orioles|boston red sox|promotion|ups|world series,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,208,30000000,2005,6.2,2.35
,30,,Melissa Altro,,Animation|Comedy|Family,8495,based on children's book|best friend|character name in title|friend|one word title,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,43,,,7.4,1.33
Steven Brill,102,65,Shaun Weiss,32853640,Comedy|Drama,50199,bodyguard|bully|generation y|high school|nerd,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,101,40000000,2008,5.7,2.35
Seth MacFarlane,136,3000,Charlize Theron,42615685,Comedy|Western,136093,dancing sheep|fetish|musical scene|racial humor|snake poison,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416,40000000,2014,6.1,2.35
Russell Mulcahy,93,85,Peter Boyle,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,18723,1930s|bomb|city|invisibility|the shadow,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,146,25000000,1994,6.0,1.85
Stephen Daldry,129,335,Thomas Horn,31836745,Adventure|Drama|Mystery,81298,fear|mourning|mute|quest|revelation,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,341,40000000,2011,6.9,2.35
Roger Michell,107,50,Patti D'Arbanville,30993544,Comedy|Drama|Romance,58871,job offer|roller coaster|slow motion action scene|slow motion sequence|television,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,156,40000000,2010,6.5,2.35
Jim Sheridan,117,260,Bill Duke,30981850,Biography|Crime|Drama|Music,35834,male frontal nudity|male pubic hair|prison|pubic hair|violence,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,284,40000000,2005,5.0,2.35
Christian Duguay,116,18,Cary-Hiroyuki Tagawa,30199105,Action|Adventure|Crime|Thriller,25346,blood splatter|fbi|murder|secretary general|united nations,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,167,40000000,2000,5.7,2.35
Chris Columbus,135,0,David Fine,29077547,Drama|Musical|Romance,41685,aids|hiv positive|lawyer|new york city|roommate,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,754,40000000,2005,7.0,2.35
Chuck Russell,107,55,Jimmy Smits,29374178,Crime|Drama|Horror|Thriller,12093,easter|fbi|luminol|nurse|omen,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,188,40000000,2000,5.1,2.35
Sam Weisman,90,39,Valerie Perri,28535768,Comedy,10446,job interview|manhattan new york city|new york city|remake|sausage,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,105,40000000,1999,5.3,1.85
John Frankenheimer,99,287,Temuera Morrison,27663982,Horror|Sci-Fi|Thriller,26051,animal experimentation|chimera|island|jungle|mutant,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,164,40000000,1996,4.4,2.35
Peter Hyams,104,0,Justin Chambers,27053815,Action|Adventure|Romance,12856,guard|king|murder|musketeer|swordsman,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,291,40000000,2001,4.7,2.35
Justin Chadwick,115,56,Scarlett Johansson,26814957,Biography|Drama|History|Romance,84357,children|court|king|king henry viii|love,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,252,35000000,2008,6.7,1.85
Pat O'Connor,119,7,Charlize Theron,25178165,Drama|Romance,70292,advertising|cancer|dog|san francisco california|terminal illness,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,274,40000000,2001,6.7,1.85
Stephen Hopkins,99,81,Andrea Frankle,25117498,Horror|Thriller,37412,biblical plague|louisiana|missionary|plague|small town,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,178,40000000,2007,5.7,2.35
Martin Scorsese,112,17000,David Carradine,32645,Crime|Drama|Romance|Thriller,67797,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,500000,1973,7.4,1.85
Penny Marshall,128,545,Cliff Robertson,24332324,Comedy|Drama,13830,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,61,40000000,1994,6.1,1.85
Olivier Megaton,112,118,Callum Blue,36665854,Action|Crime|Drama|Thriller,76498,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,203,40000000,2011,6.4,2.35
Frederik Du Chau,86,7,Jaleel White,22717758,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,11156,camelot|dragon|excalibur|knight|sword,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,67,40000000,1998,6.2,1.85
Michael Caton-Jones,108,105,James Franco,22433915,Crime|Drama|Mystery|Thriller,21319,beach|grandson|murder|new york city|police,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,166,60000000,2002,6.2,2.35
Irwin Winkler,128,34,Nathan Lane,22326247,Drama|Romance,11232,based on article|blindness|box office flop|massage therapist|regaining sight,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,106,60000000,1999,5.9,1.85
Joseph Kahn,84,33,Jay Hernandez,21176322,Action|Comedy|Crime,23747,murder|on the run|security camera|surveillance footage|timebomb,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,207,40000000,2004,4.0,2.35
Harold Becker,111,17,Martin Landau,20300000,Drama|Thriller,16741,drug dealer|mayor|new york city|probation|scandal,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,60,40000000,1996,6.2,1.85
Paul Verhoeven,131,719,Elizabeth Berkley,20302961,Drama,49874,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,450,45000000,1995,4.6,2.35
Sofia Coppola,123,0,Shirley Henderson,15962471,Biography|Drama|History|Romance,79892,austria|cake|france|queen|versailles,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,619,40000000,2006,6.4,1.85
Barbet Schroeder,101,58,Michael Rapaport,14942422,Action|Crime|Thriller,14226,beard|female nudity|police brutality|stripper|woman in lingerie,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,60,40000000,1995,5.9,1.85
Stephen Kay,102,19,Miranda Richardson,14967182,Action|Crime|Drama|Thriller,27305,affair|car crash|enforcer|funeral|murder,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,284,40000000,2000,5.1,2.35
J.A. Bayona,114,171,Geraldine Chaplin,18996755,Drama|Thriller,145270,christmas|resort|thailand|tourist|tsunami,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,322,45000000,2012,7.6,2.35
Elaine May,107,124,Warren Beatty,14375181,Action|Adventure|Comedy|Music|Thriller,8692,cia|emir|hotel|map|morocco,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,126,51000000,1987,4.2,1.85
