director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget
Patricia Riggen,106,36,345,12589108,America Ferrera,Under the Same Moon ,2198,12 year old|boy|mexican|mexican immigrant|mexico,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,58,PG-13,
J. Lee Thompson,88,88,67,,Roddy McDowall,Conquest of the Planet of the Apes ,941,ape|future|intelligence|revolution|slave revolt,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,95,PG,1700000
Todd Field,138,143,783,35918429,Tom Wilkinson,In the Bedroom ,3970,doctor|maine|only son|school choir|summer,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,R,1700000
Steven R. Monroe,105,68,374,92401,Sarah Butler,I Spit on Your Grave ,2423,horror movie remake|rape|rape and revenge|rape victim|revenge,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,R,2000000
Mark Illsley,98,3,327,1943649,Ally Walker,Happy, Texas ,2095,banker|beauty pageant|escaped convict|gay|pageant,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,PG-13,1700000
Pawel Pawlikowski,86,84,34,992238,Paddy Considine,My Summer of Love ,763,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,R,1700000
Ritesh Batra,104,25,73,4231500,Nawazuddin Siddiqui,The Lunchbox ,822,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,PG,1000000
Sally Potter,100,87,420,396035,Shirley Henderson,Yes ,2721,beach|lebanese|loss|muslim|restaurant,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,R,1000000
Frank Capra,126,964,275,,Jean Arthur,You Can't Take It with You ,1363,eccentric|friend|house|monopoly|stenographer,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,Approved,1644736
Fred Zinnemann,118,160,426,,Montgomery Clift,From Here to Eternity ,2247,boxing|captain|hawaii|love|sergeant,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,Not Rated,1650000
John Ford,103,673,89,,Harry Carey Jr.,She Wore a Yellow Ribbon ,955,captain|cavalry|fort|retirement|yellow ribbon,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,Unrated,1600000
Brad J. Silverman,102,11,575,2507106,Shawnee Smith,Grace Unplugged ,3894,christianity|love|reference to justin bieber|reference to taylor swift|worship,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,PG,
Dave Meyers,84,11,249,6026908,Eddie Griffin,Foolish ,2196,accidental killing|drug humor|profanity|sexual humor|stand up comedy,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,R,2000000
David M. Matthews,,8,394,2592808,Essence Atkins,N-Secure ,3137,betrayal|family relationships|insecurity|murder|passive aggression,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,15,R,
Nadine Labaki,95,0,0,1060591,Yasmine Al Massri,Caramel ,231,caramel|friendship|police|secret|suitor,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66,PG,1300000
Lluís Quílez,92,0,2,,Stephen Rea,Out of the Dark ,380,haunted house,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,18,R,
Eytan Fox,90,21,27,155972,Ohad Knoller,The Bubble ,137,gay|hairy chest|homosexual|israel|male nudity,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,23,Unrated,1500000
Francis Ford Coppola,113,0,324,,Harrison Ford,The Conversation ,12157,corruption|neo noir|recording|saxophone|surveillance,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,PG,1600000
Romesh Sharma,,0,45,129319,Annabelle Wallis,Dil Jo Bhi Kahey... ,622,,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,4,,70000000
François Truffaut,123,0,21,26893,Catherine Deneuve,Mississippi Mermaid ,1694,antibes|hotel|island|reunion|reunion island,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,R,1600000
Adam Goldberg,111,1000,127,2580,Judy Greer,I Love Your Work ,2564,film student|marriage|mental breakdown|movie star|obsession,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,40,R,1650000
Travis Zariwny,99,4,114,,Dustin Ingram,Cabin Fever ,992,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,40,Not Rated,
Zack Snyder,110,0,1000,58885635,Ty Burrell,Dawn of the Dead ,10438,mall|mayhem|nurse|rear entry sex|survival horror,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,R,26000000
Adrienne Shelly,108,191,336,19067631,Lew Temple,Waitress ,1981,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204,PG-13,2000000
Newt Arnold,92,15,49,11806119,Bolo Yeung,Bloodsport ,1168,hand to hand combat|hong kong|kumite|martial arts|tournament,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,210,R,1100000
Frank Capra,120,964,248,,Claude Rains,Mr. Smith Goes to Washington ,1573,camp|corruption|governor|senate|u.s. senate,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,245,Not Rated,1500000
Larry Clark,91,184,82,7417210,Rosario Dawson,Kids ,3310,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408,,1500000
Noah Baumbach,88,387,18,7362100,William Baldwin,The Squid and the Whale ,479,boy|divorce|tennis|tennis coach|writer,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,232,R,1500000
Charles Herman-Wurmfeld,97,0,117,7022940,Scott Cohen,Kissing Jessica Stein ,1173,friend|friendship|journalist|new york city|personal ad,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,R,1000000
Yimou Zhang,95,611,3,190666,Honglei Sun,A Woman, a Gun and a Noodle Shop ,18,betrayal|husband wife relationship|murder|noodles|salary,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,R,
John Stockwell,90,134,354,,Matthew Ziff,Kickboxer: Vengeance ,261818,,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,,17000000
Alfred Hitchcock,95,13000,82,,Norman Lloyd,Spellbound ,896,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,161,Unrated,1696377
Atom Egoyan,103,460,900,5132222,Bruce Greenwood,Exotica ,2990,bird|cult film|egg|nightclub|toronto,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,83,R,2000000
Vincent Gallo,110,787,642,2365931,Anjelica Huston,Buffalo '66 ,4762,shower|stripper|tap dancing|underwear|undressing,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,R,1500000
James Wan,103,0,588,53991137,Lin Shaye,Insidious ,3030,baby|boy|coma|demon|house,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,752,PG-13,1500000
Alex Cox,92,92,166,,Del Zamora,Repo Man ,1652,punk|punk rocker|repossession|televangelist|ufo,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,148,R,1500000
Fabián Bielinsky,114,44,7,1221261,Ricardo Darín,Nine Queens ,856,con artist|hotel|partner|scam|stamp,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,125,R,1500000
Dror Moreh,101,4,0,2408553,Ami Ayalon,The Gatekeepers ,0,interview|jerusalem|jewish|terrorism|terrorist bombing,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,PG-13,
Rebecca Miller,112,58,42,712294,Beau Bridges,The Ballad of Jack and Rose ,859,commune|defecation|environmentalism|fellatio|island,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,R,1500000
Maggie Carey,104,38,690,3447339,Donald Glover,The To Do List ,2667,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,R,1500000
Roger Avary,99,675,164,418953,Eric Stoltz,Killing Zoe ,1582,bank|bastille day|call girl|childhood friend|drugs,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,R,1500000
Henry Bean,98,21,76,406035,Ryan Gosling,The Believer ,33441,jew|jewish nazi|nazism|racism|skinhead,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,R,1500000
David Gordon Green,107,234,442,402820,Michael Angarano,Snow Angels ,2747,flashback|football game|school|small town|snow,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,R,
Simeon Rice,93,6,56,,Ward G. Smith,Unsullied ,792,,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,R,1500000
Brad Anderson,100,122,83,373967,Paul Guilfoyle,Session 9 ,469,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,R,1500000
Jeff Garlin,80,522,423,194568,Jessy Schram,I Want Someone to Eat Cheese With ,2179,cheese|city|ice cream|school|second city,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,R,1500000
Qasim Basir,94,13,616,,Dorian Missick,Mooz-Lum ,3288,one word title,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,PG-13,
Adam Green,93,134,488,,Joel David Moore,Hatchet ,3668,bayou|boat|louisiana|swamp|tour,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,R,1500000
Charles Chaplin,87,0,8,163245,Paulette Goddard,Modern Times ,352,actor director writer|invention|machine|music score composed by director|tramp,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,G,1500000
Pete Jones,91,18,597,119841,Brian Dennehy,Stolen Summer ,3901,catholic|catholicism|rabbi|school|summer,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,PG,1500000
Bruce Campbell,84,0,158,173066,Ted Raimi,My Name Is Bruce ,1238,b movie|birthday|chinese|demon|small town,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,R,1500000
Mark Brown,90,7,424,92362,Vivica A. Fox,The Salon ,3138,,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,PG-13,1500000
Adam Carolla,98,102,360,105943,Jay Mohr,Road Hard ,2628,girl in panties|panties|red panties|stand up comedy,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,,1500000
Ira Sachs,108,60,121,,Rip Torn,Forty Shades of Blue ,1240,love|music producer|previous marriage|rock 'n' roll|russian,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,R,1500000
John Sayles,124,407,7,183490,Brian Lee Franklin,Amigo ,60,american|filipino|friendship|guerrilla army|village,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,R,1700000
Bruce McDonald,95,49,57,3478,Stephen McHattie,Pontypool ,721,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,Not Rated,1500000
James Mottern,90,7,711,52166,Jimmy Bennett,Trucker ,89263,cancer|cigarette smoking|hospital|one night stand|trucker,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,R,2000000
Jaime Zevallos,93,228,134,,Angela Sarafyan,Me You and Five Bucks ,771,,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,,1500000
Rob Zombie,101,0,721,1163508,Sid Haig,The Lords of Salem ,5158,blood|flashback|radio dj|radio station|vinyl,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,R,2500000
Gerard Johnstone,107,3,28,,Morgana O'Reilly,Housebound ,165,bloody violence|exploding head|haunted house|plot twist|slapstick,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,Not Rated,350000
Robert Greenwald,20,21,0,,Lee Scott,Wal-Mart: The High Cost of Low Price ,0,greed|pollution|slave labor|truth|wal mart,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,Not Rated,1500000
David Ray,87,0,108,,Nicole Muñoz,Fetching Cody ,596,death|high school|prostitute|suicide|time travel,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,,1500000
Dave Rodriguez,98,11,636,,Chazz Palminteri,Once Upon a Time in Queens ,4036,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,R,1500000
Nae Caranfil,112,34,71,,Monica Barladeanu,Closer to the Moon ,588,,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,Not Rated,5000000
David Winning,82,65,146,,Ashanti,Mutant World ,967,,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,,1500000
Frank Lotito,102,5,259,,Brighton Sharbino,Growing Up Smith ,4320,adolescence|girl next door|growing vegetables|high standards|sent away,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,PG-13,2000000
Timothy Woodward Jr.,97,764,492,,Katrina Law,Checkmate ,2882,,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,,1500000
Christopher McQuarrie,130,188,1000,80033643,Tom Cruise,Jack Reacher ,16385,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,PG-13,60000000
Tara Subkoff,101,37,56,,Timothy Hutton,#Horror ,1044,bullying|cyberbullying|girl|internet|throat slitting,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,Not Rated,1500000
Russell Friedenberg,93,9,485,,Rudy Youngblood,Wind Walkers ,2870,after dark horrorfest,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2,R,2000000
William Cottrell,83,0,31,184925485,Adriana Caselotti,Snow White and the Seven Dwarfs ,229,dwarf|love|princess|queen|snow white,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,Approved,2000000
Lucrecia Martel,106,33,3,304124,Mía Maestro,The Holy Girl ,358,16 year old|doctor|hotel|tinnitus|title directed by female,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,37,R,1400000
Edward Dmytryk,113,74,387,,Brigitte Bardot,Shalako ,2140,bare chested male bondage|european|female frontal nudity|topless woman|war paint,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,41,PG,1455000
Zak Penn,94,87,37,36830,Zak Penn,Incident at Loch Ness ,256,boat|director|loch ness|loch ness monster|monster,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,63,PG-13,1400000
Alex Ranarivelo,101,20,256,,Lea Thompson,The Dog Lover ,2419,,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,8,PG,2000000
Jon Knautz,99,10,295,,Camren Bicondova,Girl House ,2072,college student|disfigured face|house|suicide|website,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,33,,3150000
Mathieu Amalric,76,412,3,231186,Mathieu Amalric,The Blue Room ,421,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,16,R,
David Worth,91,58,69,,Jessica Szohr,House at the End of the Drive ,1159,ghost story|manson family|paranormal|real life event|reference to sharon tate,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,6,R,1400000
Leslie H. Martinson,105,7,356,,Burgess Meredith,Batman: The Movie ,2658,black cat|catwoman|dc comics|penguin|riddler,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,155,Approved,1377800
Guy Ritchie,120,0,452,3650677,Jason Statham,Lock, Stock and Two Smoking Barrels ,28294,antique|cockney accent|hatchet|money|shotgun,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,R,960000
Robert M. Young,105,0,467,,Barry Corbin,The Ballad of Gregorio Cortez ,3164,,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,2,,1250000
,120,,,,Karl Malden,The Streets of San Francisco             ,416,city name in series title|homicide|older man younger man relationship|place in series title|police partner,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,13,,
Thomas Vinterberg,105,346,141,1647780,Ulrich Thomsen,The Celebration ,821,dogme 95|family secret|haunted by the past|secret|speech,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,258,R,1300000
Steve Buscemi,95,12000,636,695229,Steve Buscemi,Trees Lounge ,14420,alcoholic drink|bar|drink|drinking|drunk,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,65,R,1300000
Ham Tran,135,5,5,638951,Long Nguyen,Journey from the Fall ,83,1970s|1980s|nonlinear timeline|rescue|vietnam war,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,19,R,1592000
Rich Cowan,105,7,548,609042,Eric Dane,The Basket ,3475,basketball|german immigrant|opera|two word title|war orphan,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,38,PG,1300000
Boris Rodriguez,83,5,98,1521,Stephen McHattie,Eddie: The Sleepwalking Cannibal ,843,art teacher|cannibal|inspiration|painter|sleepwalking,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,10,Not Rated,1500000
Harold Becker,111,17,652,32940507,Bruce Willis,Mercury Rising ,16537,autistic child|boy|child in danger|fbi|nsa,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,R,60000000
,60,,109,,James Morrison,Space: Above and Beyond             ,611,alien|born in vitro|in vitro fertilization|marine|outer space,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,79,,5000000
Sadyk Sher-Niyaz,135,135,0,,Elina Abai Kyzy,Queen of the Mountains ,0,19th century|central asia|mother son relationship|ruler|russian empire,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,24,PG-13,1400000
Paul Donovan,88,4,13,,Maury Chaykin,Def-Con 4 ,289,canuxploitation|independent film|post apocalypse|remake|survival,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,46,R,1750000
Jonathan Kesselman,87,4,624,19539,Judy Greer,The Hebrew Hammer ,6227,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,53,R,1000000
Arjun Sablok,97,0,40,100358,Abhishek Bachchan,Neal 'N' Nikki ,602,interrupted sex|kiss|love|mistaken sex scene|sex in car,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,24,,1500000
Craig Moss,82,19,134,,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,masturbation|porn actor in mainstream movie|sex|spoof|virginity,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,42,R,1300000
Tyler Oliver,103,0,511,,Bella Thorne,Forget Me Not ,38121,,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,38,R,1300000
Alfred Hitchcock,130,13000,333,,Laurence Olivier,Rebecca ,2888,death|estate|housekeeper|love|monte carlo,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,276,Not Rated,1288000
Steve Miner,87,49,59,19100000,Betsy Palmer,Friday the 13th Part 2 ,707,ice pick|jason voorhees|lake|pitchfork|shack,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,394,R,1250000
Billy Wilder,101,0,66,,Ray Milland,The Lost Weekend ,581,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,136,Not Rated,1250000
Douglas Cheek,96,4,132,,Daniel Stern,C.H.U.D. ,1866,bum|city|mutant|new york city|street,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,88,R,1250000
Youssef Delara,80,8,183,2833383,Noel Gugliemi,Filly Brown ,2459,,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,11,R,427000
Deryck Broom,87,11,397,,Vic Mignogna,The Lion of Judah ,1730,animal|donkey|lamb|pig|rooster,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,3,PG,15000000
Henry Hathaway,92,83,48,,Joseph Cotten,Niagara ,683,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,116,Approved,1250000
John Ford,118,673,137,,Roddy McDowall,How Green Was My Valley ,1129,coal mine|girl|school|village|wales,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,124,Approved,1250000
,27,,201,,Mary Lynn Rajskub,The Girlfriend Experience             ,1961,escort|female nudity|friendship|money|sex scene,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,17,TV-MA,
Spike Lee,123,0,161,,Rami Malek,Da Sweet Blood of Jesus ,4040,horror movie remake|remake|undead|undead sex|undead sexuality,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,9,,1420000
Steven Soderbergh,100,0,65,24741700,Peter Gallagher,Sex, Lies, and Videotape ,1431,affair|interview|marriage|sex|videotape,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,95,R,1200000
James Wan,103,0,651,55153403,Michael Emerson,Saw ,5161,chained|flashback|killer|serial killer|surprise ending,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,1509,R,1200000
Jay Chandrasekhar,100,422,422,18488314,Geoffrey Arend,Super Troopers ,2893,drugs|highway|police|state trooper|vermont,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,333,R,1200000
Giovanni Zelko,99,4,434,,Zuhair Haddad,The Algerian ,20218,algeria|algerian|los angeles california|muslim,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,1,,1300000
Claudia Sainte-Luce,89,0,3,11278,Ximena Ayala,The Amazing Catfish ,58,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,2,,1300000
Scott Derrickson,104,301,71,79363785,Keanu Reeves,The Day the Earth Stood Still ,22194,alien|earth|giant robot|military|scientist,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,698,PG-13,80000000
Mira Nair,114,300,73,13876974,Naseeruddin Shah,Monsoon Wedding ,809,arranged marriage|bride|celebration|marriage|wedding,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,214,R,7000000
Kenneth Lonergan,111,50,612,9180275,Matthew Broderick,You Can Count on Me ,4288,bank|car accident|cheating husband|new york|single mother,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,231,R,1200000
Alfred Hitchcock,99,13000,232,,Jerry Mathers,The Trouble with Harry ,1041,artist|death|hunting|sheriff|vermont,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,150,Approved,1200000
Paul McGuigan,110,118,1000,22494487,Bruce Willis,Lucky Number Slevin ,26451,coroner|death|gay son|love|mistaken identity,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,R,27000000
Jamie Babbit,85,91,849,2199853,Natasha Lyonne,But I'm a Cheerleader ,4289,cheerleader|gay|homosexual|lesbian|lesbian relationship,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,186,R,1200000
David Boyd,113,29,449,2859955,Vivica A. Fox,Home Run ,2681,addiction|alcoholic|baseball|car accident|reference to god,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,32,PG-13,1200000
Quentin Tarantino,99,16000,455,2812029,Quentin Tarantino,Reservoir Dogs ,28994,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,931,R,1200000
Walter Lang,83,9,51,,Spring Byington,The Blue Bird ,293,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,25,Approved,
Sergio Leone,142,0,24,6100000,Clint Eastwood,The Good, the Bad and the Ugly ,16089,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,Approved,1200000
Anna Muylaert,112,9,4,375723,Alex Huszar,The Second Mother ,76,brazil|exam|housekeeper|northeast region of brazil|portuguese language,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,26,R,4000000
Steve Taylor,108,14,274,594904,Jason Marsden,Blue Like Jazz ,1805,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,PG-13,1200000
Kurt Voss,88,0,3,58936,Lemmy,Down and Out with the Dolls ,318,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,4,R,1200000
Léa Pool,97,4,,24784,,Pink Ribbons, Inc. ,0,breast cancer|comma in title|period in title|punctuation in title|three word title,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,10,Not Rated,1200000
