actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,content_rating,imdb_score
Sissy Spacek,12974,2667,Levon Helm,PG,7.5
Chloë Grace Moretz,32002,20154,Rachael Harris,PG,6.2
Javier Botet,134869,1949,Isabelle Nélisse,PG-13,6.2
Jamie Lee Curtis,157857,4400,P.J. Soles,R,7.9
Beverly D'Angelo,71183,3617,Jane Krakowski,R,7.4
Jackson Nicoll,77724,1018,Grasie Mercedes,R,6.6
Roger Allam,85333,486,Alex Jennings,PG-13,7.3
Catherine O'Hara,189413,1953,Glenn Shadix,PG,7.5
Michael Jai White,9811,6510,Lamman Rucker,PG-13,5.6
Christian Bale,36624,29370,Eric Stoltz,PG,7.3
Daniel Radcliffe,139749,11946,Jessica Raine,PG-13,6.4
Madeline Carroll,34711,2452,Brian Geraghty,PG-13,5.0
Frankie Muniz,29008,3707,Lee Majors,PG,5.4
Robert De Niro,232577,34025,John Savage,R,8.2
Robert De Niro,67604,29252,John Michael Higgins,R,7.1
Clayton Snyder,27580,3423,Alex Borstein,PG,5.3
Dwayne Johnson,64747,15800,Nadine Velazquez,PG-13,6.5
Adam Scott,29867,4567,Allison Tolman,PG-13,6.2
Jordana Brewster,92074,12170,Clea DuVall,R,6.4
Rae'Ven Kelly,13442,114,Dororthy Thorton,R,7.2
Robert De Niro,69576,40117,Janeane Garofalo,R,6.9
Chris Evans,80305,15369,Mia Kirshner,R,5.7
Jake Gyllenhaal,181025,27788,America Ferrera,R,7.7
Emma Stone,39782,44037,Bill Murray,PG-13,5.4
Paul Walker,26846,26652,William Petersen,PG-13,5.6
Eddie Redmayne,265507,14100,Simon McBurney,PG-13,7.7
Greg Grunberg,15939,4435,Blair Underwood,PG-13,5.1
Natalie Portman,27044,22383,Stockard Channing,PG-13,6.8
Claude Rains,192775,1076,Jack Hawkins,PG,8.4
Scout Taylor-Compton,36372,3226,Margot Kidder,R,4.9
Michiel Huisman,86664,4896,Gaby Hoffmann,R,7.1
Tony Goldwyn,67822,3861,Martha MacIsaac,R,6.6
Jack Davenport,38248,2666,Holland Taylor,PG-13,6.1
Jamie Lee Curtis,26905,5440,Bianca Kajlich,R,4.1
Liam Neeson,229687,18003,Alexa Davalos,PG-13,5.8
Robin Wright,294163,20060,André the Giant,PG,8.1
Denzel Washington,47626,22745,John Heard,PG-13,7.6
Ryan Gosling,431578,34337,Russ Tamblyn,R,7.8
Adam Garcia,23408,2167,Glenne Headly,PG,4.6
Liam Aiken,15582,1450,Kali Rocha,R,6.0
Jeremy Renner,212167,11471,Catherine McCormack,R,7.0
Jessie T. Usher,12596,525,Ser'Darius Blain,PG,6.7
Cicely Tyson,8427,3462,Eva Marie Saint,PG,6.4
Alfre Woodard,14322,5135,Omar Epps,PG-13,7.2
Minnie Driver,73347,2044,Mitchell Ryan,R,7.4
Bradley Cooper,33088,16461,Beth Grant,PG-13,4.8
Kim Director,28964,608,Kurt Loder,R,4.0
Christine Taylor,57140,1812,Brenda Strong,R,6.2
Scarlett Johansson,166269,20391,Penelope Wilton,R,7.7
Sierra McCormick,13874,1002,Jason Spevack,G,6.7
Anthony Hopkins,45703,12749,Ben Chaplin,PG,7.9
Don Cheadle,189032,3677,Nina Hartley,R,7.9
Kieran Culkin,17074,2210,Joss Ackland,R,5.5
Alison Lohman,6095,3845,Tim McGraw,PG,6.2
Jeff Kober,49721,2559,Jacob Vargas,R,5.1
Loretta Devine,13048,2682,Jacinda Barrett,R,4.1
William Hurt,17983,2661,Jonathan Jackson,PG,6.7
Kelly Carlson,27486,1045,Drew Powell,PG-13,4.7
Nia Long,15385,2958,Keegan-Michael Key,R,6.4
Leighton Meester,14814,4204,Tim McGraw,PG-13,6.3
Bruce Greenwood,17328,4660,Katharine Isabelle,R,5.5
Ryan Gosling,187170,34413,Angelo Anthony Pizza,R,7.3
Luke Bracey,50056,3033,Will Patton,R,6.3
Jason Priestley,13320,1069,Geneviève Bujold,R,4.9
Jeremy Renner,332065,11114,Brian Geraghty,R,7.6
Heather Locklear,22797,3444,David Keith,R,6.0
Brad Pitt,111625,14025,Ben Mendelsohn,R,6.2
Philip Seymour Hoffman,57210,22574,Homayoun Ershadi,R,6.8
Rip Torn,39788,2689,Eddie Kaye Thomas,R,4.5
Yuri Lowenthal,2037,568,Phil Vischer,G,5.7
Bono,2673,646,Larry Mullen Jr.,G,8.4
Christopher Lambert,16340,2764,Adam Copeland,R,4.6
Cicely Tyson,4603,3633,Bobb'e J. Thompson,R,6.2
Anne Hathaway,106111,17627,Rafe Spall,PG-13,7.0
Daniel Stern,55665,2633,Alia Shawkat,PG-13,6.9
Vin Diesel,19768,15644,Kevin Gage,R,6.1
Louis Lombardi,30643,1172,Leland Orser,R,6.7
Jeff Bridges,9294,15209,Albert Brooks,PG-13,5.6
Kevin McNally,9649,729,Sandra Nelson,PG-13,6.6
Woody Allen,13692,12685,Mia Farrow,PG,6.4
Trevor Morgan,2724,1139,Shirley Douglas,G,2.8
Rick Yune,53471,2377,Daniel Wu,R,5.4
Catherine O'Hara,7159,2913,Shelley Duvall,PG-13,5.0
Bruce Greenwood,7403,3142,Elaine Hendrix,PG-13,5.1
Robert De Niro,152306,29475,Jim Broadbent,R,8.0
Oliver James,22649,4676,Jason Ritter,PG,5.9
David Ogden Stiers,7122,981,Chris Bruno,TV-14,7.5
Philip Seymour Hoffman,537419,47728,Steve Buscemi,R,8.2
Justin Timberlake,52421,5012,S. Epatha Merkerson,R,7.0
Khandi Alexander,17261,1873,Michael Michele,R,6.6
Angelina Jolie Pitt,24150,12178,Dan Futterman,R,6.7
James Franco,8055,13524,Marla Sokoloff,PG-13,5.5
Vivica A. Fox,26598,3161,Bob Gunton,R,4.9
Colin Firth,18966,16502,Rupert Everett,PG,6.9
Jennifer Jason Leigh,1465,2166,Estelle Parsons,Unrated,7.4
Logan Lerman,6562,10732,Tim Blake Nelson,PG,5.6
Elizabeth Berrington,307639,173,Eric Godon,R,8.0
Tyler James Williams,4065,3322,Diahann Carroll,PG-13,5.3
Emma Stone,32311,33153,Josh Gad,PG-13,6.2
J.K. Simmons,11498,25637,Bobby Coleman,PG-13,5.3
Matt Damon,30284,14544,Terry Kinney,R,6.6
Larry David,58967,2717,Conleth Hill,PG-13,7.2
Matthew Settle,3668,2312,A.J. Buckley,PG-13,4.6
Levon Helm,34194,1627,Guillermo Arriaga,R,7.5
Robin Williams,12601,51657,Michael Jeter,PG-13,6.5
Robert Downey Jr.,175962,23932,Larry Miller,R,7.6
Vivica A. Fox,33745,3654,Elden Henson,R,6.2
Naomi Watts,235992,8484,Laura Harring,R,8.0
Olivier Martinez,15388,1675,Chris Geere,PG-13,5.5
Anthony Hopkins,36145,19310,Ewen Bremner,R,6.3
Andrew Garfield,109873,12867,Charlotte Rampling,R,7.2
Anna Silk,3828,3809,Alessandro Nivola,,7.9
Thomas Kretschmann,42792,1252,Mac McDonald,R,6.7
Curtis Armstrong,4996,1351,Mike Muscat,R,5.3
Meat Loaf,5917,4834,Noah Emmerich,PG-13,6.3
Naomi Watts,69569,6748,Brady Corbet,R,6.5
Thomas Stroppel,1933,527,Amber Marie Bollinger,,5.6
Bob Hoskins,6690,5426,Gerard McSorley,PG-13,7.0
Brigitte Helm,111841,203,Rudolf Klein-Rogge,Not Rated,8.3
David Belle,55928,962,Dany Verissimo-Petit,R,7.2
Steve Buscemi,22345,14889,Treat Williams,R,6.8
Qi Shu,9427,1172,Satoshi Tsumabuki,Not Rated,6.4
Dean Stockwell,20730,3578,Leon,R,6.9
Konstantin Lavronenko,31589,48,Nataliya Vdovina,Unrated,8.0
Nirut Sirichanya,24570,134,Sarunyu Wongkrachang,R,6.2
Michael Fassbender,64777,15293,Dave Legeno,R,6.4
Christopher Heyerdahl,2699,1432,Conrad Dunn,R,5.6
Bradley Cooper,47574,18639,Leslie Bibb,R,6.1
Jennifer Hudson,609,801,Aubrey Poo,R,6.0
Channing Tatum,14280,32814,Tracy Morgan,R,5.1
Eddie Izzard,2236,1732,Edward Fox,PG-13,4.5
Stephen Graham,7519,1245,Keith Allen,R,5.9
Anna Friel,3425,2528,Franco Nero,R,6.0
Liam Neeson,4006,29488,Loretta Devine,Not Rated,5.8
Birgitte Hjort Sørensen,41638,2829,Melanie Griffith,R,6.1
Bruce Payne,5018,363,Steven Elder,Not Rated,4.9
Maximilian Dirr,80,192,Ferdinando Vetere,,5.7
Bingbing Fan,9177,996,Yasuaki Kurata,R,7.1
Samantha Morton,695,1585,Linus Roache,PG-13,6.6
Bill Murray,437418,15500,Willie Garson,PG,8.1
Matt Bomer,38202,38963,Kevin Nash,R,5.7
Leonardo DiCaprio,167750,33791,Brian Dennehy,PG-13,6.8
Kristin Scott Thomas,12937,2140,Arben Bajraktaraj,PG-13,7.5
Sharon Leal,993,994,Bart Shatto,R,6.2
Clint Eastwood,277505,28544,Frances Fisher,R,8.3
Bryce Dallas Howard,18646,4211,Jean-Marc Barr,Not Rated,7.4
Anil Kapoor,641997,820,Ayush Mahesh Khedekar,R,8.0
Fred Gwynne,55101,1639,Anne Archer,R,6.9
Julia Roberts,213476,11135,Jason Alexander,R,6.9
Martin Short,10,1125,Joe Flaherty,,9.5
Paul Hogan,44096,717,John Meillon,PG,5.5
María Valverde,1554,2055,Chad Bishop,R,5.7
Tom Cruise,76842,12098,Stephen Baldwin,R,7.2
Doug E. Doug,69733,2496,Malik Yoba,PG,6.9
Jensen Ackles,45603,14159,Edi Gathegi,R,5.5
Kyra Sedgwick,47169,2348,Natasha Calis,PG-13,5.9
Sylvester Stallone,172493,15192,Chris Mulkey,R,7.7
Chris Brown,19505,3544,Harry Lennix,PG-13,5.2
Caroline Munro,76477,1326,Barbara Bach,PG,7.1
Amy Bruni,5563,552,Jason Hawes,,6.6
Alicia Witt,47814,3500,Julian Richings,R,5.5
Keanu Reeves,52846,35501,Swoosie Kurtz,R,7.7
Eddie Cibrian,6352,2226,Jamie Kennedy,PG-13,5.4
Seymour Cassel,15730,552,Susan Hogan,PG,6.7
Will Ferrell,15047,10792,Molly Shannon,PG-13,5.0
Meryl Streep,82327,12894,Olivia Colman,PG-13,6.4
Phil Vischer,3135,49,Shelby Vischer,G,6.6
Janet Jackson,8904,1620,Maya Angelou,R,5.9
Mike Epps,9693,1421,Gino Salvano,R,5.7
John Witherspoon,17262,2348,Allen Payne,R,4.5
Linda Blair,16294,2704,Ned Beatty,R,3.7
Sissy Spacek,22207,1608,Vernon Dobtcheff,PG-13,5.0
Carmen Electra,24038,3007,Molly Shannon,PG-13,4.6
Chris Hemsworth,56338,41359,Marley Shelton,R,6.5
America Ferrera,5721,3299,Lupe Ontiveros,PG-13,4.9
Alyson Hannigan,11729,6861,Poppy Montgomery,R,6.0
Lily Tomlin,9323,1148,Paolo Seganti,PG,6.9
Joe Mantegna,19805,2777,Kari Wuhrer,R,5.7
Robert De Niro,13548,23378,Mary Kay Place,PG,6.7
Alfre Woodard,6011,3267,Isaiah Washington,PG-13,6.9
Steve Buscemi,13866,13446,Wendell Pierce,R,5.5
Peter Mensah,38985,3050,Lexa Doig,R,4.4
Frankie Muniz,29008,3707,Lee Majors,PG,5.4
Anthony Hopkins,38142,13528,Brian Geraghty,R,7.0
Monica Potter,11693,2165,China Chow,PG-13,5.4
Thomas McDonell,11233,3715,Osric Chau,PG-13,5.4
Emmanuelle Seigner,89906,1372,Isaach De Bankolé,PG-13,8.0
Kate Winslet,92781,15337,Jane Adams,R,7.6
Norman Reedus,12519,12776,Noam Jenkins,R,5.9
Viggo Mortensen,6782,10368,Tovah Feldshuh,R,6.6
Derek Luke,9334,678,Bonnie Henna,PG-13,6.7
Melissa Sagemiller,7277,417,Candace Kroslak,PG-13,3.9
Seth Gilliam,2427,446,Nigel Whitmey,PG-13,5.7
Colin Firth,16444,16431,Kris Marshall,PG-13,6.7
Christopher Lee,524,17250,Behrouz Vossoughi,PG,6.5
Lesley Manville,17933,390,Karl Johnson,R,6.8
Mathieu Amalric,3174,799,Edouard Baer,PG,6.3
Sebastian Koch,11077,1429,Ulrich Mühe,Unrated,7.3
Woo-sung Jung,6069,243,Kelly Lin,R,6.9
John Heard,11704,2243,Mark L. Young,R,7.0
Matt Damon,12053,14638,John Gallagher Jr.,R,6.5
Steve Howey,9928,2207,Diora Baird,R,3.6
Madeline Carroll,60460,4377,Aidan Quinn,PG,7.7
Jake Gyllenhaal,259837,39789,Anne Hathaway,R,7.7
Noel Fisher,167089,2690,Jeremy Howard,PG-13,5.9
Donald Faison,123390,1724,Elisa Donovan,PG-13,6.8
Dennis Quaid,36542,2447,Michael Gaston,PG-13,7.4
Adam Scott,28159,4702,Collette Wolfe,R,5.1
Krystyna Janda,12590,25,Olgierd Lukaszewicz,TV-MA,9.1
Kate Winslet,44795,14726,Amelia Warner,R,7.4
Abbie Cornish,185845,4757,Michael Stuhlbarg,R,7.2
Colm Feore,5602,1767,Aunjanue Ellis,R,6.0
Jacek Koman,271,74,Jaroslaw Boberek,,7.4
Thomas Kretschmann,248354,2334,Alexandra Maria Lara,R,8.3
Belén Rueda,64556,529,Tamar Novas,PG-13,8.1
Scarlett Johansson,85022,19086,Alison Chand,R,6.3
Robin Williams,98348,50141,Bruno Kirby,R,7.3
Jason Mewes,912,2895,Michael Rispoli,PG-13,3.6
Usher Raymond,74351,714,Boys II Men,G,1.6
Natalie Portman,551363,38072,Mark Margolis,R,8.0
Gary Oldman,182910,14160,Jennifer Ehle,PG-13,6.2
Robert De Niro,790926,39960,Robert Duvall,R,9.0
Sean Patrick Thomas,47876,1307,Fredro Starr,PG-13,6.1
Tuesday Knight,36108,450,Brooke Bundy,R,5.7
Jennifer Garner,6276,7833,Martin Henderson,PG,6.8
Jennifer Garner,116625,6454,Marla Sokoloff,PG-13,5.5
Jack Palance,42614,1747,Brian Keith,R,6.8
Bill Murray,72803,20330,Reg E. Cathey,PG-13,7.3
Joe Lo Truglio,16979,2800,Bryan Callen,R,6.1
Joseph Gordon-Levitt,222099,37907,Andrew Keegan,PG-13,7.2
Zooey Deschanel,28805,12687,Gene Simmons,PG-13,5.9
Jon Lovitz,37611,12322,Bill Nunn,PG-13,6.1
Óscar Jaenada,12983,971,Sedona Legge,PG-13,6.8
Logan Lerman,357579,12755,Cameron Bright,R,7.7
Chris Elliott,9285,2241,Jean Smart,PG,4.9
Mekhi Phifer,6528,6554,Loretta Devine,PG-13,6.1
Kathleen Turner,19547,2936,Ruby Dee,PG,2.5
Bokeem Woodbine,24834,3353,Antonio Sabato Jr.,R,6.1
Gregory Smith,7984,2486,Charlotte Sullivan,PG,5.9
Jenny Agutter,31371,2646,Greg Germann,R,5.7
Leslie Bibb,12676,2297,Henry Simmons,PG-13,5.6
Toby Jones,220475,5371,Jeffrey DeMunn,R,7.2
Elina Alminas,289508,430,Corey Johnson,R,7.7
Willie Garson,254404,1171,Mary Kay Place,R,7.8
