director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link
Tom Elkins,79,Cicely Tyson,1000,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1
Woo-Suk Kang,15,Sung-kee Ahn,28,Silmido ,3290,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1
Jane Campion,222,Paul Schneider,2000,Bright Star ,21360,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1
Karan Johar,210,Jimmy Shergill,8000,My Name Is Khan ,69759,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1
Herbert Ross,60,Chris Penn,967,Footloose ,51459,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1
J.C. Chandor,346,,0,All Is Lost ,59545,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1
John Sayles,46,Casey Siemaszko,638,Limbo ,5158,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1
Vipul Amrutlal Shah,15,Clive Standen,3000,Namastey London ,13577,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1
Ken Loach,169,Orla Fitzgerald,97,The Wind That Shakes the Barley ,36846,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1
Ayan Mukerji,25,Madhuri Dixit,964,Yeh Jawaani Hai Deewani ,25122,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1
John G. Avildsen,81,William Zabka,668,The Karate Kid ,126916,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1
Mervyn LeRoy,54,Deborah Kerr,440,Quo Vadis ,9808,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1
Darren Lynn Bousman,147,Paris Hilton,2000,Repo! The Genetic Opera ,20419,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1
Serdar Akar,16,Bergüzar Korel,205,Valley of the Wolves: Iraq ,14486,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1
Quentin Tarantino,215,Eric Stoltz,13000,Pulp Fiction ,1324680,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1
James Frawley,63,Jim Henson,1000,The Muppet Movie ,25498,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1
Dan Gilroy,534,Michael Papajohn,15000,Nightcrawler ,293304,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1
Jay Chandrasekhar,66,Lindsay Price,861,Club Dread ,23823,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1
Robert Wise,119,Angela Cartwright,354,The Sound of Music ,148172,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1
Ron Howard,43,Howard Morris,15000,Splash ,54723,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1
Jonathan Dayton,270,Steven Christopher Parker,7000,Little Miss Sunshine ,355810,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1
Rob Reiner,99,Frances Lee McCain,217,Stand by Me ,271794,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1
Danny Boyle,224,Megan Burns,133,28 Days Later... ,297250,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1
Chris Stokes,58,Marques Houston,389,You Got Served ,23671,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1
Don Siegel,53,Patrick McGoohan,16000,Escape from Alcatraz ,87090,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1
Rick Famuyiwa,37,Sanaa Lathan,1000,Brown Sugar ,5971,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1
Martin Lawrence,11,Lynn Whitfield,585,A Thin Line Between Love and Hate ,3122,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1
Jonathan Levine,327,Anna Kendrick,23000,50/50 ,270441,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1
Masayuki Ochiai,135,David Denman,449,Shutter ,26609,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1
George A. Romero,127,Hal Holbrook,875,Creepshow ,29935,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1
Tom Gormican,164,Lola Glaudini,363,That Awkward Moment ,76791,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1
Ken Shapiro,14,Dabney Coleman,484,Modern Problems ,3904,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1
Justin Tipping,6,Natalie Stephany Aguilar,861,Kicks ,59,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1
Kenneth Branagh,41,Denzel Washington,18000,Much Ado About Nothing ,37269,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1
Peter R. Hunt,143,George Lazenby,803,On Her Majesty's Secret Service ,59941,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1
,9,Philip Winchester,666,The Player             ,5817,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1
Wes Craven,109,Heather Langenkamp,969,New Nightmare ,38191,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1
John Schultz,59,Mark Webber,452,Drive Me Crazy ,14904,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1
Doug Atchison,95,Sean Michael Afable,876,Akeelah and the Bee ,15337,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1
Tamra Davis,40,Harland Williams,744,Half Baked ,48225,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1
Jonas Elmer,121,Frances Conroy,24000,New in Town ,17461,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1
Stephen Gaghan,358,Amr Waked,13000,Syriana ,109191,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1
Mary Harron,288,Justin Theroux,23000,American Psycho ,357275,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1
Miguel Arteta,107,Zooey Deschanel,15000,The Good Girl ,37952,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1
Erik Canuel,28,Richard Howland,539,Bon Cop Bad Cop ,8616,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1
Troy Duffy,91,Julie Benz,12000,The Boondock Saints II: All Saints Day ,53251,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1
James Ivory,55,Omar Metwally,471,The City of Your Final Destination ,2311,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1
Nicole Holofcener,231,Ben Falcone,434,Enough Said ,49240,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1
Will Gluck,262,Dan Byrd,15000,Easy A ,276746,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1
Matty Rich,7,Joe Morton,851,The Inkwell ,1103,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1
E. Elias Merhige,196,Udo Kier,776,Shadow of the Vampire ,34191,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1
Joe Nussbaum,83,Thomas McDonell,1000,Prom ,12702,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1
Matt Reeves,18,Michael Rapaport,1000,The Pallbearer ,6124,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1
Steve Rash,11,Nia Long,883,Held Up ,2870,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1
Fina Torres,72,John de Lancie,1000,Woman on Top ,8546,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1
James Ivory,51,Vanessa Redgrave,12000,Howards End ,21254,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1
,18,Joseph Gilgun,3000,Preacher             ,22848,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1
Duke Johnson,328,Tom Noonan,1000,Anomalisa ,31489,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1
Mike Leigh,248,Imelda Staunton,1000,Another Year ,23629,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1
François Ozon,128,Isabelle Huppert,963,8 Women ,23660,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1
Mark L. Lester,45,Tia Carrere,1000,Showdown in Little Tokyo ,12561,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1
David Dobkin,49,Vince Vieluf,1000,Clay Pigeons ,9494,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1
Anna Boden,163,Jeremy Davies,943,It's Kind of a Funny Story ,106098,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1
Nigel Cole,163,Robbie Kay,5000,Made in Dagenham ,11158,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1
Anand Tucker,90,Jim Broadbent,14000,When Did You Last See Your Father? ,3571,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1
Steve James,23,Laurel Holloman,1000,Prefontaine ,5673,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1
Michael Winner,17,Marina Sirtis,977,The Wicked Lady ,802,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1
Tomm Moore,118,Mick Lally,61,The Secret of Kells ,22811,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1
John Carney,283,Karen Pittman,480,Begin Again ,99430,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1
David Jacobson,74,Bruce Dern,2000,Down in the Valley ,16617,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1
Michael Corrente,41,Tony Devon,480,Brooklyn Rules ,5049,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1
Edward Hall,17,Hayley Atwell,3000,Restless ,2098,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1
Keith Gordon,66,Robin Wright,21000,The Singing Detective ,7116,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1
David Leland,36,Catherine McCormack,735,The Land Girls ,1591,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1
Andrew Currie,140,Henry Czerny,553,Fido ,25055,1,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1
Andrew Wilson,32,Eddie Griffin,8000,The Wendell Baker Story ,5159,4,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1
Jonathan Lynn,68,Rupert Everett,10000,Wild Target ,29994,4,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1
Marc Schölermann,79,Larry Drake,905,Pathology ,26849,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1
,9,Jack O'Connell,27000,Wuthering Heights             ,6053,2,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1
Robert Moresco,26,Brad Renfro,954,10th & Wolf ,5557,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1
Thomas Vinterberg,100,Chris Owen,947,Dear Wendy ,9003,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1
Claudia Llosa,56,Zen McGrath,144,Aloft ,2103,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1
Katsuhiro Ôtomo,150,Takeshi Kusao,6,Akira ,106160,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1
John Herzfeld,30,Olivia Wilde,23000,The Death and Life of Bobby Z ,12078,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1
Charles Binamé,20,Roy Dupuis,413,The Rocket: The Legend of Rocket Richard ,4412,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1
Keith Parmer,21,Josh Henderson,31000,Swelter ,1965,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1
Dennie Gordon,11,Ruby Lin,163,My Lucky Star ,322,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1
Ol Parker,85,Ben Miles,186,Imagine Me & You ,23023,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1
Bruce Beresford,5,Lucy Fry,502,Mr. Church ,63,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1
François Ozon,160,Ludivine Sagnier,844,Swimming Pool ,35065,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1
James Nunn,25,Mark Wingett,1000,Green Street 3: Never Back Down ,3740,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1
David Webb Peoples,21,Joan Chen,848,The Blood of Heroes ,4792,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1
Michael Winnick,15,Helena Mattsson,981,Code of Honor ,662,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1
Bruce Beresford,61,Jessica Tandy,11000,Driving Miss Daisy ,72324,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1
George Tillman Jr.,34,Mekhi Phifer,1000,Soul Food ,5275,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1
Stanley Tong,62,Anita Mui,186,Rumble in the Bronx ,29843,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1
David Oelhoffen,102,Reda Kateb,10000,Far from Men ,4035,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1
Jason Reitman,239,Cameron Bright,24000,Thank You for Smoking ,191998,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1
Eli Roth,252,Lauren German,1000,Hostel: Part II ,69989,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1
Lone Scherfig,278,Olivia Williams,3000,An Education ,112138,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1
Anand Tucker,124,Bridgette Wilson-Sampras,827,Shopgirl ,21225,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1
Tony Richardson,9,Beau Bridges,584,The Hotel New Hampshire ,6595,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1
Joe Carnahan,127,Chi McBride,673,Narc ,34098,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1
Paul Gross,9,Paul Gross,611,Men with Brooms ,3709,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1
Charles Robert Carner,35,Jenny McCarthy,834,Witless Protection ,5463,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1
Russell Holt,6,Brenda Strong,373,The Work and the Glory ,833,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1
Mike Judge,192,Mila Kunis,24000,Extract ,37530,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1
Larry Charles,51,Cheech Marin,12000,Masked and Anonymous ,3972,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1
Claude Miller,38,Edouard Baer,71,Alias Betty ,1439,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1
Michael Winterbottom,133,Om Puri,631,Code 46 ,18109,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1
Sacha Bennett,4,Jenny Agutter,5000,Outside Bet ,243,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1
Paul Haggis,287,Loretta Devine,3000,Crash ,361169,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1
Rodrigo García,222,Michael McElhatton,3000,Albert Nobbs ,19616,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1
Jeta Amata,6,Nathin Butler,262,Black November ,385,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1
Siddharth Anand,16,Mary Goggin,532,Ta Ra Rum Pum ,2909,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1
Vincent Paronnaud,242,Gena Rowlands,963,Persepolis ,70194,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1
Joe Dante,147,Teri Polo,844,The Hole ,19157,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1
Dennis Gansel,93,Elyas M'Barek,287,The Wave ,80639,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1
Nicolas Winding Refn,253,Bella Heathcote,18000,The Neon Demon ,9866,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1
Daniel Barber,224,Jack O'Connell,788,Harry Brown ,74435,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1
Sam Raimi,392,James Franco,24000,Spider-Man 3 ,383071,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Robert Marcarelli,39,William Hootkins,488,The Omega Code ,4682,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1
Jason Reitman,387,Jennifer Garner,24000,Juno ,414335,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1
Ernie Barbarash,36,Aki Aleong,294,Pound of Flesh ,4099,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1
Guy Hamilton,120,Lois Maxwell,244,Diamonds Are Forever ,74249,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1
Francis Ford Coppola,208,Marlon Brando,14000,The Godfather ,1155770,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1
Adrian Lyne,51,Cynthia Rhodes,225,Flashdance ,35172,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1
Marc Webb,331,Chloë Grace Moretz,23000,500 Days of Summer ,376600,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1
Jane Campion,83,Ian Mune,1000,The Piano ,63931,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1
Steven Soderbergh,324,Alex Pettyfer,17000,Magic Mike ,108843,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1
Jonathan Liebesman,140,Emma Caulfield,1000,Darkness Falls ,25870,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1
Guy Hamilton,136,Geoffrey Holder,581,Live and Let Die ,74957,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1
Jay Russell,79,Frankie Muniz,1000,My Dog Skip ,16651,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1
Adam Brooks,160,Sakina Jaffrey,16000,"Definitely, Maybe ",127760,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1
Salim Akil,52,Loretta Devine,1000,Jumping the Broom ,7973,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1
Baz Luhrmann,490,Elizabeth Debicki,29000,The Great Gatsby ,362933,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
George Clooney,351,Tate Donovan,21000,"Good Night, and Good Luck. ",84070,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1
Bennett Miller,271,Michael J. Burg,22000,Capote ,100571,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1
Robert Rodriguez,93,Steve Buscemi,16000,Desperado ,138707,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1
Michael Winterbottom,71,Sarah Polley,14000,The Claim ,5254,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1
,54,Adam Goldberg,4000,Fargo             ,170055,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1
Michael Anderson,112,Jenny Agutter,1000,Logan's Run ,39847,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1
Guy Hamilton,118,Hervé Villechaize,16000,The Man with the Golden Gun ,73950,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1
Craig R. Baxley,35,Vanity,1000,Action Jackson ,7569,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1
Neil Marshall,342,Shauna Macdonald,513,The Descent ,154938,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1
Don Kempf,14,Michael Jordan,13000,Michael Jordan to the Max ,1723,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1
Matt Bettinelli-Olpin,137,Allison Miller,971,Devil's Due ,13913,0,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1
David O. Russell,50,Mary Tyler Moore,718,Flirting with Disaster ,15088,3,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1
Rob Zombie,261,Ken Foree,1000,The Devil's Rejects ,76267,0,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1
,96,Alyson Hannigan,4000,Buffy the Vampire Slayer             ,101902,0,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1
Rick Famuyiwa,180,Rick Fox,637,Dope ,56605,3,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1
Michael Rymer,28,Omar Epps,1000,In Too Deep ,4598,1,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1
Sam Mendes,750,Helen McCrory,883,Skyfall ,522048,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Rob Zombie,202,Matthew McGrory,1000,House of 1000 Corpses ,60709,0,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1
Sharron Miller,8,Elizabeth MacRae,246,Alien Zone ,440,0,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1
Ethan Coen,341,Fred Melamed,816,A Serious Man ,102125,1,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1
Aaron Schneider,160,Robert Duvall,13000,Get Low ,19147,1,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1
Steve Miner,31,Richard E. Grant,687,Warlock ,11668,0,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1
Gina Prince-Bythewood,71,Nate Parker,893,Beyond the Lights ,11191,1,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1
Tom Ford,281,Teddy Sears,14000,A Single Man ,83182,2,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1
Martin Scorsese,114,Barbara Hershey,883,The Last Temptation of Christ ,39680,0,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1
Michael Corrente,72,George Wendt,761,Outside Providence ,7736,3,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1
Gurinder Chadha,119,Martin Henderson,729,Bride & Prejudice ,17436,1,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1
Phillip Noyce,74,David Gulpilil,116,Rabbit-Proof Fence ,23486,1,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1
Don Michael Paul,25,Faizon Love,692,Who's Your Caddy? ,13815,0,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1
Tony Maylam,39,Alun Armstrong,206,Split Second ,8391,0,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1
,27,Xander Berkeley,787,Nikita             ,42402,1,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1
Mitch Davis,27,Nathaniel Lees,11000,The Other Side of Heaven ,3203,2,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1
,11,Ashley Scott,10000,Dark Angel             ,25329,1,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1
Yash Chopra,29,Preity Zinta,8000,Veer-Zaara ,34449,0,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1
David Mamet,158,Randy Couture,1000,Redbelt ,18561,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1
Jay Duplass,223,Tim Guinee,490,Cyrus ,29967,2,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1
Kevin Brodie,25,Cheryl Ladd,655,A Dog of Flanders ,781,0,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1
Paul Schrader,97,Michael McKean,783,Auto Focus ,11387,3,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1
George Hickenlooper,117,Jimmy Fallon,4000,Factory Girl ,18355,0,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1
Lynne Ramsay,389,Siobhan Fallon Hogan,3000,We Need to Talk About Kevin ,95529,0,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1
