actor_2_name,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,imdb_score
Sarita Choudhury,Crime|Drama|History|Romance,Indira Varma,1292,0,courtesan|friend|kama sutra|seduction|wedding,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,USA,R,3000000,6.0
Thomas Ian Nicholas,Comedy|Drama,Oliver Platt,3692,0,apartment|first date|neighbor|new york|new york city,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,USA,R,,6.6
Jack Albertson,Family|Fantasy|Musical,Peter Ostrum,1011,1,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,USA,G,3000000,7.8
Zach Galligan,Fantasy|Horror,Julian Sands,1806,0,druid|eclipse|rune|scalping|warlock,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,USA,R,3000000,5.3
George Hamilton,Comedy|Crime,Kristy Swanson,1363,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,USA,R,3000000,5.3
Stuart Margolin,Drama|Romance,Sam Shepard,1618,0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,USA,PG,3000000,8.0
Rob McElhenney,Drama,Matthew McConaughey,12250,2,attorney|happiness|house cleaner|physics|professor,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,USA,R,4500000,7.1
Judy Greer,Comedy|Crime|Thriller,Julie Benz,9555,3,best friend|bitch|friend|popular girl|prom,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,USA,R,3500000,5.4
Michael Wincott,Biography|Drama,Gary Oldman,11459,4,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,USA,R,3300000,6.9
Grace Gummer,Comedy|Drama|Romance,Greta Gerwig,2260,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,USA,R,,7.4
Nambitha Mpumlwana,Crime|Drama,Terry Pheto,278,1,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,UK,R,3000000,7.3
Jon Lovitz,Comedy|Drama,Philip Seymour Hoffman,36859,9,ensemble cast|episodic structure|satire|social satire|suburb,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,USA,,3000000,7.8
Joe Howard,Comedy|Documentary,Eddie Griffin,539,1,african american|family relationships|stand up comedian|stand up comedy,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,USA,R,3000000,6.6
Haley Joel Osment,Comedy|Drama|Horror,Johnny Depp,43810,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,USA,R,3000000,5.4
Ji-tae Yu,Drama|Mystery|Thriller,Min-sik Choi,852,0,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,South Korea,R,3000000,8.4
Michael Bolten,Drama|Family,Robyn Lively,1567,0,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,USA,PG,3500000,6.3
Robb Wells,Action|Comedy|Thriller,Gregory Smith,1249,4,hobo|pedophile|rampage|shotgun|vigilante,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,Canada,Not Rated,3000000,6.1
Héctor Jiménez,Action|Comedy,Kevin Pollak,1335,2,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,Mexico,R,3000000,5.0
Dan Hedaya,Comedy|Crime|Drama|Thriller,Bokeem Woodbine,1663,1,freeway|nightmare|police|school|trailer park,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,USA,R,3000000,6.9
Kevin Gage,Drama|Family|Western,William Morgan Sheppard,2715,0,19th century|faith|mayor|ranch|sheriff,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,USA,PG,3000000,7.2
Harry Treadaway,Drama,Michael Fassbender,13636,0,15 year old|dancing|essex|little sister|suburb,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,UK,Not Rated,,7.3
Megalyn Echikunwoke,Comedy|Drama|Romance,Greta Gerwig,2452,5,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,USA,PG-13,,5.7
Colm Feore,Horror|Sci-Fi|Thriller,Craig T. Nelson,3149,3,author cameo|family relationships|island|monster|two part tv movie,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,USA,,,5.0
Adam Scott,Comedy|Romance,Kirsten Dunst,8353,3,bachelorette party|drug use|high school|overdose|wedding dress,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,USA,R,3000000,5.3
Megan Hilty,Comedy|Drama|Horror|Sci-Fi|Thriller,Danny Pino,1551,0,brains|exploding head|politician|swarm behavior|washington d.c.,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,USA,,,7.9
Aaron Ashmore,Drama|Family|Music,Virginia Madsen,2330,2,based on a book|based on a novel|made for tv movie|music school|support,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,USA,PG-13,,5.0
William Atherton,Comedy,Michael Gross,1467,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,USA,R,3000000,5.3
Cjon Saulsberry,Crime|Drama|Thriller,George Kennedy,3784,1,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,USA,R,25000000,6.0
Amanda Mealing,Drama,Susan Hampshire,158,0,concierge|front desk|hotel|maid|prostitute,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,UK,,,7.6
Kostja Ullmann,Comedy|Drama|Romance|Sport,Alicja Bachleda,362,0,friend|friendship|rowing|storm|summer camp,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,Germany,R,2700000,7.4
Eric Stoltz,Drama|History|War,Johnny Pacar,4374,1,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,USA,R,3000000,5.9
Betsy Russell,Horror|Thriller,Matt Cohen,1495,0,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,USA,R,5000000,4.1
Patti LuPone,Comedy|Drama,Gretchen Mol,1030,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,USA,R,3000000,6.7
Lauren German,Drama|Sci-Fi|Thriller,Michael Biehn,4920,4,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,Germany,R,3000000,5.8
Iben Hjejle,Drama|Horror|Romance,Aidan Quinn,975,0,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,Ireland,R,,6.2
Scott Mechlowicz,Horror|Thriller,Frank Grillo,4756,1,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,USA,R,3000000,5.3
Darren Keefe Reiher,Comedy,Neil Hopkins,313,1,independent film|spoof,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,USA,R,3000000,3.3
Alan Rickman,Adventure|Family|Fantasy,Johnny Depp,79957,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,USA,PG,200000000,6.5
Michael Rapaport,Comedy,Taylor Negron,3882,1,actor|italian american|mexico|orphan|usa,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,USA,PG-13,3000000,6.2
Amy Sedaris,Drama,Tom Everett Scott,1929,2,boarding school|coming of age|female friendship|lesbian|new england,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,USA,R,3000000,5.9
Kristi Clainos,Action|Drama|Thriller,John Savage,844,3,dealer|drugs|killer|police,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,Brazil,,3000000,5.5
Amy Poehler,Comedy,Christopher Meloni,7191,2,halloween party|new york city|racism|romcom|spoof,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,USA,R,,5.5
Ashley Martin,Comedy,French Stewart,845,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,USA,R,3000000,2.6
Alex Meraz,Action|Drama|Sport,Michael Jai White,3666,3,bad cop|college|second part|sequel|wrestler,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,USA,R,3000000,5.8
Angie Dickinson,Crime|Thriller,Lee Marvin,2715,0,criminal|gangster|money|revenge|violence,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,USA,Approved,3000000,7.4
Sarah Rafferty,Comedy,Stephanie Szostak,2890,0,number in title|single father,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,Italy,,3000000,5.1
David Bianchi,Thriller,Noel Gugliemi,4469,0,dubstep|tied feet,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,USA,,800000,5.2
Shantel VanSanten,Drama|Horror|Mystery|Thriller,Julian Morris,3024,2,eugene oregon|independent film|obsession,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,USA,R,3000000,4.8
Brooke Newton,Thriller,Bokeem Woodbine,4092,4,police officer|police officer taken hostage,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,USA,R,3000000,3.9
Jack Taylor,Adventure|Crime|Drama,Everett McGill,277,1,19th century|based on novel|disfigurement|harpooner|independent film,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,Italy,,3000000,6.2
Derek Jacobi,Drama|Family|Fantasy|Romance,Hayley Atwell,4671,1,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,USA,PG,95000000,7.0
Stacy Keach,Action|Adventure|Crime|Drama,Mike Starr,1989,3,detective|killer|police|shootout|thong,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,USA,R,3000000,6.2
Cybill Shepherd,Comedy|Drama|Romance,Judy Greer,3648,2,doctor|letter|paternity|sex|testicles,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,USA,R,,5.9
Matheus Nachtergaele,Drama,Fernanda Montenegro,167,0,brazil|letter|rio de janeiro brazil|sertao|teacher,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,Brazil,R,2900000,8.0
Glenn Ford,Comedy|Drama,Ann-Margret,2167,2,1930s|apple|dude|luck|new york city,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,USA,Approved,2900000,7.3
Nick Chinlund,Action|Crime,Anthony L. Fernandez,1517,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,USA,,3000000,4.9
Michael Nouri,Comedy|Romance,Dyan Cannon,1231,8,title spoken by character,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,USA,R,1500000,6.5
Patrick Bauchau,Drama|Horror|Mystery|Thriller,Olivia Rose Keegan,423,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,USA,,3000000,4.3
James Ransone,Documentary,Greg Crowe,2305,0,cheating|economics|experiment|human nature|sumo wrestling,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,USA,PG-13,3000000,6.4
Patrick Troughton,Fantasy|Horror|Mystery,Lee Remick,673,2,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,UK,R,2800000,7.6
Maïwenn,Horror,Cécile De France,923,1,car chase|plot twist|police van|rear ending a car|slasher,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,France,Unrated,2200000,6.8
Patrick Brammall,Comedy|Drama|Romance|Sci-Fi,Maeve Dermody,362,1,alter ego|awkwardness|office|scientist|superhero,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,Australia,PG-13,,6.1
Gregory Cruz,Action|Horror|Thriller,Q'orianka Kilcher,964,0,alaska|climate change|global|polar bear|scientific,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,USA,R,3000000,4.0
Paula Jai Parker,Crime|Drama|Music,Isaac Hayes,727,1,baby|friend|hip hop|pimp|stripper,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,USA,R,8000000,7.4
Joe E. Brown,Comedy|Music|Romance,Nehemiah Persoff,527,2,all girl band|band|cross dressing|musician|yacht,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,USA,Not Rated,2883848,8.3
Terry Kiser,Horror,Kane Hodder,1855,0,death|jason voorhees|massacre|slaughter|telekinesis,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,USA,R,2800000,5.3
Terry,Adventure|Family|Fantasy|Musical,Margaret Hamilton,2509,3,evil witch|tornado|witch|wizard|wizard of oz,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,USA,Passed,2800000,8.1
Peter Boyle,Comedy,Madeline Kahn,2703,0,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,USA,PG,2800000,8.0
Shawn Roberts,Horror,Megan Park,1797,0,barn|film student|hospital|mummy|video camera,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,USA,R,2000000,5.7
Sanjay Dutt,Comedy|Drama|Romance,Vidya Balan,1761,0,love|professor of history|radio|satyagraha|unscrupulous builder,http://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,India,PG-13,120000000,8.2
Patricia Richardson,Drama,Peter Fonda,787,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,USA,R,2700000,7.1
Kelly Reno,Adventure|Family|Sport,Teri Garr,681,0,black horse|boy horse relationship|horse|rescued by a horse|training,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,USA,G,2700000,7.4
Neeru Bajwa,Romance,Bhavkhandan Singh Rakhra,434,2,,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,Canada,,3000000,6.6
Frank Hvam,Action|Adventure|Animation|Comedy|Sci-Fi,Iben Hjejle,197,0,crew|cult film|denmark|earth|wristwatch,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,Denmark,Not Rated,,5.7
Cesar Romero,Adventure|Comedy|Romance,Lee Marvin,1949,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,USA,Not Rated,2686585,6.9
Ariane Schluter,Comedy|Drama,Rijk de Gooyer,25,0,bare breasts|bra|panties|topless female nudity|underwear,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,Netherlands,,2650000,7.0
Esther Williams,Drama|Fantasy|Romance|War,Spencer Tracy,2555,0,heaven|pilot|teacher|training|world war two,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,USA,Passed,2627000,7.0
David Huddleston,Comedy|Western,Madeline Kahn,4701,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,USA,R,2600000,7.8
Tom Everett,Horror|Thriller,Judie Aronson,467,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,USA,R,1800000,5.9
Agata Trzebuchowska,Drama,Joanna Kulig,205,1,convent|jew|jewish|nun|poland,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,Poland,PG-13,,7.4
Denholm Elliott,Drama|Romance,Rupert Graves,1269,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,UK,R,2600000,7.8
Laurie Metcalf,Comedy|Sport,Joe Lo Truglio,2753,2,baseball|baseball movie|beer|slacker|softball,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,USA,R,2800000,6.0
Charlize Theron,Drama|Sci-Fi|Thriller,Johnny Depp,52621,0,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,USA,R,34000000,5.3
Gabrielle Reece,Documentary|History|Sport,Gerry Lopez,179,1,beach|surfing|surfing contest|two word title|wave,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,USA,PG-13,,7.9
Nacho Vigalondo,Horror|Mystery|Sci-Fi|Thriller,Karra Elejalde,239,0,binoculars|hitchcockian|scissors|time machine|woods,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,Spain,R,2600000,7.2
Bo Huang,Action|Adventure|Comedy,Jack Kao,19,1,color in title,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,China,,15000000,7.4
Nick Searcy,Horror|Thriller,Brianna Brown,1082,1,hiking|voyeur|voyeurism|west virginia|woods,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,USA,R,2600000,5.3
Debbie Reynolds,Comedy|Musical|Romance,Rita Moreno,2510,0,actress|chorus girl|fan|friend|love,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,USA,Approved,2540800,8.3
Joel Fuhrman,Documentary,Joe Cross,67,2,fat|food|health|juice|obese,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,Australia,,2500000,7.6
Alanna Ubach,Comedy|Fantasy,Essence Atkins,3421,6,hamburger|parody|priest|psychic|woman in a bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,USA,R,2500000,5.1
Zackary Steven Graham,Documentary,Barack Obama,1111,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,USA,PG,2500000,5.1
Tyler Mane,Horror,Scout Taylor-Compton,3226,0,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,USA,R,15000000,4.9
Charlize Theron,Comedy|Drama|Music,Tom Hanks,28713,6,band|drummer|jazz|pennsylvania|song,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,USA,PG,26000000,6.9
Dan O'Herlihy,Horror|Mystery|Sci-Fi,Tom Atkins,684,0,doctor|factory|halloween|holiday horror|stonehenge,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,USA,R,2500000,4.6
M. Emmet Walsh,Action|Sci-Fi,Roddy McDowall,2373,0,ape|fear|future|spacecraft|spaceship,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,USA,G,2500000,6.3
Melvyn Douglas,Drama,Patricia Neal,1141,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,USA,Approved,2500000,7.9
La'Princess Jackson,Comedy|Documentary,David Jason Perez,1385,0,lying|montreal|reference to twitter|reference to youtube|toronto,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,USA,R,2500000,6.7
Udo Kier,Drama,Keanu Reeves,19923,2,friend|hustler|italy|narcolepsy|traveling,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,USA,R,2500000,7.1
Michael Weston,Comedy|Drama|Romance,Armando Riesco,1655,3,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,USA,R,2500000,7.6
Hans Weingartner,Drama|Romance,Hanno Pöschl,36,1,american|conversations|kiss|love|train,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,USA,R,2500000,8.1
Michel Côté,Action|Drama|Horror|Thriller,Patrick Huard,79,0,canadian gothic|hospital|murder|paranormal|supernatural,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,Canada,,3200000,6.6
Samantha Morton,Drama,Billy Crudup,2125,1,hospital|love|mennonite|shower|song,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,USA,R,2500000,7.0
Ato Essandoh,Comedy|Drama|Romance,Joan Chen,1396,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,USA,R,,7.6
Christopher Simpson,Drama,Satish Kaushik,150,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,UK,PG-13,,6.7
Joshua Ormond,Comedy|Crime|Drama|Sci-Fi,Frank Langella,1980,3,burglary|dementia|near future|robot|thief,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,USA,PG-13,2500000,7.1
Julian Richings,Drama|Romance,Sarah Polley,2972,1,cancer|death|doctor|drinking|love,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,Spain,R,2000000,7.6
Jennifer Jason Leigh,Comedy|Drama|Romance,Shailene Woodley,10040,1,crying man|high school|high school senior|men's clothing store|party,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,USA,R,2500000,7.1
Elden Henson,Comedy|Family|Musical|Romance|Short,William Hurt,1967,0,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,USA,,34000,7.1
Tal Bachman,Comedy|Documentary|War,Bill Maher,338,1,catholic|christian|jew|muslim|religion,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,USA,R,2500000,7.7
Sheryl Crow,Documentary,Larry David,1252,0,alternative energy|energy|fuel|green|oil,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,USA,Not Rated,2500000,7.6
Diana Scarwid,Drama,Bruce McGill,1064,7,,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,USA,,2500000,6.6
