actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,title_year,aspect_ratio
20,621240,Shahir Kabaha,Ajami ,4999,42,Ranin Karim,6,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,32,Arabic,2009,1.85
1000,104077,Leslie Bibb,Wristcutters: A Love Story ,46076,4720,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,88,English,2006,1.78
7000,334658,Steven Yeun,I Origins ,75633,7098,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,160,English,2014,2.39
855,279282,Shiri Appleby,The Battle of Shaker Heights ,3806,2489,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,49,English,2003,1.85
873,43982842,Michael Imperioli,The Lovely Bones ,125114,2369,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,593,English,2009,2.35
3,484221,Anwar Congo,The Act of Killing ,23836,6,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,107,Indonesian,2012,1.85
141,274661,Alex Gibney,Taxi to the Dark Side ,10564,313,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,40,English,2007,1.85
102,144431,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,118,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,13,English,2006,1.85
12,227241,Kumar Gaurav,Guiana 1838 ,56,15,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,2,English,2004,
978,112521,Mira Sorvino,Lisa Picard Is Famous ,455,3258,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,16,English,2000,
53,287761,Josh Swanson,Antarctica: A Year on Ice ,2482,86,Anthony Powell,1,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,16,English,2013,1.85
20,100240,G.W. Krauss,A Lego Brickumentary ,1220,28,Jason Bateman,0,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,English,2014,
260000,96734,Matthew Ziff,Hardflip ,606,263584,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5,English,2012,1.85
724,49000,Emraan Hashmi,Chocolate: Deep Dark Secrets ,1524,2024,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,30,Hindi,2005,
969,100659,Lena Dunham,The House of the Devil ,30160,3833,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,193,English,2009,1.85
443,48430,David Hyde Pierce,The Perfect Host ,20176,1452,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,English,2010,1.85
499,21210,Harvey Fierstein,Safe Men ,2735,1141,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52,English,1998,1.85
590,,Patrick Renna,Speedway Junky ,1434,1042,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,43,English,1999,
96,22434,Yul Vazquez,The Last Big Thing ,334,196,James Lorinz,1,actor|magazine|model|rock band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,17,English,1996,1.85
2000,12996,Judy Greer,The Specials ,1938,3905,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,54,English,2000,1.85
386,,Will Rothhaar,16 to Life ,397,1647,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,6,English,2009,1.78
262,10018,Jordana Spiro,Alone with Her ,3228,509,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,31,English,2006,1.85
446,62480,Nora Zehetner,Creative Control ,1048,928,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7,English,2015,2.39
975,6387,Michael Rapaport,Special ,4862,2694,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,English,2006,1.85
491,5494,Frances Bay,Sparkler ,377,2633,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,13,English,1997,
639,,Scott Levy,The Helix... Loaded ,534,1188,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,English,2005,1.78
563,721,David Keith,In Her Line of Fire ,783,1284,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,12,English,2006,1.85
474,703,Lynn Cohen,The Jimmy Show ,480,920,Heather Bucha,3,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,21,English,2001,1.85
327,,Kenny Johnston,Heli ,3499,351,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,15,Spanish,2013,1.85
7,,Rasheed Naz,Karachi se Lahore ,876,19,Javed Sheikh,9,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,15,Urdu,2015,
442,,Ilene Graff,Loving Annabelle ,9190,1635,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,75,English,2006,1.85
782,,Jason Ritter,Hits ,1359,2607,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,8,English,2014,1.78
363,,Nicole Randall Johnson,Jimmy and Judy ,1420,997,James Eckhouse,2,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,English,2006,
984,,Randy Wayne,Frat Party ,1612,1752,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,28,English,2009,16.0
694,,Oliver Reed,The Party's Over ,340,964,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,1965,1.37
767,,Aidan Quinn,Proud ,275,1593,Janet Hubert,2,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,22,English,2004,
34000,,Jennifer Lawrence,The Poker House ,3943,52113,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,24,English,2008,1.85
1000,,Joe Mantegna,Childless ,33,1996,Diane Venora,5,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,,English,2008,
199,,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,3650,292,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,English,2009,1.85
458,,Maureen McCormick,Snow White: A Deadly Summer ,634,1549,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,14,English,2012,1.78
90,,Álex Angulo,Hidden Away ,955,90,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,7,Spanish,2014,2.35
898,,Nicole Beharie,My Last Day Without You ,982,2116,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,English,2011,1.66
592,,Wesley Jonathan,Steppin: The Movie ,293,1350,Chrystee Pharris,6,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1,English,2009,
10000,,William McNamara,Doc Holliday's Revenge ,93,11466,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,6,English,2014,1.78
224,,Katie Aselton,Black Rock ,6531,344,Jay Paulson,1,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,47,English,2012,1.85
335,,David Oakes,Truth or Die ,6513,1226,Jennie Jacques,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,English,2012,2.35
92,,Magi Avila,The Pet ,425,109,Summer Napoles,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,24,English,2006,
57,,Boyd Banks,Bang Bang Baby ,137,231,Kristian Bruun,2,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,English,2014,
677,,Angelina Armani,Fear Clinic ,6256,1825,Fiona Dourif,0,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,19,English,2015,2.35
214,,Jason K. Wixom,Zombie Hunter ,2057,656,Jarrod Phillips,2,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,30,English,2013,2.35
657,,Justin Baldoni,A Fine Step ,207,2677,Leonor Varela,0,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,,2014,
3000,2319187,Rosario Dawson,Trance ,92640,5056,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,English,2013,2.35
754,,Cliff Robertson,Charly ,4998,1567,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,English,1968,2.35
696,,Monique Candelaria,Banshee Chapter ,6265,1618,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,English,2013,
775,,Eric Lloyd,Jesse             ,954,1713,Bruno Campos,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,14,English,,
529,,Kimberly Williams-Paisley,Ask Me Anything ,7870,2468,Cathryn de Prume,1,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,English,2014,
1000,,Vanessa Williams,And Then Came Love ,443,2504,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,English,2007,
56,,Alma Martinez,Food Chains ,265,104,Eve Ensler,0,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,2014,
10000,9600000,Marlon Brando,On the Waterfront ,100890,11094,Rod Steiger,2,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,English,1954,1.85
945,20186,Justin Kirk,L!fe Happens ,6025,2924,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,15,English,2011,2.35
131,1185783,Anamaria Marinca,"4 Months, 3 Weeks and 2 Days ",44763,264,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,172,Romanian,2007,1.85
1000,,Javier Botet,The Horror Network Vol. 1 ,139,1343,Jan Cornet,0,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,3,English,2015,
109,1007962,Odessa Rae,Hard Candy ,131969,117,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,651,English,2005,2.35
982,381186,Katy Mixon,The Quiet ,13485,3299,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,90,English,2005,2.35
144,439958,Sarah Kazemy,Circumstance ,6277,509,Sina Amedson,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,43,Persian,2011,2.35
282,16097842,Ahna O'Reilly,Fruitvale Station ,53919,687,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,168,English,2013,1.85
975,6643,Jack McBrayer,The Brass Teapot ,11965,4184,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,39,English,2012,2.35
16,102797150,Sam Edwards,Bambi ,94225,63,Ann Gillis,0,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,136,English,1942,1.33
465,442638,John Enos III,The Hammer ,5489,897,Adam Carolla,1,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,23,English,2007,
12000,42919096,Dwayne Johnson,Snitch ,64748,15800,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,122,English,2013,2.35
23000,819939,Joseph Gordon-Levitt,Latter Days ,14580,26017,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,252,English,2003,1.85
0,,Stana Roumillac,Elza ,19,0,Teddy Doloir,1,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,2,French,2011,16.0
904,,Bokeem Woodbine,1982 ,122,5435,Quinton Aaron,4,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,3,English,2013,
938,1243961,James Wolk,"For a Good Time, Call... ",13421,3770,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,34,English,2012,2.35
904,3094687,Ari Graynor,Celeste & Jesse Forever ,24391,1751,Rob Huebel,2,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,61,English,2012,2.35
284,15278,Gavin MacLeod,Time Changer ,1742,1185,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,158,English,2002,1.85
418,,Lorraine Stanley,London to Brighton ,7308,926,Georgia Groome,0,bathroom|chase|girl|pimp|toilet,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,72,English,2006,2.35
489,,Eddie Griffin,American Hero ,2706,1278,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,23,English,2015,
1000,,Tommy O'Reilly,Windsor Drive ,169,3336,Matt Cohen,1,,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,6,English,2015,
786,7098492,Shahab Hosseini,A Separation ,151812,2501,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,Persian,2011,1.85
49,,Jo Hartley,Crying with Laughter ,190,81,Joe Cassidy,1,cocaine|edinburgh scotland|stand up comedian,http://www.imdb.com/title/tt1349478/?ref_=fn_tt_tt_1,6,English,2009,
529,4771000,Heather Matarazzo,Welcome to the Dollhouse ,26513,1502,Christina Vidal,1,bully|first crush|school|social outcast|taunting,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,174,English,1995,1.85
159,1001437,Allison Dean,Ruby in Paradise ,2039,423,Dorothy Lyman,1,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,28,English,1993,1.85
302,2073984,Victor Rasuk,Raising Victor Vargas ,4743,663,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1,135,English,2002,1.85
426,9950,Louise Brooks,Pandora's Box ,7431,455,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,84,German,1929,1.33
940,,Martin Landau,Harrison Montgomery ,59,1484,Diane Baker,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,1,English,2008,1.78
24,,Norma Aleandro,Live-In Maid ,772,29,Claudia Lapacó,0,buenos aires argentina|economics|housekeeper|maid|servant,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,11,Spanish,2004,
574,144583,Kevin Pollak,Deterrence ,2256,1983,Timothy Hutton,0,colorado|diner|iraq|nuclear missile|president,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,79,English,1999,1.85
262,,Zachary Knighton,The Mudge Boy ,3480,991,Ryan Donowho,1,death|farm|fur coat|grief|misfit,http://www.imdb.com/title/tt0339419/?ref_=fn_tt_tt_1,30,English,2003,
1000,58163,Leslie Bibb,The Young Unknowns ,122,2359,Arly Jover,0,based on play|independent film,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,3,English,2000,
247,35688,Shane Dawson,Not Cool ,4167,954,Cherami Leigh,4,,http://www.imdb.com/title/tt3569356/?ref_=fn_tt_tt_1,72,English,2014,
35,41709,Bjørn Sundquist,Dead Snow ,54601,116,Ane Dahl Torp,0,medical student|nazi|snow|snowmobile|zombie,http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1,200,Norwegian,2009,1.85
214,1310270,Corbin Allred,Saints and Soldiers ,17725,587,Kirby Heyborne,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,http://www.imdb.com/title/tt0373283/?ref_=fn_tt_tt_1,157,English,2003,
134,,Taylor Pigeon,Vessel ,292,315,Whit Spurgeon,1,alien|flight attendant|monster|pilot|tentacle,http://www.imdb.com/title/tt2164708/?ref_=fn_tt_tt_1,3,English,2012,
11000,115000000,Harrison Ford,American Graffiti ,63839,14954,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,238,English,1973,2.35
25,,Scott Helvenston,Iraq for Sale: The War Profiteers ,1477,25,Donna Zovko,0,american politics|armed forces|political corruption|shady|war profiteer,http://www.imdb.com/title/tt0815181/?ref_=fn_tt_tt_1,24,English,2006,1.78
2000,5518918,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,3071,Chris Kattan,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,73,English,2007,1.85
934,4007792,Mary Lynn Rajskub,Safety Not Guaranteed ,101287,2714,Jeff Garlin,0,classified ad|intern|magazine|time machine|time travel,http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1,260,English,2012,2.35
312,7705974,Isaac C. Singleton Jr.,Kevin Hart: Laugh at My Pain ,3543,548,Jeanette Branch,1,stand up comedy,http://www.imdb.com/title/tt1999192/?ref_=fn_tt_tt_1,8,English,2011,1.85
513,26297,MyAnna Buring,Kill List ,25750,1269,Neil Maskell,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,209,English,2011,2.35
969,77501,Lena Dunham,The Innkeepers ,27260,1252,Pat Healy,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,247,English,2011,2.35
10000,42638165,Gary Oldman,The Unborn ,42183,12183,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230,English,2009,2.35
319,,Jean-Louis Trintignant,The Conformist ,17813,500,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,101,Italian,1970,1.66
108,47329,Raymond J. Barry,Interview with the Assassin ,1661,243,Renee Faia,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,31,English,2002,1.78
1000,18378,Julian Morris,Donkey Punch ,9376,1558,Tom Burke,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,74,English,2008,1.85
935,,Luke Grimes,All the Boys Love Mandy Lane ,25951,2170,Whitney Able,1,drugs|female nudity|party|voyeur|voyeurism,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,129,English,2006,2.35
717,,Dichen Lachman,Bled ,851,1117,Michele Morrow,0,artist|blood|drug|tree sap|vampire,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,30,English,2009,1.85
998,,Gary Cooper,High Noon ,80193,2496,Lon Chaney Jr.,0,appeasement|frontier justice|justice|one against many|street shootout,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,333,English,1952,1.37
7,7830611,William Gates,Hoop Dreams ,18980,15,Isiah Thomas,0,athlete|basketball|high school|high school student|school,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,74,English,1994,1.33
262,3278611,Kevin Scott Richardson,Rize ,2877,321,Tommy the Clown,0,clown|clowning|dance|gang|south central los angeles,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,46,English,2005,1.33
22000,,Peter Dinklage,Destiny ,3089,26578,Erick Avari,0,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,11,English,2014,
80,1141829,Adam LeFevre,L.I.E. ,8509,209,Walter Masterson,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,109,English,2001,1.85
601,,Laura Fraser,The Sisterhood of Night ,1354,1581,Louis Ozawa Changchien,,accused of witchcraft|based on short story,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,17,English,2014,2.35
618,,Aimee Garcia,B-Girl ,551,2476,Drew Sidora,0,brooklyn new york city|los angeles california|teacher|trauma|violence,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,10,English,2009,
6000,218051260,Naomi Watts,King Kong ,316027,7122,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,2005,2.35
730,32048809,Robert Ri'chard,House of Wax ,94463,2160,Brian Van Holt,0,brother sister relationship|group of friends|male nudity|twin|wax,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,576,English,2005,1.85
33000,2694973,Ryan Gosling,Half Nelson ,70885,33734,Jeff Lima,2,bathroom|classroom|dialectics|drugs|student,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,189,English,2006,1.85
752,10508,Irene Bedard,Naturally Native ,103,1763,Max Gail,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,6,English,1998,
465,2301777,Hill Harper,Hav Plenty ,819,714,Chenoa Maxwell,2,friend|new year's eve|screwball|self discovery|social differences,http://www.imdb.com/title/tt0126938/?ref_=fn_tt_tt_1,36,English,1997,
696,,Mehcad Brooks,Adulterers ,514,1210,Danielle Savre,3,cheating husband|female nudity|male nudity|male rear nudity|revenge,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1,English,2015,2.35
977,169719,Trey Loney,Escape from Tomorrow ,7384,2483,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,79,English,2013,1.85
628,,Richard Curtis,Starsuckers ,474,1683,Elton John,0,celebrity|consumerism|fashion|media manipulation,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,8,English,2009,
