duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
124,0,701,8000,91030827,Comedy|Drama,Julia Roberts,Stepmom ,46482,2,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,USA,PG-13,50000000,818,6.7,2.35
96,51,322,8000,150315155,Comedy|Family,Will Ferrell,Daddy's Home ,54010,2,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,USA,PG-13,50000000,2000,6.1,1.85
125,252,10000,40000,127997349,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Into the Woods ,101178,1,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,USA,PG,50000000,11000,6.0,2.39
129,0,277,18000,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,2,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,USA,R,45000000,412,7.6,2.35
90,241,416,1000,81517441,Action|Crime|Drama|Thriller,Bill Duke,Payback ,111368,1,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,USA,R,50000000,495,7.1,2.35
109,155,293,426,81022333,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,34471,0,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,USA,PG-13,50000000,387,5.0,1.85
124,488,1000,19000,75621915,Comedy|Drama|Family,Scarlett Johansson,We Bought a Zoo ,111003,3,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,USA,PG,,13000,7.1,1.85
121,295,329,12000,79948113,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing ,186879,0,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,USA,PG-13,50000000,748,6.2,2.35
95,9,11000,14000,88658172,Comedy|Romance,Bradley Cooper,Failure to Launch ,58412,2,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,USA,PG-13,50000000,11000,5.6,2.35
128,62,874,6000,75888270,Horror|Mystery,Naomi Watts,The Ring Two ,71153,0,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,USA,PG-13,,989,5.4,1.85
118,43,7000,33000,84244877,Comedy|Drama|Romance,Ryan Gosling,Crazy, Stupid, Love. ,375456,7,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,USA,PG-13,50000000,15000,7.4,2.39
80,12,58,13000,75367693,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield ,58961,0,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,USA,PG,35000000,258,5.0,1.85
99,148,660,2000,73701902,Comedy|Family,Jamie Lee Curtis,Christmas with the Kranks ,27548,1,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,USA,PG,60000000,843,5.2,2.35
133,152,11000,22000,75605492,Biography|Drama|Sport,Philip Seymour Hoffman,Moneyball ,283563,1,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,USA,PG-13,50000000,18000,7.6,1.85
127,249,808,18000,67823573,Action|Drama|Thriller,Kevin Spacey,Outbreak ,91176,3,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,USA,R,50000000,11000,6.6,1.85
106,174,660,14000,91439400,Action|Mystery|Thriller,Liam Neeson,Non-Stop ,200647,0,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,UK,PG-13,50000000,664,7.0,2.35
98,99,433,12000,67128202,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain ,43328,3,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,USA,PG,65000000,536,5.7,2.35
132,160,443,20000,70496802,Action|Drama|Thriller,Natalie Portman,V for Vendetta ,791783,1,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,USA,R,54000000,979,8.2,2.35
114,71,55,154,60470220,Action|Adventure|Comedy,Fann Wong,Shanghai Knights ,81444,2,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,USA,PG-13,50000000,131,6.2,2.35
45,,132,416,,Crime|Drama,Bernard Hill,Unforgotten             ,1824,2,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,UK,,,171,7.9,
78,5,1000,8000,58336565,Adventure|Animation|Comedy|Family,Will Ferrell,Curious George ,12845,0,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,USA,G,50000000,2000,6.6,1.85
101,23,541,660,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,36431,1,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,USA,G,50000000,651,4.7,1.85
113,39,477,1000,54997476,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,40362,0,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,USA,R,50000000,912,6.3,2.35
98,75,467,10000,55682070,Action|Fantasy|Horror,Jeremy Renner,Hansel & Gretel: Witch Hunters ,159868,2,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,Germany,R,50000000,520,6.1,2.35
124,213,372,838,52752475,Drama|Thriller,Olivier Martinez,Unfaithful ,63067,0,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,USA,R,50000000,593,6.7,1.85
109,154,144,15000,55092830,Action|Adventure|Sci-Fi|Thriller,Alex Pettyfer,I Am Number Four ,195043,1,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,USA,PG-13,60000000,348,6.1,1.85
128,79,414,13000,50815288,Drama|Thriller,Matt Damon,Syriana ,109188,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,USA,R,50000000,903,7.0,2.35
144,0,681,769,52822418,Action|Drama|Thriller|War,Toby Stephens,13 Hours ,47764,0,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,USA,R,50000000,726,7.4,2.35
95,34,679,17000,50150619,Adventure|Animation|Comedy|Family|Fantasy|Romance,Channing Tatum,The Book of Life ,45580,1,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,USA,PG,50000000,995,7.3,2.35
105,12,935,87000,48745150,Crime|Thriller,Jimmy Bennett,Firewall ,50170,1,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,USA,PG-13,50000000,11000,5.8,2.35
121,16000,826,16000,50007168,Action|Crime|Drama|Thriller,Clint Eastwood,Absolute Power ,39529,0,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,USA,R,50000000,1000,6.7,2.35
125,0,957,10000,48154732,Action|Drama|War,Viggo Mortensen,G.I. Jane ,60326,1,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,USA,R,50000000,2000,5.8,2.35
129,21000,283,495,48265581,Drama|Mystery|Thriller,Deborah Kara Unger,The Game ,261069,1,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,USA,R,50000000,294,7.8,2.35
132,50,368,992,46982632,Adventure|Horror|Mystery,Radha Mitchell,Silent Hill ,172792,0,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,Canada,R,50000000,495,6.6,2.35
118,41,585,18000,44737059,Comedy|Sport,Keanu Reeves,The Replacements ,48322,1,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,USA,PG-13,50000000,4000,6.5,1.85
113,22,1000,3000,56724080,Comedy,Alyson Hannigan,American Reunion ,172112,7,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,USA,R,50000000,1000,6.7,1.85
140,473,294,18000,44484065,Action|Crime|Drama|Mystery|Thriller,Kevin Spacey,The Negotiator ,107227,2,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,Germany,R,50000000,822,7.3,2.35
89,77,159,490,47553512,Action|Thriller,Matt Walsh,Into the Storm ,54101,0,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,USA,PG-13,50000000,298,5.8,1.85
104,644,174,437,42610000,Action|Comedy|Crime|Thriller,Louis Lombardi,Beverly Hills Cop III ,60293,1,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,USA,R,55000000,289,5.5,1.85
106,287,767,16000,41482207,Comedy|Fantasy|Horror,Christopher Lee,Gremlins 2: The New Batch ,68428,0,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,USA,PG-13,50000000,823,6.3,1.85
141,71,3000,21000,47105085,Crime|Drama,Robert Downey Jr.,The Judge ,136973,1,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,USA,R,50000000,3000,7.4,2.35
124,75,258,294,41256277,Action|Thriller,Armin Mueller-Stahl,The Peacemaker ,46451,2,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,USA,R,50000000,273,5.9,2.35
98,38,706,14000,50740078,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Apocalypse ,151580,1,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,Germany,R,45000000,919,6.2,2.35
108,17,186,14000,40203020,Comedy|Drama|Romance,Colin Firth,Bridget Jones: The Edge of Reason ,74315,1,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,UK,R,40000000,1000,5.9,2.35
114,73,323,18000,40905277,Crime|Drama|Romance|Thriller,Denzel Washington,Out of Time ,45895,3,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,USA,R,50000000,886,6.5,2.35
101,0,158,854,38590500,Action|Adventure|Thriller,Mike Starr,On Deadly Ground ,17997,1,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,USA,R,50000000,643,4.4,2.35
93,0,717,12000,39177541,Action|Adventure|Family|Fantasy,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,20310,1,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,USA,PG,50000000,722,3.5,1.85
119,0,39,29000,39778599,Adventure|Drama|Thriller,Leonardo DiCaprio,The Beach ,176169,0,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,USA,R,50000000,414,6.6,2.35
119,0,434,627,37486138,Comedy|Drama|Romance,Amber Valletta,Raising Helen ,30890,1,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,USA,PG-13,50000000,508,6.0,1.85
99,160,72,330,38105077,Action|Crime|Thriller,Shô Kosugi,Ninja Assassin ,58349,0,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,USA,R,40000000,119,6.4,2.35
137,0,432,24000,35168395,Drama|Romance|Sport,J.K. Simmons,For Love of the Game ,26034,0,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,USA,PG-13,50000000,743,6.5,2.35
105,,5,325,,Crime|Drama|Mystery,David Jason,A Touch of Frost             ,4438,1,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,UK,,,7,7.8,1.33
117,31,210,2000,32800000,Comedy|Crime|Drama|Thriller,Demi Moore,Striptease ,34896,1,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,USA,R,40000000,472,4.3,1.85
87,9,1000,15000,33643461,Comedy|Family,Emma Stone,Marmaduke ,11257,0,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,USA,PG,50000000,2000,4.2,2.35
129,16000,447,13000,32741596,Drama|Fantasy,Matt Damon,Hereafter ,80140,0,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,USA,PG-13,50000000,563,6.5,2.35
115,58,401,33000,31874869,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,43574,0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,USA,R,50000000,455,6.1,1.85
132,503,282,45000,30306268,Action|Crime|Thriller,Muse Watson,Assassins ,62981,0,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,France,R,50000000,13000,6.3,1.85
131,73,163,879,27667947,Crime|Drama|Thriller,Li Gong,Hannibal Rising ,86374,0,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,UK,R,50000000,184,6.2,2.35
95,0,323,13000,27067160,Comedy|Drama|Romance,Bruce Willis,The Story of Us ,18404,1,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,USA,R,50000000,559,5.9,1.85
125,487,201,430,26616999,Action|Adventure|Romance|Sci-Fi|Thriller,J.D. Evermore,The Host ,92461,3,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,USA,PG-13,40000000,329,5.9,2.35
98,323,511,933,26536120,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,Basic ,49926,0,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,Germany,R,50000000,631,6.5,2.35
110,16000,581,16000,26199517,Action|Crime|Drama|Mystery|Thriller,Clint Eastwood,Blood Work ,34356,1,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,USA,R,50000000,1000,6.4,2.35
118,670,294,6000,25450527,Action|Crime|Drama|Mystery|Thriller,Naomi Watts,The International ,80196,0,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,USA,R,50000000,450,6.5,2.35
101,0,764,12000,25407250,Action|Adventure|Sci-Fi|Thriller,Steve Buscemi,Escape from L.A. ,54021,0,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,USA,R,50000000,898,5.7,2.35
60,,398,629,,Drama|Mystery|Thriller,Grey Damon,Twisted             ,7945,2,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,USA,,,512,7.5,16.0
90,663,521,14000,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Vin Diesel,The Iron Giant ,128455,1,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,USA,PG,70000000,631,8.0,2.35
119,0,639,13000,24006726,Adventure|Comedy|Drama,Bill Murray,The Life Aquatic with Steve Zissou ,139535,8,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,USA,R,50000000,1000,7.3,2.35
139,378,303,11000,20389967,Action|Biography|Drama|History|War,Matthew McConaughey,Free State of Jones ,3077,1,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,USA,R,50000000,552,6.7,1.85
130,317,256,18000,19593740,Crime|Drama|Thriller,Kevin Spacey,The Life of David Gale ,88270,0,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,USA,R,50000000,14000,7.5,2.35
100,65,730,1000,19118247,Action|Comedy,Christina Milian,Man of the House ,19829,5,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,USA,PG-13,40000000,923,5.4,2.35
114,174,655,14000,26442251,Action|Crime|Drama|Thriller,Liam Neeson,Run All Night ,76010,2,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,USA,R,50000000,988,6.6,2.35
96,0,509,10000,17114882,Crime|Mystery|Thriller,Viggo Mortensen,Eastern Promises ,189249,1,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,USA,R,25000000,6000,7.7,1.85
110,134,795,23000,18472363,Action|Adventure|Crime|Thriller,Paul Walker,Into the Blue ,63599,3,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,USA,PG-13,50000000,1000,5.8,2.35
158,0,15,51,14131298,Adventure|Biography|Drama|History|War,Paul Brooke,The Messenger: The Story of Joan of Arc ,55889,0,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,France,R,390000000,40,6.4,2.35
102,234,11000,20000,21557240,Adventure|Comedy|Fantasy,Natalie Portman,Your Highness ,85237,3,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,USA,R,49900000,11000,5.6,2.35
84,260,692,6000,21283440,Drama|Mystery|Thriller,Naomi Watts,Dream House ,46239,0,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,USA,PG-13,55000000,694,6.0,2.35
115,333,317,972,10556196,Crime|Drama|Thriller,Mia Kirshner,Mad City ,16562,2,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,USA,PG-13,50000000,713,6.2,2.35
99,32,479,1000,16671505,Adventure|Comedy|Crime|Drama|Family,Joe Mantegna,Baby's Day Out ,33186,1,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,USA,PG,50000000,619,5.9,1.85
135,596,2000,10000,10400000,Drama|Romance,Gary Oldman,The Scarlet Letter ,12037,1,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,USA,R,50000000,3000,5.1,2.35
108,218,405,6000,9528092,Biography|Drama|Thriller,Naomi Watts,Fair Game ,38513,2,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,USA,PG-13,22000000,3000,6.8,2.35
43,,600,3000,,Action|Drama|Sci-Fi,Julie Benz,Defiance             ,33535,3,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,USA,TV-MA,,845,7.0,1.78
127,12000,897,984,10137232,Action|Biography|Crime|Drama|Thriller,Ian Ziering,Domino ,58015,0,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,France,R,50000000,940,6.0,2.35
107,607,602,2000,9795017,Crime|Drama|Thriller,Michael Biehn,Jade ,9227,0,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,USA,R,50000000,979,5.1,1.85
95,83,1000,18000,20488579,Action|Sci-Fi|Thriller,Gerard Butler,Gamer ,113483,1,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,USA,R,50000000,8000,5.8,1.85
124,98,592,1000,19445217,Drama|Fantasy|Romance,Alden Ehrenreich,Beautiful Creatures ,67796,7,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,USA,PG-13,60000000,852,6.2,2.35
109,0,809,49000,8355815,Comedy|Crime|Drama|Thriller,Robin Williams,Death to Smoochy ,34730,2,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,UK,R,55000000,811,6.4,1.85
102,0,1000,14000,28837115,Comedy,Milla Jovovich,Zoolander 2 ,34964,4,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,USA,PG-13,50000000,8000,4.8,2.35
88,5,338,11000,6471394,Comedy|Crime,Morgan Freeman,The Big Bounce ,15880,5,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,USA,PG-13,50000000,387,4.9,2.35
87,0,591,2000,6291602,Comedy|Sci-Fi,Judy Greer,What Planet Are You From? ,8070,0,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,USA,R,50000000,602,5.6,1.85
104,71,982,12000,10706786,Action|Fantasy|Thriller,Nicolas Cage,Drive Angry ,81800,1,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,USA,R,50000000,2000,5.5,1.85
96,43,77,841,8742261,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li ,19824,2,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,Canada,PG-13,18000000,342,3.7,2.35
85,70,848,26000,43905746,Action|Sci-Fi|Thriller,Jason Statham,The One ,77684,1,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,USA,PG-13,49000000,5000,5.9,2.35
64,,184,1000,,Drama|Romance|Sci-Fi,Tobias Menzies,Outlander             ,50391,8,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,USA,TV-MA,,531,8.5,16.0
104,212,380,879,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,Lauren Holly,The Adventures of Ford Fairlane ,14429,5,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,USA,R,40000000,560,6.3,2.35
135,628,830,22000,7994115,Comedy|Drama|Music,Philip Seymour Hoffman,Pirate Radio ,90932,2,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,UK,R,,882,7.4,2.35
190,0,215,599,124107476,Crime|Drama|Thriller,Michael O'Neill,Traffic ,170684,0,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,USA,R,48000000,399,7.6,1.85
127,14000,440,11000,197171806,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Last Crusade ,515306,5,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,USA,PG-13,48000000,844,8.3,2.35
129,456,0,2000,12802907,Drama|Romance,Kelly Macdonald,Anna Karenina ,70886,1,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,UK,R,,35,6.6,2.35
120,662,502,20000,31569268,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,Chappie ,172965,0,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,USA,R,49000000,2000,6.9,2.35
118,176,308,18000,66488090,Crime|Drama|Mystery|Thriller,Denzel Washington,The Bone Collector ,120202,2,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,USA,R,48000000,11000,6.7,2.35
112,21000,237,17000,95308367,Crime|Drama|Thriller,Kristen Stewart,Panic Room ,206104,0,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,USA,R,48000000,324,6.8,2.35
89,42,235,598,,Horror|Thriller,P.J. Soles,The Tooth Fairy ,1263,0,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,USA,,1500000,555,4.6,1.78
114,737,393,2000,60652036,Action|Adventure|Comedy|Drama|War,Judy Greer,Three Kings ,137854,1,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,USA,R,48000000,490,7.1,2.35
137,79,194,27000,1206135,Crime|Drama|Thriller,Tom Hardy,Child 44 ,40568,3,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,Czech Republic,R,50000000,254,6.4,2.35
112,109,261,779,56607223,Adventure|Comedy,Corinna Harney,Rat Race ,93367,8,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,Canada,PG-13,48000000,629,6.4,2.35
120,34,1000,18000,50173190,Drama|Mystery|Sci-Fi,Kevin Spacey,K-PAX ,148490,1,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,USA,PG-13,48000000,12000,7.4,2.35
123,446,821,20000,47095453,Comedy|Fantasy|Romance,Hugh Jackman,Kate & Leopold ,64595,1,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,USA,PG-13,48000000,1000,6.4,1.85
93,11000,484,3000,37879996,Comedy|Fantasy|Romance,Brendan Fraser,Bedazzled ,81888,2,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,USA,PG-13,48000000,575,6.0,2.35
123,0,886,12000,25900000,Crime|Drama|Music,Nicolas Cage,The Cotton Club ,12771,1,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,USA,R,58000000,5000,6.5,1.85
122,446,600,23000,53574088,Adventure|Crime|Drama|Western,Christian Bale,3:10 to Yuma ,237872,1,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,USA,R,55000000,8000,7.8,2.35
115,118,482,14000,89253340,Action|Thriller,Liam Neeson,Taken 3 ,133436,0,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,France,PG-13,48000000,794,6.0,2.35
123,0,23,3000,37339525,Crime|Drama|Romance|Thriller,Don Cheadle,Out of Sight ,71708,1,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,USA,R,48000000,745,7.0,1.85
96,0,302,2000,60154431,Comedy|Drama|Thriller,Matthew Broderick,The Cable Guy ,122347,1,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,USA,PG-13,47000000,1000,6.0,2.35
110,375,59,113,528972,Drama|Romance|War,Nandita Das,Earth ,5639,0,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,India,Unrated,,102,7.8,
105,631,327,678,103738726,Action|Comedy|Crime|Music|Romance|Thriller,Charlie Korsmo,Dick Tracy ,47819,1,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,USA,PG,100000000,631,6.1,1.85
113,323,835,1000,69304264,Crime|Romance|Thriller,Mark Margolis,The Thomas Crown Affair ,73068,0,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,USA,R,48000000,977,6.8,2.35
132,545,807,919,29781453,Biography|Comedy|Drama,Rosie Perez,Riding in Cars with Boys ,22447,1,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,USA,PG-13,48000000,811,6.4,1.85
93,270,535,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172489,1,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,USA,R,14000000,954,7.7,2.35
