num_critic_for_reviews,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
177,33000,64286,Ryan Gosling,The Notebook ,396396,34495,English,USA,PG-13,29000000,638,2.35,57000
175,2000,76806312,Judy Greer,27 Dresses ,124501,2978,English,USA,PG-13,30000000,805,2.35,0
131,1000,79566871,Emily Osment,Hannah Montana: The Movie ,31760,4516,English,USA,G,30000000,1000,1.85,0
41,971,76501438,Elizabeth Daily,Rugrats in Paris: The Movie ,8146,4527,English,Germany,G,30000000,844,1.85,181
30,769,74787599,George Carlin,The Prince of Tides ,12549,1936,English,USA,R,30000000,713,1.85,883
57,12000,66528842,Anthony Hopkins,Legends of the Fall ,112175,26388,English,USA,R,30000000,11000,1.85,11000
391,24000,83813460,J.K. Simmons,Up in the Air ,270238,35209,English,USA,R,25000000,10000,1.85,19000
217,442,65010106,Hope Davis,About Schmidt ,107557,1556,English,USA,R,30000000,344,1.85,0
452,303,66359959,Cory Hardrict,Warm Bodies ,184641,337,English,USA,PG-13,35000000,18,2.35,81000
589,23000,66468315,Joseph Gordon-Levitt,Looper ,428916,37387,English,USA,R,30000000,13000,2.35,75000
61,979,64172251,Chazz Palminteri,Down to Earth ,19079,2911,English,USA,PG-13,30000000,891,1.85,602
79,405,66600000,Miriam Margolyes,Babe ,94435,1185,English,Australia,G,30000000,368,1.85,5000
234,11000,63536011,Meryl Streep,Hope Springs ,34258,19420,English,USA,PG-13,30000000,7000,2.35,0
253,15000,62877175,Mila Kunis,Forgetting Sarah Marshall ,217507,16758,English,USA,R,30000000,975,1.85,0
51,971,,Zach Gilford,Friday Night Lights             ,42746,3418,English,USA,TV-14,,741,1.78,0
123,1000,74484168,Josh Charles,Four Brothers ,109894,2740,English,USA,R,45000000,654,2.35,0
145,2000,60269340,Tina Fey,Baby Mama ,34079,6930,English,USA,PG-13,30000000,1000,1.85,0
65,970,60033780,Bill Cobbs,Hope Floats ,18973,2860,English,USA,PG-13,30000000,631,1.85,0
152,11000,58715510,Anne Hathaway,Bride Wars ,79094,13794,English,USA,PG,30000000,826,1.85,0
94,506,58156435,Antony Starr,Without a Paddle ,37479,1266,English,USA,PG-13,19000000,316,2.35,0
119,3000,56044241,Jennifer Garner,13 Going on 30 ,122187,6742,English,USA,PG-13,37000000,2000,1.85,0
487,617,56816662,Kurt Fuller,Midnight in Paris ,301149,1289,English,Spain,PG-13,17000000,204,1.85,78000
121,14000,64238770,Liam Neeson,The Nut Job ,19547,18795,English,Canada,PG,42000000,3000,1.85,0
147,40000,52937130,Johnny Depp,Blow ,198066,43453,English,USA,R,30000000,1000,2.35,13000
85,18000,52799004,Robin Wright,Message in a Bottle ,28942,19815,English,USA,PG-13,55000000,652,2.35,0
98,12000,55210049,Leonard Nimoy,Star Trek V: The Final Frontier ,43743,14710,English,USA,PG,27800000,664,2.35,0
39,1000,51432423,Brenda Song,Like Mike ,15074,3679,English,USA,PG,30000000,889,1.85,1000
43,3000,51109400,George Kennedy,Naked Gun 33 1/3: The Final Insult ,76850,4767,English,USA,PG-13,30000000,459,1.85,1000
108,1000,50300000,Patrick Macnee,A View to a Kill ,68565,2943,English,UK,PG,30000000,439,2.35,0
209,567,56068547,Mark Gatiss,The Curse of the Were-Rabbit ,98160,1145,English,UK,G,30000000,269,1.85,0
131,18000,53680848,Gerard Butler,P.S. I Love You ,167967,18726,English,USA,PG-13,30000000,631,1.85,20000
73,984,49186871,Bruce Greenwood,Racing Stripes ,12570,2910,English,USA,PG,,934,1.85,771
316,19000,50921738,Benedict Cumberbatch,Atonement ,192930,20499,English,UK,R,30000000,1000,1.85,12000
159,898,53021560,Vanessa Redgrave,Letters to Juliet ,74630,1026,English,USA,PG,30000000,60,2.35,13000
63,939,45645204,Stephen Root,Black Rain ,39306,1748,English,USA,R,30000000,255,2.35,0
162,971,44328238,Kate Upton,The Three Stooges ,25484,6137,English,USA,PG,,860,1.85,13000
267,40000,53337608,Johnny Depp,Corpse Bride ,188785,60683,English,USA,PG,40000000,16000,1.85,0
95,696,42643187,Mehcad Brooks,Glory Road ,34910,2577,English,USA,PG,,663,2.35,0
478,455,46875468,Edgar Arreola,Sicario ,196217,1467,English,USA,R,30000000,221,2.39,59000
305,15000,52418902,Jake Gyllenhaal,Southpaw ,147128,16881,English,USA,R,30000000,1000,2.35,44000
397,2000,42057340,Bojana Novakovic,Drag Me to Hell ,158354,5642,English,USA,PG-13,30000000,1000,2.35,11000
214,11000,42478175,Harrison Ford,The Age of Adaline ,93767,15327,English,USA,PG-13,25000000,2000,2.35,34000
82,3000,41407470,Haley Joel Osment,Secondhand Lions ,43378,9638,English,USA,PG,30000000,3000,1.85,0
138,2000,42385520,Alyson Stoner,Step Up 3D ,47297,4059,English,USA,PG-13,30000000,594,1.85,16000
69,585,40118420,Faizon Love,Blue Crush ,26066,1165,English,USA,PG-13,30000000,495,1.85,0
253,8000,40137776,Will Ferrell,Stranger Than Fiction ,186977,8362,English,USA,PG-13,38000000,189,1.85,13000
304,430,39568996,Danny Huston,30 Days of Night ,138435,814,English,USA,R,32000000,72,2.35,0
634,26000,42043633,Chris Hemsworth,The Cabin in the Woods ,277172,29551,English,USA,R,30000000,821,2.35,66000
111,869,38232624,Carmen Electra,Meet the Spartans ,88518,3854,English,USA,PG-13,30000000,759,1.85,0
77,22000,38413606,Robert De Niro,Midnight Run ,54042,23866,English,USA,R,30000000,581,1.85,0
120,581,38122105,Yaphet Kotto,The Running Man ,112669,2373,English,USA,R,27000000,571,1.37,0
63,13000,38747385,Bill Murray,Little Shop of Horrors ,49349,15308,English,USA,PG-13,25000000,854,1.85,0
417,157,40247512,Jessica Barden,Hanna ,159198,257,English,USA,PG-13,30000000,33,2.35,38000
9,971,,Zach Gilford,The Family             ,3322,3295,English,USA,TV-PG,,805,16.0,0
59,663,35927406,Brian Thompson,Mortal Kombat: Annihilation ,36363,2266,English,USA,PG-13,30000000,349,1.85,1000
218,15000,35565975,Tom Hanks,Larry Crowne ,49205,16827,English,USA,PG-13,30000000,839,2.35,0
359,17000,35266619,Chloë Grace Moretz,Carrie ,108242,20051,English,USA,R,30000000,2000,2.35,39000
101,1000,34703228,Alfre Woodard,Take the Lead ,21767,3797,English,USA,PG-13,30000000,712,1.85,0
52,680,,Debi Mazar,Entourage             ,135643,2867,English,USA,TV-MA,,638,1.78,0
85,12000,38432823,Dwayne Johnson,Gridiron Gang ,33067,15811,English,USA,PG-13,30000000,2000,2.35,0
64,1000,32095318,Bernie Mac,What's the Worst That Could Happen? ,12466,3664,English,USA,PG-13,45000000,611,1.85,304
263,940,31743332,Martin Landau,9 ,111117,1594,English,USA,PG-13,30000000,271,1.85,13000
450,17000,32154410,Channing Tatum,Side Effects ,148327,18469,English,USA,R,30000000,681,1.85,29000
85,1000,28165882,Devin Ratray,The Prince and Me ,31984,3239,English,USA,PG,,530,1.85,0
162,759,26687172,Craig Ferguson,Winnie the Pooh ,15600,1002,English,USA,G,30000000,73,1.85,0
85,577,26096584,Elden Henson,Dumb and Dumberer: When Harry Met Lloyd ,30651,1653,English,USA,PG-13,19000000,291,1.37,1000
110,631,26525834,Warren Beatty,Bulworth ,21998,1023,English,USA,R,30000000,199,1.85,0
165,521,30513940,Tika Sumpter,Get on Up ,15843,2060,English,USA,PG-13,30000000,491,1.85,11000
64,11000,23209440,Meryl Streep,One True Thing ,9283,12785,English,USA,R,30000000,882,1.85,592
44,18000,24048000,Denzel Washington,Virtuosity ,23579,20772,English,USA,R,30000000,723,2.35,0
147,973,22526144,Rainn Wilson,My Super Ex-Girlfriend ,53884,2737,English,USA,PG-13,30000000,776,2.35,1000
242,2000,30523568,Olivia Munn,Deliver Us from Evil ,54447,5697,English,USA,R,30000000,1000,2.35,18000
244,2000,23070045,Ioan Gruffudd,Sanctum ,47003,3892,English,USA,R,30000000,942,1.85,11000
73,1000,20422207,Holly Hunter,Little Black Book ,15052,4369,English,USA,PG-13,35000000,681,2.35,484
232,2000,28644770,Alison Brie,The Five-Year Engagement ,78974,3479,English,USA,R,30000000,401,1.85,11000
63,1000,21800302,Bernie Mac,Mr 3000 ,12164,4462,English,USA,PG-13,30000000,962,1.85,491
239,10000,21129348,Olivia Wilde,The Next Three Days ,146364,11799,English,USA,PG-13,35000000,796,2.35,27000
158,14000,18500966,Milla Jovovich,Ultraviolet ,70341,15271,English,USA,PG-13,30000000,829,1.85,0
152,954,19976073,Brian Dennehy,Assault on Precinct 13 ,65979,3148,English,USA,R,20000000,739,2.35,999
105,978,18967571,Mira Sorvino,The Replacement Killers ,23345,3072,English,USA,R,30000000,968,2.35,629
36,4000,17100000,Salma Hayek,Fled ,7073,6152,English,USA,R,25000000,561,1.85,204
181,19000,17266505,Scarlett Johansson,Eight Legged Freaks ,43764,22554,English,USA,PG-13,30000000,953,2.35,0
219,15000,32357532,Jake Gyllenhaal,Love & Other Drugs ,143368,31278,English,USA,R,30000000,11000,1.85,24000
158,14000,16930884,Al Pacino,88 Minutes ,65628,16722,English,USA,R,30000000,975,2.35,0
155,10000,18324242,Jeremy Renner,North Country ,32815,20563,English,USA,R,35000000,9000,2.35,0
74,13000,16323969,Bruce Willis,The Whole Ten Yards ,45775,18085,English,USA,PG-13,40000000,2000,1.85,462
368,900,16999046,Sarah Polley,Splice ,79517,2222,English,Canada,R,26000000,686,1.85,12000
81,1000,16295774,Lea Thompson,Howard the Duck ,33669,3000,English,USA,PG,35000000,692,1.85,0
154,1000,15709385,Jennifer Ehle,Pride and Glory ,53053,5101,English,USA,R,30000000,807,1.85,0
140,849,14888028,Eddie Cibrian,The Cave ,28606,2178,English,USA,PG-13,30000000,787,2.35,0
73,372,14208384,David Paymer,Alex & Emma ,11520,977,English,USA,PG-13,30000000,206,1.85,625
98,489,12831121,Jessica Paré,Wicker Park ,44979,679,English,USA,PG-13,30000000,93,2.35,0
358,596,18298649,Grace Phipps,Fright Night ,85024,1393,English,USA,R,30000000,343,1.85,23000
222,23000,12712093,Christian Bale,The New World ,70771,27829,English,USA,PG-13,30000000,909,2.35,0
85,811,11576087,Saffron Burrows,Wing Commander ,14747,2497,English,USA,PG-13,30000000,586,2.35,858
62,21000,11900000,Robert Downey Jr.,In Dreams ,11003,22006,English,USA,R,30000000,767,1.85,654
130,473,9353573,Ian Whyte,Dragonball: Evolution ,56451,1100,English,USA,PG,45000000,315,2.35,0
376,971,12026670,Zach Gilford,The Last Stand ,114241,1643,English,USA,R,45000000,236,2.35,24000
130,22000,14334645,Robert De Niro,Godsend ,22449,23352,English,USA,PG-13,25000000,829,2.35,387
65,448,12189514,Annabella Sciorra,Chasing Liberty ,30092,842,English,USA,PG-13,23000000,143,2.35,0
77,1000,10134754,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,5393,English,USA,PG,30000000,857,1.85,0
107,11000,8535575,Morgan Freeman,An Unfinished Life ,24033,11519,English,USA,PG-13,30000000,329,2.35,0
292,10000,7689458,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,11769,English,UK,PG-13,40000000,785,1.85,19000
193,891,7501404,Mark Addy,Barney's Version ,21086,1873,English,Canada,R,,460,2.35,0
16,147,,Ólafur Darri Ólafsson,Trapped             ,2308,307,Icelandic,Iceland,,,63,16.0,0
184,3000,19316646,Justin Timberlake,Runner Runner ,52069,5706,English,USA,R,30000000,697,2.35,0
123,779,10965209,Tyler Labine,Antitrust ,25558,1297,English,USA,PG-13,30000000,240,2.35,0
60,18000,26830000,Denzel Washington,Glory ,101888,32930,English,USA,R,18000000,11000,1.85,0
111,22000,5300000,Robert De Niro,Once Upon a Time in America ,221000,24719,English,Italy,R,30000000,683,1.85,12000
217,3000,10880926,Dominic Cooper,Dead Man Down ,54147,4253,English,USA,R,30000000,678,2.35,0
117,14000,3752725,Al Pacino,The Merchant of Venice ,29715,16252,English,USA,R,18000000,871,2.35,0
105,2000,3517797,Emir Kusturica,The Good Thief ,9004,2759,English,France,R,25000000,378,1.85,287
41,17000,3101301,Channing Tatum,Supercross ,3926,21519,English,USA,PG-13,,2000,1.85,353
124,876,2975649,Emily Watson,Miss Potter ,23864,1518,English,UK,PG,30000000,142,2.35,0
90,489,668171,Dong-gun Jang,The Promise ,8215,949,Mandarin,China,PG-13,60000000,181,2.35,445
110,826,480314,Steve Howey,DOA: Dead or Alive ,38503,4473,English,USA,PG-13,21000000,816,2.35,0
273,11000,3904982,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,22516,English,USA,R,30000000,10000,2.35,0
63,974,127437,Bingbing Li,1911 ,4670,1887,Mandarin,China,R,18000000,643,2.35,0
56,295,,Louise Bourgoin,Little Nicholas ,9214,545,French,France,,,71,1.85,0
130,26000,,Jason Statham,Wild Card ,36487,29773,English,USA,R,30000000,947,2.35,0
134,18000,537580,Gerard Butler,Machine Gun Preacher ,52972,19620,English,USA,R,30000000,1000,2.35,21000
36,1000,,Jim Broadbent,Animals United ,4599,3095,German,Germany,PG,,898,2.39,885
46,113,,Terry Pheto,The Color of Freedom ,10175,143,English,Germany,R,30000000,11,2.35,0
