director_name,actor_3_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Peter Segal,348,Comedy|Crime,George Kennedy,76850,4767,5,retirement|spoof|terrorist|transsexual|undercover,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,85,30000000,1994,459,6.4,1000
John Glen,433,Action|Adventure|Thriller,Patrick Macnee,68565,2943,2,computer|earthquake|microchip|official james bond series|silicon valley,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,300,30000000,1985,439,6.3,0
Steve Box,100,Animation|Comedy|Family|Mystery|Sci-Fi,Mark Gatiss,98160,1145,0,competition|giant vegetable|pest control|stop motion animation|vegetable,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,307,30000000,2005,269,7.5,0
Richard LaGravenese,37,Drama|Romance,Gerard Butler,167967,18726,1,birthday|friendship|hairy chest|letter|widow,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,243,30000000,2007,631,7.1,20000
Frederik Du Chau,521,Adventure|Comedy|Drama|Family|Sport,Bruce Greenwood,12570,2910,0,farm|horse|kentucky|racehorse|zebra,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,86,,2005,934,5.2,771
Joe Wright,286,Drama|Mystery|Romance|War,Benedict Cumberbatch,192930,20499,1,death of sister|dying|loss of virginity|septicemia|sex,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,581,30000000,2007,1000,7.8,12000
Gary Winick,22,Comedy|Drama|Romance,Vanessa Redgrave,74630,1026,1,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,156,30000000,2010,60,6.5,13000
Ridley Scott,237,Action|Crime|Thriller,Stephen Root,39306,1748,2,counterfeit|detective|japan|police chase|yakuza,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,119,30000000,1989,255,6.6,0
Bobby Farrelly,760,Comedy,Kate Upton,25484,6137,0,mule|nun|orphanage|tennis court|the three stooges,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,189,,2012,860,5.1,13000
Tim Burton,973,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,188785,60683,1,arranged marriage|bride|corpse|groom|woods,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,467,40000000,2005,16000,7.4,0
James Gartner,543,Biography|Drama|Sport,Mehcad Brooks,34910,2577,1,coach|college basketball|national championship|ncaa|texas,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,145,,2006,663,7.2,0
Denis Villeneuve,219,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,196217,1467,2,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,461,30000000,2015,221,7.6,59000
Antoine Fuqua,424,Drama|Sport,Jake Gyllenhaal,147128,16881,0,boxer|boxing training|death of wife|male in shower|rage,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,277,30000000,2015,1000,7.5,44000
Sam Raimi,828,Horror|Thriller,Bojana Novakovic,158354,5642,0,evil|fight|hell|psychic|psychologist,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,691,30000000,2009,1000,6.6,11000
Lee Toland Krieger,1000,Drama|Fantasy|Romance,Harrison Ford,93767,15327,1,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,209,25000000,2015,2000,7.2,34000
Tim McCanlies,1000,Comedy|Drama|Family,Haley Joel Osment,43378,9638,1,africa|eyeglasses|money|texas|veteran,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,292,30000000,2003,3000,7.6,0
Jon M. Chu,357,Drama|Music|Romance,Alyson Stoner,47297,4059,0,dance|dance crew|dancer|mortgage|new york city,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,86,30000000,2010,594,6.2,16000
John Stockwell,64,Drama|Romance|Sport,Faizon Love,26066,1165,3,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,216,30000000,2002,495,5.6,0
Marc Forster,77,Comedy|Drama|Fantasy|Romance,Will Ferrell,186977,8362,1,author|fate|novelist|professor|writer,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,529,38000000,2006,189,7.6,13000
David Slade,63,Horror,Danny Huston,138435,814,0,alaska|small town|snow|vampire|winter,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,32000000,2007,72,6.6,0
Drew Goddard,751,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,277172,29551,0,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,986,30000000,2012,821,7.0,66000
Jason Friedberg,362,Comedy,Carmen Electra,88518,3854,0,king|persian|spartan|training|xerxes,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,409,30000000,2008,759,2.7,0
Martin Brest,497,Action|Comedy|Crime|Thriller,Robert De Niro,54042,23866,1,accountant|bounty hunter|fbi|mafia|mob,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,215,30000000,1988,581,7.6,0
Paul Michael Glaser,384,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,112669,2373,1,game of death|government conspiracy|latina|oppression|police,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,226,27000000,1987,571,6.6,0
Frank Oz,413,Comedy|Horror|Musical|Sci-Fi,Bill Murray,49349,15308,2,eclipse|florist|nerd|plant|shop,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,165,25000000,1986,854,6.9,0
Joe Wright,21,Action|Drama|Thriller,Jessica Barden,159198,257,0,assassin|female warrior|martial arts|playground|training,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,438,30000000,2011,33,6.8,38000
,468,Drama|Mystery,Zach Gilford,3322,3295,4,family drama|lie|missing child|political campaign|secret,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,30,,,805,7.5,0
John R. Leonetti,342,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,36363,2266,0,alternate reality|battle|martial arts|mortal kombat|warrior,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,256,30000000,1997,349,3.7,1000
Tom Hanks,392,Comedy|Drama|Romance,Tom Hanks,49205,16827,0,bus stop|college|community college|scooter|speech class,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,184,30000000,2011,839,6.1,0
Kimberly Peirce,534,Drama|Fantasy|Horror,Chloë Grace Moretz,108242,20051,1,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,30000000,2013,2000,5.9,39000
Liz Friedlander,439,Drama|Music,Alfre Woodard,21767,3797,0,ballroom|dance|dance teacher|student|teacher,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,127,30000000,2006,712,6.7,0
,576,Comedy|Drama,Debi Mazar,135643,2867,2,actor|fame|friendship between men|hollywood california|sitcom,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,145,,,638,8.5,0
Phil Joanou,581,Crime|Drama|Sport,Dwayne Johnson,33067,15811,1,alliterative title|football|football coach|football practice|football team,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,134,30000000,2006,2000,6.9,0
Sam Weisman,506,Comedy|Crime,Bernie Mac,12466,3664,0,businessman|ring|thief|vulgarity|washington d.c.,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,84,45000000,2001,611,5.5,304
Shane Acker,265,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,Martin Landau,111117,1594,0,hope|key|machine|number|rag doll,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,245,30000000,2009,271,7.1,13000
Steven Soderbergh,273,Crime|Drama|Thriller,Channing Tatum,148327,18469,0,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,30000000,2013,681,7.1,29000
Martha Coolidge,438,Comedy|Family|Romance,Devin Ratray,31984,3239,1,denmark|king|love|prince|wisconsin,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,154,,2004,530,5.9,0
Stephen J. Anderson,69,Adventure|Animation|Comedy|Family|Musical,Craig Ferguson,15600,1002,0,disney|owl|rabbit|sequel|tiger,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,55,30000000,2011,73,7.3,0
Troy Miller,244,Comedy,Elden Henson,30651,1653,0,1980s|buddy|high school|prequel to cult favorite|teenager,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,267,19000000,2003,291,3.4,1000
Warren Beatty,95,Comedy|Drama|Romance,Warren Beatty,21998,1023,1,hip hop|liberal|politics|senator|truth,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,227,30000000,1998,199,6.8,0
Tate Taylor,400,Biography|Drama|Music,Tika Sumpter,15843,2060,0,1970s|1980s|african american|breaking the fourth wall|mother son relationship,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,104,30000000,2014,491,6.9,11000
Carl Franklin,433,Drama,Meryl Streep,9283,12785,3,cancer|job|love|new york|professor,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,112,30000000,1998,882,7.0,592
Brett Leonard,650,Action|Crime|Sci-Fi|Thriller,Denzel Washington,23579,20772,1,android|ex cop|serial killer|virtual character come to life|virtual reality,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,88,30000000,1995,723,5.5,0
Ivan Reitman,560,Comedy|Romance|Sci-Fi,Rainn Wilson,53884,2737,1,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,203,30000000,2006,776,5.1,1000
Scott Derrickson,897,Horror|Mystery|Thriller,Olivia Munn,54447,5697,0,confession|demonic possession|exorcism|flickering light|priest,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,201,30000000,2014,1000,6.2,18000
Alister Grierson,653,Adventure|Drama|Thriller,Ioan Gruffudd,47003,3892,0,cave|expedition|panic|rebreather|underwater,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,215,30000000,2011,942,5.9,11000
Nick Hurran,642,Comedy|Drama|Romance,Holly Hunter,15052,4369,1,electronic devices|gynecologist|little black book|plan|set up,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,116,35000000,2004,681,5.2,484
Nicholas Stoller,372,Comedy|Romance,Alison Brie,78974,3479,2,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,141,30000000,2012,401,6.2,11000
Charles Stone III,635,Comedy|Drama|Romance|Sport,Bernie Mac,12164,4462,1,baseball|baseball movie|cartoon on tv|dodge viper|retirement,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,63,30000000,2004,962,5.5,491
Paul Haggis,343,Crime|Drama|Romance|Thriller,Olivia Wilde,146364,11799,0,argument|evidence|fingerprints|murder|murder weapon,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,237,35000000,2010,796,7.4,27000
Kurt Wimmer,277,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,70341,15271,1,boy|disease|hemophagia|speed|vampire,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,830,30000000,2006,829,4.4,0
Jean-François Richet,431,Action|Crime|Drama|Thriller,Brian Dennehy,65979,3148,1,criminal|mobster|new year's eve|police|sergeant,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,220,20000000,2005,739,6.3,999
Antoine Fuqua,488,Action|Crime|Thriller,Mira Sorvino,23345,3072,2,forger|hitman|passport|police|replacement,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,167,30000000,1998,968,6.1,629
Kevin Hooks,537,Action|Adventure|Crime|Drama|Romance,Salma Hayek,7073,6152,1,disk|floppy disk|mafia|prison|prisoner,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,29,25000000,1996,561,5.3,204
Ellory Elkayem,762,Action|Comedy|Horror,Scarlett Johansson,43764,22554,1,creature feature|human versus spider|spider|spider feature|woman sheriff,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,291,30000000,2002,953,5.4,0
Edward Zwick,2000,Comedy|Drama|Romance,Jake Gyllenhaal,143368,31278,0,female nudity|male objectification|pfizer|viagra|zoloft,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,215,30000000,2010,11000,6.7,24000
Jon Avnet,494,Crime|Drama|Mystery|Thriller,Al Pacino,65628,16722,1,death|fbi|forensics|murder|serial killer,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,262,30000000,2007,975,5.9,0
Niki Caro,874,Drama,Jeremy Renner,32815,20563,4,based on true story|innocence|lawsuit|mine|sexual harassment,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,214,35000000,2005,9000,7.3,0
Howard Deutch,900,Comedy|Crime|Thriller,Bruce Willis,45775,18085,5,dentist|face slap|flashback|hitman|killing an animal,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,112,40000000,2004,2000,5.5,462
Vincenzo Natali,559,Drama|Horror|Sci-Fi,Sarah Polley,79517,2222,0,dna|experiment|genetics|interspecies sex|scientist,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,354,26000000,2009,686,5.8,12000
Willard Huyck,322,Action|Adventure|Comedy|Romance|Sci-Fi,Lea Thompson,33669,3000,1,alien|duck|laser|planet|singer,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,269,35000000,1986,692,4.6,0
Gavin O'Connor,798,Crime|Drama|Thriller,Jennifer Ehle,53053,5101,0,brother in law|corruption|drug dealer|drugs|police,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,132,30000000,2008,807,6.7,0
Bruce Hunt,258,Adventure|Horror|Thriller,Eddie Cibrian,28606,2178,0,cave|diver|diving|flare|parasite,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,262,30000000,2005,787,5.1,0
Rob Reiner,130,Comedy|Romance,David Paymer,11520,977,2,gambling|novel|stenographer|writer|writer's block,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,105,30000000,2003,206,5.6,625
Paul McGuigan,40,Drama|Mystery|Romance|Thriller,Jessica Paré,44979,679,0,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,30000000,2004,93,7.0,0
Craig Gillespie,133,Comedy|Horror,Grace Phipps,85024,1393,1,neighbor|remake|suburb|teenager|vampire,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,242,30000000,2011,343,6.4,23000
Terrence Malick,855,Biography|Drama|History|Romance,Christian Bale,70771,27829,0,captain|fort|love|native american|trade,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,671,30000000,2005,909,6.7,0
Chris Roberts,362,Action|Adventure|Sci-Fi,Saffron Burrows,14747,2497,3,27th century|fighter pilot|orchestral music score|outer space|space opera,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,30000000,1999,586,4.1,858
Neil Jordan,210,Drama|Fantasy|Thriller,Robert Downey Jr.,11003,22006,0,dream|mental institution|padded cell|serial killer|suicide attempt,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,30000000,1999,767,5.5,654
James Wong,99,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ian Whyte,56451,1100,0,bad|dragon|grandfather|orb|warrior,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,524,45000000,2009,315,2.7,0
Jee-woon Kim,165,Action|Crime|Thriller,Zach Gilford,114241,1643,2,deputy|escape|fbi|modern western|sheriff,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,258,45000000,2013,236,6.4,24000
Nick Hamm,353,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,22449,23352,1,birthday|boy|clone|cloning|doctor,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,191,25000000,2004,829,4.8,387
Andy Cadiff,120,Comedy|Romance,Annabella Sciorra,30092,842,0,first daughter|photographer|prague|president|secret service agent,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,23000000,2004,143,6.1,0
Mike Disa,843,Animation|Comedy|Family,Amy Poehler,9682,5393,0,3 dimensional|box office flop|critically bashed|red riding hood|wolf,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,38,30000000,2011,857,4.8,0
Lasse Hallström,83,Drama,Morgan Freeman,24033,11519,3,abusive boyfriend|bear|car accident|ranch|wyoming,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,152,30000000,2005,329,7.0,0
Terry Gilliam,645,Adventure|Fantasy|Mystery,Andrew Garfield,126307,11769,1,birthday|bridge|midget|rescue|sideshow,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,210,40000000,2009,785,6.8,19000
Richard J. Lewis,329,Comedy|Drama,Mark Addy,21086,1873,2,ex wife|guest|marriage|memory|montreal,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,87,,2010,460,7.3,0
,51,Crime|Drama|Thriller,Ólafur Darri Ólafsson,2308,307,0,coastal town|iceland|police|snowstorm|winter storm,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,19,,,63,8.2,0
Brad Furman,681,Crime|Thriller,Justin Timberlake,52069,5706,3,costa rica|fbi agent|gambling|money|online gambling,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,95,30000000,2013,697,5.6,0
Peter Howitt,91,Action|Crime|Drama|Thriller,Tyler Labine,25558,1297,2,boss|communications|computer|genius|job,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,221,30000000,2001,240,6.1,0
Edward Zwick,2000,Drama|History|War,Denzel Washington,101888,32930,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,18000000,1989,11000,7.9,0
Sergio Leone,642,Crime|Drama,Robert De Niro,221000,24719,8,1920s|ambiguity|childhood friend|new york|speakeasy,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,495,30000000,1984,683,8.4,12000
Niels Arden Oplev,174,Action|Crime|Drama|Thriller,Dominic Cooper,54147,4253,2,crime lord|dead body|dead body in a freezer|new york city|truck explosion,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,127,30000000,2013,678,6.5,0
Michael Radford,548,Drama|Romance,Al Pacino,29715,16252,3,debt|jew|loan|merchant|pound of flesh,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,161,18000000,2004,871,7.1,0
Neil Jordan,345,Action|Crime|Drama|Romance|Thriller,Emir Kusturica,9004,2759,0,casino|french riviera|gambler|heist|partner,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,103,25000000,2002,378,6.6,287
Steve Boyum,826,Action|Drama|Romance|Sport,Channing Tatum,3926,21519,1,one word title|paddock|supercross|swimming pool|winning,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,38,,2005,2000,4.0,353
Chris Noonan,135,Biography|Drama|Romance,Emily Watson,23864,1518,1,book|children|friend|illustrator|letter,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,142,30000000,2006,142,7.0,0
Kaige Chen,107,Action|Drama|Fantasy,Dong-gun Jang,8215,949,0,armor|general|king|princess|slave,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,132,60000000,2005,181,5.6,445
Corey Yuen,748,Action|Adventure,Steve Howey,38503,4473,4,female fighter|island|martial arts|parachute|tournament,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,180,21000000,2006,816,4.8,0
Andrew Dominik,820,Biography|Crime|Drama|History|Western,Brad Pitt,136104,22516,0,long title|outlaw|robbery|train|train robbery,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,415,30000000,2007,10000,7.5,0
Li Zhang,187,Action|Adventure|Drama|History|War,Bingbing Li,4670,1887,0,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,27,18000000,2011,643,6.0,0
Laurent Tirard,55,Comedy|Family,Louise Bourgoin,9214,545,7,baby|dinner|family relationships|school|three word title,http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,17,,2009,71,7.2,0
Simon West,700,Action|Crime|Drama|Thriller,Jason Statham,36487,29773,0,bodyguard|criminal|gambling|mob boss|thug,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,114,30000000,2015,947,5.6,0
Marc Forster,313,Action|Biography|Crime|Drama,Gerard Butler,52972,19620,1,africa|biker|church|orphanage|preacher,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,124,30000000,2011,1000,6.8,21000
Reinhard Klooss,480,Animation|Comedy|Family,Jim Broadbent,4599,3095,0,animal|crane the bird|dam|hoover dam|shark,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,44,,2010,898,4.9,885
Bille August,11,Biography|Drama|History,Terry Pheto,10175,143,1,african national congress|father daughter relationship|film starts with text|nelson mandela|violence,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,23,30000000,2007,11,7.1,0
Frédéric Auburtin,432,Drama|History|Sport,Fisher Stevens,3279,2725,4,20th century|association|fifa|football|world cup,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,22,24000000,2014,919,2.0,0
Olivier Dahan,520,Biography|Drama|Romance,Paz Vega,12410,2806,3,1960s|grace kelly|hollywood star|monaco|prince,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,62,30000000,2014,903,5.7,6000
Maksim Fadeev,21,Adventure|Animation|Fantasy,Konstantin Khabenskiy,393,229,1,battle|creature|hyena|monkey|village,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,7,30000000,2015,35,4.1,161
Liliana Cavani,24,Crime|Drama|Mystery|Thriller,Ray Winstone,14618,1831,0,art forgery|concert|dying|picture framer|villa,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,108,30000000,2002,794,6.7,447
Greg Tiernan,365,Adventure|Animation|Comedy|Fantasy,James Franco,3302,15795,0,bread|coarse language|f word|sausage|tricked into lesbian sex,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,14,19000000,2016,4000,7.5,13000
Elizabeth Banks,751,Comedy|Music,Anna Kendrick,97697,13159,8,2010s|a cappella|box office hit|second part|sequel,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,185,29000000,2015,1000,6.5,40000
James Mangold,154,Biography|Drama|Music|Romance,Sandra Ellis Lafferty,188637,1383,0,1960s|accident|concert|guitar|prison,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,815,28000000,2005,405,7.9,11000
,442,Adventure|Drama|Mystery|Sci-Fi|Thriller,Amanda Schull,20839,3309,0,epidemic|mission|paradox|plague|virus,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,56,,,641,7.6,12000
Edward Norton,754,Comedy|Drama|Romance,Lisa Edelstein,44816,5404,3,celibacy|jewish|priest|rabbi|synagogue,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,259,30000000,2000,869,6.4,0
Peter Hewitt,373,Adventure|Comedy|Family|Fantasy,Jim Broadbent,16222,2056,0,child's point of view|house|lawyer|real estate|washing machine,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,39,29000000,1997,409,5.8,0
Ron Howard,1000,Drama,Toby Jones,88682,6161,1,american president|political drama|scandal|u.s. president|washington post the newspaper,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,241,35000000,2008,1000,7.7,0
George Clooney,89,Biography|Comedy|Crime|Drama|Romance|Thriller,Dick Clark,71596,810,0,broken nose|kgb|marriage proposal|playboy mansion|sistine chapel,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,276,29000000,2002,147,7.1,3000
Reginald Hudlin,584,Comedy|Romance,Matthew Perry,14315,4169,2,divorce|divorce papers|new york|process server|texas,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,101,29000000,2002,719,5.3,201
