num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio
232,549,883,6777589,James Franco,60115,24248,Barry Corbin,224,English,R,7.2,2.35
165,105,64,6109075,Alessandro Nivola,32003,735,Marie Gillain,65,French,PG-13,6.7,2.35
45,78,720,,Demi Moore,4693,4142,Michael Wincott,49,English,R,6.3,2.35
155,350,30,2708188,Tom Burke,8924,365,Gaye Brown,43,English,R,6.2,2.35
6,,543,,Cole Hauser,1781,3276,Derek Luke,23,English,,6.8,
118,300,73,16123851,Romola Garai,17373,1618,Lillete Dubey,148,English,PG-13,6.2,2.35
55,3,107,,Bingbing Fan,6263,1059,Nicholas Tse,33,Mandarin,,6.9,2.35
314,101,23,71975611,Drew Powell,209396,214,Alexandra Silber,580,English,PG-13,6.8,2.35
103,0,542,38119483,Joan Rivers,136667,2936,Michael Winslow,273,English,PG,7.1,1.85
183,0,234,4190530,Cem Yilmaz,53341,1795,Steve Bastoni,185,English,R,7.1,2.35
77,109,71,217631306,Demi Moore,154199,3100,Phil Leeds,252,English,PG-13,7.0,1.85
171,101,743,176483808,Sarah Silverman,247289,4664,Richard Tyson,611,English,R,7.1,1.85
64,11,595,144833357,Judge Reinhold,64742,2790,Peter Boyle,111,English,PG,6.4,1.85
92,102,1000,75597042,Dennis Quaid,26434,6657,Angus T. Jones,174,English,G,7.0,2.35
112,99,835,90636983,Dwayne Johnson,44021,15170,Madison Pettis,83,English,PG,6.2,2.35
69,16000,86,70960517,Clint Eastwood,54631,27237,Debra Monk,192,English,PG-13,7.5,1.85
75,42,182,55762229,Louis Lombardi,47383,1203,Colleen Haskell,132,English,PG-13,4.8,1.85
95,0,249,,Candice Bergen,171726,1943,John Gielgud,256,English,PG,8.1,2.35
180,529,171,54235441,Manish Dayal,52894,1484,Juhi Chawla,185,English,PG,7.3,2.35
53,34,287,50728000,Ken Howard,48909,1725,Ray McKinnon,166,English,PG-13,5.8,1.85
129,24,506,40270895,Dianne Wiest,121937,3152,Richard Schiff,431,English,PG-13,7.6,1.85
61,25,55,59696176,Roma Downey,15448,775,Darwin Shaw,174,English,PG-13,5.6,2.35
226,235,105,51483949,Sophia Myles,208092,1777,Shane Brolly,806,English,R,7.0,2.35
116,101,218,36020063,Denis O'Hare,62584,2019,Xzibit,375,English,R,6.6,2.35
248,0,690,33313582,Matt Damon,52888,16031,Thomas F. Wilson,175,English,R,6.5,1.85
23,0,266,25842000,Anthony Hopkins,13455,13619,Julian Fellowes,87,English,PG,7.4,2.35
98,2,137,22264487,Carlos Ponce,41239,1729,Charles Keating,166,English,R,4.6,1.85
168,31,110,30659817,Jack Reynor,59805,1006,Matthew Daddario,95,English,PG-13,6.4,2.35
159,118,287,5773519,Daniel Radcliffe,28621,12876,Daniel Mays,91,English,PG-13,6.0,2.35
134,24,100,3108216,Radivoje Bukvic,2587,540,Grigoriy Dobrygin,21,English,R,6.4,2.35
97,221,110,19351569,Amanda Detmer,33287,664,Kyle Gass,201,English,PG-13,5.9,1.85
88,42,517,49002815,Zachary Gordon,15665,3153,Karan Brar,35,English,PG,6.4,2.35
85,0,854,19283782,Mira Sorvino,31227,5386,Mike Starr,354,English,R,6.6,1.85
181,0,898,30059386,Will Ferrell,128593,11632,Jason Mewes,867,English,R,6.9,2.35
257,0,3000,35799026,Scarlett Johansson,263336,34838,Djimon Hounsou,899,English,PG-13,6.9,2.35
95,12,595,17951431,Chris Noth,25462,4239,Trevor Morgan,200,English,PG-13,5.8,2.35
423,1000,1000,29997095,Scarlett Johansson,60926,38494,Alden Ehrenreich,302,English,PG-13,6.4,1.85
93,4,83,14252830,Rosario Dawson,18900,3769,Aries Spears,242,English,PG-13,5.3,1.85
203,39,798,19783777,Jason Statham,82804,39989,Frank Grillo,154,English,R,6.5,2.35
38,34,368,13555988,Richard E. Grant,7242,2216,Alice Krige,38,English,PG,5.7,1.85
183,737,678,12784713,Naomi Watts,56813,8094,Isabelle Huppert,381,English,R,6.7,2.35
75,87,691,10696210,CCH Pounder,35018,3148,Mako,180,English,PG-13,3.9,1.85
18,53,576,5974653,Michael Biehn,2253,4221,Franco Nero,111,English,PG-13,4.1,1.85
22,688,42,5000000,Rock Hudson,1547,788,Jeremy Kemp,50,English,G,6.2,2.35
41,37,795,9694105,Brendan Fraser,8176,5568,Eric Idle,77,English,PG,3.8,2.35
148,11,150,16027866,Ed Skrein,26767,1411,Radivoje Bukvic,121,English,PG-13,5.1,2.35
111,2,567,4829497,Johnny Depp,31433,42484,Richard Coyle,260,English,R,6.4,2.35
231,719,104,4398392,Michiel Huisman,59507,2590,Christian Berkel,232,Dutch,R,7.8,2.35
115,13,140,1050445,Gary Lewis,21394,773,Ian Richardson,147,French,PG-13,7.8,2.35
176,21,552,13746550,Bradley Cooper,29322,15922,Beau Bridges,104,English,R,6.1,2.35
98,144,290,20668843,Stephen Root,16831,2453,Roger Cross,54,English,PG-13,5.8,2.35
149,17,231,2963012,Colin Firth,48873,14617,Anne-Marie Duff,105,English,R,6.3,2.35
84,607,35,,Roy Scheider,9513,1011,Amidou,116,English,PG,7.7,1.85
138,43,827,1796024,Robert De Niro,34985,37766,Frances Conroy,135,English,R,5.4,2.35
78,2,80,634277,Romain Duris,5166,1651,Fabrice Luchini,27,French,PG-13,7.3,2.35
288,108,120,11326836,Christian Bale,83171,24134,Dendrie Taylor,231,English,R,6.8,2.35
299,209,521,49024969,Tom Wilkinson,133367,3284,Sydney Pollack,363,English,R,7.3,2.35
27,88,812,22294341,Wilford Brimley,12278,4629,Sela Ward,71,English,PG-13,6.5,1.85
155,89,442,24362501,Jeff Bridges,69980,13576,Hope Davis,591,English,R,7.2,2.35
82,195,0,,Pablo Rago,6920,30,Gabriel Almirón,22,Spanish,PG,6.7,2.35
275,11000,159,16684352,Ornella Muti,67893,1205,Alessandra Mastronardi,163,English,R,6.3,1.85
43,16000,216,46700000,Clint Eastwood,19832,16805,Kenneth Colley,98,English,PG,5.9,2.35
163,406,406,52008288,Minnie Driver,162037,3003,Trey Parker,928,English,R,7.8,1.85
168,0,548,8579684,Peter Dinklage,89547,24324,Kris Marshall,199,English,R,7.4,1.85
60,8,199,42660000,Paige Turco,25086,1254,Matt Hill,87,English,PG,4.8,1.85
85,48,39,40219708,Keanu Reeves,22649,18630,DeWayne Warren,131,English,PG-13,6.3,1.85
539,737,14000,132088910,Jennifer Lawrence,533607,72115,Bradley Cooper,692,English,R,7.8,2.35
84,98,579,36581633,Hunter Parrish,52533,3994,Imelda Staunton,235,English,PG-13,7.5,1.85
75,0,637,37721949,Omari Hardwick,6067,6035,Kimberly Elise,73,English,R,6.0,1.85
171,255,447,25296447,Jason Statham,237248,27572,Matt Schulze,460,English,PG-13,6.8,2.35
140,65,149,24848292,Djimon Hounsou,80556,4089,Leslie Hope,184,English,PG-13,6.6,2.35
85,52,484,17757087,Jason London,13065,3162,Eddie Kaye Thomas,253,English,R,4.6,1.85
5,,,,Chris Harrison,4398,98,,33,English,,2.9,
217,0,374,9430988,Catherine O'Hara,45992,1997,Carmen Ejogo,115,English,R,7.1,2.35
131,0,886,16284360,Madeline Carroll,15079,6212,Nathan Lane,79,English,PG-13,6.1,2.35
111,52,347,6830957,Jake Gyllenhaal,11983,16692,Bob Clendenin,147,English,PG-13,6.7,2.35
466,140,10000,24104113,Benedict Cumberbatch,149066,46241,Gary Oldman,517,English,R,7.1,2.35
16,18,186,15593,Elaine Hendrix,2295,1562,Sarah Wynter,40,English,PG-13,5.8,1.85
276,0,220,958319,Jennifer Lawrence,39764,34705,Riley Thomas Stewart,148,English,PG-13,6.7,2.35
11,19,842,69700000,Dolly Parton,7748,3688,Dom DeLuise,48,English,R,5.8,2.35
196,0,716,2840417,Jennifer Jason Leigh,77493,2990,Callum Rennie,527,English,R,6.8,1.85
234,14000,488,242374454,Harrison Ford,661017,12906,William Hootkins,771,English,PG,8.5,2.35
37,0,1000,173585516,Macaulay Culkin,200077,7860,Devin Ratray,189,English,PG,6.6,1.85
171,14000,252,128300000,Bob Balaban,139288,1591,Melinda Dillon,339,English,PG,7.7,2.35
148,2,807,20259297,Ian Somerhalder,24969,19952,Rick Gonzalez,258,English,PG-13,4.7,2.35
50,12000,605,153665036,Dean Stockwell,84824,4121,Ronny Cox,95,English,R,6.4,2.35
121,163,338,132541238,Angus T. Jones,30058,2505,Steve Harris,236,English,PG-13,5.5,2.35
185,438,173,130727000,Anthony Hopkins,887467,13184,Anthony Heald,916,English,R,8.6,1.85
61,122,617,121697350,Tia Carrere,114610,4263,Kurt Fuller,176,English,PG-13,7.0,1.85
156,79,218,117224271,Bam Margera,47794,1787,Chris Pontius,81,English,R,7.1,1.78
75,82,85,102922376,Roy Scheider,51314,1520,Joseph Mascolo,265,English,PG,5.7,2.35
100,67,597,94497271,Jamie Lee Curtis,17829,4729,Ali Hillis,99,English,PG,3.7,2.35
511,0,697,137387272,Mackenzie Foy,300110,9049,Hayley McFarland,807,English,R,7.5,2.35
75,32,563,82301521,Nia Long,22679,3558,Jay Mohr,149,English,PG,4.6,1.85
148,265,265,84518155,Gary Cole,35965,2654,Ben Falcone,144,English,R,4.9,1.85
253,154,501,80050171,Sarah Roemer,186984,2287,Jose Pablo Cantillo,491,English,PG-13,6.9,1.85
204,0,487,81257845,Miranda Cosgrove,210680,4403,Mike White,479,English,PG-13,7.1,1.85
72,545,545,70360285,Christopher Lambert,81783,3816,Bridgette Wilson-Sampras,283,English,PG-13,5.8,1.85
98,118,40,12831121,Jessica Paré,44979,679,Mark Camacho,298,English,PG-13,7.0,2.35
62,322,861,69148997,Busy Philipps,98794,6313,Brittany Daniel,251,English,PG-13,5.4,1.85
549,729,552,82624961,Shailene Woodley,205284,9578,Beau Bridges,439,English,R,7.3,2.35
106,99,165,67325559,Tim Blake Nelson,58222,1293,Ski Carr,331,English,PG,7.1,1.85
123,30,318,62933793,Kelly Preston,62421,2341,Melissa Ordway,185,English,PG,5.8,2.35
597,0,500,56667870,Quvenzhané Wallis,439176,4251,Taran Killam,695,English,R,8.1,2.35
64,30,284,56398162,Leonard Roberts,28649,2390,Jason Weaver,185,English,PG-13,5.7,2.35
40,0,721,60072596,Michael Jai White,7664,6657,Tasha Smith,68,English,PG-13,4.4,1.85
111,13000,658,56362352,Johnny Depp,357581,42330,Conchata Ferrell,588,English,PG-13,7.9,1.85
151,17,418,56154094,Sam Claflin,44723,21852,Brendan Coyle,130,English,PG-13,7.6,2.35
31,0,582,65623128,John Amos,7354,2753,Romeo Miller,50,English,PG-13,4.8,1.85
138,607,109,,Roy Scheider,82476,1196,Tony Lo Bianco,280,English,R,7.8,1.85
81,24,851,55461307,Mila Kunis,4654,18786,Jada Pinkett Smith,46,English,R,6.7,
99,64,729,48546578,Alyson Hannigan,50415,6539,Fred Willard,613,English,PG-13,2.7,1.85
80,2,434,48423368,Roger Rees,13324,3402,Spencer Breslin,79,English,G,5.8,1.66
364,151,852,52066000,David Oyelowo,61114,3869,Oprah Winfrey,212,English,PG-13,7.5,2.35
85,0,384,47887943,Haley Joel Osment,11634,4480,Tony Jay,58,English,G,5.4,1.85
140,19,349,46363118,Barry Watson,25960,1383,Charles Mesure,389,English,PG-13,4.1,1.85
184,9,107,47852604,Nia Long,62364,1825,Marc Macaulay,337,English,PG-13,5.9,2.35
89,25,16,45542421,Kath Soucie,13319,575,Ken Sansom,53,English,G,6.3,1.78
265,174,602,41573740,Jimmy Bennett,141663,88953,Aryana Engineer,383,English,R,7.0,1.85
61,132,455,42652003,Jay Hernandez,18915,2851,Edgar Arreola,87,English,PG,6.8,2.35
3,,295,,Lamman Rucker,1922,1530,Denise Boutte,20,English,,3.5,1.85
112,82,729,39737645,David Carradine,89687,4293,Fred Willard,666,English,PG-13,2.3,1.85
166,468,183,37567440,William Smith,113068,2024,Sandahl Bergman,337,English,R,6.9,2.35
474,310,77,44988180,Billy Crudup,195333,1058,Brian d'Arcy James,409,English,R,8.1,1.85
165,119,332,39263506,Jay Hernandez,40469,2382,Robert Pine,135,English,PG-13,6.1,2.35
131,70,464,39143839,Sarah Michelle Gellar,38658,5746,Matthew Knight,284,English,PG-13,5.0,1.85
29,8,232,37672350,Richard Lawson,5427,1660,Barry Shabaka Henley,51,English,R,5.5,1.85
43,12,636,38037513,Keanu Reeves,49680,20188,Alex Winter,117,English,PG,6.2,1.85
111,272,1000,37442180,Robin Williams,28005,52571,Amy Poehler,236,English,PG-13,6.2,2.35
90,20,160,,Robert Forster,18481,2110,Yvette Mimieux,230,English,PG,5.9,2.35
333,210,101,35596227,Violante Placido,79461,1454,Filippo Timi,463,English,R,6.3,2.35
37,16,399,35422828,Jon Seda,19126,1735,Jacob Vargas,155,English,PG,6.7,2.35
122,82,354,36658108,Diedrich Bader,39095,2898,Anneliese van der Pol,187,English,PG-13,3.5,1.85
285,0,51,34300771,Brad Pitt,243799,11248,Dermot Crowley,908,English,R,7.5,1.85
156,189,949,34290142,Tina Fey,54242,4662,Jane Fonda,145,English,R,6.6,2.35
293,53,652,33422556,Philip Seymour Hoffman,99236,33903,Carrie Preston,321,English,PG-13,7.5,1.85
233,406,406,32774834,Jeremy Shada,136048,2609,Trey Parker,700,English,R,7.2,2.35
282,34,322,34334256,Gunnar Hansen,35131,1945,Shaun Sipos,255,English,R,4.8,2.35
57,36,631,32051917,William McNamara,42315,12338,Harry Connick Jr.,140,English,R,6.6,2.35
153,92,636,32014289,Marisa Saks,50337,34319,Molly Shannon,177,English,PG-13,3.5,1.85
20,32,417,,Clint Eastwood,9352,17775,Ray Walston,106,English,PG-13,6.7,2.35
324,835,755,31838002,James Franco,136673,13189,Lucas Grabeel,281,English,R,7.6,1.85
122,58,47,36874745,Peter Firth,12276,389,María Botto,117,English,PG-13,6.3,2.35
156,17,78,30079316,Isaiah Washington,75920,1083,Francesca Rettondini,474,English,R,5.5,1.85
161,12,587,35033759,Patton Oswalt,55008,2462,Paula Garcés,93,English,R,6.3,2.35
69,39,254,29753944,Bill Murray,90677,14275,Jeff Perry,389,English,R,6.5,2.35
121,29,429,29062561,Sela Ward,23424,3292,Skyler Samuels,119,English,PG-13,5.6,2.35
258,108,22,31146570,Tom Wilkinson,55441,1136,Romi Aboulafia,165,English,R,6.9,2.35
174,350,619,27277055,Drake Bell,143137,3141,Lisa Bonet,602,English,R,7.6,1.85
141,2,270,26876529,Johnny Lewis,26624,1834,Margaret Cho,189,English,PG-13,3.9,1.85
31,154,497,53146000,Joe Mantegna,9845,3174,Philip Baker Hall,77,English,R,6.1,1.85
222,79,287,30028592,Jason Statham,152247,27755,Daniel Mays,189,English,R,7.3,2.35
273,1000,1000,34126138,Kate Winslet,666937,19364,Tom Wilkinson,1514,English,R,8.3,1.85
91,99,518,25677801,Jamie Lee Curtis,41273,4813,Christine Lakin,136,English,PG,5.8,2.35
190,453,2000,26415649,Keanu Reeves,94892,33878,Noel Gugliemi,189,English,R,6.8,2.35
427,1000,24,26003149,Michael Smiley,185587,278,Jasper Levine,401,English,R,7.0,2.35
93,26,650,25584685,Kay Panabaker,15877,3327,Tate Donovan,102,English,PG,5.9,2.35
292,35,16,29975979,Jay Laga'aia,105797,189,Tiffany Lamb,281,English,R,6.5,2.35
180,14,756,31584722,Mike Vogel,101730,5707,Geoff Stults,131,English,R,6.4,2.35
94,15,350,23179303,Leighton Meester,32951,4257,Brett Cullen,44,English,PG,5.8,1.85
112,19,806,23078294,Adam Goldberg,25870,3590,Samaire Armstrong,281,English,PG-13,5.1,2.35
20,23,748,21413105,Alan Rickman,15230,45841,Ben Mendelsohn,97,English,PG-13,6.8,2.35
84,0,518,25077977,Kevin Sussman,10986,2486,Christine Lakin,84,English,PG,5.3,1.85
120,212,637,23292105,Laura Ramsey,39541,3261,Toby Hemingway,334,English,PG-13,5.3,2.35
90,31,733,26870825,Jeff Bridges,22604,14903,John Patrick Amedori,124,English,PG-13,6.4,1.85
103,0,470,20916309,Jimmy Bennett,5332,88422,Jake Short,37,English,PG,4.9,1.85
59,835,458,21200000,Kurtwood Smith,34774,3598,Holland Taylor,162,English,R,6.8,1.85
86,24,374,28876924,Samira Wiley,4303,1780,Emily Meade,35,English,PG-13,7.1,
190,0,107,20207003,Viggo Mortensen,50198,10507,Tom Bower,202,English,R,6.8,2.35
114,0,877,20241395,Sheryl Lee,42664,5123,Maximilian Schell,403,English,R,6.1,2.35
6,,,,Pablo Sevilla,12417,0,,51,Japanese,,7.0,
290,13000,285,32000000,Janet Leigh,422432,1885,John Gavin,1040,English,R,8.5,1.85
80,41,490,19151864,Dane Cook,36983,3301,Riki Lindhome,100,English,R,5.9,1.85
98,19,942,23393765,Alex Pettyfer,31323,18760,Rhys Wakefield,76,English,PG-13,6.3,2.35
88,0,949,18882880,Hector Elizondo,20539,4039,Jane Fonda,125,English,R,5.9,2.35
13,15,281,8500000,Mako,2061,1761,Billy Barty,34,English,PG,5.4,1.78
52,503,83,,Matthew Broderick,33597,2251,Leo McKern,185,English,PG-13,7.0,2.35
60,160,271,18252684,Oliver Platt,18366,1816,Dana Ivey,219,English,PG,6.9,1.85
154,57,905,19661987,Adam Sandler,83786,17050,John de Lancie,231,English,R,7.5,2.35
274,0,826,18352454,Kristen Stewart,426359,18752,Hal Holbrook,760,English,R,8.2,2.35
110,480,579,17803796,Jon Heder,26100,4374,Jacinda Barrett,97,English,PG-13,5.9,2.35
173,83,206,17529157,Radha Mitchell,49888,2173,Martin Donovan,220,English,R,5.0,2.35
165,0,844,25753840,Quentin Tarantino,219091,23296,Cheech Marin,592,English,R,7.3,1.85
45,0,253,18081626,Kath Soucie,4180,861,John Fiedler,32,English,G,6.4,1.85
45,0,801,17518220,Robert Downey Jr.,9105,25263,Steve Guttenberg,76,English,PG-13,6.6,1.85
377,0,59,17104669,Shengyi Huang,99353,537,Qiu Yuen,354,Cantonese,R,7.8,2.35
,,215,,Leah Remini,114,1557,Sharon Lawrence,6,English,,6.7,1.33
43,0,939,16988996,Haley Joel Osment,3875,8189,Stephen Root,75,English,G,4.0,1.85
201,395,161,15797907,Mustafa Haidari,68119,904,Khalid Abdalla,230,Dari,PG-13,7.6,2.35
192,0,430,16248701,Naomi Watts,189683,7567,Danny Huston,559,English,R,7.7,1.85
77,2,472,15712072,Cole Hauser,13210,2915,Kelly Carlson,138,English,PG-13,5.8,2.35
350,308,10000,191449475,Kristen Stewart,348010,44061,Anna Kendrick,1535,English,PG-13,5.2,2.35
81,13,499,15408822,Thomas Lennon,14147,2698,James Brolin,92,English,PG-13,5.6,1.85
81,143,153,15464026,Andy Dick,23076,1189,Zak Orth,158,English,PG-13,5.3,1.85
222,909,173,14359793,Ronald Reagan,35137,2327,Bernie Sanders,188,English,R,7.4,1.85
27,126,202,8000000,Martin Landau,6484,1934,José Ferrer,100,English,G,6.6,2.76
155,53,233,,Julia Roberts,20186,9941,Joe Cole,81,English,PG-13,6.2,2.35
111,82,329,14174654,Carmen Electra,74945,2857,Ike Barinholtz,359,English,PG-13,1.9,1.85
107,190,163,15988876,Andrew Fiscella,26236,137712,Lorna Raver,110,English,PG-13,5.7,2.35
34,36,507,13801755,Bill Murray,23928,15183,Joanne Whalley,100,English,PG,6.6,1.85
151,20,783,13987482,Chris Evans,58957,15713,Ed Begley Jr.,91,English,R,6.0,1.85
289,4,80,14291570,Joseph Gilgun,82082,1414,Jacky Ido,236,English,PG-13,6.1,2.35
76,272,62,12181484,Amy Poehler,26390,1189,Sam Lerner,176,English,PG-13,4.8,1.85
150,83,926,13630226,Jason Statham,112516,30541,David Carradine,223,English,R,6.2,1.85
67,11000,967,13383737,Jim Broadbent,29385,4302,Dianne Wiest,86,English,R,7.5,1.85
36,6,85,13391174,James Callis,5796,908,Nimrat Kaur,177,English,PG,6.3,2.35
149,176,83,12987647,Brendan Fraser,24019,3431,Holmes Osborne,199,English,R,7.1,2.35
156,563,385,12469811,Nicolas Cage,69172,13156,Michael Rispoli,316,English,R,6.6,1.85
64,394,565,12398628,Fisher Stevens,21542,2880,Jon Seda,88,English,R,6.1,2.35
210,192,31,13214030,Aasif Mandvi,60516,500,Jordan Carlos,147,English,PG-13,6.7,1.85
113,212,347,12232937,Taylor Cole,22823,2799,Nick Gomez,113,English,PG-13,5.6,2.35
390,198,884,12134420,Chloë Grace Moretz,92237,20258,Kodi Smit-McPhee,366,English,R,7.2,2.35
5,18,181,11784000,Victor Wong,6701,1151,Don Stark,26,English,PG,4.3,1.85
248,1000,270,11169531,Quinton Aaron,79855,1778,Melonie Diaz,235,English,PG-13,6.4,2.35
137,350,99,11034436,Bob Hoskins,13505,5637,Sarah Solemani,180,English,R,7.1,1.85
214,214,968,12626905,Kate Winslet,32567,27214,Clifton Collins Jr.,106,English,R,6.3,2.35
104,11000,223,10569071,Woody Allen,35586,11867,Judy Davis,131,English,R,7.4,1.85
81,4,677,10544143,Matthew Perry,16372,4843,David Ramsey,121,English,PG-13,6.1,1.37
175,53,580,13650738,Bradley Cooper,61360,16926,Riccardo Scamarcio,129,English,R,6.6,2.35
20,277,383,10555348,Robert De Niro,17349,24887,James Russo,42,English,PG-13,6.0,2.35
69,11000,2,9714482,Natasha Lyonne,30083,1614,Jeff DeRocker,140,English,R,6.8,1.85
168,0,548,8579684,Peter Dinklage,89547,24324,Kris Marshall,199,English,R,7.4,1.85
166,0,725,9525276,Aisha Tyler,60156,3309,Edi Gathegi,299,English,R,6.8,2.35
160,52,148,8855646,Robert De Niro,49855,23409,Brendan Sexton III,117,English,PG-13,7.2,2.35
32,84,177,9109322,Scott Baio,25371,1343,Peter Wingfield,129,English,PG,1.9,2.35
72,10,69,8326035,Miguel Ferrer,21933,1019,Gigi Rice,76,English,PG-13,5.5,1.85
53,10,436,8104069,Callum Rennie,9785,2700,Cedric the Entertainer,26,English,PG-13,4.5,1.85
76,54,463,8054280,Debbie Reynolds,6838,2730,Dash Mihok,117,English,PG-13,6.3,1.85
15,189,388,,Sammy Davis Jr.,3454,2172,Ben Vereen,64,English,G,7.0,2.35
401,0,175,8093318,Martin Dew,61935,707,Serena Scott Thomas,242,English,R,6.7,1.85
31,3,593,7382993,Jimmy Fallon,3851,2185,Jon Stewart,114,English,G,2.8,1.85
65,9,826,8888355,Chris Brown,7894,3177,Laz Alonso,25,English,PG-13,5.0,1.85
26,,376,,LeVar Burton,15612,2240,Scott Wolf,29,English,TV-14,7.5,16.0
45,119,633,7001720,Chriss Anglin,8560,2907,Gary Coleman,205,English,PG-13,4.3,2.35
260,0,99,7268659,Alexa PenaVega,59248,2848,Marko Zaror,164,English,R,5.6,1.85
129,17,86,6852144,Laura Harring,15169,1267,Jackie Burroughs,213,English,PG-13,6.2,2.35
58,29,522,6563357,Kevin Alejandro,18571,4218,Jeff Garlin,120,English,R,5.3,2.35
103,608,149,6201757,Jim Broadbent,10037,1690,Lesley Manville,202,English,R,7.4,1.66
45,38,975,6420319,Tom Wilkinson,15978,5705,Michael Rapaport,122,English,PG-13,7.4,2.35
345,0,691,5702083,Michael Fassbender,80617,23755,Sarah Gadon,190,English,R,6.5,1.85
232,0,407,5480996,Robert Downey Jr.,89383,39507,Rory Cochrane,293,English,R,7.1,1.85
116,150,956,6002756,Gerard Butler,24997,21200,Leven Rambin,75,English,PG,7.2,1.85
148,892,81,5132655,Catherine Lough Haggquist,37626,838,Karin Konoval,521,English,R,2.3,2.35
79,650,181,5205343,Scott Porter,11958,1573,Ryan Donowho,39,English,PG,6.4,2.35
167,143,430,5005883,Cameron Bright,29649,2295,Danny Huston,361,English,R,6.1,1.85
350,78,745,5749134,David Oyelowo,45799,3979,Albert Brooks,180,English,R,7.0,2.35
25,329,544,,Landon Liboiron,6904,3493,Caroline Dhavernas,102,English,R,6.5,2.35
99,18,9,4234040,Dylan Authors,14301,64,Victoria Learn,45,English,PG-13,7.0,2.35
231,162,228,4001121,Christian Bale,48346,36398,Tyrone Benskin,230,English,R,7.0,2.35
119,19,619,3749061,Henry Cavill,28629,30134,Óscar Jaenada,113,English,PG-13,4.9,2.35
182,0,446,3519627,Zachary Gordon,41737,3014,Nora Zehetner,105,English,PG-13,6.9,2.35
245,0,631,3081925,Philip Seymour Hoffman,55842,24732,Samantha Morton,274,English,R,7.5,2.35
174,6000,745,2298191,Minnie Driver,221552,2710,Billy Crudup,570,Japanese,PG-13,8.4,1.85
69,22,413,2353728,Isabelle Adjani,4293,1776,Virginie Ledoyen,53,French,PG-13,6.9,2.35
26,42,161,2000000,Steve Guttenberg,2998,1462,Caitlyn Jenner,74,English,PG,4.5,2.35
