genres,movie_title,num_voted_users,plot_keywords,movie_imdb_link,content_rating,budget,title_year,aspect_ratio
Drama,Hamlet ,30618,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,PG-13,18000000,1996,2.2
Comedy|Drama|Romance,Shortbus ,27346,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,Unrated,2000000,2006,1.78
Animation|Biography|Documentary|Drama|History|War,Waltz with Bashir ,46107,bar|dog|interview|lebanon|nightmare,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,R,1500000,2008,1.85
Adventure,"The Book of Mormon Movie, Volume 1: The Journey ",397,jerusalem|journey|promised land|ship|wilderness,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,PG-13,2000000,2003,1.85
Documentary|War,No End in Sight ,7314,american politics|iraq|iraq war|occupation|white house,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,,2000000,2007,1.85
Drama|Romance,The Diary of a Teenage Girl ,16645,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,R,2000000,2015,2.35
Comedy|Drama|Romance,Get Real             ,415,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,,,,1.33
Documentary|History,In the Shadow of the Moon ,5475,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,PG,2000000,2007,1.85
Drama|Western,Meek's Cutoff ,8204,desert|oregon|survival|trust|water,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,PG,,2010,1.33
Biography|Documentary|History,Inside Deep Throat ,5615,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,NC-17,2000000,2005,1.85
Crime|Drama|Romance,Dinner Rush ,4359,detective|food|gangster|police|restaurant,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,R,,2000,1.85
Comedy|Drama,Clockwatchers ,4049,office|office politics|photo booth|snobbery|title directed by female,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,PG-13,,1997,
Comedy,The Virginity Hit ,3467,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,R,3400000,2010,1.85
Comedy|Drama|Thriller,Subway ,11031,band|blackmail|safe|subway|train,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,R,17000000,1985,2.35
Comedy|Drama,House of D ,7479,artist|butchery|catholic|catholic school|friend,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,PG-13,6000000,2004,1.85
Comedy|Fantasy|Horror|Thriller,Teeth ,34556,high school|purity|stepbrother|temptation|vagina dentata,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,R,,2007,1.85
Action|Adventure|Comedy|Drama|Music|Sci-Fi,Six-String Samurai ,5613,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,PG-13,2000000,1998,1.85
Action|Comedy|Romance|Thriller,Hum To Mohabbat Karega ,275,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,,,2000,
Biography|Comedy|Drama|Music,It's All Gone Pete Tong ,16828,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,R,,2004,2.35
Comedy|Drama,Saint John of Las Vegas ,2522,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,R,3800000,2009,2.35
Comedy|Drama|Romance|Sport,24 7: Twenty Four Seven ,2081,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,R,,1997,1.85
Drama,Stonewall ,1758,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,R,13500000,2015,2.35
Comedy|Drama|Sci-Fi,Eureka             ,39559,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,TV-14,,,1.78
Animation|Comedy|Family|Romance,Roadside Romeo ,922,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,PG,,2008,2.35
Crime|Drama,This Thing of Ours ,508,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,Not Rated,,2003,1.85
Adventure|Family|Fantasy,The Lost Medallion: The Adventures of Billy Stone ,1278,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,PG,,2013,2.35
Comedy|Drama|Musical|Romance,The Last Five Years ,6223,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,PG-13,,2014,2.35
Drama,The Missing Person ,1268,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,,1500000,2009,1.85
Horror|Romance|Sci-Fi,Return of the Living Dead III ,10182,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,R,2000000,1993,1.85
Drama|Romance,London ,19336,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,R,14000,2005,2.35
Drama,Sherrybaby ,10282,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,R,2000000,2006,1.85
Comedy|Crime,Stealing Harvard ,11211,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,PG-13,25000000,2002,1.85
Drama|Horror|Mystery|Sci-Fi|Thriller,Circle ,13279,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,Not Rated,,2015,
Horror|Thriller,Eden Lake ,57811,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,R,,2008,2.35
Thriller,Plush ,2895,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,R,,2013,1.78
Action|Comedy|Fantasy|Horror,Vampire Killers ,17296,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,R,,2009,2.35
Action|Crime|Drama,Gangster's Paradise: Jerusalema ,9689,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,R,2000000,2008,2.35
Crime|Drama|Thriller,Freeze Frame ,2588,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,R,2000000,2004,2.35
Horror,Grave Encounters ,40380,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,Not Rated,100000,2011,1.78
Comedy|Horror,Stitches ,6585,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,R,,2012,1.85
Crime|Drama|Horror|Mystery|Thriller,Nine Dead ,9280,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,R,2000000,2010,2.35
Documentary,"To Be Frank, Sinatra at 100 ",7,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,2000000,2015,
Comedy,Bananas ,27646,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,GP,2000000,1971,1.37
Thriller,Supercapitalist ,289,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,Not Rated,,2012,
Action|Crime|Drama|Thriller,Rockaway ,355,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,R,2000000,2007,2.35
Comedy|Drama,Wings             ,7646,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,,,,1.33
Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,19236,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,Not Rated,2300000,1947,1.37
Horror|Thriller,No Man's Land: The Rise of Reeker ,2701,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,R,2000000,2008,1.78
Crime|Drama,Highway ,5182,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,R,14000000,2002,2.35
Comedy|Crime|Drama,Small Apartments ,5732,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,R,2000000,2012,1.85
Comedy,Coffee Town ,4204,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,,2000000,2013,2.35
Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,344,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,Not Rated,2000000,2012,2.35
Comedy|Drama,All Is Bright ,4478,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,R,,2013,
Horror|Mystery,The Torture Chamber of Dr. Sadism ,952,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,M,,1967,1.66
Comedy|Drama,Straight A's ,3605,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,R,2000000,2013,
Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,6804,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,Approved,2000000,1966,1.85
Documentary,Slacker Uprising ,2242,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,,2000000,2007,
Action|Adventure|History|Western,The Legend of Hell's Gate: An American Conspiracy ,583,1800s|doc holliday|robbers|sheriff|texas,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,PG-13,2000000,2011,
Comedy|Horror,The Walking Deceased ,2348,zombie|zombie spoof,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,R,1250000,2015,
