num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
122,82,759,Comedy,Vampires Suck ,2898,Anneliese van der Pol,7,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,USA,20000000,401,3.5,1.85,16000
285,143,11000,Drama,Babel ,11248,Dermot Crowley,3,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,France,25000000,119,7.5,1.85,0
156,103,2000,Comedy|Drama,This Is Where I Leave You ,4662,Jane Fonda,8,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,USA,19800000,1000,6.6,2.35,14000
293,104,22000,Drama|Mystery,Doubt ,33903,Carrie Preston,0,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,USA,20000000,11000,7.5,1.85,0
233,98,860,Action|Comedy,Team America: World Police ,2609,Trey Parker,5,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,USA,30000000,523,7.2,2.35,0
282,92,383,Horror|Thriller,Texas Chainsaw 3D ,1945,Shaun Sipos,0,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,USA,11000000,333,4.8,2.35,16000
57,123,10000,Crime|Drama|Mystery|Thriller,Copycat ,12338,Harry Connick Jr.,0,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,USA,20000000,1000,6.6,2.35,0
153,88,31000,Comedy,Scary Movie 5 ,34319,Molly Shannon,8,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,USA,20000000,881,3.5,1.85,13000
20,158,16000,Comedy|Drama|Musical|Romance|Western,Paint Your Wagon ,17775,Ray Walston,3,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,USA,20000000,756,6.7,2.35,0
324,128,11000,Biography|Drama|History,Milk ,13189,Lucas Grabeel,1,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,USA,20000000,896,7.6,1.85,10000
122,107,141,Action|Adventure|Drama|Mystery,Risen ,389,María Botto,2,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,USA,20000000,76,6.3,2.35,21000
156,91,534,Horror,Ghost Ship ,1083,Francesca Rettondini,0,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,USA,35000000,385,5.5,1.85,0
161,90,786,Adventure|Comedy,A Very Harold & Kumar 3D Christmas ,2462,Paula Garcés,4,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,USA,19000000,651,6.3,2.35,21000
69,115,13000,Crime|Drama|Mystery|Thriller,Wild Things ,14275,Jeff Perry,3,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,USA,20000000,481,6.5,2.35,0
121,101,812,Crime|Thriller,The Stepfather ,3292,Skyler Samuels,0,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,USA,,533,5.6,2.35,0
258,113,1000,Drama|Thriller,The Debt ,1136,Romi Aboulafia,3,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,USA,20000000,100,6.9,2.35,0
174,113,1000,Comedy|Drama|Music|Romance,High Fidelity ,3141,Lisa Bonet,0,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,UK,20000000,960,7.6,1.85,10000
141,87,741,Horror|Mystery,One Missed Call ,1834,Margaret Cho,1,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,Japan,27000000,297,3.9,1.85,0
31,101,1000,Crime|Drama|Thriller,Eye for an Eye ,3174,Philip Baker Hall,1,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,USA,20000000,816,6.1,1.85,613
222,111,26000,Crime|Drama|Romance|Thriller,The Bank Job ,27755,Daniel Mays,0,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,UK,20000000,811,7.3,2.35,0
273,108,14000,Drama|Fantasy|Romance|Sci-Fi,Eternal Sunshine of the Spotless Mind ,19364,Tom Wilkinson,1,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,USA,20000000,4000,8.3,1.85,52000
91,105,2000,Comedy|Family|Romance,You Again ,4813,Christine Lakin,6,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,USA,20000000,938,5.8,2.35,0
190,109,18000,Action|Crime|Drama|Thriller,Street Kings ,33878,Noel Gugliemi,4,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,USA,20000000,11000,6.8,2.35,0
427,109,177,Action|Comedy|Sci-Fi,The World's End ,278,Jasper Levine,6,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,UK,20000000,55,7.0,2.35,49000
93,99,720,Comedy|Crime|Family|Mystery|Romance|Thriller,Nancy Drew ,3327,Tate Donovan,5,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,USA,20000000,669,5.9,2.35,590
292,98,125,Action|Horror|Sci-Fi|Thriller,Daybreakers ,189,Tiffany Lamb,0,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,Australia,20000000,37,6.5,2.35,0
180,104,2000,Comedy|Romance,She's Out of My League ,5707,Geoff Stults,1,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,USA,20000000,934,6.4,2.35,0
94,109,3000,Adventure|Comedy|Family|Romance,Monte Carlo ,4257,Brett Cullen,3,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,Hungary,20000000,775,5.8,1.85,6000
112,75,1000,Horror|Thriller,Stay Alive ,3590,Samaire Armstrong,0,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,USA,9000000,934,5.1,2.35,0
20,119,25000,Action|Adventure|Drama|Romance|Western,Quigley Down Under ,45841,Ben Mendelsohn,1,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,Australia,20000000,19000,6.8,2.35,0
84,90,681,Adventure|Animation|Comedy|Family|Romance,Alpha and Omega ,2486,Christine Lakin,0,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,USA,20000000,611,5.3,1.85,0
120,97,960,Action|Fantasy|Horror|Thriller,The Covenant ,3261,Toby Hemingway,0,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,USA,20000000,917,5.3,2.35,3000
90,103,12000,Comedy|Drama|Sport,Stick It ,14903,John Patrick Amedori,3,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,Germany,,804,6.4,1.85,0
103,89,87000,Comedy|Family|Fantasy,Shorts ,88422,Jake Short,4,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,USA,40000000,570,4.9,1.85,431
59,106,1000,Comedy|Crime|Drama,To Die For ,3598,Holland Taylor,0,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,USA,20000000,967,6.8,1.85,1000
86,96,646,Adventure|Crime|Mystery|Sci-Fi|Thriller,Nerve ,1780,Emily Meade,0,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,USA,20000000,441,7.1,,0
190,115,10000,Crime|Drama|Western,Appaloosa ,10507,Tom Bower,0,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,USA,,311,6.8,2.35,0
114,104,2000,Action|Horror|Thriller,Vampires ,5123,Maximilian Schell,0,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,USA,20000000,1000,6.1,2.35,0
6,24,0,Action|Adventure|Animation|Family|Fantasy,Yu-Gi-Oh! Duel Monsters             ,0,,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,Japan,,,7.0,,124
290,108,606,Horror|Mystery|Thriller,Psycho ,1885,John Gavin,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,USA,806947,332,8.5,1.85,18000
80,112,1000,Comedy|Romance,My Best Friend's Girl ,3301,Riki Lindhome,3,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,USA,40000000,500,5.9,1.85,0
98,104,15000,Drama|Romance,Endless Love ,18760,Rhys Wakefield,0,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,USA,20000000,989,6.3,2.35,0
88,113,995,Comedy|Drama,Georgia Rule ,4039,Jane Fonda,3,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,USA,20000000,975,5.9,2.35,681
13,98,691,Comedy,Under the Rainbow ,1761,Billy Barty,0,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,USA,20000000,374,5.4,1.78,501
52,121,2000,Adventure|Comedy|Drama|Fantasy,Ladyhawke ,2251,Leo McKern,2,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,USA,20000000,92,7.0,2.35,0
60,114,1000,Comedy|Drama|Family,Simon Birch ,1816,Dana Ivey,2,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,USA,30000000,367,6.9,1.85,0
154,124,11000,Drama,Reign Over Me ,17050,John de Lancie,2,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,USA,20000000,3000,7.5,2.35,0
274,148,17000,Adventure|Biography|Drama,Into the Wild ,18752,Hal Holbrook,0,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,USA,15000000,882,8.2,2.35,76000
110,108,970,Comedy,School for Scoundrels ,4374,Jacinda Barrett,1,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,USA,20000000,931,5.9,2.35,484
173,95,991,Adventure|Drama|Horror|Mystery|Thriller,Silent Hill: Revelation 3D ,2173,Martin Donovan,0,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,France,20000000,494,5.0,2.35,25000
165,108,16000,Crime|Fantasy|Horror,From Dusk Till Dawn ,23296,Cheech Marin,2,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,USA,19000000,4000,7.3,1.85,12000
45,68,304,Animation|Family|Fantasy|Mystery,Pooh's Heffalump Movie ,861,John Fiedler,0,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,USA,20000000,286,6.4,1.85,264
45,103,21000,Comedy|Drama|Romance,Home for the Holidays ,25263,Steve Guttenberg,1,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,USA,20000000,1000,6.6,1.85,0
377,99,264,Action|Comedy|Crime|Fantasy,Kung Fu Hustle ,537,Qiu Yuen,1,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,Hong Kong,20000000,62,7.8,2.35,0
,30,909,Comedy,Fired Up             ,1557,Sharon Lawrence,2,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,USA,,417,6.7,1.33,4
43,88,3000,Comedy|Family|Music|Musical,The Country Bears ,8189,Stephen Root,1,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,USA,35000000,968,4.0,1.85,422
201,128,283,Drama,The Kite Runner ,904,Khalid Abdalla,0,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,USA,20000000,206,7.6,2.35,0
192,124,6000,Drama,21 Grams ,7567,Danny Huston,0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,USA,20000000,979,7.7,1.85,0
77,84,787,Action|Crime|Drama|Thriller,Paparazzi ,2915,Kelly Carlson,0,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,USA,20000000,555,5.8,2.35,269
350,122,17000,Drama|Fantasy|Romance,Twilight ,44061,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,USA,37000000,12000,5.2,2.35,19000
81,101,651,Comedy|Romance,A Guy Thing ,2698,James Brolin,3,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,USA,20000000,555,5.6,1.85,401
81,98,302,Comedy|Romance,Loser ,1189,Zak Orth,2,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,USA,20000000,216,5.3,1.85,1000
222,105,1000,Crime|Documentary|News,Capitalism: A Love Story ,2327,Bernie Sanders,0,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,USA,,909,7.4,1.85,10000
27,225,940,Biography|Drama|History,The Greatest Story Ever Told ,1934,José Ferrer,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,USA,20000000,208,6.6,2.76,1000
155,111,8000,Crime|Drama|Mystery|Thriller,Secret in Their Eyes ,9941,Joe Cole,0,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,USA,19500000,963,6.2,2.35,0
111,88,869,Comedy,Disaster Movie ,2857,Ike Barinholtz,0,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,USA,25000000,624,1.9,1.85,0
107,88,137000,Action|Crime|Thriller,Armored ,137712,Lorna Raver,6,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,USA,27000000,459,5.7,2.35,0
34,94,13000,Action|Comedy|Crime|Thriller,The Man Who Knew Too Little ,15183,Joanne Whalley,1,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,USA,20000000,828,6.6,1.85,0
151,117,11000,Comedy|Romance,What's Your Number? ,15713,Ed Begley Jr.,1,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,USA,20000000,904,6.0,1.85,0
289,95,788,Action|Adventure|Sci-Fi|Thriller,Lockout ,1414,Jacky Ido,2,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,France,20000000,447,6.1,2.35,10000
76,99,1000,Comedy,Envy ,1189,Sam Lerner,1,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,USA,40000000,87,4.8,1.85,713
150,96,26000,Action|Crime|Sci-Fi|Thriller,Crank: High Voltage ,30541,David Carradine,0,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,USA,20000000,968,6.2,1.85,0
67,98,1000,Comedy|Crime,Bullets Over Broadway ,4302,Dianne Wiest,4,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,USA,20000000,979,7.5,1.85,979
