director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
William Friedkin,376,98,251,Scott A. Martin,11000,Crime|Drama|Romance|Thriller,Killer Joe ,59297,0,female nudity|female pubic hair|lingerie|neo noir|pubic hair,216,English,R,11000000,2011,414,12000
Derrick Borte,144,96,688,Gary Cole,2000,Comedy|Drama,The Joneses ,33473,4,envy|fake family|gadget|materialism|unhappy marriage,88,English,R,5000000,2009,989,0
Richard Kwietniowski,82,104,232,Minnie Driver,22000,Crime|Drama|Thriller,Owning Mahowny ,10585,1,bank|bank fraud|bank manager|gambling|toronto,83,English,R,10000000,2003,893,0
Bob Odenkirk,51,93,622,Lee Majors,966,Comedy,The Brothers Solomon ,9517,2,antarctica|coma|neighbor|phd|pregnancy,46,English,R,10000000,2007,799,319
Kar-Wai Wong,192,95,20,Norah Jones,20000,Drama|Romance,My Blueberry Nights ,44208,3,blueberry pie|diner|nevada|new york city|pie,117,English,PG-13,10000000,2007,329,0
John Turturro,36,119,54,Ben Gazzara,816,Drama,Illuminata ,1402,0,critic|new york|new york city|playwright|theater critic,40,English,R,,1998,623,74
Guy Ritchie,71,89,119,Jeanne Tripplehorn,990,Comedy|Romance,Swept Away ,13145,0,island|sailor|storm|stranded|vacation,215,English,R,10000000,2002,711,725
Joshua Seftel,79,107,91,Sergej Trifunovic,603,Action|Comedy|Thriller,"War, Inc. ",20008,3,assassin|corporation|pop star|reporter|satire,112,English,R,10000000,2008,175,883
Stephen Chow,246,85,51,Karen Mok,478,Action|Comedy|Sport,Shaolin Soccer ,56923,2,cult film|kung fu|martial arts|shaolin|soccer,243,Cantonese,PG,10000000,2001,83,0
Vincent Gallo,115,93,0,Cheryl Tiegs,787,Drama,The Brown Bunny ,11487,0,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,226,English,Not Rated,10000000,2003,96,952
Claude Chabrol,34,101,28,François Cluzet,678,Comedy|Crime|Thriller,The Swindle ,1649,0,con|con artist|money|scam|sils maria,21,French,,60000000,1997,541,33
Jon Stewart,129,103,241,Claire Foy,374,Biography|Drama,Rosewater ,8307,0,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,37,English,R,5000000,2014,362,5000
Bigas Luna,22,101,34,Aitana Sánchez-Gijón,837,Drama|Romance,The Chambermaid on the Titanic ,1135,1,foundry|foundry worker|french|friend|titanic,14,French,,,1997,130,85
Ralph Fiennes,196,123,131,Ashraf Barhom,18000,Drama|Thriller|War,Coriolanus ,27009,0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,118,English,R,,2011,451,12000
Dan Harris,73,111,83,Ryan Donowho,374,Comedy|Drama,Imaginary Heroes ,8708,2,cat|christmas song|lawn mowing|leave of absence|medication,56,English,R,4000000,2004,181,345
Mel Smith,43,86,428,Danny Dyer,893,Action|Comedy|Drama,High Heels and Low Lifes ,3080,2,attempted murder|blackmail|diver's watch|nurse|satire,44,English,R,10000000,2001,798,117
Bobcat Goldthwait,129,99,334,Daryl Sabara,49000,Comedy|Drama,World's Greatest Dad ,31964,1,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,129,English,R,,2009,640,0
Christopher Smith,200,90,345,Toby Stephens,798,Comedy|Horror|Thriller,Severance ,31890,0,blood splatter|eastern europe|female nudity|pine forest|team building,194,English,R,5000000,2006,769,0
Stuart Gordon,79,82,885,Dulé Hill,1000,Drama|Thriller,Edmond ,9971,1,bipolar disorder|sodomy|stabbing|street life|violence,119,English,R,10000000,2005,922,661
Jake Scott,112,110,146,Ally Sheedy,17000,Drama,Welcome to the Rileys ,19979,3,businessman|prostitute|street|stripper|travel,56,English,R,,2010,793,0
Alan Metter,17,83,421,Michael Winslow,16000,Comedy|Crime,Police Academy: Mission to Moscow ,24958,0,captain|commandant|mafia|russian mafia|security system,103,English,PG,6200000,1994,542,321
Jeb Stuart,20,128,553,Nate Parker,665,Drama,Blood Done Sign My Name ,465,0,based on autobiography|based on novel|based on true story|murder|racism,3,English,PG-13,,2010,664,503
Rafa Lara,12,125,36,Andrés Montiel,78,Drama|History|War,"Cinco de Mayo, La Batalla ",683,1,,3,Spanish,R,10000000,2013,61,874
Michael Radford,59,97,499,Jared Gilman,962,Comedy|Drama|Romance,Elsa & Fred ,2041,0,apartment|death of protagonist|follow that car|la dolce vita|love,18,English,PG-13,10000000,2014,545,0
Arthur Hiller,29,86,385,Harvey Weinstein,795,Comedy,An Alan Smithee Film: Burn Hollywood Burn ,2971,0,box office flop|critically bashed|director|hollywood|mockumentary,85,English,R,10000000,1997,474,89
Michael Meredith,23,91,875,Justin Timberlake,12000,Comedy|Drama,The Open Road ,2941,2,american south|baseball|farmland|motel|road trip,11,English,PG-13,10000000,2009,3000,370
Julio DePietro,22,90,617,Scott Porter,806,Comedy|Romance,The Good Guy ,7759,2,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,20,English,R,8000000,2009,690,1000
Katherine Dieckmann,43,90,495,Minnie Driver,1000,Comedy|Drama,Motherhood ,3662,1,birthday|birthday party|delivery man|mother|neighbor,23,English,PG-13,5000000,2009,893,546
William Dear,16,94,422,Corbin Bleu,835,Drama,Free Style ,361,3,,4,English,PG,,2008,632,58
Kim Farrant,84,112,51,Reef Ireland,147,Drama|Mystery|Thriller,Strangerland ,5637,0,australian|desert|mother daughter relationship|mother son relationship|promiscuity,57,English,R,10000000,2015,52,0
Marcus Raboy,4,85,240,Tamala Jones,706,Comedy|Crime|Music,The Janky Promoters ,1097,2,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,10,English,R,,2009,405,402
Scott Marshall,20,93,611,Drew Waters,906,Comedy|Romance,Blonde Ambition ,4995,1,boss|business|career|confidence|female protagonist,34,English,PG-13,10000000,2007,848,160
Álex de la Iglesia,71,104,102,Leonor Watling,439,Crime|Mystery|Thriller,The Oxford Murders ,22753,4,landlady|lecture|murder|oxford university|symbol,94,English,R,10000000,2008,161,0
Andrew Traucki,102,94,72,Gyton Grantley,122,Horror|Thriller,The Reef ,11950,0,boat|great white shark|killing an animal|shark|underwater,89,English,R,,2010,109,0
Michael Clancy,27,85,742,Rip Torn,11000,Comedy|Drama,Eulogy ,7690,6,dysfunctional family|family relationships|family reunion|funeral|twin,68,English,R,6500000,2004,826,376
Patrick Lussier,62,99,126,Craig Fairbrass,298,Drama|Fantasy|Horror|Thriller,White Noise 2: The Light ,11285,0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,82,English,PG-13,10000000,2007,258,509
Robert Adetuyi,5,91,111,Mishael Morgan,485,Drama|Music,You Got Served: Beat the World ,1642,0,,11,English,PG-13,10000000,2011,152,0
Kari Skogland,76,117,415,Kevin Zegers,5000,Drama|Thriller,Fifty Dead Men Walking ,9585,1,1980s|ira|near death experience|title directed by female|what happened to epilogue,38,English,R,6000000,2008,2000,0
Taedong Park,8,85,196,Tom Arnold,1000,Adventure|Animation,Jungle Shuffle ,162,0,,2,English,,10000000,2014,618,186
Paul Schrader,75,106,520,Ayelet Zurer,30000,Drama|War,Adam Resurrected ,3075,2,circus|dog|entertainer|holocaust|patient,31,English,R,10000000,2008,744,589
Benedikt Erlingsson,66,81,5,Charlotte Bøving,63,Comedy|Drama|Romance,Of Horses and Men ,1920,0,barbed wire|barbed wire fence|horse|nature|snowstorm,7,Icelandic,,10000000,2013,10,1000
Gurinder Chadha,31,100,95,Mark Addy,1000,Comedy|Drama|Horror|Romance,It's a Wonderful Afterlife ,1250,1,afterlife|indian|murder|overweight woman|police,16,English,PG-13,10000000,2010,891,695
Jason Connery,32,90,711,Henry Rollins,1000,Action|Horror|Sci-Fi,The Devil's Tomb ,5715,4,desert|mercenary|priest|scientist|war veteran,60,English,R,10000000,2009,898,486
Vic Sarin,17,116,46,Jesse Moss,183,Drama|Romance,Partition ,2223,2,india|love|muslim|pakistan|sikh,27,English,R,10000000,2007,136,746
Jim Issa,4,84,482,Luke Perry,670,Comedy,Good Intentions ,553,5,,3,English,PG-13,10000000,2010,608,119
Jee-woon Kim,152,135,7,Woo-sung Jung,398,Action|Adventure|Comedy|Western,"The Good, the Bad, the Weird ",26156,0,bounty hunter|manchuria|map|train|treasure,74,Korean,R,10000000,2008,149,0
Douglas Aarniokoski,129,84,899,Katrina Bowden,1000,Horror|Thriller,Nurse 3D ,7286,0,carnage|female nudity|purple panties|sexual attraction|shaved labia,75,English,R,10000000,2013,948,0
William Phillips,15,89,499,Callum Rennie,764,Action|Comedy|Drama|Western,Gunless ,3015,1,blacksmith|bounty hunter|duel|gunslinger|wild west,27,English,,10000000,2010,716,850
Greg Mottola,248,107,452,Martin Starr,17000,Comedy|Drama|Romance,Adventureland ,131180,6,amusement park|strong female character|summer job|teen movie|teenager,220,English,R,,2009,985,0
Andy Garcia,52,144,195,Victor Rivers,786,Drama|Romance,The Lost City ,8369,0,1950s|cuba|cuban flag|fidel castro|havana cuba,165,English,R,9600000,2005,228,957
Steve Carr,55,98,525,Mike Epps,723,Comedy,Next Friday ,27492,1,african american|flashback|marijuana joint|porn magazine|suburb,84,English,R,9500000,2000,706,0
Sarik Andreasyan,30,94,262,Jordana Brewster,4000,Action|Crime|Drama|Thriller,American Heist ,12372,1,bank|critically bashed|heist|mechanic|prison,42,English,R,10000000,2014,4000,0
Lewis Gilbert,130,117,244,Burt Kwouk,742,Action|Adventure|Thriller,You Only Live Twice ,75280,0,faked death|japan|japanese|poison|secret headquarters,267,English,Approved,9500000,1967,462,0
Julian Gilbey,29,102,1000,Alfie Allen,31000,Action|Comedy|Crime|Drama,Plastic ,5865,7,credit card fraud|lesbian kiss|miami,12,English,R,10000000,2014,1000,1000
Michael Haneke,447,127,319,Emmanuelle Riva,678,Drama|Romance,Amour ,70382,1,aging|daughter|old couple|old love|stroke,190,French,PG-13,8900000,2012,432,33000
Gary Sherman,66,98,770,Heather O'Rourke,1000,Horror|Thriller,Poltergeist III ,13190,0,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,114,English,PG-13,10500000,1988,887,616
Valeri Milev,18,88,200,Roger Cross,557,Action|Horror,Re-Kill ,1763,0,after dark|after dark horrorfest|fictional tv news show|outbreak,26,English,R,9500000,2015,290,898
Stanley Kramer,61,197,760,Sid Caesar,924,Action|Adventure|Comedy|Crime,"It's a Mad, Mad, Mad, Mad World ",29323,0,california|desert|dying words|money|race,344,English,Approved,9400000,1963,898,0
Pedro Almodóvar,232,121,82,Lola Dueñas,148,Comedy|Crime|Drama|Mystery,Volver ,76681,1,abusive father|child abuse|death|rape|secret,228,Spanish,R,,2006,114,0
Gerald Potterton,62,90,123,Joe Flaherty,187,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,23516,0,anthology|girl|heavy metal|secretary|segments,147,English,R,9300000,1981,176,0
Jared Hess,106,89,327,Michael Angarano,33000,Adventure|Comedy|Sci-Fi,Gentlemen Broncos ,9006,7,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,54,English,PG-13,,2009,947,0
Richard Loncraine,56,104,1000,Jim Broadbent,21000,Drama|War,Richard III ,11612,3,1930s|abuse of power|england|king|murder,88,English,R,6000000,1995,1000,0
David Hackl,48,94,129,Michaela McManus,826,Action|Horror|Thriller,Into the Grizzly Maze ,4486,4,bear|breasts|female nudity|grizzly|wilderness,38,English,R,10000000,2015,476,0
Anurag Basu,41,90,303,Steven Michael Quezada,594,Action|Drama|Romance|Thriller,Kites ,9673,0,casino|desert|love|suicide|tragic event,106,English,,600000000,2010,412,0
Lars von Trier,439,130,844,Kirsten Dunst,10000,Drama|Sci-Fi,Melancholia ,128729,1,art director|breasts|depression|outdoor sex|riding a horse,551,English,R,7400000,2011,4000,50000
Kriv Stenders,54,92,110,Keisha Castle-Hughes,509,Biography|Comedy|Drama|Family|Romance,Red Dog ,13003,0,australian|based on true events|dog|love|search,80,English,PG,8500000,2011,446,10000
Yash Chopra,50,176,1000,Katrina Kaif,8000,Drama|Romance,Jab Tak Hai Jaan ,42296,4,accident|army|bomb|indian army|love,286,Hindi,Not Rated,7217600,2012,3000,12000
Ridley Scott,392,116,513,Yaphet Kotto,1000,Horror|Sci-Fi,Alien ,563827,0,alien|creature|future|outer space|spaceship,1110,English,R,11000000,1979,581,23000
Tobe Hooper,277,88,177,Edwin Neal,383,Horror|Thriller,The Texas Chain Saw Massacre ,96410,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,R,83532,1974,371,0
Floria Sigismondi,259,106,741,Scout Taylor-Compton,17000,Biography|Drama|Music,The Runaways ,39260,2,band|box office flop|critically bashed|historically inaccurate|revisionist history,129,English,R,10000000,2010,908,0
Norman Jewison,66,181,51,Paul Michael Glaser,402,Drama|Family|Musical|Romance,Fiddler on the Roof ,29839,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,English,G,9000000,1971,343,0
Terence Young,129,130,177,Earl Cameron,244,Action|Adventure|Thriller,Thunderball ,82073,1,domino|fiery redhead|nassau|official james bond series|underwater battle,275,English,Approved,9000000,1965,189,0
Joseph Kahn,115,93,123,Shanley Caswell,14000,Comedy|Horror|Sci-Fi,Detention ,12520,2,blood splatter|detention|high school|overalls|reference to c. thomas howell,76,English,R,10000000,2011,383,0
Ferzan Ozpetek,81,110,16,Alessandro Preziosi,580,Comedy|Drama|Romance,Loose Cannons ,8667,9,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,29,Italian,,,2010,26,0
F. Gary Gray,29,123,685,Jada Pinkett Smith,890,Action|Crime|Drama|Romance|Thriller,Set It Off ,10139,4,bank|black comedy|main characters killed off|money|robbery,70,English,R,9000000,1996,851,0
Malcolm D. Lee,32,120,862,Sanaa Lathan,1000,Comedy|Drama,The Best Man ,6525,6,african american|bachelor party|brooklyn bridge|family relationships|stripper,79,English,R,9000000,1999,886,0
Tom Holland,142,87,118,Alex Vincent,311,Fantasy|Horror,Child's Play ,62038,0,birthday|doll|murder|serial killer|voodoo,281,English,R,9000000,1988,189,0
Michael Moore,263,123,184,Tucker Albrizzi,909,Documentary|Drama,Sicko ,66610,1,canada|cuba|france|guantanamo|hmo,429,English,PG-13,9000000,2007,203,0
James DeMonaco,285,103,908,Zach Gilford,2000,Action|Horror|Sci-Fi|Thriller,The Purge: Anarchy ,92364,0,held at gunpoint|machete|masked man|sequel|violence,244,English,R,9000000,2014,971,15000
Kris Isacsson,64,91,407,Lauren German,3000,Comedy|Drama|Romance,Down to You ,12324,1,artist|cake|college|new york city|student,173,English,PG-13,9000000,2000,683,580
Danny Leiner,150,88,587,Fred Willard,982,Adventure|Comedy,Harold & Kumar Go to White Castle ,155262,2,marijuana|police|road trip|stoner|white castle,316,English,R,9000000,2004,729,0
Rod Lurie,136,126,883,Gary Oldman,12000,Drama|Thriller,The Contender ,20449,0,bridge|governor|political thriller|president|vice president,370,English,R,20000000,2000,10000,1000
Ben Younger,132,120,701,Nia Long,14000,Crime|Drama|Thriller,Boiler Room ,41313,3,career|casino|judge|stock|stock broker,246,English,R,8000000,2000,826,0
John Landis,71,116,199,Denholm Elliott,392,Comedy,Trading Places ,102895,2,interracial relationship|poverty|prostitute|scam|stock market,159,English,R,,1983,249,0
Glen Morgan,186,94,179,Crystal Lowe,607,Horror,Black Christmas ,19918,0,attic|christmas|house|incest|sorority,278,English,R,9000000,2006,318,0
Daniel Taplitz,39,85,127,Tate Taylor,911,Comedy|Romance,Breakin' All the Rules ,4247,1,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,26,English,PG-13,,2004,150,266
Kenneth Branagh,46,137,130,Derek Jacobi,591,Action|Biography|Drama|History|Romance|War,Henry V ,23441,1,battle|battle of agincourt|king|shakespeare play|sword and shield,108,English,PG-13,9000000,1989,520,0
Tamara Jenkins,201,114,338,David Zayas,22000,Comedy|Drama,The Savages ,32188,0,arizona|dementia|married man|sun city arizona|writing,127,English,R,,2007,929,0
Linda Mendoza,32,76,571,Freddy Rodríguez,591,Comedy|Romance,Chasing Papi ,3419,3,beauty pageant|bilingual|dating|latino|three women,41,English,PG,,2003,579,419
Christopher McQuarrie,117,119,35,Nicky Katt,187,Action|Crime|Drama|Thriller,The Way of the Gun ,27536,4,criminal|drifter|gangster|money|surrogate mother,327,English,R,8500000,2000,127,1000
Burr Steers,136,99,471,Rory Culkin,1000,Comedy|Drama,Igby Goes Down ,29058,1,boy|mistress|money|schizophrenic|school,238,English,R,9000000,2002,710,838
Hart Bochner,15,79,219,Matt Ross,4000,Comedy,PCU ,10476,3,college|high school senior|meat|protest|university,52,English,PG-13,8000000,1994,248,0
Michael O. Sajbel,46,114,633,Drew Fuller,970,Drama|Family|Romance,The Ultimate Gift ,14100,2,billionaire|grandfather|playboy|trust fund baby|wealth,81,English,PG,,2006,906,0
,1,30,140,Katherine Kelly Lang,177,Drama|Romance,The Bold and the Beautiful             ,5478,0,beverly hills california|family relationships|los angeles california|soap opera,54,English,TV-14,,,170,748
Stewart Raffill,41,91,297,John Carradine,1000,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,7767,4,bar fight|cult film|ice|psychotronic|sword fight,56,English,PG,9000000,1984,300,0
Davis Guggenheim,65,95,261,John Doman,702,Biography|Drama|Sport,Gracie ,3624,1,boy|girl|soccer|south orange new jersey|teenager,27,English,PG-13,9000000,2007,616,313
Bart Freundlich,100,103,316,Garry Shandling,745,Comedy|Drama|Romance,Trust the Man ,7833,3,actress|lesbianism|manhattan new york city|urination|watching pornography,63,English,R,9000000,2005,591,215
Andrew Fleming,129,92,611,Amy Poehler,1000,Comedy|Music,Hamlet 2 ,15200,1,gang banger|sequel|shakespeare's hamlet|student|time machine,76,English,R,9000000,2008,1000,1000
Todd Haynes,103,124,277,Eddie Izzard,23000,Drama|Music,Velvet Goldmine ,27766,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,English,R,,1998,776,0
Hong-jin Na,77,156,0,Jun Kunimura,45,Fantasy|Horror|Mystery|Thriller,The Wailing ,2379,0,policeman|stranger|supernatural|village|vomiting,24,Korean,Not Rated,,2016,5,0
Kevin Tancharoen,67,84,748,Heather Morris,2000,Documentary|Music,Glee: The 3D Concert Movie ,5156,0,concert|live in concert recording|live performance,21,English,PG,9000000,2011,892,0
Chatrichalerm Yukol,31,300,6,Chatchai Plengpanich,7,Action|Adventure|Drama|History|War,The Legend of Suriyothai ,1666,3,16th century|burmese|invasion|queen|thailand,47,Thai,R,400000000,2001,6,124
Dario Argento,76,120,433,Adrienne Barbeau,982,Horror,Two Evil Eyes ,4302,1,black cat|cat|evil|photographer|undead,45,English,R,9000000,1990,602,375
Eric Lavaine,17,98,5,Julie Engelbrecht,186,Comedy,Barbecue ,1673,1,,1,French,,,2014,41,348
Mike Leigh,81,121,25,Ruth Sheen,149,Drama,All or Nothing ,8161,0,love|neighbor|single parent|supermarket|working class,94,English,R,9000000,2002,44,484
Marc Forby,26,97,204,Will Patton,679,Drama,Princess Kaiulani ,1201,3,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,English,PG,9000000,2009,537,0
Peter Cattaneo,24,86,18,Vince Colosimo,185,Drama|Family,Opal Dream ,813,0,friend|girl|imaginary friend|outback|town,6,English,PG,11400000,2006,62,135
Scott Mann,44,93,558,Joshua Mikel,22000,Action|Crime|Thriller,Heist ,16198,1,bus|die hard scenario,57,English,R,19000000,2015,1000,0
Ole Christian Madsen,80,45,104,Thure Lindhardt,573,Drama|History|Thriller|War,Flame and Citron ,14247,1,danish|double agent|nazi|nazi occupation|resistance,44,Danish,Not Rated,45000000,2008,197,0
Meiert Avis,41,97,230,Kip Pardue,922,Comedy|Music|Romance,Undiscovered ,2599,4,bare chested male|box office flop|diner|german shepherd|one word title,45,English,PG-13,9000000,2005,374,128
Julian Jarrold,91,102,35,Warren Clarke,10000,Crime|Drama|Mystery|Thriller,Red Riding: In the Year of Our Lord 1974 ,9305,0,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,English,Not Rated,,2009,281,0
André Téchiné,66,105,98,Ronit Elkabetz,963,Drama,The Girl on the Train ,1219,1,bar mitzvah|lawyer|train|wealth|wrestler,14,French,Unrated,,2009,168,120
Emily Young,19,103,664,Erika Christensen,4000,Drama|Romance,Veronika Decides to Die ,10100,1,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,English,R,9000000,2009,931,3000
Peter Faiman,35,93,93,Linda Kozlowski,442,Adventure|Comedy,Crocodile Dundee ,74743,1,australian outback|crocodile|female reporter|journalist|new york city,93,English,PG-13,8800000,1986,162,0
