director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,actor_1_name,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Gilles Paquet-Brenner,136,121,7691700,Kristin Scott Thomas,Arben Bajraktaraj,2,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,73,French,PG-13,10000000,767,7.5,2.35
Peter Cousens,5,124,,Sharon Leal,Bart Shatto,2,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,13,English,R,14500000,220,6.2,
Clint Eastwood,131,638,101157447,Clint Eastwood,Frances Fisher,1,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,495,English,R,14400000,11000,8.3,2.35
Lars von Trier,140,236,74205,Bryce Dallas Howard,Jean-Marc Barr,1,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,81,English,Not Rated,14200000,769,7.4,2.35
Danny Boyle,418,40,141319195,Anil Kapoor,Ayush Mahesh Khedekar,0,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,1017,English,R,15000000,56,8.0,2.35
Adrian Lyne,94,249,156645693,Fred Gwynne,Anne Archer,0,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,201,English,R,14000000,276,6.9,1.85
Garry Marshall,82,700,178406268,Julia Roberts,Jason Alexander,2,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,271,English,R,14000000,995,6.9,1.85
John Blanchard,,176,,Martin Short,Joe Flaherty,2,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,English,,,179,9.5,1.33
John Cornell,32,57,109306210,Paul Hogan,John Meillon,1,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,62,English,PG,15800000,162,5.5,2.35
Vidhu Vinod Chopra,22,277,,María Valverde,Chad Bishop,0,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,20,English,R,15000000,355,5.7,2.35
Oliver Stone,72,560,70001698,Tom Cruise,Stephen Baldwin,0,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,173,English,R,14000000,854,7.2,2.35
Jon Turteltaub,39,496,68856263,Doug E. Doug,Malik Yoba,1,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,97,English,PG,15000000,730,6.9,1.85
Patrick Lussier,264,725,51527787,Jensen Ackles,Edi Gathegi,0,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,268,English,R,15000000,960,5.5,1.85
Ole Bornedal,264,309,49122319,Kyra Sedgwick,Natasha Calis,0,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,162,English,PG-13,14000000,459,5.9,2.35
Ted Kotcheff,145,535,,Sylvester Stallone,Chris Mulkey,1,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,English,R,14000000,954,7.7,2.35
Sylvain White,86,748,61356221,Chris Brown,Harry Lennix,0,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,162,English,PG-13,14000000,826,5.2,2.35
Lewis Gilbert,112,238,46800000,Caroline Munro,Barbara Bach,2,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,275,English,PG,14000000,244,7.1,2.35
,17,84,,Amy Bruni,Jason Hawes,0,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,57,English,,,130,6.6,
Jamie Blanks,101,648,38048637,Alicia Witt,Julian Richings,4,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,426,English,R,14000000,912,5.5,2.35
Stephen Frears,51,418,34700000,Keanu Reeves,Swoosie Kurtz,2,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English,R,14000000,17000,7.7,1.85
Tyler Perry,42,490,35010192,Eddie Cibrian,Jamie Kennedy,1,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,43,English,PG-13,,597,5.4,2.35
Randal Kleiser,10,25,34793160,Seymour Cassel,Susan Hogan,1,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,31,English,PG,14000000,172,6.7,1.85
Bruce McCulloch,43,636,30628981,Will Ferrell,Molly Shannon,1,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,160,English,PG-13,14000000,670,5.0,1.85
Phyllida Lloyd,331,583,29959436,Meryl Streep,Olivia Colman,1,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,350,English,PG-13,13000000,1000,6.4,2.35
Mike Nawrocki,38,8,25571351,Phil Vischer,Shelby Vischer,0,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,78,English,G,14000000,12,6.6,1.85
John Singleton,12,279,27515786,Janet Jackson,Maya Angelou,0,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,31,English,R,14000000,556,5.9,1.85
Kevin Bray,40,111,25482931,Mike Epps,Gino Salvano,2,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,33,English,R,14000000,266,5.7,2.35
Wes Craven,34,364,19900000,John Witherspoon,Allen Payne,1,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,53,English,R,20000000,422,4.5,1.85
John Boorman,82,467,,Linda Blair,Ned Beatty,7,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,252,English,R,14000000,726,3.7,1.85
Courtney Solomon,125,50,16298046,Sissy Spacek,Vernon Dobtcheff,0,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,747,English,PG-13,14000000,613,5.0,2.35
David Zucker,56,636,15549702,Carmen Electra,Molly Shannon,2,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,123,English,PG-13,14000000,779,4.6,1.85
David Twohy,160,690,15483540,Chris Hemsworth,Marley Shelton,4,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,215,English,R,14000000,14000,6.5,2.35
Rick Famuyiwa,71,625,20246959,America Ferrera,Lupe Ontiveros,2,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,20,English,PG-13,14000000,849,4.9,2.35
Alan Cohn,37,654,15062898,Alyson Hannigan,Poppy Montgomery,0,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,106,English,R,14000000,2000,6.0,1.85
Franco Zeffirelli,62,55,14348123,Lily Tomlin,Paolo Seganti,6,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,157,English,PG,12000000,330,6.9,1.85
Tom Holland,73,514,15171475,Joe Mantegna,Kari Wuhrer,0,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,122,English,R,8500000,855,5.7,1.85
Martin Scorsese,59,213,,Robert De Niro,Mary Kay Place,0,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,75,English,PG,14000000,740,6.7,1.66
Spike Lee,25,534,13640000,Alfre Woodard,Isaiah Washington,0,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,39,English,PG-13,14000000,848,6.9,1.85
Chris Rock,97,458,12550242,Steve Buscemi,Wendell Pierce,3,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,55,English,R,,490,5.5,1.85
James Isaac,205,489,12610731,Peter Mensah,Lexa Doig,1,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,673,English,R,11000000,935,4.4,1.85
Shawn Levy,69,799,47811275,Frankie Muniz,Lee Majors,1,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,99,English,PG,15000000,927,5.4,1.85
Emilio Estevez,195,383,11204499,Anthony Hopkins,Brian Geraghty,0,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,270,English,R,14000000,593,7.0,2.35
Mark Waters,61,169,10397365,Monica Potter,China Chow,5,http://www.imdb.com/title/tt0192111/?ref_=fn_tt_tt_1,104,English,PG-13,14000000,834,5.4,2.35
Josh Schwartz,77,635,9402410,Thomas McDonell,Osric Chau,1,http://www.imdb.com/title/tt1663143/?ref_=fn_tt_tt_1,32,English,PG-13,14000000,925,5.4,2.35
Julian Schnabel,259,177,5990075,Emmanuelle Seigner,Isaach De Bankolé,1,http://www.imdb.com/title/tt0401383/?ref_=fn_tt_tt_1,175,French,PG-13,,412,8.0,1.85
Todd Field,251,280,5459824,Kate Winslet,Jane Adams,0,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,320,English,R,26000000,617,7.6,2.35
Davis Guggenheim,63,191,5108820,Norman Reedus,Noam Jenkins,5,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,112,English,R,24000000,215,5.9,2.35
Tony Goldwyn,47,113,4741987,Viggo Mortensen,Tovah Feldshuh,1,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,114,English,R,14000000,233,6.6,1.85
Phillip Noyce,108,15,4291965,Derek Luke,Bonnie Henna,3,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,59,English,PG-13,14000000,113,6.7,2.35
Stephen Carpenter,64,102,3100650,Melissa Sagemiller,Candace Kroslak,4,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,181,English,PG-13,14000000,102,3.9,1.85
James Ivory,20,5,2474000,Seth Gilliam,Nigel Whitmey,1,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,27,English,PG-13,14000000,15,5.7,1.85
Stephan Elliott,135,548,2656324,Colin Firth,Kris Marshall,4,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1,79,English,PG-13,,1000,6.7,2.35
James Fargo,2,324,1000000,Christopher Lee,Behrouz Vossoughi,0,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,8,English,PG,14000000,469,6.5,2.35
Mike Leigh,262,43,3958500,Lesley Manville,Karl Johnson,0,http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,165,English,R,8200000,44,6.8,2.35
Alain Resnais,129,59,403649,Mathieu Amalric,Edouard Baer,0,http://www.imdb.com/title/tt1156143/?ref_=fn_tt_tt_1,31,French,PG,,74,6.3,2.35
Costa-Gavras,69,284,274299,Sebastian Koch,Ulrich Mühe,2,http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1,55,English,Unrated,103000000,326,7.3,1.85
Chao-Bin Su,50,21,,Woo-sung Jung,Kelly Lin,2,http://www.imdb.com/title/tt1460743/?ref_=fn_tt_tt_1,34,Mandarin,R,12000000,32,6.9,2.35
Neil Burger,57,322,183088,John Heard,Mark L. Young,0,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,36,English,R,15000000,329,7.0,1.85
Kenneth Lonergan,116,338,46495,Matt Damon,John Gallagher Jr.,1,http://www.imdb.com/title/tt0466893/?ref_=fn_tt_tt_1,119,English,R,14000000,1000,6.5,1.85
Bo Zenga,45,378,,Steve Howey,Diora Baird,7,http://www.imdb.com/title/tt1185266/?ref_=fn_tt_tt_1,66,English,R,,521,3.6,1.85
Rob Reiner,87,767,1752214,Madeline Carroll,Aidan Quinn,0,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,104,English,PG,14000000,872,7.7,1.85
Ang Lee,357,11000,83025853,Jake Gyllenhaal,Anne Hathaway,0,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,2254,English,R,14000000,13000,7.7,1.85
Jonathan Liebesman,348,429,190871240,Noel Fisher,Jeremy Howard,0,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,491,English,PG-13,125000000,809,5.9,2.35
Amy Heckerling,88,201,56631572,Donald Faison,Elisa Donovan,1,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,248,English,PG-13,12000000,281,6.8,1.85
Todd Haynes,181,135,15854988,Dennis Quaid,Michael Gaston,2,http://www.imdb.com/title/tt0297884/?ref_=fn_tt_tt_1,378,English,PG-13,13500000,258,7.4,1.85
Steve Pink,107,390,12282677,Adam Scott,Collette Wolfe,4,http://www.imdb.com/title/tt2637294/?ref_=fn_tt_tt_1,96,English,R,14000000,837,5.1,1.85
,53,2,447093,Krystyna Janda,Olgierd Lukaszewicz,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Polish,TV-MA,,3,9.1,1.33
Philip Kaufman,132,170,7060876,Kate Winslet,Amelia Warner,1,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,314,English,R,13500000,230,7.4,1.85
Martin McDonagh,401,816,14989761,Abbie Cornish,Michael Stuhlbarg,7,http://www.imdb.com/title/tt1931533/?ref_=fn_tt_tt_1,284,English,R,15000000,906,7.2,2.35
Kasi Lemmons,58,400,687081,Colm Feore,Aunjanue Ellis,0,http://www.imdb.com/title/tt0182000/?ref_=fn_tt_tt_1,59,English,R,,508,6.0,1.85
,1,2,,Jacek Koman,Jaroslaw Boberek,4,http://www.imdb.com/title/tt4048942/?ref_=fn_tt_tt_1,2,Polish,,,2,7.4,
Oliver Hirschbiegel,192,471,5501940,Thomas Kretschmann,Alexandra Maria Lara,0,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,564,German,R,13500000,653,8.3,1.85
Alejandro Amenábar,157,93,2086345,Belén Rueda,Tamar Novas,1,http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1,140,Spanish,PG-13,10000000,114,8.1,2.35
Jonathan Glazer,454,21,2605039,Scarlett Johansson,Alison Chand,0,http://www.imdb.com/title/tt1441395/?ref_=fn_tt_tt_1,616,English,R,,50,6.3,1.85
Barry Levinson,62,227,123922370,Robin Williams,Bruno Kirby,1,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,131,English,R,13000000,263,7.3,1.85
Hyung-rae Shim,4,385,163591,Jason Mewes,Michael Rispoli,5,http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1,17,English,PG-13,13400000,391,3.6,1.78
Jon M. Chu,84,41,73000942,Usher Raymond,Boys II Men,1,http://www.imdb.com/title/tt1702443/?ref_=fn_tt_tt_1,233,English,G,13000000,69,1.6,1.85
Darren Aronofsky,669,1000,106952327,Natalie Portman,Mark Margolis,1,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,1140,English,R,13000000,15000,8.0,2.35
José Padilha,492,1000,58607007,Gary Oldman,Jennifer Ehle,0,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,630,English,PG-13,100000000,2000,6.2,2.35
Francis Ford Coppola,149,3000,57300000,Robert De Niro,Robert Duvall,1,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,650,English,R,13000000,14000,9.0,1.85
Thomas Carter,101,237,91038276,Sean Patrick Thomas,Fredro Starr,0,http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1,320,English,PG-13,13000000,363,6.1,1.85
Renny Harlin,102,54,49369900,Tuesday Knight,Brooke Bundy,0,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,260,English,R,7000000,125,5.7,1.85
Patricia Riggen,63,579,61693523,Jennifer Garner,Martin Henderson,0,http://www.imdb.com/title/tt4257926/?ref_=fn_tt_tt_1,55,English,PG,13000000,3000,6.8,1.85
Danny Leiner,106,612,46729374,Jennifer Garner,Marla Sokoloff,2,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,469,English,PG-13,13000000,934,5.5,1.37
Christopher Cain,50,316,44726644,Jack Palance,Brian Keith,5,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,120,English,R,13000000,439,6.8,1.85
Theodore Melfi,275,360,44134898,Bill Murray,Reg E. Cathey,3,http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1,171,English,PG-13,13000000,6000,7.3,1.85
Steve Pink,90,460,48637684,Joe Lo Truglio,Bryan Callen,4,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,42,English,R,12500000,807,6.1,2.35
Gil Junger,133,835,38176108,Joseph Gordon-Levitt,Andrew Keegan,6,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,549,English,PG-13,16000000,13000,7.2,1.85
Ed Decter,49,301,28972187,Zooey Deschanel,Gene Simmons,1,http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1,159,English,PG-13,13000000,489,5.9,1.85
Gene Quintano,19,182,27979400,Jon Lovitz,Bill Nunn,2,http://www.imdb.com/title/tt0107659/?ref_=fn_tt_tt_1,72,English,PG-13,8200000,852,6.1,1.85
Jaume Collet-Serra,186,2,54257433,Óscar Jaenada,Sedona Legge,0,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,139,English,PG-13,17000000,350,6.8,2.35
Eric Bress,185,829,23947,Logan Lerman,Cameron Bright,0,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,1100,English,R,13000000,902,7.7,1.85
Chris Koch,42,329,60008303,Chris Elliott,Jean Smart,1,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,91,English,PG,13000000,442,4.9,1.85
Preston A. Whitmore II,37,912,49121934,Mekhi Phifer,Loretta Devine,9,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,32,English,PG-13,13000000,997,6.1,2.35
Bob Clark,45,782,27141959,Kathleen Turner,Ruby Dee,2,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,168,English,PG,18000000,842,2.5,1.85
Kirk Wong,57,459,27052167,Bokeem Woodbine,Antonio Sabato Jr.,5,http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1,168,English,R,13000000,471,6.1,1.85
Bronwen Hughes,25,388,26539321,Gregory Smith,Charlotte Sullivan,1,http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1,42,English,PG,13000000,558,5.9,1.85
John Lafia,59,435,28501605,Jenny Agutter,Greg Germann,0,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,166,English,R,13000000,628,5.7,1.85
Sam Miller,58,334,52543632,Leslie Bibb,Henry Simmons,2,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,84,English,PG-13,13200000,345,5.6,2.35
Frank Darabont,330,745,25592632,Toby Jones,Jeffrey DeMunn,0,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,1066,English,R,18000000,850,7.2,1.85
Alex Garland,489,123,25440971,Elina Alminas,Corey Johnson,0,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,611,English,R,15000000,145,7.7,2.35
Spike Jonze,242,213,22858926,Willie Garson,Mary Kay Place,2,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,840,English,R,13000000,216,7.8,1.85
Mark Brown,40,405,22235901,Mo'Nique,Tamala Jones,2,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,31,English,R,6000000,890,6.1,1.85
Dave Green,112,140,38916903,Teo Halm,Jason Gray-Stanford,0,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,149,English,PG,13000000,587,5.8,1.85
John Stockwell,84,525,16929123,Kirsten Dunst,Rolando Molina,2,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,169,English,PG-13,14000000,1000,6.5,1.85
Clint Eastwood,251,78,13753931,Yuki Matsuzaki,Shidô Nakamura,0,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,316,Japanese,R,19000000,85,7.9,2.35
Michael Polish,113,844,10996440,J.K. Simmons,Bruce Dern,0,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,128,English,PG,13000000,912,6.3,2.35
Daisy von Scherler Mayer,23,744,8026971,LL Cool J,Dave Chappelle,0,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,20,English,R,13000000,851,3.8,
Lenny Abrahamson,421,491,14677654,Joan Allen,Cas Anvar,0,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,351,English,R,13000000,681,8.3,2.35
Bob Saget,32,294,9975684,Don Rickles,Traylor Howard,0,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,117,English,PG-13,13000000,359,6.4,1.85
John Waters,52,650,7881335,Kathleen Turner,Traci Lords,4,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,107,English,R,13000000,849,6.7,1.66
Andrew Fleming,81,4000,6241697,Ryan Reynolds,Kirsten Dunst,2,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,210,English,PG-13,13000000,8000,6.1,1.85
Niels Arden Oplev,,75,,Michael Nyqvist,Lena Endre,0,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,,Swedish,,,94,8.1,
Craig Bolotin,39,730,5871603,Rosario Dawson,Robert Ri'chard,3,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,39,English,R,13000000,1000,6.0,1.85
Mark Christopher,63,812,16574731,Salma Hayek,Sela Ward,4,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,181,English,R,13000000,957,5.8,1.85
Blair Hayes,47,690,5002310,Jake Gyllenhaal,Marley Shelton,0,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,181,English,PG-13,13000000,816,5.6,2.35
Jez Butterworth,111,258,4919896,Mark Gatiss,Ben Chaplin,1,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,159,English,R,13000000,326,6.1,2.35
Jon Lucas,168,499,25675765,Justin Chon,Sarah Wright,0,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84,English,R,13000000,528,5.9,2.35
Olivier Assayas,165,280,4857376,Steve Buscemi,Catalina Sandino Moreno,0,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,123,French,R,13000000,530,7.3,1.85
Rod Lurie,104,548,3169424,Harry Lennix,Peter Coyote,1,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,59,English,PG-13,13000000,573,6.8,2.35
Paul Weitz,150,252,18004225,Tina Fey,Christopher Evan Welch,2,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87,English,PG-13,13000000,257,5.7,2.35
Patrice Leconte,61,8,3058380,Emir Kusturica,Yves Jacques,1,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,69,French,R,100000000,370,7.3,2.35
Atom Egoyan,226,73,3074838,Liam Neeson,Natalie Lisinska,2,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,166,English,R,11000000,153,6.3,1.85
Paul Mazursky,21,150,2104000,Chazz Palminteri,Paul Mazursky,3,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,19,English,R,13000000,385,5.9,1.85
Jim Sheridan,217,1000,28501651,Natalie Portman,Ethan Suplee,0,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,English,R,26000000,15000,7.1,2.35
Sidney Lumet,94,968,1172769,Peter Dinklage,Alex Rocco,2,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,108,English,R,13000000,14000,7.1,1.85
Stephen Chbosky,364,850,17738570,Logan Lerman,Kate Walsh,2,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,457,English,PG-13,13000000,3000,8.0,1.85
Jon Hess,19,147,1200000,Burt Young,Thomas Ian Griffith,1,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,23,English,R,3000000,155,5.1,1.85
Douglas McGrath,129,442,1150403,Toby Jones,Hope Davis,4,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,102,English,R,13000000,812,7.1,1.85
Michael Winterbottom,71,887,403932,Milla Jovovich,Shirley Henderson,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,English,R,20000000,900,6.5,2.35
Mark Neveldine,93,794,1712111,Djimon Hounsou,Dougray Scott,0,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,53,English,PG-13,8495000,1000,4.5,1.85
Joe Cornish,399,304,1024175,John Boyega,Jodie Whittaker,6,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,297,English,R,13000000,305,6.6,2.35
Angelina Jolie Pitt,110,116,301305,Jelena Jovanova,Branko Djuric,0,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,180,Bosnian,R,13000000,164,4.3,2.35
Brad Anderson,285,383,51872378,Michael Imperioli,Roma Maffia,0,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,266,English,R,13000000,461,6.7,1.85
John H. Lee,2,29,31662,Liam Neeson,Jung-jae Lee,1,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,1,English,,12620000,81,6.8,
John Stainton,61,234,28399192,Steve Irwin,Steve Bastoni,0,http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1,106,English,PG,13000000,238,5.4,2.35
Glenn Ficarra,242,113,2035566,Dameon Clarke,Annie Golden,0,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,162,English,R,13000000,157,6.6,1.85
Jean-Jacques Annaud,62,91,,Rae Dawn Chong,Gary Schwartz,0,http://www.imdb.com/title/tt0082484/?ref_=fn_tt_tt_1,96,None,R,12500000,201,7.4,2.35
Denzel Washington,121,543,21078145,Denzel Washington,Derek Luke,0,http://www.imdb.com/title/tt0168786/?ref_=fn_tt_tt_1,159,English,PG-13,12500000,638,7.3,2.35
Michael Hoffman,83,355,14060950,Gabriel Millman,Rob Morrow,1,http://www.imdb.com/title/tt0283530/?ref_=fn_tt_tt_1,139,English,PG-13,12500000,795,6.9,1.85
Tony Scott,122,975,12281500,Brad Pitt,Michael Rapaport,3,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,460,English,R,13000000,10000,8.0,2.35
Benedek Fliegauf,88,1000,,Eva Green,Hannah Murray,1,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,35,English,Unrated,3660000,2000,6.4,2.35
