director_name,duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,movie_imdb_link,budget,aspect_ratio
Adam Carolla,98,102,563,1351,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,1500000,
Ira Sachs,108,60,826,1134,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,1500000,1.85
John Sayles,124,407,38,463,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,1700000,
Bruce McDonald,95,49,413,22212,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,1500000,2.35
James Mottern,90,7,87000,2792,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,2000000,2.35
Jaime Zevallos,93,228,310,7,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,1500000,
Rob Zombie,101,0,1000,20376,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,2500000,2.35
Gerard Johnstone,107,3,61,23323,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,350000,2.35
Robert Greenwald,20,21,0,4120,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,1500000,1.85
David Ray,87,0,199,1232,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,1500000,
Dave Rodriguez,98,11,979,291,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,1500000,1.89
Nae Caranfil,112,34,129,2841,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,5000000,2.35
David Winning,82,65,341,459,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,1500000,
Frank Lotito,102,5,3000,108,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,2000000,1.85
Timothy Woodward Jr.,97,764,835,735,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,1500000,2.35
Christopher McQuarrie,130,188,10000,226583,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,60000000,2.35
Tara Subkoff,101,37,501,1547,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,1500000,
Russell Friedenberg,93,9,708,133,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2000000,
William Cottrell,83,0,82,133348,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,2000000,1.37
Lucrecia Martel,106,33,341,2720,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,1400000,1.85
Edward Dmytryk,113,74,984,1978,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,1455000,2.35
Zak Penn,94,87,87,3291,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,1400000,1.85
Alex Ranarivelo,101,20,1000,162,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,2000000,2.35
Jon Knautz,99,10,756,4948,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,3150000,2.35
Mathieu Amalric,76,412,412,2082,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,,1.33
David Worth,91,58,847,330,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,1400000,
Leslie H. Martinson,105,7,1000,22975,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,1377800,1.85
Guy Ritchie,120,0,26000,414976,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,960000,1.85
Robert M. Young,105,0,883,39,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,1250000,
,120,,416,3405,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,,4.0
Thomas Vinterberg,105,346,280,65951,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,1300000,1.33
Steve Buscemi,95,12000,12000,11369,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,1300000,1.85
Ham Tran,135,5,51,775,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,1592000,1.85
Rich Cowan,105,7,2000,449,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,1300000,1.85
Boris Rodriguez,83,5,413,1231,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,1500000,
Harold Becker,111,17,13000,54316,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,60000000,2.35
,60,,210,6381,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,5000000,1.33
Sadyk Sher-Niyaz,135,135,0,3144,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,1400000,2.35
Paul Donovan,88,4,232,1339,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,1750000,1.85
Jonathan Kesselman,87,4,2000,4182,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,1000000,1.85
Arjun Sablok,97,0,374,1167,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,1500000,2.35
Craig Moss,82,19,700,5579,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,1300000,1.85
Tyler Oliver,103,0,35000,4866,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,1300000,2.35
Alfred Hitchcock,130,13000,1000,87424,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,1288000,1.37
Steve Miner,87,49,309,39690,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,1250000,1.85
Billy Wilder,101,0,287,24959,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,1250000,1.37
Douglas Cheek,96,4,796,7528,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,1250000,1.85
Youssef Delara,80,8,2000,910,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,427000,2.35
Deryck Broom,87,11,578,458,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,15000000,1.78
Henry Hathaway,92,83,469,11047,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,1250000,1.37
John Ford,118,673,595,15840,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,1250000,1.37
,27,,934,3282,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,,
Spike Lee,123,0,3000,794,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,1420000,2.35
Steven Soderbergh,100,0,828,37785,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,1200000,1.85
James Wan,103,0,2000,299127,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,1200000,1.85
Jay Chandrasekhar,100,422,816,76151,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,1200000,1.85
Giovanni Zelko,99,4,18000,101,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,1300000,1.85
Claudia Sainte-Luce,89,0,31,1229,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,1300000,
Scott Derrickson,104,301,18000,139426,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,80000000,2.35
Mira Nair,114,300,307,19397,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,7000000,1.85
Kenneth Lonergan,111,50,2000,22145,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,1200000,1.85
Alfred Hitchcock,99,13000,282,24891,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,1200000,1.5
Paul McGuigan,110,118,13000,262160,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,27000000,2.35
Jamie Babbit,85,91,1000,19986,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,1200000,1.85
David Boyd,113,29,890,2417,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,1200000,2.35
Quentin Tarantino,99,16000,16000,664719,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,1200000,2.35
Walter Lang,83,9,94,1047,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,,1.37
Sergio Leone,142,0,16000,503509,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,1200000,2.35
Anna Muylaert,112,9,61,7025,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,4000000,2.35
Steve Taylor,108,14,1000,2582,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,1200000,1.85
Kurt Voss,88,0,268,91,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,1200000,1.78
Léa Pool,97,4,,591,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,1200000,
James David Pasternak,85,0,49000,132,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,1200000,
Laurent Bouhnik,103,0,34,4068,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,1500000,1.78
Tom Sanchez,110,0,3,27,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,1200000,
David Caffrey,88,4,690,2953,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,,1.85
Adam Jay Epstein,76,0,387,9560,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,,1.85
Michael Curtiz,100,345,843,3418,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,1200000,1.37
Justin Thomas Ostensen,99,0,721,652,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,1200000,
Brenton Spencer,84,0,380,1321,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,1200000,
Rob Bowman,91,38,584,5061,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,2600000,1.85
Ossie Davis,97,282,586,1172,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,1200000,1.85
Jay Alaimo,84,2,10000,742,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,1200000,
Dylan Bank,100,0,498,71,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,1200000,
Rob McKittrick,94,6,16000,76467,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,3000000,1.85
Shane Meadows,90,222,680,39929,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,695393,1.85
,,,511,726,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,,2.0
Jeff Burr,92,155,448,1324,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,1100000,1.85
Harry Gantz,105,0,,285,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,,1.33
Guy Maddin,73,126,14,1555,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,1600000,1.85
Regardt van den Bergh,116,12,412,2050,http://www.imdb.com/title/tt0850667/?ref_=fn_tt_tt_1,10000000,1.85
Panos Cosmatos,110,22,434,6555,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,1100000,2.35
Gareth Evans,102,338,1000,148221,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,1100000,1.85
Matthew R. Anderson,89,252,1000,737,http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1,1100000,1.85
Joe Marino,76,0,12,332,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,1100000,2.35
Michael Curtiz,82,345,2000,387508,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,950000,1.37
Joel Anderson,89,0,12,9465,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,1400000,1.85
Shimit Amin,150,6,964,11010,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,,
Douglas Trumbull,89,136,844,20678,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,1000000,1.85
John G. Avildsen,145,80,13000,375240,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,960000,1.33
Mona Fastvold,91,2,321,512,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,1100000,2.35
John Carpenter,89,0,2000,46493,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,1000000,2.35
Tony Richardson,121,62,883,8508,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,1000000,1.37
Levan Gabriadze,83,6,707,44329,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,1000000,1.85
Martin Scorsese,110,17000,22000,507063,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,1300000,1.85
Joe Dante,91,287,1000,22773,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,1000000,1.85
Terence Young,110,92,650,116642,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,1100000,1.37
Bradley Parker,86,18,1000,52642,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,1000000,1.85
Clive Barker,86,385,266,76407,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,1000000,1.85
Harold Cronk,120,18,634,4501,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,5000000,2.35
Jeff Wadlow,90,65,1000,23021,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,1000000,2.35
Takao Okawara,99,2,43,5442,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,1000000000,2.35
Derek Cianfrance,112,310,33000,141425,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,3500000,1.66
Duncan Tucker,103,2,2000,36321,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,1000000,1.85
William Brent Bell,83,19,403,30570,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,1000000,1.85
Russ Meyer,109,199,503,7584,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,900000,2.35
Robert D. Webb,89,0,356,2636,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,1000000,2.35
Davis Guggenheim,96,49,861,67654,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,,1.85
Allan Dwan,109,23,183,7346,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,1000000,1.37
Martin Scorsese,122,17000,543,9638,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,,1.85
Eli Roth,100,0,640,21468,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,6000000,2.35
Andrew Steggall,109,0,202,162,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,1100000,1.85
Ben Lewin,95,20,422,36381,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,1000000,1.85
Robert Kenner,94,11,37,42389,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,,1.78
Andrew Erwin,107,10,544,6110,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,,
Brad Anderson,104,122,22000,4195,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,1000000,1.85
Jason Reitman,96,655,24000,414345,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,7500000,1.85
Craig Johnson,93,7,3000,31254,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,,2.35
Sean Durkin,102,46,321,40425,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,,2.35
Gillian Robespierre,84,9,612,16594,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,,2.35
Courtney Hunt,97,33,496,21746,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,1000000,1.85
Morgan Neville,91,9,130,9540,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,1000000,1.78
James Toback,84,56,21000,5933,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,1000000,1.85
Nicole Holofcener,86,132,778,2629,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,1000000,1.85
Peter Cattaneo,91,11,1000,82232,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,3500000,1.85
Chris Paine,92,2,783,11283,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,1000000,1.75
Greg Berlanti,94,112,1000,6084,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,1000000,2.35
Don Coscarelli,92,152,1000,38893,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,1000000,1.85
Rob Letterman,103,11,2000,47988,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,58000000,2.35
Marc Levin,100,12,245,1976,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,1000000,1.85
Richard Dutcher,119,13,957,983,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,1000000,1.85
Khalid Mohamed,167,10,353,2715,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,1000000,2.35
Mel Brooks,92,0,1000,36559,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,11000000,2.35
Trey Parker,92,406,406,30396,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,1000000,1.85
David Gordon Green,108,234,11000,9233,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,2500000,2.35
Finn Taylor,97,4,611,1524,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,1000000,1.85
Karen Moncrieff,88,22,638,3142,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,1000000,1.85
José Luis Valenzuela,100,0,844,505,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,1000000,
Gia Coppola,100,71,11000,19752,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,,1.85
Scandar Copti,124,13,20,4999,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,,1.85
Goran Dukic,88,21,1000,46076,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,1000000,1.78
Mike Cahill,106,135,7000,75633,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,,2.39
Efram Potelle,79,2,855,3806,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,1000000,1.85
Peter Jackson,135,0,873,125114,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,65000000,2.35
Joshua Oppenheimer,96,50,3,23836,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,1000000,1.85
Alex Gibney,53,141,141,10564,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,1000000,1.85
Paul Crowder,97,10,102,1290,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,1000000,1.85
Rohit Jagessar,120,0,12,56,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,,
Griffin Dunne,90,165,978,455,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,,
Anthony Powell,91,9,53,2482,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,1000000,1.85
Kief Davidson,93,0,20,1220,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,1000000,
Johnny Remo,112,74,260000,606,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,1000000,1.85
Vivek Agnihotri,160,5,724,1524,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,1500000,
Ti West,95,243,969,30160,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,900000,1.85
Nick Tomnay,93,11,443,20176,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,500000,1.85
John Hamburg,88,29,499,2735,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,1000000,1.85
Nickolas Perry,105,5,590,1434,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,1000000,
Dan Zukovic,98,8,96,334,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,,1.85
Craig Mazin,82,82,2000,1938,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,1000000,1.85
Becky Smith,89,32,386,397,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,1000000,1.78
Eric Nicholas,78,0,262,3228,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,1000000,1.85
Benjamin Dickinson,97,4,446,1048,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,1000000,2.39
Hal Haberman,81,0,975,4862,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,1000000,1.85
Darren Stein,90,18,491,377,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,,
A. Raven Cruz,97,0,639,534,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,1000000,1.78
Brian Trenchard-Smith,88,53,563,783,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,1000000,1.85
Frank Whaley,96,436,474,480,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,1500000,1.85
Amat Escalante,105,50,327,3499,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,1000000,1.85
Wajahat Rauf,,3,7,876,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,1000000,
Katherine Brooks,76,57,442,9190,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,1000000,1.85
David Cross,96,0,782,1359,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,1000000,1.78
Randall Rubin,99,0,363,1420,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,1000000,
Robert Bennett,90,15,984,1612,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,1000000,16.0
Guy Hamilton,94,82,694,340,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,,1.37
Mary Pat Kelly,87,3,767,275,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,1000000,
Lori Petty,93,923,34000,3943,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,,1.85
Charlie Levi,90,0,1000,33,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,1000000,
Kevin Hamedani,89,23,199,3650,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,500000,1.85
David DeCoteau,83,142,458,634,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,1000000,1.78
Mikel Rueda,96,0,90,955,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,,2.35
Stefan C. Schaefer,90,0,898,982,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,1000000,1.66
Michael Taliferro,138,105,592,293,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1000000,
David DeCoteau,84,142,10000,93,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,1000000,1.78
Katie Aselton,83,224,224,6531,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,,1.85
Robert Heath,96,0,335,6513,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,1000000,2.35
D. Stevens,94,6,92,425,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,1000000,
Jeffrey St. Jules,90,0,57,137,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,1000000,
Robert Hall,95,53,677,6256,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,1000000,2.35
