num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
105,88,8,Meryl Streep,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,Julia Roberts,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,English,PG,50000000,2006,5.9,1.85,593
144,177,0,Jürgen Prochnow,Action|Adventure|Sci-Fi,Virginia Madsen,Dune ,97087,2449,José Ferrer,desert planet|dune|giant worm|space travel|spice,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,English,PG-13,40000000,1984,6.6,2.35,11000
156,133,278,T.V. Carpio,Drama|Fantasy|Musical|Romance,Jim Sturgess,Across the Universe ,91860,5405,Robert Clohessy,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,English,PG-13,45000000,2007,7.4,2.35,14000
323,119,0,Kate Winslet,Drama|Romance,Leonardo DiCaprio,Revolutionary Road ,152591,53895,Joe Komara,based on novel|children|connecticut|suburb|work,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,English,R,35000000,2008,7.3,2.35,0
199,102,503,David Zayas,Action|Crime|Drama|Thriller,Bruce Willis,16 Blocks ,112769,15053,Sasha Roiz,alcoholic|courthouse|detective|jail|witness,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,English,PG-13,52000000,2006,6.6,2.35,0
164,101,326,Charlotte Rampling,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,Babylon A.D. ,81523,15990,David Belle,box office flop|convent|mercenary|new york|pregnant,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,English,PG-13,70000000,2008,5.6,2.35,0
39,91,29,Bob Gunton,Action|Comedy|Crime|Drama|Thriller,Alexa PenaVega,The Glimmer Man ,15455,3855,Keenen Ivory Wayans,detective|heavy rain|murder|partner|serial killer,http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1,English,R,45000000,1996,5.3,1.85,451
43,117,11000,Brian Doyle-Murray,Comedy|Romance|Sci-Fi,John de Lancie,Multiplicity ,24757,2348,Obba Babatundé,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1,English,PG-13,45000000,1996,6.0,2.35,0
82,86,13,Carter Jenkins,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,Aliens in the Attic ,16580,3423,Tim Meadows,alien|attic|boyfriend|mind control|nintendo ds,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,English,PG,45000000,2009,5.4,1.85,916
150,124,0,Adrien Dorval,Crime|Drama|Mystery|Thriller,Costas Mandylor,The Pledge ,42621,793,Nels Lennarson,nevada|pledge|police|porcupine|search,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,English,R,45000000,2001,6.8,2.35,0
168,134,38,Will Ferrell,Comedy|Musical,Jon Lovitz,The Producers ,35140,24351,Matthew Broderick,accountant|money|opening night|scheme|swedish,http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,English,PG-13,45000000,2005,6.4,2.35,0
432,95,38,Jason Cope,Action|Sci-Fi,Wood Harris,Dredd ,203461,578,Rakie Ayola,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,English,R,35000000,2012,7.1,2.35,46000
60,100,23,Treat Williams,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,The Phantom ,27648,3855,Kristy Swanson,ghost|new york city|phantom|skull|superhero,http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,English,PG,45000000,1996,4.9,2.35,0
85,220,0,Henry Thomas,Drama|Romance|Western,Matt Damon,All the Pretty Horses ,11388,15006,Sam Shepard,1940s|cowboy|mexico|railway station|texas,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,English,PG-13,57000000,2000,5.8,2.35,652
83,212,0,Bob Hoskins,Biography|Drama|History,Anthony Hopkins,Nixon ,23996,21130,Joan Allen,courtship|election|paranoia|president|quaker,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,English,R,50000000,1995,7.1,2.35,915
343,128,2000,Olivia Williams,Mystery|Thriller,Jim Belushi,The Ghost Writer ,132423,2507,Timothy Hutton,british prime minister|death|island|memoir|writer,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,English,PG-13,45000000,2010,7.2,2.35,15000
106,106,208,Jason Flemyng,Action|Adventure|Horror|Sci-Fi,Djimon Hounsou,Deep Rising ,26551,6558,Wes Studi,creature feature|hijacker|ocean|ship|shot in the leg,http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,English,R,45000000,1998,6.0,2.35,0
158,160,0,Omari Hardwick,Action|Crime|Drama|Thriller|War,Joseph Gordon-Levitt,Miracle at St. Anna ,15697,26982,Laz Alonso,boy|german soldier|partisan|trapped|village,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,English,R,45000000,2008,6.0,2.35,0
189,114,611,Ye Liu,Drama|Romance,Li Gong,Curse of the Golden Flower ,36455,949,Man Li,china|chrysanthemum|emperor|empress|prince,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,Mandarin,R,45000000,2006,7.0,2.35,0
125,99,15,Charlie Yeung,Action|Crime|Thriller,Nicolas Cage,Bangkok Dangerous ,48245,12166,James With,deaf|hitman|nightclub|pickpocket|rules of profession,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,English,R,40000000,2008,5.4,1.85,0
87,74,188,Janeane Garofalo,Comedy|Crime|Thriller,Zooey Deschanel,Big Trouble ,17307,13917,Omar Epps,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,English,PG-13,40000000,2002,6.5,1.85,892
115,139,179,Giovanna Mezzogiorno,Drama|Romance,Marcela Mar,Love in the Time of Cholera ,19114,538,Unax Ugalde,19th century|colombia|love|marriage|widow,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,English,R,45000000,2007,6.4,2.35,0
23,52,,Clotilde Hesme,Drama|Fantasy|Horror|Mystery,Pierre Perrier,The Returned             ,15762,654,Céline Sallette,france|living dead|serial killer|small town|supernatural,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,French,TV-MA,,,8.3,16.0,17000
24,103,170,Ben Gazzara,Action|Thriller,Sam Waterston,Shadow Conspiracy ,3803,2457,Nicholas Turturro,american president|assassin|conspiracy|president|white house,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,English,R,45000000,1997,4.9,2.35,68
152,101,32,Tim McInnerny,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Johnny English Reborn ,89568,661,Togo Igawa,assassin|chinese|conspiracy|gadget|premier,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,English,PG,45000000,2011,6.3,2.35,17000
12,91,11,Larry Miller,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,Foodfight! ,4377,3090,Harvey Fierstein,femme fatale|food|pun|supermarket|troubled production,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,English,PG,65000000,2012,1.7,,0
656,130,0,Scoot McNairy,Biography|Drama|History|Thriller,Clea DuVall,Argo ,452465,3133,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,English,R,44500000,2012,7.7,2.35,89000
119,130,99,Daniel Roebuck,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,The Fugitive ,213668,13357,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,English,PG-13,44000000,1993,7.8,1.85,0
161,110,72,Dorian Missick,Action|Comedy|Romance,Gerard Butler,The Bounty Hunter ,96565,21554,Peter Greene,bounty hunter|death|murder|police officer|reporter,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,English,PG-13,40000000,2010,5.5,2.35,0
73,147,272,Brad Pitt,Crime|Drama|Thriller,Robert De Niro,Sleepers ,154487,37076,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,English,R,44000000,1996,7.5,2.35,0
96,96,170,Julia Nickson,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo: First Blood Part II ,117606,15662,Martin Kove,1980s|mission|prison|rambo|vietnam,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,English,R,44000000,1985,6.4,2.35,0
28,118,13,Demi Moore,Drama|Thriller,Joseph Gordon-Levitt,The Juror ,13995,26907,Anne Heche,breasts|mafia|sex scene|temple|woods,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,English,R,44000000,1996,5.6,2.35,353
105,88,3,Dickie Jones,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,90360,1178,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,English,Approved,2600000,1940,7.5,1.37,0
102,325,517,Sam Waterston,Adventure|Drama|Western,Jeff Bridges,Heaven's Gate ,9830,14255,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,English,R,44000000,1980,6.8,2.35,1000
206,102,235,Tony Curran,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,156225,2998,Derek Jacobi,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,English,R,50000000,2006,6.8,2.35,0
159,110,118,Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,28618,12876,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,PG-13,40000000,2015,6.0,2.35,11000
137,136,835,Rob Brown,Drama,F. Murray Abraham,Finding Forrester ,73006,1801,Michael Nouri,basketball|mentor|new york|school|writing,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,English,PG-13,43000000,2000,7.3,2.35,0
116,103,84,Viggo Mortensen,Comedy|Drama,Steve Buscemi,28 Days ,34597,23864,Elizabeth Perkins,12 step program|box office hit|car accident|vomiting|wedding,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,English,PG-13,43000000,2000,6.0,1.37,0
177,103,255,Jet Li,Action|Crime|Drama|Thriller,Morgan Freeman,Unleashed ,85198,22383,Bob Hoskins,collar|dog|fight|fighting|piano,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,English,R,45000000,2005,7.0,2.35,0
99,90,16,Lillian Adams,Comedy|Romance,Judith Chapman,The Sweetest Thing ,46158,132,Chelsea Bond,female removes her clothes|roommate|voyeur|voyeurism|wedding,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,English,R,43000000,2002,5.1,1.85,0
56,154,521,Holly Hunter,Drama|Mystery|Thriller,Tom Cruise,The Firm ,88844,14244,Wilford Brimley,bar|fbi|law|law firm|lawyer,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,English,R,42000000,1993,6.8,1.85,0
117,99,23,Charlie Tahan,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,47364,1066,Valerie Tian,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,English,PG-13,44000000,2010,6.5,2.35,0
252,93,165,Tony Goldwyn,Action|Crime|Thriller,Jason Statham,The Mechanic ,117999,27834,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,English,R,40000000,2011,6.6,2.35,16000
375,109,97,Dax Flame,Action|Comedy|Crime,Channing Tatum,21 Jump Street ,408302,19968,Rob Riggle,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,English,R,42000000,2012,7.2,2.35,39000
150,124,50,Clarke Peters,Comedy|Drama|Romance,Julia Roberts,Notting Hill ,203269,9255,Dylan Moran,actress|bookstore|friend|kiss|love,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,English,PG-13,42000000,1999,7.0,2.35,11000
187,84,91,Miranda Richardson,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run ,140499,1817,Julia Sawalha,chicken|escape|farm|freedom|rooster,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,English,G,45000000,2000,7.0,1.85,0
108,90,29,Masi Oka,Comedy|Romance,Philip Seymour Hoffman,Along Came Polly ,106909,24534,Debra Messing,bride|friend|honeymoon|insurance|insurance company,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,English,PG-13,42000000,2004,5.9,1.85,0
21,117,71,Eartha Kitt,Comedy|Drama|Romance,John Witherspoon,Boomerang ,20183,3841,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,English,R,40000000,1992,5.4,1.85,0
270,123,176,William Xifaras,Action|Comedy|Crime,Michael Rapaport,The Heat ,133177,4825,Demián Bichir,drug lord|fbi|fbi agent|hospital|shot in the crotch,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,English,R,43000000,2013,6.6,2.35,24000
72,251,311,Richard Burton,Biography|Drama|History|Romance,Martin Landau,Cleopatra ,21554,2957,Roddy McDowall,cleopatra|egypt|epic|queen|roman empire,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,English,Approved,31115000,1963,7.0,2.2,0
154,105,153,Reggie Lee,Action|Comedy|Sport,Salma Hayek,Here Comes the Boom ,74169,6727,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,English,PG,42000000,2012,6.5,1.85,17000
114,115,73,Adam Scott,Crime|Drama|Mystery|Thriller,Morgan Freeman,High Crimes ,30077,15571,Bruce Davison,defense lawyer|lawyer|marine|murder|villager,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,English,PG-13,42000000,2002,6.3,2.35,893
27,122,0,Austin Pendleton,Comedy|Drama|Romance,Jeff Bridges,The Mirror Has Two Faces ,11453,13716,Mimi Rogers,columbia university|lecture|marriage|professor|sex,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,English,PG-13,42000000,1996,6.5,1.85,0
166,119,89,Will Patton,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,63677,1651,David Eigenberg,car accident|death of wife|mothman|point pleasant west virginia|urban legend,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,English,PG-13,32000000,2002,6.5,2.35,0
288,81,119,Elton John,Comedy,Bono,Brüno ,119622,2134,Slash,austrian|fame|fashion|gay lead character|mockumentary,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,English,R,42000000,2009,5.8,1.85,0
117,133,46,Talisa Soto,Action|Adventure|Thriller,Robert Davi,Licence to Kill ,74009,2371,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,English,PG-13,32000000,1989,6.6,2.35,0
291,100,308,Billy Burke,Fantasy|Horror|Mystery|Thriller,Gary Oldman,Red Riding Hood ,91151,15369,Virginia Madsen,death|forest|love|werewolf|werewolf bite,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,English,PG-13,42000000,2011,5.4,2.35,20000
151,120,17,Charlize Theron,Action|Crime|Drama|Thriller,Robert De Niro,15 Minutes ,42547,33585,Kelsey Grammer,criminal|detective|fire|homicide|media,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,English,R,42000000,2001,6.1,2.35,748
36,104,5,Fisher Stevens,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,Super Mario Bros. ,38203,7723,Fiona Shaw,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,English,PG,42000000,1993,4.0,1.85,0
