director_name,num_critic_for_reviews,duration,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes
Joel Edgerton,297,108,Allison Tolman,1000,43771291,Busy Philipps,79909,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,R,5000000,2015,562
Jim Hanon,47,108,Chad Allen,772,11703287,Chase Ellison,4360,Jack Guzman,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,148,English,PG-13,10000000,2005,232
Tommy O'Haver,63,87,Kirsten Dunst,15000,11560259,Mila Kunis,15617,Carmen Electra,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,180,English,PG-13,22000000,2001,4000
Mike Judge,144,89,Stephen Root,989,10824921,Gary Cole,200293,Diedrich Bader,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,621,English,R,10000000,1999,939
Michael Patrick Jann,77,97,Kirstie Alley,4000,10561238,Kirsten Dunst,27265,Ellen Barkin,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,321,English,PG-13,10000000,1999,980
Tim Burton,325,106,Danny Huston,11000,14479776,Christoph Waltz,55539,Jon Polito,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,147,English,PG-13,10000000,2014,430
Peter Berg,100,100,Daniel Stern,4000,9801782,Jon Favreau,39331,Jeanne Tripplehorn,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,481,English,R,10000000,1998,796
Joe Nussbaum,52,89,Alexa PenaVega,7000,8070311,Steve Carell,12706,Hunter Parrish,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,75,English,PG,10000000,2004,2000
Brian De Palma,98,114,Dennis Franz,537,,Melanie Griffith,20113,Gregg Henry,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,178,English,R,10000000,1984,376
Jorma Taccone,163,95,Will Forte,1000,8460995,Jasper Cole,35888,Powers Boothe,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,125,English,R,10000000,2010,622
Stephen Frears,137,97,Benedict Wong,460,8111360,Sophie Okonedo,34848,Sergi López,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,203,English,R,10000000,2002,372
Elizabeth Banks,180,94,Kate Winslet,20000,8828771,Hugh Jackman,79146,Seth MacFarlane,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,352,English,R,6000000,2013,14000
Florian Henckel von Donnersmarck,321,103,Angelina Jolie Pitt,40000,67631157,Johnny Depp,176606,Rufus Sewell,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,374,English,PG-13,100000000,2010,11000
Jeff Lowell,100,95,William Morgan Sheppard,939,7563670,Stephen Root,21268,Wendi McLendon-Covey,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,53,English,PG-13,10000000,2008,702
Lorene Scafaria,265,101,Mark Moses,7000,6619173,Steve Carell,87203,Rob Huebel,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,221,English,R,10000000,2012,353
Miguel Arteta,212,87,Stephen Root,1000,6857503,Kurtwood Smith,32697,Alia Shawkat,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,85,English,R,,2011,939
,68,40,T.J. Thyne,1000,,Michaela Conlin,111506,Tamara Taylor,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,173,English,TV-14,,,722
Tony Kaye,162,101,Beverly D'Angelo,1000,6712241,Ethan Suplee,782437,Stacy Keach,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1420,English,R,7500000,1998,816
Marcus Dunstan,147,82,Johanna Braddy,1000,6842058,Daniel Sharman,36029,Lee Tergesen,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,99,English,R,10000000,2012,581
Timothy Björklund,33,74,Kelsey Grammer,886,6491350,Nathan Lane,1231,Jerry Stiller,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,26,English,PG,10000000,2004,808
François Girard,94,130,Clotilde Mollet,24,9473382,Johannes Silberschneider,26832,Carlo Cecchi,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,247,French,R,10000000,1998,3
David Lynch,143,112,Richard Farnsworth,874,6197866,Sissy Spacek,63733,Everett McGill,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,414,English,G,10000000,1999,262
Scott Kalvert,38,96,James Franco,12000,6044618,Norman Reedus,6200,Frankie Muniz,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,92,English,R,10000000,2002,11000
Jason Bateman,126,89,Philip Baker Hall,628,7764027,Beth Grant,38459,Patricia Belcher,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,119,English,R,10000000,2013,497
David Schwimmer,168,100,Iddo Goldberg,427,5998971,Dylan Moran,58509,India de Beaufort,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,143,English,PG-13,,2007,269
Allan Arkush,19,78,Randy Quaid,753,,Bernadette Peters,1040,Christopher Guest,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,31,English,PG,10000000,1981,695
Mike Binder,91,121,Gillian Jacobs,1000,21569041,Jennifer Ehle,8058,Jillian Estell,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,57,English,PG-13,9000000,2014,837
Eric Bross,46,85,Tamala Jones,719,4356743,Jerry Stiller,3662,Dave Foley,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,79,English,PG,16000000,2001,405
Werner Herzog,198,120,Toby Huss,23000,5484375,Christian Bale,84641,François Chau,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,205,English,PG-13,10000000,2006,342
Dan Fogelman,139,106,Jennifer Garner,14000,5348317,Al Pacino,20810,Melissa Benoist,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,100,English,R,10000000,2015,3000
Jay Duplass,182,83,Evan Ross,2000,4244155,Judy Greer,56005,Rae Dawn Chong,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,112,English,R,10000000,2011,616
Luca Guadagnino,181,120,Waris Ahluwalia,144,5004648,Flavio Parenti,14031,Alba Rohrwacher,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,114,Italian,R,10000000,2009,110
John Putch,23,111,Diedrich Bader,823,3333823,Robert Picardo,5612,Esai Morales,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,122,English,PG-13,10000000,2012,759
Peter Medak,30,100,Michael Wincott,10000,3275585,Gary Oldman,10735,Lena Olin,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,88,English,R,11500000,1993,721
Steven Soderbergh,111,89,Lesley Ann Warren,402,3193102,Peter Fonda,24412,William Lucking,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,240,English,R,9000000,1999,296
Paul Haggis,287,115,Loretta Devine,3000,54557348,Don Cheadle,361169,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,English,R,6500000,2004,912
Terence Davies,96,135,Anthony LaPaglia,902,3041803,Eric Stoltz,6377,Elizabeth McGovern,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,181,English,PG,10000000,2000,576
Harley Cokeliss,27,92,Tracey Walter,754,3060858,Cliff Robertson,1768,Dennis Burkley,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,37,English,R,10000000,1987,324
Victor Salva,44,120,Tim DeKay,634,1055654,Scott Mechlowicz,20426,Agnes Bruckner,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,175,English,PG-13,10000000,2006,436
Tom Brady,49,97,Kevin Nealon,982,2331318,Don Johnson,9541,Nicholas Turturro,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,64,English,R,10000000,2011,503
Spike Lee,57,135,Michael Rapaport,1000,2185266,Gillian White,8720,Jada Pinkett Smith,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,186,English,R,10000000,2000,975
Jason Zada,185,93,Stephanie Vogt,533,26583369,Eoin Macken,20837,Gen Seto,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,127,English,PG-13,10000000,2016,35
Franklin J. Schaffner,2,118,William Hootkins,902,800000,Frank Langella,892,John Gielgud,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,21,English,PG,14000000,1981,488
Noah Baumbach,270,97,Maria Dizzia,6000,7574066,Naomi Watts,30325,Dree Hemingway,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,96,English,R,10000000,2014,139
Chris Weitz,94,98,Eddie 'Piolin' Sotelo,749,1754319,Demián Bichir,13174,Robert Peters,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81,English,PG-13,10000000,2011,252
David Cronenberg,157,98,John Neville,530,1641788,Miranda Richardson,30096,Lynn Redgrave,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,213,English,R,8000000,2002,387
Eric Blakeney,49,101,Oliver Platt,14000,1631839,Liam Neeson,5936,Mitch Pileggi,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,91,English,R,10000000,2000,1000
Douglas McGrath,80,132,Anne Hathaway,16000,1309849,Charlie Hunnam,9395,Jim Broadbent,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,103,English,PG,10000000,2002,11000
Ariel Vromen,221,106,James Franco,11000,1939441,Chris Evans,55567,Robert Davi,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,144,English,R,10000000,2012,11000
,53,55,Olaf Lubaszenko,20,447093,Krystyna Janda,12591,Olgierd Lukaszewicz,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Polish,TV-MA,,,3
Rakesh Roshan,20,168,Rekha,307,,Naseeruddin Shah,12411,Sharat Saxena,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,110,Hindi,Not Rated,10000000,2006,200
John Waters,90,87,Melanie Griffith,975,1276984,Alicia Witt,11403,Kevin Nealon,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,150,English,R,10000000,2000,537
William Friedkin,376,98,Scott A. Martin,11000,1987762,Matthew McConaughey,59297,Carol Sutton,0,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,216,English,R,11000000,2011,414
Derrick Borte,144,96,Gary Cole,2000,1474508,Demi Moore,33473,Robert Pralgo,4,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,88,English,R,5000000,2009,989
Richard Kwietniowski,82,104,Minnie Driver,22000,1011054,Philip Seymour Hoffman,10585,Maury Chaykin,1,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,83,English,R,10000000,2003,893
Bob Odenkirk,51,93,Lee Majors,966,900926,Jenna Fischer,9517,Will Forte,2,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,46,English,R,10000000,2007,799
Kar-Wai Wong,192,95,Norah Jones,20000,866778,Natalie Portman,44208,Adriane Lenox,3,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,117,English,PG-13,10000000,2007,329
John Turturro,36,119,Ben Gazzara,816,836641,Beverly D'Angelo,1402,George DiCenzo,0,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,40,English,R,,1998,623
Guy Ritchie,71,89,Jeanne Tripplehorn,990,598645,Bruce Greenwood,13145,David Thornton,0,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,215,English,R,10000000,2002,711
Joshua Seftel,79,107,Sergej Trifunovic,603,578527,Bashar Rahal,20008,Ned Bellamy,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,112,English,R,10000000,2008,175
Stephen Chow,246,85,Karen Mok,478,488872,Wei Zhao,56923,Kwok-Kwan Chan,2,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,243,Cantonese,PG,10000000,2001,83
Vincent Gallo,115,93,Cheryl Tiegs,787,365734,Vincent Gallo,11487,Anna Vareschi,0,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,226,English,Not Rated,10000000,2003,96
Claude Chabrol,34,101,François Cluzet,678,231417,Isabelle Huppert,1649,Michel Serrault,0,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,21,French,,60000000,1997,541
Jon Stewart,129,103,Claire Foy,374,3093491,Numan Acar,8307,Haluk Bilginer,0,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,37,English,R,5000000,2014,362
Bigas Luna,22,101,Aitana Sánchez-Gijón,837,244465,Olivier Martinez,1135,Romane Bohringer,1,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,14,French,,,1997,130
Ralph Fiennes,196,123,Ashraf Barhom,18000,756452,Gerard Butler,27009,Lubna Azabal,0,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,118,English,R,,2011,451
Dan Harris,73,111,Ryan Donowho,374,228524,Kip Pardue,8708,Larry Fessenden,2,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,56,English,R,4000000,2004,181
Mel Smith,43,86,Danny Dyer,893,226792,Minnie Driver,3080,Mary McCormack,2,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,44,English,R,10000000,2001,798
Bobcat Goldthwait,129,99,Daryl Sabara,49000,221210,Robin Williams,31964,Henry Simmons,1,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,129,English,R,,2009,640
Christopher Smith,200,90,Toby Stephens,798,136432,Danny Dyer,31890,Laura Harris,0,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,194,English,R,5000000,2006,769
Stuart Gordon,79,82,Dulé Hill,1000,131617,Joe Mantegna,9971,Jeffrey Combs,1,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,119,English,R,10000000,2005,922
Jake Scott,112,110,Ally Sheedy,17000,152857,Kristen Stewart,19979,Kerry Cahill,3,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,56,English,R,,2010,793
Alan Metter,17,83,Michael Winslow,16000,126247,Christopher Lee,24958,G.W. Bailey,0,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,103,English,PG,6200000,1994,542
Jeb Stuart,20,128,Nate Parker,665,82739,Ricky Schroder,465,Lee Norris,0,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,3,English,PG-13,,2010,664
Rafa Lara,12,125,Andrés Montiel,78,169379,Jorge Luis Moreno,683,William Miller,1,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,3,Spanish,R,10000000,2013,61
Michael Radford,59,97,Jared Gilman,962,,Chris Noth,2041,James Brolin,0,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,18,English,PG-13,10000000,2014,545
Arthur Hiller,29,86,Harvey Weinstein,795,15447,Eric Idle,2971,Ryan O'Neal,0,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,85,English,R,10000000,1997,474
Michael Meredith,23,91,Justin Timberlake,12000,19348,Jeff Bridges,2941,Ted Danson,2,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,11,English,PG-13,10000000,2009,3000
Julio DePietro,22,90,Scott Porter,806,100503,Adrian Martinez,7759,Aaron Yoo,2,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,20,English,R,8000000,2009,690
Katherine Dieckmann,43,90,Minnie Driver,1000,92900,Stephanie Szostak,3662,Anthony Edwards,1,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,23,English,PG-13,5000000,2009,893
William Dear,16,94,Corbin Bleu,835,140987,Madison Pettis,361,Sandra Echeverría,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,4,English,PG,,2008,632
Kim Farrant,84,112,Reef Ireland,147,,Nicholas Hamilton,5637,Sean Keenan,0,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,57,English,R,10000000,2015,52
Marcus Raboy,4,85,Tamala Jones,706,,Mike Epps,1097,Glenn Plummer,2,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,10,English,R,,2009,405
Scott Marshall,20,93,Drew Waters,906,5561,Drew Fuller,4995,Larry Miller,1,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,34,English,PG-13,10000000,2007,848
Álex de la Iglesia,71,104,Leonor Watling,439,3607,Jim Carter,22753,Danny Sapani,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,94,English,R,10000000,2008,161
Andrew Traucki,102,94,Gyton Grantley,122,,Damian Walshe-Howling,11950,Adrienne Pickering,0,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,89,English,R,,2010,109
Michael Clancy,27,85,Rip Torn,11000,70527,Zooey Deschanel,7690,Kelly Preston,6,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,68,English,R,6500000,2004,826
Patrick Lussier,62,99,Craig Fairbrass,298,,Teryl Rothery,11285,Adrian Holmes,0,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,82,English,PG-13,10000000,2007,258
Robert Adetuyi,5,91,Mishael Morgan,485,,Shane Pollard,1642,Chase Armitage,0,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,11,English,PG-13,10000000,2011,152
Kari Skogland,76,117,Kevin Zegers,5000,,Jim Sturgess,9585,Michael McElhatton,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,38,English,R,6000000,2008,2000
Taedong Park,8,85,Tom Arnold,1000,,Drake Bell,162,Amanda Troop,0,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,2,English,,10000000,2014,618
Paul Schrader,75,106,Ayelet Zurer,30000,,Veronica Ferres,3075,Derek Jacobi,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,31,English,R,10000000,2008,744
Benedikt Erlingsson,66,81,Charlotte Bøving,63,11835,Ingvar Eggert Sigurðsson,1920,Sigríður María Egilsdóttir,0,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,7,Icelandic,,10000000,2013,10
Gurinder Chadha,31,100,Mark Addy,1000,,Sendhil Ramamurthy,1250,Shabana Azmi,1,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,16,English,PG-13,10000000,2010,891
Jason Connery,32,90,Henry Rollins,1000,,Ray Winstone,5715,Jason London,4,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,60,English,R,10000000,2009,898
Vic Sarin,17,116,Jesse Moss,183,,Jimi Mistry,2223,John Light,2,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,27,English,R,10000000,2007,136
Jim Issa,4,84,Luke Perry,670,,Elaine Hendrix,553,Jon Gries,5,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,3,English,PG-13,10000000,2010,608
Jee-woon Kim,152,135,Woo-sung Jung,398,128486,Kang-ho Song,26156,Dal-su Oh,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,74,Korean,R,10000000,2008,149
Douglas Aarniokoski,129,84,Katrina Bowden,1000,,Boris Kodjoe,7286,Kathleen Turner,0,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,75,English,R,10000000,2013,948
William Phillips,15,89,Callum Rennie,764,,Tyler Mane,3015,Dustin Milligan,1,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,27,English,,10000000,2010,716
Greg Mottola,248,107,Martin Starr,17000,16025394,Kristen Stewart,131180,Wendie Malick,6,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220,English,R,,2009,985
Andy Garcia,52,144,Victor Rivers,786,2483955,Danny Pino,8369,Enrique Murciano,0,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,165,English,R,9600000,2005,228
Steve Carr,55,98,Mike Epps,723,57176582,John Witherspoon,27492,Rolando Molina,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,84,English,R,9500000,2000,706
Sarik Andreasyan,30,94,Jordana Brewster,4000,,Hayden Christensen,12372,Akon,1,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,42,English,R,10000000,2014,4000
Lewis Gilbert,130,117,Burt Kwouk,742,43100000,Donald Pleasence,75280,Desmond Llewelyn,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,267,English,Approved,9500000,1967,462
Julian Gilbey,29,102,Alfie Allen,31000,,Mem Ferda,5865,Malese Jow,7,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,12,English,R,10000000,2014,1000
Michael Haneke,447,127,Emmanuelle Riva,678,225377,Isabelle Huppert,70382,Jean-Louis Trintignant,1,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,190,French,PG-13,8900000,2012,432
Gary Sherman,66,98,Heather O'Rourke,1000,14114488,Tom Skerritt,13190,Zelda Rubinstein,0,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,114,English,PG-13,10500000,1988,887
Valeri Milev,18,88,Roger Cross,557,,Daniella Alonso,1763,Jesse Garcia,0,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,26,English,R,9500000,2015,290
Stanley Kramer,61,197,Sid Caesar,924,46300000,Jonathan Winters,29323,Spencer Tracy,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,English,Approved,9400000,1963,898
Pedro Almodóvar,232,121,Lola Dueñas,148,12899702,Carmen Maura,76681,Antonio de la Torre,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,228,Spanish,R,,2006,114
Gerald Potterton,62,90,Joe Flaherty,187,,John Vernon,23516,Don Francks,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,147,English,R,9300000,1981,176
Jared Hess,106,89,Michael Angarano,33000,113155,Jizelle Jade,9006,Héctor Jiménez,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,54,English,PG-13,,2009,947
Richard Loncraine,56,104,Jim Broadbent,21000,2600000,Robert Downey Jr.,11612,Kristin Scott Thomas,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88,English,R,6000000,1995,1000
David Hackl,48,94,Michaela McManus,826,,Scott Glenn,4486,Luisa D'Oliveira,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,38,English,R,10000000,2015,476
Anurag Basu,41,90,Steven Michael Quezada,594,1602466,Bárbara Mori,9673,Kabir Bedi,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,106,English,,600000000,2010,412
Lars von Trier,439,130,Kirsten Dunst,10000,3029870,Alexander Skarsgård,128729,Charlotte Rampling,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,551,English,R,7400000,2011,4000
Kriv Stenders,54,92,Keisha Castle-Hughes,509,,Noah Taylor,13003,Luke Ford,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,80,English,PG,8500000,2011,446
Yash Chopra,50,176,Katrina Kaif,8000,3047539,Shah Rukh Khan,42296,Vic Waghorn,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,286,Hindi,Not Rated,7217600,2012,3000
Ridley Scott,392,116,Yaphet Kotto,1000,78900000,Tom Skerritt,563827,Bolaji Badejo,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,English,R,11000000,1979,581
Tobe Hooper,277,88,Edwin Neal,383,30859000,Gunnar Hansen,96410,Marilyn Burns,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,R,83532,1974,371
Floria Sigismondi,259,106,Scout Taylor-Compton,17000,3571735,Kristen Stewart,39260,Johnny Lewis,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,129,English,R,10000000,2010,908
Norman Jewison,66,181,Paul Michael Glaser,402,50000000,Topol,29839,Rosalind Harris,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,English,G,9000000,1971,343
Terence Young,129,130,Earl Cameron,244,63600000,Desmond Llewelyn,82073,Lois Maxwell,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,275,English,Approved,9000000,1965,189
Joseph Kahn,115,93,Shanley Caswell,14000,,Josh Hutcherson,12520,Parker Bagley,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,76,English,R,10000000,2011,383
Ferzan Ozpetek,81,110,Alessandro Preziosi,580,,Riccardo Scamarcio,8667,Lunetta Savino,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,29,Italian,,,2010,26
F. Gary Gray,29,123,Jada Pinkett Smith,890,36049108,Vivica A. Fox,10139,Blair Underwood,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,70,English,R,9000000,1996,851
Malcolm D. Lee,32,120,Sanaa Lathan,1000,34074895,Harold Perrineau,6525,Jarrod Bunch,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,79,English,R,9000000,1999,886
Tom Holland,142,87,Alex Vincent,311,33244684,Catherine Hicks,62038,Dinah Manoff,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,281,English,R,9000000,1988,189
