director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,actor_3_name,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0,Kate Winslet,25000,42700000,Drama|Romance,Alan Rickman,Tom Wilkinson,196,English,PG,16500000,1995,14000,7.7,1.85,0
11,Julie Walters,11000,18663911,Biography|Drama|Romance,Anne Hathaway,Laurence Fox,151,English,PG,16500000,2007,838,7.1,2.35,0
18,Matt Long,714,11702090,Comedy|Romance,Danny Strong,Samm Levine,50,English,PG-13,16500000,2007,701,6.3,2.35,0
26,Kim Dickens,638,13005485,Drama,Frances Fisher,Ron Eldard,469,English,R,15000000,2003,624,7.6,1.85,0
608,Josh Charles,49000,95860116,Comedy|Drama,Robin Williams,Kurtwood Smith,491,English,PG,16400000,1989,1000,8.0,1.85,23000
137,Mike Starr,879,127175354,Comedy,Lauren Holly,Teri Garr,438,English,PG-13,16000000,1994,854,7.3,1.85,0
0,Gretchen Palmer,227,92823600,Comedy|Drama|Romance,Bruno Kirby,Harley Jane Kozak,273,English,R,16000000,1989,73,7.6,1.85,0
0,James Mason,844,54000000,Drama,Charlotte Rampling,Jack Warden,154,English,R,16000000,1982,617,7.8,1.85,0
480,Rachel Blanchard,1000,68525609,Comedy,Ethan Suplee,Paulo Costanzo,302,English,R,15600000,2000,490,6.5,1.85,0
48,Ron Lester,23000,52885587,Comedy|Drama|Romance|Sport,Paul Walker,Mark Walters,267,English,R,16000000,1999,255,6.4,1.85,0
405,Ed Lauter,996,44667095,Comedy|Drama|Romance,Bérénice Bejo,Beth Grant,583,English,PG-13,15000000,2011,897,8.0,1.33,30000
687,Atticus Shaffer,10000,42638165,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,Rachel Brosnahan,230,English,PG-13,16000000,2009,787,4.8,2.35,0
0,Bill Murray,13000,45507053,Adventure|Comedy|Drama|Romance,Bruce Willis,Bob Balaban,377,English,PG-13,16000000,2012,13000,7.8,1.85,71000
473,Jordana Brewster,20000,39511038,Horror,Matt Bomer,Lew Temple,366,English,R,16000000,2006,4000,5.9,1.85,0
19,Vincent Walsh,241,6462576,Drama,Clive Russell,Finn Ireland,30,English,PG-13,18500000,2016,118,5.4,2.35,0
11,Kenan Thompson,911,40363530,Comedy|Family,Jennifer Esposito,James Brolin,307,English,PG,16000000,2002,521,3.3,1.85,1000
0,Maribel Verdú,634,37623143,Drama|Fantasy|War,Ivana Baquero,Sergi López,1083,Spanish,R,13500000,2006,269,8.2,1.85,27000
,Jessika Van,1000,,Drama|Fantasy|Mystery|Thriller,Joel Courtney,Riley Smith,57,English,,,,921,6.6,16.0,0
14,Angus T. Jones,1000,33357476,Action|Comedy|Crime|Family,Leslie Bibb,Paul Sorvino,53,English,PG,35000000,2001,1000,5.4,1.85,393
309,Snoop Dogg,939,28734552,Crime|Drama|Romance|Thriller,Mo'Nique,Angell Conwell,81,English,R,16000000,2001,881,6.4,1.85,1000
26,Danneel Ackles,3000,37300107,Drama|Horror|Thriller,Leighton Meester,Frances Fisher,115,English,PG-13,16000000,2011,1000,4.8,2.35,0
29,Erik Per Sullivan,861,27087695,Adventure|Comedy|Drama,Brittany Daniel,Fred Ward,205,English,PG-13,17700000,2001,593,5.9,1.85,0
23,Alonna Shaw,633,30102717,Action|Crime,Bolo Yeung,Kamel Krifa,72,English,R,15000000,1991,67,5.5,1.85,0
