director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,language,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Wolfgang Becker,153,121,43,65,4063859,Good Bye Lenin! ,German,4800000,51,7.7,1.85
Tom Hooper,145,98,27,1000,449558,The Damned United ,English,10000000,54,7.6,1.85
Dan O'Bannon,203,108,358,431,,The Return of the Living Dead ,English,4000000,426,7.3,1.85
,10,55,5,18,,Gomorrah             ,Italian,,9,8.7,1.85
Kevin Smith,93,123,781,1000,2122561,Mallrats ,English,6000000,898,7.2,1.85
Randal Kleiser,124,110,898,1000,181360000,Grease ,English,6000000,944,7.2,2.35
Oliver Stone,120,120,576,40000,137963328,Platoon ,English,6000000,854,8.1,1.85
Michael Moore,288,122,282,503,119078393,Fahrenheit 9/11 ,English,6000000,328,7.5,1.85
George Roy Hill,130,110,399,640,102308900,Butch Cassidy and the Sundance Kid ,English,6000000,566,8.1,2.35
Robert Stevenson,145,139,266,382,102300000,Mary Poppins ,English,6000000,279,7.8,1.66
Robert Redford,62,124,535,2000,54800000,Ordinary People ,English,6000000,553,7.8,1.85
Frank Coraci,188,120,447,1000,24004159,Around the World in 80 Days ,English,110000000,1000,5.8,2.35
Jerome Robbins,120,152,249,804,43650000,West Side Story ,English,6000000,271,7.6,2.2
Harold Ramis,71,98,484,13000,39800000,Caddyshack ,English,6000000,573,7.4,1.85
Gary Hardwick,52,106,578,3000,27457409,The Brothers ,English,6000000,685,6.3,1.85
Rick Famuyiwa,18,106,328,865,25047631,The Wood ,English,6000000,405,6.9,1.85
Bryan Singer,162,106,574,18000,23272306,The Usual Suspects ,English,6000000,979,8.6,2.35
Stephen Hopkins,88,89,92,321,22168359,A Nightmare on Elm Street 5: The Dream Child ,English,8000000,101,5.1,1.85
Walt Becker,96,94,583,16000,21005329,Van Wilder: Party Liaison ,English,6000000,876,6.4,1.85
Darren Aronofsky,391,109,120,1000,26236603,The Wrestler ,English,6000000,245,7.9,2.35
King Vidor,32,144,332,469,20400000,Duel in the Sun ,English,8000000,436,6.9,1.37
Christopher Guest,119,90,658,957,18621249,Best in Show ,English,6000000,925,7.5,1.85
John Carpenter,201,106,381,742,25244700,Escape from New York ,English,6000000,602,7.2,2.35
Spike Lee,22,121,182,413,14545844,School Daze ,English,6500000,282,5.8,1.85
Fred Savage,52,89,405,555,13235267,Daddy Day Camp ,English,6000000,484,2.9,1.85
Sammo Kam-Bo Hung,63,86,64,472,12674183,Mr. Nice Guy ,English,,155,6.2,2.35
Christopher Guest,97,91,345,658,17508936,A Mighty Wind ,English,,378,7.3,1.85
Donald Petrie,34,104,658,8000,12793213,Mystic Pizza ,English,6000000,960,6.2,1.85
,10,,502,1000,,War & Peace             ,English,,888,8.2,16.0
Peter Howitt,88,99,161,711,11883495,Sliding Doors ,English,9000000,427,6.8,1.85
Rusty Cundieff,25,98,360,1000,11797927,Tales from the Hood ,English,6000000,475,6.1,1.85
Kevin Macdonald,252,121,25,1000,17605861,The Last King of Scotland ,English,6000000,149,7.7,2.35
Dominique Othenin-Girard,137,96,120,742,11642254,Halloween 5 ,English,3000000,256,5.2,1.85
Richard Linklater,231,99,84,11000,9203192,Bernie ,English,5000000,106,6.8,1.85
Jean-Jacques Mantello,9,42,,844,7518876,Dolphins and Whales 3D: Tribes of the Ocean ,English,6000000,0,6.5,1.78
Ed Harris,115,122,221,697,8596914,Pollock ,English,6000000,394,7.0,1.85
Risa Bramon Garcia,67,101,612,1000,6851636,200 Cigarettes ,English,6000000,744,5.9,1.85
Brian Klugman,216,102,10000,24000,11434867,The Words ,English,6000000,14000,7.1,1.85
Matt Piedmont,133,84,546,8000,5895238,Casa de mi Padre ,Spanish,6000000,806,5.5,2.35
Raymond De Felitta,149,104,130,3000,6670712,City Island ,English,6000000,591,7.4,1.85
John Michael McDonagh,261,96,28,3000,5359774,The Guard ,English,6000000,482,7.3,2.35
Deb Hagan,42,94,664,1000,4693919,College ,English,6500000,1000,4.6,1.85
Sofia Coppola,152,90,826,4000,4859475,The Virgin Suicides ,English,6000000,899,7.2,1.85
Mark Herman,64,97,286,1000,4595000,Little Voice ,English,,497,7.0,1.85
Zach Cregger,76,90,263,373,4542775,Miss March ,English,6000000,308,5.1,1.85
Zach Braff,149,106,379,17000,3588432,Wish I Was Here ,English,6000000,1000,6.7,2.35
Mark Tarlov,35,96,353,4000,4394936,Simply Irresistible ,English,6000000,812,5.3,2.35
,47,44,724,937,,Veronica Mars             ,English,,828,8.4,1.78
John Cameron Mitchell,108,95,179,263,3029081,Hedwig and the Angry Inch ,English,6000000,261,7.8,1.85
Sheldon Lettich,17,99,82,97,3273588,Only the Strong ,English,6000000,91,6.7,1.85
Jon Knautz,12,93,34,397,,Goddess of Love ,English,,77,5.4,2.35
Billy Ray,129,99,491,4000,2207975,Shattered Glass ,English,6000000,3000,7.2,2.35
David Atkins,84,95,15,244,2025238,Novocaine ,English,6000000,230,5.8,1.85
Patrick Stettner,61,84,152,944,1028337,The Business of Strangers ,English,,257,6.4,1.85
Sam Peckinpah,147,144,242,682,,The Wild Bunch ,English,6244087,288,8.0,2.35
Jonathan Levine,147,99,362,976,2077046,The Wackness ,English,6000000,617,7.0,2.35
Michael Crichton,23,110,20,187,,The Great Train Robbery ,English,6000000,34,7.0,1.85
Lynne Ramsay,75,97,53,631,267194,Morvern Callar ,English,,104,6.7,1.85
Sylvio Tabet,17,107,284,721,869325,Beastmaster 2: Through the Portal of Time ,English,6000000,514,3.8,1.85
Rick Bieber,16,90,316,767,399611,The 5th Quarter ,English,6000000,529,5.7,1.85
Claude Chabrol,60,104,27,173,181798,The Flower of Evil ,French,,67,6.6,1.66
Shana Feste,63,96,71,1000,115862,The Greatest ,English,6000000,943,6.7,2.35
Wayne Wang,56,104,451,974,1346503,Snow Flower and the Secret Fan ,English,6000000,595,6.1,2.35
Joey Lauren Adams,36,97,90,596,117560,Come Early Morning ,English,6000000,206,6.2,1.85
Peter Cattaneo,47,107,419,773,54606,Lucky Break ,English,6000000,766,6.2,2.35
Fred Zinnemann,38,117,898,11000,,Julia ,English,7840000,949,7.4,1.85
S.R. Bindler,26,85,499,11000,36497,"Surfer, Dude ",English,6000000,826,4.7,1.85
Tony Kaye,47,152,0,103,23807,Lake of Fire ,English,,2,8.3,
Greg Marcks,68,85,407,861,,11:14 ,English,6000000,618,7.2,1.85
Perry Lang,19,76,259,636,,Men of War ,English,8600000,472,5.8,2.35
Jake Goldberger,39,87,99,592,,Don McKay ,English,,521,5.9,1.85
Stefan Ruzowitzky,162,95,874,16000,65804,Deadfall ,English,12000000,10000,6.3,2.35
Vic Sarin,37,101,130,933,,A Shine of Rainbows ,English,6000000,767,7.2,2.35
William Kaufman,26,90,787,848,,The Hit List ,English,6000000,816,5.4,1.85
,10,240,334,805,,Emma             ,English,,432,8.2,1.78
David Cronenberg,179,89,15,391,,Videodrome ,English,5952000,20,7.3,1.85
Cédric Klapisch,88,111,269,809,3895664,L'auberge espagnole ,French,5300000,447,7.3,1.85
Kate Barker-Froyland,43,86,444,11000,20200,Song One ,English,6000000,485,5.8,
Barbet Schroeder,136,115,400,33000,31874869,Murder by Numbers ,English,50000000,455,6.1,1.85
Martin Koolhoven,111,103,19,163,542860,Winter in Wartime ,Dutch,4000000,20,7.1,2.35
Charles Matthau,13,90,1000,2000,,Freaky Deaky ,English,6000000,2000,6.5,
John Frankenheimer,64,133,28,343,,The Train ,English,6700000,94,7.9,1.66
Christopher M. Bessette,6,88,57,978,15059,Trade of Innocents ,English,,323,5.4,2.35
Prachya Pinkaew,112,111,380,778,11905519,The Protector ,Thai,200000000,635,7.1,1.85
Gary Sinyor,12,94,136,722,69582,Stiff Upper Lips ,English,,338,6.4,1.85
,15,25,220,229,,The Inbetweeners             ,English,,223,8.4,16.0
Gurinder Chadha,161,112,397,883,32541719,Bend It Like Beckham ,English,3500159,528,6.7,1.85
John Sayles,68,141,501,688,3064356,Sunshine State ,English,5600000,659,6.9,1.85
Preston A. Whitmore II,25,95,255,592,7009668,Crossover ,English,5600000,378,2.1,1.85
Ashish R. Mohan,23,141,61,634,352684,Khiladi 786 ,Hindi,,284,4.3,
Jaume Balagueró,222,85,6,37,27024,[Rec] 2 ,Spanish,5600000,9,6.6,1.85
Stewart Raffill,9,105,10,25,531806,Standing Ovation ,English,,11,3.4,
George Roy Hill,119,129,417,1000,159600000,The Sting ,English,5500000,559,8.3,1.85
Hugh Hudson,90,125,249,368,58800000,Chariots of Fire ,English,5500000,303,7.2,1.85
Darren Grant,62,116,476,907,50382128,Diary of a Mad Black Woman ,English,5500000,637,5.6,1.85
Scott Hicks,71,105,35,509,35811509,Shine ,English,5500000,294,7.7,1.85
Joseph Gordon-Levitt,364,90,694,23000,24475193,Don Jon ,English,3000000,19000,6.6,2.35
Clint Eastwood,72,105,258,16000,,High Plains Drifter ,English,5500000,742,7.6,2.35
Terry Zwigoff,122,111,722,19000,6200756,Ghost World ,English,7000000,12000,7.4,1.85
Richard Eyre,100,91,548,14000,1292119,Iris ,English,5500000,1000,7.1,1.85
William Sachs,24,95,60,113,,Galaxina ,English,,110,3.4,2.35
Christophe Barratier,112,97,57,517,3629758,The Chorus ,French,5500000,86,7.9,2.35
Émile Gaudreault,67,92,71,636,6239558,Mambo Italiano ,English,5000000,210,6.7,1.85
James Cox,91,104,93,715,1056102,Wonderland ,English,5000000,436,6.6,1.85
Spike Lee,103,120,388,782,27545445,Do the Right Thing ,English,6500000,652,7.9,1.85
James Toback,27,99,781,4000,56007,Harvard Man ,English,5500000,902,4.9,2.35
Aki Kaurismäki,205,93,36,232,611709,Le Havre ,French,3850000,67,7.2,1.85
Gaspar Noé,192,99,9,56,753501,Irreversible ,French,,46,7.4,2.35
Hitoshi Matsumoto,72,99,16,31,22770,R100 ,Japanese,5500000,17,6.1,1.85
Rakeysh Omprakash Mehra,33,157,199,397,2197331,Rang De Basanti ,Hindi,,227,8.4,2.35
Collin Schiffli,22,90,290,934,,Animals ,English,,697,6.2,2.35
George Ratliff,48,96,38,472,27445,Salvation Boulevard ,English,9000000,39,5.3,1.85
David Wain,65,96,139,4000,766487,The Ten ,English,5250000,543,5.0,1.85
Shane Meadows,29,90,222,5000,18434,A Room for Romeo Brass ,English,,680,7.7,1.85
Morten Tyldum,284,100,27,286,1196752,Headhunters ,Norwegian,30300000,52,7.6,2.39
Jon Wright,187,94,114,796,,Grabbers ,English,4000000,567,6.3,2.35
Michael McGowan,47,98,149,393,795126,Saint Ralph ,English,6000000,259,7.6,1.85
Liv Ullmann,88,129,0,631,,Miss Julie ,English,5500000,0,5.6,
Jeannot Szwarc,41,103,32,208,,Somewhere in Time ,English,5100000,191,7.3,1.85
Rohan Sippy,24,128,47,374,563699,Dum Maaro Dum ,Hindi,,282,6.2,
James Wan,318,106,482,852,83574831,Insidious: Chapter 2 ,English,5000000,618,6.6,2.35
Darren Lynn Bousman,250,95,651,1000,87025093,Saw II ,English,4000000,654,6.6,1.85
Dan Trachtenberg,411,104,82,14000,71897215,10 Cloverfield Lane ,English,15000000,338,7.3,2.35
Jeff Tremaine,106,87,218,608,64267897,Jackass: The Movie ,English,5000000,362,6.6,1.85
David F. Sandberg,159,81,300,2000,56536016,Lights Out ,English,4900000,509,6.9,2.35
Henry Joost,251,94,434,581,104007828,Paranormal Activity 3 ,English,5000000,438,5.8,1.85
Stiles White,183,89,704,852,50820940,Ouija ,English,5000000,707,4.4,2.35
Chuck Russell,131,88,150,506,44793200,A Nightmare on Elm Street 3: Dream Warriors ,English,4500000,449,6.6,1.85
Joel Edgerton,297,108,458,1000,43771291,The Gift ,English,5000000,562,7.1,2.35
Eugenio Derbez,41,115,83,399,44456509,Instructions Not Included ,Spanish,5000000,89,7.6,1.85
Henry Joost,248,96,113,235,53884821,Paranormal Activity 4 ,English,5000000,119,4.6,1.85
Henry Koster,42,135,275,726,36000000,The Robe ,English,5000000,422,6.8,2.2
Blake Edwards,33,113,80,462,,The Return of the Pink Panther ,English,5000000,278,7.1,2.35
Rachel Talalay,91,93,581,40000,34872293,Freddy's Dead: The Final Nightmare ,English,8500000,618,4.9,1.85
Patty Jenkins,185,109,592,9000,34468224,Monster ,English,4500000,844,7.3,1.85
Richard Fleischer,69,127,51,617,,"20,000 Leagues Under the Sea ",English,5000000,53,7.2,1.37
Christopher Landon,220,101,332,510,32453345,Paranormal Activity: The Marked Ones ,English,5000000,358,5.0,1.78
David Lynch,117,124,452,12000,,The Elephant Man ,English,5000000,754,8.2,2.35
Jean-Marc Vallée,471,117,896,11000,27296514,Dallas Buyers Club ,English,5000000,3000,8.0,2.35
David Gelb,152,83,801,10000,25799043,The Lazarus Effect ,English,3300000,830,5.2,2.35
Christopher Nolan,274,113,379,716,25530884,Memento ,English,9000000,651,8.5,2.35
Mike Flanagan,336,104,202,972,27689474,Oculus ,English,5000000,407,6.5,2.35
Kevin Smith,174,97,657,1000,24138847,Clerks II ,English,5000000,898,7.4,1.85
Stephen Daldry,151,110,34,838,21994911,Billy Elliot ,English,5000000,203,7.7,1.85
Nat Faxon,276,103,424,7000,21501098,The Way Way Back ,English,5000000,468,7.4,1.85
George Jackson,12,94,287,901,19281235,House Party 2 ,English,5000000,413,5.1,1.85
George Miller,18,102,75,492,,The Man from Snowy River ,English,3500000,155,7.3,2.35
Maurice Joyce,28,77,73,2000,19421271,Doug's 1st Movie ,English,5000000,804,5.0,1.33
Robert Duvall,95,134,77,205,20733485,The Apostle ,English,5000000,130,7.2,1.85
Frank Perry,74,129,157,977,,Mommie Dearest ,English,5000000,485,6.7,1.85
Jesse Peretz,179,90,1000,11000,24809547,Our Idiot Brother ,English,5000000,3000,6.4,1.85
Stephen Hopkins,125,134,388,882,19097994,Race ,English,,845,7.1,2.35
Ice Cube,22,104,498,1000,23031390,The Players Club ,English,4500000,597,5.6,1.85
Tim Blake Nelson,92,95,697,1000,16017403,O ,English,5000000,835,6.2,1.85
John Erick Dowdle,196,93,161,1000,21197315,"As Above, So Below ",English,5000000,200,6.1,1.85
Bille Woodruff,9,106,467,1000,17382982,Addicted ,Spanish,5000000,694,5.2,1.85
Kasi Lemmons,31,109,426,2000,14821531,Eve's Bayou ,English,6000000,434,7.3,1.85
Richard Glatzer,309,101,423,17000,18656400,Still Alice ,English,5000000,2000,7.5,1.85
Michael Curtiz,15,139,422,535,,The Egyptian ,English,5000000,440,6.6,2.55
Bruce Malmuth,36,99,142,13000,,Nighthawks ,English,5000000,970,6.4,1.85
Rob Hedden,129,100,65,935,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,English,5000000,120,4.5,1.85
Joel Zwick,168,95,249,567,241437427,My Big Fat Greek Wedding ,English,5000000,312,6.6,1.85
Harmony Korine,444,94,192,11000,14123773,Spring Breakers ,English,5000000,892,5.3,2.35
Joe Chappelle,123,93,141,742,15126948,Halloween: The Curse of Michael Myers ,English,5000000,152,4.9,1.85
Alfonso Cuarón,173,106,19,269,13622333,Y Tu Mamá También ,Spanish,2000000,43,7.7,1.85
Edgar Wright,246,99,358,605,13464388,Shaun of the Dead ,English,4000000,427,8.0,2.35
Mickey Liddell,74,82,664,1000,13350177,The Haunting of Molly Hartley ,English,5000000,984,3.8,1.85
John Sayles,68,135,111,11000,13269963,Lone Star ,English,5000000,189,7.6,2.35
Dwight H. Little,144,88,101,742,17768000,Halloween 4: The Return of Michael Myers ,English,5000000,120,5.9,1.85
Fred Walton,96,89,85,690,12947763,April Fool's Day ,English,5000000,190,6.2,2.35
Barry Levinson,42,110,551,801,14100000,Diner ,English,5000000,796,7.2,1.85
Steve Carver,29,107,268,926,12200000,Lone Wolf McQuade ,English,5000000,400,6.3,1.85
