duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
90,658,Catherine O'Hara,957,John Michael Higgins,Best in Show ,45859,Michael McKean,9,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,English,USA,6000000,2000,925,0
106,381,Adrienne Barbeau,742,Donald Pleasence,Escape from New York ,91017,Tom Atkins,1,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,English,UK,6000000,1981,602,0
121,182,Ossie Davis,413,Tisha Campbell-Martin,School Daze ,4756,Bill Nunn,4,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,English,USA,6500000,1988,282,624
89,405,Brian Doyle-Murray,555,Lochlyn Munro,Daddy Day Camp ,12339,Tamala Jones,2,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,English,USA,6000000,2007,484,256
86,64,Richard Norton,472,Sammo Kam-Bo Hung,Mr. Nice Guy ,19774,Rachel Blakely,1,chef|cook|drugs|gang|reporter,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,English,Hong Kong,,1997,155,355
91,345,Christopher Guest,658,Michael McKean,A Mighty Wind ,22408,Laura Harris,0,concert|mockumentary|musician|new york city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,English,USA,,2003,378,0
104,658,Lili Taylor,8000,Julia Roberts,Mystic Pizza ,18286,Conchata Ferrell,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,English,USA,6000000,1988,960,0
,502,Tuppence Middleton,1000,Jim Broadbent,War & Peace             ,9277,Lily James,1,male frontal nudity|male nudity|tv mini series,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,English,UK,,,888,11000
99,161,Kevin McNally,711,Jeanne Tripplehorn,Sliding Doors ,52805,John Lynch,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,English,UK,9000000,1998,427,0
98,360,Clarence Williams III,1000,Corbin Bernsen,Tales from the Hood ,4582,David Alan Grier,0,child abuse|death|drugs|ku klux klan|police brutality,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,English,USA,6000000,1995,475,985
121,25,Simon McBurney,1000,David Oyelowo,The Last King of Scotland ,145580,Abby Mukiibi Nkaaga,1,1970s|assassination|doctor|scottish|ugandan,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,English,UK,6000000,2006,149,0
96,120,Tamara Glynn,742,Donald Pleasence,Halloween 5 ,22929,Troy Evans,1,cat|halloween|kitten|michael myers|psychotronic,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,English,USA,3000000,1989,256,926
99,84,Brandon Smith,11000,Matthew McConaughey,Bernie ,45396,Rick Dial,1,funeral|stockbroker|texas|vacation|widow,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,English,USA,5000000,2011,106,15000
42,,Daryl Hannah,844,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,172,,0,3d in title|animal in title|digit in title|dolphin|manatee,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,English,UK,6000000,2008,0,28
122,221,Bud Cort,697,John Heard,Pollock ,23023,Amy Madigan,0,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,English,USA,6000000,2000,394,0
101,612,Dave Chappelle,1000,Janeane Garofalo,200 Cigarettes ,13010,Gaby Hoffmann,5,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,English,USA,6000000,1999,744,0
102,10000,Bradley Cooper,24000,J.K. Simmons,The Words ,59637,Olivia Wilde,1,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,English,USA,6000000,2012,14000,21000
84,546,Adrian Martinez,8000,Will Ferrell,Casa de mi Padre ,17169,Luis E. Carazo,1,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,Spanish,USA,6000000,2012,806,9000
104,130,Curtiss Cook,3000,Ezra Miller,City Island ,27301,Dominik García-Lorido,6,anger|family reunion|father son reunion|hugging|movie making,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,English,USA,6000000,2009,591,0
96,28,Fionnula Flanagan,3000,Don Cheadle,The Guard ,64794,Wale Ojo,0,boat on fire|drug smuggling|fbi|fbi agent|small town,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,English,Ireland,6000000,2011,482,17000
94,664,Alona Tal,1000,Drake Bell,College ,11011,Haley Bennett,0,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,English,USA,6500000,2008,1000,422
90,826,Kathleen Turner,4000,Kirsten Dunst,The Virgin Suicides ,116910,Scott Glenn,0,catholic|five sisters|isolation|school|suicide,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,English,USA,6000000,1999,899,0
97,286,Annette Badland,1000,Jim Broadbent,Little Voice ,13892,Brenda Blethyn,4,mother|recluse|shy|singer|talent,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,English,UK,,1998,497,915
90,263,Windell Middlebrooks,373,Hugh M. Hefner,Miss March ,18313,Raquel Alessi,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,English,USA,6000000,2009,308,985
106,379,Josh Gad,17000,Jim Parsons,Wish I Was Here ,29341,Michael Weston,4,actor|dream sequence|genius recluse|jew|religion,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,English,USA,6000000,2014,1000,0
96,353,Dylan Baker,4000,Sarah Michelle Gellar,Simply Irresistible ,11439,Lawrence Gilliard Jr.,1,chef|female chef|love|magic|restaurant,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,English,Germany,6000000,1999,812,901
44,724,Jason Dohring,937,Francis Capra,Veronica Mars             ,55524,Enrico Colantoni,1,best friend|high school|private detective|sheriff|student,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,English,USA,,,828,0
95,179,Miriam Shor,263,John Cameron Mitchell,Hedwig and the Angry Inch ,26300,Andrea Martin,0,band|rock band|sex change|song|transsexual,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,English,USA,6000000,2001,261,0
99,82,Ryan Bollman,97,Antoni Corone,Only the Strong ,4195,Todd Susman,1,capoeira|fight|fighting|martial arts|violence,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,English,USA,6000000,1993,91,0
93,34,Monda Scott,397,Rachel Alig,Goddess of Love ,522,Alexis Kendra,0,female nudity|hallucination|sex scene|strip club|stripper,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,English,USA,,2015,77,84
99,491,Rosario Dawson,4000,Hayden Christensen,Shattered Glass ,28855,Cas Anvar,0,fabricated facts|journalist|stephen glass|the new republic|writer,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,English,USA,6000000,2003,3000,0
95,15,Lynne Thigpen,244,Chelcie Ross,Novocaine ,9589,Polly Noonan,3,dentist|drugs|murder|sex|sunflower,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,English,USA,6000000,2001,230,289
84,152,Tony Devon,944,Stockard Channing,The Business of Strangers ,3413,Frederick Weller,2,airport|businesswoman|hotel|revenge|vegetarian,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,English,USA,,2001,257,29
144,242,Warren Oates,682,William Holden,The Wild Bunch ,63192,L.Q. Jones,1,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,English,USA,6244087,1969,288,0
99,362,Aaron Yoo,976,Mary-Kate Olsen,The Wackness ,27266,Method Man,2,ice cream|marijuana|new york city|summer|therapy,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,English,USA,6000000,2008,617,0
110,20,Michael Elphick,187,Lesley-Anne Down,The Great Train Robbery ,11623,Pamela Salem,2,bank|gold|key|safe|train,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,English,UK,6000000,1979,34,643
97,53,Bryan Dick,631,Samantha Morton,Morvern Callar ,6906,Paul Popplewell,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,English,UK,,2002,104,605
107,284,Kari Wuhrer,721,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2281,Marc Singer,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,English,USA,6000000,1991,514,125
90,316,Kendrick Cross,767,Aidan Quinn,The 5th Quarter ,1245,Sammy Nagi Njuguna,2,athletic training|football practice|funeral|gymnasium|man crying,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,English,USA,6000000,2010,529,0
104,27,Nathalie Baye,173,Benoît Magimel,The Flower of Evil ,2591,Mélanie Doutey,5,bordeaux|election|mayor|pamphlet|political thriller,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,French,France,,2003,67,52
96,71,Zoë Kravitz,1000,Jennifer Ehle,The Greatest ,7394,Cara Seymour,2,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,English,USA,6000000,2009,943,0
104,451,Russell Wong,974,Bingbing Li,Snow Flower and the Secret Fan ,3024,Ji-hyun Jun,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,English,China,6000000,2011,595,0
97,90,Diane Ladd,596,Tim Blake Nelson,Come Early Morning ,2330,Ritchie Montgomery,0,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,English,USA,6000000,2006,206,224
107,419,Olivia Williams,773,James Nesbitt,Lucky Break ,1940,Peter McNamara,0,escape|prison|prison escape|sadism|solitary confinement,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,English,UK,6000000,2001,766,30
117,898,Jane Fonda,11000,Meryl Streep,Julia ,6454,Vanessa Redgrave,2,1930s|female protagonist|nazi|romantic friendship|writer,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,English,USA,7840000,1977,949,733
85,499,Scott Glenn,11000,Matthew McConaughey,Surfer, Dude ,7367,Sarah Wright,0,barefoot|endorsement|surfboard|virtual reality|waves,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,English,USA,6000000,2008,826,850
152,0,Pat Buchanan,103,Noam Chomsky,Lake of Fire ,2143,Bill Baird,0,abortion|southern accent|title based on the bible|trial|usa,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,English,USA,,2006,2,570
85,407,Barbara Hershey,861,Henry Thomas,11:14 ,38273,Shawn Hatosy,1,convenience store|multiple perspectives|murder|paramedic|van,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,English,USA,6000000,2003,618,0
76,259,Kevin Tighe,636,Catherine Bell,Men of War ,2989,Tim Guinee,1,cockney accent|fight|island|machismo|mercenary,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,English,USA,8600000,1994,472,176
87,99,M. Emmet Walsh,592,Pruitt Taylor Vince,Don McKay ,2050,Robert Wahlberg,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,English,USA,,2009,521,275
95,874,Olivia Wilde,16000,Charlie Hunnam,Deadfall ,32512,Sissy Spacek,1,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,English,USA,12000000,2012,10000,0
101,130,Aidan Quinn,933,Connie Nielsen,A Shine of Rainbows ,1696,John Bell,2,island|love|new home|orphan|rainbow,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,English,Canada,6000000,2009,767,1000
90,787,Sean Cook,848,Drew Waters,The Hit List ,10196,Cole Hauser,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,English,USA,6000000,2011,816,0
240,334,Blake Ritson,805,Romola Garai,Emma             ,10388,Rupert Evans,1,friendship|love triangle|matchmaker|naivety|opposites attract,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,English,UK,,,432,0
89,15,Leslie Carlson,391,Debbie Harry,Videodrome ,60522,Reiner Schwarz,0,cyberpunk|hallucination|illegality|snuff film|surrealism,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,English,Canada,5952000,1983,20,0
111,269,Cécile De France,809,Romain Duris,L'auberge espagnole ,34383,Iddo Goldberg,0,apartment|erasmus|language|student|trip,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,French,France,5300000,2002,447,0
86,444,Shawn Parsons,11000,Anne Hathaway,Song One ,6797,Li Jun Li,1,musician|number in title|recording|sibling,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,English,USA,6000000,2014,485,0
115,400,Chris Penn,33000,Ryan Gosling,Murder by Numbers ,43575,Agnes Bruckner,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,50000000,2002,455,0
103,19,Tygo Gernandt,163,Yorick van Wageningen,Winter in Wartime ,9230,Martijn Lakemeier,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Dutch,Netherlands,4000000,2008,20,0
90,1000,Michael Jai White,2000,Billy Burke,Freaky Deaky ,6741,Bill Duke,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,English,USA,6000000,2012,2000,0
133,28,Paul Scofield,343,Jeanne Moreau,The Train ,10119,Michel Simon,0,art|french|german|painting|train,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,English,France,6700000,1964,94,0
88,57,John Billingsley,978,Mira Sorvino,Trade of Innocents ,748,Trieu Tran,2,angkor wat|human trafficking|sex slavery|sex tourism,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,English,USA,,2012,323,543
111,380,Nathan Jones,778,Jon Foo,The Protector ,30210,Johnny Nguyen,0,die hard scenario|elephant|long take|police|sydney australia,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thai,Thailand,200000000,2005,635,0
94,136,Frank Finlay,722,Sean Pertwee,Stiff Upper Lips ,867,Samuel West,2,class conflict|edwardian era|england|sexual awakening|spoof,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,English,UK,,1998,338,109
25,220,Belinda Stewart-Wilson,229,Simon Bird,The Inbetweeners             ,55987,James Buckley,0,black comedy|bully|friend|house|practical joke,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,English,UK,,,223,0
112,397,Parminder Nagra,883,Archie Panjabi,Bend It Like Beckham ,89806,Anupam Kher,0,hinduism|marriage engagement|soccer|team|tradition,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,English,UK,3500159,2002,528,0
141,501,Edie Falco,688,Miguel Ferrer,Sunshine State ,3433,Timothy Hutton,6,african american|business|coastline|florida|real estate,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,English,USA,5600000,2002,659,160
95,255,Wayne Brady,592,Wesley Jonathan,Crossover ,8707,Eva Marcille,6,african american|basketball|basketball movie|critically bashed|tv commercial,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,English,USA,5600000,2006,378,244
141,61,Mithun Chakraborty,634,Asin,Khiladi 786 ,4633,Johnny Lever,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,Hindi,India,,2012,284,365
85,6,Pablo Rosso,37,Jonathan D. Mellor,[Rec] 2 ,55597,Andrea Ros,0,apartment|apartment building|blood sample|crucifix|zombie,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spanish,Spain,5600000,2009,9,4000
105,10,Alexis Biesiada,25,Kayla Jackson,Standing Ovation ,548,Kayla Raparelli,9,dance|dream|frog|philadelphia pennsylvania|snake,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,English,USA,,2010,11,277
129,417,Robert Shaw,1000,Eileen Brennan,The Sting ,175607,Ray Walston,0,con|con man|courier|long con|murder,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,English,USA,5500000,1973,559,0
125,249,Ben Cross,368,Alice Krige,Chariots of Fire ,40511,John Gielgud,0,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,English,UK,5500000,1981,303,0
116,476,Kimberly Elise,907,Cicely Tyson,Diary of a Mad Black Woman ,10472,Tamara Taylor,0,comic relief|diary|kiss|madea series|state flag,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,English,USA,5500000,2005,637,0
105,35,Armin Mueller-Stahl,509,Noah Taylor,Shine ,43013,Nicholas Bell,0,abuse|australia|concert|pianist|piano,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,English,Australia,5500000,1996,294,0
90,694,Scarlett Johansson,23000,Joseph Gordon-Levitt,Don Jon ,190494,Tony Danza,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,English,USA,3000000,2013,19000,33000
105,258,Richard Bull,16000,Clint Eastwood,High Plains Drifter ,36381,John Hillerman,0,gravestone|gunfighter|outlaw|revenge|small town,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,English,USA,5500000,1973,742,0
111,722,Steve Buscemi,19000,Scarlett Johansson,Ghost World ,96129,T.J. Thyne,0,art class|diner|friend|graduation|high school,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,English,USA,7000000,2001,12000,5000
91,548,Jim Broadbent,14000,Kate Winslet,Iris ,14786,Kris Marshall,1,alzheimer's disease|book|love|novelist|writer,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,English,UK,5500000,2001,1000,0
95,60,Avery Schreiber,113,Stephen Macht,Galaxina ,1955,Angelo Rossitto,0,alien|android|fem bot|female android|stars,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,English,USA,,1980,110,438
97,57,François Berléand,517,Jean-Baptiste Maunier,The Chorus ,44151,Gérard Jugnot,0,boarding school|boy|choir|school|teacher,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,French,France,5500000,2004,86,0
92,71,Luke Kirby,636,Paul Sorvino,Mambo Italiano ,5548,Claudia Ferri,0,gay|immigrant|italian|police|police officer,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,English,Canada,5000000,2003,210,352
104,93,Louis Lombardi,715,Alexis Dziena,Wonderland ,18792,Franky G,0,murder|police|police investigation|porn star|robbery,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,English,USA,5000000,2003,436,1000
120,388,John Savage,782,Ruby Dee,Do the Right Thing ,59524,Danny Aiello,2,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,English,USA,6500000,1989,652,0
99,781,Eric Stoltz,4000,Sarah Michelle Gellar,Harvard Man ,3754,Joey Lauren Adams,3,basketball|cheerleader|college|harvard|philosophy,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,English,USA,5500000,2001,902,113
93,36,Kati Outinen,232,Jean-Pierre Léaud,Le Havre ,15267,Jean-Pierre Darroussin,1,bar|container|illegal immigrant|neighbor|shoe shiner,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,French,Finland,3850000,2011,67,0
99,9,Albert Dupontel,56,Philippe Nahon,Irreversible ,87244,Jo Prestia,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,French,France,,2002,46,13000
99,16,Hitoshi Matsumoto,31,Lindsay Kay Hayward,R100 ,1658,Shinobu Terajima,0,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japanese,Japan,5500000,2013,17,543
157,199,Steven Mackintosh,397,Anupam Kher,Rang De Basanti ,70233,Madhavan,0,freedom|friend|india|student|urination,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Hindi,India,,2006,227,0
90,290,John Heard,934,Kim Shaw,Animals ,605,David Dastmalchian,0,drug addict|drug addiction|drug use|drugs|junkie,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,English,USA,,2014,697,679
96,38,Cree Kelly,472,Jim Gaffigan,Salvation Boulevard ,3788,Mike Eshaq,5,cross|doused with gasoline|pastor|security guard|shower,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,English,USA,9000000,2011,39,1000
96,139,Ken Marino,4000,Jon Hamm,The Ten ,15315,Ron Silver,4,death|mexico|sabbath|surgeon|ten stories,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,English,USA,5250000,2007,543,915
90,222,Paddy Considine,5000,Bob Hoskins,A Room for Romeo Brass ,4471,Shane Meadows,2,betrayal|family relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,English,UK,,1999,680,484
100,27,Synnøve Macody Lund,286,Aksel Hennie,Headhunters ,79353,Julie R. Ølgaard,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norwegian,Norway,30300000,2011,52,23000
94,114,Richard Coyle,796,Russell Tovey,Grabbers ,13227,Bronagh Gallagher,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,English,UK,4000000,2012,567,11000
98,149,Adam Butcher,393,Campbell Scott,Saint Ralph ,4976,Gordon Pinsent,1,boston marathon|coma|marathon|miracles|running,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,English,Canada,6000000,2004,259,989
