director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,plot_keywords,num_user_for_reviews,title_year
Norman Jewison,120,278,387,844,Charlotte Rampling,eiffel tower|nazi|police|ritual|stew,52,2003
Kenneth Branagh,135,0,3,5,Kim-Marie Woodhouse,based on opera|evil|mozart|queen|walking wounded,19,2006
Steve Carr,91,41,328,567,Erick Avari,cell phone|hostage|mall|security guard|text messaging,201,2009
Mark Waters,97,70,512,2000,Jamie Lee Curtis,body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones,271,2003
Judd Apatow,133,0,218,7000,Steve Carell,40 year old|car accident|cheating on girlfriend|collection|porno movie,546,2005
John Madden,123,108,239,1000,Tom Wilkinson,actor|audition|muse|playwright|theater,752,1998
Scott Frank,114,71,313,14000,Liam Neeson,drug dealer|ex cop|murder of wife|revenge|violence,207,2014
Ivan Reitman,111,425,344,743,Richard Tyson,astoria|kindergarten|kindergarten teacher|school|teacher,109,1990
David Gordon Green,117,234,919,11000,James Franco,murder|paranoia|process server|roach|stoner,374,2008
Andy Tennant,121,72,343,1000,Anjelica Huston,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,345,1998
Kevin Costner,139,0,648,3000,Robert Duvall,boss|cattle|cowboy|rancher|violence,494,2003
Joel Schumacher,115,541,442,8000,Julia Roberts,childhood trauma|death|medical student|memory|near death experience,148,1990
,22,,424,813,Rob McElhenney,alcohol|bad taste humour|crude humor|loser|self obsession,151,
Richard Attenborough,175,0,14,385,Ryan O'Neal,airborne troops|allies|operation market garden|panzer|paratrooper,210,1977
Wes Craven,85,0,178,332,Robert Pine,airport|flight|hotel|hotel manager|plane,673,2005
David R. Ellis,90,160,392,748,Sarah Carter,car accident|death|freak accident|hospital|premonition,472,2003
Joel Coen,107,0,577,1000,Holly Hunter,baby|bank|blind prophet|convict|sirens,862,2000
Scott Stewart,100,124,534,2000,Dennis Quaid,angel|diner|faith|human race|religious faith,315,2010
Michael Bay,129,0,385,12000,Dwayne Johnson,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,287,2013
Paul Weitz,109,80,2000,19000,Scarlett Johansson,company|corporate takeover|executive|magazine|new boss,214,2004
Jonathan Frakes,94,906,528,2000,Michael Biehn,frozen time|stopped time|time freeze|watch|wristwatch,94,2002
Lawrence Kasdan,133,759,67,826,Scott Glenn,1880s|kiss|small town|table broken in fight|wild west,149,1985
Jim Sheridan,105,260,3000,20000,Natalie Portman,afghanistan|death of soldier|presumed dead|prisoner|war trauma,201,2009
Kevin Allen,100,8,588,1000,Daniel Roebuck,chase|evil scientist|gadget|mind control|tough girl,44,2004
Garry Marshall,113,0,307,22000,Robert De Niro,expecting|kiss|new year|new year's eve|singer,134,2011
Michael Cristofer,118,49,155,11000,Angelina Jolie Pitt,delaware|erotica|money|pursuit|sex scene,181,2001
James McTeigue,110,160,427,771,Pam Ferris,mask|murder|newspaper|poem|serial killer,190,2012
Donald Petrie,110,80,509,826,Rip Torn,mayor|pink panties|upskirt|white panties|yellow panties,95,2004
Andrew Morahan,99,5,535,1000,Christopher Lambert,cave|highlander|illusion|immortal|japan,79,1994
Bob Rafelson,101,30,223,1000,Harold Perrineau,diamond|necklace|safecracker|wine|wine dealer,55,1996
Michael Cohn,100,2,512,642,David Conrad,apple|miner|mirror|necromancy|woods,69,1997
Woody Allen,103,11000,277,11000,Woody Allen,efficiency expert|insurance investigator|magician|scorpion|thief,178,2001
David O. Russell,100,737,816,15000,Jake Gyllenhaal,health insurance|long delayed release|nail in the head|waitress|washington d.c.,28,2015
Alan Shapiro,95,0,26,442,Paul Hogan,dolphin|florida|florida keys|summer|vomiting,26,1996
Tarsem Singh,117,763,523,16000,Ryan Reynolds,cancer|elderly man|funeral|medical|transhumanism,126,2015
Fernando Meirelles,129,353,151,883,Archie Panjabi,death|diplomat|doctor|kenya|murder,568,2005
Mel Gibson,120,0,113,260,Christo Jivkov,anti semitism|cult film|grindhouse|suffering|torture,2814,2004
Chris Columbus,125,0,711,49000,Robin Williams,actor|based on novel|fancy restaurant|male actor playing a female character|party,223,1993
Barry Levinson,133,272,628,10000,Tom Cruise,buick|convertible|last will and testament|savant|travel,331,1988
Clint Eastwood,116,16000,198,16000,Clint Eastwood,gang|gang rape|hmong|teenager|widower,871,2008
Oliver Stone,129,0,655,2000,Toby Jones,bible|cabinet meeting|dog|drinking|family relationships,320,2008
Pierre Morel,93,180,485,14000,Liam Neeson,agent|cia|france|rescue|teenage abduction,974,2008
Michael Hoffman,118,97,437,775,Luke Bracey,adultery|based on novel|heart transplant|infidelity|protective male,99,2014
Mick Jackson,129,81,164,970,Bill Cobbs,bodyguard|manager|pop singer|secret service agent|singer,126,1992
Steven Spielberg,185,14000,212,14000,Liam Neeson,german|german soldier|jew|jewish|nazi,1273,1993
Tate Taylor,146,150,2000,15000,Emma Stone,black servant|chocolate pie|jackson mississippi|maid|writing a novel,460,2011
Bill Condon,128,386,203,19000,Benedict Cumberbatch,computer hacker|internet|news leak|whistleblowing|wikileaks,105,2013
Raja Gosnell,93,67,596,4000,Sarah Michelle Gellar,ghost|masked villain|monster|museum|tv,149,2004
Oleg Stepchenko,107,0,48,1000,Jason Flemyng,cartographer|creature|foreign language adaptation|sword and sorcery|village,18,2014
Ronny Yu,97,31,662,918,Katharine Isabelle,elm street|freddy krueger|jason voorhees|serial killer|slasher,885,2003
Michael Winterbottom,101,187,127,554,Cara Delevingne,,25,2014
John A. Davis,82,8,179,770,Martin Short,alien|boy genius|children|genius|rescue,118,2001
Matt Reeves,85,198,387,2000,Mike Vogel,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,2192,2008
Michael Pressman,88,34,445,642,Kevin Nash,chop socky|mutant|ninja|shredder|turtle,93,1991
Brian De Palma,119,0,188,22000,Robert De Niro,corrupt judge|tax evasion|tough cop|white suit|year 1930,418,1987
Ethan Coen,122,1000,883,2000,Kelly Macdonald,coin toss|desert|sheriff|texas|tracking device,1518,2007
Tim Story,99,167,460,655,Bruce McGill,gunfight|outrunning explosion|police|security guard|street shootout,109,2014
Sharon Maguire,97,11,887,14000,Colin Firth,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,571,2001
Lasse Hallström,121,529,163,541,Lena Olin,chocolate|chocolate shop|food|france|village,498,2000
Charles Herman-Wurmfeld,95,0,643,934,Mary Lynn Rajskub,animal rights|congresswoman|doorman|transvestism|washington d.c.,297,2003
Andy Fickman,105,99,433,3000,Bailee Madison,chores|father figure|helicopter parents|in laws|punishment,107,2012
Ivan Reitman,108,425,766,20000,Natalie Portman,ex girlfriend|funeral|hospital|male objectification|summer camp,178,2011
George P. Cosmatos,134,170,472,2000,Michael Biehn,cigar smoking|cowboy|duel|outlaw|tombstone arizona,439,1993
Andrzej Bartkowiak,115,43,775,5000,Jet Li,death|hong kong|kung fu|prison|waterfront,365,2000
Richard Donner,107,503,108,264,Lee Remick,ambassador|death|hospital|priest|stillborn child,310,1976
James Wong,86,70,318,440,Chelan Simmons,amusement park|death|fate|premonition|roller coaster,571,2006
Scott Hicks,101,96,204,713,Blythe Danner,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,106,2012
Gabor Csupo,96,47,3000,14000,Josh Hutcherson,bully|friend|imagination|reality|troll,522,2007
Marc Forster,101,395,2000,40000,Johnny Depp,boy|inspiration|reference to peter pan|stage play|widow,632,2004
Tyler Perry,100,0,400,975,Alicia Witt,christmas|holiday|madea series|rural setting|stubbornness,27,2013
Joe Carnahan,117,248,726,14000,Liam Neeson,alaska|leadership|snow|survival|wilderness,755,2011
John Polson,101,21,317,22000,Robert De Niro,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,450,2005
Adam McKay,98,285,7000,640000,Darcy Donavan,1970s|anchorman|news anchor|newsroom|tv station,577,2004
Martin Scorsese,146,17000,635,22000,Robert De Niro,betrayal|gangster|mafia|organized crime|robbery,989,1990
Harald Zwart,102,91,434,1000,Daniel Roebuck,cia|nanobot|prep school|scientist|teenager,104,2003
Kirk Jones,97,52,579,14000,Colin Firth,father|governess|magic|nanny|widower,181,2005
Brian De Palma,142,0,638,14000,Al Pacino,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,851,1983
Steve Oedekerk,98,176,468,742,Kelly Preston,boss|ghetto|money|robber|robbery,92,1997
Bernardo Bertolucci,219,973,400,1000,Cary-Hiroyuki Tagawa,abdication|china|emperor|forbidden city|republic,133,1987
Baltasar Kormákur,109,175,733,24000,J.K. Simmons,cocaine|contraband|drug lord|prison|smuggling,161,2012
Brett Ratner,97,420,585,695,Heather Locklear,blood splatter|fistfight|murder|police|prison bus,41,1997
Paul Thomas Anderson,158,0,104,272,Jim Meskimen,alcoholic|alcoholism|money|oil|turn of the century,1107,2007
Cathy Malkasian,85,0,503,1000,Alfre Woodard,africa|chimpanzee|elephant|safari|shaman,33,2002
John Eng,80,0,362,971,Elizabeth Daily,kid|oxygen|rugrats|trapped underwater|underwater,35,2003
Malcolm D. Lee,86,92,466,744,Dave Chappelle,african american|cadillac|disguise|secret agent|undercover,179,2002
Ken Kwapis,119,42,917,2000,Mike Vogel,friendship|jeans|pants|summer|vacation,223,2005
Chris Nahon,98,20,872,5000,Jet Li,action hero|chinese|forced prostitution|one man army|title spoken by character,254,2001
Fred Wolf,97,29,816,15000,Emma Stone,makeover|party|playboy|playboy mansion|sorority,126,2008
Bille Woodruff,105,23,485,1000,Alfre Woodard,client|dentures|false teeth|reference to peter pan|single parent,59,2005
Craig Gillespie,124,44,367,4000,Jon Hamm,baseball|based on true story|india|sports agent|training,96,2014
Phillip Noyce,97,176,10000,12000,Jeff Bridges,black and white segues into color|color|community|dystopia|infanticide,260,2014
Dennie Gordon,105,29,742,14000,Colin Firth,american|daughter|england|father|politician,194,2003
Victor Salva,104,108,177,296,Nicki Aycox,cheerleader|farmer|fear|high school basketball|nightmare,316,2003
Mark Helfrich,101,7,440,1000,Dane Cook,breasts|leg spreading|mini skirt|sex|sex in bed,150,2007
Andrzej Bartkowiak,101,43,432,5000,Jet Li,camera shot from inside human body|diamond|evil man|heist|terrorism,185,2003
Stephen Daldry,114,335,530,11000,Meryl Streep,housewife|lesbian|novel|party|reading,660,2002
Andy Fickman,105,99,960,17000,Channing Tatum,disguise|roommate|school|soccer|twin,261,2006
Steve Bendelack,90,68,100,328,Lily Atkinson,camcorder|cannes|director|lost passport|train,235,2007
Dwight H. Little,97,27,522,601,Nicholas Gonzalez,anaconda|blood|borneo|flower|orchid,144,2004
Guillaume Canet,144,0,745,15000,Mila Kunis,1970s|flashback|love|money|murder,41,2013
Kirsten Sheridan,114,59,403,49000,Robin Williams,baby|cellist|genius|prodigy|rhapsody,364,2007
Shekhar Kapur,124,159,240,288,Fanny Ardant,16th century|british royal family|catholic|queen|queen elizabeth i,409,1998
Ronny Yu,89,31,71,285,Alexis Arquette,blood|doll|gore|murder|serial killer,292,1998
Richard Fleischer,160,130,288,469,Joseph Cotten,attack|hawaii|navy|pearl harbor|u.s. navy,159,1970
Bob Spiers,93,14,199,1000,Jason Flemyng,bus|concert|live concert|pop group|spice girl,261,1997
David Gordon Green,87,234,370,904,Ari Graynor,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,114,2011
Damien Dante Wayans,88,82,571,756,Damon Wayans Jr.,african american|dance|overalls|parody|rap,50,2009
Frank Darabont,142,0,461,11000,Morgan Freeman,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,4144,1994
Simon Wincer,92,23,162,460,Jere Burns,boat|crocodile|garbage can|knife|paramount pictures,119,2001
Bobby Farrelly,117,101,743,13000,Bill Murray,amish|bowling|on the road|rubber hand|tournament,185,1996
Rupert Wyatt,111,81,81,3000,George Kennedy,dog|gambler|gambling|gangster|professor,145,2014
John Wells,121,53,8000,19000,Benedict Cumberbatch,based on play|incestuous relationship|pedophilia|secret|teenage daughter,285,2013
Tim Fywell,98,3,28,90,Connie Ray,championship|coach|harvard|physics|zamboni,81,2005
Nigel Cole,107,13,165,618,Aimee Garcia,flight|hasselblad camera|los angeles california|love|medium format camera,161,2005
Dexter Fletcher,106,452,141,20000,Hugh Jackman,1988 winter olympics|coach|ski jumper|winter|winter olympics,119,2016
Spike Lee,136,0,3000,18000,Denzel Washington,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,109,1998
Jeremy Leven,97,19,977,40000,Johnny Depp,don juan|mental institution|patient|psychiatrist|retirement,117,1994
,7,,3,45,Justin Fletcher,farmer|mischief|no dialog|sheep|sheepdog,12,
Lasse Hallström,108,529,690,17000,Channing Tatum,army|coin collector|love|surfboard|u.s. army,186,2010
Sylvain White,97,41,619,11000,Chris Evans,hacking|hijacking|martial arts|revenge|special forces,165,2010
Troy Nixey,99,24,155,3000,Bailee Madison,basement|creature|disappearance|interior designer|mansion,250,2010
Philip G. Atwell,103,5,874,26000,Jason Statham,assassin|betrayal|fbi|fbi agent|yakuza,166,2007
Paul Thomas Anderson,95,0,98,11000,Adam Sandler,harmonium|love|phone sex|pudding|sister,888,2002
Jeff Schaffer,93,17,360,13000,Matt Damon,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,316,2004
Don Michael Paul,98,70,223,462,Claudia Christian,alcatraz|fbi|gold|prison|undercover,132,2002
Paul Feig,90,176,825,931,Tyler James Williams,airport|black comedy|blizzard|christmas|pennsylvania,56,2006
James Bridges,107,21,418,967,Dianne Wiest,estranged wife|fashion show|magazine|new york city|writer,37,1988
Steve Barron,90,48,376,940,Martin Landau,based on novel|human becoming an animal|slow motion|transformation|young boy,22,1996
Bill Paxton,120,0,58,577,Stephen Dillane,champion|golf tournament|golfer|nostalgia|orchestral music score,106,2005
Richard Kelly,115,219,258,902,Frank Langella,alien|library|moral dilemma|nosebleed|supernatural power,376,2009
Carter Smith,93,27,49,960,Laura Ramsey,bow and arrow|group of friends|horse|rifle|ruins,351,2008
John Schlesinger,99,154,347,774,Mark Valley,best friend|cartoon on tv|custody battle|gay|gay friend,162,2000
Wes Craven,107,0,255,798,Frank Grillo,evil|killer|murder|psychopath|serial killer,136,2010
Luke Greenfield,110,42,111,355,Chris Marquette,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,513,2004
Ringo Lam,101,17,218,900,Natasha Henstridge,fbi|fbi agent|mafia|russian mafia|twin,68,1996
Bruce McCulloch,85,54,455,985,Martin Starr,black humor|crying during sex|harvard|humor|man with glasses,92,2002
Brian Helgeland,132,241,151,27000,Tom Hardy,1960s|based on a true story|gangster|identical twins|murder,174,2015
Akiva Schaffer,88,82,432,874,Sissy Spacek,humiliation|man child|moped|neighbor|slacker,149,2007
David R. Ellis,90,160,852,963,Chris Zylka,lake|louisiana|redneck|shark|vacation,130,2011
Alan Parker,145,317,70,876,Emily Watson,drink|ira|irish|limerick|prejudice,163,1999
Ivan Reitman,110,425,148,3000,Jennifer Garner,cleveland browns|head coach|linebacker|nfl|team owner,113,2014
Tobe Hooper,101,365,141,338,Frank Finlay,alien|halleys comet|life force|space vampire|vampire,189,1985
,30,,265,971,Elizabeth Daily,campy|castle thunder|female hero|female protagonist|monster,60,
Robert Redford,122,0,939,18000,Robin Wright,john wilkes booth|lawyer|lincoln assassination|trial|truth,135,2010
Catherine Hardwicke,107,308,872,13000,Heath Ledger,1970s|skateboarder|skateboarding|surf|swimming pool,194,2005
Patricia Riggen,127,36,399,562,Marco Treviño,disaster movie|mine|minister|president|trapped in a mine,56,2015
John Carpenter,99,0,52,400,Victor Wong,1980s|airport|cb radio|truck|truck driver,331,1986
Pascal Chaumeil,104,8,8,172,Dany Boon,curse|divorce|marriage|tourism|travel,11,2012
Gavin O'Connor,140,149,581,27000,Tom Hardy,alcoholic|mixed martial arts|return home|tournament|underdog,514,2011
Neil Jordan,133,277,8000,25000,Alan Rickman,ireland|irish|irish civil war|irish free state|sinn fein,93,1996
Ron Maxwell,271,33,251,854,Tom Berenger,american civil war|battle|blood splatter|civil war|irish american,256,1993
Kimberly Peirce,112,108,2000,23000,Joseph Gordon-Levitt,friendship|honor|iraq war|soldier|texas,99,2008
Stephen Gaghan,99,79,956,16000,Charlie Hunnam,college|detective|disappearance|police detective|thesis,157,2002
Jonathan Kaplan,100,57,92,181,John Doe,bangkok|friend|lawyer|smuggling|thailand,187,1999
Ole Bornedal,92,30,309,941,Kyra Sedgwick,basketball coach|box|jewish|rabbi|yard sale,162,2012
Richard Benjamin,105,121,354,3000,Brendan Fraser,love|train|train wreck|twin brother|two word title,50,1996
Rod Lurie,110,37,268,10000,Alexander Skarsgård,gang rape|panties pulled down|rape|rape victim|sexual humiliation,140,2011
Lasse Hallström,116,529,174,442,Hope Davis,book|fabrication|fake|hoax|manuscript,74,2006
Craig R. Baxley,88,22,120,174,Brian Bosworth,biker|biker gang|fbi|mississippi|undercover,62,1991
John Hillcoat,111,214,3000,10000,Viggo Mortensen,apocalypse|boy|food|pistol|survival,504,2009
John Guillermin,117,71,42,433,Tanya Roberts,chimpanzee|elephant|jungle|mercenary|shaman,52,1984
Marcos Siega,95,32,324,843,Cheech Marin,police|private school|shootout|undercover|wigger,26,2005
J.B. Rogers,95,6,248,849,Eddie Cibrian,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,91,2001
Roger Donaldson,127,79,50,12000,Anthony Hopkins,mortgage|motorcycle|speed|trailer|utah,251,2005
David R. Ellis,105,160,490,852,Lin Shaye,baby rattle|famous line|murder|passenger|snake,1033,2006
Rachel Talalay,104,54,919,6000,Naomi Watts,2030s|21st century|desert|jet|tank,173,1995
Jeffrey W. Byrd,95,2,807,927,Donald Faison,hit in the crotch|kidnapping|nail gun|police|release from prison,20,2005
Fernando Meirelles,121,353,18,45,Don McKellar,blindness|epidemic|hospital|pubic hair|quarantine,300,2008
Uwe Boll,92,892,492,783,Meat Loaf,escape|half human|king|vampire|vampire hunter,471,2005
Roman Polanski,80,2000,132,14000,Kate Winslet,based on play|meeting|salesman|single set production|whiskey,181,2011
Atom Egoyan,107,460,490,14000,Colin Firth,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,128,2005
Andrew Adamson,91,80,31,473,Dallas Barnett,aerialist|circus|cirque du soleil|clown|surrealism,35,2012
Robert Towne,117,162,745,2000,Billy Burke,car crash|coach|death|oregon|university of oregon,57,1998
Richard Linklater,107,0,240,962,Zoe Kazan,high school|mercury theatre|opening night|school|theatre,69,2008
Giuseppe Tornatore,131,911,232,5000,Jim Sturgess,antique|art|heiress|older man younger woman relationship|plot twist,131,2013
Werner Herzog,122,0,407,12000,Nicolas Cage,drugs|flood|hallucination|lieutenant|murder investigation,212,2009
Ben Stassen,88,4,602,783,Ed Begley Jr.,apostrophe in title|character name in title|punctuation in title|sea turtle,22,2010
Guillaume Canet,134,0,92,541,François Cluzet,friend|restaurant|secret|unrequited love|vacation,48,2010
Taylor Hackford,117,138,416,908,Scout Taylor-Compton,argentine|brothel|cancer|female full frontal nudity|fight,17,2010
Jérôme Deschamps,80,0,0,44,Yolande Moreau,cartoon cat|cat|character name in title|puss in boots|surrealism,24,2009
Inna Evlannikova,85,0,7,21,Sergey Garmash,dog|flea|meteor|space|space dog,8,2010
Ridley Scott,138,0,1000,13000,Michael Fassbender,cunnilingus|drug trafficking|lawyer|no panties|shootout,431,2013
Jonathan English,121,9,520,1000,Jason Flemyng,castle|england|king|knight|templar,103,2011
Sergey Bondarchuk,134,27,87,279,Rod Steiger,battle|costume drama|final battle|napoleon|napoleon bonaparte,76,1970
Teddy Chan,100,3,55,79,Siu-Wong Fan,fight|kung fu|martial arts|police|wire fu,26,2014
Mario Van Peebles,100,535,399,668,Martin Kove,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,11,2014
Stephen Frears,119,350,418,18000,Keanu Reeves,catholic|corruption|emotional abuse|france|seduction,143,1988
Walter Salles,137,179,4000,17000,Kristen Stewart,benzedrine|cactus|drugs|poem|year 1949,128,2012
