director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Vincent Gallo,115,93,0,Cheryl Tiegs,787,365734,Vincent Gallo,The Brown Bunny ,11487,883,Anna Vareschi,0,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,226,English,96,5.0,1.66,952
Claude Chabrol,34,101,28,François Cluzet,678,231417,Isabelle Huppert,The Swindle ,1649,1256,Michel Serrault,0,con|con artist|money|scam|sils maria,21,French,541,6.6,1.66,33
Jon Stewart,129,103,241,Claire Foy,374,3093491,Numan Acar,Rosewater ,8307,1283,Haluk Bilginer,0,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,37,English,362,6.6,1.85,5000
Bigas Luna,22,101,34,Aitana Sánchez-Gijón,837,244465,Olivier Martinez,The Chambermaid on the Titanic ,1135,1019,Romane Bohringer,1,foundry|foundry worker|french|friend|titanic,14,French,130,6.8,2.35,85
Ralph Fiennes,196,123,131,Ashraf Barhom,18000,756452,Gerard Butler,Coriolanus ,27009,18652,Lubna Azabal,0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,118,English,451,6.2,2.35,12000
Dan Harris,73,111,83,Ryan Donowho,374,228524,Kip Pardue,Imaginary Heroes ,8708,768,Larry Fessenden,2,cat|christmas song|lawn mowing|leave of absence|medication,56,English,181,7.3,2.35,345
Mel Smith,43,86,428,Danny Dyer,893,226792,Minnie Driver,High Heels and Low Lifes ,3080,3049,Mary McCormack,2,attempted murder|blackmail|diver's watch|nurse|satire,44,English,798,6.2,1.85,117
Bobcat Goldthwait,129,99,334,Daryl Sabara,49000,221210,Robin Williams,World's Greatest Dad ,31964,50542,Henry Simmons,1,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,129,English,640,6.9,1.85,0
Christopher Smith,200,90,345,Toby Stephens,798,136432,Danny Dyer,Severance ,31890,2217,Laura Harris,0,blood splatter|eastern europe|female nudity|pine forest|team building,194,English,769,6.6,1.85,0
Stuart Gordon,79,82,885,Dulé Hill,1000,131617,Joe Mantegna,Edmond ,9971,5761,Jeffrey Combs,1,bipolar disorder|sodomy|stabbing|street life|violence,119,English,922,6.3,1.85,661
Jake Scott,112,110,146,Ally Sheedy,17000,152857,Kristen Stewart,Welcome to the Rileys ,19979,18236,Kerry Cahill,3,businessman|prostitute|street|stripper|travel,56,English,793,7.0,1.85,0
Alan Metter,17,83,421,Michael Winslow,16000,126247,Christopher Lee,Police Academy: Mission to Moscow ,24958,17469,G.W. Bailey,0,captain|commandant|mafia|russian mafia|security system,103,English,542,3.3,1.85,321
Jeb Stuart,20,128,553,Nate Parker,665,82739,Ricky Schroder,Blood Done Sign My Name ,465,4579,Lee Norris,0,based on autobiography|based on novel|based on true story|murder|racism,3,English,664,6.7,2.35,503
Rafa Lara,12,125,36,Andrés Montiel,78,169379,Jorge Luis Moreno,Cinco de Mayo, La Batalla ,683,221,William Miller,1,,3,Spanish,61,6.2,,874
Michael Radford,59,97,499,Jared Gilman,962,,Chris Noth,Elsa & Fred ,2041,3465,James Brolin,0,apartment|death of protagonist|follow that car|la dolce vita|love,18,English,545,6.5,2.35,0
Arthur Hiller,29,86,385,Harvey Weinstein,795,15447,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn ,2971,2655,Ryan O'Neal,0,box office flop|critically bashed|director|hollywood|mockumentary,85,English,474,3.5,1.85,89
Michael Meredith,23,91,875,Justin Timberlake,12000,19348,Jeff Bridges,The Open Road ,2941,16118,Ted Danson,2,american south|baseball|farmland|motel|road trip,11,English,3000,5.5,2.35,370
Julio DePietro,22,90,617,Scott Porter,806,100503,Adrian Martinez,The Good Guy ,7759,3124,Aaron Yoo,2,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,20,English,690,5.9,1.85,1000
Katherine Dieckmann,43,90,495,Minnie Driver,1000,92900,Stephanie Szostak,Motherhood ,3662,3146,Anthony Edwards,1,birthday|birthday party|delivery man|mother|neighbor,23,English,893,4.7,1.85,546
William Dear,16,94,422,Corbin Bleu,835,140987,Madison Pettis,Free Style ,361,2519,Sandra Echeverría,3,,4,English,632,4.2,1.85,58
Kim Farrant,84,112,51,Reef Ireland,147,,Nicholas Hamilton,Strangerland ,5637,285,Sean Keenan,0,australian|desert|mother daughter relationship|mother son relationship|promiscuity,57,English,52,5.2,2.39,0
Marcus Raboy,4,85,240,Tamala Jones,706,,Mike Epps,The Janky Promoters ,1097,1936,Glenn Plummer,2,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,10,English,405,5.2,1.85,402
Scott Marshall,20,93,611,Drew Waters,906,5561,Drew Fuller,Blonde Ambition ,4995,4725,Larry Miller,1,boss|business|career|confidence|female protagonist,34,English,848,3.9,1.85,160
Álex de la Iglesia,71,104,102,Leonor Watling,439,3607,Jim Carter,The Oxford Murders ,22753,940,Danny Sapani,4,landlady|lecture|murder|oxford university|symbol,94,English,161,6.1,2.35,0
Andrew Traucki,102,94,72,Gyton Grantley,122,,Damian Walshe-Howling,The Reef ,11950,375,Adrienne Pickering,0,boat|great white shark|killing an animal|shark|underwater,89,English,109,5.8,2.35,0
Michael Clancy,27,85,742,Rip Torn,11000,70527,Zooey Deschanel,Eulogy ,7690,14656,Kelly Preston,6,dysfunctional family|family relationships|family reunion|funeral|twin,68,English,826,6.7,1.85,376
Patrick Lussier,62,99,126,Craig Fairbrass,298,,Teryl Rothery,White Noise 2: The Light ,11285,934,Adrian Holmes,0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,82,English,258,5.7,2.35,509
Robert Adetuyi,5,91,111,Mishael Morgan,485,,Shane Pollard,You Got Served: Beat the World ,1642,964,Chase Armitage,0,,11,English,152,4.5,2.35,0
Kari Skogland,76,117,415,Kevin Zegers,5000,,Jim Sturgess,Fifty Dead Men Walking ,9585,7637,Michael McElhatton,1,1980s|ira|near death experience|title directed by female|what happened to epilogue,38,English,2000,6.9,2.35,0
Taedong Park,8,85,196,Tom Arnold,1000,,Drake Bell,Jungle Shuffle ,162,2259,Amanda Troop,0,,2,English,618,4.8,,186
Paul Schrader,75,106,520,Ayelet Zurer,30000,,Veronica Ferres,Adam Resurrected ,3075,31325,Derek Jacobi,2,circus|dog|entertainer|holocaust|patient,31,English,744,6.3,2.35,589
Benedikt Erlingsson,66,81,5,Charlotte Bøving,63,11835,Ingvar Eggert Sigurðsson,Of Horses and Men ,1920,81,Sigríður María Egilsdóttir,0,barbed wire|barbed wire fence|horse|nature|snowstorm,7,Icelandic,10,6.9,2.35,1000
Gurinder Chadha,31,100,95,Mark Addy,1000,,Sendhil Ramamurthy,It's a Wonderful Afterlife ,1250,2227,Shabana Azmi,1,afterlife|indian|murder|overweight woman|police,16,English,891,5.4,2.35,695
Jason Connery,32,90,711,Henry Rollins,1000,,Ray Winstone,The Devil's Tomb ,5715,3937,Jason London,4,desert|mercenary|priest|scientist|war veteran,60,English,898,3.8,1.85,486
Vic Sarin,17,116,46,Jesse Moss,183,,Jimi Mistry,Partition ,2223,428,John Light,2,india|love|muslim|pakistan|sikh,27,English,136,7.0,2.35,746
Jim Issa,4,84,482,Luke Perry,670,,Elaine Hendrix,Good Intentions ,553,2739,Jon Gries,5,,3,English,608,5.2,,119
Jee-woon Kim,152,135,7,Woo-sung Jung,398,128486,Kang-ho Song,The Good, the Bad, the Weird ,26156,569,Dal-su Oh,0,bounty hunter|manchuria|map|train|treasure,74,Korean,149,7.3,2.35,0
Douglas Aarniokoski,129,84,899,Katrina Bowden,1000,,Boris Kodjoe,Nurse 3D ,7286,4686,Kathleen Turner,0,carnage|female nudity|purple panties|sexual attraction|shaved labia,75,English,948,4.6,2.35,0
William Phillips,15,89,499,Callum Rennie,764,,Tyler Mane,Gunless ,3015,2876,Dustin Milligan,1,blacksmith|bounty hunter|duel|gunslinger|wild west,27,English,716,6.5,2.35,850
Greg Mottola,248,107,452,Martin Starr,17000,16025394,Kristen Stewart,Adventureland ,131180,18983,Wendie Malick,6,amusement park|strong female character|summer job|teen movie|teenager,220,English,985,6.8,1.85,0
Andy Garcia,52,144,195,Victor Rivers,786,2483955,Danny Pino,The Lost City ,8369,1674,Enrique Murciano,0,1950s|cuba|cuban flag|fidel castro|havana cuba,165,English,228,6.7,1.85,957
Steve Carr,55,98,525,Mike Epps,723,57176582,John Witherspoon,Next Friday ,27492,3939,Rolando Molina,1,african american|flashback|marijuana joint|porn magazine|suburb,84,English,706,6.1,1.85,0
Sarik Andreasyan,30,94,262,Jordana Brewster,4000,,Hayden Christensen,American Heist ,12372,9432,Akon,1,bank|critically bashed|heist|mechanic|prison,42,English,4000,5.2,,0
Lewis Gilbert,130,117,244,Burt Kwouk,742,43100000,Donald Pleasence,You Only Live Twice ,75280,2127,Desmond Llewelyn,0,faked death|japan|japanese|poison|secret headquarters,267,English,462,6.9,2.35,0
Julian Gilbey,29,102,1000,Alfie Allen,31000,,Mem Ferda,Plastic ,5865,35634,Malese Jow,7,credit card fraud|lesbian kiss|miami,12,English,1000,6.0,,1000
Michael Haneke,447,127,319,Emmanuelle Riva,678,225377,Isabelle Huppert,Amour ,70382,1557,Jean-Louis Trintignant,1,aging|daughter|old couple|old love|stroke,190,French,432,7.9,1.85,33000
Gary Sherman,66,98,770,Heather O'Rourke,1000,14114488,Tom Skerritt,Poltergeist III ,13190,3827,Zelda Rubinstein,0,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,114,English,887,4.5,1.85,616
Valeri Milev,18,88,200,Roger Cross,557,,Daniella Alonso,Re-Kill ,1763,1702,Jesse Garcia,0,after dark|after dark horrorfest|fictional tv news show|outbreak,26,English,290,5.1,1.78,898
Stanley Kramer,61,197,760,Sid Caesar,924,46300000,Jonathan Winters,It's a Mad, Mad, Mad, Mad World ,29323,4109,Spencer Tracy,0,california|desert|dying words|money|race,344,English,898,7.6,2.76,0
Pedro Almodóvar,232,121,82,Lola Dueñas,148,12899702,Carmen Maura,Volver ,76681,448,Antonio de la Torre,1,abusive father|child abuse|death|rape|secret,228,Spanish,114,7.6,2.35,0
Gerald Potterton,62,90,123,Joe Flaherty,187,,John Vernon,Heavy Metal ,23516,646,Don Francks,0,anthology|girl|heavy metal|secretary|segments,147,English,176,6.7,1.37,0
Jared Hess,106,89,327,Michael Angarano,33000,113155,Jizelle Jade,Gentlemen Broncos ,9006,34398,Héctor Jiménez,7,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,54,English,947,6.1,,0
Richard Loncraine,56,104,1000,Jim Broadbent,21000,2600000,Robert Downey Jr.,Richard III ,11612,23962,Kristin Scott Thomas,3,1930s|abuse of power|england|king|murder,88,English,1000,7.5,2.35,0
David Hackl,48,94,129,Michaela McManus,826,,Scott Glenn,Into the Grizzly Maze ,4486,1586,Luisa D'Oliveira,4,bear|breasts|female nudity|grizzly|wilderness,38,English,476,5.3,1.85,0
Anurag Basu,41,90,303,Steven Michael Quezada,594,1602466,Bárbara Mori,Kites ,9673,1836,Kabir Bedi,0,casino|desert|love|suicide|tragic event,106,English,412,6.0,,0
Lars von Trier,439,130,844,Kirsten Dunst,10000,3029870,Alexander Skarsgård,Melancholia ,128729,15835,Charlotte Rampling,1,art director|breasts|depression|outdoor sex|riding a horse,551,English,4000,7.1,2.35,50000
Kriv Stenders,54,92,110,Keisha Castle-Hughes,509,,Noah Taylor,Red Dog ,13003,1248,Luke Ford,0,australian|based on true events|dog|love|search,80,English,446,7.5,2.35,10000
Yash Chopra,50,176,1000,Katrina Kaif,8000,3047539,Shah Rukh Khan,Jab Tak Hai Jaan ,42296,13762,Vic Waghorn,4,accident|army|bomb|indian army|love,286,Hindi,3000,6.9,2.35,12000
Ridley Scott,392,116,513,Yaphet Kotto,1000,78900000,Tom Skerritt,Alien ,563827,2524,Bolaji Badejo,0,alien|creature|future|outer space|spaceship,1110,English,581,8.5,2.35,23000
Tobe Hooper,277,88,177,Edwin Neal,383,30859000,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,371,7.5,1.85,0
Floria Sigismondi,259,106,741,Scout Taylor-Compton,17000,3571735,Kristen Stewart,The Runaways ,39260,21711,Johnny Lewis,2,band|box office flop|critically bashed|historically inaccurate|revisionist history,129,English,908,6.6,2.35,0
Norman Jewison,66,181,51,Paul Michael Glaser,402,50000000,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,English,343,8.0,2.35,0
Terence Young,129,130,177,Earl Cameron,244,63600000,Desmond Llewelyn,Thunderball ,82073,1164,Lois Maxwell,1,domino|fiery redhead|nassau|official james bond series|underwater battle,275,English,189,7.0,2.35,0
Joseph Kahn,115,93,123,Shanley Caswell,14000,,Josh Hutcherson,Detention ,12520,15014,Parker Bagley,2,blood splatter|detention|high school|overalls|reference to c. thomas howell,76,English,383,5.8,2.35,0
Ferzan Ozpetek,81,110,16,Alessandro Preziosi,580,,Riccardo Scamarcio,Loose Cannons ,8667,662,Lunetta Savino,9,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,29,Italian,26,7.3,2.35,0
F. Gary Gray,29,123,685,Jada Pinkett Smith,890,36049108,Vivica A. Fox,Set It Off ,10139,3661,Blair Underwood,4,bank|black comedy|main characters killed off|money|robbery,70,English,851,6.8,2.35,0
Malcolm D. Lee,32,120,862,Sanaa Lathan,1000,34074895,Harold Perrineau,The Best Man ,6525,5420,Jarrod Bunch,6,african american|bachelor party|brooklyn bridge|family relationships|stripper,79,English,886,6.7,1.85,0
Tom Holland,142,87,118,Alex Vincent,311,33244684,Catherine Hicks,Child's Play ,62038,760,Dinah Manoff,0,birthday|doll|murder|serial killer|voodoo,281,English,189,6.5,1.85,0
Michael Moore,263,123,184,Tucker Albrizzi,909,24530513,Michael Moore,Sicko ,66610,1633,Bill Clinton,1,canada|cuba|france|guantanamo|hmo,429,English,203,8.0,1.85,0
James DeMonaco,285,103,908,Zach Gilford,2000,71519230,Noel Gugliemi,The Purge: Anarchy ,92364,6807,Roberta Valderrama,0,held at gunpoint|machete|masked man|sequel|violence,244,English,971,6.5,2.35,15000
Kris Isacsson,64,91,407,Lauren German,3000,20035310,Rosario Dawson,Down to You ,12324,4409,Shawn Hatosy,1,artist|cake|college|new york city|student,173,English,683,4.9,1.85,580
Danny Leiner,150,88,587,Fred Willard,982,18225165,Ethan Embry,Harold & Kumar Go to White Castle ,155262,3114,Paula Garcés,2,marijuana|police|road trip|stoner|white castle,316,English,729,7.1,1.85,0
Rod Lurie,136,126,883,Gary Oldman,12000,17804273,Jeff Bridges,The Contender ,20449,25660,William Petersen,0,bridge|governor|political thriller|president|vice president,370,English,10000,7.0,1.85,1000
Ben Younger,132,120,701,Nia Long,14000,16938179,Vin Diesel,Boiler Room ,41313,17336,Herbert Russell,3,career|casino|judge|stock|stock broker,246,English,826,7.0,1.85,0
John Landis,71,116,199,Denholm Elliott,392,90400000,Don Ameche,Trading Places ,102895,845,Ralph Bellamy,2,interracial relationship|poverty|prostitute|scam|stock market,159,English,249,7.5,1.85,0
Glen Morgan,186,94,179,Crystal Lowe,607,16235293,Oliver Hudson,Black Christmas ,19918,1611,Andrea Martin,0,attic|christmas|house|incest|sorority,278,English,318,4.5,2.35,0
Daniel Taplitz,39,85,127,Tate Taylor,911,11827301,Jennifer Esposito,Breakin' All the Rules ,4247,1345,Patrick Cranshaw,1,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,26,English,150,5.5,2.35,266
Kenneth Branagh,46,137,130,Derek Jacobi,591,10161099,Brian Blessed,Henry V ,23441,1341,Danny Webb,1,battle|battle of agincourt|king|shakespeare play|sword and shield,108,English,520,7.7,1.85,0
Tamara Jenkins,201,114,338,David Zayas,22000,6610326,Philip Seymour Hoffman,The Savages ,32188,23770,Gbenga Akinnagbe,0,arizona|dementia|married man|sun city arizona|writing,127,English,929,7.2,1.85,0
Linda Mendoza,32,76,571,Freddy Rodríguez,591,6126237,Carlos Ponce,Chasing Papi ,3419,2851,Maria Conchita Alonso,3,beauty pageant|bilingual|dating|latino|three women,41,English,579,4.8,1.85,419
Christopher McQuarrie,117,119,35,Nicky Katt,187,6047856,Kristin Lehman,The Way of the Gun ,27536,358,Dylan Kussman,4,criminal|drifter|gangster|money|surrogate mother,327,English,127,6.7,1.85,1000
Burr Steers,136,99,471,Rory Culkin,1000,4681503,Kieran Culkin,Igby Goes Down ,29058,2478,Bill Irwin,1,boy|mistress|money|schizophrenic|school,238,English,710,7.0,2.35,838
Hart Bochner,15,79,219,Matt Ross,4000,4350774,Jon Favreau,PCU ,10476,4908,Chris Young,3,college|high school senior|meat|protest|university,52,English,248,6.5,1.85,0
Michael O. Sajbel,46,114,633,Drew Fuller,970,3420871,Bill Cobbs,The Ultimate Gift ,14100,3824,Mircea Monroe,2,billionaire|grandfather|playboy|trust fund baby|wealth,81,English,906,7.4,1.85,0
,1,30,140,Katherine Kelly Lang,177,,Ronn Moss,The Bold and the Beautiful             ,5478,639,Hunter Tylo,0,beverly hills california|family relationships|los angeles california|soap opera,54,English,170,3.5,1.78,748
Stewart Raffill,41,91,297,John Carradine,1000,,Anjelica Huston,The Ice Pirates ,7767,1991,Robert Urich,4,bar fight|cult film|ice|psychotronic|sword fight,56,English,300,5.7,1.85,0
Davis Guggenheim,65,95,261,John Doman,702,2955039,Emma Bell,Gracie ,3624,2007,Carly Schroeder,1,boy|girl|soccer|south orange new jersey|teenager,27,English,616,6.2,2.35,313
Bart Freundlich,100,103,316,Garry Shandling,745,1530535,Billy Crudup,Trust the Man ,7833,1721,Dagmara Dominczyk,3,actress|lesbianism|manhattan new york city|urination|watching pornography,63,English,591,5.7,2.35,215
Andrew Fleming,129,92,611,Amy Poehler,1000,4881867,Steve Coogan,Hamlet 2 ,15200,3767,David Arquette,1,gang banger|sequel|shakespeare's hamlet|student|time machine,76,English,1000,6.4,1.85,1000
Todd Haynes,103,124,277,Eddie Izzard,23000,1043487,Christian Bale,Velvet Goldmine ,27766,24102,Janet McTeer,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,English,776,7.0,1.85,0
Hong-jin Na,77,156,0,Jun Kunimura,45,770629,Jung-min Hwang,The Wailing ,2379,50,Woo-hee Chun,0,policeman|stranger|supernatural|village|vomiting,24,Korean,5,7.7,2.35,0
Kevin Tancharoen,67,84,748,Heather Morris,2000,11860839,Lea Michele,Glee: The 3D Concert Movie ,5156,4617,Kevin McHale,0,concert|live in concert recording|live performance,21,English,892,5.4,1.85,0
Chatrichalerm Yukol,31,300,6,Chatchai Plengpanich,7,454255,Sarunyu Wongkrachang,The Legend of Suriyothai ,1666,32,Mai Charoenpura,3,16th century|burmese|invasion|queen|thailand,47,Thai,6,6.6,1.85,124
Dario Argento,76,120,433,Adrienne Barbeau,982,349618,John Amos,Two Evil Eyes ,4302,2942,Sally Kirkland,1,black cat|cat|evil|photographer|undead,45,English,602,6.1,1.85,375
Eric Lavaine,17,98,5,Julie Engelbrecht,186,,Lambert Wilson,Barbecue ,1673,253,Lionel Abelanski,1,,1,French,41,6.1,2.35,348
Mike Leigh,81,121,25,Ruth Sheen,149,112935,Lesley Manville,All or Nothing ,8161,251,Gary McDonald,0,love|neighbor|single parent|supermarket|working class,94,English,44,7.6,1.85,484
Marc Forby,26,97,204,Will Patton,679,883887,Q'orianka Kilcher,Princess Kaiulani ,1201,1426,Shaun Evans,3,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,English,537,6.2,2.35,0
Peter Cattaneo,24,86,18,Vince Colosimo,185,13751,Jacqueline McKenzie,Opal Dream ,813,299,Peter Callan,0,friend|girl|imaginary friend|outback|town,6,English,62,6.6,1.85,135
Scott Mann,44,93,558,Joshua Mikel,22000,,Robert De Niro,Heist ,16198,24154,D.B. Sweeney,1,bus|die hard scenario,57,English,1000,6.1,2.35,0
Ole Christian Madsen,80,45,104,Thure Lindhardt,573,145109,Lars Mikkelsen,Flame and Citron ,14247,1098,Christian Berkel,1,danish|double agent|nazi|nazi occupation|resistance,44,Danish,197,7.3,2.35,0
Meiert Avis,41,97,230,Kip Pardue,922,1046166,Fisher Stevens,Undiscovered ,2599,1835,Perrey Reeves,4,bare chested male|box office flop|diner|german shepherd|one word title,45,English,374,4.2,2.35,128
Julian Jarrold,91,102,35,Warren Clarke,10000,,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,9305,10369,John Henshaw,0,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,English,281,7.1,1.85,0
André Téchiné,66,105,98,Ronit Elkabetz,963,2874,Catherine Deneuve,The Girl on the Train ,1219,1375,Émilie Dequenne,1,bar mitzvah|lawyer|train|wealth|wrestler,14,French,168,6.0,2.35,120
Emily Young,19,103,664,Erika Christensen,4000,,Sarah Michelle Gellar,Veronika Decides to Die ,10100,6426,Jonathan Tucker,1,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,English,931,6.5,2.35,3000
Peter Faiman,35,93,93,Linda Kozlowski,442,174635000,Paul Hogan,Crocodile Dundee ,74743,822,David Gulpilil,1,australian outback|crocodile|female reporter|journalist|new york city,93,English,162,6.5,2.35,0
Martyn Pick,19,76,151,Steven Waddington,722,,Sean Pertwee,Ultramarines: A Warhammer 40,000 Movie ,4990,1254,Donald Sumpter,0,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,English,212,5.7,1.85,0
Roland Suso Richter,33,90,327,Sarah Polley,1000,,Stephen Graham,The I Inside ,9296,2310,Stephen Rea,2,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,English,900,6.1,2.35,458
Jeremy Sims,17,122,59,Gyton Grantley,174,,Harrison Gilbertson,Beneath Hill 60 ,5741,498,Steve Le Marquand,12,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,English,109,7.1,2.35,0
Maïwenn,163,127,68,Maïwenn,580,171320,Riccardo Scamarcio,Polisse ,10796,1129,Karin Viard,1,abusive parent|child molester|child protection|photographer|police,33,French,236,7.3,1.85,0
Joby Harold,133,84,896,Fisher Stevens,4000,14373825,Hayden Christensen,Awake ,63216,6954,Denis O'Hare,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,English,922,6.5,2.35,0
,47,23,265,James Arnold Taylor,668,,Dee Bradley Baker,Star Wars: The Clone Wars             ,28190,1484,Tom Kane,0,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,English,296,7.9,2.35,2000
Ekachai Uekrongtham,66,96,305,Mike Dopud,2000,162,Michael Jai White,Skin Trade ,5228,2802,Celina Jade,5,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,English,368,5.7,2.35,0
Joel Schumacher,147,97,673,Jami Gertz,967,32222567,Dianne Wiest,The Lost Boys ,92924,4458,Jason Patric,3,1980s|california|death|small town|vampire,339,English,847,7.2,2.35,19000
Scott Cooper,273,112,175,Beth Grant,12000,39462438,Jeff Bridges,Crazy Heart ,67760,13172,Debrianna Mansini,0,country music|country western singer|journalist|musician|singer,226,English,628,7.3,2.35,0
Mark Rydell,32,125,122,Frederic Forrest,563,29200000,David Keith,The Rose ,6142,1097,Alan Bates,0,awol|demand|driver|drugs|roses,52,English,236,6.9,1.85,1000
