num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
129,99,800,334,Daryl Sabara,49000,Comedy|Drama,World's Greatest Dad ,50542,Henry Simmons,1,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,129,English,USA,,2009,640,1.85
200,90,76,345,Toby Stephens,798,Comedy|Horror|Thriller,Severance ,2217,Laura Harris,0,blood splatter|eastern europe|female nudity|pine forest|team building,194,English,UK,5000000,2006,769,1.85
79,82,216,885,Dulé Hill,1000,Drama|Thriller,Edmond ,5761,Jeffrey Combs,1,bipolar disorder|sodomy|stabbing|street life|violence,119,English,USA,10000000,2005,922,1.85
112,110,26,146,Ally Sheedy,17000,Drama,Welcome to the Rileys ,18236,Kerry Cahill,3,businessman|prostitute|street|stripper|travel,56,English,UK,,2010,793,1.85
17,83,3,421,Michael Winslow,16000,Comedy|Crime,Police Academy: Mission to Moscow ,17469,G.W. Bailey,0,captain|commandant|mafia|russian mafia|security system,103,English,USA,6200000,1994,542,1.85
20,128,11,553,Nate Parker,665,Drama,Blood Done Sign My Name ,4579,Lee Norris,0,based on autobiography|based on novel|based on true story|murder|racism,3,English,USA,,2010,664,2.35
12,125,21,36,Andrés Montiel,78,Drama|History|War,"Cinco de Mayo, La Batalla ",221,William Miller,1,,3,Spanish,Mexico,10000000,2013,61,
59,97,53,499,Jared Gilman,962,Comedy|Drama|Romance,Elsa & Fred ,3465,James Brolin,0,apartment|death of protagonist|follow that car|la dolce vita|love,18,English,USA,10000000,2014,545,2.35
29,86,71,385,Harvey Weinstein,795,Comedy,An Alan Smithee Film: Burn Hollywood Burn ,2655,Ryan O'Neal,0,box office flop|critically bashed|director|hollywood|mockumentary,85,English,USA,10000000,1997,474,1.85
23,91,7,875,Justin Timberlake,12000,Comedy|Drama,The Open Road ,16118,Ted Danson,2,american south|baseball|farmland|motel|road trip,11,English,USA,10000000,2009,3000,2.35
22,90,0,617,Scott Porter,806,Comedy|Romance,The Good Guy ,3124,Aaron Yoo,2,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,20,English,USA,8000000,2009,690,1.85
43,90,8,495,Minnie Driver,1000,Comedy|Drama,Motherhood ,3146,Anthony Edwards,1,birthday|birthday party|delivery man|mother|neighbor,23,English,USA,5000000,2009,893,1.85
16,94,50,422,Corbin Bleu,835,Drama,Free Style ,2519,Sandra Echeverría,3,,4,English,Canada,,2008,632,1.85
84,112,93,51,Reef Ireland,147,Drama|Mystery|Thriller,Strangerland ,285,Sean Keenan,0,australian|desert|mother daughter relationship|mother son relationship|promiscuity,57,English,Australia,10000000,2015,52,2.39
4,85,7,240,Tamala Jones,706,Comedy|Crime|Music,The Janky Promoters ,1936,Glenn Plummer,2,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,10,English,USA,,2009,405,1.85
20,93,7,611,Drew Waters,906,Comedy|Romance,Blonde Ambition ,4725,Larry Miller,1,boss|business|career|confidence|female protagonist,34,English,USA,10000000,2007,848,1.85
71,104,275,102,Leonor Watling,439,Crime|Mystery|Thriller,The Oxford Murders ,940,Danny Sapani,4,landlady|lecture|murder|oxford university|symbol,94,English,Spain,10000000,2008,161,2.35
102,94,10,72,Gyton Grantley,122,Horror|Thriller,The Reef ,375,Adrienne Pickering,0,boat|great white shark|killing an animal|shark|underwater,89,English,Australia,,2010,109,2.35
27,85,0,742,Rip Torn,11000,Comedy|Drama,Eulogy ,14656,Kelly Preston,6,dysfunctional family|family relationships|family reunion|funeral|twin,68,English,USA,6500000,2004,826,1.85
62,99,71,126,Craig Fairbrass,298,Drama|Fantasy|Horror|Thriller,White Noise 2: The Light ,934,Adrian Holmes,0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,82,English,USA,10000000,2007,258,2.35
5,91,8,111,Mishael Morgan,485,Drama|Music,You Got Served: Beat the World ,964,Chase Armitage,0,,11,English,Canada,10000000,2011,152,2.35
76,117,13,415,Kevin Zegers,5000,Drama|Thriller,Fifty Dead Men Walking ,7637,Michael McElhatton,1,1980s|ira|near death experience|title directed by female|what happened to epilogue,38,English,UK,6000000,2008,2000,2.35
8,85,0,196,Tom Arnold,1000,Adventure|Animation,Jungle Shuffle ,2259,Amanda Troop,0,,2,English,South Korea,10000000,2014,618,
75,106,261,520,Ayelet Zurer,30000,Drama|War,Adam Resurrected ,31325,Derek Jacobi,2,circus|dog|entertainer|holocaust|patient,31,English,Germany,10000000,2008,744,2.35
66,81,4,5,Charlotte Bøving,63,Comedy|Drama|Romance,Of Horses and Men ,81,Sigríður María Egilsdóttir,0,barbed wire|barbed wire fence|horse|nature|snowstorm,7,Icelandic,Iceland,10000000,2013,10,2.35
31,100,98,95,Mark Addy,1000,Comedy|Drama|Horror|Romance,It's a Wonderful Afterlife ,2227,Shabana Azmi,1,afterlife|indian|murder|overweight woman|police,16,English,UK,10000000,2010,891,2.35
32,90,110,711,Henry Rollins,1000,Action|Horror|Sci-Fi,The Devil's Tomb ,3937,Jason London,4,desert|mercenary|priest|scientist|war veteran,60,English,USA,10000000,2009,898,1.85
17,116,24,46,Jesse Moss,183,Drama|Romance,Partition ,428,John Light,2,india|love|muslim|pakistan|sikh,27,English,Canada,10000000,2007,136,2.35
4,84,5,482,Luke Perry,670,Comedy,Good Intentions ,2739,Jon Gries,5,,3,English,USA,10000000,2010,608,
152,135,419,7,Woo-sung Jung,398,Action|Adventure|Comedy|Western,"The Good, the Bad, the Weird ",569,Dal-su Oh,0,bounty hunter|manchuria|map|train|treasure,74,Korean,South Korea,10000000,2008,149,2.35
129,84,36,899,Katrina Bowden,1000,Horror|Thriller,Nurse 3D ,4686,Kathleen Turner,0,carnage|female nudity|purple panties|sexual attraction|shaved labia,75,English,USA,10000000,2013,948,2.35
15,89,3,499,Callum Rennie,764,Action|Comedy|Drama|Western,Gunless ,2876,Dustin Milligan,1,blacksmith|bounty hunter|duel|gunslinger|wild west,27,English,Canada,10000000,2010,716,2.35
248,107,99,452,Martin Starr,17000,Comedy|Drama|Romance,Adventureland ,18983,Wendie Malick,6,amusement park|strong female character|summer job|teen movie|teenager,220,English,USA,,2009,985,1.85
52,144,0,195,Victor Rivers,786,Drama|Romance,The Lost City ,1674,Enrique Murciano,0,1950s|cuba|cuban flag|fidel castro|havana cuba,165,English,USA,9600000,2005,228,1.85
55,98,41,525,Mike Epps,723,Comedy,Next Friday ,3939,Rolando Molina,1,african american|flashback|marijuana joint|porn magazine|suburb,84,English,USA,9500000,2000,706,1.85
30,94,9,262,Jordana Brewster,4000,Action|Crime|Drama|Thriller,American Heist ,9432,Akon,1,bank|critically bashed|heist|mechanic|prison,42,English,Canada,10000000,2014,4000,
130,117,43,244,Burt Kwouk,742,Action|Adventure|Thriller,You Only Live Twice ,2127,Desmond Llewelyn,0,faked death|japan|japanese|poison|secret headquarters,267,English,UK,9500000,1967,462,2.35
29,102,7,1000,Alfie Allen,31000,Action|Comedy|Crime|Drama,Plastic ,35634,Malese Jow,7,credit card fraud|lesbian kiss|miami,12,English,UK,10000000,2014,1000,
447,127,0,319,Emmanuelle Riva,678,Drama|Romance,Amour ,1557,Jean-Louis Trintignant,1,aging|daughter|old couple|old love|stroke,190,French,France,8900000,2012,432,1.85
66,98,17,770,Heather O'Rourke,1000,Horror|Thriller,Poltergeist III ,3827,Zelda Rubinstein,0,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,114,English,USA,10500000,1988,887,1.85
18,88,6,200,Roger Cross,557,Action|Horror,Re-Kill ,1702,Jesse Garcia,0,after dark|after dark horrorfest|fictional tv news show|outbreak,26,English,USA,9500000,2015,290,1.78
61,197,176,760,Sid Caesar,924,Action|Adventure|Comedy|Crime,"It's a Mad, Mad, Mad, Mad World ",4109,Spencer Tracy,0,california|desert|dying words|money|race,344,English,USA,9400000,1963,898,2.76
232,121,0,82,Lola Dueñas,148,Comedy|Crime|Drama|Mystery,Volver ,448,Antonio de la Torre,1,abusive father|child abuse|death|rape|secret,228,Spanish,Spain,,2006,114,2.35
62,90,0,123,Joe Flaherty,187,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,646,Don Francks,0,anthology|girl|heavy metal|secretary|segments,147,English,Canada,9300000,1981,176,1.37
106,89,100,327,Michael Angarano,33000,Adventure|Comedy|Sci-Fi,Gentlemen Broncos ,34398,Héctor Jiménez,7,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,54,English,USA,,2009,947,
56,104,12,1000,Jim Broadbent,21000,Drama|War,Richard III ,23962,Kristin Scott Thomas,3,1930s|abuse of power|england|king|murder,88,English,UK,6000000,1995,1000,2.35
48,94,43,129,Michaela McManus,826,Action|Horror|Thriller,Into the Grizzly Maze ,1586,Luisa D'Oliveira,4,bear|breasts|female nudity|grizzly|wilderness,38,English,USA,10000000,2015,476,1.85
41,90,116,303,Steven Michael Quezada,594,Action|Drama|Romance|Thriller,Kites ,1836,Kabir Bedi,0,casino|desert|love|suicide|tragic event,106,English,India,600000000,2010,412,
439,130,3000,844,Kirsten Dunst,10000,Drama|Sci-Fi,Melancholia ,15835,Charlotte Rampling,1,art director|breasts|depression|outdoor sex|riding a horse,551,English,Denmark,7400000,2011,4000,2.35
54,92,25,110,Keisha Castle-Hughes,509,Biography|Comedy|Drama|Family|Romance,Red Dog ,1248,Luke Ford,0,australian|based on true events|dog|love|search,80,English,Australia,8500000,2011,446,2.35
50,176,147,1000,Katrina Kaif,8000,Drama|Romance,Jab Tak Hai Jaan ,13762,Vic Waghorn,4,accident|army|bomb|indian army|love,286,Hindi,India,7217600,2012,3000,2.35
392,116,0,513,Yaphet Kotto,1000,Horror|Sci-Fi,Alien ,2524,Bolaji Badejo,0,alien|creature|future|outer space|spaceship,1110,English,UK,11000000,1979,581,2.35
277,88,365,177,Edwin Neal,383,Horror|Thriller,The Texas Chain Saw Massacre ,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,English,USA,83532,1974,371,1.85
259,106,50,741,Scout Taylor-Compton,17000,Biography|Drama|Music,The Runaways ,21711,Johnny Lewis,2,band|box office flop|critically bashed|historically inaccurate|revisionist history,129,English,USA,10000000,2010,908,2.35
66,181,278,51,Paul Michael Glaser,402,Drama|Family|Musical|Romance,Fiddler on the Roof ,934,Rosalind Harris,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,English,USA,9000000,1971,343,2.35
129,130,92,177,Earl Cameron,244,Action|Adventure|Thriller,Thunderball ,1164,Lois Maxwell,1,domino|fiery redhead|nassau|official james bond series|underwater battle,275,English,UK,9000000,1965,189,2.35
115,93,33,123,Shanley Caswell,14000,Comedy|Horror|Sci-Fi,Detention ,15014,Parker Bagley,2,blood splatter|detention|high school|overalls|reference to c. thomas howell,76,English,USA,10000000,2011,383,2.35
81,110,798,16,Alessandro Preziosi,580,Comedy|Drama|Romance,Loose Cannons ,662,Lunetta Savino,9,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,29,Italian,Italy,,2010,26,2.35
29,123,473,685,Jada Pinkett Smith,890,Action|Crime|Drama|Romance|Thriller,Set It Off ,3661,Blair Underwood,4,bank|black comedy|main characters killed off|money|robbery,70,English,USA,9000000,1996,851,2.35
32,120,92,862,Sanaa Lathan,1000,Comedy|Drama,The Best Man ,5420,Jarrod Bunch,6,african american|bachelor party|brooklyn bridge|family relationships|stripper,79,English,USA,9000000,1999,886,1.85
142,87,85,118,Alex Vincent,311,Fantasy|Horror,Child's Play ,760,Dinah Manoff,0,birthday|doll|murder|serial killer|voodoo,281,English,USA,9000000,1988,189,1.85
263,123,909,184,Tucker Albrizzi,909,Documentary|Drama,Sicko ,1633,Bill Clinton,1,canada|cuba|france|guantanamo|hmo,429,English,USA,9000000,2007,203,1.85
285,103,65,908,Zach Gilford,2000,Action|Horror|Sci-Fi|Thriller,The Purge: Anarchy ,6807,Roberta Valderrama,0,held at gunpoint|machete|masked man|sequel|violence,244,English,USA,9000000,2014,971,2.35
64,91,0,407,Lauren German,3000,Comedy|Drama|Romance,Down to You ,4409,Shawn Hatosy,1,artist|cake|college|new york city|student,173,English,USA,9000000,2000,683,1.85
150,88,8,587,Fred Willard,982,Adventure|Comedy,Harold & Kumar Go to White Castle ,3114,Paula Garcés,2,marijuana|police|road trip|stoner|white castle,316,English,USA,9000000,2004,729,1.85
136,126,37,883,Gary Oldman,12000,Drama|Thriller,The Contender ,25660,William Petersen,0,bridge|governor|political thriller|president|vice president,370,English,USA,20000000,2000,10000,1.85
132,120,46,701,Nia Long,14000,Crime|Drama|Thriller,Boiler Room ,17336,Herbert Russell,3,career|casino|judge|stock|stock broker,246,English,USA,8000000,2000,826,1.85
71,116,644,199,Denholm Elliott,392,Comedy,Trading Places ,845,Ralph Bellamy,2,interracial relationship|poverty|prostitute|scam|stock market,159,English,USA,,1983,249,1.85
186,94,17,179,Crystal Lowe,607,Horror,Black Christmas ,1611,Andrea Martin,0,attic|christmas|house|incest|sorority,278,English,USA,9000000,2006,318,2.35
39,85,2,127,Tate Taylor,911,Comedy|Romance,Breakin' All the Rules ,1345,Patrick Cranshaw,1,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,26,English,USA,,2004,150,2.35
46,137,0,130,Derek Jacobi,591,Action|Biography|Drama|History|Romance|War,Henry V ,1341,Danny Webb,1,battle|battle of agincourt|king|shakespeare play|sword and shield,108,English,UK,9000000,1989,520,1.85
201,114,84,338,David Zayas,22000,Comedy|Drama,The Savages ,23770,Gbenga Akinnagbe,0,arizona|dementia|married man|sun city arizona|writing,127,English,USA,,2007,929,1.85
32,76,17,571,Freddy Rodríguez,591,Comedy|Romance,Chasing Papi ,2851,Maria Conchita Alonso,3,beauty pageant|bilingual|dating|latino|three women,41,English,USA,,2003,579,1.85
117,119,188,35,Nicky Katt,187,Action|Crime|Drama|Thriller,The Way of the Gun ,358,Dylan Kussman,4,criminal|drifter|gangster|money|surrogate mother,327,English,USA,8500000,2000,127,1.85
136,99,23,471,Rory Culkin,1000,Comedy|Drama,Igby Goes Down ,2478,Bill Irwin,1,boy|mistress|money|schizophrenic|school,238,English,USA,9000000,2002,710,2.35
15,79,157,219,Matt Ross,4000,Comedy,PCU ,4908,Chris Young,3,college|high school senior|meat|protest|university,52,English,USA,8000000,1994,248,1.85
46,114,6,633,Drew Fuller,970,Drama|Family|Romance,The Ultimate Gift ,3824,Mircea Monroe,2,billionaire|grandfather|playboy|trust fund baby|wealth,81,English,USA,,2006,906,1.85
1,30,,140,Katherine Kelly Lang,177,Drama|Romance,The Bold and the Beautiful             ,639,Hunter Tylo,0,beverly hills california|family relationships|los angeles california|soap opera,54,English,USA,,,170,1.78
41,91,12,297,John Carradine,1000,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,1991,Robert Urich,4,bar fight|cult film|ice|psychotronic|sword fight,56,English,USA,9000000,1984,300,1.85
65,95,49,261,John Doman,702,Biography|Drama|Sport,Gracie ,2007,Carly Schroeder,1,boy|girl|soccer|south orange new jersey|teenager,27,English,USA,9000000,2007,616,2.35
100,103,38,316,Garry Shandling,745,Comedy|Drama|Romance,Trust the Man ,1721,Dagmara Dominczyk,3,actress|lesbianism|manhattan new york city|urination|watching pornography,63,English,USA,9000000,2005,591,2.35
129,92,26,611,Amy Poehler,1000,Comedy|Music,Hamlet 2 ,3767,David Arquette,1,gang banger|sequel|shakespeare's hamlet|student|time machine,76,English,USA,9000000,2008,1000,1.85
103,124,162,277,Eddie Izzard,23000,Drama|Music,Velvet Goldmine ,24102,Janet McTeer,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,English,UK,,1998,776,1.85
77,156,43,0,Jun Kunimura,45,Fantasy|Horror|Mystery|Thriller,The Wailing ,50,Woo-hee Chun,0,policeman|stranger|supernatural|village|vomiting,24,Korean,South Korea,,2016,5,2.35
67,84,64,748,Heather Morris,2000,Documentary|Music,Glee: The 3D Concert Movie ,4617,Kevin McHale,0,concert|live in concert recording|live performance,21,English,USA,9000000,2011,892,1.85
31,300,6,6,Chatchai Plengpanich,7,Action|Adventure|Drama|History|War,The Legend of Suriyothai ,32,Mai Charoenpura,3,16th century|burmese|invasion|queen|thailand,47,Thai,Thailand,400000000,2001,6,1.85
76,120,930,433,Adrienne Barbeau,982,Horror,Two Evil Eyes ,2942,Sally Kirkland,1,black cat|cat|evil|photographer|undead,45,English,Italy,9000000,1990,602,1.85
17,98,0,5,Julie Engelbrecht,186,Comedy,Barbecue ,253,Lionel Abelanski,1,,1,French,France,,2014,41,2.35
81,121,608,25,Ruth Sheen,149,Drama,All or Nothing ,251,Gary McDonald,0,love|neighbor|single parent|supermarket|working class,94,English,UK,9000000,2002,44,1.85
26,97,3,204,Will Patton,679,Drama,Princess Kaiulani ,1426,Shaun Evans,3,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,English,USA,9000000,2009,537,2.35
24,86,11,18,Vince Colosimo,185,Drama|Family,Opal Dream ,299,Peter Callan,0,friend|girl|imaginary friend|outback|town,6,English,Australia,11400000,2006,62,1.85
44,93,8,558,Joshua Mikel,22000,Action|Crime|Thriller,Heist ,24154,D.B. Sweeney,1,bus|die hard scenario,57,English,USA,19000000,2015,1000,2.35
80,45,28,104,Thure Lindhardt,573,Drama|History|Thriller|War,Flame and Citron ,1098,Christian Berkel,1,danish|double agent|nazi|nazi occupation|resistance,44,Danish,Denmark,45000000,2008,197,2.35
41,97,0,230,Kip Pardue,922,Comedy|Music|Romance,Undiscovered ,1835,Perrey Reeves,4,bare chested male|box office flop|diner|german shepherd|one word title,45,English,Germany,9000000,2005,374,2.35
91,102,11,35,Warren Clarke,10000,Crime|Drama|Mystery|Thriller,Red Riding: In the Year of Our Lord 1974 ,10369,John Henshaw,0,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,English,UK,,2009,281,1.85
66,105,25,98,Ronit Elkabetz,963,Drama,The Girl on the Train ,1375,Émilie Dequenne,1,bar mitzvah|lawyer|train|wealth|wrestler,14,French,France,,2009,168,2.35
19,103,6,664,Erika Christensen,4000,Drama|Romance,Veronika Decides to Die ,6426,Jonathan Tucker,1,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,English,USA,9000000,2009,931,2.35
35,93,4,93,Linda Kozlowski,442,Adventure|Comedy,Crocodile Dundee ,822,David Gulpilil,1,australian outback|crocodile|female reporter|journalist|new york city,93,English,Australia,8800000,1986,162,2.35
19,76,4,151,Steven Waddington,722,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"Ultramarines: A Warhammer 40,000 Movie ",1254,Donald Sumpter,0,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,English,UK,,2010,212,1.85
33,90,3,327,Sarah Polley,1000,Mystery|Sci-Fi|Thriller,The I Inside ,2310,Stephen Rea,2,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,English,UK,8800000,2004,900,2.35
17,122,8,59,Gyton Grantley,174,Drama|History|War,Beneath Hill 60 ,498,Steve Le Marquand,12,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,English,Australia,9000000,2010,109,2.35
163,127,236,68,Maïwenn,580,Crime|Drama,Polisse ,1129,Karin Viard,1,abusive parent|child molester|child protection|photographer|police,33,French,France,,2011,236,1.85
133,84,8,896,Fisher Stevens,4000,Crime|Mystery|Thriller,Awake ,6954,Denis O'Hare,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,English,USA,8600000,2007,922,2.35
47,23,,265,James Arnold Taylor,668,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Star Wars: The Clone Wars             ,1484,Tom Kane,0,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,English,USA,,,296,2.35
66,96,3,305,Mike Dopud,2000,Action|Crime|Thriller,Skin Trade ,2802,Celina Jade,5,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,English,Thailand,9000000,2014,368,2.35
147,97,541,673,Jami Gertz,967,Comedy|Fantasy|Horror,The Lost Boys ,4458,Jason Patric,3,1980s|california|death|small town|vampire,339,English,USA,,1987,847,2.35
273,112,108,175,Beth Grant,12000,Drama|Music|Romance,Crazy Heart ,13172,Debrianna Mansini,0,country music|country western singer|journalist|musician|singer,226,English,USA,7000000,2009,628,2.35
32,125,43,122,Frederic Forrest,563,Drama|Music|Romance,The Rose ,1097,Alan Bates,0,awol|demand|driver|drugs|roses,52,English,USA,8500000,1979,236,1.85
52,96,68,1000,Christina Milian,3000,Comedy,Baggage Claim ,8097,Boris Kodjoe,9,woman wearing only a man's shirt,41,English,USA,8500000,2013,1000,1.85
107,98,35,170,David Hemmings,949,Adventure|Comedy|Fantasy|Sci-Fi,Barbarella ,1510,Milo O'Shea,2,41st century|angel|future|laser gun|space opera,186,English,France,9000000,1968,178,2.35
6,92,8,3,Louisa Milwood-Haigh,35,Adventure|Family,Shipwrecked ,47,Stian Smestad,2,boy|island|pirate|ship|treasure,14,English,Norway,60000000,1990,6,2.35
175,103,729,133,Chris Klein,2000,Comedy|Drama,Election ,3516,Molly Hagan,0,female protagonist|high school|self destructiveness|student council president|student government,441,English,USA,8000000,1999,841,2.35
