actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,country,content_rating
588,Frankie Muniz,1000,Daniel Roebuck,11092,USA,PG
307,Common,22000,Robert De Niro,66579,USA,PG-13
155,Gregory Itzin,11000,Angelina Jolie Pitt,44913,France,R
427,Dave Legeno,771,Pam Ferris,72886,USA,R
509,Ray Romano,826,Rip Torn,10667,USA,PG-13
535,Mako,1000,Christopher Lambert,16194,Canada,PG-13
223,Mike Starr,1000,Harold Perrineau,7772,USA,R
512,Chris Bauer,642,David Conrad,8118,USA,R
277,Elizabeth Berkley,11000,Woody Allen,31798,USA,PG-13
816,Kirstie Alley,15000,Jake Gyllenhaal,5006,USA,PG-13
26,Chelsea Field,442,Paul Hogan,8008,USA,PG
523,Derek Luke,16000,Ryan Reynolds,57674,USA,PG-13
151,Danny Huston,883,Archie Panjabi,111351,UK,R
113,Maia Morgenstern,260,Christo Jivkov,179235,USA,R
711,Mara Wilson,49000,Robin Williams,181380,USA,PG-13
628,Valeria Golino,10000,Tom Cruise,383784,USA,R
198,Dreama Walker,16000,Clint Eastwood,561773,USA,R
655,Scott Glenn,2000,Toby Jones,40941,USA,PG-13
485,Holly Valance,14000,Liam Neeson,483756,France,PG-13
437,Gerald McRaney,775,Luke Bracey,43084,USA,PG-13
164,Mike Starr,970,Bill Cobbs,89972,USA,R
212,Embeth Davidtz,14000,Liam Neeson,865020,USA,R
2000,Bryce Dallas Howard,15000,Emma Stone,318955,USA,PG-13
203,Peter Capaldi,19000,Benedict Cumberbatch,29282,USA,R
596,Linda Cardellini,4000,Sarah Michelle Gellar,33180,USA,PG
48,Igor Jijikine,1000,Jason Flemyng,3170,Russia,
662,Jason Ritter,918,Katharine Isabelle,89101,USA,R
127,Ava Acres,554,Cara Delevingne,2863,UK,Not Rated
179,Rob Paulsen,770,Martin Short,23943,USA,G
387,Ben Feldman,2000,Mike Vogel,296787,USA,PG-13
445,Paige Turco,642,Kevin Nash,42765,USA,PG
188,Billy Drago,22000,Robert De Niro,219008,USA,R
883,Stephen Root,2000,Kelly Macdonald,612060,USA,R
460,Tika Sumpter,655,Bruce McGill,75903,USA,PG-13
887,Jim Broadbent,14000,Colin Firth,171568,UK,R
163,Leslie Caron,541,Lena Olin,150308,UK,PG-13
643,Bruce McGill,934,Mary Lynn Rajskub,46417,USA,PG-13
433,Gedde Watanabe,3000,Bailee Madison,21176,USA,PG
766,Greta Gerwig,20000,Natalie Portman,168717,USA,R
472,Dana Delany,2000,Michael Biehn,95241,USA,R
775,Delroy Lindo,5000,Jet Li,57040,USA,R
108,Patrick Troughton,264,Lee Remick,80958,UK,R
318,Gina Holden,440,Chelan Simmons,102861,Germany,R
204,Riley Thomas Stewart,713,Blythe Danner,76882,USA,PG-13
3000,Zooey Deschanel,14000,Josh Hutcherson,110390,USA,PG
2000,Kate Winslet,40000,Johnny Depp,174591,USA,PG
400,Tika Sumpter,975,Alicia Witt,4265,USA,PG-13
726,Frank Grillo,14000,Liam Neeson,203111,USA,R
317,Dylan Baker,22000,Robert De Niro,70205,USA,R
7000,Will Ferrell,640000,Darcy Donavan,267921,USA,PG-13
635,Mike Starr,22000,Robert De Niro,728685,USA,R
434,Frankie Muniz,1000,Daniel Roebuck,26755,USA,PG
579,Kelly Macdonald,14000,Colin Firth,49676,USA,PG
638,F. Murray Abraham,14000,Al Pacino,537442,USA,R
468,Michael McKean,742,Kelly Preston,36253,USA,R
400,Joan Chen,1000,Cary-Hiroyuki Tagawa,70274,China,PG-13
733,David O'Hara,24000,J.K. Simmons,101977,USA,R
585,Paul Sorvino,695,Heather Locklear,22748,USA,R
104,Paul F. Tompkins,272,Jim Meskimen,372990,USA,R
503,Flea,1000,Alfre Woodard,12218,USA,PG
362,Cree Summer,971,Elizabeth Daily,5674,USA,PG
466,Eddie Griffin,744,Dave Chappelle,29661,USA,PG-13
917,America Ferrera,2000,Mike Vogel,44838,USA,PG
872,Bridget Fonda,5000,Jet Li,53126,France,R
816,Katharine McPhee,15000,Emma Stone,63969,USA,PG-13
485,Keshia Knight Pulliam,1000,Alfre Woodard,13194,USA,PG-13
367,Suraj Sharma,4000,Jon Hamm,35833,USA,PG
10000,Meryl Streep,12000,Jeff Bridges,86251,South Africa,PG-13
742,Oliver James,14000,Colin Firth,48095,USA,PG
177,Jonathan Breck,296,Nicki Aycox,45102,USA,R
440,Dan Fogler,1000,Dane Cook,74622,USA,R
432,Tom Arnold,5000,Jet Li,34942,USA,R
530,Stephen Dillane,11000,Meryl Streep,102123,USA,PG-13
960,Alexandra Breckenridge,17000,Channing Tatum,116762,USA,PG-13
100,Emma de Caunes,328,Lily Atkinson,88714,UK,PG
522,Salli Richardson-Whitfield,601,Nicholas Gonzalez,22243,USA,PG-13
745,Lili Taylor,15000,Mila Kunis,14612,France,R
403,Aaron Staton,49000,Robin Williams,87331,USA,PG
240,John Gielgud,288,Fanny Ardant,75973,UK,R
71,Park Bench,285,Alexis Arquette,39768,Canada,R
288,Richard Anderson,469,Joseph Cotten,25019,Japan,G
199,Richard Briers,1000,Jason Flemyng,28377,UK,PG
370,J.B. Smoove,904,Ari Graynor,60202,USA,R
571,Essence Atkins,756,Damon Wayans Jr.,10161,USA,PG-13
461,Jeffrey DeMunn,11000,Morgan Freeman,1689764,USA,R
162,Paul Hogan,460,Jere Burns,19699,Australia,PG
743,Lin Shaye,13000,Bill Murray,63459,USA,PG-13
81,Cjon Saulsberry,3000,George Kennedy,48559,USA,R
8000,Meryl Streep,19000,Benedict Cumberbatch,67797,USA,R
28,Trevor Blumas,90,Connie Ray,19737,USA,G
165,Tyrone Giordano,618,Aimee Garcia,58297,USA,PG-13
141,Taron Egerton,20000,Hugh Jackman,32507,UK,PG-13
3000,Milla Jovovich,18000,Denzel Washington,36108,USA,R
977,Marlon Brando,40000,Johnny Depp,41310,USA,PG-13
3,John Sparkes,45,Justin Fletcher,7968,UK,TV-G
690,Henry Thomas,17000,Channing Tatum,104356,USA,PG-13
619,Jason Patric,11000,Chris Evans,74691,USA,PG-13
155,Alan Dale,3000,Bailee Madison,40776,USA,R
874,Jet Li,26000,Jason Statham,72673,USA,R
98,Emily Watson,11000,Adam Sandler,109855,USA,R
360,Scott Mechlowicz,13000,Matt Damon,162067,USA,R
223,Nia Peeples,462,Claudia Christian,12263,Germany,PG-13
825,Rob Riggle,931,Tyler James Williams,8398,USA,PG
418,Phoebe Cates,967,Dianne Wiest,5817,USA,R
376,Udo Kier,940,Martin Landau,4086,UK,G
58,Matthew Knight,577,Stephen Dillane,22289,USA,PG
258,Gillian Jacobs,902,Frank Langella,76303,USA,PG-13
49,Jonathan Tucker,960,Laura Ramsey,60062,USA,R
347,Rupert Everett,774,Mark Valley,9361,USA,PG-13
255,Emily Meade,798,Frank Grillo,16411,USA,R
111,Timothy Bottoms,355,Chris Marquette,171151,USA,R
218,Zach Grenier,900,Natasha Henstridge,15814,USA,R
455,Megan Mullally,985,Martin Starr,11211,USA,PG-13
151,Paul Anderson,27000,Tom Hardy,87682,UK,R
432,Jorma Taccone,874,Sissy Spacek,59900,USA,PG-13
852,Joel David Moore,963,Chris Zylka,20823,USA,PG-13
70,Devon Murray,876,Emily Watson,16995,USA,R
148,Chi McBride,3000,Jennifer Garner,39357,USA,R
141,Steve Railsback,338,Frank Finlay,15531,UK,R
265,Jennifer Hale,971,Elizabeth Daily,23664,USA,TV-Y7
939,Tom Wilkinson,18000,Robin Wright,23696,USA,PG-13
872,Michael Angarano,13000,Heath Ledger,43903,USA,PG-13
399,James Brolin,562,Marco Treviño,21098,Chile,PG-13
52,Kate Burton,400,Victor Wong,92464,USA,PG-13
8,Malonn Lévana,172,Dany Boon,5525,France,
581,Frank Grillo,27000,Tom Hardy,332276,USA,PG-13
8000,Liam Neeson,25000,Alan Rickman,24145,UK,R
251,William Morgan Sheppard,854,Tom Berenger,21940,USA,PG
2000,Channing Tatum,23000,Joseph Gordon-Levitt,17757,USA,R
956,Zooey Deschanel,16000,Charlie Hunnam,7909,USA,PG-13
92,Tom Amandes,181,John Doe,18693,USA,PG-13
309,Madison Davenport,941,Kyra Sedgwick,47169,USA,PG-13
354,Jane Krakowski,3000,Brendan Fraser,5668,USA,PG-13
268,Laz Alonso,10000,Alexander Skarsgård,27117,USA,R
174,Christopher Evan Welch,442,Hope Davis,14581,USA,R
120,Sam McMurray,174,Brian Bosworth,4972,USA,R
3000,Charlize Theron,10000,Viggo Mortensen,177401,USA,R
42,Donovan Scott,433,Tanya Roberts,3334,UK,PG
324,Nick Cannon,843,Cheech Marin,4875,USA,PG-13
248,Chris Klein,849,Eddie Cibrian,11375,USA,R
50,Antony Starr,12000,Anthony Hopkins,44198,New Zealand,PG-13
490,Kenan Thompson,852,Lin Shaye,115650,Germany,R
919,Lori Petty,6000,Naomi Watts,24790,USA,R
807,Loretta Devine,927,Donald Faison,3229,USA,PG-13
18,Joe Pingue,45,Don McKellar,59462,Canada,R
492,Udo Kier,783,Meat Loaf,30628,USA,R
132,Christoph Waltz,14000,Kate Winslet,96480,France,R
490,Alison Lohman,14000,Colin Firth,14982,Canada,R
31,Erica Linz,473,Dallas Barnett,7100,USA,PG
745,Monica Potter,2000,Billy Burke,5841,USA,PG-13
240,Aidan McArdle,962,Zoe Kazan,9264,UK,PG-13
232,Sean Buchanan,5000,Jim Sturgess,69676,Italy,R
407,Shea Whigham,12000,Nicolas Cage,64944,USA,R
602,Jenny McCarthy,783,Ed Begley Jr.,5385,France,PG
92,Benoît Magimel,541,François Cluzet,18395,France,Not Rated
416,Bai Ling,908,Scout Taylor-Compton,2395,USA,R
0,André Wilms,44,Yolande Moreau,753,France,G
7,Evgeniy Mironov,21,Sergey Garmash,891,Russia,G
1000,Brad Pitt,13000,Michael Fassbender,80861,USA,R
520,Mackenzie Crook,1000,Jason Flemyng,34338,UK,R
87,Dan O'Herlihy,279,Rod Steiger,5911,Italy,G
55,Charlie Yeung,79,Siu-Wong Fan,5900,China,
399,Mario Van Peebles,668,Martin Kove,1084,USA,PG-13
418,Peter Capaldi,18000,Keanu Reeves,52846,USA,R
4000,Viggo Mortensen,17000,Kristen Stewart,33107,France,R
643,Nichelle Nichols,12000,Leonard Nimoy,61621,USA,PG
461,Burt Young,13000,Sylvester Stallone,162130,USA,PG
848,Edgar Ramírez,1000,Ray Winstone,33958,USA,PG-13
221,Jada Pinkett Smith,865,Omar Epps,124941,USA,R
439,Noah Emmerich,20000,Natalie Portman,8885,USA,R
676,Regina Hall,966,Romany Malco,15310,USA,PG-13
900,Matthew Perry,13000,Bruce Willis,90374,USA,R
304,Chris Penn,967,Dianne Wiest,51459,USA,PG
497,Leah Remini,8000,Will Ferrell,185258,USA,R
161,David Hyde Pierce,12000,Jeff Bridges,63274,USA,R
970,Mekhi Phifer,45000,Muse Watson,55398,USA,R
597,Jim Belushi,893,Minnie Driver,16469,USA,PG
92,Jeff Anderson,218,Gerry Bednob,149835,USA,R
265,Pruitt Taylor Vince,11000,Morgan Freeman,30119,Germany,R
939,Jeff Bridges,18000,Kevin Spacey,109620,USA,R
384,Eddie Griffin,1000,Daniel Roebuck,5431,USA,PG-13
898,Clea DuVall,11000,Angelina Jolie Pitt,125421,USA,R
886,Gary Cole,2000,Topher Grace,22844,USA,PG-13
611,F. Murray Abraham,1000,Josh Charles,14637,USA,G
227,Diana Ross,738,Lena Horne,10895,USA,G
940,Ellen Albertini Dow,1000,Oliver Platt,11709,USA,PG-13
197,Robert Wagner,512,Willie Garson,10100,USA,R
847,Busy Philipps,2000,Olivia Munn,16437,USA,PG-13
847,Kelly Brook,3000,Adam Scott,72552,USA,R
286,Bob Hoskins,18000,Kevin Spacey,12821,USA,PG-13
254,M.C. Gainey,23000,Paul Walker,2265,USA,PG
73,Kenneth Williams,742,Donald Pleasence,2541,UK,G
382,F. Murray Abraham,22000,Robert De Niro,2919,UK,PG
706,Tom Berenger,12000,Dwayne Johnson,80574,USA,R
422,Blythe Danner,23000,Christian Bale,214091,Japan,PG
11,Bill Murray,15000,Emma Stone,386217,USA,R
84,Thomas Kretschmann,6000,Naomi Watts,316020,New Zealand,PG-13
427,Clint Howard,11000,Adam Sandler,119450,USA,PG-13
441,Kenny Baker,11000,Harrison Ford,837759,USA,PG
244,Tchéky Karyo,10000,Will Smith,172405,USA,R
144,Priscilla Presley,3000,George Kennedy,83269,USA,PG-13
591,Brendan Fehr,1000,Daniel Roebuck,181058,USA,R
1000,Philip Seymour Hoffman,33000,Ryan Gosling,188652,USA,R
787,Radha Mitchell,14000,Vin Diesel,193962,USA,R
99,Ellen Barkin,20000,Hugh Jackman,19709,USA,PG-13
105,Brian Johnson,19000,Scarlett Johansson,355126,USA,R
141,Taron Egerton,20000,Hugh Jackman,32513,UK,PG-13
62,Jessica Bowman,23000,Paul Walker,53415,USA,R
88,Keeley Hawes,2000,Ioan Gruffudd,4191,UK,PG
407,Eva Amurri Martino,20000,Natalie Portman,14786,USA,PG-13
120,Stark Sands,448,Annabella Sciorra,30092,USA,PG-13
249,Dan Hedaya,327,Seymour Cassel,3914,USA,PG-13
947,Michael Fassbender,17000,Channing Tatum,72646,Ireland,R
434,Mario Van Peebles,912,Judith Barsi,30840,USA,PG-13
11000,Robert De Niro,29000,Leonardo DiCaprio,20163,USA,PG-13
424,Dash Mihok,721,Tasha Smith,3174,USA,PG
57,Ian Hart,327,Stephen Rea,17740,UK,R
982,Tia Carrere,1000,Vanessa Williams,14473,USA,R
883,Charlize Theron,11000,James Franco,60115,USA,R
64,Benoît Poelvoorde,527,Alessandro Nivola,32003,France,PG-13
720,Landon Liboiron,2000,Demi Moore,4693,Canada,R
30,Iben Hjejle,201,Tom Burke,8924,UK,R
543,Sarah Carter,787,Cole Hauser,1781,USA,
73,Roger Lloyd Pack,805,Romola Garai,17373,USA,PG-13
107,Simon Yam,556,Bingbing Fan,6263,China,
23,Kim Thomson,129,Drew Powell,209396,USA,PG-13
542,Dick Van Patten,1000,Joan Rivers,136667,USA,PG
234,Ryan Corr,523,Cem Yilmaz,53341,Australia,R
